{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,70","1,66","3,96e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,41","4,08",,
20,Planar,"2,5",0,1 / 5,"0,87","1,16","5,27e-03","1,00","1,00","1,00","-2,4","-0,84","0,05",,"3,67","4,48",,
20,Planar,"2,5",0,2 / 5,"0,99","1,09","3,06e-03","1,00","1,00","1,00","-2,3","-0,77","0,03",,"3,63","4,41",,
20,Planar,"2,5",0,3 / 5,"0,97","1,05","2,77e-03","1,00","1,00","1,00","-2,25","-0,65","0,0",,"3,61","4,39",,
20,Planar,"2,5",0,4 / 5,"0,96","1,05","2,64e-03","1,00","1,00","1,00","-2,18","-0,59","0,06",,"3,61","4,38",,
20,Planar,"2,5",0,FINAL,"0,96","1,04","2,51e-03","1,00","1,00","1,00","-2,13","-0,48","0,02","3,95","3,61","4,38","-5,87","91,40"
20,Planar,0,"2,5",INITIAL,"0,94","0,92","2,64e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,77","1,94",,
20,Planar,0,"2,5",1 / 5,"0,27","0,29","2,65e-04","1,00","1,00","1,00","-0,26","0,74","-0,43",,"1,39","1,59",,
20,Planar,0,"2,5",2 / 5,"0,31","0,31","1,51e-04","1,00","1,00","1,00","-0,32","0,72","-0,44",,"1,37","1,58",,
20,Planar,0,"2,5",3 / 5,"0,32","0,32","1,07e-04","1,00","1,00","1,00","-0,32","0,73","-0,48",,"1,35","1,55",,
20,Planar,0,"2,5",4 / 5,"0,37","0,37","6,37e-05","1,00","1,00","1,00","-0,32","0,73","-0,49",,"1,35","1,55",,
20,Planar,0,"2,5",FINAL,"0,36","0,36","5,84e-05","1,00","1,00","1,00","-0,33","0,74","-0,51","2,50","1,34","1,53","24,38","53,45"
20,Planar,"2,5","2,5",INITIAL,"2,21","4,99","4,48e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,57","4,18",,
20,Planar,"2,5","2,5",1 / 5,"1,02","0,98","6,26e-03","1,00","1,00","1,00","0,84","0,79","-0,33",,"3,19","3,99",,
20,Planar,"2,5","2,5",2 / 5,"1,28","0,86","4,05e-03","1,00","1,00","1,00","0,63","0,73","-0,44",,"3,17","3,95",,
20,Planar,"2,5","2,5",3 / 5,"1,28","0,83","3,66e-03","1,00","1,00","1,00","0,72","0,69","-0,38",,"3,16","3,93",,
20,Planar,"2,5","2,5",4 / 5,"1,26","0,81","3,60e-03","1,00","1,00","1,00","0,61","0,61","-0,41",,"3,14","3,92",,
20,Planar,"2,5","2,5",FINAL,"1,26","0,81","3,44e-03","1,00","1,00","1,00","0,55","0,56","-0,48","4,73","3,14","3,92","12,15","66,38"
20,Planar,10,0,INITIAL,"7,06","7,09","6,04e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,05","13,82","16,37",,
20,Planar,10,0,1 / 5,"0,92","1,10","1,73e-01","1,00","1,00","1,00","-8,44","2,39","-3,72",,"13,22","16,27",,
20,Planar,10,0,2 / 5,"0,69","1,04","1,50e-01","1,00","1,00","1,00","-9,44","2,92","-5,09",,"13,38","16,60",,
20,Planar,10,0,3 / 5,"0,86","1,16","1,37e-01","1,00","1,00","1,00","-9,85","2,28","-4,42",,"13,43","16,75",,
20,Planar,10,0,4 / 5,"0,82","1,12","1,42e-01","1,00","1,00","1,00","-10,46","2,35","-4,94",,"13,55","16,86",,
20,Planar,10,0,FINAL,"0,96","1,00","1,32e-01","1,00","1,00","1,00","-11,04","1,77","-5,72","16,05","13,60","16,98","1,63","84,69"
20,Planar,0,10,INITIAL,"3,48","3,43","4,53e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,62","6,08",,
20,Planar,0,10,1 / 5,"0,41","0,40","7,53e-04","1,00","1,00","1,00","-1,26","2,04","-1,9",,"3,83","4,66",,
20,Planar,0,10,2 / 5,"0,44","0,41","4,75e-04","1,00","1,00","1,00","-1,34","1,96","-1,93",,"3,78","4,60",,
20,Planar,0,10,3 / 5,"0,42","0,39","4,18e-04","1,00","1,00","1,00","-1,32","1,95","-2,01",,"3,75","4,57",,
20,Planar,0,10,4 / 5,"0,45","0,42","3,57e-04","1,00","1,00","1,00","-1,34","1,93","-2,09",,"3,70","4,52",,
20,Planar,0,10,FINAL,"0,49","0,45","3,08e-04","1,00","1,00","1,00","-1,34","1,9","-2,18","10,00","3,66","4,47","34,95","36,55"
20,Planar,10,10,INITIAL,"8,15","8,24","7,76e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,14","14,60","17,51",,
20,Planar,10,10,1 / 5,"0,69","1,09","1,82e-01","1,00","1,00","1,00","-34,25","8,02","-12,11",,"21,23","25,37",,
20,Planar,10,10,2 / 5,"1,27","1,55","1,16e-01","1,00","1,00","1,00","-35,41","7,58","-11,79",,"21,79","25,77",,
20,Planar,10,10,3 / 5,"1,25","1,39","1,09e-01","1,00","1,00","1,00","-36,12","7,31","-11,82",,"22,07","26,00",,
20,Planar,10,10,4 / 5,"1,22","1,22","1,11e-01","1,00","1,00","1,00","-36,51","7,15","-11,71",,"22,23","26,17",,
20,Planar,10,10,FINAL,"1,27","1,36","1,07e-01","1,00","1,00","1,00","-37,09","7,04","-12,04","19,14","22,53","26,45","-54,31","117,73"
20,Gradual,0,"2,5",INITIAL,"1,65","1,60","4,21e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,16","2,54",,
20,Gradual,0,"2,5",1 / 5,"0,20","0,21","1,12e-03","1,00","1,00","1,00","-2,47","-1,05","-2,12",,"1,39","1,69",,
20,Gradual,0,"2,5",2 / 5,"0,23","0,23","8,87e-04","1,00","1,00","1,00","-2,66","-1,4","-2,31",,"1,32","1,60",,
20,Gradual,0,"2,5",3 / 5,"0,49","0,48","5,94e-04","1,00","1,00","1,00","-2,66","-1,52","-2,32",,"1,30","1,57",,
20,Gradual,0,"2,5",4 / 5,"0,51","0,49","5,36e-04","1,00","1,00","1,00","-2,69","-1,58","-2,33",,"1,29","1,56",,
20,Gradual,0,"2,5",FINAL,"0,52","0,50","4,89e-04","1,00","1,00","1,00","-2,72","-1,64","-2,35","3,24","1,28","1,55","40,69","39,56"
20,Gradual,"2,5","2,5",INITIAL,"2,20","2,30","3,37e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,36","4,08","4,77",,
20,Gradual,"2,5","2,5",1 / 5,"0,90","1,09","5,23e-03","1,00","1,00","1,00","-0,56","-0,04","-2,5",,"3,59","4,47",,
20,Gradual,"2,5","2,5",2 / 5,"1,20","1,05","2,42e-03","1,00","1,00","1,00","-0,52","-0,09","-2,69",,"3,59","4,44",,
20,Gradual,"2,5","2,5",3 / 5,"1,12","0,90","2,41e-03","1,00","1,00","1,00","-0,55","-0,08","-2,71",,"3,58","4,42",,
20,Gradual,"2,5","2,5",4 / 5,"1,15","0,92","2,11e-03","1,00","1,00","1,00","-0,61","-0,06","-2,82",,"3,59","4,41",,
20,Gradual,"2,5","2,5",FINAL,"1,18","0,95","1,88e-03","1,00","1,00","1,00","-0,61","-0,05","-2,85","5,36","3,60","4,42","11,83","67,13"
20,Gradual,0,10,INITIAL,"5,30","5,11","1,85e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,53","5,86","6,84",,
20,Gradual,0,10,1 / 5,"0,83","0,76","6,55e-03","1,00","1,00","1,00","-5,98","2,48","-3,7",,"3,71","4,55",,
20,Gradual,0,10,2 / 5,"0,99","0,91","4,19e-03","1,00","1,00","1,00","-6,01","2,11","-4,07",,"3,51","4,34",,
20,Gradual,0,10,3 / 5,"1,26","1,15","3,20e-03","1,00","1,00","1,00","-6,18","1,94","-3,96",,"3,41","4,21",,
20,Gradual,0,10,4 / 5,"1,41","1,28","2,67e-03","1,00","1,00","1,00","-6,26","1,79","-4,08",,"3,34","4,12",,
20,Gradual,0,10,FINAL,"1,39","1,26","2,40e-03","1,00","1,00","1,00","-6,38","1,69","-4,21","10,53","3,26","4,03","44,44","30,91"
20,Gradual,10,10,INITIAL,"9,72","10,29","6,78e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,64","17,22",,
20,Gradual,10,10,1 / 5,"1,24","0,89","1,60e-01","1,00","1,00","1,00","-15,61","6,96","-11,73",,"14,04","17,16",,
20,Gradual,10,10,2 / 5,"1,55","1,45","1,02e-01","1,00","1,00","1,00","-16,36","6,26","-13,17",,"14,45","17,60",,
20,Gradual,10,10,3 / 5,"1,10","0,91","1,08e-01","1,00","1,00","1,00","-17,54","6,02","-13,67",,"14,82","18,09",,
20,Gradual,10,10,4 / 5,"1,63","1,32","9,17e-02","1,00","1,00","1,00","-18,69","5,66","-14,28",,"15,28","18,59",,
20,Gradual,10,10,FINAL,"1,15","0,97","1,05e-01","1,00","1,00","1,00","-19,56","5,34","-14,46","19,45","15,49","18,87","-5,80","79,65"
