InRays,,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"2,6918e-05","2,62258e-05","0,0101712",1,1,1,"0,0","0,0","0,0","3,9481","3,07844","3,85228",,
20,Planar,"2,5",0,1 / 5,"0,945525","1,013","0,00300427","0,999999","0,999984","0,999983","-0,159133","1,18834","0,00142793",,"3,30032","4,02721",,
20,Planar,"2,5",0,2 / 5,"0,972683","1,0516","0,00241896","0,999999","0,999985","0,999984","-0,09761750000000001","1,18733","-0,00566795",,"3,29956","4,01738",,
20,Planar,"2,5",0,3 / 5,"0,961451","1,04168","0,0023324","0,999999","0,999984","0,999984","-0,136478","1,1919899999999999","0,0011662",,"3,29293","4,00987",,
20,Planar,"2,5",0,4 / 5,"0,954332","1,03334","0,0023023","0,999999","0,999984","0,999984","-0,0681398","1,20769","-0,0506116",,"3,28889","4,00671",,
20,Planar,"2,5",0,FINAL,"0,949543","1,02678","0,00237871","0,999999","0,999984","0,999983","-0,0558089","1,22353","-0,0749758","3,9481","3,286","4,0055","-6,74","83,23"
20,Planar,0,"2,5",INITIAL,"1,88522e-05","1,76804e-05","0,000641264",1,1,1,"0,0","0,0","0,0","2,5","1,51449","1,71836",,
20,Planar,0,"2,5",1 / 5,"0,409004","0,42285","4,52025e-05","0,999996","0,999996",1,"-0,234218","1,12318","-0,136713",,"1,43167","1,63715",,
20,Planar,0,"2,5",2 / 5,"0,435363","0,448452","1,2866e-05","0,999996","0,999995",1,"-0,265153","1,11447","-0,145684",,"1,42665","1,63326",,
20,Planar,0,"2,5",3 / 5,"0,438914","0,450104","7,22742e-06","0,999995","0,999995",1,"-0,262612","1,1161299999999998","-0,156013",,"1,42383","1,63091",,
20,Planar,0,"2,5",4 / 5,"0,437519","0,446843","6,0629e-06","0,999995","0,999995",1,"-0,268085","1,11542","-0,159671",,"1,42227","1,6294",,
20,Planar,0,"2,5",FINAL,"0,437028","0,443308","5,62177e-06","0,999995","0,999995",1,"-0,27034800000000003","1,1143800000000001","-0,170745","2,5","1,41933","1,62634","6,28","56,77"
20,Planar,"2,5","2,5",INITIAL,"3,49472e-05","5,77771e-05","0,0103453",1,1,1,"0,0","0,0","0,0","4,72509","3,16873","3,90119",,
20,Planar,"2,5","2,5",1 / 5,"1,29725","0,905852","0,00342006","0,999998","0,999998",1,"-0,332151","0,637635","-0,344454",,"3,27675","3,94894",,
20,Planar,"2,5","2,5",2 / 5,"1,19448","0,766304","0,00377601","0,999998","0,999998",1,"-0,292716","0,63852","-0,40556000000000003",,"3,25014","3,93365",,
20,Planar,"2,5","2,5",3 / 5,"1,23448","0,799065","0,00349035","0,999998","0,999998",1,"-0,334394","0,62847","-0,49187700000000006",,"3,24288","3,92379",,
20,Planar,"2,5","2,5",4 / 5,"1,23982","0,797579","0,00353602","0,999998","0,999998",1,"-0,390939","0,617232","-0,562801",,"3,23006","3,90925",,
20,Planar,"2,5","2,5",FINAL,"1,23699","0,800191","0,00338409","0,999998","0,999998",1,"-0,438028","0,630818","-0,569552","4,72509","3,22514","3,90329","-1,78","68,26"
20,Planar,10,0,INITIAL,"2,19589e-05","1,83276e-05","0,157789",1,1,1,"0,0","0,0","0,0","16,0548","12,2352","15,4124",,
20,Planar,10,0,1 / 5,"0,879404","1,56584","0,12651","0,999992","0,99999","0,999998","-1,7179300000000002","-0,797385","-0,874682",,"12,5455","15,8064",,
20,Planar,10,0,2 / 5,"0,903236","0,980219","0,132889","0,99997","0,999966","0,999995","-1,05201","-0,410389","-1,3603",,"12,5308","15,8407",,
20,Planar,10,0,3 / 5,"0,840386","1,1717","0,12803","0,999928","0,999918","0,999989","-1,77338","-0,0766232","-1,7686799999999998",,"12,6475","16,0128",,
20,Planar,10,0,4 / 5,"0,824737","1,12369","0,129734","0,99983","0,99981","0,999978","-2,6226000000000003","0,361804","-2,35526",,"12,8142","16,243",,
20,Planar,10,0,FINAL,"0,852645","1,03163","0,13308","0,999665","0,99962","0,999954","-2,95615","0,4973449999999999","-3,24514","16,0548","12,9886","16,3967","-6,16","80,90"
20,Planar,0,10,INITIAL,"2,1067e-05","2,28501e-05","0,00110217",1,1,1,"0,0","0,0","0,0","9,99999","4,65086","5,38758",,
20,Planar,0,10,1 / 5,"0,968071","0,9536","0,00016366","0,99998","0,999972","0,999991","-0,707093","4,15944","-0,5144610000000001",,"4,52981","5,21302",,
20,Planar,0,10,2 / 5,"0,927664","0,923369","6,66604e-05","0,999967","0,999956","0,999988","-0,855213","4,11905","-0,53365",,"4,4462","5,12585",,
20,Planar,0,10,3 / 5,"0,927437","0,932521","4,71206e-05","0,999965","0,999953","0,999988","-0,844843","4,099399999999999","-0,577939",,"4,43028","5,1109",,
20,Planar,0,10,4 / 5,"0,940544","0,9457","3,9957e-05","0,999963","0,999952","0,999987","-0,853829","4,09389","-0,585449",,"4,4237","5,10434",,
20,Planar,0,10,FINAL,"0,942856","0,945177","3,74862e-05","0,999962","0,99995","0,999987","-0,859616","4,08432","-0,608989","9,99999","4,41145","5,09282","5,15","44,11"
20,Planar,10,10,INITIAL,"2,27428e-05","1,76007e-05","0,178573",1,1,1,"0,0","0,0","0,0","19,1412","12,9006","16,3661",,
20,Planar,10,10,1 / 5,"0,836937","0,94109","0,149103","0,999998","0,999995","0,999997","-2,84815","4,90208","-1,83905",,"13,0756","16,4552",,
20,Planar,10,10,2 / 5,"0,950325","1,0875","0,147918","0,999991","0,999987","0,999994","-3,94343","4,74421","-2,5471299999999997",,"13,1554","16,5004",,
20,Planar,10,10,3 / 5,"0,916397","1,02278","0,150048","0,999985","0,999985","0,999991","-4,288550000000001","4,88988","-4,03026",,"13,164","16,5414",,
20,Planar,10,10,4 / 5,"0,978565","1,05502","0,147039","0,999982","0,999985","0,999988","-5,45772","4,67767","-4,2777400000000005",,"13,1706","16,547",,
20,Planar,10,10,FINAL,"0,978232","1,06123","0,146878","0,999971","0,999988","0,999978","-6,69258","4,72199","-5,42019","19,1412","13,1654","16,5674","-2,05","68,78"
20,Gradual,0,"2,5",INITIAL,"2,17352e-05","1,92301e-05","0,00101521",1,1,1,"0,0","0,0","0,0","3,237","1,73234","2,09295",,
20,Gradual,0,"2,5",1 / 5,"0,959154","0,999408","0,000195617","0,999959","0,999957","0,999997","-0,569405","1,2339","-0,62112",,"1,7636","2,12826",,
20,Gradual,0,"2,5",2 / 5,"1,01212","1,05198","0,000144752","0,999956","0,999954","0,999996","-0,560246","1,14868","-0,605959",,"1,75681","2,11923",,
20,Gradual,0,"2,5",3 / 5,"1,02872","1,06738","0,000120846","0,999955","0,999952","0,999996","-0,559509","1,11822","-0,6110249999999999",,"1,75076","2,11085",,
20,Gradual,0,"2,5",4 / 5,"1,02947","1,06629","0,000102314","0,999954","0,99995","0,999995","-0,568789","1,0962800000000001","-0,627363",,"1,74376","2,10256",,
20,Gradual,0,"2,5",FINAL,"1,03888","1,07289","8,68819e-05","0,999952","0,999948","0,999995","-0,576981","1,07068","-0,635994","3,237","1,74019","2,09749","-0,45","53,76"
20,Gradual,"2,5","2,5",INITIAL,"2,22874e-05","2,37822e-05","0,00894353",1,1,1,"0,0","0,0","0,0","5,35553","3,59396","4,46084",,
20,Gradual,"2,5","2,5",1 / 5,"1,0397","0,919692","0,00291006","0,99999","0,999991",1,"-0,213267","1,83155","-0,508577",,"3,70335","4,54428",,
20,Gradual,"2,5","2,5",2 / 5,"1,1005","0,898088","0,00237252","0,999984","0,999984",1,"-0,24970299999999998","1,8338700000000001","-0,640187",,"3,70423","4,53463",,
20,Gradual,"2,5","2,5",3 / 5,"1,07319","0,870185","0,0023642","0,99997","0,99997",1,"-0,39515500000000003","1,84926","-0,918173",,"3,6876","4,51051",,
20,Gradual,"2,5","2,5",4 / 5,"1,10456","0,902728","0,00214848","0,999964","0,999964",1,"-0,371973","1,84433","-1,03707",,"3,68819","4,50712",,
20,Gradual,"2,5","2,5",FINAL,"1,09835","0,894563","0,00218238","0,999957","0,999957",1,"-0,42852999999999997","1,84594","-1,17608","5,35553","3,67966","4,49697","-2,38","68,71"
20,Gradual,0,10,INITIAL,"2,39709e-05","2,07938e-05","0,00456033",1,1,1,"0,0","0,0","0,0","10,5328","4,62354","5,45949",,
20,Gradual,0,10,1 / 5,"1,11662","1,13886","0,00224784","0,998995","0,999011","0,999949","-2,66312","5,1658800000000005","-4,0709",,"4,05264","4,82523",,
20,Gradual,0,10,2 / 5,"1,19421","1,19398","0,00177699","0,998846","0,998863","0,999945","-3,76824","5,215680000000001","-3,49264",,"3,85145","4,60992",,
20,Gradual,0,10,3 / 5,"0,622872","0,642649","0,00232998","0,99834","0,99837","0,999912","-4,5736","5,09198","-4,65854",,"3,42481","4,13599",,
20,Gradual,0,10,4 / 5,"0,295736","0,30559","0,00299085","0,996149","0,996217","0,999626","-7,8787400000000005","3,07415","-7,784680000000001",,"2,56247","3,19216",,
20,Gradual,0,10,FINAL,"0,260089","0,266312","0,00309879","0,996022","0,996089","0,999593","-8,07668","2,91271","-7,82952","10,5328","2,50846","3,13949","45,75","23,82"
20,Gradual,10,10,INITIAL,"3,14091e-05","2,7161e-05","0,161764",1,1,1,"0,0","0,0","0,0","19,4463","12,5453","15,7889",,
20,Gradual,10,10,1 / 5,"1,03539","0,975875","0,133152","0,999866","0,999856","0,99999","-3,7840399999999996","6,26022","-4,6990799999999995",,"12,8102","15,9931",,
20,Gradual,10,10,2 / 5,"1,04082","0,920697","0,130408","0,999503","0,999485","0,999971","-5,52646","5,85092","-7,40151",,"12,9375","16,062",,
20,Gradual,10,10,3 / 5,"1,0472","0,942501","0,124918","0,99936","0,999343","0,999961","-7,10992","5,581810000000001","-7,69572",,"13,0142","16,1312",,
20,Gradual,10,10,4 / 5,"1,0982","0,957105","0,123472","0,999233","0,999221","0,999949","-7,4525","5,54062","-9,04228",,"13,0974","16,206",,
20,Gradual,10,10,FINAL,"1,17616","1,05132","0,119445","0,999141","0,999133","0,999935","-8,61016","5,48314","-9,330210000000001","19,4463","13,171","16,2891","-4,99","67,73"
80,Planar,"2,5",0,INITIAL,"1,23888e-05","1,11596e-05","0,0199919",1,1,1,"0,0","0,0","0,0","3,78316","10,8588","13,4007",,
80,Planar,"2,5",0,1 / 5,"0,558581","0,621612","0,00117074","0,999999","0,999999","0,999998","1,1892999999999998","-0,7531019999999999","-0,120445",,"10,7727","13,3037",,
80,Planar,"2,5",0,2 / 5,"0,572434","0,635139","0,000198662","0,999999","0,999999","0,999998","1,2231500000000002","-0,793257","-0,0909615",,"10,7733","13,3031",,
80,Planar,"2,5",0,3 / 5,"0,581507","0,645448","6,37604e-05","0,999999","0,999999","0,999997","1,30215","-0,80346","-0,0794094",,"10,7744","13,3047",,
80,Planar,"2,5",0,4 / 5,"0,586695","0,650445","2,73315e-05","0,999998","0,999999","0,999997","1,383","-0,7943709999999999","-0,0744484",,"10,775","13,3055",,
80,Planar,"2,5",0,FINAL,"0,584433","0,647934","1,91727e-05","0,999998","0,999999","0,999997","1,4093","-0,787582","-0,0742843","3,78316","10,7737","13,305","0,78","284,78"
80,Planar,"0,0","2,5",INITIAL,"1,69958e-05","1,58236e-05","0,0107744",1,1,1,"0,0","0,0","0,0","2,5","7,7132","9,34109",,
80,Planar,"0,0","2,5",1 / 5,"0,41872","0,46424","0,000730336","0,999995","0,999995","0,999997","-1,4607400000000001","0,234408","-0,109287",,"7,57499","9,22513",,
80,Planar,"0,0","2,5",2 / 5,"0,434803","0,480336","0,000249283","0,999995","0,999995","0,999997","-1,48976","0,0707076","-0,100487",,"7,56842","9,22007",,
80,Planar,"0,0","2,5",3 / 5,"0,440879","0,48586","0,000149042","0,999995","0,999995","0,999997","-1,4900600000000002","-0,00167312","-0,09759190000000001",,"7,56678","9,21887",,
80,Planar,"0,0","2,5",4 / 5,"0,44446","0,488715","0,000102567","0,999995","0,999996","0,999997","-1,49993","-0,0791895","-0,0965458",,"7,56569","9,21821",,
80,Planar,"0,0","2,5",FINAL,"0,446305","0,489965","8,06974e-05","0,999995","0,999996","0,999996","-1,50689","-0,139968","-0,0951379","2,5","7,56499","9,21785","1,92","302,60"
80,Planar,"2,5","2,5",INITIAL,"1,29904e-05","1,12199e-05","0,0132898",1,1,1,"0,0","0,0","0,0","4,70223","10,8825","13,6967",,
80,Planar,"2,5","2,5",1 / 5,"0,460629","0,450408","0,0012147","0,999999","0,999999","0,999999","-0,250158","0,281909","-0,162447",,"10,7979","13,6309",,
80,Planar,"2,5","2,5",2 / 5,"0,504824","0,492124","0,000349335","0,999999","0,999998","0,999999","-0,349545","0,185862","-0,12281799999999998",,"10,795","13,6251",,
80,Planar,"2,5","2,5",3 / 5,"0,500915","0,495034","0,000150844","0,999999","0,999998","0,999999","-0,475036","0,19270400000000001","-0,0705916",,"10,7953","13,624",,
80,Planar,"2,5","2,5",4 / 5,"0,501662","0,496753","0,000114098","0,999999","0,999998","0,999999","-0,466661","0,204796","-0,080397",,"10,796","13,6242",,
80,Planar,"2,5","2,5",FINAL,"0,502741","0,501899","4,09105e-05","0,999999","0,999999","0,999999","-0,571302","0,43845","-0,0622617","4,70223","10,7987","13,6252","0,77","229,65"
80,Planar,10,0,INITIAL,"1,62715e-05","1,36745e-05","0,176042",1,1,1,"0,0","0,0","0,0","16,372","26,0087","32,7617",,
80,Planar,10,0,1 / 5,"0,959282","1,04587","0,0498578",1,1,"0,999999","0,5238839999999999","-0,850507","-0,301753",,"26,3618","32,9304",,
80,Planar,10,0,2 / 5,"0,982339","1,00686","0,0409582",1,1,"0,999999","0,315276","-1,0523399999999998","-0,425658",,"26,4103","32,9596",,
80,Planar,10,0,3 / 5,"0,984611","0,998125","0,0397722",1,"0,999999","0,999999","0,236634","-1,21585","-0,467603",,"26,4343","32,9803",,
80,Planar,10,0,4 / 5,"1,0008","1,01309","0,0373263",1,"0,999999","0,999999","0,163564","-1,36038","-0,51829",,"26,4741","33,0055",,
80,Planar,10,0,FINAL,"0,982674","0,993534","0,0395438",1,"0,999999","0,999999","0,192759","-1,5291599999999999","-0,565881","16,372","26,48","33,0171","-1,81","161,74"
80,Planar,0,10,INITIAL,"1,51811e-05","1,47001e-05","0,0119547",1,1,1,"0,0","0,0","0,0","9,99999","14,2127","16,8451",,
80,Planar,0,10,1 / 5,"0,50455","0,511892","0,000883855","0,999995","0,999971","0,999973","1,17936","-0,48704800000000004","-0,176369",,"14,1321","16,7366",,
80,Planar,0,10,2 / 5,"0,50986","0,520783","0,000533384","0,999995","0,999971","0,999973","1,08467","-0,539948","-0,153521",,"14,1308","16,7346",,
80,Planar,0,10,3 / 5,"0,516812","0,528169","0,000282687","0,999996","0,999971","0,999973","1,06927","-0,552063","-0,158163",,"14,1303","16,7328",,
80,Planar,0,10,4 / 5,"0,521173","0,53183","0,000209621","0,999996","0,999972","0,999973","1,08014","-0,50166","-0,160856",,"14,1305","16,7321",,
80,Planar,0,10,FINAL,"0,52387","0,53382","0,0001849","0,999996","0,999972","0,999974","1,08939","-0,453244","-0,162733","9,99999","14,1307","16,7317","0,58","141,31"
80,Planar,10,10,INITIAL,"1,34053e-05","9,19906e-06","0,170551",1,1,1,"0,0","0,0","0,0","20,0588","37,6226","46,9027",,
80,Planar,10,10,1 / 5,"0,908546","0,988937","0,0475763","0,999982","0,999981","0,999999","-0,8305250000000001","5,451919999999999","-0,42519999999999997",,"37,7838","46,9667",,
80,Planar,10,10,2 / 5,"0,978491","1,01777","0,0359774","0,999978","0,999979",1,"-1,82342","6,58441","-0,712783",,"37,8185","46,968",,
80,Planar,10,10,3 / 5,"1,00794","1,03427","0,0330541","0,999979","0,99998","0,999999","-1,69481","7,11166","-0,796659",,"37,8492","46,9785",,
80,Planar,10,10,4 / 5,"1,01153","1,03134","0,032683","0,99998","0,99998","0,999999","-1,80414","7,78216","-0,936813",,"37,8647","46,9862",,
80,Planar,10,10,FINAL,"1,00987","1,02523","0,0326616","0,99998","0,999979","0,999997","-1,9108","8,42934","-1,07705","20,0588","37,8781","46,9939","-0,68","188,84"
80,Gradual,0,"2,5",INITIAL,"1,31918e-05","1,305e-05","0,0322949",1,1,1,"0,0","0,0","0,0","23,4365","29,6954","41,7669",,
80,Gradual,0,"2,5",1 / 5,"0,952667","0,949575","0,0153857","0,997769","0,998393","0,999147","-33,8411","-7,14948","-16,084999999999997",,"28,144","39,5211",,
80,Gradual,0,"2,5",2 / 5,"1,11406","1,1084","0,0130563","0,997773","0,998421","0,999129","-34,8759","-6,6854000000000005","-15,0222",,"28,1479","39,4839",,
80,Gradual,0,"2,5",3 / 5,"1,13171","1,12286","0,0126828","0,997739","0,998435","0,99909","-35,7388","-6,52013","-15,3301",,"28,1325","39,4476",,
80,Gradual,0,"2,5",4 / 5,"1,09354","1,08295","0,0128565","0,997716","0,99843","0,99907","-36,2191","-6,57472","-15,4202",,"28,1152","39,425",,
80,Gradual,0,"2,5",FINAL,"1,10664","1,09466","0,0128909","0,997697","0,998429","0,99905","-36,5237","-6,65449","-15,617600000000001","23,4365","28,112","39,4095","5,33","119,95"
80,Gradual,"2,5","2,5",INITIAL,"1,52636e-05","1,68803e-05","0,0381391",1,1,1,"0,0","0,0","0,0","24,9533","32,997","44,314",,
80,Gradual,"2,5","2,5",1 / 5,"0,966876","0,971276","0,0227177","0,998204","0,998348","0,999178","-27,320500000000003","-15,1196","-14,347199999999999",,"31,807","42,0517",,
80,Gradual,"2,5","2,5",2 / 5,"1,14998","1,14968","0,0212361","0,998113","0,998294","0,999095","-29,6136","-15,4646","-13,8909",,"31,8021","41,9663",,
80,Gradual,"2,5","2,5",3 / 5,"1,15129","1,15113","0,0215846","0,998048","0,998261","0,999033","-30,732","-15,957200000000002","-14,2997",,"31,7766","41,8991",,
80,Gradual,"2,5","2,5",4 / 5,"1,16714","1,16615","0,0217122","0,998024","0,998249","0,999011","-31,1935","-16,0996","-14,4132",,"31,7707","41,8762",,
80,Gradual,"2,5","2,5",FINAL,"1,14409","1,14291","0,0222353","0,997971","0,998222","0,998957","-32,237","-16,4792","-14,69","24,9533","31,7448","41,8223","3,79","127,22"
80,Gradual,0,10,INITIAL,"1,22896e-05","1,03026e-05","0,131294",1,1,1,"0,0","0,0","0,0","46,0751","51,8953","73,8415",,
80,Gradual,0,10,1 / 5,"0,973695","0,983288","0,127462","0,987935","0,992204","0,994846","-84,34700000000001","-5,23838","-28,346",,"49,991","71,5205",,
80,Gradual,0,10,2 / 5,"1,24191","1,22658","0,122342","0,987417","0,992253","0,994306","-88,4871","-5,497990000000001","-30,4026",,"49,9219","71,3043",,
80,Gradual,0,10,3 / 5,"1,55669","1,53398","0,119313","0,987182","0,992329","0,994037","-90,4683","-5,428999999999999","-30,932100000000002",,"49,9647","71,2418",,
80,Gradual,0,10,4 / 5,"1,74711","1,72359","0,117235","0,98697","0,992378","0,993823","-92,01520000000001","-5,09763","-31,5679",,"50,0013","71,2026",,
80,Gradual,0,10,FINAL,"1,42494","1,39302","0,122688","0,98649","0,992193","0,993454","-95,0641","-5,49672","-32,582600000000006","46,0751","49,8947","71,103","3,86","108,29"
80,Gradual,10,10,INITIAL,"1,57415e-05","1,8842e-05","0,237277",1,1,1,"0,0","0,0","0,0","47,2915","59,0901","79,3566",,
80,Gradual,10,10,1 / 5,"0,918682","0,967213","0,137844","0,986767","0,991543","0,992563","-97,4987","-24,032","-47,8957",,"57,1376","76,6305",,
80,Gradual,10,10,2 / 5,"1,08612","1,09759","0,130147","0,986901","0,991699","0,99248","-99,2287","-24,5416","-47,9719",,"57,2058","76,6374",,
80,Gradual,10,10,3 / 5,"1,21284","1,20579","0,128044","0,986753","0,991698","0,992279","-99,9661","-24,918200000000002","-48,1747",,"57,2651","76,6479",,
80,Gradual,10,10,4 / 5,"1,11675","1,09508","0,13591","0,986515","0,99162","0,99206","-101,816","-25,243100000000002","-48,5142",,"57,2542","76,6403",,
80,Gradual,10,10,FINAL,"1,11027","1,0816","0,140896","0,985858","0,991479","0,991471","-105,43299999999999","-25,6558","-49,275600000000004","47,2915","57,3087","76,6468","3,01","121,18"
