{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","1,02e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,08","3,85",,
20,Planar,"2,5",0,1 / 5,"0,96","1,03","2,89e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,26","3,99",,
20,Planar,"2,5",0,2 / 5,"0,97","1,03","2,57e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,29","4,02",,
20,Planar,"2,5",0,3 / 5,"0,97","1,03","2,85e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,32","4,08",,
20,Planar,"2,5",0,4 / 5,"0,97","1,03","2,85e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,33","4,09",,
20,Planar,"2,5",0,FINAL,"0,97","1,03","2,93e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","3,95","3,35","4,12","-8,82","84,85"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","6,41e-04","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,51","1,72",,
20,Planar,0,"2,5",1 / 5,"0,19","0,18","2,87e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,48","1,68",,
20,Planar,0,"2,5",2 / 5,"0,27","0,27","1,60e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,47","1,67",,
20,Planar,0,"2,5",3 / 5,"0,27","0,27","1,54e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,47","1,67",,
20,Planar,0,"2,5",4 / 5,"0,27","0,27","1,54e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,46","1,67",,
20,Planar,0,"2,5",FINAL,"0,27","0,27","1,56e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","1,46","1,66","3,54","58,43"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","1,03e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,17","3,90",,
20,Planar,"2,5","2,5",1 / 5,"1,30","0,81","3,92e-03","1,00","1,00","1,00","0,0","0,0","-0,0",,"3,29","3,98",,
20,Planar,"2,5","2,5",2 / 5,"1,29","0,78","4,14e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,30","3,98",,
20,Planar,"2,5","2,5",3 / 5,"1,27","0,78","4,29e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,31","3,99",,
20,Planar,"2,5","2,5",4 / 5,"1,28","0,80","4,38e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,31","3,99",,
20,Planar,"2,5","2,5",FINAL,"1,28","0,80","4,46e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,73","3,32","4,00","-4,75","70,25"
20,Planar,10,0,INITIAL,"0,00","0,00","1,58e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,05","12,24","15,41",,
20,Planar,10,0,1 / 5,"0,84","1,06","1,43e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"13,32","16,72",,
20,Planar,10,0,2 / 5,"0,95","1,02","1,46e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"13,75","17,33",,
20,Planar,10,0,3 / 5,"0,92","1,07","1,50e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"14,01","17,75",,
20,Planar,10,0,4 / 5,"0,87","1,06","1,50e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"14,44","18,29",,
20,Planar,10,0,FINAL,"0,98","1,02","1,51e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0","16,05","14,88","19,06","-21,65","92,71"
20,Planar,0,10,INITIAL,"0,00","0,00","1,10e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","4,65","5,39",,
20,Planar,0,10,1 / 5,"0,25","0,22","6,18e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,60","5,34",,
20,Planar,0,10,2 / 5,"0,41","0,35","4,59e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,57","5,31",,
20,Planar,0,10,3 / 5,"0,40","0,35","4,57e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,55","5,29",,
20,Planar,0,10,4 / 5,"0,39","0,34","4,68e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,53","5,26",,
20,Planar,0,10,FINAL,"0,38","0,34","4,81e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","4,49","5,23","3,38","44,94"
20,Planar,10,10,INITIAL,"0,00","0,00","1,79e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,14","12,90","16,37",,
20,Planar,10,10,1 / 5,"0,90","1,03","1,69e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,46","17,06",,
20,Planar,10,10,2 / 5,"0,93","1,08","1,79e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,16","17,87",,
20,Planar,10,10,3 / 5,"0,98","1,02","1,80e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,73","18,43",,
20,Planar,10,10,4 / 5,"1,00","1,00","1,98e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"15,05","18,79",,
20,Planar,10,10,FINAL,"1,01","1,01","2,09e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","19,14","15,57","19,54","-20,66","81,32"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,02e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,24","1,73","2,09",,
20,Gradual,0,"2,5",1 / 5,"0,20","0,19","6,50e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,64","1,99",,
20,Gradual,0,"2,5",2 / 5,"0,31","0,29","5,32e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,60","1,96",,
20,Gradual,0,"2,5",3 / 5,"0,30","0,29","5,46e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,58","1,93",,
20,Gradual,0,"2,5",4 / 5,"0,30","0,29","5,61e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,57","1,91",,
20,Gradual,0,"2,5",FINAL,"0,30","0,29","5,75e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","3,24","1,55","1,89","10,51","47,89"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","8,94e-03","1,00","1,00","1,00","0,0","0,0","0,0","5,36","3,59","4,46",,
20,Gradual,"2,5","2,5",1 / 5,"1,06","0,97","3,41e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,75","4,60",,
20,Gradual,"2,5","2,5",2 / 5,"1,09","0,91","2,73e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,72","4,57",,
20,Gradual,"2,5","2,5",3 / 5,"1,10","0,92","2,60e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,72","4,56",,
20,Gradual,"2,5","2,5",4 / 5,"1,09","0,92","2,61e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,72","4,56",,
20,Gradual,"2,5","2,5",FINAL,"1,09","0,92","2,63e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","5,36","3,72","4,56","-3,44","69,42"
20,Gradual,0,10,INITIAL,"0,00","0,00","4,56e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,53","4,62","5,46",,
20,Gradual,0,10,1 / 5,"0,31","0,35","4,18e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,53","5,32",,
20,Gradual,0,10,2 / 5,"0,69","0,66","3,91e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,49","5,26",,
20,Gradual,0,10,3 / 5,"0,71","0,67","3,92e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,44","5,19",,
20,Gradual,0,10,4 / 5,"0,68","0,65","3,99e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,39","5,14",,
20,Gradual,0,10,FINAL,"0,66","0,62","4,05e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","10,53","4,36","5,10","5,66","41,41"
20,Gradual,10,10,INITIAL,"0,00","0,00","1,62e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,45","12,55","15,79",,
20,Gradual,10,10,1 / 5,"1,04","0,99","1,39e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"12,98","16,24",,
20,Gradual,10,10,2 / 5,"1,06","0,94","1,47e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,31","16,65",,
20,Gradual,10,10,3 / 5,"1,03","0,96","1,47e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,87","17,25",,
20,Gradual,10,10,4 / 5,"1,07","0,93","1,59e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,49","17,99",,
20,Gradual,10,10,FINAL,"1,02","0,94","1,60e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","19,45","15,44","19,16","-23,05","79,38"
80,Planar,"2,5",0,INITIAL,"0,00","0,00","2,00e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,78","10,86","13,40",,
80,Planar,"2,5",0,1 / 5,"0,49","0,52","1,98e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,83","13,37",,
80,Planar,"2,5",0,2 / 5,"0,52","0,55","9,11e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,83","13,37",,
80,Planar,"2,5",0,3 / 5,"0,53","0,56","5,60e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,82","13,36",,
80,Planar,"2,5",0,4 / 5,"0,53","0,56","4,49e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,82","13,36",,
80,Planar,"2,5",0,FINAL,"0,52","0,56","3,86e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","3,78","10,82","13,36","0,37","285,98"
80,Planar,0,"2,5",INITIAL,"0,00","0,00","1,08e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,71","9,34",,
80,Planar,0,"2,5",1 / 5,"0,40","0,35","1,18e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,61","9,26",,
80,Planar,0,"2,5",2 / 5,"0,42","0,38","6,56e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,60","9,26",,
80,Planar,0,"2,5",3 / 5,"0,43","0,39","5,23e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,60","9,25",,
80,Planar,0,"2,5",4 / 5,"0,42","0,38","4,61e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,60","9,25",,
80,Planar,0,"2,5",FINAL,"0,42","0,38","4,22e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","7,60","9,25","1,52","303,84"
80,Planar,"2,5","2,5",INITIAL,"0,00","0,00","1,33e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,70","10,88","13,70",,
80,Planar,"2,5","2,5",1 / 5,"0,23","0,25","5,37e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,87","13,68",,
80,Planar,"2,5","2,5",2 / 5,"0,30","0,32","3,27e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,87","13,68",,
80,Planar,"2,5","2,5",3 / 5,"0,40","0,41","1,56e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,87","13,68",,
80,Planar,"2,5","2,5",4 / 5,"0,44","0,46","9,07e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,86","13,67",,
80,Planar,"2,5","2,5",FINAL,"0,44","0,46","6,77e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","4,70","10,86","13,67","0,23","230,91"
80,Planar,10,0,INITIAL,"0,00","0,00","1,76e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,37","26,01","32,76",,
80,Planar,10,0,1 / 5,"0,93","1,06","7,01e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"28,34","34,69",,
80,Planar,10,0,2 / 5,"0,99","1,01","6,30e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"28,43","34,79",,
80,Planar,10,0,3 / 5,"1,00","1,00","6,41e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"28,59","35,00",,
80,Planar,10,0,4 / 5,"1,00","1,00","6,49e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"28,75","35,20",,
80,Planar,10,0,FINAL,"1,00","1,00","6,61e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0","16,37","28,94","35,44","-11,27","176,76"
80,Planar,0,10,INITIAL,"0,00","0,00","1,20e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,21","16,85",,
80,Planar,0,10,1 / 5,"0,39","0,39","1,29e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,10","16,71",,
80,Planar,0,10,2 / 5,"0,41","0,41","7,06e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,09","16,71",,
80,Planar,0,10,3 / 5,"0,42","0,41","6,23e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,09","16,71",,
80,Planar,0,10,4 / 5,"0,42","0,42","5,24e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,09","16,71",,
80,Planar,0,10,FINAL,"0,43","0,42","4,55e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","14,09","16,70","0,88","140,88"
80,Planar,10,10,INITIAL,"0,00","0,00","1,71e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,06","37,62","46,90",,
80,Planar,10,10,1 / 5,"0,92","1,07","5,09e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"37,43","46,65",,
80,Planar,10,10,2 / 5,"0,99","1,02","4,48e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"37,52","46,70",,
80,Planar,10,10,3 / 5,"0,99","1,01","4,59e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"37,62","46,78",,
80,Planar,10,10,4 / 5,"0,99","1,00","4,76e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"37,81","46,90",,
80,Planar,10,10,FINAL,"1,00","1,01","4,92e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","20,06","37,94","47,01","-0,84","189,14"
80,Gradual,0,"2,5",INITIAL,"0,00","0,00","3,23e-02","1,00","1,00","1,00","0,0","0,0","0,0","23,44","29,70","41,77",,
80,Gradual,0,"2,5",1 / 5,"0,72","0,73","1,93e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,33","41,43",,
80,Gradual,0,"2,5",2 / 5,"0,87","0,88","1,85e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,32","41,41",,
80,Gradual,0,"2,5",3 / 5,"0,97","0,97","1,79e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,31","41,39",,
80,Gradual,0,"2,5",4 / 5,"1,04","1,04","1,73e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,30","41,37",,
80,Gradual,0,"2,5",FINAL,"1,09","1,10","1,69e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","23,44","29,29","41,35","1,36","124,98"
80,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","3,81e-02","1,00","1,00","1,00","0,0","0,0","0,0","24,95","33,00","44,31",,
80,Gradual,"2,5","2,5",1 / 5,"0,67","0,71","2,24e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"32,35","43,78",,
80,Gradual,"2,5","2,5",2 / 5,"0,89","0,92","2,08e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"32,34","43,74",,
80,Gradual,"2,5","2,5",3 / 5,"0,99","1,01","2,02e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"32,34","43,71",,
80,Gradual,"2,5","2,5",4 / 5,"0,99","1,01","2,02e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"32,32","43,68",,
80,Gradual,"2,5","2,5",FINAL,"0,99","1,01","2,02e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","24,95","32,31","43,65","2,10","129,46"
80,Gradual,0,10,INITIAL,"0,00","0,00","1,31e-01","1,00","1,00","1,00","0,0","0,0","0,0","46,08","51,90","73,84",,
80,Gradual,0,10,1 / 5,"0,55","0,56","1,21e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"50,85","72,57",,
80,Gradual,0,10,2 / 5,"0,64","0,69","1,21e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"50,86","72,56",,
80,Gradual,0,10,3 / 5,"0,88","0,93","1,18e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"50,86","72,54",,
80,Gradual,0,10,4 / 5,"1,05","1,10","1,15e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"50,83","72,51",,
80,Gradual,0,10,FINAL,"0,98","1,03","1,17e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","46,08","50,79","72,47","2,14","110,23"
80,Gradual,10,10,INITIAL,"0,00","0,00","2,37e-01","1,00","1,00","1,00","0,0","0,0","0,0","47,29","59,09","79,36",,
80,Gradual,10,10,1 / 5,"0,95","1,04","1,29e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"58,90","79,04",,
80,Gradual,10,10,2 / 5,"0,99","1,01","1,22e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"58,83","78,97",,
80,Gradual,10,10,3 / 5,"0,99","1,01","1,28e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"58,76","78,91",,
80,Gradual,10,10,4 / 5,"0,99","1,01","1,25e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"58,67","78,81",,
80,Gradual,10,10,FINAL,"0,99","1,01","1,31e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","47,29","58,63","78,76","0,78","123,98"
150,Planar,"2,5",0,INITIAL,"0,00","0,00","4,32e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,06","18,35","21,99",,
150,Planar,"2,5",0,1 / 5,"0,36","0,36","7,33e-03","1,00","1,00","1,00","0,0","-0,0","0,0",,"18,39","22,08",,
150,Planar,"2,5",0,2 / 5,"0,43","0,43","3,54e-03","1,00","1,00","1,00","0,0","-0,0","0,0",,"18,38","22,07",,
150,Planar,"2,5",0,3 / 5,"0,45","0,45","2,83e-03","1,00","1,00","1,00","0,0","-0,0","0,0",,"18,38","22,07",,
150,Planar,"2,5",0,4 / 5,"0,47","0,47","1,91e-03","1,00","1,00","1,00","0,0","-0,0","0,0",,"18,37","22,07",,
150,Planar,"2,5",0,FINAL,"0,49","0,49","1,32e-03","1,00","1,00","1,00","0,0","-0,0","0,0","4,06","18,36","22,07","-0,05","452,54"
150,Planar,0,"2,5",INITIAL,"0,00","0,00","3,91e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","18,26","22,23",,
150,Planar,0,"2,5",1 / 5,"0,38","0,39","5,16e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"17,97","22,02",,
150,Planar,0,"2,5",2 / 5,"0,42","0,43","2,46e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"17,95","22,00",,
150,Planar,0,"2,5",3 / 5,"0,43","0,44","1,64e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"17,94","21,99",,
150,Planar,0,"2,5",4 / 5,"0,44","0,44","1,25e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"17,93","21,99",,
150,Planar,0,"2,5",FINAL,"0,44","0,45","1,03e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","17,93","21,98","1,80","717,11"
150,Planar,"2,5","2,5",INITIAL,"0,00","0,00","5,13e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,55","20,41","24,50",,
150,Planar,"2,5","2,5",1 / 5,"0,49","0,49","5,75e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"20,10","24,26",,
150,Planar,"2,5","2,5",2 / 5,"0,52","0,53","3,55e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"20,11","24,27",,
150,Planar,"2,5","2,5",3 / 5,"0,54","0,55","2,95e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"20,12","24,27",,
150,Planar,"2,5","2,5",4 / 5,"0,55","0,56","2,69e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"20,13","24,27",,
150,Planar,"2,5","2,5",FINAL,"0,55","0,57","2,47e-03","1,00","1,00","1,00","-0,0","0,0","0,0","4,55","20,14","24,28","1,36","442,96"
150,Planar,10,0,INITIAL,"0,00","0,00","1,48e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,37","42,05","52,18",,
150,Planar,10,0,1 / 5,"1,00","1,01","2,69e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"42,03","51,72",,
150,Planar,10,0,2 / 5,"1,00","1,00","1,38e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"42,00","51,68",,
150,Planar,10,0,3 / 5,"1,00","1,00","1,10e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"42,00","51,67",,
150,Planar,10,0,4 / 5,"1,00","1,00","9,00e-03","1,00","1,00","1,00","0,0","0,0","0,0",,"41,99","51,67",,
150,Planar,10,0,FINAL,"0,99","1,01","7,56e-03","1,00","1,00","1,00","0,0","0,0","0,0","15,37","41,99","51,67","0,14","273,14"
150,Planar,0,10,INITIAL,"0,00","0,00","3,56e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","20,80","25,26",,
150,Planar,0,10,1 / 5,"0,42","0,40","5,40e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,44","24,97",,
150,Planar,0,10,2 / 5,"0,46","0,45","2,96e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,43","24,96",,
150,Planar,0,10,3 / 5,"0,48","0,47","2,20e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,42","24,96",,
150,Planar,0,10,4 / 5,"0,49","0,47","1,88e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,42","24,96",,
150,Planar,0,10,FINAL,"0,49","0,47","1,71e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","20,42","24,96","1,81","204,20"
150,Planar,10,10,INITIAL,"0,00","0,00","1,45e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,26","45,62","56,31",,
150,Planar,10,10,1 / 5,"0,83","0,87","1,76e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"45,43","55,86",,
150,Planar,10,10,2 / 5,"0,93","0,96","7,59e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"45,49","55,88",,
150,Planar,10,10,3 / 5,"0,98","1,01","4,56e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"45,53","55,89",,
