{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,70","1,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,37","4,06",,
20,Planar,"2,5",0,1 / 5,"0,97","1,03","2,00e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"3,20","3,92",,
20,Planar,"2,5",0,2 / 5,"0,98","1,03","2,18e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,24","3,98",,
20,Planar,"2,5",0,3 / 5,"0,98","1,02","2,57e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,28","4,03",,
20,Planar,"2,5",0,4 / 5,"0,98","1,03","2,66e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,31","4,06",,
20,Planar,"2,5",0,FINAL,"0,98","1,02","2,78e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","3,95","3,33","4,09","1,28","84,32"
20,Planar,0,"2,5",INITIAL,"0,94","0,92","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,64","1,82",,
20,Planar,0,"2,5",1 / 5,"0,21","0,20","1,90e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,48","1,69",,
20,Planar,0,"2,5",2 / 5,"0,28","0,27","1,14e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,47","1,68",,
20,Planar,0,"2,5",3 / 5,"0,27","0,27","1,22e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,47","1,68",,
20,Planar,0,"2,5",4 / 5,"0,27","0,27","1,29e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,47","1,68",,
20,Planar,0,"2,5",FINAL,"0,27","0,27","1,36e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","1,47","1,68","10,68","58,69"
20,Planar,"2,5","2,5",INITIAL,"2,21","4,74","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,49","4,12",,
20,Planar,"2,5","2,5",1 / 5,"1,23","0,80","3,85e-03","1,00","1,00","1,00","0,0","0,0","-0,0",,"3,19","3,90",,
20,Planar,"2,5","2,5",2 / 5,"1,27","0,79","3,94e-03","1,00","1,00","1,00","0,0","0,0","-0,0",,"3,24","3,93",,
20,Planar,"2,5","2,5",3 / 5,"1,29","0,79","4,18e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,27","3,96",,
20,Planar,"2,5","2,5",4 / 5,"1,30","0,80","4,20e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,30","3,99",,
20,Planar,"2,5","2,5",FINAL,"1,30","0,79","4,50e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,73","3,31","3,99","5,17","70,03"
20,Planar,10,0,INITIAL,"7,13","6,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","13,77","16,32",,
20,Planar,10,0,1 / 5,"0,98","0,98","1,16e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"12,41","15,37",,
20,Planar,10,0,2 / 5,"0,93","1,05","1,29e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"12,76","15,81",,
20,Planar,10,0,3 / 5,"0,92","1,09","1,33e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"13,40","16,79",,
20,Planar,10,0,4 / 5,"0,98","1,00","1,49e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"14,22","18,00",,
20,Planar,10,0,FINAL,"0,94","1,02","1,50e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0","16,05","14,90","19,08","-8,16","92,79"
20,Planar,0,10,INITIAL,"3,49","3,41","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,57","6,02",,
20,Planar,0,10,1 / 5,"0,30","0,27","3,79e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,20","4,85",,
20,Planar,0,10,2 / 5,"0,40","0,36","2,63e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,17","4,82",,
20,Planar,0,10,3 / 5,"0,39","0,35","2,75e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,14","4,79",,
20,Planar,0,10,4 / 5,"0,37","0,34","2,90e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,10","4,75",,
20,Planar,0,10,FINAL,"0,37","0,34","3,02e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","4,07","4,72","26,92","40,70"
20,Planar,10,10,INITIAL,"8,23","8,13","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","14,59","17,47",,
20,Planar,10,10,1 / 5,"1,02","1,01","1,48e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,16","17,85",,
20,Planar,10,10,2 / 5,"0,97","1,03","1,66e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,84","18,82",,
20,Planar,10,10,3 / 5,"0,93","1,08","1,84e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"15,45","19,51",,
20,Planar,10,10,4 / 5,"0,99","1,01","1,87e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"15,97","20,04",,
20,Planar,10,10,FINAL,"1,01","0,99","1,98e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","19,14","16,48","20,81","-12,96","86,07"
20,Gradual,0,"2,5",INITIAL,"1,66","1,59","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,03","2,45",,
20,Gradual,0,"2,5",1 / 5,"0,32","0,37","3,67e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,68","2,06",,
20,Gradual,0,"2,5",2 / 5,"0,38","0,40","3,01e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,66","2,03",,
20,Gradual,0,"2,5",3 / 5,"0,37","0,38","3,38e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,64","2,00",,
20,Gradual,0,"2,5",4 / 5,"0,36","0,36","3,68e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,62","1,98",,
20,Gradual,0,"2,5",FINAL,"0,35","0,35","3,98e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","3,24","1,61","1,96","20,88","49,59"
20,Gradual,"2,5","2,5",INITIAL,"2,21","2,30","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,36","4,03","4,75",,
20,Gradual,"2,5","2,5",1 / 5,"1,09","0,91","1,88e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,70","4,51",,
20,Gradual,"2,5","2,5",2 / 5,"1,08","0,92","2,05e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,73","4,55",,
20,Gradual,"2,5","2,5",3 / 5,"1,08","0,92","2,16e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,75","4,57",,
20,Gradual,"2,5","2,5",4 / 5,"1,08","0,93","2,26e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,75","4,58",,
20,Gradual,"2,5","2,5",FINAL,"1,08","0,93","2,38e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","5,36","3,75","4,58","6,95","70,06"
20,Gradual,0,10,INITIAL,"5,37","5,03","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,53","5,82","6,85",,
20,Gradual,0,10,1 / 5,"0,89","1,11","1,82e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,58","5,43",,
20,Gradual,0,10,2 / 5,"0,86","1,09","1,75e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,49","5,29",,
20,Gradual,0,10,3 / 5,"0,91","1,11","1,75e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,42","5,20",,
20,Gradual,0,10,4 / 5,"0,94","1,11","1,79e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,38","5,14",,
20,Gradual,0,10,FINAL,"0,92","1,07","1,89e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","10,53","4,33","5,09","25,52","41,13"
20,Gradual,10,10,INITIAL,"9,92","10,02","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,68","17,26",,
20,Gradual,10,10,1 / 5,"1,06","0,92","1,28e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"12,60","15,54",,
20,Gradual,10,10,2 / 5,"1,11","0,93","1,34e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,05","16,10",,
20,Gradual,10,10,3 / 5,"1,05","0,97","1,39e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,21","16,36",,
20,Gradual,10,10,4 / 5,"1,09","0,93","1,43e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,40","16,65",,
20,Gradual,10,10,FINAL,"1,19","0,85","1,46e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","19,45","13,48","16,76","8,21","69,31"
80,Planar,"2,5",0,INITIAL,"0,56","0,55","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,78","10,83","13,38",,
80,Planar,"2,5",0,1 / 5,"0,48","0,50","2,21e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,82","13,37",,
80,Planar,"2,5",0,2 / 5,"0,50","0,52","1,10e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,82","13,38",,
80,Planar,"2,5",0,3 / 5,"0,50","0,52","1,17e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,83","13,38",,
80,Planar,"2,5",0,4 / 5,"0,50","0,52","1,27e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,83","13,38",,
80,Planar,"2,5",0,FINAL,"0,50","0,52","1,37e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","3,78","10,83","13,39","-0,02","286,25"
80,Planar,0,"2,5",INITIAL,"0,46","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,61","9,27",,
80,Planar,0,"2,5",1 / 5,"0,39","0,36","1,78e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,58","9,25",,
80,Planar,0,"2,5",2 / 5,"0,41","0,37","9,17e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,58","9,25",,
80,Planar,0,"2,5",3 / 5,"0,41","0,37","9,52e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,58","9,25",,
80,Planar,0,"2,5",4 / 5,"0,41","0,36","1,03e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,58","9,24",,
80,Planar,0,"2,5",FINAL,"0,40","0,36","1,11e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","7,57","9,24","0,46","302,97"
80,Planar,"2,5","2,5",INITIAL,"0,52","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,70","10,89","13,70",,
80,Planar,"2,5","2,5",1 / 5,"0,40","0,43","2,13e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,83","13,67",,
80,Planar,"2,5","2,5",2 / 5,"0,42","0,44","1,37e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,83","13,67",,
80,Planar,"2,5","2,5",3 / 5,"0,42","0,45","1,33e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,84","13,67",,
80,Planar,"2,5","2,5",4 / 5,"0,42","0,45","1,15e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,84","13,67",,
80,Planar,"2,5","2,5",FINAL,"0,42","0,45","1,31e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","4,70","10,84","13,67","0,46","230,46"
80,Planar,10,0,INITIAL,"1,71","1,72","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,37","26,89","33,20",,
80,Planar,10,0,1 / 5,"0,99","1,01","3,57e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"26,36","32,91",,
80,Planar,10,0,2 / 5,"1,00","1,00","4,18e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"26,55","33,08",,
80,Planar,10,0,3 / 5,"1,00","1,00","4,54e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"26,94","33,45",,
80,Planar,10,0,4 / 5,"1,00","1,00","4,92e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"27,27","33,78",,
80,Planar,10,0,FINAL,"1,00","1,00","5,07e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0","16,37","27,47","33,99","-2,15","167,77"
80,Planar,0,10,INITIAL,"0,89","0,90","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,51","17,01",,
80,Planar,0,10,1 / 5,"0,38","0,40","2,12e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,13","16,79",,
80,Planar,0,10,2 / 5,"0,40","0,41","1,19e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,12","16,78",,
80,Planar,0,10,3 / 5,"0,39","0,41","1,20e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,12","16,78",,
80,Planar,0,10,4 / 5,"0,39","0,41","1,23e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,12","16,78",,
80,Planar,0,10,FINAL,"0,39","0,40","1,28e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","14,12","16,78","2,75","141,15"
80,Planar,10,10,INITIAL,"1,99","2,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","20,06","38,52","47,29",,
80,Planar,10,10,1 / 5,"0,98","1,02","3,36e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"37,88","46,97",,
80,Planar,10,10,2 / 5,"0,99","1,01","3,61e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"37,98","47,06",,
80,Planar,10,10,3 / 5,"0,99","1,01","3,81e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"38,10","47,16",,
80,Planar,10,10,4 / 5,"0,99","1,01","4,20e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"38,24","47,28",,
80,Planar,10,10,FINAL,"0,99","1,01","4,46e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","20,06","38,31","47,34","0,56","190,98"
80,Gradual,0,"2,5",INITIAL,"2,42","2,28","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","23,44","30,99","42,49",,
80,Gradual,0,"2,5",1 / 5,"0,98","1,02","6,82e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,88","41,90",,
80,Gradual,0,"2,5",2 / 5,"0,96","1,04","7,12e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,80","41,83",,
80,Gradual,0,"2,5",3 / 5,"0,95","1,04","8,19e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,68","41,72",,
80,Gradual,0,"2,5",4 / 5,"0,97","1,04","8,77e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,61","41,66",,
80,Gradual,0,"2,5",FINAL,"0,97","1,03","9,43e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","23,44","29,55","41,59","4,67","126,07"
80,Gradual,"2,5","2,5",INITIAL,"2,51","2,79","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","24,95","34,36","45,12",,
80,Gradual,"2,5","2,5",1 / 5,"1,00","1,03","7,92e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"33,13","44,49",,
80,Gradual,"2,5","2,5",2 / 5,"0,97","1,03","8,05e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"33,08","44,40",,
80,Gradual,"2,5","2,5",3 / 5,"0,97","1,03","8,97e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"33,03","44,33",,
80,Gradual,"2,5","2,5",4 / 5,"0,98","1,01","9,88e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"32,97","44,25",,
80,Gradual,"2,5","2,5",FINAL,"0,99","1,01","1,06e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","24,95","32,94","44,20","4,14","132,00"
80,Gradual,0,10,INITIAL,"5,95","5,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","46,08","55,75","76,19",,
80,Gradual,0,10,1 / 5,"1,03","1,03","8,38e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"52,31","74,40",,
80,Gradual,0,10,2 / 5,"0,96","1,05","8,40e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"52,22","74,29",,
80,Gradual,0,10,3 / 5,"0,96","1,05","8,79e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"52,16","74,20",,
80,Gradual,0,10,4 / 5,"0,96","1,03","9,25e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"52,07","74,10",,
80,Gradual,0,10,FINAL,"0,98","1,03","9,40e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","46,08","52,03","74,04","6,67","112,93"
80,Gradual,10,10,INITIAL,"5,26","4,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","47,29","62,38","81,17",,
80,Gradual,10,10,1 / 5,"1,00","0,98","1,12e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"59,36","79,55",,
80,Gradual,10,10,2 / 5,"0,99","1,01","1,05e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"59,25","79,40",,
80,Gradual,10,10,3 / 5,"0,99","1,01","1,10e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"59,13","79,28",,
80,Gradual,10,10,4 / 5,"0,99","1,01","1,15e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"59,04","79,19",,
80,Gradual,10,10,FINAL,"0,99","1,01","1,18e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","47,29","58,96","79,10","5,48","124,67"
150,Planar,"2,5",0,INITIAL,"0,52","0,52","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,06","18,16","21,88",,
150,Planar,"2,5",0,1 / 5,"0,49","0,49","1,52e-04","1,00","1,00","1,00","0,0","-0,0","-0,0",,"18,15","21,87",,
150,Planar,"2,5",0,2 / 5,"0,49","0,50","8,60e-05","1,00","1,00","1,00","0,0","-0,0","-0,0",,"18,15","21,87",,
150,Planar,"2,5",0,3 / 5,"0,49","0,50","9,16e-05","1,00","1,00","1,00","0,0","-0,0","-0,0",,"18,15","21,87",,
150,Planar,"2,5",0,4 / 5,"0,49","0,50","1,00e-04","1,00","1,00","1,00","0,0","-0,0","-0,0",,"18,15","21,87",,
150,Planar,"2,5",0,FINAL,"0,49","0,50","1,09e-04","1,00","1,00","1,00","0,0","-0,0","-0,0","4,06","18,15","21,87","0,03","447,39"
150,Planar,0,"2,5",INITIAL,"0,48","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","18,03","22,09",,
150,Planar,0,"2,5",1 / 5,"0,43","0,43","1,70e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"18,01","22,08",,
150,Planar,0,"2,5",2 / 5,"0,43","0,44","1,18e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"18,01","22,08",,
150,Planar,0,"2,5",3 / 5,"0,43","0,44","1,36e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"18,01","22,08",,
150,Planar,0,"2,5",4 / 5,"0,43","0,44","1,56e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"18,00","22,08",,
150,Planar,0,"2,5",FINAL,"0,43","0,43","1,75e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","18,00","22,08","0,14","720,18"
150,Planar,"2,5","2,5",INITIAL,"0,54","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,55","20,23","24,41",,
150,Planar,"2,5","2,5",1 / 5,"0,49","0,50","1,45e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"20,20","24,40",,
150,Planar,"2,5","2,5",2 / 5,"0,50","0,51","7,52e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,20","24,40",,
150,Planar,"2,5","2,5",3 / 5,"0,50","0,51","8,23e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,20","24,40",,
150,Planar,"2,5","2,5",4 / 5,"0,50","0,51","9,33e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,20","24,40",,
150,Planar,"2,5","2,5",FINAL,"0,50","0,51","1,04e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","4,55","20,20","24,40","0,13","444,42"
150,Planar,10,0,INITIAL,"0,98","1,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,37","42,33","52,32",,
150,Planar,10,0,1 / 5,"0,93","0,96","2,68e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"42,29","52,30",,
150,Planar,10,0,2 / 5,"0,94","0,97","1,61e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"42,30","52,30",,
150,Planar,10,0,3 / 5,"0,94","0,97","1,79e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"42,30","52,30",,
150,Planar,10,0,4 / 5,"0,94","0,97","2,04e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"42,30","52,30",,
150,Planar,10,0,FINAL,"0,94","0,97","2,30e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","15,37","42,30","52,30","0,08","275,15"
150,Planar,0,10,INITIAL,"0,74","0,75","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","20,93","25,31",,
150,Planar,0,10,1 / 5,"0,49","0,50","1,80e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,63","25,15",,
150,Planar,0,10,2 / 5,"0,49","0,50","1,12e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,62","25,15",,
150,Planar,0,10,3 / 5,"0,48","0,49","1,22e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,61","25,14",,
150,Planar,0,10,4 / 5,"0,47","0,48","1,32e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"20,60","25,14",,
150,Planar,0,10,FINAL,"0,47","0,47","1,44e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","20,59","25,13","1,61","205,94"
150,Planar,10,10,INITIAL,"1,13","1,16","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,26","46,17","56,53",,
150,Planar,10,10,1 / 5,"0,96","0,97","2,30e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"46,00","56,45",,
150,Planar,10,10,2 / 5,"0,97","0,97","1,27e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"46,00","56,46",,
150,Planar,10,10,3 / 5,"0,96","0,97","1,32e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"46,00","56,45",,
