{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,01","1,66","2,01e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,95","1,71","2,95",,
20,Planar,"2,5",0,1 / 5,"1,01","1,00","1,49e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"1,34","2,31",,
20,Planar,"2,5",0,2 / 5,"1,01","1,00","1,45e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"1,36","2,32",,
20,Planar,"2,5",0,3 / 5,"1,01","1,00","1,44e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"1,43","2,43",,
20,Planar,"2,5",0,4 / 5,"1,01","1,00","1,46e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"1,49","2,54",,
20,Planar,"2,5",0,FINAL,"1,01","1,00","1,48e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0","3,95","1,59","2,71","6,67","40,39"
20,Planar,0,"2,5",INITIAL,"1,00","0,92","1,45e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","0,99","1,51",,
20,Planar,0,"2,5",1 / 5,"1,00","0,45","4,07e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,64","0,99",,
20,Planar,0,"2,5",2 / 5,"1,00","0,66","1,98e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,60","0,91",,
20,Planar,0,"2,5",3 / 5,"1,00","0,66","1,82e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,59","0,90",,
20,Planar,0,"2,5",4 / 5,"1,00","0,66","1,69e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,59","0,88",,
20,Planar,0,"2,5",FINAL,"1,00","0,65","1,59e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","0,57","0,85","42,95","22,63"
20,Planar,"2,5","2,5",INITIAL,"1,00","4,74","1,89e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","1,91","3,15",,
20,Planar,"2,5","2,5",1 / 5,"1,00","1,00","1,58e-02","1,00","1,00","1,00","0,0","0,0","-0,0",,"1,41","2,36",,
20,Planar,"2,5","2,5",2 / 5,"1,00","1,00","1,54e-02","1,00","1,00","1,00","0,0","0,0","-0,0",,"1,37","2,29",,
20,Planar,"2,5","2,5",3 / 5,"1,00","1,00","1,56e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,39","2,31",,
20,Planar,"2,5","2,5",4 / 5,"1,00","1,00","1,58e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,46","2,45",,
20,Planar,"2,5","2,5",FINAL,"1,00","1,00","1,61e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","4,73","1,55","2,63","18,79","32,78"
20,Planar,10,0,INITIAL,"1,01","6,99","4,10e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,05","6,97","11,47",,
20,Planar,10,0,1 / 5,"1,01","6,39","1,51e-01","1,00","1,00","1,00","-0,05","-0,0","-0,05",,"45,96","65,67",,
20,Planar,10,0,2 / 5,"1,01","1,00","1,91e-01","1,00","1,00","1,00","-0,05","-0,0","-0,05",,"46,08","65,98",,
20,Planar,10,0,3 / 5,"1,01","0,99","2,08e-01","1,00","1,00","1,00","-0,05","-0,0","-0,06",,"46,81","67,18",,
20,Planar,10,0,4 / 5,"1,01","1,00","2,14e-01","1,00","1,00","1,00","-0,05","-0,0","-0,06",,"47,36","68,01",,
20,Planar,10,0,FINAL,"1,01","1,00","2,20e-01","1,00","1,00","1,00","-0,06","-0,0","-0,06","16,05","47,91","68,82","-587,86","298,42"
20,Planar,0,10,INITIAL,"1,00","3,41","2,03e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","3,61","5,27",,
20,Planar,0,10,1 / 5,"1,00","0,45","8,92e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,65","2,47",,
20,Planar,0,10,2 / 5,"1,00","0,88","5,95e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,61","2,42",,
20,Planar,0,10,3 / 5,"1,00","0,83","5,37e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,58","2,37",,
20,Planar,0,10,4 / 5,"1,00","0,80","4,96e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,56","2,32",,
20,Planar,0,10,FINAL,"1,00","0,77","4,57e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","1,52","2,26","57,84","15,21"
20,Planar,10,10,INITIAL,"1,01","8,13","3,47e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,14","7,76","13,32",,
20,Planar,10,10,1 / 5,"1,01","0,93","2,40e-01","1,00","1,00","1,00","-0,09","0,01","-0,12",,"28,94","43,20",,
20,Planar,10,10,2 / 5,"1,01","1,00","2,35e-01","1,00","1,00","1,00","-0,09","0,01","-0,12",,"29,89","44,29",,
20,Planar,10,10,3 / 5,"1,01","1,00","2,31e-01","1,00","1,00","1,00","-0,09","0,01","-0,12",,"31,41","46,25",,
20,Planar,10,10,4 / 5,"1,01","1,00","2,30e-01","1,00","1,00","1,00","-0,09","0,01","-0,12",,"32,95","48,32",,
20,Planar,10,10,FINAL,"1,01","1,00","2,32e-01","1,00","1,00","1,00","-0,09","0,01","-0,13","19,14","34,66","50,68","-346,48","181,05"
20,Gradual,0,"2,5",INITIAL,"1,00","1,59","1,54e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,24","1,19","1,96",,
20,Gradual,0,"2,5",1 / 5,"1,00","1,12","9,27e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,07","1,74",,
20,Gradual,0,"2,5",2 / 5,"1,00","1,00","7,50e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,03","1,67",,
20,Gradual,0,"2,5",3 / 5,"1,00","0,95","6,21e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,99","1,62",,
20,Gradual,0,"2,5",4 / 5,"1,00","0,82","6,24e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,97","1,57",,
20,Gradual,0,"2,5",FINAL,"1,00","0,78","6,37e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","3,24","0,96","1,55","19,80","29,56"
20,Gradual,"2,5","2,5",INITIAL,"1,01","2,30","2,78e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,36","2,07","3,45",,
20,Gradual,"2,5","2,5",1 / 5,"1,01","1,00","2,12e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,66","2,81",,
20,Gradual,"2,5","2,5",2 / 5,"1,01","1,00","2,11e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,63","2,75",,
20,Gradual,"2,5","2,5",3 / 5,"1,01","1,00","2,10e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,61","2,70",,
20,Gradual,"2,5","2,5",4 / 5,"1,01","1,00","2,10e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,59","2,67",,
20,Gradual,"2,5","2,5",FINAL,"1,01","1,00","2,10e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","5,36","1,56","2,62","24,35","29,20"
20,Gradual,0,10,INITIAL,"1,01","5,03","3,47e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,53","3,28","5,13",,
20,Gradual,0,10,1 / 5,"1,01","1,01","3,99e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,68","4,10",,
20,Gradual,0,10,2 / 5,"1,01","1,00","4,04e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,62","4,00",,
20,Gradual,0,10,3 / 5,"1,01","1,00","4,14e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,58","3,93",,
20,Gradual,0,10,4 / 5,"1,01","1,00","4,27e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,49","3,81",,
20,Gradual,0,10,FINAL,"1,01","1,00","4,39e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","10,53","2,42","3,71","26,15","22,99"
20,Gradual,10,10,INITIAL,"1,00","10,02","3,28e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,45","7,46","12,46",,
20,Gradual,10,10,1 / 5,"1,00","1,60","2,73e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,58","13,29",,
20,Gradual,10,10,2 / 5,"1,00","1,00","3,10e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,04","18,08",,
20,Gradual,10,10,3 / 5,"1,00","0,99","3,26e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,61","23,46",,
20,Gradual,10,10,4 / 5,"1,00","1,00","3,27e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"16,86","27,85",,
20,Gradual,10,10,FINAL,"1,00","1,00","3,25e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","19,45","18,91","30,55","-153,63","97,25"
80,Planar,"2,5",0,INITIAL,"1,01","0,55","2,32e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,78","5,45","9,47",,
80,Planar,"2,5",0,1 / 5,"1,01","1,00","2,62e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"6,33","9,60",,
80,Planar,"2,5",0,2 / 5,"1,01","1,00","1,47e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"6,17","9,15",,
80,Planar,"2,5",0,3 / 5,"1,01","1,00","1,15e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"5,99","8,85",,
80,Planar,"2,5",0,4 / 5,"1,01","1,00","1,01e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"5,88","8,67",,
80,Planar,"2,5",0,FINAL,"1,01","1,00","9,37e-03","1,00","1,00","1,00","-0,0","-0,0","-0,0","3,78","5,76","8,49","-5,59","152,16"
80,Planar,0,"2,5",INITIAL,"1,01","0,49","1,04e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","3,95","6,82",,
80,Planar,0,"2,5",1 / 5,"1,01","1,00","1,03e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"2,41","3,84",,
80,Planar,0,"2,5",2 / 5,"1,01","1,00","6,98e-03","1,00","1,00","1,00","0,0","0,0","0,0",,"2,34","3,66",,
80,Planar,0,"2,5",3 / 5,"1,01","1,00","5,88e-03","1,00","1,00","1,00","0,0","0,0","0,0",,"2,31","3,59",,
80,Planar,0,"2,5",4 / 5,"1,01","1,00","4,80e-03","1,00","1,00","1,00","0,0","0,0","0,0",,"2,28","3,52",,
80,Planar,0,"2,5",FINAL,"1,01","1,00","3,58e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","2,23","3,41","43,53","89,16"
80,Planar,"2,5","2,5",INITIAL,"1,01","0,54","2,37e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,70","5,50","9,80",,
80,Planar,"2,5","2,5",1 / 5,"1,01","1,00","3,23e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,71","4,49",,
80,Planar,"2,5","2,5",2 / 5,"1,01","1,00","1,56e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,38","3,81",,
80,Planar,"2,5","2,5",3 / 5,"1,01","1,00","1,21e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,27","3,59",,
80,Planar,"2,5","2,5",4 / 5,"1,01","1,00","1,00e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,14","3,34",,
80,Planar,"2,5","2,5",FINAL,"1,01","1,00","9,07e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,70","2,06","3,21","62,50","43,89"
80,Planar,10,0,INITIAL,"1,01","1,72","1,53e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,37","13,10","23,20",,
80,Planar,10,0,1 / 5,"1,01","1,69","2,48e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"6,01","10,12",,
80,Planar,10,0,2 / 5,"1,01","1,00","2,84e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"5,53","9,55",,
80,Planar,10,0,3 / 5,"1,01","1,00","2,77e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"5,46","9,46",,
80,Planar,10,0,4 / 5,"1,01","1,00","2,73e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"5,43","9,44",,
80,Planar,10,0,FINAL,"1,01","1,00","2,70e-01","1,00","1,00","1,00","0,0","0,0","-0,0","16,37","5,42","9,45","58,63","33,09"
80,Planar,0,10,INITIAL,"1,00","0,90","1,12e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","8,80","13,91",,
80,Planar,0,10,1 / 5,"1,00","1,00","1,36e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"8,05","11,80",,
80,Planar,0,10,2 / 5,"1,00","1,00","9,52e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"8,00","11,69",,
80,Planar,0,10,3 / 5,"1,00","1,00","7,63e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"7,96","11,59",,
80,Planar,0,10,4 / 5,"1,00","1,00","6,63e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"7,93","11,52",,
80,Planar,0,10,FINAL,"1,00","1,00","6,00e-03","1,00","1,00","1,00","-0,0","0,0","0,0","10,00","7,90","11,47","10,19","79,00"
80,Planar,10,10,INITIAL,"1,00","2,01","2,68e+00","1,00","1,00","1,00","0,0","0,0","0,0","20,06","20,18","35,00",,
80,Planar,10,10,1 / 5,"1,00","2,21","4,50e-01","1,00","1,00","1,00","0,0","0,0","0,0",,"13,09","20,88",,
80,Planar,10,10,2 / 5,"1,00","1,00","5,01e-01","1,00","1,00","1,00","0,0","0,0","0,0",,"12,45","19,91",,
80,Planar,10,10,3 / 5,"1,00","1,00","4,49e-01","1,00","1,00","1,00","0,0","0,0","0,0",,"11,87","18,84",,
80,Planar,10,10,4 / 5,"1,00","1,00","4,30e-01","1,00","1,00","1,00","0,0","0,0","0,0",,"11,60","18,32",,
80,Planar,10,10,FINAL,"1,00","1,00","4,18e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,06","11,29","17,79","44,05","56,29"
80,Gradual,0,"2,5",INITIAL,"1,01","2,28","2,13e-01","1,00","1,00","1,00","0,0","0,0","0,0","23,44","19,16","35,60",,
80,Gradual,0,"2,5",1 / 5,"1,01","1,00","9,64e-02","1,00","1,00","1,00","0,01","0,01","-0,01",,"14,56","28,44",,
80,Gradual,0,"2,5",2 / 5,"1,01","1,00","8,48e-02","1,00","1,00","1,00","0,01","0,01","-0,01",,"14,06","27,21",,
80,Gradual,0,"2,5",3 / 5,"1,01","1,00","7,62e-02","1,00","1,00","1,00","0,01","0,01","-0,01",,"13,53","25,96",,
80,Gradual,0,"2,5",4 / 5,"1,01","1,00","6,90e-02","1,00","1,00","1,00","0,01","0,01","-0,01",,"12,98","24,71",,
80,Gradual,0,"2,5",FINAL,"1,01","1,00","6,28e-02","1,00","1,00","1,00","0,01","0,01","-0,01","23,44","12,33","23,30","35,62","52,63"
80,Gradual,"2,5","2,5",INITIAL,"1,00","2,79","4,04e-01","1,00","1,00","1,00","0,0","0,0","0,0","24,95","21,11","37,69",,
80,Gradual,"2,5","2,5",1 / 5,"1,00","1,00","1,53e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"16,82","30,39",,
80,Gradual,"2,5","2,5",2 / 5,"1,00","1,00","1,23e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"16,30","29,07",,
80,Gradual,"2,5","2,5",3 / 5,"1,00","1,00","1,01e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"15,55","27,24",,
80,Gradual,"2,5","2,5",4 / 5,"1,00","1,00","8,52e-02","1,00","1,00","1,00","0,0","0,0","-0,0",,"14,80","25,47",,
80,Gradual,"2,5","2,5",FINAL,"1,00","1,00","7,37e-02","1,00","1,00","1,00","0,0","0,0","-0,0","24,95","14,03","23,73","33,55","56,22"
80,Gradual,0,10,INITIAL,"1,01","5,66","1,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","46,08","34,44","63,55",,
80,Gradual,0,10,1 / 5,"1,01","4,15","8,38e-01","1,00","1,00","1,00","-0,02","0,14","-0,05",,"30,06","53,62",,
80,Gradual,0,10,2 / 5,"1,01","1,01","9,14e-01","1,00","1,00","1,00","-0,02","0,14","-0,06",,"28,59","48,73",,
80,Gradual,0,10,3 / 5,"1,01","1,00","1,04e+00","1,00","1,00","1,00","-0,02","0,15","-0,06",,"28,35","47,36",,
80,Gradual,0,10,4 / 5,"1,01","0,96","1,16e+00","1,00","1,00","1,00","-0,02","0,15","-0,06",,"28,21","45,99",,
80,Gradual,0,10,FINAL,"1,01","1,01","1,19e+00","1,00","1,00","1,00","-0,01","0,15","-0,06","46,08","27,91","45,43","18,95","60,59"
80,Gradual,10,10,INITIAL,"1,01","4,99","2,31e+00","1,00","1,00","1,00","0,0","0,0","0,0","47,29","36,79","66,25",,
80,Gradual,10,10,1 / 5,"1,01","1,78","6,46e-01","1,00","1,00","1,00","0,03","0,05","-0,22",,"34,28","68,68",,
80,Gradual,10,10,2 / 5,"1,01","1,00","6,57e-01","1,00","1,00","1,00","0,03","0,05","-0,22",,"33,97","67,75",,
80,Gradual,10,10,3 / 5,"1,01","1,00","6,72e-01","1,00","1,00","1,00","0,03","0,05","-0,23",,"33,77","67,11",,
80,Gradual,10,10,4 / 5,"1,01","1,00","7,00e-01","1,00","1,00","1,00","0,03","0,05","-0,24",,"33,56","66,60",,
80,Gradual,10,10,FINAL,"1,01","1,00","7,32e-01","1,00","1,00","1,00","0,03","0,05","-0,24","47,29","33,39","66,23","9,24","70,60"
150,Planar,"2,5",0,INITIAL,"1,01","0,52","5,76e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,06","9,10","15,59",,
150,Planar,"2,5",0,1 / 5,"1,01","1,00","7,06e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"4,65","7,58",,
150,Planar,"2,5",0,2 / 5,"1,01","1,00","3,25e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"3,86","6,15",,
150,Planar,"2,5",0,3 / 5,"1,01","1,00","2,28e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"3,57","5,63",,
150,Planar,"2,5",0,4 / 5,"1,01","1,00","1,74e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"3,31","5,21",,
150,Planar,"2,5",0,FINAL,"1,01","1,00","1,42e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,06","3,12","4,90","65,67","77,00"
150,Planar,0,"2,5",INITIAL,"1,01","0,49","6,07e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","9,06","15,75",,
150,Planar,0,"2,5",1 / 5,"1,01","1,00","6,10e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"4,92","8,25",,
150,Planar,0,"2,5",2 / 5,"1,01","1,00","2,96e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"4,30","7,26",,
150,Planar,0,"2,5",3 / 5,"1,01","1,00","1,94e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"4,02","6,77",,
150,Planar,0,"2,5",4 / 5,"1,01","1,00","1,40e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"3,83","6,42",,
150,Planar,0,"2,5",FINAL,"1,01","1,00","1,03e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","3,66","6,09","59,55","146,50"
150,Planar,"2,5","2,5",INITIAL,"1,01","0,54","7,59e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,55","10,11","17,37",,
150,Planar,"2,5","2,5",1 / 5,"1,01","1,00","9,64e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"5,66","9,39",,
150,Planar,"2,5","2,5",2 / 5,"1,01","1,00","4,44e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"5,10","8,62",,
150,Planar,"2,5","2,5",3 / 5,"1,01","1,00","3,80e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"5,00","8,47",,
150,Planar,"2,5","2,5",4 / 5,"1,01","1,00","2,96e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"4,81","8,24",,
150,Planar,"2,5","2,5",FINAL,"1,01","1,00","2,59e-02","1,00","1,00","1,00","-0,0","-0,0","0,0","4,55","4,71","8,12","53,44","103,58"
150,Planar,10,0,INITIAL,"1,01","1,01","4,09e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,37","20,96","36,52",,
150,Planar,10,0,1 / 5,"1,01","1,87","4,34e-01","1,00","1,00","1,00","-0,0","0,0","-0,2",,"28,23","42,53",,
150,Planar,10,0,2 / 5,"1,01","1,00","2,99e-01","1,00","1,00","1,00","-0,01","0,0","-0,2",,"27,88","41,15",,
150,Planar,10,0,3 / 5,"1,01","1,00","2,41e-01","1,00","1,00","1,00","-0,01","0,0","-0,21",,"27,84","40,68",,
150,Planar,10,0,4 / 5,"1,01","1,00","2,19e-01","1,00","1,00","1,00","-0,01","0,0","-0,21",,"27,83","40,48",,
150,Planar,10,0,FINAL,"1,01","1,00","2,08e-01","1,00","1,00","1,00","-0,01","0,0","-0,22","15,37","27,83","40,38","-32,74","181,01"
150,Planar,0,10,INITIAL,"1,00","0,75","5,76e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","11,40","19,20",,
150,Planar,0,10,1 / 5,"1,00","1,08","9,62e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"9,18","14,45",,
150,Planar,0,10,2 / 5,"1,00","1,00","7,75e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"9,01","14,16",,
150,Planar,0,10,3 / 5,"1,00","1,00","6,53e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"8,90","13,91",,
150,Planar,0,10,4 / 5,"1,00","1,00","5,83e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"8,82","13,74",,
150,Planar,0,10,FINAL,"1,00","1,00","5,37e-02","1,00","1,00","1,00","-0,0","0,0","0,0","10,00","8,77","13,62","23,06","87,70"
150,Planar,10,10,INITIAL,"1,00","1,16","4,09e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,26","23,54","40,63",,
150,Planar,10,10,1 / 5,"1,00","1,97","6,86e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"16,53","26,58",,
150,Planar,10,10,2 / 5,"1,00","1,00","6,68e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"15,78","25,44",,
150,Planar,10,10,3 / 5,"1,00","1,00","5,39e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"15,10","24,34",,
150,Planar,10,10,4 / 5,"1,00","1,00","4,21e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"14,30","23,04",,
