InRays,,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,70","1,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,37","4,06",,
20,Planar,"2,5",0,1 / 5,"0,99","1,05","1,80e-03","1,00","1,00","1,00","-0,02","0,08","-0,02",,"3,20","3,93",,
20,Planar,"2,5",0,2 / 5,"0,97","1,03","1,95e-03","1,00","1,00","1,00","0,04","0,14","-0,06",,"3,21","3,94",,
20,Planar,"2,5",0,3 / 5,"0,98","1,04","1,94e-03","1,00","1,00","1,00","0,04","0,17","-0,07",,"3,22","3,94",,
20,Planar,"2,5",0,4 / 5,"0,98","1,04","1,95e-03","1,00","1,00","1,00","0,07","0,22","-0,1",,"3,22","3,95",,
20,Planar,"2,5",0,FINAL,"0,98","1,04","2,01e-03","1,00","1,00","1,00","0,04","0,24","-0,1","3,95","3,23","3,96","4,25","81,78"
20,Planar,0,"2,5",INITIAL,"0,94","0,92","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,64","1,82",,
20,Planar,0,"2,5",1 / 5,"0,46","0,48","2,46e-05","1,00","1,00","1,00","-0,06","0,79","-0,05",,"1,49","1,70",,
20,Planar,0,"2,5",2 / 5,"0,44","0,47","1,74e-05","1,00","1,00","1,00","-0,13","0,87","-0,05",,"1,48","1,69",,
20,Planar,0,"2,5",3 / 5,"0,42","0,45","1,74e-05","1,00","1,00","1,00","-0,11","0,94","-0,07",,"1,47","1,68",,
20,Planar,0,"2,5",4 / 5,"0,40","0,43","1,77e-05","1,00","1,00","1,00","-0,17","0,99","-0,07",,"1,46","1,67",,
20,Planar,0,"2,5",FINAL,"0,39","0,41","1,79e-05","1,00","1,00","1,00","-0,15","1,06","-0,1","2,50","1,45","1,66","11,46","58,18"
20,Planar,"2,5","2,5",INITIAL,"2,21","4,74","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,49","4,12",,
20,Planar,"2,5","2,5",1 / 5,"1,24","0,82","3,47e-03","1,00","1,00","1,00","0,04","0,64","-0,16",,"3,22","3,92",,
20,Planar,"2,5","2,5",2 / 5,"1,26","0,82","3,48e-03","1,00","1,00","1,00","-0,08","0,65","-0,2",,"3,23","3,92",,
20,Planar,"2,5","2,5",3 / 5,"1,24","0,79","3,52e-03","1,00","1,00","1,00","-0,12","0,65","-0,27",,"3,23","3,92",,
20,Planar,"2,5","2,5",4 / 5,"1,27","0,81","3,43e-03","1,00","1,00","1,00","-0,16","0,65","-0,36",,"3,23","3,92",,
20,Planar,"2,5","2,5",FINAL,"1,27","0,80","3,43e-03","1,00","1,00","1,00","-0,19","0,64","-0,41","4,73","3,23","3,92","7,44","68,36"
20,Planar,10,0,INITIAL,"7,13","6,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","13,77","16,32",,
20,Planar,10,0,1 / 5,"0,90","0,91","1,15e-01","1,00","1,00","1,00","-1,34","-0,8","-0,09",,"12,27","15,40",,
20,Planar,10,0,2 / 5,"0,89","1,01","1,24e-01","1,00","1,00","1,00","-1,4","-0,3","-1,07",,"12,45","15,67",,
20,Planar,10,0,3 / 5,"0,90","1,06","1,31e-01","1,00","1,00","1,00","-1,94","-0,26","-1,58",,"12,64","15,90",,
20,Planar,10,0,4 / 5,"0,84","0,91","1,29e-01","1,00","1,00","1,00","-3,04","0,68","-2,62",,"12,87","16,23",,
20,Planar,10,0,FINAL,"0,88","1,05","1,28e-01","1,00","1,00","1,00","-3,53","0,34","-2,95","16,05","12,95","16,32","5,95","80,68"
20,Planar,0,10,INITIAL,"3,49","3,41","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,57","6,02",,
20,Planar,0,10,1 / 5,"1,02","1,05","1,16e-04","1,00","1,00","1,00","-0,73","3,59","-0,19",,"4,69","5,36",,
20,Planar,0,10,2 / 5,"0,95","1,00","7,31e-05","1,00","1,00","1,00","-0,49","3,88","-0,31",,"4,63","5,30",,
20,Planar,0,10,3 / 5,"0,92","0,97","5,86e-05","1,00","1,00","1,00","-0,65","4,02","-0,32",,"4,60","5,27",,
20,Planar,0,10,4 / 5,"0,93","0,98","4,35e-05","1,00","1,00","1,00","-0,59","4,11","-0,37",,"4,57","5,24",,
20,Planar,0,10,FINAL,"0,96","1,01","2,91e-05","1,00","1,00","1,00","-0,67","4,15","-0,37","10,00","4,56","5,23","18,19","45,57"
20,Planar,10,10,INITIAL,"8,23","8,13","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","14,59","17,47",,
20,Planar,10,10,1 / 5,"1,07","1,06","1,36e-01","1,00","1,00","1,00","-1,87","4,31","-1,33",,"12,96","16,38",,
20,Planar,10,10,2 / 5,"1,03","1,10","1,39e-01","1,00","1,00","1,00","-3,27","4,39","-2,49",,"13,04","16,41",,
20,Planar,10,10,3 / 5,"0,95","1,03","1,45e-01","1,00","1,00","1,00","-3,84","4,41","-2,97",,"13,12","16,47",,
20,Planar,10,10,4 / 5,"0,99","1,06","1,48e-01","1,00","1,00","1,00","-4,21","4,42","-3,63",,"13,15","16,51",,
20,Planar,10,10,FINAL,"0,97","1,04","1,48e-01","1,00","1,00","1,00","-5,54","4,57","-4,58","19,14","13,17","16,57","9,68","68,83"
20,Gradual,0,"2,5",INITIAL,"1,66","1,59","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,03","2,45",,
20,Gradual,0,"2,5",1 / 5,"0,94","1,06","6,16e-05","1,00","1,00","1,00","-0,31","0,98","-0,28",,"1,81","2,21",,
20,Gradual,0,"2,5",2 / 5,"0,92","1,06","5,27e-05","1,00","1,00","1,00","-0,27","1,09","-0,37",,"1,80","2,20",,
20,Gradual,0,"2,5",3 / 5,"0,89","1,03","5,12e-05","1,00","1,00","1,00","-0,35","1,18","-0,45",,"1,78","2,17",,
20,Gradual,0,"2,5",4 / 5,"0,86","1,00","5,50e-05","1,00","1,00","1,00","-0,36","1,23","-0,54",,"1,76","2,15",,
20,Gradual,0,"2,5",FINAL,"0,84","0,97","5,95e-05","1,00","1,00","1,00","-0,45","1,26","-0,62","3,24","1,74","2,12","14,46","53,61"
20,Gradual,"2,5","2,5",INITIAL,"2,21","2,30","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,36","4,03","4,75",,
20,Gradual,"2,5","2,5",1 / 5,"1,10","0,92","2,10e-03","1,00","1,00","1,00","-0,08","1,49","-0,36",,"3,71","4,52",,
20,Gradual,"2,5","2,5",2 / 5,"1,11","0,91","2,08e-03","1,00","1,00","1,00","-0,26","1,59","-0,43",,"3,71","4,52",,
20,Gradual,"2,5","2,5",3 / 5,"1,09","0,89","2,20e-03","1,00","1,00","1,00","-0,22","1,66","-0,63",,"3,71","4,52",,
20,Gradual,"2,5","2,5",4 / 5,"1,08","0,89","2,18e-03","1,00","1,00","1,00","-0,37","1,67","-0,7",,"3,71","4,52",,
20,Gradual,"2,5","2,5",FINAL,"1,10","0,90","2,11e-03","1,00","1,00","1,00","-0,32","1,7","-0,87","5,36","3,70","4,51","8,13","69,17"
20,Gradual,0,10,INITIAL,"5,37","5,03","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,53","5,82","6,85",,
20,Gradual,0,10,1 / 5,"1,02","1,28","1,37e-03","1,00","1,00","1,00","-1,62","6,02","-1,87",,"4,63","5,46",,
20,Gradual,0,10,2 / 5,"0,77","0,83","1,83e-03","1,00","1,00","1,00","-2,25","6,17","-3,12",,"4,22","5,02",,
20,Gradual,0,10,3 / 5,"0,70","0,76","2,00e-03","1,00","1,00","1,00","-2,65","6,05","-3,82",,"3,95","4,72",,
20,Gradual,0,10,4 / 5,"0,77","0,82","1,96e-03","1,00","1,00","1,00","-3,33","5,94","-3,87",,"3,80","4,54",,
20,Gradual,0,10,FINAL,"0,54","0,57","2,36e-03","1,00","1,00","1,00","-4,06","5,84","-4,58","10,53","3,54","4,23","39,17","33,60"
20,Gradual,10,10,INITIAL,"9,92","10,02","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,68","17,26",,
20,Gradual,10,10,1 / 5,"1,09","0,94","1,25e-01","1,00","1,00","1,00","-2,56","6,13","-3,79",,"12,50","15,59",,
20,Gradual,10,10,2 / 5,"1,02","0,87","1,27e-01","1,00","1,00","1,00","-4,62","5,75","-5,08",,"12,63","15,70",,
20,Gradual,10,10,3 / 5,"0,97","0,89","1,30e-01","1,00","1,00","1,00","-5,56","5,57","-6,82",,"12,87","15,91",,
20,Gradual,10,10,4 / 5,"1,01","0,92","1,27e-01","1,00","1,00","1,00","-6,95","5,3","-7,9",,"12,97","16,04",,
20,Gradual,10,10,FINAL,"1,06","0,93","1,26e-01","1,00","1,00","1,00","-8,1","5,14","-9,65","19,45","13,10","16,17","10,76","67,38"
