{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","2,94e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,95","1,07","1,21",,
20,Planar,"2,5",0,1 / 20,"0,94","1,07","3,81e-03","1,00","1,00","1,00","-1,67","2,57","-1,4",,"2,73","3,40",,
20,Planar,"2,5",0,2 / 20,"0,96","1,05","3,00e-03","1,00","1,00","1,00","-1,67","2,56","-1,31",,"2,80","3,48",,
20,Planar,"2,5",0,3 / 20,"0,95","1,03","2,68e-03","1,00","1,00","1,00","-1,61","2,57","-1,26",,"2,90","3,59",,
20,Planar,"2,5",0,4 / 20,"0,95","1,04","2,51e-03","1,00","1,00","1,00","-1,57","2,58","-1,22",,"2,97","3,65",,
20,Planar,"2,5",0,5 / 20,"0,95","1,03","2,48e-03","1,00","1,00","1,00","-1,54","2,56","-1,14",,"3,00","3,69",,
20,Planar,"2,5",0,6 / 20,"0,95","1,04","2,42e-03","1,00","1,00","1,00","-1,53","2,58","-1,19",,"3,03","3,72",,
20,Planar,"2,5",0,7 / 20,"0,95","1,03","2,41e-03","1,00","1,00","1,00","-1,52","2,57","-1,18",,"3,05","3,75",,
20,Planar,"2,5",0,8 / 20,"0,96","1,03","2,37e-03","1,00","1,00","1,00","-1,5","2,58","-1,15",,"3,08","3,78",,
20,Planar,"2,5",0,9 / 20,"0,96","1,03","2,33e-03","1,00","1,00","1,00","-1,43","2,58","-1,11",,"3,12","3,83",,
20,Planar,"2,5",0,10 / 20,"0,96","1,03","2,28e-03","1,00","1,00","1,00","-1,43","2,59","-1,07",,"3,14","3,86",,
20,Planar,"2,5",0,11 / 20,"0,96","1,03","2,23e-03","1,00","1,00","1,00","-1,39","2,59","-1,02",,"3,19","3,91",,
20,Planar,"2,5",0,12 / 20,"0,96","1,03","2,33e-03","1,00","1,00","1,00","-1,36","2,58","-0,99",,"3,22","3,95",,
20,Planar,"2,5",0,13 / 20,"0,96","1,03","2,25e-03","1,00","1,00","1,00","-1,34","2,58","-0,98",,"3,23","3,96",,
20,Planar,"2,5",0,14 / 20,"0,96","1,03","2,23e-03","1,00","1,00","1,00","-1,34","2,58","-0,97",,"3,24","3,97",,
20,Planar,"2,5",0,15 / 20,"0,96","1,03","2,31e-03","1,00","1,00","1,00","-1,31","2,58","-0,96",,"3,26","3,99",,
20,Planar,"2,5",0,16 / 20,"0,96","1,03","2,24e-03","1,00","1,00","1,00","-1,32","2,57","-0,94",,"3,27","4,00",,
20,Planar,"2,5",0,17 / 20,"0,96","1,03","2,23e-03","1,00","1,00","1,00","-1,31","2,58","-0,94",,"3,27","4,01",,
20,Planar,"2,5",0,18 / 20,"0,96","1,03","2,31e-03","1,00","1,00","1,00","-1,3","2,57","-0,92",,"3,29","4,03",,
20,Planar,"2,5",0,19 / 20,"0,97","1,03","2,23e-03","1,00","1,00","1,00","-1,29","2,57","-0,91",,"3,29","4,03",,
20,Planar,"2,5",0,FINAL,"0,97","1,03","2,22e-03","1,00","1,00","1,00","-1,28","2,58","-0,91","3,95","3,30","4,04","-207,24","83,56"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","4,03e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,07","1,21",,
20,Planar,0,"2,5",1 / 20,"0,52","0,50","2,72e-04","1,00","1,00","1,00","-1,13","1,46","-1,78",,"0,73","0,81",,
20,Planar,0,"2,5",2 / 20,"0,47","0,45","7,94e-05","1,00","1,00","1,00","-1,17","1,41","-1,77",,"0,71","0,78",,
20,Planar,0,"2,5",3 / 20,"0,45","0,43","5,56e-05","1,00","1,00","1,00","-1,15","1,42","-1,79",,"0,71","0,78",,
20,Planar,0,"2,5",4 / 20,"0,43","0,42","5,02e-05","1,00","1,00","1,00","-1,16","1,43","-1,76",,"0,71","0,79",,
20,Planar,0,"2,5",5 / 20,"0,41","0,40","4,79e-05","1,00","1,00","1,00","-1,16","1,45","-1,78",,"0,72","0,80",,
20,Planar,0,"2,5",6 / 20,"0,40","0,39","4,77e-05","1,00","1,00","1,00","-1,17","1,46","-1,79",,"0,73","0,80",,
20,Planar,0,"2,5",7 / 20,"0,39","0,38","4,74e-05","1,00","1,00","1,00","-1,18","1,47","-1,79",,"0,74","0,81",,
20,Planar,0,"2,5",8 / 20,"0,38","0,37","4,70e-05","1,00","1,00","1,00","-1,18","1,49","-1,78",,"0,75","0,82",,
20,Planar,0,"2,5",9 / 20,"0,37","0,37","4,71e-05","1,00","1,00","1,00","-1,17","1,5","-1,77",,"0,75","0,83",,
20,Planar,0,"2,5",10 / 20,"0,37","0,36","4,70e-05","1,00","1,00","1,00","-1,18","1,51","-1,78",,"0,76","0,83",,
20,Planar,0,"2,5",11 / 20,"0,36","0,35","4,68e-05","1,00","1,00","1,00","-1,19","1,52","-1,78",,"0,76","0,84",,
20,Planar,0,"2,5",12 / 20,"0,35","0,35","4,63e-05","1,00","1,00","1,00","-1,2","1,53","-1,78",,"0,77","0,85",,
20,Planar,0,"2,5",13 / 20,"0,35","0,34","4,63e-05","1,00","1,00","1,00","-1,2","1,55","-1,78",,"0,78","0,86",,
20,Planar,0,"2,5",14 / 20,"0,34","0,33","4,64e-05","1,00","1,00","1,00","-1,19","1,57","-1,78",,"0,79","0,88",,
20,Planar,0,"2,5",15 / 20,"0,34","0,33","4,64e-05","1,00","1,00","1,00","-1,21","1,58","-1,76",,"0,80","0,88",,
20,Planar,0,"2,5",16 / 20,"0,33","0,32","4,92e-05","1,00","1,00","1,00","-1,21","1,6","-1,76",,"0,80","0,89",,
20,Planar,0,"2,5",17 / 20,"0,33","0,32","4,67e-05","1,00","1,00","1,00","-1,22","1,61","-1,76",,"0,81","0,89",,
20,Planar,0,"2,5",18 / 20,"0,33","0,32","4,68e-05","1,00","1,00","1,00","-1,22","1,61","-1,76",,"0,81","0,90",,
20,Planar,0,"2,5",19 / 20,"0,32","0,31","5,34e-05","1,00","1,00","1,00","-1,22","1,62","-1,76",,"0,82","0,90",,
20,Planar,0,"2,5",FINAL,"0,33","0,32","4,81e-05","1,00","1,00","1,00","-1,22","1,63","-1,75","2,50","0,82","0,90","23,82","32,68"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","3,36e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","1,08","1,25",,
20,Planar,"2,5","2,5",1 / 20,"0,99","1,01","6,87e-03","1,00","1,00","1,00","-1,86","1,13","-1,39",,"2,49","3,08",,
20,Planar,"2,5","2,5",2 / 20,"1,20","0,84","4,07e-03","1,00","1,00","1,00","-1,97","1,17","-1,26",,"2,63","3,25",,
20,Planar,"2,5","2,5",3 / 20,"1,23","0,81","3,67e-03","1,00","1,00","1,00","-1,96","1,15","-1,18",,"2,69","3,32",,
20,Planar,"2,5","2,5",4 / 20,"1,24","0,81","3,50e-03","1,00","1,00","1,00","-1,93","1,13","-1,22",,"2,74","3,38",,
20,Planar,"2,5","2,5",5 / 20,"1,24","0,81","3,40e-03","1,00","1,00","1,00","-1,95","1,13","-1,16",,"2,82","3,47",,
20,Planar,"2,5","2,5",6 / 20,"1,30","0,85","3,17e-03","1,00","1,00","1,00","-1,91","1,1","-1,17",,"2,84","3,49",,
20,Planar,"2,5","2,5",7 / 20,"1,25","0,81","3,29e-03","1,00","1,00","1,00","-1,94","1,11","-1,14",,"2,85","3,51",,
20,Planar,"2,5","2,5",8 / 20,"1,24","0,81","3,36e-03","1,00","1,00","1,00","-1,92","1,1","-1,13",,"2,87","3,53",,
20,Planar,"2,5","2,5",9 / 20,"1,24","0,80","3,40e-03","1,00","1,00","1,00","-1,94","1,11","-1,1",,"2,88","3,55",,
20,Planar,"2,5","2,5",10 / 20,"1,23","0,81","3,37e-03","1,00","1,00","1,00","-1,92","1,1","-1,1",,"2,89","3,56",,
20,Planar,"2,5","2,5",11 / 20,"1,24","0,81","3,36e-03","1,00","1,00","1,00","-1,94","1,09","-1,09",,"2,90","3,57",,
20,Planar,"2,5","2,5",12 / 20,"1,26","0,82","3,23e-03","1,00","1,00","1,00","-1,92","1,09","-1,08",,"2,92","3,59",,
20,Planar,"2,5","2,5",13 / 20,"1,24","0,81","3,40e-03","1,00","1,00","1,00","-1,97","1,1","-1,04",,"2,93","3,60",,
20,Planar,"2,5","2,5",14 / 20,"1,25","0,81","3,29e-03","1,00","1,00","1,00","-1,94","1,09","-1,06",,"2,94","3,61",,
20,Planar,"2,5","2,5",15 / 20,"1,25","0,81","3,26e-03","1,00","1,00","1,00","-1,95","1,1","-1,04",,"2,95","3,62",,
20,Planar,"2,5","2,5",16 / 20,"1,26","0,82","3,24e-03","1,00","1,00","1,00","-1,94","1,08","-1,04",,"2,96","3,63",,
20,Planar,"2,5","2,5",17 / 20,"1,25","0,81","3,35e-03","1,00","1,00","1,00","-1,98","1,08","-1,02",,"2,97","3,65",,
20,Planar,"2,5","2,5",18 / 20,"1,25","0,81","3,22e-03","1,00","1,00","1,00","-1,96","1,09","-1,02",,"2,97","3,66",,
20,Planar,"2,5","2,5",19 / 20,"1,24","0,80","3,32e-03","1,00","1,00","1,00","-1,97","1,08","-1,01",,"2,98","3,66",,
20,Planar,"2,5","2,5",FINAL,"1,24","0,81","3,34e-03","1,00","1,00","1,00","-2,0","1,08","-0,99","4,73","3,00","3,69","-177,44","63,51"
20,Planar,10,0,INITIAL,"0,00","0,00","4,42e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,05","1,07","1,20",,
20,Planar,10,0,1 / 20,"0,85","1,03","2,09e-01","1,00","1,00","1,00","-6,0","2,29","-5,46",,"9,26","11,86",,
20,Planar,10,0,2 / 20,"0,79","1,16","1,73e-01","1,00","1,00","1,00","-7,52","2,5","-6,03",,"10,90","13,87",,
20,Planar,10,0,3 / 20,"0,91","1,08","1,72e-01","1,00","1,00","1,00","-7,61","2,37","-5,9",,"11,38","14,44",,
20,Planar,10,0,4 / 20,"0,90","1,07","1,55e-01","1,00","1,00","1,00","-8,29","2,76","-6,33",,"12,00","15,19",,
20,Planar,10,0,5 / 20,"0,94","1,06","1,49e-01","1,00","1,00","1,00","-9,18","3,09","-6,96",,"12,80","16,07",,
20,Planar,10,0,6 / 20,"0,98","1,10","1,48e-01","1,00","1,00","1,00","-9,08","3,32","-6,89",,"13,17","16,48",,
20,Planar,10,0,7 / 20,"0,94","1,00","1,45e-01","1,00","1,00","1,00","-10,51","3,79","-7,91",,"13,93","17,29",,
20,Planar,10,0,8 / 20,"0,98","1,10","1,37e-01","1,00","1,00","1,00","-10,72","4,1","-7,97",,"14,58","18,09",,
20,Planar,10,0,9 / 20,"0,89","1,02","1,38e-01","1,00","1,00","1,00","-11,48","4,16","-8,19",,"14,97","18,48",,
20,Planar,10,0,10 / 20,"0,96","1,22","1,32e-01","1,00","1,00","1,00","-11,86","4,09","-8,81",,"15,24","18,79",,
20,Planar,10,0,11 / 20,"0,92","1,08","1,31e-01","1,00","1,00","1,00","-12,91","4,07","-9,22",,"15,88","19,49",,
20,Planar,10,0,12 / 20,"0,99","1,16","1,32e-01","1,00","1,00","1,00","-13,84","4,51","-9,68",,"16,55","20,27",,
20,Planar,10,0,13 / 20,"0,83","0,95","1,34e-01","1,00","1,00","1,00","-15,3","4,44","-10,64",,"17,19","21,01",,
20,Planar,10,0,14 / 20,"1,05","1,14","1,26e-01","1,00","1,00","1,00","-15,13","5,03","-10,2",,"17,31","21,18",,
20,Planar,10,0,15 / 20,"1,09","1,24","1,25e-01","1,00","1,00","1,00","-16,17","4,91","-10,96",,"17,76","21,71",,
20,Planar,10,0,16 / 20,"0,90","1,04","1,28e-01","1,00","1,00","1,00","-16,64","5,18","-11,11",,"18,01","22,01",,
20,Planar,10,0,17 / 20,"0,93","1,24","1,24e-01","1,00","1,00","1,00","-18,47","5,35","-12,08",,"18,87","22,96",,
20,Planar,10,0,18 / 20,"1,02","1,16","1,24e-01","1,00","0,99","1,00","-18,67","5,49","-11,99",,"19,11","23,28",,
20,Planar,10,0,19 / 20,"1,05","1,23","1,23e-01","1,00","0,99","1,00","-19,95","5,63","-12,8",,"19,66","23,89",,
20,Planar,10,0,FINAL,"1,28","1,61","1,09e-01","1,00","0,99","1,00","-20,33","6,04","-12,82","16,05","19,88","24,15","-1753,71","123,85"
20,Planar,0,10,INITIAL,"0,00","0,00","3,89e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","1,05","1,19",,
20,Planar,0,10,1 / 20,"0,29","0,28","2,47e-04","1,00","1,00","1,00","-5,19","4,87","-7,3",,"0,83","0,90",,
20,Planar,0,10,2 / 20,"0,28","0,25","1,57e-04","1,00","1,00","1,00","-5,2","4,88","-7,3",,"0,81","0,89",,
20,Planar,0,10,3 / 20,"0,37","0,35","5,29e-05","1,00","1,00","1,00","-5,21","4,89","-7,31",,"0,80","0,87",,
20,Planar,0,10,4 / 20,"0,37","0,34","4,67e-05","1,00","1,00","1,00","-5,2","4,9","-7,3",,"0,80","0,87",,
20,Planar,0,10,5 / 20,"0,36","0,33","4,50e-05","1,00","1,00","1,00","-5,2","4,91","-7,29",,"0,80","0,87",,
20,Planar,0,10,6 / 20,"0,36","0,33","4,44e-05","1,00","1,00","1,00","-5,2","4,91","-7,29",,"0,80","0,87",,
20,Planar,0,10,7 / 20,"0,36","0,32","4,39e-05","1,00","1,00","1,00","-5,2","4,92","-7,29",,"0,80","0,87",,
20,Planar,0,10,8 / 20,"0,35","0,32","4,36e-05","1,00","1,00","1,00","-5,19","4,93","-7,29",,"0,81","0,88",,
20,Planar,0,10,9 / 20,"0,35","0,32","4,34e-05","1,00","1,00","1,00","-5,2","4,93","-7,28",,"0,81","0,88",,
20,Planar,0,10,10 / 20,"0,35","0,32","4,32e-05","1,00","1,00","1,00","-5,19","4,94","-7,28",,"0,81","0,88",,
20,Planar,0,10,11 / 20,"0,35","0,31","4,32e-05","1,00","1,00","1,00","-5,19","4,95","-7,28",,"0,81","0,88",,
20,Planar,0,10,12 / 20,"0,34","0,31","4,31e-05","1,00","1,00","1,00","-5,19","4,96","-7,28",,"0,81","0,88",,
20,Planar,0,10,13 / 20,"0,34","0,31","4,30e-05","1,00","1,00","1,00","-5,18","4,97","-7,27",,"0,81","0,88",,
20,Planar,0,10,14 / 20,"0,34","0,31","4,30e-05","1,00","1,00","1,00","-5,18","4,97","-7,27",,"0,81","0,88",,
20,Planar,0,10,FINAL,"0,34","0,31","4,30e-05","1,00","1,00","1,00","-5,18","4,97","-7,27","10,00","0,81","0,88","22,98","8,11"
20,Planar,10,10,INITIAL,"0,00","0,00","4,41e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,14","1,05","1,19",,
20,Planar,10,10,1 / 20,"0,92","1,09","1,17e-01","0,99","1,00","0,99","-66,62","12,49","-16,64",,"52,69","54,70",,
20,Planar,10,10,2 / 20,"0,72","1,69","1,05e-01","0,99","1,00","0,99","-66,48","12,84","-15,75",,"53,27","55,32",,
20,Planar,10,10,3 / 20,"0,67","1,79","9,77e-02","0,99","0,99","0,99","-66,64","13,04","-15,29",,"53,90","55,98",,
20,Planar,10,10,4 / 20,"0,71","1,88","9,99e-02","0,99","0,99","0,99","-67,08","13,05","-15,58",,"54,14","56,24",,
20,Planar,10,10,5 / 20,"1,17","1,23","8,64e-02","0,99","0,99","0,99","-67,11","13,23","-14,87",,"54,57","56,68",,
20,Planar,10,10,6 / 20,"1,09","1,02","8,76e-02","0,99","0,99","0,99","-67,54","13,21","-14,73",,"55,05","57,20",,
20,Planar,10,10,7 / 20,"1,27","1,19","8,17e-02","0,99","0,99","0,99","-67,68","13,25","-14,67",,"55,45","57,62",,
20,Planar,10,10,8 / 20,"1,15","1,07","8,22e-02","0,99","0,99","0,99","-67,83","13,23","-14,56",,"55,62","57,81",,
20,Planar,10,10,9 / 20,"1,09","1,04","8,32e-02","0,99","0,99","0,99","-68,2","13,23","-14,65",,"55,94","58,16",,
20,Planar,10,10,10 / 20,"1,07","1,01","8,21e-02","0,99","0,99","0,99","-68,43","13,16","-14,32",,"56,34","58,59",,
20,Planar,10,10,11 / 20,"0,98","0,93","8,25e-02","0,99","0,99","0,99","-68,65","13,15","-14,7",,"56,49","58,74",,
20,Planar,10,10,12 / 20,"1,04","0,98","8,03e-02","0,99","0,99","0,99","-69,27","13,08","-14,58",,"57,19","59,49",,
20,Planar,10,10,13 / 20,"0,99","0,94","8,04e-02","0,99","0,99","0,99","-70,0","12,94","-14,6",,"57,83","60,17",,
20,Planar,10,10,14 / 20,"1,02","0,96","8,00e-02","0,99","0,99","0,99","-70,43","12,9","-14,76",,"58,15","60,51",,
20,Planar,10,10,15 / 20,"0,94","0,94","8,03e-02","0,99","0,99","0,99","-70,69","12,87","-14,74",,"58,33","60,70",,
20,Planar,10,10,16 / 20,"0,95","0,93","8,01e-02","0,99","0,99","0,99","-71,08","12,78","-14,91",,"58,63","61,02",,
20,Planar,10,10,17 / 20,"0,99","0,95","7,86e-02","0,99","0,99","0,99","-71,64","12,64","-14,91",,"59,10","61,50",,
20,Planar,10,10,18 / 20,"1,14","1,07","7,65e-02","0,99","0,99","0,99","-71,75","12,64","-14,82",,"59,24","61,64",,
20,Planar,10,10,19 / 20,"0,99","0,93","7,84e-02","0,99","0,99","0,99","-72,18","12,52","-15,02",,"59,52","61,94",,
20,Planar,10,10,FINAL,"0,97","0,91","7,96e-02","0,99","0,99","0,99","-72,41","12,49","-15,05","19,14","59,70","62,12","-5574,19","311,89"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","4,28e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,24","1,07","1,21",,
20,Gradual,0,"2,5",1 / 20,"0,45","0,48","6,64e-04","1,00","1,00","1,00","-4,54","-1,14","-3,28",,"1,35","1,56",,
20,Gradual,0,"2,5",2 / 20,"0,51","0,52","4,20e-04","1,00","1,00","1,00","-4,64","-1,2","-3,27",,"1,34","1,56",,
20,Gradual,0,"2,5",3 / 20,"0,48","0,48","4,05e-04","1,00","1,00","1,00","-4,69","-1,23","-3,31",,"1,33","1,55",,
20,Gradual,0,"2,5",4 / 20,"0,46","0,45","3,98e-04","1,00","1,00","1,00","-4,71","-1,24","-3,29",,"1,32","1,55",,
20,Gradual,0,"2,5",5 / 20,"0,52","0,50","3,40e-04","1,00","1,00","1,00","-4,76","-1,27","-3,32",,"1,32","1,55",,
20,Gradual,0,"2,5",6 / 20,"0,50","0,49","3,40e-04","1,00","1,00","1,00","-4,79","-1,29","-3,32",,"1,32","1,55",,
20,Gradual,0,"2,5",7 / 20,"0,48","0,47","3,44e-04","1,00","1,00","1,00","-4,83","-1,33","-3,32",,"1,32","1,55",,
20,Gradual,0,"2,5",8 / 20,"0,46","0,44","3,55e-04","1,00","1,00","1,00","-4,87","-1,35","-3,34",,"1,32","1,55",,
20,Gradual,0,"2,5",9 / 20,"0,46","0,44","3,51e-04","1,00","1,00","1,00","-4,88","-1,36","-3,33",,"1,32","1,55",,
20,Gradual,0,"2,5",10 / 20,"0,44","0,42","3,59e-04","1,00","1,00","1,00","-4,93","-1,39","-3,35",,"1,32","1,56",,
20,Gradual,0,"2,5",11 / 20,"0,43","0,42","3,60e-04","1,00","1,00","1,00","-4,96","-1,43","-3,34",,"1,32","1,56",,
20,Gradual,0,"2,5",12 / 20,"0,43","0,41","3,63e-04","1,00","1,00","1,00","-5,0","-1,45","-3,38",,"1,33","1,56",,
20,Gradual,0,"2,5",13 / 20,"0,42","0,40","3,66e-04","1,00","1,00","1,00","-5,03","-1,47","-3,38",,"1,33","1,56",,
20,Gradual,0,"2,5",14 / 20,"0,42","0,40","3,68e-04","1,00","1,00","1,00","-5,04","-1,49","-3,38",,"1,33","1,57",,
20,Gradual,0,"2,5",15 / 20,"0,41","0,39","3,71e-04","1,00","1,00","1,00","-5,07","-1,51","-3,4",,"1,33","1,57",,
20,Gradual,0,"2,5",16 / 20,"0,41","0,39","3,76e-04","1,00","1,00","1,00","-5,09","-1,52","-3,4",,"1,33","1,57",,
20,Gradual,0,"2,5",17 / 20,"0,40","0,39","3,77e-04","1,00","1,00","1,00","-5,09","-1,54","-3,39",,"1,33","1,57",,
20,Gradual,0,"2,5",18 / 20,"0,40","0,38","3,80e-04","1,00","1,00","1,00","-5,12","-1,56","-3,4",,"1,34","1,57",,
20,Gradual,0,"2,5",19 / 20,"0,39","0,38","3,83e-04","1,00","1,00","1,00","-5,15","-1,59","-3,4",,"1,34","1,57",,
20,Gradual,0,"2,5",FINAL,"0,39","0,37","3,87e-04","1,00","1,00","1,00","-5,18","-1,63","-3,4","3,24","1,34","1,58","-25,84","41,48"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","3,78e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,36","1,06","1,21",,
20,Gradual,"2,5","2,5",1 / 20,"1,10","0,92","6,27e-03","1,00","1,00","1,00","-2,21","-1,03","-3,16",,"3,45","4,19",,
20,Gradual,"2,5","2,5",2 / 20,"1,31","1,07","2,79e-03","1,00","1,00","1,00","-2,21","-1,02","-2,93",,"3,60","4,33",,
20,Gradual,"2,5","2,5",3 / 20,"1,26","0,99","2,49e-03","1,00","1,00","1,00","-2,23","-1,01","-2,98",,"3,66","4,39",,
20,Gradual,"2,5","2,5",4 / 20,"1,21","0,95","2,27e-03","1,00","1,00","1,00","-2,22","-0,99","-2,95",,"3,72","4,46",,
20,Gradual,"2,5","2,5",5 / 20,"1,14","0,90","2,25e-03","1,00","1,00","1,00","-2,2","-0,97","-2,89",,"3,78","4,53",,
20,Gradual,"2,5","2,5",6 / 20,"1,13","0,89","2,24e-03","1,00","1,00","1,00","-2,2","-0,96","-2,9",,"3,79","4,55",,
20,Gradual,"2,5","2,5",7 / 20,"1,14","0,90","2,06e-03","1,00","1,00","1,00","-2,2","-0,94","-2,87",,"3,84","4,60",,
20,Gradual,"2,5","2,5",8 / 20,"1,19","0,95","1,72e-03","1,00","1,00","1,00","-2,18","-0,92","-2,85",,"3,88","4,64",,
20,Gradual,"2,5","2,5",9 / 20,"1,13","0,90","1,90e-03","1,00","1,00","1,00","-2,16","-0,89","-2,84",,"3,90","4,67",,
20,Gradual,"2,5","2,5",10 / 20,"1,15","0,92","1,81e-03","1,00","1,00","1,00","-2,17","-0,86","-2,83",,"3,92","4,70",,
20,Gradual,"2,5","2,5",11 / 20,"1,08","0,86","2,07e-03","1,00","1,00","1,00","-2,15","-0,85","-2,83",,"3,92","4,71",,
20,Gradual,"2,5","2,5",12 / 20,"1,11","0,89","1,92e-03","1,00","1,00","1,00","-2,16","-0,82","-2,81",,"3,94","4,73",,
