{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"3,15","2,96","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,95","2,15","2,35",,
20,Planar,"2,5",0,1 / 20,"0,97","1,03","5,67e-03","1,00","1,00","1,00","0,23","0,05","0,02",,"1,72","1,99",,
20,Planar,"2,5",0,2 / 20,"0,96","1,04","4,23e-03","1,00","1,00","1,00","0,14","0,16","-0,21",,"1,99","2,36",,
20,Planar,"2,5",0,3 / 20,"0,97","1,05","3,66e-03","1,00","1,00","1,00","0,24","0,21","-0,06",,"2,14","2,56",,
20,Planar,"2,5",0,4 / 20,"0,95","1,03","3,16e-03","1,00","1,00","1,00","0,19","0,31","-0,3",,"2,36","2,86",,
20,Planar,"2,5",0,5 / 20,"0,95","1,03","2,86e-03","1,00","1,00","1,00","0,27","0,39","-0,21",,"2,49","3,03",,
20,Planar,"2,5",0,6 / 20,"0,96","1,04","2,62e-03","1,00","1,00","1,00","0,26","0,44","-0,33",,"2,61","3,19",,
20,Planar,"2,5",0,7 / 20,"0,96","1,04","2,52e-03","1,00","1,00","1,00","0,26","0,49","-0,35",,"2,67","3,26",,
20,Planar,"2,5",0,8 / 20,"0,97","1,04","2,47e-03","1,00","1,00","1,00","0,3","0,51","-0,31",,"2,73","3,34",,
20,Planar,"2,5",0,9 / 20,"0,97","1,05","2,33e-03","1,00","1,00","1,00","0,33","0,55","-0,28",,"2,77","3,39",,
20,Planar,"2,5",0,10 / 20,"0,96","1,04","2,32e-03","1,00","1,00","1,00","0,35","0,59","-0,3",,"2,84","3,47",,
20,Planar,"2,5",0,11 / 20,"0,96","1,04","2,32e-03","1,00","1,00","1,00","0,34","0,62","-0,35",,"2,87","3,51",,
20,Planar,"2,5",0,12 / 20,"0,96","1,03","2,33e-03","1,00","1,00","1,00","0,35","0,63","-0,35",,"2,90","3,55",,
20,Planar,"2,5",0,13 / 20,"0,97","1,04","2,24e-03","1,00","1,00","1,00","0,38","0,67","-0,34",,"2,92","3,58",,
20,Planar,"2,5",0,14 / 20,"0,96","1,03","2,32e-03","1,00","1,00","1,00","0,4","0,69","-0,35",,"2,95","3,61",,
20,Planar,"2,5",0,15 / 20,"0,96","1,03","2,24e-03","1,00","1,00","1,00","0,41","0,71","-0,35",,"2,97","3,64",,
20,Planar,"2,5",0,16 / 20,"0,96","1,03","2,21e-03","1,00","1,00","1,00","0,41","0,73","-0,36",,"2,99","3,66",,
20,Planar,"2,5",0,17 / 20,"0,96","1,03","2,29e-03","1,00","1,00","1,00","0,42","0,78","-0,36",,"3,04","3,71",,
20,Planar,"2,5",0,18 / 20,"0,96","1,03","2,21e-03","1,00","1,00","1,00","0,43","0,8","-0,37",,"3,06","3,74",,
20,Planar,"2,5",0,19 / 20,"0,96","1,03","2,27e-03","1,00","1,00","1,00","0,44","0,83","-0,37",,"3,07","3,76",,
20,Planar,"2,5",0,FINAL,"0,97","1,03","2,19e-03","1,00","1,00","1,00","0,46","0,85","-0,38","3,95","3,09","3,78","-44,02","78,29"
20,Planar,0,"2,5",INITIAL,"1,79","1,45","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,42","1,52",,
20,Planar,0,"2,5",1 / 20,"0,37","0,37","2,60e-04","1,00","1,00","1,00","-0,58","1,16","-0,21",,"1,10","1,19",,
20,Planar,0,"2,5",2 / 20,"0,31","0,31","2,31e-04","1,00","1,00","1,00","-0,69","1,16","-0,48",,"1,05","1,14",,
20,Planar,0,"2,5",3 / 20,"0,32","0,32","1,70e-04","1,00","1,00","1,00","-0,71","1,16","-0,51",,"1,03","1,12",,
20,Planar,0,"2,5",4 / 20,"0,31","0,31","1,35e-04","1,00","1,00","1,00","-0,74","1,16","-0,58",,"1,02","1,11",,
20,Planar,0,"2,5",5 / 20,"0,32","0,32","1,14e-04","1,00","1,00","1,00","-0,76","1,16","-0,64",,"1,01","1,11",,
20,Planar,0,"2,5",6 / 20,"0,32","0,32","9,83e-05","1,00","1,00","1,00","-0,78","1,17","-0,65",,"1,01","1,11",,
20,Planar,0,"2,5",7 / 20,"0,35","0,35","6,59e-05","1,00","1,00","1,00","-0,79","1,17","-0,69",,"1,01","1,11",,
20,Planar,0,"2,5",8 / 20,"0,36","0,36","5,02e-05","1,00","1,00","1,00","-0,81","1,17","-0,72",,"1,01","1,11",,
20,Planar,0,"2,5",9 / 20,"0,36","0,35","4,82e-05","1,00","1,00","1,00","-0,82","1,18","-0,74",,"1,01","1,11",,
20,Planar,0,"2,5",10 / 20,"0,35","0,35","4,80e-05","1,00","1,00","1,00","-0,82","1,18","-0,74",,"1,01","1,11",,
20,Planar,0,"2,5",11 / 20,"0,35","0,34","4,81e-05","1,00","1,00","1,00","-0,84","1,18","-0,78",,"1,01","1,12",,
20,Planar,0,"2,5",12 / 20,"0,34","0,33","5,12e-05","1,00","1,00","1,00","-0,85","1,19","-0,79",,"1,01","1,12",,
20,Planar,0,"2,5",13 / 20,"0,34","0,33","4,97e-05","1,00","1,00","1,00","-0,85","1,19","-0,81",,"1,01","1,12",,
20,Planar,0,"2,5",14 / 20,"0,34","0,33","4,90e-05","1,00","1,00","1,00","-0,86","1,19","-0,82",,"1,01","1,12",,
20,Planar,0,"2,5",15 / 20,"0,33","0,33","4,91e-05","1,00","1,00","1,00","-0,87","1,2","-0,84",,"1,01","1,13",,
20,Planar,0,"2,5",16 / 20,"0,33","0,32","4,90e-05","1,00","1,00","1,00","-0,89","1,2","-0,86",,"1,01","1,13",,
20,Planar,0,"2,5",17 / 20,"0,33","0,32","4,93e-05","1,00","1,00","1,00","-0,88","1,2","-0,87",,"1,01","1,13",,
20,Planar,0,"2,5",18 / 20,"0,33","0,32","4,94e-05","1,00","1,00","1,00","-0,89","1,21","-0,88",,"1,01","1,13",,
20,Planar,0,"2,5",19 / 20,"0,32","0,32","4,88e-05","1,00","1,00","1,00","-0,9","1,21","-0,88",,"1,02","1,13",,
20,Planar,0,"2,5",FINAL,"0,32","0,32","4,93e-05","1,00","1,00","1,00","-0,9","1,21","-0,89","2,50","1,02","1,13","28,47","40,63"
20,Planar,"2,5","2,5",INITIAL,"3,53","5,73","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","2,51","2,73",,
20,Planar,"2,5","2,5",1 / 20,"1,16","0,86","7,71e-03","1,00","1,00","1,00","-0,47","0,8","-0,28",,"1,85","2,15",,
20,Planar,"2,5","2,5",2 / 20,"1,04","0,73","5,63e-03","1,00","1,00","1,00","-0,64","0,73","-0,51",,"2,21","2,66",,
20,Planar,"2,5","2,5",3 / 20,"1,15","0,78","4,22e-03","1,00","1,00","1,00","-0,71","0,66","-0,63",,"2,47","3,00",,
20,Planar,"2,5","2,5",4 / 20,"1,22","0,81","3,73e-03","1,00","1,00","1,00","-0,75","0,64","-0,71",,"2,62","3,18",,
20,Planar,"2,5","2,5",5 / 20,"1,23","0,81","3,50e-03","1,00","1,00","1,00","-0,79","0,61","-0,77",,"2,71","3,29",,
20,Planar,"2,5","2,5",6 / 20,"1,24","0,82","3,55e-03","1,00","1,00","1,00","-0,82","0,61","-0,77",,"2,74","3,32",,
20,Planar,"2,5","2,5",7 / 20,"1,24","0,81","3,43e-03","1,00","1,00","1,00","-0,85","0,6","-0,78",,"2,77","3,37",,
20,Planar,"2,5","2,5",8 / 20,"1,24","0,81","3,41e-03","1,00","1,00","1,00","-0,85","0,59","-0,81",,"2,80","3,40",,
20,Planar,"2,5","2,5",9 / 20,"1,23","0,81","3,37e-03","1,00","1,00","1,00","-0,88","0,6","-0,84",,"2,86","3,47",,
20,Planar,"2,5","2,5",10 / 20,"1,25","0,81","3,41e-03","1,00","1,00","1,00","-0,92","0,58","-0,85",,"2,88","3,49",,
20,Planar,"2,5","2,5",11 / 20,"1,25","0,81","3,27e-03","1,00","1,00","1,00","-0,89","0,58","-0,88",,"2,89","3,51",,
20,Planar,"2,5","2,5",12 / 20,"1,25","0,82","3,34e-03","1,00","1,00","1,00","-0,91","0,58","-0,89",,"2,91","3,53",,
20,Planar,"2,5","2,5",13 / 20,"1,25","0,81","3,31e-03","1,00","1,00","1,00","-0,96","0,58","-0,88",,"2,92","3,55",,
20,Planar,"2,5","2,5",14 / 20,"1,25","0,81","3,30e-03","1,00","1,00","1,00","-0,94","0,57","-0,91",,"2,94","3,57",,
20,Planar,"2,5","2,5",15 / 20,"1,26","0,82","3,26e-03","1,00","1,00","1,00","-0,97","0,59","-0,9",,"2,95","3,58",,
20,Planar,"2,5","2,5",16 / 20,"1,26","0,82","3,25e-03","1,00","1,00","1,00","-0,97","0,57","-0,92",,"2,96","3,60",,
20,Planar,"2,5","2,5",17 / 20,"1,27","0,82","3,24e-03","1,00","1,00","1,00","-0,99","0,57","-0,93",,"2,97","3,61",,
20,Planar,"2,5","2,5",18 / 20,"1,25","0,82","3,25e-03","1,00","1,00","1,00","-1,02","0,58","-0,92",,"2,98","3,61",,
20,Planar,"2,5","2,5",19 / 20,"1,26","0,82","3,25e-03","1,00","1,00","1,00","-1,02","0,57","-0,93",,"2,98","3,62",,
20,Planar,"2,5","2,5",FINAL,"1,25","0,81","3,29e-03","1,00","1,00","1,00","-1,03","0,58","-0,93","4,73","2,98","3,62","-19,08","63,15"
20,Planar,10,0,INITIAL,"12,17","12,09","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","8,06","8,80",,
20,Planar,10,0,1 / 20,"0,86","1,07","1,46e-01","1,00","1,00","1,00","-2,28","-0,9","0,69",,"8,98","11,26",,
20,Planar,10,0,2 / 20,"0,89","1,03","1,45e-01","1,00","1,00","1,00","-3,05","-0,02","-1,2",,"9,65","12,12",,
20,Planar,10,0,3 / 20,"0,85","1,10","1,33e-01","1,00","1,00","1,00","-3,28","0,36","-1,54",,"10,25","12,88",,
20,Planar,10,0,4 / 20,"0,75","1,07","1,40e-01","1,00","1,00","1,00","-4,35","0,75","-2,15",,"10,99","13,88",,
20,Planar,10,0,5 / 20,"0,76","1,14","1,31e-01","1,00","1,00","1,00","-4,57","1,38","-2,36",,"11,48","14,43",,
20,Planar,10,0,6 / 20,"0,77","1,06","1,33e-01","1,00","1,00","1,00","-5,99","1,83","-3,51",,"12,09","15,24",,
20,Planar,10,0,7 / 20,"0,85","1,05","1,30e-01","1,00","1,00","1,00","-5,86","2,33","-3,3",,"12,33","15,45",,
20,Planar,10,0,8 / 20,"0,85","1,06","1,28e-01","1,00","1,00","1,00","-6,56","2,33","-3,8",,"12,62","15,74",,
20,Planar,10,0,9 / 20,"0,86","1,08","1,27e-01","1,00","1,00","1,00","-6,8","2,78","-3,91",,"12,90","16,08",,
20,Planar,10,0,10 / 20,"0,89","1,08","1,24e-01","1,00","1,00","1,00","-7,48","3,08","-4,28",,"13,21","16,43",,
20,Planar,10,0,11 / 20,"0,85","1,05","1,27e-01","1,00","1,00","1,00","-8,57","4,0","-5,11",,"13,89","17,16",,
20,Planar,10,0,12 / 20,"0,89","1,07","1,24e-01","1,00","1,00","1,00","-9,72","4,22","-5,24",,"14,14","17,45",,
20,Planar,10,0,13 / 20,"0,86","1,03","1,22e-01","1,00","1,00","1,00","-9,91","4,66","-5,87",,"14,52","17,86",,
20,Planar,10,0,14 / 20,"0,89","1,09","1,23e-01","1,00","1,00","1,00","-10,29","4,98","-5,87",,"14,73","18,09",,
20,Planar,10,0,15 / 20,"0,87","1,03","1,24e-01","1,00","1,00","1,00","-10,76","5,13","-6,48",,"14,91","18,28",,
20,Planar,10,0,16 / 20,"0,90","1,04","1,22e-01","1,00","1,00","1,00","-12,28","5,75","-7,34",,"15,51","18,96",,
20,Planar,10,0,17 / 20,"0,81","1,04","1,24e-01","1,00","1,00","1,00","-12,71","6,01","-7,57",,"15,72","19,22",,
20,Planar,10,0,18 / 20,"0,90","1,03","1,21e-01","1,00","1,00","1,00","-13,49","6,25","-8,05",,"16,01","19,54",,
20,Planar,10,0,19 / 20,"0,76","1,03","1,28e-01","1,00","1,00","1,00","-14,37","6,6","-8,63",,"16,41","20,01",,
20,Planar,10,0,FINAL,"0,91","1,01","1,28e-01","1,00","1,00","1,00","-15,0","6,88","-8,67","16,05","16,65","20,31","-106,49","103,70"
20,Planar,0,10,INITIAL,"6,11","4,53","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,04","5,07",,
20,Planar,0,10,1 / 20,"0,77","0,75","2,89e-04","1,00","1,00","1,00","-2,47","4,35","-1,36",,"3,55","3,63",,
20,Planar,0,10,2 / 20,"0,85","0,80","1,17e-04","1,00","1,00","1,00","-2,64","4,26","-1,68",,"3,29","3,40",,
20,Planar,0,10,3 / 20,"0,85","0,80","8,51e-05","1,00","1,00","1,00","-2,68","4,2","-1,78",,"3,19","3,31",,
20,Planar,0,10,4 / 20,"0,85","0,79","6,11e-05","1,00","1,00","1,00","-2,76","4,14","-1,99",,"3,08","3,23",,
20,Planar,0,10,5 / 20,"0,81","0,76","5,40e-05","1,00","1,00","1,00","-2,8","4,1","-2,1",,"3,01","3,17",,
20,Planar,0,10,6 / 20,"0,81","0,75","5,08e-05","1,00","1,00","1,00","-2,85","4,08","-2,22",,"2,97","3,14",,
20,Planar,0,10,7 / 20,"0,74","0,69","5,45e-05","1,00","1,00","1,00","-2,88","4,01","-2,35",,"2,87","3,06",,
20,Planar,0,10,8 / 20,"0,71","0,66","5,52e-05","1,00","1,00","1,00","-2,92","3,99","-2,46",,"2,82","3,02",,
20,Planar,0,10,9 / 20,"0,69","0,64","5,66e-05","1,00","1,00","1,00","-2,97","3,98","-2,56",,"2,79","3,00",,
20,Planar,0,10,10 / 20,"0,62","0,58","6,17e-05","1,00","1,00","1,00","-2,99","3,9","-2,76",,"2,67","2,91",,
20,Planar,0,10,11 / 20,"0,61","0,57","6,32e-05","1,00","1,00","1,00","-3,03","3,89","-2,81",,"2,65","2,89",,
20,Planar,0,10,12 / 20,"0,55","0,51","7,25e-05","1,00","1,00","1,00","-3,09","3,84","-2,98",,"2,56","2,82",,
20,Planar,0,10,13 / 20,"0,51","0,47","7,79e-05","1,00","1,00","1,00","-3,15","3,79","-3,23",,"2,47","2,75",,
20,Planar,0,10,14 / 20,"0,50","0,47","7,95e-05","1,00","1,00","1,00","-3,18","3,78","-3,2",,"2,45","2,74",,
20,Planar,0,10,15 / 20,"0,49","0,46","7,87e-05","1,00","1,00","1,00","-3,19","3,76","-3,27",,"2,42","2,71",,
20,Planar,0,10,16 / 20,"0,49","0,46","7,93e-05","1,00","1,00","1,00","-3,18","3,74","-3,31",,"2,40","2,70",,
20,Planar,0,10,17 / 20,"0,48","0,45","8,06e-05","1,00","1,00","1,00","-3,21","3,73","-3,33",,"2,39","2,69",,
20,Planar,0,10,18 / 20,"0,47","0,44","8,36e-05","1,00","1,00","1,00","-3,23","3,7","-3,42",,"2,35","2,65",,
20,Planar,0,10,19 / 20,"0,44","0,41","9,72e-05","1,00","1,00","1,00","-3,22","3,69","-3,47",,"2,33","2,64",,
20,Planar,0,10,FINAL,"0,45","0,42","9,04e-05","1,00","1,00","1,00","-3,25","3,68","-3,49","10,00","2,32","2,63","54,02","23,16"
20,Planar,10,10,INITIAL,"14,10","13,69","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","9,60","10,37",,
20,Planar,10,10,1 / 20,"1,01","1,01","1,50e-01","1,00","1,00","1,00","-5,57","3,99","-2,47",,"9,62","12,29",,
20,Planar,10,10,2 / 20,"0,96","1,00","1,43e-01","1,00","1,00","1,00","-7,36","4,31","-3,96",,"10,29","13,13",,
20,Planar,10,10,3 / 20,"0,97","1,05","1,45e-01","1,00","1,00","1,00","-7,37","4,27","-4,13",,"10,36","13,21",,
20,Planar,10,10,4 / 20,"0,95","1,00","1,45e-01","1,00","1,00","1,00","-8,75","4,43","-4,95",,"11,06","14,00",,
20,Planar,10,10,5 / 20,"0,93","1,04","1,48e-01","1,00","1,00","1,00","-10,14","4,71","-5,8",,"11,49","14,53",,
20,Planar,10,10,6 / 20,"0,97","1,05","1,46e-01","1,00","1,00","1,00","-10,24","4,75","-6,5",,"11,67","14,74",,
20,Planar,10,10,7 / 20,"0,97","1,04","1,44e-01","1,00","1,00","1,00","-11,61","5,16","-7,57",,"12,11","15,27",,
20,Planar,10,10,8 / 20,"0,96","1,03","1,45e-01","1,00","1,00","1,00","-12,6","5,16","-7,68",,"12,27","15,46",,
20,Planar,10,10,9 / 20,"0,97","1,04","1,45e-01","1,00","1,00","1,00","-12,56","5,43","-8,13",,"12,42","15,63",,
20,Planar,10,10,10 / 20,"0,96","1,01","1,43e-01","1,00","1,00","1,00","-15,41","5,75","-9,18",,"12,97","16,26",,
20,Planar,10,10,11 / 20,"0,97","1,01","1,40e-01","1,00","1,00","1,00","-15,66","6,23","-9,67",,"13,26","16,56",,
20,Planar,10,10,12 / 20,"0,96","1,00","1,41e-01","1,00","1,00","1,00","-16,89","6,75","-10,39",,"13,65","17,04",,
20,Planar,10,10,13 / 20,"1,07","1,11","1,36e-01","1,00","1,00","1,00","-17,56","6,77","-10,63",,"13,80","17,19",,
20,Planar,10,10,14 / 20,"1,04","1,07","1,36e-01","1,00","1,00","1,00","-19,43","7,39","-11,48",,"14,34","17,81",,
20,Planar,10,10,15 / 20,"1,05","1,07","1,33e-01","1,00","1,00","1,00","-20,35","7,63","-11,9",,"14,67","18,12",,
20,Planar,10,10,16 / 20,"1,06","1,08","1,36e-01","1,00","1,00","1,00","-20,87","7,92","-12,1",,"14,84","18,30",,
20,Planar,10,10,17 / 20,"0,90","0,91","1,38e-01","1,00","1,00","1,00","-22,42","8,25","-12,76",,"15,29","18,77",,
20,Planar,10,10,18 / 20,"1,05","1,06","1,32e-01","1,00","1,00","1,00","-23,76","8,68","-13,29",,"15,75","19,27",,
20,Planar,10,10,19 / 20,"1,32","1,38","1,20e-01","1,00","1,00","1,00","-24,54","8,65","-13,88",,"16,04","19,56",,
20,Planar,10,10,FINAL,"1,25","1,26","1,24e-01","1,00","1,00","1,00","-25,3","9,06","-14,0","19,14","16,19","19,73","-68,58","84,56"
20,Gradual,0,"2,5",INITIAL,"2,61","2,13","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,24","1,84","2,17",,
20,Gradual,0,"2,5",1 / 20,"0,12","0,14","1,27e-03","1,00","1,00","1,00","-0,85","1,64","-1,21",,"1,47","1,68",,
20,Gradual,0,"2,5",2 / 20,"0,09","0,11","1,08e-03","1,00","1,00","1,00","-1,37","1,25","-1,67",,"1,38","1,61",,
20,Gradual,0,"2,5",3 / 20,"0,19","0,18","6,81e-04","1,00","1,00","1,00","-3,84","-1,55","-3,19",,"1,32","1,52",,
20,Gradual,0,"2,5",4 / 20,"0,36","0,35","4,42e-04","1,00","1,00","1,00","-3,83","-1,61","-3,14",,"1,30","1,51",,
20,Gradual,0,"2,5",5 / 20,"0,41","0,39","4,02e-04","1,00","1,00","1,00","-3,86","-1,65","-3,14",,"1,30","1,50",,
20,Gradual,0,"2,5",6 / 20,"0,41","0,39","4,03e-04","1,00","1,00","1,00","-3,88","-1,68","-3,14",,"1,30","1,50",,
20,Gradual,0,"2,5",7 / 20,"0,40","0,38","4,09e-04","1,00","1,00","1,00","-3,91","-1,72","-3,14",,"1,30","1,50",,
20,Gradual,0,"2,5",8 / 20,"0,40","0,37","4,11e-04","1,00","1,00","1,00","-3,92","-1,74","-3,13",,"1,30","1,50",,
20,Gradual,0,"2,5",9 / 20,"0,40","0,37","4,11e-04","1,00","1,00","1,00","-3,95","-1,77","-3,14",,"1,30","1,50",,
20,Gradual,0,"2,5",10 / 20,"0,39","0,37","4,14e-04","1,00","1,00","1,00","-3,98","-1,82","-3,13",,"1,29","1,50",,
20,Gradual,0,"2,5",11 / 20,"0,36","0,34","4,35e-04","1,00","1,00","1,00","-3,99","-1,84","-3,12",,"1,30","1,50",,
20,Gradual,0,"2,5",12 / 20,"0,38","0,36","4,20e-04","1,00","1,00","1,00","-4,04","-1,89","-3,12",,"1,29","1,49",,
20,Gradual,0,"2,5",13 / 20,"0,37","0,35","4,25e-04","1,00","1,00","1,00","-4,04","-1,9","-3,12",,"1,29","1,49",,
20,Gradual,0,"2,5",14 / 20,"0,38","0,36","4,22e-04","1,00","1,00","1,00","-4,06","-1,93","-3,12",,"1,29","1,49",,
20,Gradual,0,"2,5",15 / 20,"0,37","0,35","4,26e-04","1,00","1,00","1,00","-4,12","-1,98","-3,11",,"1,29","1,49",,
20,Gradual,0,"2,5",16 / 20,"0,37","0,35","4,27e-04","1,00","1,00","1,00","-4,12","-2,01","-3,11",,"1,29","1,49",,
20,Gradual,0,"2,5",17 / 20,"0,37","0,35","4,30e-04","1,00","1,00","1,00","-4,16","-2,06","-3,11",,"1,29","1,49",,
20,Gradual,0,"2,5",18 / 20,"0,37","0,34","4,34e-04","1,00","1,00","1,00","-4,19","-2,1","-3,11",,"1,29","1,48",,
20,Gradual,0,"2,5",19 / 20,"0,37","0,34","4,35e-04","1,00","1,00","1,00","-4,2","-2,12","-3,11",,"1,29","1,48",,
20,Gradual,0,"2,5",FINAL,"0,37","0,34","4,35e-04","1,00","1,00","1,00","-4,2","-2,12","-3,11","3,24","1,29","1,48","29,88","39,83"
20,Gradual,"2,5","2,5",INITIAL,"3,93","4,41","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,36","2,79","3,05",,
20,Gradual,"2,5","2,5",1 / 20,"1,09","0,91","5,81e-03","1,00","1,00","1,00","-0,45","1,59","-0,22",,"2,18","2,65",,
20,Gradual,"2,5","2,5",2 / 20,"1,09","0,92","4,95e-03","1,00","1,00","1,00","-0,78","1,58","-0,82",,"2,36","2,87",,
20,Gradual,"2,5","2,5",3 / 20,"1,05","0,88","4,02e-03","1,00","1,00","1,00","-0,77","1,63","-0,89",,"2,60","3,18",,
20,Gradual,"2,5","2,5",4 / 20,"1,00","0,84","3,44e-03","1,00","1,00","1,00","-0,8","1,66","-1,14",,"2,84","3,48",,
20,Gradual,"2,5","2,5",5 / 20,"1,11","0,95","2,72e-03","1,00","1,00","1,00","-0,87","1,64","-1,28",,"2,92","3,56",,
20,Gradual,"2,5","2,5",6 / 20,"1,15","0,97","2,41e-03","1,00","1,00","1,00","-0,83","1,64","-1,29",,"2,98","3,63",,
20,Gradual,"2,5","2,5",7 / 20,"1,14","0,95","2,22e-03","1,00","1,00","1,00","-0,93","1,63","-1,52",,"3,10","3,78",,
