{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"5,42","4,62","7,56e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,95","10,49","12,80",,
20,Planar,"2,5",0,1 / 20,"0,80","1,23","5,54e-02","1,00","1,00","1,00","-2,44","0,07","-0,99",,"4,16","5,08",,
20,Planar,"2,5",0,2 / 20,"0,92","1,18","8,55e-03","1,00","1,00","1,00","-3,93","1,54","-0,7",,"3,52","4,30",,
20,Planar,"2,5",0,3 / 20,"0,99","1,09","4,99e-03","1,00","1,00","1,00","-3,7","1,64","-0,56",,"3,45","4,22",,
20,Planar,"2,5",0,4 / 20,"0,98","1,06","4,15e-03","1,00","1,00","1,00","-3,85","1,73","-0,8",,"3,43","4,20",,
20,Planar,"2,5",0,5 / 20,"0,96","1,03","3,53e-03","1,00","1,00","1,00","-3,7","1,76","-0,53",,"3,43","4,21",,
20,Planar,"2,5",0,6 / 20,"0,96","1,03","3,25e-03","1,00","1,00","1,00","-3,65","1,82","-0,51",,"3,45","4,22",,
20,Planar,"2,5",0,7 / 20,"0,96","1,03","3,04e-03","1,00","1,00","1,00","-3,64","1,82","-0,55",,"3,47","4,24",,
20,Planar,"2,5",0,8 / 20,"0,96","1,03","2,75e-03","1,00","1,00","1,00","-3,6","1,86","-0,55",,"3,50","4,27",,
20,Planar,"2,5",0,9 / 20,"0,94","1,00","2,66e-03","1,00","1,00","1,00","-3,55","1,9","-0,49",,"3,54","4,32",,
20,Planar,"2,5",0,10 / 20,"0,96","1,02","2,47e-03","1,00","1,00","1,00","-3,43","1,93","-0,46",,"3,58","4,37",,
20,Planar,"2,5",0,11 / 20,"0,97","1,03","2,34e-03","1,00","1,00","1,00","-3,42","1,96","-0,45",,"3,60","4,38",,
20,Planar,"2,5",0,12 / 20,"0,96","1,03","2,33e-03","1,00","1,00","1,00","-3,39","1,97","-0,44",,"3,62","4,40",,
20,Planar,"2,5",0,13 / 20,"0,97","1,04","2,25e-03","1,00","1,00","1,00","-3,38","1,97","-0,41",,"3,62","4,41",,
20,Planar,"2,5",0,14 / 20,"0,97","1,03","2,23e-03","1,00","1,00","1,00","-3,34","1,99","-0,4",,"3,64","4,42",,
20,Planar,"2,5",0,15 / 20,"0,97","1,03","2,32e-03","1,00","1,00","1,00","-3,3","1,99","-0,41",,"3,65","4,44",,
20,Planar,"2,5",0,16 / 20,"0,97","1,03","2,23e-03","1,00","1,00","1,00","-3,29","2,0","-0,4",,"3,66","4,44",,
20,Planar,"2,5",0,17 / 20,"0,97","1,03","2,22e-03","1,00","1,00","1,00","-3,29","2,01","-0,4",,"3,66","4,45",,
20,Planar,"2,5",0,18 / 20,"0,97","1,03","2,30e-03","1,00","1,00","1,00","-3,25","2,02","-0,39",,"3,67","4,46",,
20,Planar,"2,5",0,19 / 20,"0,97","1,03","2,23e-03","1,00","1,00","1,00","-3,24","2,03","-0,39",,"3,67","4,46",,
20,Planar,"2,5",0,FINAL,"0,97","1,03","2,22e-03","1,00","1,00","1,00","-3,22","2,04","-0,39","3,95","3,68","4,47","64,95","93,14"
20,Planar,0,"2,5",INITIAL,"4,57","4,11","6,68e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","10,42","12,79",,
20,Planar,0,"2,5",1 / 20,"1,05","1,04","3,84e-02","1,00","1,00","1,00","-11,05","17,35","-7,51",,"14,01","16,15",,
20,Planar,0,"2,5",2 / 20,"0,66","0,60","6,67e-03","1,00","1,00","1,00","-11,48","16,47","-7,17",,"14,01","15,54",,
20,Planar,0,"2,5",3 / 20,"0,31","0,27","2,96e-03","1,00","1,00","1,00","-11,48","16,12","-6,53",,"14,04","15,27",,
20,Planar,0,"2,5",4 / 20,"0,50","0,44","2,09e-03","1,00","1,00","1,00","-11,59","16,06","-6,61",,"14,05","15,23",,
20,Planar,0,"2,5",5 / 20,"0,47","0,41","1,70e-03","1,00","1,00","1,00","-11,63","15,79","-6,27",,"14,06","15,13",,
20,Planar,0,"2,5",6 / 20,"0,65","0,57","1,46e-03","1,00","1,00","1,00","-11,59","15,67","-6,14",,"14,07","15,11",,
20,Planar,0,"2,5",7 / 20,"0,64","0,55","1,42e-03","1,00","1,00","1,00","-11,61","15,61","-6,08",,"14,07","15,09",,
20,Planar,0,"2,5",8 / 20,"0,71","0,62","1,32e-03","1,00","1,00","1,00","-11,63","15,55","-6,06",,"14,07","15,07",,
20,Planar,0,"2,5",9 / 20,"0,78","0,68","1,28e-03","1,00","1,00","1,00","-11,62","15,49","-5,98",,"14,07","15,06",,
20,Planar,0,"2,5",10 / 20,"0,76","0,66","1,26e-03","1,00","1,00","1,00","-11,64","15,43","-5,92",,"14,08","15,04",,
20,Planar,0,"2,5",11 / 20,"0,75","0,65","1,26e-03","1,00","1,00","1,00","-11,65","15,39","-5,87",,"14,08","15,03",,
20,Planar,0,"2,5",12 / 20,"0,75","0,66","1,24e-03","1,00","1,00","1,00","-11,67","15,31","-5,77",,"14,08","15,02",,
20,Planar,0,"2,5",13 / 20,"0,74","0,65","1,23e-03","1,00","1,00","1,00","-11,71","15,25","-5,74",,"14,08","15,00",,
20,Planar,0,"2,5",14 / 20,"0,74","0,64","1,26e-03","1,00","1,00","1,00","-11,71","15,23","-5,71",,"14,08","15,00",,
20,Planar,0,"2,5",15 / 20,"0,73","0,64","1,26e-03","1,00","1,00","1,00","-11,72","15,21","-5,71",,"14,08","14,99",,
20,Planar,0,"2,5",16 / 20,"0,73","0,64","1,25e-03","1,00","1,00","1,00","-11,72","15,19","-5,68",,"14,08","14,99",,
20,Planar,0,"2,5",17 / 20,"0,73","0,64","1,25e-03","1,00","1,00","1,00","-11,74","15,17","-5,68",,"14,08","14,99",,
20,Planar,0,"2,5",18 / 20,"0,72","0,63","1,25e-03","1,00","1,00","1,00","-11,74","15,16","-5,65",,"14,08","14,98",,
20,Planar,0,"2,5",19 / 20,"0,72","0,63","1,25e-03","1,00","1,00","1,00","-11,75","15,14","-5,65",,"14,08","14,98",,
20,Planar,0,"2,5",FINAL,"0,71","0,63","1,24e-03","1,00","1,00","1,00","-11,77","15,11","-5,62","2,50","14,08","14,97","-35,18","563,31"
20,Planar,"2,5","2,5",INITIAL,"6,66","11,68","1,05e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","11,71","14,50",,
20,Planar,"2,5","2,5",1 / 20,"1,00","0,99","5,91e-02","1,00","1,00","1,00","-24,01","10,64","2,79",,"26,30","27,36",,
20,Planar,"2,5","2,5",2 / 20,"1,26","0,97","1,18e-02","1,00","1,00","1,00","-22,77","10,15","4,94",,"26,56","27,11",,
20,Planar,"2,5","2,5",3 / 20,"1,44","0,99","5,33e-03","1,00","1,00","1,00","-22,59","10,22","5,3",,"26,60","27,05",,
20,Planar,"2,5","2,5",4 / 20,"1,59","1,06","3,59e-03","1,00","1,00","1,00","-22,47","10,18","5,4",,"26,61","27,04",,
20,Planar,"2,5","2,5",5 / 20,"1,48","0,98","3,16e-03","1,00","1,00","1,00","-22,33","10,12","5,66",,"26,63","27,02",,
20,Planar,"2,5","2,5",6 / 20,"1,52","1,01","2,80e-03","1,00","1,00","1,00","-22,23","10,04","5,97",,"26,63","27,02",,
20,Planar,"2,5","2,5",7 / 20,"1,43","0,94","2,94e-03","1,00","1,00","1,00","-22,2","10,02","5,95",,"26,64","27,01",,
20,Planar,"2,5","2,5",8 / 20,"1,35","0,89","2,78e-03","1,00","1,00","1,00","-22,02","9,91","6,41",,"26,65","27,01",,
20,Planar,"2,5","2,5",9 / 20,"1,31","0,87","2,75e-03","1,00","1,00","1,00","-21,91","9,8","6,66",,"26,67","27,02",,
20,Planar,"2,5","2,5",10 / 20,"1,21","0,81","2,89e-03","1,00","1,00","1,00","-21,83","9,68","7,01",,"26,68","27,03",,
20,Planar,"2,5","2,5",11 / 20,"1,21","0,81","2,83e-03","1,00","1,00","1,00","-21,76","9,57","7,26",,"26,70","27,04",,
20,Planar,"2,5","2,5",12 / 20,"1,20","0,80","2,78e-03","1,00","1,00","1,00","-21,72","9,48","7,42",,"26,71","27,05",,
20,Planar,"2,5","2,5",13 / 20,"1,29","0,87","2,50e-03","1,00","1,00","1,00","-21,7","9,44","7,49",,"26,71","27,06",,
20,Planar,"2,5","2,5",14 / 20,"1,24","0,82","2,64e-03","1,00","1,00","1,00","-21,73","9,4","7,57",,"26,72","27,06",,
20,Planar,"2,5","2,5",15 / 20,"1,27","0,86","2,52e-03","1,00","1,00","1,00","-21,69","9,38","7,6",,"26,72","27,07",,
20,Planar,"2,5","2,5",16 / 20,"1,33","0,89","2,28e-03","1,00","1,00","1,00","-21,73","9,35","7,67",,"26,73","27,07",,
20,Planar,"2,5","2,5",17 / 20,"1,23","0,82","2,68e-03","1,00","1,00","1,00","-21,68","9,32","7,7",,"26,73","27,08",,
20,Planar,"2,5","2,5",18 / 20,"1,23","0,82","2,62e-03","1,00","1,00","1,00","-21,69","9,27","7,76",,"26,74","27,08",,
20,Planar,"2,5","2,5",19 / 20,"1,19","0,80","2,76e-03","1,00","1,00","1,00","-21,7","9,24","7,84",,"26,74","27,09",,
20,Planar,"2,5","2,5",FINAL,"1,28","0,86","2,42e-03","1,00","1,00","1,00","-21,71","9,11","7,99","4,73","26,76","27,11","-128,43","566,35"
20,Planar,10,0,INITIAL,"13,16","13,17","2,38e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","13,59","15,47",,
20,Planar,10,0,1 / 20,"0,89","1,05","4,53e-02","1,00","0,98","0,98","-113,99","6,87","21,55",,"152,38","153,51",,
20,Planar,10,0,2 / 20,"1,01","1,28","2,22e-02","1,00","0,98","0,98","-114,2","5,64","21,84",,"153,61","154,73",,
20,Planar,10,0,3 / 20,"0,85","1,06","1,85e-02","1,00","0,98","0,98","-114,61","5,49","21,83",,"153,78","154,90",,
20,Planar,10,0,4 / 20,"0,85","0,95","1,73e-02","1,00","0,98","0,98","-114,68","5,38","22,01",,"153,94","155,06",,
20,Planar,10,0,5 / 20,"0,98","1,09","1,70e-02","1,00","0,98","0,98","-114,86","5,27","21,85",,"154,03","155,14",,
20,Planar,10,0,6 / 20,"0,96","1,11","1,60e-02","1,00","0,98","0,98","-114,84","5,14","21,99",,"154,10","155,22",,
20,Planar,10,0,7 / 20,"1,01","1,17","1,58e-02","1,00","0,98","0,98","-115,07","4,95","21,78",,"154,26","155,37",,
20,Planar,10,0,8 / 20,"0,94","1,03","1,48e-02","1,00","0,98","0,98","-115,09","4,81","21,85",,"154,41","155,52",,
20,Planar,10,0,9 / 20,"1,01","1,13","1,42e-02","1,00","0,98","0,98","-115,31","4,56","21,69",,"154,55","155,67",,
20,Planar,10,0,10 / 20,"0,96","1,11","1,38e-02","1,00","0,98","0,98","-115,3","4,49","21,85",,"154,62","155,74",,
20,Planar,10,0,11 / 20,"0,99","1,09","1,38e-02","1,00","0,98","0,98","-115,45","4,4","21,71",,"154,69","155,80",,
20,Planar,10,0,12 / 20,"0,90","1,06","1,36e-02","1,00","0,98","0,98","-115,59","4,19","21,67",,"154,83","155,95",,
20,Planar,10,0,13 / 20,"0,93","1,02","1,35e-02","1,00","0,98","0,98","-115,66","4,08","21,7",,"154,95","156,07",,
20,Planar,10,0,14 / 20,"0,85","0,96","1,35e-02","1,00","0,98","0,98","-115,77","3,83","21,67",,"155,08","156,20",,
20,Planar,10,0,15 / 20,"0,84","0,93","1,33e-02","1,00","0,98","0,98","-115,93","3,66","21,62",,"155,22","156,33",,
20,Planar,10,0,16 / 20,"0,81","0,92","1,34e-02","1,00","0,98","0,98","-115,94","3,52","21,63",,"155,33","156,45",,
20,Planar,10,0,17 / 20,"0,87","0,95","1,35e-02","1,00","0,98","0,98","-116,06","3,4","21,61",,"155,43","156,55",,
20,Planar,10,0,18 / 20,"0,96","1,10","1,29e-02","1,00","0,98","0,98","-116,27","3,18","21,47",,"155,54","156,66",,
20,Planar,10,0,19 / 20,"0,91","1,01","1,31e-02","1,00","0,98","0,98","-116,39","3,01","21,5",,"155,68","156,80",,
20,Planar,10,0,FINAL,"0,89","1,00","1,29e-02","1,00","0,98","0,98","-116,39","2,92","21,5","16,05","155,73","156,86","-1046,02","970,02"
20,Planar,0,10,INITIAL,"7,70","6,90","7,21e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","11,59","13,68",,
20,Planar,0,10,1 / 20,"0,97","0,97","3,84e-02","1,00","1,00","1,00","-20,05","17,21","-9,46",,"10,02","12,05",,
20,Planar,0,10,2 / 20,"0,20","0,17","5,94e-03","1,00","1,00","1,00","-21,64","14,94","-7,07",,"10,59","11,10",,
20,Planar,0,10,3 / 20,"0,47","0,42","2,62e-03","1,00","1,00","1,00","-21,64","14,81","-7,11",,"10,60","11,03",,
20,Planar,0,10,4 / 20,"0,63","0,58","1,37e-03","1,00","1,00","1,00","-21,63","14,6","-7,11",,"10,62","10,98",,
20,Planar,0,10,5 / 20,"0,64","0,60","1,03e-03","1,00","1,00","1,00","-21,65","14,5","-7,18",,"10,62","10,96",,
20,Planar,0,10,6 / 20,"0,75","0,72","7,67e-04","1,00","1,00","1,00","-21,57","14,45","-7,07",,"10,63","10,94",,
20,Planar,0,10,7 / 20,"0,90","0,87","6,04e-04","1,00","1,00","1,00","-21,57","14,35","-7,13",,"10,64","10,93",,
20,Planar,0,10,8 / 20,"0,93","0,90","5,71e-04","1,00","1,00","1,00","-21,56","14,31","-7,12",,"10,64","10,93",,
20,Planar,0,10,9 / 20,"0,91","0,88","5,62e-04","1,00","1,00","1,00","-21,53","14,29","-7,07",,"10,64","10,92",,
20,Planar,0,10,10 / 20,"0,89","0,85","5,56e-04","1,00","1,00","1,00","-21,52","14,26","-7,07",,"10,64","10,92",,
20,Planar,0,10,11 / 20,"0,85","0,82","5,48e-04","1,00","1,00","1,00","-21,49","14,21","-7,06",,"10,64","10,91",,
20,Planar,0,10,12 / 20,"0,82","0,79","5,31e-04","1,00","1,00","1,00","-21,46","14,16","-7,02",,"10,65","10,90",,
20,Planar,0,10,13 / 20,"0,79","0,76","5,24e-04","1,00","1,00","1,00","-21,44","14,1","-7,04",,"10,65","10,89",,
20,Planar,0,10,14 / 20,"0,78","0,75","5,20e-04","1,00","1,00","1,00","-21,42","14,08","-7,0",,"10,65","10,89",,
20,Planar,0,10,15 / 20,"0,73","0,71","5,10e-04","1,00","1,00","1,00","-21,38","13,97","-6,99",,"10,65","10,88",,
20,Planar,0,10,16 / 20,"0,69","0,67","5,13e-04","1,00","1,00","1,00","-21,35","13,95","-6,94",,"10,65","10,88",,
20,Planar,0,10,17 / 20,"0,69","0,67","5,08e-04","1,00","1,00","1,00","-21,35","13,92","-6,96",,"10,66","10,88",,
20,Planar,0,10,18 / 20,"0,67","0,65","5,02e-04","1,00","1,00","1,00","-21,32","13,85","-6,93",,"10,66","10,87",,
20,Planar,0,10,19 / 20,"0,66","0,63","4,96e-04","1,00","1,00","1,00","-21,29","13,78","-6,92",,"10,66","10,87",,
20,Planar,0,10,FINAL,"0,64","0,62","4,92e-04","1,00","1,00","1,00","-21,26","13,73","-6,9","10,00","10,66","10,87","7,98","106,63"
20,Planar,10,10,INITIAL,"14,23","16,29","2,32e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","14,56","16,31",,
20,Planar,10,10,1 / 20,"3,84","4,45","8,86e-02","0,99","0,99","0,99","-96,99","5,92","-2,27",,"103,78","105,05",,
20,Planar,10,10,2 / 20,"1,12","1,17","5,20e-02","0,99","0,99","0,99","-96,27","6,36","-0,99",,"104,46","105,68",,
20,Planar,10,10,3 / 20,"1,09","1,00","4,42e-02","0,99","0,99","0,99","-95,94","6,47","-0,41",,"104,71","105,92",,
20,Planar,10,10,4 / 20,"1,11","1,03","4,05e-02","0,99","0,99","0,99","-96,23","6,4","-0,34",,"104,94","106,15",,
20,Planar,10,10,5 / 20,"1,14","1,05","3,95e-02","0,99","0,99","0,99","-96,29","6,32","0,1",,"105,25","106,45",,
20,Planar,10,10,6 / 20,"0,98","0,92","3,95e-02","0,99","0,99","0,99","-96,34","6,34","0,31",,"105,38","106,58",,
20,Planar,10,10,7 / 20,"1,19","1,11","3,76e-02","0,99","0,99","0,99","-96,26","6,36","0,63",,"105,56","106,76",,
20,Planar,10,10,8 / 20,"1,05","0,99","3,84e-02","0,99","0,99","0,99","-96,58","6,15","0,74",,"105,89","107,10",,
20,Planar,10,10,9 / 20,"1,08","1,01","3,86e-02","0,99","0,99","0,99","-96,66","6,18","0,9",,"106,08","107,30",,
20,Planar,10,10,10 / 20,"1,03","0,99","3,80e-02","0,99","0,99","0,98","-97,07","5,93","0,96",,"106,48","107,69",,
20,Planar,10,10,11 / 20,"0,99","0,92","3,83e-02","0,99","0,99","0,98","-97,25","5,85","0,96",,"106,67","107,89",,
20,Planar,10,10,12 / 20,"0,93","0,91","3,81e-02","0,99","0,99","0,98","-97,27","5,81","1,07",,"106,78","107,99",,
20,Planar,10,10,13 / 20,"0,98","0,92","3,81e-02","0,99","0,99","0,98","-97,44","5,83","1,14",,"106,97","108,19",,
20,Planar,10,10,14 / 20,"1,02","0,98","3,73e-02","0,99","0,99","0,98","-97,72","5,68","1,07",,"107,18","108,39",,
20,Planar,10,10,15 / 20,"1,01","0,95","3,76e-02","0,99","0,99","0,98","-98,12","5,57","1,14",,"107,67","108,89",,
20,Planar,10,10,16 / 20,"0,96","0,90","3,86e-02","0,99","0,99","0,98","-98,38","5,48","1,13",,"107,91","109,12",,
20,Planar,10,10,17 / 20,"0,96","0,92","3,70e-02","0,99","0,99","0,98","-98,68","5,42","1,07",,"108,19","109,40",,
20,Planar,10,10,18 / 20,"0,94","0,92","3,75e-02","0,99","0,99","0,98","-99,0","5,29","0,92",,"108,47","109,67",,
20,Planar,10,10,19 / 20,"1,03","0,99","3,66e-02","0,99","0,99","0,98","-99,17","5,29","0,99",,"108,65","109,86",,
20,Planar,10,10,FINAL,"0,85","0,84","3,81e-02","0,99","0,99","0,98","-99,38","5,16","0,89","19,14","108,85","110,06","-647,62","568,66"
20,Gradual,0,"2,5",INITIAL,"5,13","4,59","6,70e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,24","10,54","12,93",,
20,Gradual,0,"2,5",1 / 20,"0,92","1,09","3,85e-02","1,00","0,99","1,00","-13,28","18,55","1,12",,"24,08","25,56",,
20,Gradual,0,"2,5",2 / 20,"1,18","1,40","1,02e-02","1,00","0,99","1,00","-13,1","18,75","1,17",,"24,13","25,41",,
20,Gradual,0,"2,5",3 / 20,"1,74","1,78","4,19e-03","1,00","1,00","1,00","-13,35","18,29","1,3",,"24,17","25,33",,
20,Gradual,0,"2,5",4 / 20,"1,89","1,91","2,77e-03","1,00","1,00","1,00","-13,18","18,15","1,33",,"24,18","25,30",,
20,Gradual,0,"2,5",5 / 20,"1,91","1,93","2,20e-03","1,00","1,00","1,00","-13,38","17,99","1,3",,"24,18","25,28",,
20,Gradual,0,"2,5",6 / 20,"2,13","2,14","1,95e-03","1,00","1,00","1,00","-13,28","17,85","1,45",,"24,19","25,26",,
20,Gradual,0,"2,5",7 / 20,"2,00","1,97","1,81e-03","1,00","1,00","1,00","-13,31","17,73","1,46",,"24,19","25,23",,
20,Gradual,0,"2,5",8 / 20,"1,90","1,85","1,77e-03","1,00","1,00","1,00","-13,33","17,52","1,55",,"24,20","25,20",,
20,Gradual,0,"2,5",9 / 20,"1,79","1,74","1,72e-03","1,00","1,00","1,00","-13,34","17,46","1,61",,"24,20","25,18",,
20,Gradual,0,"2,5",10 / 20,"1,72","1,66","1,67e-03","1,00","1,00","1,00","-13,35","17,31","1,68",,"24,20","25,16",,
20,Gradual,0,"2,5",11 / 20,"1,68","1,63","1,56e-03","1,00","1,00","1,00","-13,36","16,99","1,87",,"24,21","25,11",,
20,Gradual,0,"2,5",12 / 20,"1,69","1,63","1,54e-03","1,00","1,00","1,00","-13,39","16,93","1,8",,"24,21","25,11",,
20,Gradual,0,"2,5",13 / 20,"1,67","1,61","1,51e-03","1,00","1,00","1,00","-13,4","16,81","1,85",,"24,21","25,09",,
20,Gradual,0,"2,5",14 / 20,"1,67","1,61","1,49e-03","1,00","1,00","1,00","-13,4","16,74","1,91",,"24,21","25,08",,
20,Gradual,0,"2,5",15 / 20,"1,67","1,61","1,47e-03","1,00","1,00","1,00","-13,42","16,65","1,9",,"24,22","25,07",,
20,Gradual,0,"2,5",16 / 20,"1,55","1,49","1,44e-03","1,00","1,00","1,00","-13,43","16,49","1,99",,"24,22","25,05",,
20,Gradual,0,"2,5",17 / 20,"1,53","1,48","1,43e-03","1,00","1,00","1,00","-13,45","16,44","1,96",,"24,22","25,05",,
20,Gradual,0,"2,5",18 / 20,"1,56","1,51","1,41e-03","1,00","1,00","1,00","-13,45","16,38","2,01",,"24,22","25,04",,
20,Gradual,0,"2,5",19 / 20,"1,58","1,53","1,40e-03","1,00","1,00","1,00","-13,46","16,33","1,99",,"24,22","25,04",,
20,Gradual,0,"2,5",FINAL,"1,55","1,50","1,39e-03","1,00","1,00","1,00","-13,46","16,28","2,04","3,24","24,22","25,03","-129,91","748,30"
20,Gradual,"2,5","2,5",INITIAL,"6,35","7,07","9,61e-01","1,00","1,00","1,00","0,0","0,0","0,0","5,36","11,19","13,63",,
20,Gradual,"2,5","2,5",1 / 20,"1,05","0,97","8,58e-02","1,00","1,00","1,00","-22,01","4,42","-7,52",,"9,27","11,21",,
20,Gradual,"2,5","2,5",2 / 20,"1,11","0,93","1,90e-02","1,00","1,00","1,00","-21,93","4,62","-6,37",,"9,76","11,26",,
20,Gradual,"2,5","2,5",3 / 20,"1,26","1,04","9,02e-03","1,00","1,00","1,00","-21,62","4,55","-6,12",,"9,79","11,18",,
20,Gradual,"2,5","2,5",4 / 20,"1,39","1,14","4,11e-03","1,00","1,00","1,00","-21,53","4,61","-5,94",,"9,80","11,14",,
20,Gradual,"2,5","2,5",5 / 20,"1,36","1,07","2,80e-03","1,00","1,00","1,00","-21,33","4,64","-5,8",,"9,80","11,13",,
20,Gradual,"2,5","2,5",6 / 20,"1,34","1,05","2,35e-03","1,00","1,00","1,00","-21,22","4,67","-5,72",,"9,81","11,13",,
20,Gradual,"2,5","2,5",7 / 20,"1,32","1,03","2,26e-03","1,00","1,00","1,00","-21,19","4,68","-5,71",,"9,81","11,13",,
20,Gradual,"2,5","2,5",8 / 20,"1,32","1,03","2,10e-03","1,00","1,00","1,00","-21,11","4,69","-5,61",,"9,82","11,13",,
