{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"3,16","2,95","1,19e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,95","2,61","2,83",,
20,Planar,"2,5",0,1 / 20,"0,91","1,11","1,18e-02","1,00","1,00","1,00","0,85","2,36","0,66",,"3,32","4,21",,
20,Planar,"2,5",0,2 / 20,"0,94","1,10","5,97e-03","1,00","1,00","1,00","0,89","2,15","0,54",,"3,39","4,25",,
20,Planar,"2,5",0,3 / 20,"0,84","1,03","4,83e-03","1,00","1,00","1,00","0,96","2,13","0,67",,"3,51","4,36",,
20,Planar,"2,5",0,4 / 20,"0,85","1,02","3,40e-03","1,00","1,00","1,00","1,05","2,07","0,78",,"3,67","4,53",,
20,Planar,"2,5",0,5 / 20,"0,90","1,06","2,95e-03","1,00","1,00","1,00","1,1","2,04","0,83",,"3,71","4,57",,
20,Planar,"2,5",0,6 / 20,"0,89","1,03","2,82e-03","1,00","1,00","1,00","1,1","1,98","0,8",,"3,77","4,62",,
20,Planar,"2,5",0,7 / 20,"0,91","1,03","2,57e-03","1,00","1,00","1,00","1,17","1,92","0,96",,"3,82","4,67",,
20,Planar,"2,5",0,8 / 20,"0,93","1,04","2,46e-03","1,00","1,00","1,00","1,12","1,89","0,8",,"3,84","4,69",,
20,Planar,"2,5",0,9 / 20,"0,93","1,03","2,46e-03","1,00","1,00","1,00","1,17","1,85","0,85",,"3,86","4,71",,
20,Planar,"2,5",0,10 / 20,"0,93","1,02","2,39e-03","1,00","1,00","1,00","1,18","1,84","0,84",,"3,87","4,72",,
20,Planar,"2,5",0,11 / 20,"0,93","1,02","2,40e-03","1,00","1,00","1,00","1,19","1,81","0,84",,"3,88","4,74",,
20,Planar,"2,5",0,12 / 20,"0,94","1,03","2,34e-03","1,00","1,00","1,00","1,16","1,8","0,83",,"3,90","4,75",,
20,Planar,"2,5",0,13 / 20,"0,95","1,03","2,32e-03","1,00","1,00","1,00","1,18","1,76","0,84",,"3,92","4,77",,
20,Planar,"2,5",0,14 / 20,"0,94","1,02","2,37e-03","1,00","1,00","1,00","1,2","1,75","0,84",,"3,93","4,78",,
20,Planar,"2,5",0,15 / 20,"0,94","1,02","2,39e-03","1,00","1,00","1,00","1,19","1,71","0,84",,"3,94","4,80",,
20,Planar,"2,5",0,16 / 20,"0,94","1,02","2,33e-03","1,00","1,00","1,00","1,17","1,71","0,83",,"3,95","4,80",,
20,Planar,"2,5",0,17 / 20,"0,94","1,02","2,38e-03","1,00","1,00","1,00","1,18","1,68","0,83",,"3,96","4,82",,
20,Planar,"2,5",0,18 / 20,"0,94","1,02","2,36e-03","1,00","1,00","1,00","1,2","1,66","0,83",,"3,96","4,82",,
20,Planar,"2,5",0,19 / 20,"0,96","1,03","2,29e-03","1,00","1,00","1,00","1,19","1,62","0,83",,"3,98","4,85",,
20,Planar,"2,5",0,FINAL,"0,95","1,02","2,29e-03","1,00","1,00","1,00","1,17","1,62","0,83","3,95","3,99","4,85","-52,51","100,95"
20,Planar,0,"2,5",INITIAL,"1,77","1,47","1,62e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","2,09","2,30",,
20,Planar,0,"2,5",1 / 20,"1,00","1,01","9,63e-04","1,00","1,00","1,00","-1,52","1,64","-3,16",,"1,23","1,39",,
20,Planar,0,"2,5",2 / 20,"0,65","0,63","2,54e-04","1,00","1,00","1,00","-1,57","1,67","-3,04",,"1,09","1,23",,
20,Planar,0,"2,5",3 / 20,"0,63","0,61","9,33e-05","1,00","1,00","1,00","-1,59","1,69","-3,02",,"1,04","1,17",,
20,Planar,0,"2,5",4 / 20,"0,59","0,56","6,94e-05","1,00","1,00","1,00","-1,57","1,71","-3,02",,"1,02","1,15",,
20,Planar,0,"2,5",5 / 20,"0,55","0,53","5,90e-05","1,00","1,00","1,00","-1,55","1,74","-2,94",,"1,00","1,13",,
20,Planar,0,"2,5",6 / 20,"0,52","0,50","5,45e-05","1,00","1,00","1,00","-1,55","1,76","-2,92",,"0,98","1,10",,
20,Planar,0,"2,5",7 / 20,"0,47","0,45","5,19e-05","1,00","1,00","1,00","-1,54","1,81","-2,86",,"0,96","1,07",,
20,Planar,0,"2,5",8 / 20,"0,46","0,44","5,17e-05","1,00","1,00","1,00","-1,55","1,82","-2,86",,"0,95","1,07",,
20,Planar,0,"2,5",9 / 20,"0,44","0,42","5,12e-05","1,00","1,00","1,00","-1,55","1,85","-2,82",,"0,94","1,06",,
20,Planar,0,"2,5",10 / 20,"0,42","0,40","5,01e-05","1,00","1,00","1,00","-1,54","1,89","-2,78",,"0,94","1,05",,
20,Planar,0,"2,5",11 / 20,"0,41","0,39","5,01e-05","1,00","1,00","1,00","-1,54","1,9","-2,76",,"0,94","1,05",,
20,Planar,0,"2,5",12 / 20,"0,40","0,39","4,99e-05","1,00","1,00","1,00","-1,54","1,92","-2,74",,"0,93","1,05",,
20,Planar,0,"2,5",13 / 20,"0,39","0,38","4,97e-05","1,00","1,00","1,00","-1,54","1,94","-2,72",,"0,93","1,05",,
20,Planar,0,"2,5",14 / 20,"0,38","0,37","4,96e-05","1,00","1,00","1,00","-1,54","1,96","-2,7",,"0,93","1,05",,
20,Planar,0,"2,5",15 / 20,"0,38","0,37","4,90e-05","1,00","1,00","1,00","-1,54","1,98","-2,69",,"0,93","1,05",,
20,Planar,0,"2,5",16 / 20,"0,37","0,36","4,90e-05","1,00","1,00","1,00","-1,54","1,99","-2,67",,"0,93","1,05",,
20,Planar,0,"2,5",17 / 20,"0,36","0,35","5,12e-05","1,00","1,00","1,00","-1,54","2,01","-2,65",,"0,93","1,05",,
20,Planar,0,"2,5",18 / 20,"0,36","0,35","4,96e-05","1,00","1,00","1,00","-1,55","2,04","-2,63",,"0,93","1,05",,
20,Planar,0,"2,5",19 / 20,"0,36","0,34","4,94e-05","1,00","1,00","1,00","-1,55","2,05","-2,61",,"0,93","1,05",,
20,Planar,0,"2,5",FINAL,"0,35","0,34","4,93e-05","1,00","1,00","1,00","-1,55","2,07","-2,6","2,50","0,93","1,05","55,51","37,20"
20,Planar,"2,5","2,5",INITIAL,"3,48","6,02","1,36e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,03","3,34",,
20,Planar,"2,5","2,5",1 / 20,"0,96","1,01","1,62e-02","1,00","1,00","1,00","-3,52","0,54","-0,5",,"4,83","5,60",,
20,Planar,"2,5","2,5",2 / 20,"1,15","0,96","6,44e-03","1,00","1,00","1,00","-3,63","0,64","-0,15",,"4,82","5,60",,
20,Planar,"2,5","2,5",3 / 20,"1,30","0,86","4,15e-03","1,00","1,00","1,00","-3,5","0,61","0,0",,"4,86","5,66",,
20,Planar,"2,5","2,5",4 / 20,"1,38","0,90","3,51e-03","1,00","1,00","1,00","-3,48","0,6","-0,01",,"4,89","5,69",,
20,Planar,"2,5","2,5",5 / 20,"1,30","0,83","3,62e-03","1,00","1,00","1,00","-3,46","0,61","0,0",,"4,90","5,71",,
20,Planar,"2,5","2,5",6 / 20,"1,34","0,86","3,29e-03","1,00","1,00","1,00","-3,38","0,58","0,09",,"4,94","5,78",,
20,Planar,"2,5","2,5",7 / 20,"1,26","0,81","3,37e-03","1,00","1,00","1,00","-3,39","0,61","0,17",,"4,94","5,79",,
20,Planar,"2,5","2,5",8 / 20,"1,32","0,85","3,04e-03","1,00","1,00","1,00","-3,32","0,6","0,29",,"4,98","5,86",,
20,Planar,"2,5","2,5",9 / 20,"1,25","0,80","3,27e-03","1,00","1,00","1,00","-3,3","0,61","0,34",,"5,00","5,88",,
20,Planar,"2,5","2,5",10 / 20,"1,28","0,82","3,09e-03","1,00","1,00","1,00","-3,25","0,61","0,42",,"5,03","5,93",,
20,Planar,"2,5","2,5",11 / 20,"1,35","0,86","2,81e-03","1,00","1,00","1,00","-3,26","0,61","0,45",,"5,05","5,95",,
20,Planar,"2,5","2,5",12 / 20,"1,21","0,77","3,35e-03","1,00","1,00","1,00","-3,25","0,63","0,55",,"5,07","5,99",,
20,Planar,"2,5","2,5",13 / 20,"1,22","0,79","3,24e-03","1,00","1,00","1,00","-3,23","0,65","0,61",,"5,10","6,02",,
20,Planar,"2,5","2,5",14 / 20,"1,23","0,79","3,30e-03","1,00","1,00","1,00","-3,26","0,64","0,63",,"5,11","6,03",,
20,Planar,"2,5","2,5",15 / 20,"1,26","0,81","3,09e-03","1,00","1,00","1,00","-3,28","0,67","0,69",,"5,14","6,07",,
20,Planar,"2,5","2,5",16 / 20,"1,28","0,82","3,08e-03","1,00","1,00","1,00","-3,27","0,66","0,69",,"5,14","6,07",,
20,Planar,"2,5","2,5",17 / 20,"1,23","0,79","3,24e-03","1,00","1,00","1,00","-3,3","0,67","0,71",,"5,15","6,08",,
20,Planar,"2,5","2,5",18 / 20,"1,23","0,79","3,24e-03","1,00","1,00","1,00","-3,29","0,68","0,73",,"5,16","6,09",,
20,Planar,"2,5","2,5",19 / 20,"1,22","0,79","3,24e-03","1,00","1,00","1,00","-3,3","0,69","0,74",,"5,16","6,10",,
20,Planar,"2,5","2,5",FINAL,"1,23","0,79","3,29e-03","1,00","1,00","1,00","-3,33","0,69","0,77","4,73","5,18","6,12","-70,82","109,69"
20,Planar,10,0,INITIAL,"12,29","12,25","1,70e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","8,23","8,97",,
20,Planar,10,0,1 / 20,"0,86","1,18","4,10e-02","0,98","0,97","0,97","-114,22","2,33","1,82",,"136,84","138,15",,
20,Planar,10,0,2 / 20,"0,89","1,09","2,68e-02","0,98","0,97","0,97","-114,43","1,85","1,28",,"137,11","138,42",,
20,Planar,10,0,3 / 20,"0,89","1,03","2,06e-02","0,98","0,97","0,97","-114,44","1,88","1,61",,"137,49","138,79",,
20,Planar,10,0,4 / 20,"0,92","0,93","1,94e-02","0,98","0,97","0,97","-114,49","1,91","1,93",,"137,66","138,96",,
20,Planar,10,0,5 / 20,"0,91","0,94","1,78e-02","0,98","0,97","0,97","-114,62","1,64","1,73",,"137,94","139,25",,
20,Planar,10,0,6 / 20,"0,74","0,73","1,81e-02","0,98","0,97","0,96","-114,92","1,49","1,85",,"138,29","139,60",,
20,Planar,10,0,7 / 20,"0,89","0,90","1,71e-02","0,98","0,97","0,96","-114,9","1,4","1,87",,"138,42","139,74",,
20,Planar,10,0,8 / 20,"0,94","0,89","1,71e-02","0,98","0,97","0,96","-115,09","1,24","1,89",,"138,58","139,91",,
20,Planar,10,0,9 / 20,"0,89","0,83","1,68e-02","0,98","0,97","0,96","-115,27","1,11","1,71",,"138,78","140,12",,
20,Planar,10,0,10 / 20,"0,96","0,85","1,54e-02","0,98","0,97","0,96","-115,39","1,07","1,8",,"138,95","140,29",,
20,Planar,10,0,11 / 20,"0,89","0,75","1,65e-02","0,98","0,97","0,96","-115,53","0,93","1,76",,"139,08","140,42",,
20,Planar,10,0,12 / 20,"0,81","0,70","1,64e-02","0,98","0,97","0,96","-115,54","0,8","1,79",,"139,19","140,53",,
20,Planar,10,0,13 / 20,"0,95","0,86","1,65e-02","0,98","0,97","0,96","-115,73","0,73","1,68",,"139,29","140,64",,
20,Planar,10,0,14 / 20,"0,82","0,77","1,68e-02","0,98","0,97","0,96","-115,85","0,59","1,61",,"139,48","140,84",,
20,Planar,10,0,15 / 20,"1,04","0,91","1,59e-02","0,98","0,97","0,96","-116,01","0,5","1,54",,"139,59","140,96",,
20,Planar,10,0,16 / 20,"0,91","0,80","1,60e-02","0,98","0,97","0,96","-116,01","0,46","1,57",,"139,70","141,06",,
20,Planar,10,0,17 / 20,"0,92","0,87","1,61e-02","0,98","0,97","0,96","-116,15","0,36","1,46",,"139,80","141,16",,
20,Planar,10,0,18 / 20,"0,93","0,82","1,62e-02","0,98","0,97","0,96","-116,19","0,18","1,53",,"139,90","141,26",,
20,Planar,10,0,19 / 20,"0,82","0,74","1,67e-02","0,98","0,97","0,96","-116,29","0,16","1,41",,"140,02","141,39",,
20,Planar,10,0,FINAL,"0,89","0,76","1,56e-02","0,98","0,97","0,96","-116,44","0,08","1,32","16,05","140,17","141,54","-1603,60","873,07"
20,Planar,0,10,INITIAL,"5,90","4,74","1,60e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,27","5,40",,
20,Planar,0,10,1 / 20,"0,95","1,04","8,04e-04","1,00","1,00","1,00","-7,34","5,28","-12,08",,"3,06","3,26",,
20,Planar,0,10,2 / 20,"0,73","0,72","2,15e-04","1,00","1,00","1,00","-7,41","5,48","-11,92",,"2,93","3,13",,
20,Planar,0,10,3 / 20,"0,72","0,66","1,14e-04","1,00","1,00","1,00","-7,28","5,55","-11,68",,"2,82","3,03",,
20,Planar,0,10,4 / 20,"0,71","0,64","8,59e-05","1,00","1,00","1,00","-7,25","5,6","-11,59",,"2,77","2,99",,
20,Planar,0,10,5 / 20,"0,71","0,64","7,53e-05","1,00","1,00","1,00","-7,27","5,63","-11,6",,"2,75","2,97",,
20,Planar,0,10,6 / 20,"0,69","0,62","7,36e-05","1,00","1,00","1,00","-7,22","5,65","-11,52",,"2,73","2,95",,
20,Planar,0,10,7 / 20,"0,66","0,59","7,29e-05","1,00","1,00","1,00","-7,21","5,7","-11,46",,"2,69","2,91",,
20,Planar,0,10,8 / 20,"0,61","0,54","7,56e-05","1,00","1,00","1,00","-7,17","5,78","-11,34",,"2,62","2,85",,
20,Planar,0,10,9 / 20,"0,60","0,53","7,65e-05","1,00","1,00","1,00","-7,13","5,8","-11,27",,"2,60","2,84",,
20,Planar,0,10,10 / 20,"0,57","0,50","7,80e-05","1,00","1,00","1,00","-7,09","5,86","-11,16",,"2,55","2,79",,
20,Planar,0,10,11 / 20,"0,56","0,49","8,01e-05","1,00","1,00","1,00","-7,12","5,88","-11,15",,"2,53","2,78",,
20,Planar,0,10,12 / 20,"0,52","0,46","8,22e-05","1,00","1,00","1,00","-7,09","5,95","-11,04",,"2,47","2,73",,
20,Planar,0,10,13 / 20,"0,50","0,44","8,54e-05","1,00","1,00","1,00","-7,01","6,01","-10,9",,"2,42","2,68",,
20,Planar,0,10,14 / 20,"0,48","0,42","8,81e-05","1,00","1,00","1,00","-7,01","6,06","-10,84",,"2,38","2,65",,
20,Planar,0,10,15 / 20,"0,47","0,41","9,07e-05","1,00","1,00","1,00","-7,01","6,11","-10,77",,"2,35","2,62",,
20,Planar,0,10,16 / 20,"0,46","0,40","9,28e-05","1,00","1,00","1,00","-7,0","6,14","-10,71",,"2,32","2,59",,
20,Planar,0,10,17 / 20,"0,45","0,39","9,49e-05","1,00","1,00","1,00","-6,97","6,18","-10,65",,"2,29","2,57",,
20,Planar,0,10,18 / 20,"0,44","0,39","9,60e-05","1,00","1,00","1,00","-6,98","6,19","-10,63",,"2,28","2,56",,
20,Planar,0,10,19 / 20,"0,44","0,38","9,71e-05","1,00","1,00","1,00","-6,97","6,21","-10,6",,"2,27","2,54",,
20,Planar,0,10,FINAL,"0,43","0,38","9,85e-05","1,00","1,00","1,00","-6,96","6,24","-10,56","10,00","2,25","2,53","57,33","22,48"
20,Planar,10,10,INITIAL,"13,57","14,78","1,74e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","9,68","10,46",,
20,Planar,10,10,1 / 20,"0,45","0,51","8,67e-02","0,99","0,99","1,00","-74,94","-1,47","16,99",,"106,38","107,40",,
20,Planar,10,10,2 / 20,"1,01","1,27","5,11e-02","0,99","0,99","1,00","-74,92","-1,51","17,42",,"106,69","107,72",,
20,Planar,10,10,3 / 20,"1,07","1,14","4,16e-02","0,99","0,99","1,00","-75,35","-1,65","17,53",,"106,94","107,99",,
20,Planar,10,10,4 / 20,"1,09","1,07","3,92e-02","0,99","0,99","1,00","-75,42","-1,76","17,84",,"107,18","108,23",,
20,Planar,10,10,5 / 20,"1,02","1,11","3,56e-02","0,99","0,99","1,00","-75,89","-1,94","18,1",,"107,56","108,61",,
20,Planar,10,10,6 / 20,"1,10","1,07","3,35e-02","0,99","0,99","1,00","-76,12","-1,97","18,44",,"107,91","108,96",,
20,Planar,10,10,7 / 20,"1,02","1,03","3,23e-02","0,99","0,99","1,00","-76,19","-2,07","19,11",,"108,41","109,45",,
20,Planar,10,10,8 / 20,"0,92","0,94","3,30e-02","0,99","0,99","1,00","-76,67","-2,16","18,91",,"108,51","109,55",,
20,Planar,10,10,9 / 20,"1,06","1,05","3,14e-02","0,99","0,99","1,00","-76,7","-2,18","18,99",,"108,64","109,68",,
20,Planar,10,10,10 / 20,"1,00","1,00","3,22e-02","0,99","0,99","1,00","-76,87","-2,24","19,25",,"108,83","109,87",,
20,Planar,10,10,11 / 20,"1,09","1,12","2,95e-02","0,99","0,99","1,00","-77,03","-2,29","19,29",,"109,03","110,07",,
20,Planar,10,10,12 / 20,"1,03","0,98","3,13e-02","0,99","0,99","1,00","-77,24","-2,27","19,21",,"109,13","110,18",,
20,Planar,10,10,13 / 20,"1,00","0,98","3,00e-02","0,99","0,99","1,00","-77,39","-2,33","19,32",,"109,25","110,29",,
20,Planar,10,10,14 / 20,"0,98","0,92","3,14e-02","0,99","0,99","1,00","-77,46","-2,27","19,37",,"109,45","110,50",,
20,Planar,10,10,15 / 20,"1,21","1,17","2,90e-02","0,99","0,99","1,00","-77,76","-2,31","19,33",,"109,54","110,59",,
20,Planar,10,10,16 / 20,"0,96","0,93","3,15e-02","0,99","0,99","1,00","-77,93","-2,38","19,45",,"109,79","110,84",,
20,Planar,10,10,17 / 20,"1,15","1,14","2,92e-02","0,99","0,99","1,00","-78,23","-2,39","19,51",,"109,99","111,04",,
20,Planar,10,10,18 / 20,"1,00","0,96","3,14e-02","0,99","0,99","1,00","-78,23","-2,37","19,53",,"110,10","111,15",,
20,Planar,10,10,19 / 20,"1,07","1,05","2,98e-02","0,99","0,99","1,00","-78,97","-2,44","19,57",,"110,53","111,58",,
20,Planar,10,10,FINAL,"1,01","0,97","3,07e-02","0,99","0,99","1,00","-78,81","-2,39","19,69","19,14","110,62","111,67","-1042,32","577,89"
20,Gradual,0,"2,5",INITIAL,"2,56","2,17","1,73e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,43","2,74",,
20,Gradual,0,"2,5",1 / 20,"0,97","1,01","1,73e-03","1,00","1,00","1,00","-6,47","-2,14","-3,4",,"1,51","1,77",,
20,Gradual,0,"2,5",2 / 20,"0,89","0,94","8,08e-04","1,00","1,00","1,00","-6,52","-2,19","-3,39",,"1,44","1,69",,
20,Gradual,0,"2,5",3 / 20,"0,84","0,86","6,05e-04","1,00","1,00","1,00","-6,54","-2,2","-3,41",,"1,40","1,65",,
20,Gradual,0,"2,5",4 / 20,"0,74","0,74","5,64e-04","1,00","1,00","1,00","-6,56","-2,21","-3,41",,"1,37","1,62",,
20,Gradual,0,"2,5",5 / 20,"0,60","0,58","5,57e-04","1,00","1,00","1,00","-6,59","-2,21","-3,47",,"1,34","1,58",,
20,Gradual,0,"2,5",6 / 20,"0,61","0,58","5,15e-04","1,00","1,00","1,00","-6,56","-2,21","-3,39",,"1,33","1,56",,
20,Gradual,0,"2,5",7 / 20,"0,58","0,55","5,06e-04","1,00","1,00","1,00","-6,59","-2,22","-3,45",,"1,32","1,55",,
20,Gradual,0,"2,5",8 / 20,"0,56","0,53","5,02e-04","1,00","1,00","1,00","-6,58","-2,22","-3,4",,"1,31","1,54",,
20,Gradual,0,"2,5",9 / 20,"0,52","0,49","5,04e-04","1,00","1,00","1,00","-6,6","-2,23","-3,41",,"1,30","1,52",,
20,Gradual,0,"2,5",10 / 20,"0,50","0,47","5,00e-04","1,00","1,00","1,00","-6,61","-2,24","-3,41",,"1,29","1,51",,
20,Gradual,0,"2,5",11 / 20,"0,48","0,45","4,98e-04","1,00","1,00","1,00","-6,63","-2,25","-3,41",,"1,29","1,51",,
20,Gradual,0,"2,5",12 / 20,"0,46","0,44","4,97e-04","1,00","1,00","1,00","-6,63","-2,26","-3,4",,"1,29","1,50",,
20,Gradual,0,"2,5",13 / 20,"0,44","0,42","4,97e-04","1,00","1,00","1,00","-6,65","-2,28","-3,39",,"1,28","1,50",,
20,Gradual,0,"2,5",14 / 20,"0,43","0,41","4,97e-04","1,00","1,00","1,00","-6,66","-2,29","-3,38",,"1,28","1,50",,
20,Gradual,0,"2,5",15 / 20,"0,41","0,38","4,97e-04","1,00","1,00","1,00","-6,67","-2,32","-3,39",,"1,28","1,49",,
20,Gradual,0,"2,5",16 / 20,"0,40","0,37","4,99e-04","1,00","1,00","1,00","-6,71","-2,34","-3,38",,"1,28","1,49",,
20,Gradual,0,"2,5",17 / 20,"0,39","0,37","5,01e-04","1,00","1,00","1,00","-6,73","-2,36","-3,38",,"1,28","1,49",,
20,Gradual,0,"2,5",18 / 20,"0,38","0,36","5,02e-04","1,00","1,00","1,00","-6,75","-2,38","-3,37",,"1,28","1,49",,
20,Gradual,0,"2,5",19 / 20,"0,38","0,35","5,08e-04","1,00","1,00","1,00","-6,77","-2,39","-3,37",,"1,28","1,49",,
20,Gradual,0,"2,5",FINAL,"0,37","0,35","5,09e-04","1,00","1,00","1,00","-6,77","-2,4","-3,37","3,24","1,28","1,49","47,24","39,62"
20,Gradual,"2,5","2,5",INITIAL,"3,90","4,44","1,46e-01","1,00","1,00","1,00","0,0","0,0","0,0","5,36","3,23","3,54",,
20,Gradual,"2,5","2,5",1 / 20,"1,10","0,93","2,16e-02","1,00","1,00","1,00","-3,63","0,68","-1,03",,"3,01","3,62",,
20,Gradual,"2,5","2,5",2 / 20,"0,98","0,96","6,59e-03","1,00","1,00","1,00","-3,96","0,71","-1,72",,"3,47","4,18",,
20,Gradual,"2,5","2,5",3 / 20,"1,21","1,02","3,76e-03","1,00","1,00","1,00","-4,02","0,71","-1,64",,"3,56","4,26",,
20,Gradual,"2,5","2,5",4 / 20,"1,31","1,06","2,82e-03","1,00","1,00","1,00","-4,06","0,68","-1,81",,"3,61","4,32",,
20,Gradual,"2,5","2,5",5 / 20,"1,25","0,98","2,51e-03","1,00","1,00","1,00","-4,04","0,66","-1,78",,"3,69","4,42",,
20,Gradual,"2,5","2,5",6 / 20,"1,20","0,95","2,40e-03","1,00","1,00","1,00","-4,07","0,64","-1,84",,"3,72","4,46",,
20,Gradual,"2,5","2,5",7 / 20,"1,20","0,96","2,26e-03","1,00","1,00","1,00","-4,04","0,63","-1,79",,"3,75","4,49",,
20,Gradual,"2,5","2,5",8 / 20,"1,16","0,92","2,25e-03","1,00","1,00","1,00","-4,06","0,61","-1,88",,"3,79","4,54",,
