InRays
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
level0,checks,,,,,,,,,,,,,,,,,,,
level0,checks,INITIAL,,,"0,08",,,,,,,"5,57","60,10","181,26",,,,,,
level0,checks,1 / 10,,,"0,07",,,,,,,"5,57","60,09","181,23",,,,,,
level0,checks,2 / 10,,,"0,07",,,,,,,"5,57","60,09","181,23",,,,,,
level0,checks,3 / 10,,,"0,07",,,,,,,"5,57","60,09","181,23",,,,,,
level0,checks,4 / 10,,,"0,07",,,,,,,"5,57","60,08","181,23",,,,,,
level0,checks,5 / 10,,,"0,07",,,,,,,"5,57","60,08","181,23",,,,,,
level0,checks,6 / 10,,,"0,07",,,,,,,"5,57","60,08","181,23",,,,,,
level0,checks,7 / 10,,,"0,07",,,,,,,"5,57","60,07","181,23",,,,,,
level0,checks,8 / 10,,,"0,07",,,,,,,"5,57","60,07","181,22",,,,,,
level0,checks,9 / 10,,,"0,07",,,,,,,"5,57","60,06","181,22",,,,,,
level0,checks,FINAL,,,"0,07",,,,,,,"5,57","60,06","181,22","0,07","1079,11","131,58","2,00","109,00","218,00"
level0,no_checks,,,,,,,,,,,,,,,,,,,
level0,no_checks,INITIAL,,,"0,08",,,,,,,"5,57","60,10","181,26",,,,,,
level0,no_checks,1 / 10,,,"0,03",,,,,,,"5,57","60,22","181,34",,,,,,
level0,no_checks,2 / 10,,,"0,03",,,,,,,"5,57","60,24","181,33",,,,,,
level0,no_checks,3 / 10,,,"0,04",,,,,,,"5,57","60,26","181,32",,,,,,
level0,no_checks,4 / 10,,,"0,05",,,,,,,"5,57","60,27","181,32",,,,,,
level0,no_checks,5 / 10,,,"0,05",,,,,,,"5,57","60,28","181,31",,,,,,
level0,no_checks,6 / 10,,,"0,06",,,,,,,"5,57","60,29","181,31",,,,,,
level0,no_checks,7 / 10,,,"0,06",,,,,,,"5,57","60,30","181,31",,,,,,
level0,no_checks,8 / 10,,,"0,07",,,,,,,"5,57","60,31","181,31",,,,,,
level0,no_checks,9 / 10,,,"0,07",,,,,,,"5,57","60,32","181,31",,,,,,
level0,no_checks,FINAL,,,"0,07",,,,,,,"5,57","60,33","181,31","-0,38","1083,96","131,58","2,00","109,00","218,00"
level1,no_checks,,,,,,,,,,,,,,,,,,,
level1,no_checks,INITIAL,,,"0,06",,,,,,,"34,42","145,23","293,60",,,,,,
level1,no_checks,1 / 10,,,"0,69",,,,,,,"34,42","121,54","253,59",,,,,,
level1,no_checks,2 / 10,,,"0,71",,,,,,,"34,42","121,23","253,04",,,,,,
level1,no_checks,3 / 10,,,"0,71",,,,,,,"34,42","121,19","253,00",,,,,,
level1,no_checks,4 / 10,,,"0,71",,,,,,,"34,42","121,16","252,96",,,,,,
level1,no_checks,5 / 10,,,"0,71",,,,,,,"34,42","121,14","252,94",,,,,,
level1,no_checks,6 / 10,,,"0,71",,,,,,,"34,42","121,14","252,93",,,,,,
level1,no_checks,7 / 10,,,"0,71",,,,,,,"34,42","121,13","252,92",,,,,,
level1,no_checks,8 / 10,,,"0,71",,,,,,,"34,42","121,12","252,91",,,,,,
level1,no_checks,9 / 10,,,"0,71",,,,,,,"34,42","121,12","252,90",,,,,,
level1,no_checks,FINAL,,,"0,71",,,,,,,"34,42","121,12","252,90","16,60","351,93","131,67","2,05","86,00","152,00"
level2,no_checks,,,,,,,,,,,,,,,,,,,
level2,no_checks,INITIAL,,,"0,43",,,,,,,"59,14","380,75","444,11",,,,,,
level2,no_checks,1 / 10,,,"0,47",,,,,,,"59,14","308,82","313,45",,,,,,
level2,no_checks,2 / 10,,,"0,47",,,,,,,"59,14","309,93","314,57",,,,,,
level2,no_checks,3 / 10,,,"0,47",,,,,,,"59,14","311,04","315,68",,,,,,
level2,no_checks,4 / 10,,,"0,47",,,,,,,"59,14","312,13","316,78",,,,,,
level2,no_checks,5 / 10,,,"0,47",,,,,,,"59,14","313,21","317,87",,,,,,
level2,no_checks,6 / 10,,,"0,47",,,,,,,"59,14","314,27","318,94",,,,,,
level2,no_checks,7 / 10,,,"0,46",,,,,,,"59,14","315,33","320,00",,,,,,
level2,no_checks,8 / 10,,,"0,46",,,,,,,"59,14","316,37","321,05",,,,,,
level2,no_checks,9 / 10,,,"0,46",,,,,,,"59,14","317,40","322,09",,,,,,
level2,no_checks,FINAL,,,"0,46",,,,,,,"59,14","318,42","323,12","16,37","538,45","93,35","2,03","88,00","152,00"
level3,no_checks,,,,,,,,,,,,,,,,,,,
level3,no_checks,INITIAL,,,"0,67",,,,,,,"47,71","294,54","375,64",,,,,,
level3,no_checks,1 / 10,,,"0,87",,,,,,,"47,71","283,14","359,57",,,,,,
level3,no_checks,2 / 10,,,"0,76",,,,,,,"47,71","283,79","359,36",,,,,,
level3,no_checks,3 / 10,,,"0,74",,,,,,,"47,71","282,87","358,01",,,,,,
level3,no_checks,4 / 10,,,"0,89",,,,,,,"47,71","282,90","357,98",,,,,,
level3,no_checks,5 / 10,,,"0,85",,,,,,,"47,71","283,59","358,64",,,,,,
level3,no_checks,6 / 10,,,"0,83",,,,,,,"47,71","283,13","357,95",,,,,,
level3,no_checks,7 / 10,,,"0,91",,,,,,,"47,71","283,07","357,85",,,,,,
level3,no_checks,8 / 10,,,"0,89",,,,,,,"47,71","283,18","357,92",,,,,,
