FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
level0,checks,,,,,,,,,,,,,,,,,,,
level0,checks,INITIAL,,,"0,03",,,,,,,"14,68","199,82","364,28",,,,,,
level0,checks,1 / 10,,,"0,03",,,,,,,"14,68","199,82","364,28",,,,,,
level0,checks,2 / 10,,,"0,03",,,,,,,"14,68","199,82","364,28",,,,,,
level0,checks,3 / 10,,,"0,02",,,,,,,"14,68","199,82","364,28",,,,,,
level0,checks,4 / 10,,,"0,02",,,,,,,"14,68","199,82","364,28",,,,,,
level0,checks,5 / 10,,,"0,02",,,,,,,"14,68","199,82","364,28",,,,,,
level0,checks,FINAL,,,"0,02",,,,,,,"14,68","199,82","364,28","0,00","1360,76","74,84","0,69","93,00","184,00"
level0,no_checks,,,,,,,,,,,,,,,,,,,
level0,no_checks,INITIAL,,,"0,28",,,,,,,"15,13","215,43","396,66",,,,,,
level0,no_checks,1 / 10,,,"0,26",,,,,,,"15,13","215,44","396,65",,,,,,
level0,no_checks,2 / 10,,,"0,26",,,,,,,"15,13","215,44","396,65",,,,,,
level0,no_checks,3 / 10,,,"0,26",,,,,,,"15,13","215,44","396,65",,,,,,
level0,no_checks,FINAL,,,"0,26",,,,,,,"15,13","215,44","396,65","-0,00","1423,78","74,84","0,74","96,00","192,00"
level1,no_checks,,,,,,,,,,,,,,,,,,,
level1,no_checks,INITIAL,,,"0,30",,,,,,,"24,83","419,42","594,04",,,,,,
level1,no_checks,1 / 10,,,"0,29",,,,,,,"24,83","419,38","594,03",,,,,,
level1,no_checks,2 / 10,,,"0,29",,,,,,,"24,83","419,38","594,03",,,,,,
level1,no_checks,FINAL,,,"0,29",,,,,,,"24,83","419,38","594,03","0,01","1689,30","71,10","0,80","99,00","198,00"
level2,no_checks,,,,,,,,,,,,,,,,,,,
level2,no_checks,INITIAL,,,"1,80",,,,,,,"32,15","582,20","815,09",,,,,,
level2,no_checks,1 / 10,,,"1,96",,,,,,,"32,15","582,37","814,89",,,,,,
level2,no_checks,2 / 10,,,"1,99",,,,,,,"32,15","582,40","814,77",,,,,,
level2,no_checks,3 / 10,,,"1,98",,,,,,,"32,15","582,46","814,61",,,,,,
level2,no_checks,4 / 10,,,"1,98",,,,,,,"32,15","582,49","814,52",,,,,,
level2,no_checks,5 / 10,,,"1,98",,,,,,,"32,15","582,55","814,42",,,,,,
level2,no_checks,6 / 10,,,"1,98",,,,,,,"32,15","582,59","814,34",,,,,,
level2,no_checks,7 / 10,,,"1,98",,,,,,,"32,15","582,68","814,19",,,,,,
level2,no_checks,8 / 10,,,"1,97",,,,,,,"32,15","582,72","814,11",,,,,,
level2,no_checks,9 / 10,,,"1,95",,,,,,,"32,15","582,80","814,00",,,,,,
level2,no_checks,FINAL,,,"1,98",,,,,,,"32,15","582,90","813,85","-0,12","1813,11","67,50","0,63","73,00","144,00"
level3,no_checks,,,,,,,,,,,,,,,,,,,
level3,no_checks,INITIAL,,,"3,35",,,,,,,"56,01","984,65","1278,61",,,,,,
level3,no_checks,1 / 10,,,"2,15",,,,,,,"56,01","984,62","1278,16",,,,,,
level3,no_checks,2 / 10,,,"1,99",,,,,,,"56,01","984,46","1278,09",,,,,,
level3,no_checks,3 / 10,,,"2,00",,,,,,,"56,01","983,84","1277,78",,,,,,
level3,no_checks,4 / 10,,,"2,60",,,,,,,"56,01","964,71","1267,73",,,,,,
level3,no_checks,5 / 10,,,"1,74",,,,,,,"56,01","959,75","1266,14",,,,,,
level3,no_checks,6 / 10,,,"1,69",,,,,,,"56,01","959,74","1266,13",,,,,,
level3,no_checks,7 / 10,,,"1,68",,,,,,,"56,01","959,74","1266,12",,,,,,
level3,no_checks,8 / 10,,,"1,65",,,,,,,"56,01","959,73","1266,11",,,,,,
level3,no_checks,9 / 10,,,"1,61",,,,,,,"56,01","959,72","1266,08",,,,,,
level3,no_checks,FINAL,,,"1,60",,,,,,,"56,01","959,71","1266,07","2,53","1713,49","62,97","0,79","77,00","148,00"
