TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
level0,checks,,,,,,,,,,,,,,,,,,,
level0,checks,INITIAL,,,"0,00",,,,,,,"14,68","199,83","364,28",,,,,,
level0,checks,1 / 10,,,"0,00",,,,,,,"14,68","199,82","364,28",,,,,,
level0,checks,2 / 10,,,"0,00",,,,,,,"14,68","199,82","364,28",,,,,,
level0,checks,3 / 10,,,"0,00",,,,,,,"14,68","199,82","364,28",,,,,,
level0,checks,FINAL,,,"0,00",,,,,,,"14,68","199,82","364,28","0,00","1360,74","74,84","0,69","93,00","184,00"
level0,no_checks,,,,,,,,,,,,,,,,,,,
level0,no_checks,INITIAL,,,"0,00",,,,,,,"15,27","216,61","398,58",,,,,,
level0,no_checks,1 / 10,,,"0,02",,,,,,,"15,27","216,60","398,56",,,,,,
level0,no_checks,2 / 10,,,"0,02",,,,,,,"15,27","216,60","398,56",,,,,,
level0,no_checks,3 / 10,,,"0,02",,,,,,,"15,27","216,60","398,56",,,,,,
level0,no_checks,FINAL,,,"0,02",,,,,,,"15,27","216,60","398,56","0,00","1418,13","74,84","0,74","95,00","190,00"
level1,no_checks,,,,,,,,,,,,,,,,,,,
level1,no_checks,INITIAL,,,"0,00",,,,,,,"24,83","419,41","594,02",,,,,,
level1,no_checks,1 / 10,,,"0,03",,,,,,,"24,83","419,30","594,00",,,,,,
level1,no_checks,2 / 10,,,"0,03",,,,,,,"24,83","419,30","594,00",,,,,,
level1,no_checks,FINAL,,,"0,03",,,,,,,"24,83","419,30","594,00","0,03","1688,96","71,10","0,80","99,00","198,00"
level2,no_checks,,,,,,,,,,,,,,,,,,,
level2,no_checks,INITIAL,,,"0,00",,,,,,,"35,43","589,65","833,62",,,,,,
level2,no_checks,1 / 10,,,"0,01",,,,,,,"35,43","589,62","833,59",,,,,,
level2,no_checks,2 / 10,,,"0,11",,,,,,,"35,43","589,54","833,54",,,,,,
level2,no_checks,3 / 10,,,"0,16",,,,,,,"35,43","589,51","833,54",,,,,,
level2,no_checks,4 / 10,,,"0,17",,,,,,,"35,43","589,50","833,54",,,,,,
level2,no_checks,5 / 10,,,"0,17",,,,,,,"35,43","589,49","833,55",,,,,,
level2,no_checks,6 / 10,,,"0,19",,,,,,,"35,43","589,49","833,55",,,,,,
level2,no_checks,7 / 10,,,"0,27",,,,,,,"35,43","589,49","833,62",,,,,,
level2,no_checks,8 / 10,,,"0,30",,,,,,,"35,43","589,51","833,68",,,,,,
level2,no_checks,9 / 10,,,"0,34",,,,,,,"35,43","589,53","833,72",,,,,,
level2,no_checks,FINAL,,,"0,38",,,,,,,"35,43","589,55","833,75","0,02","1664,08","67,50","0,63","73,00","144,00"
level3,no_checks,,,,,,,,,,,,,,,,,,,
level3,no_checks,INITIAL,,,"0,00",,,,,,,"56,01","984,78","1279,03",,,,,,
level3,no_checks,1 / 10,,,"0,25",,,,,,,"56,01","984,66","1278,88",,,,,,
level3,no_checks,2 / 10,,,"0,25",,,,,,,"56,01","984,66","1278,88",,,,,,
level3,no_checks,3 / 10,,,"0,25",,,,,,,"56,01","984,66","1278,87",,,,,,
level3,no_checks,4 / 10,,,"0,27",,,,,,,"56,01","984,63","1278,87",,,,,,
level3,no_checks,5 / 10,,,"0,29",,,,,,,"56,01","984,61","1278,86",,,,,,
level3,no_checks,6 / 10,,,"0,30",,,,,,,"56,01","984,61","1278,86",,,,,,
level3,no_checks,7 / 10,,,"0,30",,,,,,,"56,01","984,60","1278,85",,,,,,
level3,no_checks,8 / 10,,,"0,31",,,,,,,"56,01","984,60","1278,85",,,,,,
level3,no_checks,9 / 10,,,"0,32",,,,,,,"56,01","984,59","1278,84",,,,,,
level3,no_checks,FINAL,,,"0,32",,,,,,,"56,01","984,59","1278,84","0,02","1757,91","62,97","0,79","77,00","148,00"
