{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,70","1,66","3,96e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,41","4,08",,
20,Planar,"2,5",0,1 / 5,"3,01","2,76","6,37e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,73","4,53",,
20,Planar,"2,5",0,2 / 5,"2,56","2,64","2,28e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,68","4,44",,
20,Planar,"2,5",0,3 / 5,"1,82","1,98","2,23e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,51","4,28",,
20,Planar,"2,5",0,4 / 5,"1,71","1,83","2,13e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,49","4,25",,
20,Planar,"2,5",0,FINAL,"1,57","1,69","2,07e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","3,95","3,46","4,22","-1,60","87,72"
20,Planar,0,"2,5",INITIAL,"0,94","0,92","2,64e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,77","1,94",,
20,Planar,0,"2,5",1 / 5,"0,94","0,94","7,05e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,70","1,86",,
20,Planar,0,"2,5",2 / 5,"0,94","0,94","5,90e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,69","1,86",,
20,Planar,0,"2,5",3 / 5,"0,94","0,94","5,81e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,69","1,85",,
20,Planar,0,"2,5",4 / 5,"0,94","0,94","5,66e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,69","1,85",,
20,Planar,0,"2,5",FINAL,"0,94","0,94","5,55e-04","1,00","1,00","1,00","-0,0","0,01","-0,0","2,50","1,69","1,85","4,48","67,52"
20,Planar,"2,5","2,5",INITIAL,"2,21","4,99","4,48e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,57","4,18",,
20,Planar,"2,5","2,5",1 / 5,"2,33","4,94","7,95e-03","1,00","1,00","1,00","0,0","0,01","-0,0",,"3,69","4,38",,
20,Planar,"2,5","2,5",2 / 5,"2,23","3,11","3,67e-03","1,00","1,00","1,00","0,0","0,01","-0,0",,"3,68","4,37",,
20,Planar,"2,5","2,5",3 / 5,"1,99","1,76","3,26e-03","1,00","1,00","1,00","0,0","0,02","-0,0",,"3,54","4,27",,
20,Planar,"2,5","2,5",4 / 5,"2,00","1,35","2,56e-03","1,00","1,00","1,00","0,0","0,02","-0,0",,"3,51","4,24",,
20,Planar,"2,5","2,5",FINAL,"2,00","1,31","2,45e-03","1,00","1,00","1,00","0,0","0,02","-0,0","4,73","3,50","4,23","1,86","74,15"
20,Planar,10,0,INITIAL,"7,06","7,09","6,04e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,05","13,82","16,37",,
20,Planar,10,0,1 / 5,"0,98","1,34","2,70e-01","1,00","1,00","1,00","-0,01","-0,02","-0,01",,"14,84","18,82",,
20,Planar,10,0,2 / 5,"1,14","1,20","2,81e-01","1,00","1,00","1,00","-0,01","-0,02","-0,02",,"15,64","19,94",,
20,Planar,10,0,3 / 5,"0,86","0,98","2,95e-01","1,00","1,00","1,00","-0,02","-0,02","-0,03",,"16,13","20,38",,
20,Planar,10,0,4 / 5,"0,79","0,88","2,86e-01","1,00","1,00","1,00","-0,02","-0,03","-0,04",,"16,77","21,09",,
20,Planar,10,0,FINAL,"0,67","0,71","3,04e-01","1,00","1,00","1,00","-0,03","-0,03","-0,05","16,05","17,18","21,52","-24,27","106,98"
20,Planar,0,10,INITIAL,"3,48","3,43","4,53e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,62","6,08",,
20,Planar,0,10,1 / 5,"3,51","3,45","2,48e-03","1,00","1,00","1,00","-0,0","0,01","-0,0",,"5,59","6,05",,
20,Planar,0,10,2 / 5,"2,10","2,02","1,36e-03","1,00","1,00","1,00","-0,01","0,09","-0,0",,"5,01","5,61",,
20,Planar,0,10,3 / 5,"1,03","0,98","9,03e-04","1,00","1,00","1,00","-0,01","0,14","-0,0",,"4,71","5,42",,
20,Planar,0,10,4 / 5,"1,03","0,97","8,69e-04","1,00","1,00","1,00","-0,02","0,14","-0,0",,"4,70","5,42",,
20,Planar,0,10,FINAL,"1,03","0,97","8,41e-04","1,00","1,00","1,00","-0,02","0,15","-0,0","10,00","4,70","5,41","16,36","47,00"
20,Planar,10,10,INITIAL,"8,15","8,24","7,76e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,14","14,60","17,51",,
20,Planar,10,10,1 / 5,"3,74","1,73","2,61e-01","1,00","1,00","1,00","-0,01","0,03","-0,01",,"14,69","18,31",,
20,Planar,10,10,2 / 5,"0,41","0,51","5,26e-01","1,00","1,00","1,00","-0,27","0,37","-0,3",,"19,55","24,74",,
20,Planar,10,10,3 / 5,"0,57","0,56","5,50e-01","1,00","1,00","1,00","-0,34","0,43","-0,36",,"21,15","26,69",,
20,Planar,10,10,4 / 5,"0,56","0,54","5,33e-01","1,00","1,00","1,00","-0,36","0,44","-0,38",,"21,82","27,53",,
20,Planar,10,10,FINAL,"0,38","0,40","5,57e-01","1,00","1,00","1,00","-0,39","0,47","-0,41","19,14","22,55","28,34","-54,42","117,81"
20,Gradual,0,"2,5",INITIAL,"1,65","1,60","4,21e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,16","2,54",,
20,Gradual,0,"2,5",1 / 5,"1,66","1,62","2,08e-03","1,00","1,00","1,00","-0,0","0,01","-0,0",,"2,06","2,47",,
20,Gradual,0,"2,5",2 / 5,"1,50","1,49","1,77e-03","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,99","2,39",,
20,Gradual,0,"2,5",3 / 5,"1,32","1,35","1,54e-03","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,94","2,32",,
20,Gradual,0,"2,5",4 / 5,"0,94","1,01","1,20e-03","1,00","1,00","1,00","-0,0","0,02","-0,0",,"1,82","2,19",,
20,Gradual,0,"2,5",FINAL,"0,95","1,02","1,19e-03","1,00","1,00","1,00","-0,0","0,02","-0,0","3,24","1,82","2,19","15,83","56,15"
20,Gradual,"2,5","2,5",INITIAL,"2,20","2,30","3,37e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,36","4,08","4,77",,
20,Gradual,"2,5","2,5",1 / 5,"2,36","2,92","1,08e-02","1,00","1,00","1,00","-0,0","0,01","-0,0",,"4,15","4,88",,
20,Gradual,"2,5","2,5",2 / 5,"2,07","2,82","4,20e-03","1,00","1,00","1,00","-0,0","0,05","-0,0",,"4,12","4,85",,
20,Gradual,"2,5","2,5",3 / 5,"1,38","1,32","3,38e-03","1,00","1,00","1,00","-0,0","0,05","-0,0",,"3,88","4,69",,
20,Gradual,"2,5","2,5",4 / 5,"1,35","1,11","3,10e-03","1,00","1,00","1,00","-0,0","0,06","-0,01",,"3,85","4,68",,
20,Gradual,"2,5","2,5",FINAL,"1,34","1,08","3,03e-03","1,00","1,00","1,00","-0,0","0,06","-0,01","5,36","3,85","4,68","5,68","71,81"
20,Gradual,0,10,INITIAL,"5,30","5,11","1,85e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,53","5,86","6,84",,
20,Gradual,0,10,1 / 5,"5,45","4,80","1,41e-02","1,00","1,00","1,00","-0,09","0,52","-0,08",,"5,66","6,38",,
20,Gradual,0,10,2 / 5,"5,44","4,79","1,41e-02","1,00","1,00","1,00","-0,09","0,52","-0,08",,"5,66","6,38",,
20,Gradual,0,10,3 / 5,"1,00","0,97","7,53e-03","1,00","1,00","1,00","-0,1","0,57","-0,09",,"4,48","5,21",,
20,Gradual,0,10,4 / 5,"1,02","0,98","7,43e-03","1,00","1,00","1,00","-0,1","0,59","-0,09",,"4,48","5,20",,
20,Gradual,0,10,FINAL,"1,02","0,98","7,41e-03","1,00","1,00","1,00","-0,1","0,59","-0,09","10,53","4,47","5,20","23,67","42,47"
20,Gradual,10,10,INITIAL,"9,72","10,29","6,78e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,64","17,22",,
20,Gradual,10,10,1 / 5,"0,53","0,48","3,33e-01","1,00","1,00","1,00","-0,04","0,12","-0,06",,"15,75","19,52",,
20,Gradual,10,10,2 / 5,"1,06","1,21","2,92e-01","1,00","1,00","1,00","-0,06","0,15","-0,08",,"16,31","20,08",,
20,Gradual,10,10,3 / 5,"0,41","0,48","3,23e-01","1,00","1,00","1,00","-0,13","0,25","-0,15",,"17,86","21,97",,
20,Gradual,10,10,4 / 5,"0,55","0,59","3,49e-01","1,00","1,00","1,00","-0,16","0,3","-0,2",,"18,77","23,15",,
20,Gradual,10,10,FINAL,"0,33","0,34","3,79e-01","1,00","1,00","1,00","-0,23","0,37","-0,26","19,45","19,72","24,52","-34,73","101,43"
80,Planar,"2,5",0,INITIAL,"0,56","0,55","8,07e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,78","11,28","13,68",,
80,Planar,"2,5",0,1 / 5,"0,58","0,63","1,39e-02","1,00","1,00","1,00","-0,0","0,11","-0,01",,"11,04","13,60",,
80,Planar,"2,5",0,2 / 5,"0,61","0,66","8,64e-03","1,00","1,00","1,00","-0,01","0,14","-0,02",,"11,02","13,58",,
80,Planar,"2,5",0,3 / 5,"0,62","0,68","7,70e-03","1,00","1,00","1,00","-0,01","0,15","-0,03",,"11,02","13,58",,
80,Planar,"2,5",0,4 / 5,"0,62","0,68","7,25e-03","1,00","1,00","1,00","-0,01","0,15","-0,03",,"11,02","13,58",,
80,Planar,"2,5",0,FINAL,"0,62","0,69","6,53e-03","1,00","1,00","1,00","-0,01","0,16","-0,03","3,78","11,01","13,58","2,40","291,07"
80,Planar,0,"2,5",INITIAL,"0,46","0,49","4,22e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","8,12","9,65",,
80,Planar,0,"2,5",1 / 5,"0,44","0,57","5,16e-03","1,00","1,00","1,00","-0,0","0,25","-0,02",,"7,83","9,47",,
80,Planar,0,"2,5",2 / 5,"0,47","0,61","2,17e-03","1,00","1,00","1,00","-0,01","0,55","-0,06",,"7,79","9,44",,
80,Planar,0,"2,5",3 / 5,"0,47","0,61","2,00e-03","1,00","1,00","1,00","-0,01","0,56","-0,06",,"7,79","9,43",,
80,Planar,0,"2,5",4 / 5,"0,48","0,61","1,93e-03","1,00","1,00","1,00","-0,01","0,57","-0,06",,"7,79","9,43",,
80,Planar,0,"2,5",FINAL,"0,48","0,61","1,89e-03","1,00","1,00","1,00","-0,01","0,57","-0,06","2,50","7,79","9,43","4,13","311,50"
80,Planar,"2,5","2,5",INITIAL,"0,52","0,54","5,09e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,70","11,26","13,92",,
80,Planar,"2,5","2,5",1 / 5,"0,82","0,76","1,83e-02","1,00","1,00","1,00","-0,0","0,02","-0,0",,"11,21","13,99",,
80,Planar,"2,5","2,5",2 / 5,"0,83","0,77","1,34e-02","1,00","1,00","1,00","-0,0","0,03","-0,0",,"11,19","13,98",,
80,Planar,"2,5","2,5",3 / 5,"0,84","0,77","1,14e-02","1,00","1,00","1,00","-0,0","0,04","-0,0",,"11,18","13,97",,
80,Planar,"2,5","2,5",4 / 5,"0,84","0,78","9,99e-03","1,00","1,00","1,00","-0,0","0,05","-0,0",,"11,17","13,96",,
80,Planar,"2,5","2,5",FINAL,"0,84","0,78","8,89e-03","1,00","1,00","1,00","-0,0","0,06","-0,0","4,70","11,17","13,96","0,82","237,48"
80,Planar,10,0,INITIAL,"1,71","1,72","7,01e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,37","26,96","33,23",,
80,Planar,10,0,1 / 5,"2,03","1,51","2,38e-01","1,00","1,00","1,00","-0,01","-0,01","-0,0",,"27,12","33,61",,
80,Planar,10,0,2 / 5,"2,30","2,33","7,03e-02","1,00","1,00","1,00","-0,23","-0,54","-0,04",,"27,73","34,09",,
80,Planar,10,0,3 / 5,"1,72","1,83","4,02e-02","1,00","1,00","1,00","-0,22","-0,52","-0,02",,"27,55","33,99",,
80,Planar,10,0,4 / 5,"1,22","1,30","4,65e-02","1,00","1,00","1,00","-0,22","-0,5","-0,02",,"27,36","33,93",,
80,Planar,10,0,FINAL,"1,14","1,15","4,87e-02","1,00","1,00","1,00","-0,23","-0,47","-0,03","16,37","27,42","34,01","-1,70","167,46"
80,Planar,0,10,INITIAL,"0,89","0,90","4,70e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,80","17,24",,
80,Planar,0,10,1 / 5,"0,94","0,92","1,39e-02","1,00","1,00","1,00","-0,0","0,07","-0,0",,"14,61","17,11",,
80,Planar,0,10,2 / 5,"0,94","0,92","8,77e-03","1,00","1,00","1,00","-0,01","0,12","-0,0",,"14,59","17,09",,
80,Planar,0,10,3 / 5,"0,93","0,93","7,55e-03","1,00","1,00","1,00","-0,01","0,15","-0,0",,"14,58","17,08",,
80,Planar,0,10,4 / 5,"0,93","0,93","6,85e-03","1,00","1,00","1,00","-0,01","0,17","-0,01",,"14,58","17,08",,
80,Planar,0,10,FINAL,"0,93","0,93","6,45e-03","1,00","1,00","1,00","-0,01","0,18","-0,01","10,00","14,57","17,08","1,55","145,74"
80,Planar,10,10,INITIAL,"1,99","2,02","6,61e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,06","38,65","47,38",,
80,Planar,10,10,1 / 5,"2,65","2,47","1,61e-01","1,00","1,00","1,00","-0,1","1,04","-0,0",,"39,12","47,87",,
80,Planar,10,10,2 / 5,"2,67","2,81","6,01e-02","1,00","1,00","1,00","-0,39","3,44","-0,05",,"39,39","48,11",,
80,Planar,10,10,3 / 5,"1,90","2,10","3,61e-02","1,00","1,00","1,00","-0,46","4,15","-0,07",,"39,03","47,95",,
80,Planar,10,10,4 / 5,"1,84","2,05","3,53e-02","1,00","1,00","1,00","-0,46","4,15","-0,07",,"39,00","47,94",,
80,Planar,10,10,FINAL,"1,64","1,84","3,91e-02","1,00","1,00","1,00","-0,46","4,15","-0,07","20,06","38,88","47,89","-0,61","193,85"
80,Gradual,0,"2,5",INITIAL,"2,39","2,31","1,31e-01","1,00","1,00","1,00","0,0","0,0","0,0","23,44","31,15","42,52",,
80,Gradual,0,"2,5",1 / 5,"2,44","2,26","8,22e-02","1,00","1,00","1,00","-0,81","4,47","-1,53",,"30,68","42,16",,
80,Gradual,0,"2,5",2 / 5,"2,43","2,25","7,82e-02","1,00","1,00","1,00","-0,9","4,93","-1,7",,"30,62","42,12",,
80,Gradual,0,"2,5",3 / 5,"1,15","1,09","4,37e-02","1,00","1,00","1,00","-1,3","6,2","-2,42",,"29,66","41,62",,
80,Gradual,0,"2,5",4 / 5,"1,06","1,01","4,15e-02","1,00","1,00","1,00","-1,33","6,22","-2,48",,"29,62","41,60",,
80,Gradual,0,"2,5",FINAL,"0,99","0,94","3,97e-02","1,00","1,00","1,00","-1,35","6,23","-2,53","23,44","29,58","41,58","5,02","126,21"
80,Gradual,"2,5","2,5",INITIAL,"2,49","2,84","1,51e-01","1,00","1,00","1,00","0,0","0,0","0,0","24,95","34,55","45,18",,
80,Gradual,"2,5","2,5",1 / 5,"2,57","2,83","1,22e-01","1,00","1,00","1,00","-0,01","0,11","-0,03",,"34,40","45,15",,
80,Gradual,"2,5","2,5",2 / 5,"2,47","2,68","1,05e-01","1,00","1,00","1,00","-0,1","0,82","-0,24",,"34,26","45,05",,
80,Gradual,"2,5","2,5",3 / 5,"0,94","0,93","4,98e-02","1,00","1,00","1,00","-0,45","3,31","-1,01",,"33,15","44,37",,
80,Gradual,"2,5","2,5",4 / 5,"0,95","0,94","4,87e-02","1,00","1,00","1,00","-0,48","3,46","-1,07",,"33,15","44,36",,
80,Gradual,"2,5","2,5",FINAL,"0,95","0,94","4,86e-02","1,00","1,00","1,00","-0,48","3,48","-1,07","24,95","33,15","44,36","4,05","132,84"
80,Gradual,0,10,INITIAL,"5,73","5,98","5,35e-01","1,00","1,00","1,00","0,0","0,0","0,0","46,08","55,43","75,78",,
80,Gradual,0,10,1 / 5,"5,78","5,84","4,93e-01","1,00","1,00","1,00","-0,42","1,5","-0,57",,"55,24","75,58",,
80,Gradual,0,10,2 / 5,"5,74","5,69","4,72e-01","1,00","1,00","1,00","-1,03","3,71","-1,37",,"55,05","75,39",,
80,Gradual,0,10,3 / 5,"0,90","0,84","1,83e-01","1,00","1,00","1,00","-3,18","9,61","-4,16",,"51,71","73,41",,
80,Gradual,0,10,4 / 5,"0,71","0,68","1,71e-01","1,00","1,00","1,00","-3,26","9,72","-4,28",,"51,68","73,39",,
80,Gradual,0,10,FINAL,"0,72","0,68","1,71e-01","1,00","1,00","1,00","-3,27","9,73","-4,3","46,08","51,68","73,39","6,78","112,16"
80,Gradual,10,10,INITIAL,"5,12","5,16","1,11e+00","1,00","1,00","1,00","0,0","0,0","0,0","47,29","62,26","81,02",,
80,Gradual,10,10,1 / 5,"5,34","4,94","4,85e-01","1,00","1,00","1,00","-1,87","8,36","-2,65",,"61,86","80,93",,
80,Gradual,10,10,2 / 5,"2,31","2,09","2,36e-01","1,00","1,00","1,00","-4,71","15,7","-7,3",,"59,71","79,74",,
80,Gradual,10,10,3 / 5,"1,31","1,24","1,90e-01","1,00","1,00","1,00","-4,68","15,27","-7,4",,"59,40","79,61",,
80,Gradual,10,10,4 / 5,"1,04","1,02","1,76e-01","1,00","1,00","1,00","-4,62","14,62","-7,57",,"59,38","79,60",,
80,Gradual,10,10,FINAL,"1,01","0,99","1,79e-01","1,00","1,00","1,00","-4,61","14,44","-7,62","47,29","59,38","79,60","4,62","125,57"
150,Planar,"2,5",0,INITIAL,"0,52","0,52","1,72e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,06","19,08","22,48",,
150,Planar,"2,5",0,1 / 5,"0,40","0,49","4,55e-02","1,00","1,00","1,00","-0,01","0,01","0,01",,"18,72","22,30",,
150,Planar,"2,5",0,2 / 5,"0,44","0,55","2,55e-02","1,00","1,00","1,00","-0,0","-0,03","0,03",,"18,64","22,26",,
150,Planar,"2,5",0,3 / 5,"0,45","0,57","2,22e-02","1,00","1,00","1,00","0,0","-0,05","0,03",,"18,62","22,25",,
150,Planar,"2,5",0,4 / 5,"0,46","0,58","2,12e-02","1,00","1,00","1,00","0,01","-0,06","0,04",,"18,62","22,25",,
150,Planar,"2,5",0,FINAL,"0,46","0,58","2,08e-02","1,00","1,00","1,00","0,01","-0,07","0,04","4,06","18,62","22,25","2,40","458,85"
150,Planar,0,"2,5",INITIAL,"0,48","0,49","1,48e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","18,96","22,71",,
150,Planar,0,"2,5",1 / 5,"0,42","0,44","3,50e-02","1,00","1,00","1,00","-0,12","0,51","-0,02",,"18,44","22,41",,
150,Planar,0,"2,5",2 / 5,"0,45","0,46","1,78e-02","1,00","1,00","1,00","-0,21","0,84","-0,07",,"18,33","22,34",,
150,Planar,0,"2,5",3 / 5,"0,45","0,47","1,65e-02","1,00","1,00","1,00","-0,21","0,85","-0,07",,"18,32","22,33",,
150,Planar,0,"2,5",4 / 5,"0,46","0,47","1,54e-02","1,00","1,00","1,00","-0,2","0,85","-0,07",,"18,31","22,33",,
150,Planar,0,"2,5",FINAL,"0,46","0,47","1,49e-02","1,00","1,00","1,00","-0,2","0,86","-0,07","2,50","18,31","22,33","3,43","732,29"
150,Planar,"2,5","2,5",INITIAL,"0,54","0,54","2,00e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,55","21,18","24,96",,
150,Planar,"2,5","2,5",1 / 5,"0,60","0,62","2,30e-02","1,00","1,00","1,00","-0,39","0,81","-0,04",,"20,60","24,68",,
150,Planar,"2,5","2,5",2 / 5,"0,63","0,66","1,21e-02","1,00","1,00","1,00","-0,38","0,78","-0,03",,"20,57","24,66",,
150,Planar,"2,5","2,5",3 / 5,"0,64","0,66","1,07e-02","1,00","1,00","1,00","-0,38","0,78","-0,03",,"20,56","24,65",,
150,Planar,"2,5","2,5",4 / 5,"0,64","0,67","9,75e-03","1,00","1,00","1,00","-0,38","0,78","-0,03",,"20,56","24,65",,
150,Planar,"2,5","2,5",FINAL,"0,65","0,67","9,12e-03","1,00","1,00","1,00","-0,38","0,78","-0,04","4,55","20,56","24,65","2,95","452,27"
150,Planar,10,0,INITIAL,"0,98","1,01","6,04e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,37","42,92","52,58",,
150,Planar,10,0,1 / 5,"0,92","0,97","1,18e-01","1,00","1,00","1,00","-0,13","0,36","-0,32",,"42,97","52,80",,
150,Planar,10,0,2 / 5,"1,00","1,04","6,66e-02","1,00","1,00","1,00","-0,11","0,15","-0,25",,"43,04","52,85",,
150,Planar,10,0,3 / 5,"1,01","1,05","5,84e-02","1,00","1,00","1,00","-0,07","0,09","-0,18",,"43,07","52,86",,
150,Planar,10,0,4 / 5,"1,03","1,07","5,36e-02","1,00","1,00","1,00","-0,05","0,05","-0,14",,"43,09","52,86",,
150,Planar,10,0,FINAL,"1,00","1,04","5,07e-02","1,00","1,00","1,00","-0,04","0,01","-0,11","15,37","43,07","52,86","-0,35","280,15"
150,Planar,0,10,INITIAL,"0,74","0,75","1,47e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","21,75","25,86",,
150,Planar,0,10,1 / 5,"0,70","0,73","2,73e-02","1,00","1,00","1,00","-0,53","2,3","-0,1",,"21,30","25,59",,
150,Planar,0,10,2 / 5,"0,71","0,75","1,91e-02","1,00","1,00","1,00","-0,6","2,62","-0,13",,"21,25","25,57",,
150,Planar,0,10,3 / 5,"0,72","0,76","1,63e-02","1,00","1,00","1,00","-0,62","2,75","-0,14",,"21,23","25,56",,
150,Planar,0,10,4 / 5,"0,72","0,76","1,51e-02","1,00","1,00","1,00","-0,64","2,81","-0,15",,"21,22","25,55",,
150,Planar,0,10,FINAL,"0,73","0,76","1,41e-02","1,00","1,00","1,00","-0,65","2,87","-0,16","10,00","21,21","25,55","2,46","212,11"
150,Planar,10,10,INITIAL,"1,13","1,15","5,73e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,26","46,56","56,73",,
150,Planar,10,10,1 / 5,"1,08","0,99","3,66e-01","1,00","1,00","1,00","-0,02","0,06","-0,0",,"46,40","56,72",,
150,Planar,10,10,2 / 5,"0,99","1,00","8,69e-02","1,00","1,00","1,00","-0,66","2,51","-0,01",,"46,27","56,77",,
150,Planar,10,10,3 / 5,"0,99","1,01","8,17e-02","1,00","1,00","1,00","-0,66","2,53","-0,01",,"46,26","56,78",,
