parallax,Av. error (mm),Info
"0,18","154,62",seq0_checks
"0,18","153,64",seq0_checks
"0,42","116,35",seq0_checks
"0,42","115,31",seq0_checks
"0,64","58,00",seq0_checks
"0,64","56,96",seq0_checks
"0,18","171,95",seq0_checks
"0,18","170,97",seq0_checks
"0,18","173,58",seq0_checks
"0,18","172,60",seq0_checks
"0,53","85,53",seq0_checks
"0,53","86,67",seq0_checks
"0,08","554,05",seq0_checks
"0,08","553,00",seq0_checks
"0,34","132,08",seq0_checks
"0,34","131,07",seq0_checks
"0,40","98,71",seq0_checks
"0,40","97,75",seq0_checks
"0,47","96,07",seq0_checks
"0,47","94,99",seq0_checks
"0,46","91,18",seq0_checks
"0,46","90,21",seq0_checks
"0,41","114,47",seq0_checks
"0,41","115,47",seq0_checks
"0,49","84,19",seq0_checks
"0,49","85,21",seq0_checks
"0,07","530,11",seq0_checks
"0,07","531,47",seq0_checks
"0,17","256,43",seq0_checks
"0,17","255,49",seq0_checks
"0,20","240,91",seq0_checks
"0,20","239,94",seq0_checks
"0,39","85,91",seq0_checks
"0,39","88,38",seq0_checks
"0,23","199,29",seq0_checks
"0,23","200,67",seq0_checks
"0,26","171,33",seq0_checks
"0,26","172,71",seq0_checks
"0,20","240,58",seq0_checks
"0,20","239,61",seq0_checks
"0,22","204,27",seq0_checks
"0,22","203,30",seq0_checks
"0,17","254,22",seq0_checks
"0,17","253,28",seq0_checks
"0,33","137,14",seq0_checks
"0,33","138,53",seq0_checks
"0,50","84,94",seq0_checks
"0,50","83,93",seq0_checks
"0,12","326,48",seq0_checks
"0,12","325,50",seq0_checks
"0,22","109,32",seq0_checks
"0,22","108,37",seq0_checks
"0,55","84,61",seq0_checks
"0,55","85,59",seq0_checks
"0,55","84,63",seq0_checks
"0,55","85,61",seq0_checks
"0,56","83,08",seq0_checks
"0,56","83,90",seq0_checks
"0,53","86,47",seq0_checks
"0,53","85,42",seq0_checks
"0,52","85,96",seq0_checks
"0,52","87,01",seq0_checks
"0,03","990,86",seq0_checks
"0,03","989,96",seq0_checks
"0,13","308,96",seq0_checks
"0,13","308,00",seq0_checks
"0,15","245,35",seq0_checks
"0,15","244,38",seq0_checks
"0,56","72,59",seq0_checks
"0,56","73,34",seq0_checks
"0,15","222,73",seq0_checks
"0,15","221,76",seq0_checks
"0,23","156,70",seq0_checks
"0,23","155,63",seq0_checks
"0,24","151,18",seq0_checks
"0,24","150,11",seq0_checks
"0,13","279,14",seq0_checks
"0,13","280,46",seq0_checks
"0,40","122,48",seq0_checks
"0,40","123,66",seq0_checks
"0,56","83,30",seq0_checks
"0,56","84,24",seq0_checks
"0,56","80,04",seq0_checks
"0,56","78,97",seq0_checks
"0,56","78,48",seq0_checks
"0,56","79,33",seq0_checks
"0,20","144,25",seq0_checks
"0,20","143,29",seq0_checks
"0,28","166,17",seq0_checks
"0,28","165,23",seq0_checks
"0,26","179,03",seq0_checks
"0,26","178,08",seq0_checks
"0,52","85,78",seq0_checks
"0,52","86,67",seq0_checks
"0,47","100,92",seq0_checks
"0,47","101,75",seq0_checks
"0,12","410,11",seq0_checks
"0,12","409,13",seq0_checks
"0,12","413,75",seq0_checks
"0,12","415,11",seq0_checks
"0,10","512,90",seq0_checks
"0,10","511,96",seq0_checks
"0,12","330,22",seq0_checks
"0,12","329,25",seq0_checks
"0,42","118,16",seq0_checks
"0,42","117,11",seq0_checks
"0,42","117,17",seq0_checks
"0,42","118,31",seq0_checks
"0,19","276,13",seq0_checks
"0,19","275,17",seq0_checks
"0,21","211,13",seq0_checks
"0,21","210,16",seq0_checks
"0,14","363,14",seq0_checks
"0,14","362,12",seq0_checks
"0,21","182,84",seq0_checks
"0,21","181,83",seq0_checks
"0,20","224,13",seq0_checks
"0,20","223,19",seq0_checks
"0,63","58,47",seq0_checks
"0,63","57,44",seq0_checks
"0,61","40,23",seq0_checks
"0,61","42,73",seq0_checks
"0,48","96,86",seq0_checks
"0,48","95,78",seq0_checks
"0,48","99,39",seq0_checks
"0,48","100,11",seq0_checks
"0,47","89,31",seq0_checks
"0,47","88,33",seq0_checks
"0,37","128,52",seq0_checks
"0,37","127,51",seq0_checks
"0,08","590,59",seq0_checks
"0,08","591,74",seq0_checks
"0,12","323,42",seq0_checks
"0,12","322,44",seq0_checks
"0,25","140,04",seq0_checks
"0,25","138,97",seq0_checks
"0,42","59,20",seq0_checks
"0,42","62,30",seq0_checks
"0,23","104,64",seq0_checks
"0,23","103,65",seq0_checks
"0,14","272,51",seq0_checks
"0,14","271,54",seq0_checks
"0,16","184,28",seq0_checks
"0,16","183,30",seq0_checks
"0,56","84,38",seq0_checks
"0,56","83,29",seq0_checks
"0,28","160,30",seq0_checks
"0,28","161,69",seq0_checks
"0,68","12,73",seq0_no_checks
"0,68","8,47",seq0_no_checks
"0,46","8,90",seq0_no_checks
"0,46","10,06",seq0_no_checks
"1,28","38,37",seq0_no_checks
"1,28","38,32",seq0_no_checks
"1,43","30,46",seq0_no_checks
"1,43","30,43",seq0_no_checks
"1,75","17,78",seq0_no_checks
"1,75","17,68",seq0_no_checks
"1,50","19,67",seq0_no_checks
"1,50","21,23",seq0_no_checks
"1,50","20,18",seq0_no_checks
"1,50","20,15",seq0_no_checks
"1,53","17,63",seq0_no_checks
"1,53","19,21",seq0_no_checks
"0,39","27,53",seq0_no_checks
"0,39","26,51",seq0_no_checks
"0,38","28,54",seq0_no_checks
"0,38","27,51",seq0_no_checks
"1,35","35,19",seq0_no_checks
"1,35","35,22",seq0_no_checks
"0,79","40,41",seq0_no_checks
"0,79","40,05",seq0_no_checks
"1,38","20,26",seq0_no_checks
"1,38","21,89",seq0_no_checks
"1,27","19,12",seq0_no_checks
"1,27","19,55",seq0_no_checks
"0,34","49,13",seq0_no_checks
"0,34","48,11",seq0_no_checks
"0,36","43,17",seq0_no_checks
"0,36","42,15",seq0_no_checks
"1,09","46,14",seq0_no_checks
"1,09","46,27",seq0_no_checks
"0,47","6,24",seq0_no_checks
"0,47","5,21",seq0_no_checks
"1,57","4,07",seq0_no_checks
"1,57","2,80",seq0_no_checks
"1,50","20,79",seq0_no_checks
"1,50","20,65",seq0_no_checks
"1,50","20,52",seq0_no_checks
"1,50","20,38",seq0_no_checks
"1,66","19,66",seq0_no_checks
"1,66","19,75",seq0_no_checks
"1,31","35,67",seq0_no_checks
"1,31","36,95",seq0_no_checks
"1,28","12,35",seq0_no_checks
"1,28","13,61",seq0_no_checks
"0,18","154,62",seq0_no_checks
"0,18","153,64",seq0_no_checks
"1,77","16,93",seq0_no_checks
"1,77","16,82",seq0_no_checks
"0,54","2,32",seq0_no_checks
"0,54","3,31",seq0_no_checks
"1,75","17,65",seq0_no_checks
"1,75","19,39",seq0_no_checks
"0,63","13,49",seq0_no_checks
"0,63","14,59",seq0_no_checks
"0,53","86,47",seq0_no_checks
"0,53","85,42",seq0_no_checks
"1,43","21,02",seq0_no_checks
"1,43","22,54",seq0_no_checks
"0,67","13,86",seq0_no_checks
"0,67","9,60",seq0_no_checks
"0,46","6,66",seq0_no_checks
"0,46","5,63",seq0_no_checks
"0,42","116,35",seq0_no_checks
"0,42","115,31",seq0_no_checks
"1,36","17,13",seq0_no_checks
"1,36","14,78",seq0_no_checks
"1,24","10,99",seq0_no_checks
"1,24","8,68",seq0_no_checks
"1,79","5,34",seq0_no_checks
"1,79","5,16",seq0_no_checks
"0,76","22,32",seq0_no_checks
"0,76","21,45",seq0_no_checks
"0,78","21,61",seq0_no_checks
"0,78","22,78",seq0_no_checks
"0,18","171,95",seq0_no_checks
"0,18","170,97",seq0_no_checks
"0,18","173,58",seq0_no_checks
"0,18","172,60",seq0_no_checks
"0,47","99,58",seq0_no_checks
"0,47","98,61",seq0_no_checks
"0,57","71,09",seq0_no_checks
"0,57","70,09",seq0_no_checks
"0,64","58,00",seq0_no_checks
"0,64","56,96",seq0_no_checks
"0,53","85,53",seq0_no_checks
"0,53","86,67",seq0_no_checks
"1,99","6,18",seq0_no_checks
"1,99","6,00",seq0_no_checks
"1,59","21,23",seq0_no_checks
"1,59","21,25",seq0_no_checks
"1,53","2,39",seq0_no_checks
"1,53","1,26",seq0_no_checks
"1,50","1,27",seq0_no_checks
"1,50","1,19",seq0_no_checks
"1,67","14,16",seq0_no_checks
"1,67","13,00",seq0_no_checks
"1,46","6,06",seq0_no_checks
"1,46","5,04",seq0_no_checks
"1,34","34,24",seq0_no_checks
"1,34","35,50",seq0_no_checks
"0,52","35,12",seq0_no_checks
"0,52","34,27",seq0_no_checks
"1,19","14,52",seq0_no_checks
"1,19","16,08",seq0_no_checks
"1,19","15,01",seq0_no_checks
"1,19","16,56",seq0_no_checks
"1,23","11,44",seq0_no_checks
"1,23","13,06",seq0_no_checks
"1,32","36,04",seq0_no_checks
"1,32","37,29",seq0_no_checks
"0,48","24,93",seq0_no_checks
"0,48","23,80",seq0_no_checks
"1,93","4,19",seq0_no_checks
"1,93","4,05",seq0_no_checks
"1,93","4,20",seq0_no_checks
"1,93","4,07",seq0_no_checks
"1,81","1,27",seq0_no_checks
"1,81","1,19",seq0_no_checks
"1,83","2,92",seq0_no_checks
"1,83","2,79",seq0_no_checks
"1,85","17,34",seq0_no_checks
"1,85","17,21",seq0_no_checks
"1,91","14,41",seq0_no_checks
"1,91","15,53",seq0_no_checks
"1,45","18,23",seq0_no_checks
"1,45","19,76",seq0_no_checks
"1,41","30,39",seq0_no_checks
"1,41","31,70",seq0_no_checks
"1,49","27,11",seq0_no_checks
"1,49","28,33",seq0_no_checks
"1,56","24,03",seq0_no_checks
"1,56","25,45",seq0_no_checks
"1,38","31,92",seq0_no_checks
"1,38","33,31",seq0_no_checks
"1,70","18,51",seq0_no_checks
"1,70","18,99",seq0_no_checks
"1,55","28,41",seq0_no_checks
"1,55","29,51",seq0_no_checks
"0,52","7,04",seq0_no_checks
"0,52","8,09",seq0_no_checks
"0,61","14,91",seq0_no_checks
"0,61","16,01",seq0_no_checks
"0,61","14,00",seq0_no_checks
"0,61","15,10",seq0_no_checks
"1,26","38,62",seq0_no_checks
"1,26","39,91",seq0_no_checks
"1,25","39,26",seq0_no_checks
"1,25","40,51",seq0_no_checks
"0,28","78,86",seq0_no_checks
"0,28","77,85",seq0_no_checks
"0,30","71,94",seq0_no_checks
"0,30","70,93",seq0_no_checks
"0,93","24,80",seq0_no_checks
"0,93","24,43",seq0_no_checks
"0,87","29,91",seq0_no_checks
"0,87","28,51",seq0_no_checks
"1,35","34,14",seq0_no_checks
"1,35","34,17",seq0_no_checks
"1,29","37,80",seq0_no_checks
"1,29","39,14",seq0_no_checks
"1,24","41,03",seq0_no_checks
"1,24","40,95",seq0_no_checks
"1,52","20,94",seq0_no_checks
"1,52","20,72",seq0_no_checks
"1,44","1,98",seq0_no_checks
"1,44","3,29",seq0_no_checks
"0,45","9,72",seq0_no_checks
"0,45","8,67",seq0_no_checks
