parallax,Av. error (mm),Info
"0,74","5,59",seq0_checks
"0,74","4,06",seq0_checks
"0,66","5,96",seq0_checks
"0,66","4,51",seq0_checks
"1,32","5,01",seq0_checks
"1,32","5,27",seq0_checks
"1,83","5,29",seq0_checks
"1,83","5,56",seq0_checks
"0,68","5,99",seq0_checks
"0,68","4,51",seq0_checks
"2,09","5,56",seq0_checks
"2,09","5,54",seq0_checks
"0,66","4,96",seq0_checks
"0,66","5,28",seq0_checks
"1,54","5,23",seq0_checks
"1,54","5,54",seq0_checks
"1,14","5,00",seq0_checks
"1,14","5,47",seq0_checks
"1,16","6,01",seq0_checks
"1,16","4,52",seq0_checks
"3,15","4,64",seq0_checks
"3,15","4,36",seq0_checks
"1,89","5,67",seq0_checks
"1,89","5,34",seq0_checks
"1,87","5,47",seq0_checks
"1,87","5,16",seq0_checks
"0,45","5,31",seq0_checks
"0,45","5,15",seq0_checks
"1,81","5,47",seq0_checks
"1,81","5,15",seq0_checks
"1,63","5,53",seq0_checks
"1,63","5,19",seq0_checks
"1,21","5,75",seq0_checks
"1,21","5,37",seq0_checks
"1,72","5,66",seq0_checks
"1,72","5,32",seq0_checks
"0,60","5,30",seq0_checks
"0,60","5,13",seq0_checks
"2,43","6,24",seq0_checks
"2,43","5,72",seq0_checks
"2,42","5,92",seq0_checks
"2,42","5,41",seq0_checks
"2,14","5,47",seq0_checks
"2,14","5,19",seq0_checks
"1,63","5,38",seq0_checks
"1,63","5,07",seq0_checks
"1,42","5,49",seq0_checks
"1,42","5,14",seq0_checks
"1,38","7,54",seq0_checks
"1,38","7,03",seq0_checks
"1,59","6,48",seq0_checks
"1,59","6,07",seq0_checks
"1,67","5,62",seq0_checks
"1,67","5,28",seq0_checks
"2,12","5,40",seq0_checks
"2,12","5,11",seq0_checks
"1,43","5,77",seq0_checks
"1,43","5,41",seq0_checks
"1,36","5,76",seq0_checks
"1,36","5,38",seq0_checks
"1,84","5,48",seq0_checks
"1,84","5,17",seq0_checks
"1,78","5,49",seq0_checks
"1,78","5,18",seq0_checks
"1,50","5,57",seq0_checks
"1,50","5,24",seq0_checks
"2,86","5,48",seq0_checks
"2,86","5,29",seq0_checks
"3,01","4,85",seq0_checks
"3,01","4,69",seq0_checks
"2,25","5,89",seq0_checks
"2,25","5,59",seq0_checks
"1,29","5,59",seq0_checks
"1,29","5,23",seq0_checks
"1,05","5,25",seq0_checks
"1,05","4,91",seq0_checks
"0,73","5,64",seq0_checks
"0,73","5,47",seq0_checks
"0,66","5,68",seq0_checks
"0,66","5,50",seq0_checks
"1,11","5,57",seq0_checks
"1,11","5,20",seq0_checks
"2,09","5,60",seq0_checks
"2,09","5,30",seq0_checks
"0,69","5,54",seq0_checks
"0,69","5,16",seq0_checks
"1,42","5,71",seq0_checks
"1,42","5,36",seq0_checks
"1,87","5,59",seq0_checks
"1,87","5,26",seq0_checks
"1,61","5,41",seq0_checks
"1,61","5,08",seq0_checks
"3,04","6,21",seq0_checks
"3,04","5,76",seq0_checks
"3,03","6,24",seq0_checks
"3,03","5,79",seq0_checks
"2,68","6,26",seq0_checks
"2,68","6,00",seq0_checks
"1,32","5,79",seq0_checks
"1,32","5,42",seq0_checks
"1,49","5,58",seq0_checks
"1,49","5,44",seq0_checks
"2,39","5,89",seq0_checks
"2,39","5,39",seq0_checks
"2,01","5,47",seq0_checks
"2,01","4,98",seq0_checks
"1,98","5,44",seq0_checks
"1,98","5,15",seq0_checks
"2,27","5,88",seq0_checks
"2,27","5,58",seq0_checks
"2,31","5,89",seq0_checks
"2,31","5,58",seq0_checks
"1,25","5,40",seq0_checks
"1,25","5,04",seq0_checks
"1,71","5,59",seq0_checks
"1,71","5,24",seq0_checks
"1,84","5,43",seq0_checks
"1,84","5,12",seq0_checks
"1,85","5,43",seq0_checks
"1,85","5,13",seq0_checks
"1,93","5,31",seq0_checks
"1,93","5,16",seq0_checks
"1,93","5,46",seq0_checks
"1,93","5,15",seq0_checks
"2,71","6,34",seq0_checks
"2,71","6,07",seq0_checks
"2,05","5,23",seq0_checks
"2,05","4,95",seq0_checks
"2,34","5,97",seq0_checks
"2,34","5,66",seq0_checks
"2,39","6,00",seq0_checks
"2,39","5,69",seq0_checks
"1,68","5,55",seq0_checks
"1,68","5,23",seq0_checks
"0,47","5,11",seq0_checks
"0,47","4,77",seq0_checks
