parallax,Av. error (mm),Info
"1,32","10,46",seq0_checks
"1,32","10,25",seq0_checks
"0,68","14,32",seq0_checks
"0,68","13,20",seq0_checks
"0,67","14,34",seq0_checks
"0,67","13,19",seq0_checks
"1,83","4,07",seq0_checks
"1,83","3,70",seq0_checks
"2,09","2,04",seq0_checks
"2,09","1,64",seq0_checks
"0,66","13,94",seq0_checks
"0,66","13,37",seq0_checks
"1,14","10,49",seq0_checks
"1,14","10,95",seq0_checks
"1,54","10,42",seq0_checks
"1,54","10,99",seq0_checks
"1,16","11,19",seq0_checks
"1,16","10,99",seq0_checks
"3,15","1,19",seq0_checks
"3,15","1,60",seq0_checks
"1,89","3,42",seq0_checks
"1,89","3,65",seq0_checks
"1,87","4,49",seq0_checks
"1,87","4,07",seq0_checks
"0,45","15,74",seq0_checks
"0,45","15,28",seq0_checks
"1,81","3,89",seq0_checks
"1,81","3,49",seq0_checks
"1,63","6,80",seq0_checks
"1,63","6,31",seq0_checks
"1,42","8,53",seq0_checks
"1,42","8,04",seq0_checks
"0,60","14,42",seq0_checks
"0,60","13,97",seq0_checks
"2,43","0,94",seq0_checks
"2,43","1,69",seq0_checks
"1,63","6,21",seq0_checks
"1,63","5,69",seq0_checks
"2,42","0,45",seq0_checks
"2,42","1,25",seq0_checks
"2,14","1,65",seq0_checks
"2,14","1,24",seq0_checks
"1,72","5,88",seq0_checks
"1,72","5,48",seq0_checks
"1,21","11,73",seq0_checks
"1,21","11,43",seq0_checks
"1,38","1,19",seq0_checks
"1,38","0,96",seq0_checks
"1,59","2,99",seq0_checks
"1,59","2,70",seq0_checks
"1,86","0,50",seq0_checks
"1,86","0,16",seq0_checks
"1,67","4,67",seq0_checks
"1,67","4,28",seq0_checks
"2,12","3,20",seq0_checks
"2,12","2,83",seq0_checks
"1,43","11,27",seq0_checks
"1,43","11,08",seq0_checks
"1,36","10,97",seq0_checks
"1,36","10,76",seq0_checks
"1,78","6,00",seq0_checks
"1,78","5,54",seq0_checks
"1,50","11,58",seq0_checks
"1,50","11,41",seq0_checks
"2,86","2,01",seq0_checks
"2,86","2,66",seq0_checks
"3,01","1,21",seq0_checks
"3,01","1,95",seq0_checks
"2,25","0,92",seq0_checks
"2,25","1,40",seq0_checks
"1,29","10,86",seq0_checks
"1,29","10,64",seq0_checks
"1,05","11,40",seq0_checks
"1,05","10,97",seq0_checks
"0,73","14,28",seq0_checks
"0,73","13,82",seq0_checks
"0,66","14,95",seq0_checks
"0,66","14,47",seq0_checks
"1,11","11,56",seq0_checks
"1,11","11,19",seq0_checks
"0,69","14,12",seq0_checks
"0,69","13,52",seq0_checks
"2,09","1,46",seq0_checks
"2,09","1,08",seq0_checks
"1,42","11,85",seq0_checks
"1,42","11,66",seq0_checks
"1,87","3,42",seq0_checks
"1,87","3,06",seq0_checks
"3,04","0,10",seq0_checks
"3,04","0,79",seq0_checks
"3,03","0,07",seq0_checks
"3,03","0,82",seq0_checks
"2,68","0,73",seq0_checks
"2,68","1,38",seq0_checks
"1,61","6,60",seq0_checks
"1,61","6,06",seq0_checks
"2,31","0,25",seq0_checks
"2,31","0,29",seq0_checks
"1,49","9,92",seq0_checks
"1,49","8,80",seq0_checks
"2,39","0,43",seq0_checks
"2,39","1,23",seq0_checks
"1,25","10,31",seq0_checks
"1,25","10,08",seq0_checks
"1,32","12,01",seq0_checks
"1,32","11,77",seq0_checks
"2,27","0,95",seq0_checks
"2,27","1,44",seq0_checks
"2,01","3,66",seq0_checks
"2,01","4,01",seq0_checks
"1,98","4,03",seq0_checks
"1,98","3,60",seq0_checks
"1,71","4,06",seq0_checks
"1,71","3,69",seq0_checks
"1,84","6,21",seq0_checks
