TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"0,94","23,00","34,77","23,71",,,,,,
seq0,checks,1 / 15,,,"0,02","0,00","0,06",,,,,,,"0,94","6,64","8,56","5,96",,,,,,
seq0,checks,2 / 15,,,"0,02","0,00","0,06",,,,,,,"0,94","6,64","8,55","5,95",,,,,,
seq0,checks,FINAL,,,"0,02","0,00","0,06",,,,,,,"0,94","6,64","8,55","5,95","71,12","704,62","2,50","2,15","344,00","294,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00","0,00","0,00",,,,,,,"1,61","33,27","44,68","32,78",,,,,,
seq0,no_checks,1 / 15,,,"0,03","0,00","0,12",,,,,,,"1,61","20,21","23,58","18,04",,,,,,
seq0,no_checks,2 / 15,,,"0,03","0,00","0,12",,,,,,,"1,61","20,20","23,56","18,00",,,,,,
seq0,no_checks,3 / 15,,,"0,03","0,00","0,10",,,,,,,"1,61","20,18","23,53","17,99",,,,,,
seq0,no_checks,4 / 15,,,"0,03","0,00","0,11",,,,,,,"1,61","20,14","23,46","17,93",,,,,,
seq0,no_checks,5 / 15,,,"0,04","0,00","0,11",,,,,,,"1,61","12,59","15,07","10,15",,,,,,
seq0,no_checks,6 / 15,,,"0,04","0,00","0,11",,,,,,,"1,61","12,57","15,04","10,09",,,,,,
seq0,no_checks,7 / 15,,,"0,05","0,00","0,17",,,,,,,"1,61","12,40","14,91","9,70",,,,,,
seq0,no_checks,8 / 15,,,"0,04","0,00","0,14",,,,,,,"1,61","12,41","14,91","9,69",,,,,,
seq0,no_checks,9 / 15,,,"0,04","0,00","0,14",,,,,,,"1,61","12,41","14,92","9,69",,,,,,
seq0,no_checks,10 / 15,,,"0,04","0,00","0,14",,,,,,,"1,61","12,42","14,94","9,69",,,,,,
seq0,no_checks,11 / 15,,,"0,04","0,00","0,15",,,,,,,"1,61","12,43","14,95","9,69",,,,,,
seq0,no_checks,12 / 15,,,"0,04","0,00","0,15",,,,,,,"1,61","12,44","14,96","9,69",,,,,,
seq0,no_checks,13 / 15,,,"0,04","0,00","0,15",,,,,,,"1,61","12,45","14,97","9,69",,,,,,
seq0,no_checks,FINAL,,,"0,04","0,00","0,15",,,,,,,"1,61","12,45","14,97","9,69","62,59","774,44","2,50","2,55","344,00","664,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,00","0,01","0,00",,,,,,,"1,98","35,29","49,20","34,09",,,,,,
seq1,no_checks,1 / 15,,,"0,05","0,00","0,20",,,,,,,"1,98","10,59","13,05","7,44",,,,,,
seq1,no_checks,2 / 15,,,"0,05","0,00","0,16",,,,,,,"1,98","10,61","13,15","7,48",,,,,,
seq1,no_checks,3 / 15,,,"0,05","0,00","0,16",,,,,,,"1,98","10,66","13,22","7,53",,,,,,
seq1,no_checks,4 / 15,,,"0,05","0,00","0,19",,,,,,,"1,98","10,35","12,92","7,14",,,,,,
seq1,no_checks,5 / 15,,,"0,05","0,00","0,18",,,,,,,"1,98","10,27","12,82","7,02",,,,,,
seq1,no_checks,6 / 15,,,"0,05","0,00","0,28",,,,,,,"1,98","10,21","12,75","6,93",,,,,,
seq1,no_checks,7 / 15,,,"0,05","0,00","0,20",,,,,,,"1,98","9,97","12,45","6,53",,,,,,
seq1,no_checks,8 / 15,,,"0,05","0,00","0,19",,,,,,,"1,98","9,96","12,44","6,51",,,,,,
seq1,no_checks,9 / 15,,,"0,06","0,00","0,19",,,,,,,"1,98","9,95","12,43","6,49",,,,,,
seq1,no_checks,10 / 15,,,"0,06","0,00","0,21",,,,,,,"1,98","9,93","12,40","6,44",,,,,,
seq1,no_checks,11 / 15,,,"0,06","0,00","0,23",,,,,,,"1,98","9,91","12,37","6,32",,,,,,
seq1,no_checks,12 / 15,,,"0,06","0,00","0,22",,,,,,,"1,98","9,89","12,35","6,28",,,,,,
seq1,no_checks,13 / 15,,,"0,06","0,00","0,24",,,,,,,"1,98","9,87","12,30","6,19",,,,,,
seq1,no_checks,14 / 15,,,"0,06","0,00","0,22",,,,,,,"1,98","9,86","12,25","6,10",,,,,,
seq1,no_checks,FINAL,,,"0,15","0,00","0,88",,,,,,,"1,98","23,46","24,66","2,39","33,52","1184,14","2,50","2,75","384,00","702,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,00","0,01","0,00",,,,,,,"2,07","30,34","38,95","28,47",,,,,,
seq2,no_checks,1 / 12,,,"0,06","0,00","0,51",,,,,,,"2,07","28,65","36,11","25,99",,,,,,
seq2,no_checks,2 / 12,,,"0,06","0,00","0,41",,,,,,,"2,07","28,62","36,06","25,94",,,,,,
seq2,no_checks,3 / 12,,,"0,07","0,00","0,44",,,,,,,"2,07","28,25","35,48","25,41",,,,,,
seq2,no_checks,4 / 12,,,"0,06","0,00","0,46",,,,,,,"2,07","28,22","35,43","25,36",,,,,,
