FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,depthError,gloablTError,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Av. up-to-scale error in 3D,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00","0,04","0,01",,,,,,,"1,84","10,77","12,24","10,85",,,,,,
seq0,checks,1 / 100,,,"0,01","0,04","0,01",,,,,,,"1,84","2,10","2,38","0,00",,,,,,
seq0,checks,2 / 100,,,"0,01","0,04","0,01",,,,,,,"1,84","2,10","2,38","0,00",,,,,,
seq0,checks,FINAL,,,"0,01","0,04","0,01",,,,,,,"1,84","2,10","2,38","0,00","80,54","113,97","5,30","2,09","167,00","86,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,03","0,38","0,89",,,,,,,"1,35","8,76","11,73","8,07",,,,,,
seq0,no_checks,1 / 100,,,"0,07","0,26","0,36",,,,,,,"1,35","3,51","3,62","0,00",,,,,,
seq0,no_checks,2 / 100,,,"0,07","0,26","0,36",,,,,,,"1,35","3,51","3,62","0,00",,,,,,
seq0,no_checks,FINAL,,,"0,07","0,26","0,36",,,,,,,"1,35","3,51","3,62","0,00","59,88","261,08","1,77","2,27","418,00","802,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,06","0,65","0,75",,,,,,,"1,62","14,57","21,93","14,87",,,,,,
seq1,no_checks,1 / 100,,,"0,05","0,31","0,29",,,,,,,"1,62","3,37","3,45","0,00",,,,,,
seq1,no_checks,2 / 100,,,"0,05","0,31","0,29",,,,,,,"1,62","3,37","3,45","0,00",,,,,,
seq1,no_checks,FINAL,,,"0,05","0,31","0,29",,,,,,,"1,62","3,37","3,45","0,00","76,88","207,88","1,77","2,59","388,00","726,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,08","0,72","1,54",,,,,,,"2,00","16,90","21,32","11,71",,,,,,
seq2,no_checks,1 / 100,,,"0,07","0,29","0,94",,,,,,,"2,00","15,81","16,21","0,00",,,,,,
seq2,no_checks,2 / 100,,,"0,07","0,29","0,94",,,,,,,"2,00","15,81","16,21","0,00",,,,,,
seq2,no_checks,FINAL,,,"0,07","0,29","0,94",,,,,,,"2,00","15,81","16,21","0,00","6,44","790,91","1,77","3,05","383,00","690,00"
seq3,no_checks,,,,,,,,,,,,,,,,,,,,,,
seq3,no_checks,INITIAL,,,"0,01","38,54","0,13",,,,,,,"1,94","47,07","195,28","43,33",,,,,,
seq3,no_checks,1 / 100,,,"0,06","0,26","0,17",,,,,,,"1,94","148,80","152,73","0,63",,,,,,
seq3,no_checks,2 / 100,,,"0,07","0,27","0,24",,,,,,,"1,94","148,24","152,11","1,10",,,,,,
seq3,no_checks,3 / 100,,,"0,07","0,27","0,28",,,,,,,"1,94","147,96","151,79","1,17",,,,,,
seq3,no_checks,4 / 100,,,"0,06","0,27","0,37",,,,,,,"1,94","147,54","151,32","1,29",,,,,,
seq3,no_checks,5 / 100,,,"0,07","0,27","0,39",,,,,,,"1,94","147,00","150,73","1,41",,,,,,
seq3,no_checks,6 / 100,,,"0,16","0,27","1,30",,,,,,,"1,94","146,11","149,71","1,74",,,,,,
seq3,no_checks,7 / 100,,,"0,16","0,27","1,21",,,,,,,"1,94","144,08","147,59","2,35",,,,,,
seq3,no_checks,8 / 100,,,"0,07","0,27","0,54",,,,,,,"1,94","143,00","146,52","2,16",,,,,,
seq3,no_checks,9 / 100,,,"0,07","0,27","0,50",,,,,,,"1,94","141,52","144,95","2,02",,,,,,
seq3,no_checks,10 / 100,,,"0,11","0,26","0,95",,,,,,,"1,94","114,22","117,16","1,74",,,,,,
seq3,no_checks,11 / 100,,,"0,10","0,26","1,05",,,,,,,"1,94","112,44","115,39","1,50",,,,,,
seq3,no_checks,12 / 100,,,"0,11","0,27","1,94",,,,,,,"1,94","110,64","113,56","1,65",,,,,,
seq3,no_checks,13 / 100,,,"0,10","0,26","0,80",,,,,,,"1,94","105,53","108,32","1,26",,,,,,
seq3,no_checks,14 / 100,,,"0,11","0,26","1,25",,,,,,,"1,94","103,08","105,83","1,44",,,,,,
seq3,no_checks,15 / 100,,,"0,11","0,26","2,47",,,,,,,"1,94","100,01","102,54","1,36",,,,,,
seq3,no_checks,16 / 100,,,"0,08","0,26","0,63",,,,,,,"1,94","98,52","101,05","0,95",,,,,,
seq3,no_checks,17 / 100,,,"0,08","0,26","0,54",,,,,,,"1,94","97,23","99,75","0,75",,,,,,
seq3,no_checks,18 / 100,,,"0,07","0,26","0,49",,,,,,,"1,94","95,73","98,22","0,68",,,,,,
seq3,no_checks,19 / 100,,,"0,07","0,26","0,57",,,,,,,"1,94","92,50","94,91","0,62",,,,,,
seq3,no_checks,20 / 100,,,"0,07","0,26","0,30",,,,,,,"1,94","90,46","92,81","0,66",,,,,,
seq3,no_checks,21 / 100,,,"0,07","0,26","0,36",,,,,,,"1,94","89,14","91,46","0,61",,,,,,
seq3,no_checks,22 / 100,,,"0,07","0,26","0,31",,,,,,,"1,94","87,86","90,13","0,60",,,,,,
seq3,no_checks,23 / 100,,,"0,06","0,26","0,30",,,,,,,"1,94","86,05","88,28","0,68",,,,,,
seq3,no_checks,24 / 100,,,"0,06","0,26","0,31",,,,,,,"1,94","84,83","87,02","0,57",,,,,,
