FarPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,09",,,,,,,"12,50","850,76","867,86",,,,,,
seq0,checks,1 / 12,,,"0,11",,,,,,,"12,50","850,75","867,85",,,,,,
seq0,checks,2 / 12,,,"0,51",,,,,,,"12,50","850,57","867,65",,,,,,
seq0,checks,3 / 12,,,"1,86",,,,,,,"12,50","849,28","866,17",,,,,,
seq0,checks,4 / 12,,,"5,33",,,,,,,"12,50","847,39","864,22",,,,,,
seq0,checks,5 / 12,,,"6,81",,,,,,,"12,50","847,62","864,42",,,,,,
seq0,checks,6 / 12,,,"11,61",,,,,,,"12,50","855,89","868,81",,,,,,
seq0,checks,7 / 12,,,"16,13",,,,,,,"12,50","856,85","869,38",,,,,,
seq0,checks,8 / 12,,,"25,34",,,,,,,"12,50","862,62","874,00",,,,,,
seq0,checks,9 / 12,,,"27,78",,,,,,,"12,50","862,56","873,90",,,,,,
seq0,checks,10 / 12,,,"25,56",,,,,,,"12,50","863,14","874,39",,,,,,
seq0,checks,11 / 12,,,"32,66",,,,,,,"12,50","864,89","875,82",,,,,,
seq0,checks,FINAL,,,"35,51",,,,,,,"12,50","867,07","877,69","-1,92","6936,45","12,50","1,30","572,00","1134,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,10",,,,,,,"12,50","851,47","868,58",,,,,,
seq0,no_checks,1 / 12,,,"0,32",,,,,,,"12,50","851,42","868,51",,,,,,
seq0,no_checks,2 / 12,,,"4,06",,,,,,,"12,50","847,05","864,31",,,,,,
seq0,no_checks,3 / 12,,,"4,07",,,,,,,"12,50","850,94","867,12",,,,,,
seq0,no_checks,4 / 12,,,"9,73",,,,,,,"12,50","850,84","866,46",,,,,,
seq0,no_checks,5 / 12,,,"6,27",,,,,,,"12,50","849,79","865,33",,,,,,
seq0,no_checks,6 / 12,,,"12,15",,,,,,,"12,50","856,60","869,49",,,,,,
seq0,no_checks,7 / 12,,,"12,69",,,,,,,"12,50","856,34","869,22",,,,,,
seq0,no_checks,8 / 12,,,"12,60",,,,,,,"12,50","856,34","869,20",,,,,,
seq0,no_checks,9 / 12,,,"11,78",,,,,,,"12,50","857,23","869,93",,,,,,
seq0,no_checks,10 / 12,,,"12,23",,,,,,,"12,50","856,82","869,50",,,,,,
seq0,no_checks,11 / 12,,,"13,70",,,,,,,"12,50","856,31","869,09",,,,,,
seq0,no_checks,FINAL,,,"13,96",,,,,,,"12,50","856,53","869,35","-0,59","6852,11","12,50","1,30","572,00","1138,00"
seq1,no_checks,,,,,,,,,,,,,,,,,,,
seq1,no_checks,INITIAL,,,"0,03",,,,,,,"12,50","852,29","866,32",,,,,,
seq1,no_checks,1 / 12,,,"0,14",,,,,,,"12,50","852,19","866,21",,,,,,
seq1,no_checks,2 / 12,,,"0,75",,,,,,,"12,50","851,25","865,14",,,,,,
seq1,no_checks,3 / 12,,,"2,55",,,,,,,"12,50","847,83","861,69",,,,,,
seq1,no_checks,4 / 12,,,"4,63",,,,,,,"12,50","846,30","860,15",,,,,,
seq1,no_checks,5 / 12,,,"12,23",,,,,,,"12,50","842,46","856,69",,,,,,
seq1,no_checks,6 / 12,,,"18,09",,,,,,,"12,50","846,00","859,66",,,,,,
seq1,no_checks,7 / 12,,,"20,88",,,,,,,"12,50","847,34","860,41",,,,,,
seq1,no_checks,8 / 12,,,"22,49",,,,,,,"12,50","847,34","860,32",,,,,,
seq1,no_checks,9 / 12,,,"17,98",,,,,,,"12,50","847,37","860,56",,,,,,
seq1,no_checks,10 / 12,,,"22,49",,,,,,,"12,50","848,80","861,65",,,,,,
seq1,no_checks,11 / 12,,,"21,10",,,,,,,"12,50","848,49","861,36",,,,,,
seq1,no_checks,FINAL,,,"19,50",,,,,,,"12,50","848,44","861,32","0,45","6787,44","12,50","1,31","552,00","1094,00"
seq2,no_checks,,,,,,,,,,,,,,,,,,,
seq2,no_checks,INITIAL,,,"0,11",,,,,,,"12,50","890,44","908,87",,,,,,
seq2,no_checks,1 / 12,,,"0,14",,,,,,,"12,50","889,65","907,94",,,,,,
seq2,no_checks,2 / 12,,,"0,21",,,,,,,"12,50","888,94","907,13",,,,,,
seq2,no_checks,3 / 12,,,"0,39",,,,,,,"12,50","886,70","904,73",,,,,,
seq2,no_checks,4 / 12,,,"4,94",,,,,,,"12,50","841,90","859,56",,,,,,
seq2,no_checks,5 / 12,,,"5,85",,,,,,,"12,50","838,75","856,43",,,,,,
seq2,no_checks,6 / 12,,,"3,82",,,,,,,"12,50","832,65","850,38",,,,,,
seq2,no_checks,7 / 12,,,"0,93",,,,,,,"12,50","822,14","840,95",,,,,,
seq2,no_checks,8 / 12,,,"0,93",,,,,,,"12,50","821,84","840,81",,,,,,
seq2,no_checks,9 / 12,,,"0,90",,,,,,,"12,50","821,81","840,87",,,,,,
seq2,no_checks,10 / 12,,,"0,87",,,,,,,"12,50","821,79","840,91",,,,,,
seq2,no_checks,11 / 12,,,"1,38",,,,,,,"12,50","821,75","840,88",,,,,,
