TwoPoints
Level,Checks,Section,C1 std dev,C2 std dev,Rel. error,Global R X,Global R Y,Global R Z,Global t X,Global t Y,Global t Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%),t C1C2 norm (mm),pllx,nMchs,nMPs
seq0,checks,,,,,,,,,,,,,,,,,,,
seq0,checks,INITIAL,,,"0,00",,,,,,,"12,50","854,47","871,63",,,,,,
seq0,checks,1 / 12,,,"0,62",,,,,,,"12,50","851,96","869,13",,,,,,
seq0,checks,2 / 12,,,"4,11",,,,,,,"12,50","849,37","866,58",,,,,,
seq0,checks,3 / 12,,,"7,03",,,,,,,"12,50","850,19","866,97",,,,,,
seq0,checks,4 / 12,,,"7,27",,,,,,,"12,50","855,78","871,04",,,,,,
seq0,checks,5 / 12,,,"9,84",,,,,,,"12,50","857,00","871,38",,,,,,
seq0,checks,6 / 12,,,"10,05",,,,,,,"12,50","858,92","872,77",,,,,,
seq0,checks,7 / 12,,,"11,13",,,,,,,"12,50","856,45","870,02",,,,,,
seq0,checks,8 / 12,,,"10,69",,,,,,,"12,50","855,61","869,22",,,,,,
seq0,checks,9 / 12,,,"22,79",,,,,,,"12,50","863,74","875,35",,,,,,
seq0,checks,10 / 12,,,"18,93",,,,,,,"12,50","863,12","874,86",,,,,,
seq0,checks,11 / 12,,,"19,84",,,,,,,"12,50","861,55","873,63",,,,,,
seq0,checks,FINAL,,,"22,86",,,,,,,"12,50","862,57","874,46","-0,95","6900,46","12,50","1,30","575,00","1140,00"
seq0,no_checks,,,,,,,,,,,,,,,,,,,
seq0,no_checks,INITIAL,,,"0,00",,,,,,,"12,50","852,73","869,82",,,,,,
seq0,no_checks,1 / 12,,,"0,41",,,,,,,"12,50","850,78","867,86",,,,,,
seq0,no_checks,2 / 12,,,"0,75",,,,,,,"12,50","850,72","867,80",,,,,,
seq0,no_checks,3 / 12,,,"2,01",,,,,,,"12,50","850,38","867,42",,,,,,
seq0,no_checks,4 / 12,,,"5,90",,,,,,,"12,50","848,04","865,24",,,,,,
seq0,no_checks,5 / 12,,,"9,99",,,,,,,"12,50","855,35","868,62",,,,,,
seq0,no_checks,6 / 12,,,"21,38",,,,,,,"12,50","860,36","872,40",,,,,,
