parallax,Av. error (mm),Info,Higher Info
"0,18","152,23",seq0_checks,105-2-115_FarPoints
"0,18","156,05",seq0_checks,105-2-115_FarPoints
"0,18","170,16",seq0_checks,105-2-115_FarPoints
"0,18","172,76",seq0_checks,105-2-115_FarPoints
"0,18","171,73",seq0_checks,105-2-115_FarPoints
"0,18","174,46",seq0_checks,105-2-115_FarPoints
"0,64","57,69",seq0_checks,105-2-115_FarPoints
"0,64","57,27",seq0_checks,105-2-115_FarPoints
"0,42","116,28",seq0_checks,105-2-115_FarPoints
"0,42","115,37",seq0_checks,105-2-115_FarPoints
"0,53","85,38",seq0_checks,105-2-115_FarPoints
"0,53","86,83",seq0_checks,105-2-115_FarPoints
"0,40","98,62",seq0_checks,105-2-115_FarPoints
"0,40","97,85",seq0_checks,105-2-115_FarPoints
"0,34","131,53",seq0_checks,105-2-115_FarPoints
"0,34","131,62",seq0_checks,105-2-115_FarPoints
"0,46","91,00",seq0_checks,105-2-115_FarPoints
"0,46","90,39",seq0_checks,105-2-115_FarPoints
"0,17","256,43",seq0_checks,105-2-115_FarPoints
"0,17","255,50",seq0_checks,105-2-115_FarPoints
"0,20","239,74",seq0_checks,105-2-115_FarPoints
"0,20","241,11",seq0_checks,105-2-115_FarPoints
"0,47","96,06",seq0_checks,105-2-115_FarPoints
"0,47","95,00",seq0_checks,105-2-115_FarPoints
"0,08","552,11",seq0_checks,105-2-115_FarPoints
"0,08","554,94",seq0_checks,105-2-115_FarPoints
"0,23","159,38",seq0_checks,105-2-115_FarPoints
"0,23","163,85",seq0_checks,105-2-115_FarPoints
"0,07","528,95",seq0_checks,105-2-115_FarPoints
"0,07","532,63",seq0_checks,105-2-115_FarPoints
"0,39","84,97",seq0_checks,105-2-115_FarPoints
"0,39","89,33",seq0_checks,105-2-115_FarPoints
"0,23","199,11",seq0_checks,105-2-115_FarPoints
"0,23","200,86",seq0_checks,105-2-115_FarPoints
"0,26","171,06",seq0_checks,105-2-115_FarPoints
"0,26","172,97",seq0_checks,105-2-115_FarPoints
"0,20","239,37",seq0_checks,105-2-115_FarPoints
"0,20","240,81",seq0_checks,105-2-115_FarPoints
"0,22","203,96",seq0_checks,105-2-115_FarPoints
"0,22","203,61",seq0_checks,105-2-115_FarPoints
"0,17","254,18",seq0_checks,105-2-115_FarPoints
"0,17","253,32",seq0_checks,105-2-115_FarPoints
"0,33","136,60",seq0_checks,105-2-115_FarPoints
"0,33","139,07",seq0_checks,105-2-115_FarPoints
"0,50","84,88",seq0_checks,105-2-115_FarPoints
"0,50","83,99",seq0_checks,105-2-115_FarPoints
"0,12","325,48",seq0_checks,105-2-115_FarPoints
"0,12","326,50",seq0_checks,105-2-115_FarPoints
"0,41","114,43",seq0_checks,105-2-115_FarPoints
"0,41","115,51",seq0_checks,105-2-115_FarPoints
"0,49","84,14",seq0_checks,105-2-115_FarPoints
"0,49","85,26",seq0_checks,105-2-115_FarPoints
"0,22","106,23",seq0_checks,105-2-115_FarPoints
