parallax,Av. error (mm),Info,Higher Info
"0,18","154,62",seq0_checks,105-2-115_TwoPoints
"0,18","153,64",seq0_checks,105-2-115_TwoPoints
"0,42","116,35",seq0_checks,105-2-115_TwoPoints
"0,42","115,31",seq0_checks,105-2-115_TwoPoints
"0,64","58,00",seq0_checks,105-2-115_TwoPoints
"0,64","56,96",seq0_checks,105-2-115_TwoPoints
"0,18","171,95",seq0_checks,105-2-115_TwoPoints
"0,18","170,97",seq0_checks,105-2-115_TwoPoints
"0,18","173,58",seq0_checks,105-2-115_TwoPoints
"0,18","172,60",seq0_checks,105-2-115_TwoPoints
"0,53","85,53",seq0_checks,105-2-115_TwoPoints
"0,53","86,67",seq0_checks,105-2-115_TwoPoints
"0,08","554,05",seq0_checks,105-2-115_TwoPoints
"0,08","553,00",seq0_checks,105-2-115_TwoPoints
"0,34","132,08",seq0_checks,105-2-115_TwoPoints
"0,34","131,07",seq0_checks,105-2-115_TwoPoints
"0,40","98,71",seq0_checks,105-2-115_TwoPoints
"0,40","97,75",seq0_checks,105-2-115_TwoPoints
"0,47","96,07",seq0_checks,105-2-115_TwoPoints
"0,47","94,99",seq0_checks,105-2-115_TwoPoints
"0,46","91,18",seq0_checks,105-2-115_TwoPoints
"0,46","90,21",seq0_checks,105-2-115_TwoPoints
"0,41","114,47",seq0_checks,105-2-115_TwoPoints
"0,41","115,47",seq0_checks,105-2-115_TwoPoints
"0,49","84,19",seq0_checks,105-2-115_TwoPoints
"0,49","85,21",seq0_checks,105-2-115_TwoPoints
"0,07","530,11",seq0_checks,105-2-115_TwoPoints
"0,07","531,47",seq0_checks,105-2-115_TwoPoints
"0,17","256,43",seq0_checks,105-2-115_TwoPoints
"0,17","255,49",seq0_checks,105-2-115_TwoPoints
"0,20","240,91",seq0_checks,105-2-115_TwoPoints
"0,20","239,94",seq0_checks,105-2-115_TwoPoints
"0,39","85,91",seq0_checks,105-2-115_TwoPoints
"0,39","88,38",seq0_checks,105-2-115_TwoPoints
"0,23","199,29",seq0_checks,105-2-115_TwoPoints
"0,23","200,67",seq0_checks,105-2-115_TwoPoints
"0,26","171,33",seq0_checks,105-2-115_TwoPoints
"0,26","172,71",seq0_checks,105-2-115_TwoPoints
"0,20","240,58",seq0_checks,105-2-115_TwoPoints
"0,20","239,61",seq0_checks,105-2-115_TwoPoints
"0,22","204,27",seq0_checks,105-2-115_TwoPoints
"0,22","203,30",seq0_checks,105-2-115_TwoPoints
"0,17","254,22",seq0_checks,105-2-115_TwoPoints
"0,17","253,28",seq0_checks,105-2-115_TwoPoints
"0,33","137,14",seq0_checks,105-2-115_TwoPoints
"0,33","138,53",seq0_checks,105-2-115_TwoPoints
"0,50","84,94",seq0_checks,105-2-115_TwoPoints
"0,50","83,93",seq0_checks,105-2-115_TwoPoints
"0,12","326,48",seq0_checks,105-2-115_TwoPoints
"0,12","325,50",seq0_checks,105-2-115_TwoPoints
"0,22","109,32",seq0_checks,105-2-115_TwoPoints
"0,22","108,37",seq0_checks,105-2-115_TwoPoints
"0,55","84,61",seq0_checks,105-2-115_TwoPoints
"0,55","85,59",seq0_checks,105-2-115_TwoPoints
"0,55","84,63",seq0_checks,105-2-115_TwoPoints
"0,55","85,61",seq0_checks,105-2-115_TwoPoints
"0,56","83,08",seq0_checks,105-2-115_TwoPoints
"0,56","83,90",seq0_checks,105-2-115_TwoPoints
"0,53","86,47",seq0_checks,105-2-115_TwoPoints
"0,53","85,42",seq0_checks,105-2-115_TwoPoints
"0,52","85,96",seq0_checks,105-2-115_TwoPoints
"0,52","87,01",seq0_checks,105-2-115_TwoPoints
"0,03","990,86",seq0_checks,105-2-115_TwoPoints
"0,03","989,96",seq0_checks,105-2-115_TwoPoints
"0,13","308,96",seq0_checks,105-2-115_TwoPoints
"0,13","308,00",seq0_checks,105-2-115_TwoPoints
"0,15","245,35",seq0_checks,105-2-115_TwoPoints
"0,15","244,38",seq0_checks,105-2-115_TwoPoints
"0,56","72,59",seq0_checks,105-2-115_TwoPoints
"0,56","73,34",seq0_checks,105-2-115_TwoPoints
"0,15","222,73",seq0_checks,105-2-115_TwoPoints
"0,15","221,76",seq0_checks,105-2-115_TwoPoints
"0,23","156,70",seq0_checks,105-2-115_TwoPoints
"0,23","155,63",seq0_checks,105-2-115_TwoPoints
"0,24","151,18",seq0_checks,105-2-115_TwoPoints
"0,24","150,11",seq0_checks,105-2-115_TwoPoints
"0,13","279,14",seq0_checks,105-2-115_TwoPoints
"0,13","280,46",seq0_checks,105-2-115_TwoPoints
"0,40","122,48",seq0_checks,105-2-115_TwoPoints
"0,40","123,66",seq0_checks,105-2-115_TwoPoints
"0,56","83,30",seq0_checks,105-2-115_TwoPoints
"0,56","84,24",seq0_checks,105-2-115_TwoPoints
"0,56","80,04",seq0_checks,105-2-115_TwoPoints
"0,56","78,97",seq0_checks,105-2-115_TwoPoints
"0,56","78,48",seq0_checks,105-2-115_TwoPoints
"0,56","79,33",seq0_checks,105-2-115_TwoPoints
"0,20","144,25",seq0_checks,105-2-115_TwoPoints
"0,20","143,29",seq0_checks,105-2-115_TwoPoints
"0,28","166,17",seq0_checks,105-2-115_TwoPoints
"0,28","165,23",seq0_checks,105-2-115_TwoPoints
"0,26","179,03",seq0_checks,105-2-115_TwoPoints
"0,26","178,08",seq0_checks,105-2-115_TwoPoints
"0,52","85,78",seq0_checks,105-2-115_TwoPoints
"0,52","86,67",seq0_checks,105-2-115_TwoPoints
"0,47","100,92",seq0_checks,105-2-115_TwoPoints
"0,47","101,75",seq0_checks,105-2-115_TwoPoints
"0,12","410,11",seq0_checks,105-2-115_TwoPoints
"0,12","409,13",seq0_checks,105-2-115_TwoPoints
"0,12","413,75",seq0_checks,105-2-115_TwoPoints
"0,12","415,11",seq0_checks,105-2-115_TwoPoints
"0,10","512,90",seq0_checks,105-2-115_TwoPoints
"0,10","511,96",seq0_checks,105-2-115_TwoPoints
"0,12","330,22",seq0_checks,105-2-115_TwoPoints
"0,12","329,25",seq0_checks,105-2-115_TwoPoints
"0,42","118,16",seq0_checks,105-2-115_TwoPoints
"0,42","117,11",seq0_checks,105-2-115_TwoPoints
"0,42","117,17",seq0_checks,105-2-115_TwoPoints
"0,42","118,31",seq0_checks,105-2-115_TwoPoints
"0,19","276,13",seq0_checks,105-2-115_TwoPoints
"0,19","275,17",seq0_checks,105-2-115_TwoPoints
"0,21","211,13",seq0_checks,105-2-115_TwoPoints
"0,21","210,16",seq0_checks,105-2-115_TwoPoints
"0,14","363,14",seq0_checks,105-2-115_TwoPoints
"0,14","362,12",seq0_checks,105-2-115_TwoPoints
"0,21","182,84",seq0_checks,105-2-115_TwoPoints
"0,21","181,83",seq0_checks,105-2-115_TwoPoints
"0,20","224,13",seq0_checks,105-2-115_TwoPoints
"0,20","223,19",seq0_checks,105-2-115_TwoPoints
"0,46","99,25",seq0_checks,105-2-115_TwoPoints
"0,46","100,72",seq0_checks,105-2-115_TwoPoints
"0,61","40,23",seq0_checks,105-2-115_TwoPoints
"0,61","42,73",seq0_checks,105-2-115_TwoPoints
"0,48","96,86",seq0_checks,105-2-115_TwoPoints
"0,48","95,78",seq0_checks,105-2-115_TwoPoints
"0,48","99,39",seq0_checks,105-2-115_TwoPoints
"0,48","100,11",seq0_checks,105-2-115_TwoPoints
"0,47","89,31",seq0_checks,105-2-115_TwoPoints
"0,47","88,33",seq0_checks,105-2-115_TwoPoints
"0,37","128,52",seq0_checks,105-2-115_TwoPoints
"0,37","127,51",seq0_checks,105-2-115_TwoPoints
"0,08","590,59",seq0_checks,105-2-115_TwoPoints
"0,08","591,74",seq0_checks,105-2-115_TwoPoints
"0,12","323,42",seq0_checks,105-2-115_TwoPoints
"0,12","322,44",seq0_checks,105-2-115_TwoPoints
"0,25","140,04",seq0_checks,105-2-115_TwoPoints
"0,25","138,97",seq0_checks,105-2-115_TwoPoints
"0,42","59,20",seq0_checks,105-2-115_TwoPoints
"0,42","62,30",seq0_checks,105-2-115_TwoPoints
