{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,70","1,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,37","4,06",,
20,Planar,"2,5",0,1 / 5,"0,99","1,05","1,80e-03","1,00","1,00","1,00","-0,02","0,08","-0,02",,"3,20","3,93",,
20,Planar,"2,5",0,2 / 5,"0,97","1,03","1,95e-03","1,00","1,00","1,00","0,04","0,14","-0,06",,"3,21","3,94",,
20,Planar,"2,5",0,3 / 5,"0,98","1,04","1,94e-03","1,00","1,00","1,00","0,04","0,17","-0,07",,"3,22","3,94",,
20,Planar,"2,5",0,4 / 5,"0,98","1,04","1,95e-03","1,00","1,00","1,00","0,07","0,22","-0,1",,"3,22","3,95",,
20,Planar,"2,5",0,FINAL,"0,98","1,04","2,01e-03","1,00","1,00","1,00","0,04","0,24","-0,1","3,95","3,23","3,96","4,25","81,78"
20,Planar,0,"2,5",INITIAL,"0,94","0,92","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,64","1,82",,
20,Planar,0,"2,5",1 / 5,"0,46","0,48","2,46e-05","1,00","1,00","1,00","-0,06","0,79","-0,05",,"1,49","1,70",,
20,Planar,0,"2,5",2 / 5,"0,44","0,47","1,74e-05","1,00","1,00","1,00","-0,13","0,87","-0,05",,"1,48","1,69",,
20,Planar,0,"2,5",3 / 5,"0,42","0,45","1,74e-05","1,00","1,00","1,00","-0,11","0,94","-0,07",,"1,47","1,68",,
20,Planar,0,"2,5",4 / 5,"0,40","0,43","1,77e-05","1,00","1,00","1,00","-0,17","0,99","-0,07",,"1,46","1,67",,
20,Planar,0,"2,5",FINAL,"0,39","0,41","1,79e-05","1,00","1,00","1,00","-0,15","1,06","-0,1","2,50","1,45","1,66","11,46","58,18"
20,Planar,"2,5","2,5",INITIAL,"2,21","4,74","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,49","4,12",,
20,Planar,"2,5","2,5",1 / 5,"1,24","0,82","3,47e-03","1,00","1,00","1,00","0,04","0,64","-0,16",,"3,22","3,92",,
20,Planar,"2,5","2,5",2 / 5,"1,26","0,82","3,48e-03","1,00","1,00","1,00","-0,08","0,65","-0,2",,"3,23","3,92",,
20,Planar,"2,5","2,5",3 / 5,"1,24","0,79","3,52e-03","1,00","1,00","1,00","-0,12","0,65","-0,27",,"3,23","3,92",,
20,Planar,"2,5","2,5",4 / 5,"1,27","0,81","3,43e-03","1,00","1,00","1,00","-0,16","0,65","-0,36",,"3,23","3,92",,
20,Planar,"2,5","2,5",FINAL,"1,27","0,80","3,43e-03","1,00","1,00","1,00","-0,19","0,64","-0,41","4,73","3,23","3,92","7,44","68,36"
20,Planar,10,0,INITIAL,"7,13","6,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","13,77","16,32",,
20,Planar,10,0,1 / 5,"0,90","0,91","1,15e-01","1,00","1,00","1,00","-1,34","-0,8","-0,09",,"12,27","15,40",,
20,Planar,10,0,2 / 5,"0,89","1,01","1,24e-01","1,00","1,00","1,00","-1,4","-0,3","-1,07",,"12,45","15,67",,
20,Planar,10,0,3 / 5,"0,90","1,06","1,31e-01","1,00","1,00","1,00","-1,94","-0,26","-1,58",,"12,64","15,90",,
20,Planar,10,0,4 / 5,"0,84","0,91","1,29e-01","1,00","1,00","1,00","-3,04","0,68","-2,62",,"12,87","16,23",,
20,Planar,10,0,FINAL,"0,88","1,05","1,28e-01","1,00","1,00","1,00","-3,53","0,34","-2,95","16,05","12,95","16,32","5,95","80,68"
20,Planar,0,10,INITIAL,"3,49","3,41","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,57","6,02",,
20,Planar,0,10,1 / 5,"1,02","1,05","1,16e-04","1,00","1,00","1,00","-0,73","3,59","-0,19",,"4,69","5,36",,
20,Planar,0,10,2 / 5,"0,95","1,00","7,31e-05","1,00","1,00","1,00","-0,49","3,88","-0,31",,"4,63","5,30",,
20,Planar,0,10,3 / 5,"0,92","0,97","5,86e-05","1,00","1,00","1,00","-0,65","4,02","-0,32",,"4,60","5,27",,
20,Planar,0,10,4 / 5,"0,93","0,98","4,35e-05","1,00","1,00","1,00","-0,59","4,11","-0,37",,"4,57","5,24",,
20,Planar,0,10,FINAL,"0,96","1,01","2,91e-05","1,00","1,00","1,00","-0,67","4,15","-0,37","10,00","4,56","5,23","18,19","45,57"
20,Planar,10,10,INITIAL,"8,23","8,13","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","14,59","17,47",,
20,Planar,10,10,1 / 5,"1,07","1,06","1,36e-01","1,00","1,00","1,00","-1,87","4,31","-1,33",,"12,96","16,38",,
20,Planar,10,10,2 / 5,"1,03","1,10","1,39e-01","1,00","1,00","1,00","-3,27","4,39","-2,49",,"13,04","16,41",,
20,Planar,10,10,3 / 5,"0,95","1,03","1,45e-01","1,00","1,00","1,00","-3,84","4,41","-2,97",,"13,12","16,47",,
20,Planar,10,10,4 / 5,"0,99","1,06","1,48e-01","1,00","1,00","1,00","-4,21","4,42","-3,63",,"13,15","16,51",,
20,Planar,10,10,FINAL,"0,97","1,04","1,48e-01","1,00","1,00","1,00","-5,54","4,57","-4,58","19,14","13,17","16,57","9,68","68,83"
20,Gradual,0,"2,5",INITIAL,"1,66","1,59","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,03","2,45",,
20,Gradual,0,"2,5",1 / 5,"0,94","1,06","6,16e-05","1,00","1,00","1,00","-0,31","0,98","-0,28",,"1,81","2,21",,
20,Gradual,0,"2,5",2 / 5,"0,92","1,06","5,27e-05","1,00","1,00","1,00","-0,27","1,09","-0,37",,"1,80","2,20",,
20,Gradual,0,"2,5",3 / 5,"0,89","1,03","5,12e-05","1,00","1,00","1,00","-0,35","1,18","-0,45",,"1,78","2,17",,
20,Gradual,0,"2,5",4 / 5,"0,86","1,00","5,50e-05","1,00","1,00","1,00","-0,36","1,23","-0,54",,"1,76","2,15",,
20,Gradual,0,"2,5",FINAL,"0,84","0,97","5,95e-05","1,00","1,00","1,00","-0,45","1,26","-0,62","3,24","1,74","2,12","14,46","53,61"
20,Gradual,"2,5","2,5",INITIAL,"2,21","2,30","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,36","4,03","4,75",,
20,Gradual,"2,5","2,5",1 / 5,"1,10","0,92","2,10e-03","1,00","1,00","1,00","-0,08","1,49","-0,36",,"3,71","4,52",,
20,Gradual,"2,5","2,5",2 / 5,"1,11","0,91","2,08e-03","1,00","1,00","1,00","-0,26","1,59","-0,43",,"3,71","4,52",,
20,Gradual,"2,5","2,5",3 / 5,"1,09","0,89","2,20e-03","1,00","1,00","1,00","-0,22","1,66","-0,63",,"3,71","4,52",,
20,Gradual,"2,5","2,5",4 / 5,"1,08","0,89","2,18e-03","1,00","1,00","1,00","-0,37","1,67","-0,7",,"3,71","4,52",,
20,Gradual,"2,5","2,5",FINAL,"1,10","0,90","2,11e-03","1,00","1,00","1,00","-0,32","1,7","-0,87","5,36","3,70","4,51","8,13","69,17"
20,Gradual,0,10,INITIAL,"5,37","5,03","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,53","5,82","6,85",,
20,Gradual,0,10,1 / 5,"1,02","1,28","1,37e-03","1,00","1,00","1,00","-1,62","6,02","-1,87",,"4,63","5,46",,
20,Gradual,0,10,2 / 5,"0,77","0,83","1,83e-03","1,00","1,00","1,00","-2,25","6,17","-3,12",,"4,22","5,02",,
20,Gradual,0,10,3 / 5,"0,70","0,76","2,00e-03","1,00","1,00","1,00","-2,65","6,05","-3,82",,"3,95","4,72",,
20,Gradual,0,10,4 / 5,"0,77","0,82","1,96e-03","1,00","1,00","1,00","-3,33","5,94","-3,87",,"3,80","4,54",,
20,Gradual,0,10,FINAL,"0,54","0,57","2,36e-03","1,00","1,00","1,00","-4,06","5,84","-4,58","10,53","3,54","4,23","39,17","33,60"
20,Gradual,10,10,INITIAL,"9,92","10,02","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,68","17,26",,
20,Gradual,10,10,1 / 5,"1,09","0,94","1,25e-01","1,00","1,00","1,00","-2,56","6,13","-3,79",,"12,50","15,59",,
20,Gradual,10,10,2 / 5,"1,02","0,87","1,27e-01","1,00","1,00","1,00","-4,62","5,75","-5,08",,"12,63","15,70",,
20,Gradual,10,10,3 / 5,"0,97","0,89","1,30e-01","1,00","1,00","1,00","-5,56","5,57","-6,82",,"12,87","15,91",,
20,Gradual,10,10,4 / 5,"1,01","0,92","1,27e-01","1,00","1,00","1,00","-6,95","5,3","-7,9",,"12,97","16,04",,
20,Gradual,10,10,FINAL,"1,06","0,93","1,26e-01","1,00","1,00","1,00","-8,1","5,14","-9,65","19,45","13,10","16,17","10,76","67,38"
80,Planar,"2,5",0,INITIAL,"0,56","0,55","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,78","10,83","13,38",,
80,Planar,"2,5",0,1 / 5,"0,34","0,36","2,61e-03","1,00","1,00","1,00","0,01","0,17","-0,13",,"10,79","13,36",,
80,Planar,"2,5",0,2 / 5,"0,39","0,41","1,51e-03","1,00","1,00","1,00","0,08","0,14","-0,19",,"10,80","13,37",,
80,Planar,"2,5",0,3 / 5,"0,45","0,46","6,58e-04","1,00","1,00","1,00","0,12","0,09","-0,21",,"10,81","13,37",,
80,Planar,"2,5",0,4 / 5,"0,48","0,50","2,70e-04","1,00","1,00","1,00","0,16","0,07","-0,21",,"10,82","13,38",,
80,Planar,"2,5",0,FINAL,"0,51","0,52","1,10e-04","1,00","1,00","1,00","0,19","0,05","-0,22","3,78","10,83","13,38","-0,01","286,21"
80,Planar,0,"2,5",INITIAL,"0,46","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,61","9,27",,
80,Planar,0,"2,5",1 / 5,"0,36","0,34","4,70e-04","1,00","1,00","1,00","-0,05","0,29","-0,07",,"7,59","9,26",,
80,Planar,0,"2,5",2 / 5,"0,38","0,35","2,56e-04","1,00","1,00","1,00","-0,19","0,28","-0,08",,"7,58","9,25",,
80,Planar,0,"2,5",3 / 5,"0,40","0,37","1,17e-04","1,00","1,00","1,00","-0,19","0,26","-0,08",,"7,58","9,25",,
80,Planar,0,"2,5",4 / 5,"0,41","0,38","6,88e-05","1,00","1,00","1,00","-0,24","0,26","-0,09",,"7,58","9,25",,
80,Planar,0,"2,5",FINAL,"0,42","0,39","4,26e-05","1,00","1,00","1,00","-0,25","0,25","-0,09","2,50","7,58","9,25","0,43","303,08"
80,Planar,"2,5","2,5",INITIAL,"0,52","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,70","10,89","13,70",,
80,Planar,"2,5","2,5",1 / 5,"0,38","0,41","5,51e-04","1,00","1,00","1,00","-0,15","0,34","-0,05",,"10,84","13,67",,
80,Planar,"2,5","2,5",2 / 5,"0,38","0,41","5,32e-04","1,00","1,00","1,00","-0,42","0,34","-0,21",,"10,83","13,67",,
80,Planar,"2,5","2,5",3 / 5,"0,40","0,43","3,71e-04","1,00","1,00","1,00","-0,25","0,34","0,05",,"10,84","13,67",,
80,Planar,"2,5","2,5",4 / 5,"0,43","0,46","1,22e-04","1,00","1,00","1,00","-0,36","0,35","-0,08",,"10,84","13,67",,
80,Planar,"2,5","2,5",FINAL,"0,45","0,47","5,97e-05","1,00","1,00","1,00","-0,33","0,38","-0,08","4,70","10,85","13,68","0,38","230,65"
80,Planar,10,0,INITIAL,"1,71","1,72","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,37","26,89","33,20",,
80,Planar,10,0,1 / 5,"1,05","1,07","2,84e-02","1,00","1,00","1,00","-0,11","-0,8","-0,13",,"26,39","32,93",,
80,Planar,10,0,2 / 5,"0,98","1,00","3,70e-02","1,00","1,00","1,00","0,05","-1,4","-0,24",,"26,37","32,93",,
80,Planar,10,0,3 / 5,"1,00","1,01","3,61e-02","1,00","1,00","1,00","0,07","-1,62","-0,3",,"26,40","32,95",,
80,Planar,10,0,4 / 5,"1,00","1,01","3,63e-02","1,00","1,00","1,00","0,11","-1,88","-0,35",,"26,42","32,97",,
80,Planar,10,0,FINAL,"1,00","1,01","3,64e-02","1,00","1,00","1,00","0,22","-2,03","-0,41","16,37","26,44","32,98","1,67","161,50"
80,Planar,0,10,INITIAL,"0,89","0,90","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,51","17,01",,
80,Planar,0,10,1 / 5,"0,57","0,60","1,92e-04","1,00","1,00","1,00","-0,41","1,29","-0,15",,"14,26","16,86",,
80,Planar,0,10,2 / 5,"0,51","0,54","1,69e-04","1,00","1,00","1,00","-0,35","1,59","0,0",,"14,21","16,83",,
80,Planar,0,10,3 / 5,"0,49","0,51","5,90e-05","1,00","1,00","1,00","-0,47","2,0","-0,17",,"14,17","16,81",,
80,Planar,0,10,4 / 5,"0,49","0,51","4,01e-05","1,00","1,00","1,00","-0,51","2,07","-0,18",,"14,16","16,80",,
80,Planar,0,10,FINAL,"0,49","0,51","3,17e-05","1,00","1,00","1,00","-0,49","2,1","-0,19","10,00","14,16","16,80","2,44","141,60"
80,Planar,10,10,INITIAL,"1,99","2,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","20,06","38,52","47,29",,
80,Planar,10,10,1 / 5,"1,03","1,08","2,76e-02","1,00","1,00","1,00","-0,94","3,95","-0,29",,"37,90","47,00",,
80,Planar,10,10,2 / 5,"0,99","1,02","3,19e-02","1,00","1,00","1,00","-1,2","5,19","-0,42",,"37,88","46,99",,
80,Planar,10,10,3 / 5,"1,01","1,03","3,14e-02","1,00","1,00","1,00","-1,56","6,33","-0,61",,"37,90","47,01",,
80,Planar,10,10,4 / 5,"1,01","1,03","3,18e-02","1,00","1,00","1,00","-1,72","7,62","-0,87",,"37,92","47,02",,
80,Planar,10,10,FINAL,"1,01","1,03","3,22e-02","1,00","1,00","1,00","-1,81","8,24","-1,0","20,06","37,93","47,03","1,53","189,11"
80,Gradual,0,"2,5",INITIAL,"2,42","2,28","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","23,44","30,99","42,49",,
80,Gradual,0,"2,5",1 / 5,"0,89","0,97","8,90e-03","1,00","1,00","1,00","-3,84","-0,56","-3,34",,"29,72","41,76",,
80,Gradual,0,"2,5",2 / 5,"0,97","1,00","1,09e-02","1,00","1,00","1,00","-12,19","-3,39","-5,68",,"29,14","41,04",,
80,Gradual,0,"2,5",3 / 5,"1,17","1,17","9,85e-03","1,00","1,00","1,00","-13,47","-4,16","-6,4",,"29,07","40,90",,
80,Gradual,0,"2,5",4 / 5,"1,20","1,20","9,79e-03","1,00","1,00","1,00","-15,27","-4,51","-6,66",,"28,98","40,77",,
80,Gradual,0,"2,5",FINAL,"1,08","1,08","1,09e-02","1,00","1,00","1,00","-17,0","-5,37","-7,75","23,44","28,86","40,62","6,89","123,13"
80,Gradual,"2,5","2,5",INITIAL,"2,51","2,79","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","24,95","34,36","45,12",,
80,Gradual,"2,5","2,5",1 / 5,"0,94","1,00","1,27e-02","1,00","1,00","1,00","-3,65","-2,34","-3,48",,"33,02","44,27",,
80,Gradual,"2,5","2,5",2 / 5,"1,05","1,07","1,38e-02","1,00","1,00","1,00","-6,09","-3,17","-3,79",,"32,88","44,05",,
80,Gradual,"2,5","2,5",3 / 5,"0,90","0,90","1,85e-02","1,00","1,00","1,00","-13,35","-8,23","-6,48",,"32,41","43,30",,
80,Gradual,"2,5","2,5",4 / 5,"0,94","0,94","1,91e-02","1,00","1,00","1,00","-16,58","-10,72","-7,87",,"32,22","42,96",,
80,Gradual,"2,5","2,5",FINAL,"1,07","1,07","1,95e-02","1,00","1,00","1,00","-23,05","-14,05","-9,82","24,95","31,95","42,43","7,01","128,04"
80,Gradual,0,10,INITIAL,"5,95","5,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","46,08","55,75","76,19",,
80,Gradual,0,10,1 / 5,"0,89","0,99","8,24e-02","0,99","0,99","1,00","-18,06","-2,64","-11,96",,"51,75","73,67",,
80,Gradual,0,10,2 / 5,"1,01","1,00","9,16e-02","0,99","0,99","1,00","-31,23","-5,35","-14,1",,"51,20","72,78",,
80,Gradual,0,10,3 / 5,"0,95","0,93","1,01e-01","0,99","0,99","1,00","-55,61","-9,49","-19,9",,"50,33","71,39",,
80,Gradual,0,10,4 / 5,"1,45","1,42","9,24e-02","0,99","0,99","1,00","-60,37","-10,46","-22,05",,"50,23","71,10",,
80,Gradual,0,10,FINAL,"1,90","1,86","8,69e-02","0,99","0,99","1,00","-64,41","-10,01","-21,82","46,08","50,24","70,93","9,89","109,04"
80,Gradual,10,10,INITIAL,"5,26","4,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","47,29","62,38","81,17",,
80,Gradual,10,10,1 / 5,"1,03","1,04","1,17e-01","1,00","1,00","1,00","-9,94","-5,65","-9,54",,"59,10","79,30",,
80,Gradual,10,10,2 / 5,"0,85","0,84","1,47e-01","0,99","0,99","1,00","-34,28","-18,75","-15,62",,"58,00","78,05",,
80,Gradual,10,10,3 / 5,"1,38","1,36","1,12e-01","0,99","0,99","1,00","-41,29","-20,37","-15,81",,"57,84","77,74",,
80,Gradual,10,10,4 / 5,"1,69","1,66","9,54e-02","0,99","0,99","1,00","-45,13","-22,43","-17,79",,"57,75","77,52",,
80,Gradual,10,10,FINAL,"1,72","1,70","9,39e-02","0,99","0,99","1,00","-50,31","-23,79","-18,62","47,29","57,63","77,33","7,61","121,86"
150,Planar,"2,5",0,INITIAL,"0,52","0,52","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,06","18,16","21,88",,
150,Planar,"2,5",0,1 / 5,"0,45","0,45","8,57e-04","1,00","1,00","1,00","0,13","0,01","0,01",,"18,15","21,87",,
150,Planar,"2,5",0,2 / 5,"0,47","0,47","4,47e-04","1,00","1,00","1,00","0,23","0,03","0,01",,"18,15","21,87",,
150,Planar,"2,5",0,3 / 5,"0,48","0,49","2,19e-04","1,00","1,00","1,00","0,23","0,03","0,01",,"18,15","21,87",,
150,Planar,"2,5",0,4 / 5,"0,51","0,51","2,46e-05","1,00","1,00","1,00","0,34","0,14","0,01",,"18,16","21,88",,
150,Planar,"2,5",0,FINAL,"0,51","0,52","9,87e-06","1,00","1,00","1,00","0,33","0,14","0,02","4,06","18,16","21,88","0,00","447,49"
150,Planar,0,"2,5",INITIAL,"0,48","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","18,03","22,09",,
150,Planar,0,"2,5",1 / 5,"0,37","0,38","1,55e-03","1,00","1,00","1,00","0,03","-0,0","-0,02",,"18,02","22,09",,
150,Planar,0,"2,5",2 / 5,"0,39","0,40","9,96e-04","1,00","1,00","1,00","0,09","-0,06","-0,02",,"18,02","22,09",,
150,Planar,0,"2,5",3 / 5,"0,41","0,42","5,76e-04","1,00","1,00","1,00","0,07","-0,09","-0,02",,"18,01","22,09",,
150,Planar,0,"2,5",4 / 5,"0,42","0,43","3,49e-04","1,00","1,00","1,00","0,12","-0,1","-0,02",,"18,01","22,09",,
150,Planar,0,"2,5",FINAL,"0,43","0,44","2,05e-04","1,00","1,00","1,00","0,08","-0,1","-0,02","2,50","18,01","22,08","0,11","720,42"
150,Planar,"2,5","2,5",INITIAL,"0,54","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,55","20,23","24,41",,
150,Planar,"2,5","2,5",1 / 5,"0,43","0,44","1,85e-03","1,00","1,00","1,00","-0,25","0,31","0,01",,"20,20","24,39",,
150,Planar,"2,5","2,5",2 / 5,"0,45","0,46","1,13e-03","1,00","1,00","1,00","-0,35","0,43","0,01",,"20,20","24,39",,
150,Planar,"2,5","2,5",3 / 5,"0,47","0,48","6,22e-04","1,00","1,00","1,00","-0,41","0,51","0,01",,"20,20","24,40",,
150,Planar,"2,5","2,5",4 / 5,"0,49","0,49","3,12e-04","1,00","1,00","1,00","-0,47","0,58","0,0",,"20,20","24,40",,
150,Planar,"2,5","2,5",FINAL,"0,50","0,51","1,23e-04","1,00","1,00","1,00","-0,53","0,64","0,0","4,55","20,21","24,40","0,10","444,53"
150,Planar,10,0,INITIAL,"0,98","1,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,37","42,33","52,32",,
150,Planar,10,0,1 / 5,"0,85","0,88","2,41e-03","1,00","1,00","1,00","0,18","-0,4","-0,12",,"42,23","52,27",,
150,Planar,10,0,2 / 5,"0,88","0,90","1,70e-03","1,00","1,00","1,00","0,3","-0,66","-0,13",,"42,25","52,28",,
150,Planar,10,0,3 / 5,"0,90","0,93","9,77e-04","1,00","1,00","1,00","0,46","-0,79","-0,13",,"42,27","52,29",,
150,Planar,10,0,4 / 5,"0,92","0,95","5,47e-04","1,00","1,00","1,00","0,46","-0,86","-0,13",,"42,28","52,30",,
150,Planar,10,0,FINAL,"0,94","0,97","3,04e-04","1,00","1,00","1,00","0,51","-0,88","-0,12","15,37","42,30","52,30","0,09","275,14"
150,Planar,0,10,INITIAL,"0,74","0,75","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","20,93","25,31",,
150,Planar,0,10,1 / 5,"0,37","0,37","3,92e-03","1,00","1,00","1,00","-0,64","1,25","-0,13",,"20,64","25,16",,
150,Planar,0,10,2 / 5,"0,40","0,41","1,94e-03","1,00","1,00","1,00","-0,67","1,27","-0,13",,"20,63","25,15",,
150,Planar,0,10,3 / 5,"0,41","0,42","1,22e-03","1,00","1,00","1,00","-0,93","1,28","-0,15",,"20,61","25,14",,
150,Planar,0,10,4 / 5,"0,44","0,44","4,78e-04","1,00","1,00","1,00","-0,99","1,23","-0,21",,"20,59","25,13",,
150,Planar,0,10,FINAL,"0,45","0,45","3,51e-04","1,00","1,00","1,00","-0,98","1,22","-0,22","10,00","20,59","25,13","1,61","205,94"
150,Planar,10,10,INITIAL,"1,13","1,16","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,26","46,17","56,53",,
150,Planar,10,10,1 / 5,"0,94","0,95","2,74e-03","1,00","1,00","1,00","-0,36","1,03","0,09",,"45,97","56,45",,
150,Planar,10,10,2 / 5,"0,96","0,97","1,79e-03","1,00","1,00","1,00","-0,4","1,37","0,07",,"45,99","56,45",,
150,Planar,10,10,3 / 5,"0,98","0,99","1,07e-03","1,00","1,00","1,00","-0,59","1,55","0,07",,"46,01","56,46",,
