{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,33","1,29","3,66e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,97","2,90","3,28",,
20,Planar,"2,5",0,1 / 2,"0,92","1,10","3,87e-03","1,00","1,00","1,00","-0,41","0,21","-0,31",,"2,78","3,27",,
20,Planar,"2,5",0,FINAL,"1,14","0,94","1,16e-03","1,00","1,00","1,00","-0,45","0,3","-0,13","3,97","2,76","3,21","5,01","69,42"
20,Planar,0,"2,5",INITIAL,"0,80","0,80","4,69e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,97","2,14",,
20,Planar,0,"2,5",1 / 2,"0,45","0,51","3,28e-04","1,00","1,00","1,00","-0,21","0,55","-0,27",,"1,55","1,77",,
20,Planar,0,"2,5",FINAL,"0,48","0,43","9,48e-05","1,00","1,00","1,00","-0,25","0,48","-0,3","2,50","1,51","1,73","23,18","60,56"
20,Planar,"2,5","2,5",INITIAL,"1,57","1,46","4,11e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,94","3,45","3,95",,
20,Planar,"2,5","2,5",1 / 2,"0,85","1,02","4,70e-03","1,00","1,00","1,00","-1,08","0,22","-1,75",,"2,76","3,24",,
20,Planar,"2,5","2,5",FINAL,"1,21","1,13","1,03e-03","1,00","1,00","1,00","-1,2","0,17","-1,46","4,94","2,79","3,22","19,19","56,51"
20,Planar,10,0,INITIAL,"4,56","4,95","5,17e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,27","10,72","12,84",,
20,Planar,10,0,1 / 2,"1,18","1,34","1,12e-01","1,00","1,00","1,00","-9,29","-1,06","-11,69",,"13,64","17,03",,
20,Planar,10,0,FINAL,"0,99","0,93","9,26e-02","1,00","1,00","1,00","-10,15","-1,89","-11,77","15,27","13,99","17,34","-30,52","91,58"
20,Planar,0,10,INITIAL,"2,61","2,51","6,56e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","6,14","6,73",,
20,Planar,0,10,1 / 2,"0,79","0,63","5,30e-04","1,00","1,00","1,00","-0,22","3,8","-1,25",,"4,80","5,64",,
20,Planar,0,10,FINAL,"0,86","0,72","3,35e-04","1,00","1,00","1,00","-0,2","3,78","-1,22","10,00","4,80","5,63","21,94","47,95"
20,Planar,10,10,INITIAL,"5,50","5,36","5,05e-01","1,00","1,00","1,00","0,0","0,0","0,0","18,60","13,33","15,74",,
20,Planar,10,10,1 / 2,"3,16","4,51","8,14e-02","0,99","0,99","1,00","-37,68","6,3","-26,48",,"24,40","29,55",,
20,Planar,10,10,FINAL,"1,15","1,29","6,57e-02","0,99","0,99","1,00","-38,62","7,32","-26,69","18,60","24,77","30,08","-85,76","133,17"
20,Gradual,0,"2,5",INITIAL,"1,34","1,23","6,19e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,03","2,26","2,68",,
20,Gradual,0,"2,5",1 / 2,"0,59","0,55","8,26e-04","1,00","1,00","1,00","-1,5","0,2","-1,07",,"1,63","1,96",,
20,Gradual,0,"2,5",FINAL,"0,67","0,55","3,84e-04","1,00","1,00","1,00","-1,59","0,07","-1,09","3,03","1,58","1,89","30,27","52,02"
20,Gradual,"2,5","2,5",INITIAL,"1,95","1,90","4,52e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,21","3,66","4,22",,
20,Gradual,"2,5","2,5",1 / 2,"0,86","0,98","6,63e-03","1,00","1,00","1,00","-5,27","-0,61","-1,97",,"3,00","3,58",,
20,Gradual,"2,5","2,5",FINAL,"1,12","0,95","2,74e-03","1,00","1,00","1,00","-5,22","-0,73","-1,99","5,21","2,99","3,51","18,40","57,40"
20,Gradual,0,10,INITIAL,"4,36","4,15","1,94e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,66","6,36","7,47",,
20,Gradual,0,10,1 / 2,"1,31","1,01","5,01e-03","1,00","1,00","1,00","-5,41","1,83","-3,72",,"3,77","4,48",,
20,Gradual,0,10,FINAL,"1,48","1,04","3,41e-03","1,00","1,00","1,00","-5,39","1,5","-4,12","10,66","3,66","4,34","42,51","34,33"
20,Gradual,10,10,INITIAL,"7,45","9,37","8,55e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,45","12,68","14,82",,
20,Gradual,10,10,1 / 2,"0,85","0,58","3,96e-02","1,00","1,00","1,00","-153,55","1,17","72,57",,"162,67","165,94",,
20,Gradual,10,10,FINAL,"1,26","0,89","2,52e-02","1,00","1,00","1,00","-154,23","1,07","73,17","19,45","162,91","166,20","-1184,61","837,49"
80,Planar,"2,5",0,INITIAL,"0,61","0,60","8,99e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,00","8,63","9,85",,
80,Planar,"2,5",0,1 / 2,"0,54","0,77","1,20e-02","1,00","1,00","1,00","-1,59","-3,09","-0,01",,"8,05","9,39",,
80,Planar,"2,5",0,FINAL,"0,71","0,89","1,31e-03","1,00","1,00","1,00","-0,9","-3,33","-0,12","4,00","7,95","9,27","7,81","199,00"
80,Planar,0,"2,5",INITIAL,"0,45","0,57","4,38e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,76","8,91",,
80,Planar,0,"2,5",1 / 2,"0,53","0,66","1,81e-03","1,00","1,00","1,00","0,34","-2,22","-0,38",,"7,08","8,32",,
80,Planar,0,"2,5",FINAL,"0,57","0,70","4,54e-04","1,00","1,00","1,00","0,32","-2,44","-0,36","2,50","7,06","8,32","9,00","282,49"
80,Planar,"2,5","2,5",INITIAL,"0,60","0,58","7,76e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,69","8,76","9,92",,
80,Planar,"2,5","2,5",1 / 2,"0,63","0,84","4,09e-03","1,00","1,00","1,00","3,71","-5,76","-0,44",,"8,33","9,50",,
80,Planar,"2,5","2,5",FINAL,"0,61","0,57","8,30e-04","1,00","1,00","1,00","3,15","-6,25","-0,58","4,69","8,15","9,35","7,05","173,55"
80,Planar,10,0,INITIAL,"1,36","1,44","5,10e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,67","22,46","27,90",,
80,Planar,10,0,1 / 2,"2,57","3,35","2,54e-02","1,00","1,00","1,00","-2,49","-3,26","-0,17",,"21,93","26,20",,
80,Planar,10,0,FINAL,"1,96","2,61","6,67e-03","1,00","1,00","1,00","-1,59","-3,65","-0,17","15,67","21,13","25,71","5,91","134,88"
80,Planar,0,10,INITIAL,"0,84","0,83","5,18e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","13,06","14,80",,
80,Planar,0,10,1 / 2,"0,56","0,53","2,99e-03","1,00","1,00","1,00","1,22","-4,02","-0,65",,"12,23","14,18",,
80,Planar,0,10,FINAL,"0,58","0,54","1,04e-03","1,00","1,00","1,00","1,33","-4,3","-0,74","10,00","12,21","14,16","6,54","122,10"
80,Planar,10,10,INITIAL,"1,77","1,82","6,45e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,17","26,58","32,97",,
80,Planar,10,10,1 / 2,"0,92","1,32","5,96e-02","1,00","1,00","1,00","0,12","-6,67","-8,51",,"22,77","28,98",,
80,Planar,10,10,FINAL,"1,06","1,03","3,62e-02","1,00","1,00","1,00","0,04","-7,15","-8,47","19,17","22,76","28,95","14,35","118,74"
80,Gradual,0,"2,5",INITIAL,"2,55","2,64","1,72e-01","1,00","1,00","1,00","0,0","0,0","0,0","22,80","26,24","34,31",,
80,Gradual,0,"2,5",1 / 2,"1,11","1,07","5,33e-02","1,00","1,00","1,00","-39,64","-22,22","-10,39",,"21,76","29,28",,
80,Gradual,0,"2,5",FINAL,"1,27","1,21","4,16e-02","1,00","1,00","1,00","-40,32","-21,22","-10,27","22,80","21,66","29,15","17,47","94,99"
80,Gradual,"2,5","2,5",INITIAL,"2,33","2,97","2,22e-01","1,00","1,00","1,00","0,0","0,0","0,0","22,48","26,87","34,84",,
80,Gradual,"2,5","2,5",1 / 2,"1,04","0,96","5,23e-02","1,00","1,00","1,00","-28,39","-44,83","-11,73",,"22,64","29,28",,
80,Gradual,"2,5","2,5",FINAL,"1,17","1,06","3,96e-02","1,00","1,00","1,00","-29,48","-46,09","-11,81","22,48","22,53","29,08","16,15","100,23"
80,Gradual,0,10,INITIAL,"4,81","4,72","3,84e-01","1,00","1,00","1,00","0,0","0,0","0,0","41,77","44,93","60,96",,
80,Gradual,0,10,1 / 2,"1,76","1,75","1,04e-01","0,99","0,99","0,99","-81,45","-40,76","-32,97",,"36,39","50,32",,
80,Gradual,0,10,FINAL,"1,92","1,74","7,78e-02","0,99","0,99","0,99","-86,53","-37,38","-33,23","41,77","36,30","49,93","19,21","86,91"
80,Gradual,10,10,INITIAL,"5,08","5,02","9,62e-01","1,00","1,00","1,00","0,0","0,0","0,0","46,68","49,83","65,01",,
80,Gradual,10,10,1 / 2,"1,62","1,85","1,57e-01","0,99","0,99","0,99","-74,8","-31,23","-27,57",,"40,47","56,11",,
80,Gradual,10,10,FINAL,"1,55","1,40","1,15e-01","0,99","0,99","0,99","-79,45","-32,37","-29,22","46,68","40,12","55,73","19,47","85,96"
150,Planar,"2,5",0,INITIAL,"0,46","0,48","1,64e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,14","17,59","20,40",,
150,Planar,"2,5",0,1 / 2,"0,46","0,67","1,31e-02","1,00","1,00","1,00","4,27","-5,13","-0,33",,"16,73","19,65",,
150,Planar,"2,5",0,FINAL,"0,49","0,72","2,17e-03","1,00","1,00","1,00","4,62","-5,79","-0,25","4,14","16,69","19,60","5,14","403,11"
150,Planar,0,"2,5",INITIAL,"0,47","0,46","1,41e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","15,53","17,97",,
150,Planar,0,"2,5",1 / 2,"0,43","0,46","8,52e-03","1,00","1,00","1,00","2,5","-2,04","-0,1",,"14,57","17,27",,
150,Planar,0,"2,5",FINAL,"0,50","0,53","1,94e-03","1,00","1,00","1,00","2,99","-2,82","-0,38","2,50","14,52","17,24","6,49","580,89"
150,Planar,"2,5","2,5",INITIAL,"0,53","0,54","2,04e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,80","17,31","20,12",,
150,Planar,"2,5","2,5",1 / 2,"0,90","0,95","1,78e-02","1,00","1,00","1,00","8,14","-13,68","-0,12",,"16,43","19,53",,
150,Planar,"2,5","2,5",FINAL,"0,93","0,99","5,37e-03","1,00","1,00","1,00","7,46","-14,74","-0,12","4,80","16,42","19,53","5,13","342,34"
150,Planar,10,0,INITIAL,"0,95","1,01","7,23e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,08","33,49","39,63",,
150,Planar,10,0,1 / 2,"1,07","1,36","7,24e-02","1,00","1,00","1,00","10,77","-8,38","-0,05",,"32,37","38,53",,
150,Planar,10,0,FINAL,"1,17","1,40","1,39e-02","1,00","1,00","1,00","10,46","-7,59","-0,21","16,08","32,38","38,46","3,32","201,36"
150,Planar,0,10,INITIAL,"0,69","0,70","1,48e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","19,08","22,81",,
150,Planar,0,10,1 / 2,"0,82","0,96","1,30e-02","1,00","1,00","1,00","1,22","-2,8","-0,51",,"18,13","22,00",,
150,Planar,0,10,FINAL,"0,84","0,99","4,19e-03","1,00","1,00","1,00","1,59","-3,68","-0,41","10,00","18,05","21,95","5,42","180,48"
150,Planar,10,10,INITIAL,"1,08","1,09","6,88e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,04","42,37","51,43",,
150,Planar,10,10,1 / 2,"1,02","1,16","7,88e-02","1,00","1,00","1,00","5,72","4,63","0,25",,"39,09","47,98",,
150,Planar,10,10,FINAL,"0,97","1,07","2,11e-02","1,00","1,00","1,00","4,75","5,15","0,01","20,04","38,97","47,86","8,03","194,45"
150,Gradual,0,"2,5",INITIAL,"2,74","2,76","6,98e-01","1,00","1,00","1,00","0,0","0,0","0,0","41,20","62,72","102,47",,
150,Gradual,0,"2,5",1 / 2,"1,65","1,60","2,72e-01","1,00","1,00","1,00","-43,99","-4,0","-7,6",,"58,51","99,84",,
150,Gradual,0,"2,5",FINAL,"1,80","1,68","2,07e-01","1,00","1,00","1,00","-54,68","-0,8","-8,23","41,20","58,12","99,27","7,34","141,09"
150,Gradual,"2,5","2,5",INITIAL,"3,18","3,15","9,29e-01","1,00","1,00","1,00","0,0","0,0","0,0","43,99","62,47","91,66",,
150,Gradual,"2,5","2,5",1 / 2,"1,02","0,88","3,44e-01","0,99","0,99","1,00","-65,07","-60,38","-30,52",,"53,44","82,35",,
150,Gradual,"2,5","2,5",FINAL,"1,09","1,01","2,44e-01","1,00","0,99","1,00","-68,51","-61,37","-30,01","43,99","53,21","82,13","14,83","120,96"
150,Gradual,0,10,INITIAL,"5,74","5,72","1,78e+00","1,00","1,00","1,00","0,0","0,0","0,0","71,88","90,02","128,47",,
150,Gradual,0,10,1 / 2,"6,12","7,35","9,36e-01","0,97","0,97","1,00","-138,47","42,15","-16,84",,"87,63","125,08",,
150,Gradual,0,10,FINAL,"5,51","6,10","7,57e-01","0,97","0,98","1,00","-151,69","39,43","-18,26","71,88","85,99","124,02","4,47","119,63"
150,Gradual,10,10,INITIAL,"5,89","6,42","1,77e+00","1,00","1,00","1,00","0,0","0,0","0,0","83,96","108,74","151,48",,
150,Gradual,10,10,1 / 2,"2,01","2,23","4,68e-01","0,98","0,99","0,99","-157,29","-6,41","-39,17",,"95,45","140,46",,
150,Gradual,10,10,FINAL,"1,68","1,65","3,83e-01","0,99","0,99","0,99","-170,47","-10,95","-41,44","83,96","95,21","140,08","12,44","113,40"
