{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,64","1,60","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,97","3,31","3,89",,
20,Planar,"2,5",0,1 / 5,"0,97","1,03","1,39e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,12","3,78",,
20,Planar,"2,5",0,2 / 5,"0,97","1,04","1,46e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,13","3,79",,
20,Planar,"2,5",0,3 / 5,"0,97","1,03","1,55e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,14","3,80",,
20,Planar,"2,5",0,4 / 5,"0,97","1,03","1,59e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,14","3,81",,
20,Planar,"2,5",0,FINAL,"0,97","1,03","1,63e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","3,97","3,15","3,81","4,95","79,20"
20,Planar,0,"2,5",INITIAL,"0,93","0,94","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,61","1,79",,
20,Planar,0,"2,5",1 / 5,"0,21","0,22","1,93e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,45","1,65",,
20,Planar,0,"2,5",2 / 5,"0,27","0,29","1,03e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,44","1,64",,
20,Planar,0,"2,5",3 / 5,"0,27","0,29","1,06e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,44","1,64",,
20,Planar,0,"2,5",4 / 5,"0,27","0,29","1,12e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,43","1,64",,
20,Planar,0,"2,5",FINAL,"0,27","0,29","1,16e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","1,43","1,63","11,12","57,21"
20,Planar,"2,5","2,5",INITIAL,"1,95","2,00","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,94","3,84","4,44",,
20,Planar,"2,5","2,5",1 / 5,"0,96","1,02","1,59e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,52","4,19",,
20,Planar,"2,5","2,5",2 / 5,"0,99","1,01","1,74e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,53","4,20",,
20,Planar,"2,5","2,5",3 / 5,"0,99","1,01","1,94e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,54","4,20",,
20,Planar,"2,5","2,5",4 / 5,"1,00","1,00","2,09e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,54","4,20",,
20,Planar,"2,5","2,5",FINAL,"1,00","1,00","2,30e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,94","3,54","4,21","7,87","71,61"
20,Planar,10,0,INITIAL,"5,77","6,09","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,27","13,64","16,73",,
20,Planar,10,0,1 / 5,"0,96","1,06","9,28e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"12,20","15,57",,
20,Planar,10,0,2 / 5,"0,79","1,19","1,04e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"12,68","16,12",,
20,Planar,10,0,3 / 5,"0,63","1,26","1,19e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"12,79","16,21",,
20,Planar,10,0,4 / 5,"0,91","1,09","1,16e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,16","16,68",,
20,Planar,10,0,FINAL,"0,92","1,08","1,14e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","15,27","13,39","17,01","1,79","87,70"
20,Planar,0,10,INITIAL,"3,22","3,36","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,77","6,37",,
20,Planar,0,10,1 / 5,"0,60","0,47","4,36e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,97","5,84",,
20,Planar,0,10,2 / 5,"0,70","0,53","3,02e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,96","5,83",,
20,Planar,0,10,3 / 5,"0,70","0,48","3,04e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,94","5,82",,
20,Planar,0,10,4 / 5,"0,68","0,44","3,16e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,93","5,80",,
20,Planar,0,10,FINAL,"0,66","0,42","3,29e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","4,92","5,79","14,74","49,19"
20,Planar,10,10,INITIAL,"6,93","6,89","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","18,60","15,61","18,65",,
20,Planar,10,10,1 / 5,"0,98","1,04","1,02e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,42","17,84",,
20,Planar,10,10,2 / 5,"0,89","1,11","1,08e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,65","18,00",,
20,Planar,10,10,3 / 5,"0,95","1,02","1,13e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,87","18,10",,
20,Planar,10,10,4 / 5,"0,96","1,02","1,20e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"15,14","18,37",,
20,Planar,10,10,FINAL,"0,99","1,01","1,23e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","18,60","15,36","18,63","1,62","82,59"
20,Gradual,0,"2,5",INITIAL,"1,61","1,52","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,03","1,93","2,39",,
20,Gradual,0,"2,5",1 / 5,"0,26","0,29","4,07e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,62","1,99",,
20,Gradual,0,"2,5",2 / 5,"0,35","0,37","3,62e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,58","1,93",,
20,Gradual,0,"2,5",3 / 5,"0,34","0,37","3,37e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,58","1,92",,
20,Gradual,0,"2,5",4 / 5,"0,31","0,32","4,22e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,56","1,90",,
20,Gradual,0,"2,5",FINAL,"0,32","0,33","3,88e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","3,03","1,56","1,89","19,35","51,28"
20,Gradual,"2,5","2,5",INITIAL,"2,38","2,34","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,21","3,97","4,70",,
20,Gradual,"2,5","2,5",1 / 5,"0,99","1,01","2,39e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,56","4,33",,
20,Gradual,"2,5","2,5",2 / 5,"0,99","1,01","2,75e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,57","4,36",,
20,Gradual,"2,5","2,5",3 / 5,"0,99","1,01","3,09e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,58","4,38",,
20,Gradual,"2,5","2,5",4 / 5,"0,98","1,02","3,26e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,59","4,39",,
20,Gradual,"2,5","2,5",FINAL,"0,98","1,02","3,40e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","5,21","3,59","4,40","9,56","68,97"
20,Gradual,0,10,INITIAL,"5,42","5,07","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,66","5,81","6,87",,
20,Gradual,0,10,1 / 5,"0,93","1,15","1,63e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,61","5,49",,
20,Gradual,0,10,2 / 5,"0,88","1,15","1,56e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,53","5,36",,
20,Gradual,0,10,3 / 5,"0,92","1,13","1,63e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,45","5,25",,
20,Gradual,0,10,4 / 5,"0,93","1,10","1,75e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,38","5,17",,
20,Gradual,0,10,FINAL,"0,92","1,06","1,88e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","10,66","4,32","5,10","25,73","40,49"
20,Gradual,10,10,INITIAL,"9,57","10,84","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,52","17,15",,
20,Gradual,10,10,1 / 5,"1,10","0,91","1,49e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"12,46","15,68",,
20,Gradual,10,10,2 / 5,"0,96","1,04","1,68e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,13","16,35",,
20,Gradual,10,10,3 / 5,"0,94","1,05","1,70e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,75","17,05",,
20,Gradual,10,10,4 / 5,"1,04","0,96","1,72e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,31","17,87",,
20,Gradual,10,10,FINAL,"1,01","0,99","1,79e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","19,45","14,86","18,52","-2,31","76,39"
80,Planar,"2,5",0,INITIAL,"0,62","0,61","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,00","9,86","11,76",,
80,Planar,"2,5",0,1 / 5,"0,55","0,54","2,78e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"9,84","11,75",,
80,Planar,"2,5",0,2 / 5,"0,57","0,56","1,41e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"9,85","11,75",,
80,Planar,"2,5",0,3 / 5,"0,57","0,56","1,54e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"9,84","11,75",,
80,Planar,"2,5",0,4 / 5,"0,57","0,56","1,70e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"9,84","11,75",,
80,Planar,"2,5",0,FINAL,"0,57","0,56","1,85e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","4,00","9,84","11,75","0,19","246,26"
80,Planar,0,"2,5",INITIAL,"0,45","0,58","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","8,80","10,78",,
80,Planar,0,"2,5",1 / 5,"0,38","0,37","1,74e-04","1,00","1,00","1,00","0,0","0,0","-0,0",,"8,78","10,77",,
80,Planar,0,"2,5",2 / 5,"0,40","0,39","8,87e-05","1,00","1,00","1,00","0,0","0,0","-0,0",,"8,77","10,76",,
80,Planar,0,"2,5",3 / 5,"0,40","0,39","9,48e-05","1,00","1,00","1,00","0,0","0,0","-0,0",,"8,77","10,76",,
80,Planar,0,"2,5",4 / 5,"0,40","0,39","1,02e-04","1,00","1,00","1,00","0,0","0,0","-0,0",,"8,77","10,76",,
80,Planar,0,"2,5",FINAL,"0,40","0,39","1,09e-04","1,00","1,00","1,00","0,0","0,0","-0,0","2,50","8,77","10,76","0,33","350,81"
80,Planar,"2,5","2,5",INITIAL,"0,60","0,61","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,69","10,26","12,05",,
80,Planar,"2,5","2,5",1 / 5,"0,49","0,49","2,57e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,19","12,01",,
80,Planar,"2,5","2,5",2 / 5,"0,51","0,51","1,47e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,20","12,01",,
80,Planar,"2,5","2,5",3 / 5,"0,51","0,51","1,55e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,20","12,01",,
80,Planar,"2,5","2,5",4 / 5,"0,51","0,50","1,70e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,20","12,01",,
80,Planar,"2,5","2,5",FINAL,"0,51","0,50","1,85e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","4,69","10,20","12,01","0,66","217,23"
80,Planar,10,0,INITIAL,"1,44","1,55","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,67","30,88","39,41",,
80,Planar,10,0,1 / 5,"0,96","1,04","1,29e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"30,57","39,25",,
80,Planar,10,0,2 / 5,"0,97","1,03","1,48e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,65","39,30",,
80,Planar,10,0,3 / 5,"0,97","1,03","1,67e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,71","39,34",,
80,Planar,10,0,4 / 5,"0,97","1,03","1,81e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,77","39,37",,
80,Planar,10,0,FINAL,"0,97","1,03","1,92e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","15,67","30,84","39,41","0,10","196,85"
80,Planar,0,10,INITIAL,"0,90","0,91","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,49","16,93",,
80,Planar,0,10,1 / 5,"0,39","0,41","2,21e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,14","16,73",,
80,Planar,0,10,2 / 5,"0,40","0,42","1,46e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,13","16,72",,
80,Planar,0,10,3 / 5,"0,40","0,42","1,46e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,13","16,72",,
80,Planar,0,10,4 / 5,"0,39","0,42","1,52e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,13","16,72",,
80,Planar,0,10,FINAL,"0,39","0,41","1,60e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","14,13","16,72","2,50","141,28"
80,Planar,10,10,INITIAL,"1,90","1,95","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,17","34,12","42,24",,
80,Planar,10,10,1 / 5,"0,98","1,02","2,49e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"33,49","41,84",,
80,Planar,10,10,2 / 5,"0,99","1,01","2,78e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"33,52","41,87",,
80,Planar,10,10,3 / 5,"0,99","1,01","3,12e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"33,54","41,89",,
80,Planar,10,10,4 / 5,"0,99","1,01","3,41e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"33,59","41,92",,
80,Planar,10,10,FINAL,"0,99","1,01","3,54e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","19,17","33,62","41,95","1,48","175,37"
80,Gradual,0,"2,5",INITIAL,"2,81","2,75","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","22,80","28,59","37,89",,
80,Gradual,0,"2,5",1 / 5,"0,99","1,00","1,12e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"27,23","36,98",,
80,Gradual,0,"2,5",2 / 5,"0,96","1,04","1,10e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"27,17","36,89",,
80,Gradual,0,"2,5",3 / 5,"0,96","1,04","1,19e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"27,11","36,82",,
80,Gradual,0,"2,5",4 / 5,"0,97","1,03","1,28e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"27,06","36,76",,
80,Gradual,0,"2,5",FINAL,"0,97","1,03","1,36e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","22,80","27,00","36,70","5,55","118,43"
80,Gradual,"2,5","2,5",INITIAL,"2,52","3,11","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","22,48","31,37","40,83",,
80,Gradual,"2,5","2,5",1 / 5,"0,95","1,05","1,22e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,42","40,05",,
80,Gradual,"2,5","2,5",2 / 5,"0,96","1,04","1,32e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,38","39,95",,
80,Gradual,"2,5","2,5",3 / 5,"0,98","1,02","1,50e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,33","39,85",,
80,Gradual,"2,5","2,5",4 / 5,"0,99","1,01","1,67e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,28","39,75",,
80,Gradual,"2,5","2,5",FINAL,"1,00","1,00","1,80e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","22,48","30,25","39,68","3,59","134,56"
80,Gradual,0,10,INITIAL,"5,45","5,00","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","41,77","48,64","66,71",,
80,Gradual,0,10,1 / 5,"1,01","0,99","4,89e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"45,65","64,78",,
80,Gradual,0,10,2 / 5,"0,98","1,02","4,92e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"45,42","64,54",,
80,Gradual,0,10,3 / 5,"0,99","1,02","5,26e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"45,24","64,37",,
80,Gradual,0,10,4 / 5,"0,99","1,01","5,62e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"45,05","64,18",,
80,Gradual,0,10,FINAL,"0,99","1,01","5,97e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","41,77","44,90","64,05","7,69","107,50"
80,Gradual,10,10,INITIAL,"5,67","5,30","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","46,68","56,27","73,26",,
80,Gradual,10,10,1 / 5,"1,00","1,00","8,08e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"52,47","71,20",,
80,Gradual,10,10,2 / 5,"0,99","1,01","8,10e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"52,37","71,09",,
80,Gradual,10,10,3 / 5,"0,99","1,01","8,56e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"52,21","70,96",,
80,Gradual,10,10,4 / 5,"0,99","1,01","8,88e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"52,11","70,86",,
80,Gradual,10,10,FINAL,"0,99","1,01","9,10e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","46,68","52,02","70,79","7,55","111,44"
150,Planar,"2,5",0,INITIAL,"0,48","0,50","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,14","19,71","23,74",,
150,Planar,"2,5",0,1 / 5,"0,46","0,46","1,38e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,71","23,74",,
150,Planar,"2,5",0,2 / 5,"0,46","0,47","8,51e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,71","23,74",,
150,Planar,"2,5",0,3 / 5,"0,46","0,47","9,63e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,72","23,74",,
150,Planar,"2,5",0,4 / 5,"0,46","0,47","1,12e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,72","23,74",,
150,Planar,"2,5",0,FINAL,"0,46","0,46","1,28e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","4,14","19,72","23,74","-0,01","476,35"
150,Planar,0,"2,5",INITIAL,"0,49","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","16,72","20,25",,
150,Planar,0,"2,5",1 / 5,"0,43","0,43","1,57e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"16,70","20,23",,
150,Planar,0,"2,5",2 / 5,"0,44","0,44","9,36e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"16,70","20,23",,
150,Planar,0,"2,5",3 / 5,"0,44","0,44","1,06e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"16,69","20,23",,
150,Planar,0,"2,5",4 / 5,"0,44","0,44","1,23e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"16,69","20,23",,
150,Planar,0,"2,5",FINAL,"0,44","0,44","1,38e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","16,69","20,23","0,18","667,71"
150,Planar,"2,5","2,5",INITIAL,"0,57","0,57","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,80","19,11","23,06",,
150,Planar,"2,5","2,5",1 / 5,"0,51","0,52","1,55e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,07","23,04",,
150,Planar,"2,5","2,5",2 / 5,"0,52","0,52","8,96e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,07","23,04",,
150,Planar,"2,5","2,5",3 / 5,"0,52","0,52","9,80e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,07","23,04",,
150,Planar,"2,5","2,5",4 / 5,"0,52","0,52","1,08e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,07","23,04",,
150,Planar,"2,5","2,5",FINAL,"0,52","0,52","1,18e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","4,80","19,07","23,04","0,21","397,47"
150,Planar,10,0,INITIAL,"1,02","1,09","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,08","40,44","48,32",,
150,Planar,10,0,1 / 5,"1,00","1,00","3,10e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"40,41","48,30",,
150,Planar,10,0,2 / 5,"1,01","1,00","2,96e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"40,41","48,31",,
150,Planar,10,0,3 / 5,"1,01","1,00","3,22e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"40,42","48,31",,
150,Planar,10,0,4 / 5,"1,01","0,99","3,56e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"40,42","48,31",,
150,Planar,10,0,FINAL,"1,01","0,99","3,67e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","16,08","40,42","48,31","0,04","251,39"
150,Planar,0,10,INITIAL,"0,75","0,77","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","20,16","24,73",,
150,Planar,0,10,1 / 5,"0,45","0,46","1,84e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,81","24,54",,
150,Planar,0,10,2 / 5,"0,45","0,47","1,35e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,80","24,54",,
150,Planar,0,10,3 / 5,"0,45","0,46","1,59e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,79","24,53",,
150,Planar,0,10,4 / 5,"0,44","0,46","1,84e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,79","24,53",,
150,Planar,0,10,FINAL,"0,44","0,45","2,09e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","19,79","24,53","1,82","197,90"
150,Planar,10,10,INITIAL,"1,21","1,22","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","20,04","50,96","63,03",,
150,Planar,10,10,1 / 5,"0,97","1,01","2,84e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"50,66","62,93",,
150,Planar,10,10,2 / 5,"0,97","1,00","1,78e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"50,65","62,93",,
150,Planar,10,10,3 / 5,"0,96","0,99","2,04e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"50,63","62,92",,
