{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,64","1,60","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,97","3,31","3,89",,
20,Planar,"2,5",0,1 / 5,"1,56","1,55","1,18e-05","1,00","1,00","1,00","-0,0","0,0","0,0",,"3,29","3,88",,
20,Planar,"2,5",0,2 / 5,"1,36","1,40","2,06e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"3,23","3,84",,
20,Planar,"2,5",0,3 / 5,"1,13","1,19","8,38e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"3,17","3,80",,
20,Planar,"2,5",0,4 / 5,"1,09","1,16","1,01e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"3,16","3,80",,
20,Planar,"2,5",0,FINAL,"1,09","1,15","1,09e-03","1,00","1,00","1,00","-0,0","0,0","0,0","3,97","3,16","3,80","4,67","79,44"
20,Planar,0,"2,5",INITIAL,"0,93","0,94","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,61","1,79",,
20,Planar,0,"2,5",1 / 5,"0,89","0,91","1,45e-07","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,60","1,78",,
20,Planar,0,"2,5",2 / 5,"0,89","0,91","1,30e-07","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,60","1,78",,
20,Planar,0,"2,5",3 / 5,"0,89","0,91","1,28e-07","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,60","1,78",,
20,Planar,0,"2,5",4 / 5,"0,89","0,91","1,28e-07","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,60","1,78",,
20,Planar,0,"2,5",FINAL,"0,89","0,91","1,26e-07","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","1,60","1,78","0,79","63,86"
20,Planar,"2,5","2,5",INITIAL,"1,95","2,00","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,94","3,84","4,44",,
20,Planar,"2,5","2,5",1 / 5,"1,71","1,77","5,59e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,76","4,37",,
20,Planar,"2,5","2,5",2 / 5,"1,39","1,44","4,86e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"3,66","4,30",,
20,Planar,"2,5","2,5",3 / 5,"1,17","1,19","1,37e-03","1,00","1,00","1,00","-0,0","0,02","-0,0",,"3,60","4,27",,
20,Planar,"2,5","2,5",4 / 5,"1,16","1,17","1,50e-03","1,00","1,00","1,00","-0,0","0,02","-0,0",,"3,61","4,28",,
20,Planar,"2,5","2,5",FINAL,"1,15","1,15","1,62e-03","1,00","1,00","1,00","-0,0","0,02","-0,0","4,94","3,61","4,28","6,07","73,01"
20,Planar,10,0,INITIAL,"5,77","6,09","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,27","13,64","16,73",,
20,Planar,10,0,1 / 5,"0,46","0,60","1,66e-01","1,00","1,00","1,00","-0,01","0,02","-0,01",,"15,19","19,20",,
20,Planar,10,0,2 / 5,"0,29","0,37","2,49e-01","1,00","1,00","1,00","-0,08","0,04","-0,07",,"18,22","23,25",,
20,Planar,10,0,3 / 5,"0,75","0,73","2,43e-01","1,00","1,00","1,00","-0,09","0,05","-0,07",,"18,50","23,54",,
20,Planar,10,0,4 / 5,"0,77","1,24","3,03e-01","1,00","1,00","1,00","-0,12","0,06","-0,11",,"20,14","25,49",,
20,Planar,10,0,FINAL,"0,63","0,78","3,14e-01","1,00","1,00","1,00","-0,12","0,06","-0,11","15,27","20,17","25,60","-47,94","132,10"
20,Planar,0,10,INITIAL,"3,22","3,36","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,77","6,37",,
20,Planar,0,10,1 / 5,"1,90","1,73","7,89e-05","1,00","1,00","1,00","0,0","0,02","-0,0",,"5,27","6,01",,
20,Planar,0,10,2 / 5,"1,12","0,92","2,12e-04","1,00","1,00","1,00","0,0","0,04","-0,0",,"5,06","5,88",,
20,Planar,0,10,3 / 5,"1,12","0,91","2,04e-04","1,00","1,00","1,00","0,0","0,04","-0,0",,"5,06","5,88",,
20,Planar,0,10,4 / 5,"1,12","0,92","1,94e-04","1,00","1,00","1,00","0,0","0,04","-0,0",,"5,05","5,88",,
20,Planar,0,10,FINAL,"1,13","0,92","1,89e-04","1,00","1,00","1,00","0,0","0,05","-0,0","10,00","5,05","5,88","12,40","50,54"
20,Planar,10,10,INITIAL,"6,93","6,89","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","18,60","15,61","18,65",,
20,Planar,10,10,1 / 5,"0,77","1,03","1,49e-01","1,00","1,00","1,00","-0,01","0,04","-0,0",,"16,36","20,27",,
20,Planar,10,10,2 / 5,"0,45","0,60","2,61e-01","1,00","1,00","1,00","-0,05","0,14","-0,04",,"19,29","24,16",,
20,Planar,10,10,3 / 5,"0,45","0,50","2,95e-01","1,00","1,00","1,00","-0,09","0,2","-0,07",,"20,91","26,10",,
20,Planar,10,10,4 / 5,"0,55","0,59","3,05e-01","1,00","1,00","1,00","-0,09","0,2","-0,08",,"21,11","26,35",,
20,Planar,10,10,FINAL,"0,47","0,47","3,02e-01","1,00","1,00","1,00","-0,1","0,21","-0,09","18,60","21,33","26,67","-36,61","114,69"
20,Gradual,0,"2,5",INITIAL,"1,61","1,52","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,03","1,93","2,39",,
20,Gradual,0,"2,5",1 / 5,"1,11","1,16","3,30e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,79","2,20",,
20,Gradual,0,"2,5",2 / 5,"0,97","1,05","5,37e-05","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,75","2,15",,
20,Gradual,0,"2,5",3 / 5,"0,96","1,05","5,37e-05","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,75","2,15",,
20,Gradual,0,"2,5",4 / 5,"0,96","1,05","5,35e-05","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,75","2,15",,
20,Gradual,0,"2,5",FINAL,"0,96","1,05","5,30e-05","1,00","1,00","1,00","-0,0","0,01","-0,0","3,03","1,75","2,15","9,21","57,73"
20,Gradual,"2,5","2,5",INITIAL,"2,38","2,34","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,21","3,97","4,70",,
20,Gradual,"2,5","2,5",1 / 5,"2,07","2,10","5,27e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,89","4,61",,
20,Gradual,"2,5","2,5",2 / 5,"1,52","1,61","6,11e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,74","4,48",,
20,Gradual,"2,5","2,5",3 / 5,"1,15","1,20","2,12e-03","1,00","1,00","1,00","-0,0","0,01","-0,0",,"3,65","4,41",,
20,Gradual,"2,5","2,5",4 / 5,"1,13","1,17","2,37e-03","1,00","1,00","1,00","-0,0","0,01","-0,0",,"3,65","4,41",,
20,Gradual,"2,5","2,5",FINAL,"1,11","1,14","2,63e-03","1,00","1,00","1,00","-0,0","0,01","-0,0","5,21","3,65","4,41","8,16","70,03"
20,Gradual,0,10,INITIAL,"5,42","5,07","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,66","5,81","6,87",,
20,Gradual,0,10,1 / 5,"4,71","4,48","3,28e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"5,55","6,57",,
20,Gradual,0,10,2 / 5,"2,49","2,62","5,77e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"4,89","5,81",,
20,Gradual,0,10,3 / 5,"0,87","1,05","2,00e-03","1,00","1,00","1,00","-0,0","0,02","-0,0",,"4,60","5,47",,
20,Gradual,0,10,4 / 5,"0,88","1,06","2,00e-03","1,00","1,00","1,00","-0,0","0,03","-0,0",,"4,60","5,47",,
20,Gradual,0,10,FINAL,"0,88","1,06","2,00e-03","1,00","1,00","1,00","-0,0","0,03","-0,0","10,66","4,60","5,47","20,87","43,14"
20,Gradual,10,10,INITIAL,"9,57","10,84","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,52","17,15",,
20,Gradual,10,10,1 / 5,"9,47","10,72","5,43e-06","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,49","17,12",,
20,Gradual,10,10,2 / 5,"0,45","0,51","3,60e-01","1,00","1,00","1,00","-0,15","0,26","-0,17",,"19,23","23,70",,
20,Gradual,10,10,3 / 5,"2,35","1,45","3,46e-01","1,00","1,00","1,00","-0,16","0,28","-0,17",,"19,83","24,37",,
20,Gradual,10,10,4 / 5,"0,33","0,34","4,60e-01","1,00","1,00","1,00","-0,26","0,35","-0,22",,"21,60","26,91",,
20,Gradual,10,10,FINAL,"0,73","0,77","5,30e-01","1,00","1,00","1,00","-0,32","0,37","-0,25","19,45","22,76","28,76","-56,70","116,99"
80,Planar,"2,5",0,INITIAL,"0,62","0,61","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,00","9,86","11,76",,
80,Planar,"2,5",0,1 / 5,"0,61","0,61","2,68e-07","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"9,86","11,76",,
80,Planar,"2,5",0,2 / 5,"0,61","0,61","1,77e-07","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"9,86","11,76",,
80,Planar,"2,5",0,3 / 5,"0,61","0,61","1,66e-07","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"9,86","11,76",,
80,Planar,"2,5",0,4 / 5,"0,61","0,61","1,66e-07","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"9,86","11,76",,
80,Planar,"2,5",0,FINAL,"0,61","0,61","1,65e-07","1,00","1,00","1,00","-0,0","-0,0","-0,0","4,00","9,86","11,76","0,01","246,73"
80,Planar,0,"2,5",INITIAL,"0,45","0,58","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","8,80","10,78",,
80,Planar,0,"2,5",1 / 5,"0,45","0,58","1,44e-07","1,00","1,00","1,00","0,0","0,0","-0,0",,"8,80","10,78",,
80,Planar,0,"2,5",2 / 5,"0,45","0,58","1,44e-07","1,00","1,00","1,00","0,0","0,0","-0,0",,"8,80","10,78",,
80,Planar,0,"2,5",3 / 5,"0,45","0,58","1,43e-07","1,00","1,00","1,00","0,0","0,0","-0,0",,"8,80","10,78",,
80,Planar,0,"2,5",4 / 5,"0,45","0,58","1,43e-07","1,00","1,00","1,00","0,0","0,0","-0,0",,"8,80","10,78",,
80,Planar,0,"2,5",FINAL,"0,45","0,58","1,42e-07","1,00","1,00","1,00","0,0","0,0","-0,0","2,50","8,80","10,78","0,00","351,96"
80,Planar,"2,5","2,5",INITIAL,"0,60","0,61","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,69","10,26","12,05",,
80,Planar,"2,5","2,5",1 / 5,"0,59","0,60","4,13e-06","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,26","12,05",,
80,Planar,"2,5","2,5",2 / 5,"0,59","0,60","4,10e-06","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,26","12,05",,
80,Planar,"2,5","2,5",3 / 5,"0,59","0,60","4,10e-06","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,26","12,05",,
80,Planar,"2,5","2,5",4 / 5,"0,59","0,60","4,09e-06","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,26","12,05",,
80,Planar,"2,5","2,5",FINAL,"0,59","0,60","4,09e-06","1,00","1,00","1,00","-0,0","0,0","-0,0","4,69","10,26","12,05","0,07","218,52"
80,Planar,10,0,INITIAL,"1,44","1,55","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,67","30,88","39,41",,
80,Planar,10,0,1 / 5,"1,35","1,45","4,94e-04","1,00","1,00","1,00","-0,0","0,0","0,0",,"30,83","39,38",,
80,Planar,10,0,2 / 5,"1,17","1,26","4,97e-03","1,00","1,00","1,00","-0,0","0,01","0,0",,"30,73","39,33",,
80,Planar,10,0,3 / 5,"0,96","1,05","1,92e-02","1,00","1,00","1,00","-0,01","0,02","0,0",,"30,62","39,28",,
80,Planar,10,0,4 / 5,"0,98","1,06","2,19e-02","1,00","1,00","1,00","-0,01","0,04","0,01",,"30,64","39,30",,
80,Planar,10,0,FINAL,"0,98","1,05","2,33e-02","1,00","1,00","1,00","-0,02","0,06","0,01","15,67","30,65","39,30","0,72","195,63"
80,Planar,0,10,INITIAL,"0,90","0,91","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,49","16,93",,
80,Planar,0,10,1 / 5,"0,84","0,86","6,32e-06","1,00","1,00","1,00","-0,0","0,01","-0,0",,"14,44","16,91",,
80,Planar,0,10,2 / 5,"0,82","0,84","7,90e-06","1,00","1,00","1,00","-0,0","0,03","-0,0",,"14,42","16,90",,
80,Planar,0,10,3 / 5,"0,82","0,84","7,31e-06","1,00","1,00","1,00","-0,0","0,04","-0,0",,"14,42","16,90",,
80,Planar,0,10,4 / 5,"0,82","0,84","7,11e-06","1,00","1,00","1,00","-0,0","0,04","-0,0",,"14,42","16,90",,
80,Planar,0,10,FINAL,"0,82","0,84","6,93e-06","1,00","1,00","1,00","-0,0","0,04","-0,0","10,00","14,42","16,90","0,47","144,23"
80,Planar,10,10,INITIAL,"1,90","1,95","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,17","34,12","42,24",,
80,Planar,10,10,1 / 5,"1,72","1,78","5,11e-04","1,00","1,00","1,00","-0,01","0,07","-0,0",,"33,99","42,16",,
80,Planar,10,10,2 / 5,"1,39","1,44","6,58e-03","1,00","1,00","1,00","-0,02","0,23","-0,01",,"33,79","42,03",,
80,Planar,10,10,3 / 5,"1,13","1,15","2,41e-02","1,00","1,00","1,00","-0,04","0,4","-0,02",,"33,66","41,97",,
80,Planar,10,10,4 / 5,"1,11","1,13","2,59e-02","1,00","1,00","1,00","-0,04","0,42","-0,02",,"33,65","41,96",,
80,Planar,10,10,FINAL,"1,11","1,13","2,67e-02","1,00","1,00","1,00","-0,04","0,43","-0,02","19,17","33,65","41,96","1,39","175,54"
80,Gradual,0,"2,5",INITIAL,"2,81","2,75","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","22,80","28,59","37,89",,
80,Gradual,0,"2,5",1 / 5,"2,21","2,19","1,08e-03","1,00","1,00","1,00","-0,02","0,19","-0,05",,"28,04","37,50",,
80,Gradual,0,"2,5",2 / 5,"0,98","1,00","1,16e-02","1,00","1,00","1,00","-0,11","0,82","-0,24",,"27,21","36,97",,
80,Gradual,0,"2,5",3 / 5,"0,98","1,00","1,15e-02","1,00","1,00","1,00","-0,12","0,87","-0,26",,"27,20","36,97",,
80,Gradual,0,"2,5",4 / 5,"0,98","1,00","1,15e-02","1,00","1,00","1,00","-0,12","0,87","-0,26",,"27,20","36,97",,
80,Gradual,0,"2,5",FINAL,"0,98","1,00","1,15e-02","1,00","1,00","1,00","-0,12","0,88","-0,26","22,80","27,20","36,97","4,85","119,30"
80,Gradual,"2,5","2,5",INITIAL,"2,52","3,11","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","22,48","31,37","40,83",,
80,Gradual,"2,5","2,5",1 / 5,"1,83","2,26","1,92e-03","1,00","1,00","1,00","0,0","0,44","-0,15",,"30,88","40,43",,
80,Gradual,"2,5","2,5",2 / 5,"0,93","1,02","1,49e-02","1,00","1,00","1,00","-0,04","1,55","-0,57",,"30,41","40,03",,
80,Gradual,"2,5","2,5",3 / 5,"0,95","1,05","1,49e-02","1,00","1,00","1,00","-0,05","1,78","-0,66",,"30,41","40,02",,
80,Gradual,"2,5","2,5",4 / 5,"0,95","1,05","1,50e-02","1,00","1,00","1,00","-0,06","1,86","-0,69",,"30,41","40,02",,
80,Gradual,"2,5","2,5",FINAL,"0,95","1,04","1,51e-02","1,00","1,00","1,00","-0,06","1,94","-0,72","22,48","30,40","40,01","3,09","135,26"
80,Gradual,0,10,INITIAL,"5,45","5,00","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","41,77","48,64","66,71",,
80,Gradual,0,10,1 / 5,"4,83","4,47","1,14e-03","1,00","1,00","1,00","-0,02","0,07","-0,03",,"48,03","66,29",,
80,Gradual,0,10,2 / 5,"2,73","2,79","1,76e-02","1,00","1,00","1,00","-0,13","0,76","-0,2",,"46,45","65,26",,
80,Gradual,0,10,3 / 5,"0,86","1,12","5,52e-02","1,00","1,00","1,00","-0,51","2,67","-0,71",,"45,67","64,76",,
80,Gradual,0,10,4 / 5,"0,86","1,13","5,53e-02","1,00","1,00","1,00","-0,52","2,71","-0,72",,"45,67","64,76",,
80,Gradual,0,10,FINAL,"0,87","1,13","5,54e-02","1,00","1,00","1,00","-0,52","2,73","-0,72","41,77","45,66","64,76","6,11","109,34"
80,Gradual,10,10,INITIAL,"5,67","5,30","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","46,68","56,27","73,26",,
80,Gradual,10,10,1 / 5,"4,91","4,69","1,40e-03","1,00","1,00","1,00","-0,04","0,14","-0,07",,"55,51","72,78",,
80,Gradual,10,10,2 / 5,"2,50","2,75","2,40e-02","1,00","1,00","1,00","-0,28","1,37","-0,46",,"53,59","71,67",,
80,Gradual,10,10,3 / 5,"1,27","1,28","7,01e-02","1,00","1,00","1,00","-0,59","2,7","-0,91",,"52,84","71,35",,
80,Gradual,10,10,4 / 5,"1,22","1,20","7,85e-02","1,00","1,00","1,00","-0,77","3,42","-1,17",,"52,83","71,34",,
80,Gradual,10,10,FINAL,"1,21","1,19","8,29e-02","1,00","1,00","1,00","-0,87","3,82","-1,32","46,68","52,83","71,33","6,11","113,19"
150,Planar,"2,5",0,INITIAL,"0,48","0,50","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,14","19,71","23,74",,
150,Planar,"2,5",0,1 / 5,"0,44","0,45","3,87e-04","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"19,71","23,74",,
150,Planar,"2,5",0,2 / 5,"0,44","0,45","3,79e-04","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"19,71","23,74",,
150,Planar,"2,5",0,3 / 5,"0,44","0,45","3,68e-04","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"19,71","23,74",,
150,Planar,"2,5",0,4 / 5,"0,44","0,46","3,51e-04","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"19,71","23,74",,
150,Planar,"2,5",0,FINAL,"0,44","0,46","3,36e-04","1,00","1,00","1,00","-0,0","-0,0","-0,0","4,14","19,71","23,74","0,03","476,17"
150,Planar,0,"2,5",INITIAL,"0,49","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","16,72","20,25",,
150,Planar,0,"2,5",1 / 5,"0,35","0,35","2,76e-03","1,00","1,00","1,00","-0,08","0,28","-0,03",,"16,72","20,25",,
150,Planar,0,"2,5",2 / 5,"0,38","0,38","1,89e-03","1,00","1,00","1,00","-0,11","0,41","-0,06",,"16,72","20,25",,
150,Planar,0,"2,5",3 / 5,"0,40","0,40","1,37e-03","1,00","1,00","1,00","-0,12","0,47","-0,08",,"16,71","20,24",,
150,Planar,0,"2,5",4 / 5,"0,41","0,41","1,19e-03","1,00","1,00","1,00","-0,13","0,5","-0,09",,"16,71","20,24",,
150,Planar,0,"2,5",FINAL,"0,42","0,42","1,13e-03","1,00","1,00","1,00","-0,13","0,5","-0,09","2,50","16,71","20,24","0,08","668,39"
150,Planar,"2,5","2,5",INITIAL,"0,57","0,57","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,80","19,11","23,06",,
150,Planar,"2,5","2,5",1 / 5,"0,49","0,50","8,92e-04","1,00","1,00","1,00","-0,0","0,01","0,0",,"19,08","23,04",,
150,Planar,"2,5","2,5",2 / 5,"0,50","0,50","7,97e-04","1,00","1,00","1,00","-0,0","0,01","0,0",,"19,08","23,04",,
150,Planar,"2,5","2,5",3 / 5,"0,50","0,50","7,10e-04","1,00","1,00","1,00","-0,0","0,02","0,0",,"19,08","23,04",,
150,Planar,"2,5","2,5",4 / 5,"0,51","0,52","4,60e-04","1,00","1,00","1,00","-0,01","0,04","0,0",,"19,08","23,04",,
150,Planar,"2,5","2,5",FINAL,"0,52","0,53","3,61e-04","1,00","1,00","1,00","-0,02","0,07","0,0","4,80","19,08","23,04","0,13","397,78"
150,Planar,10,0,INITIAL,"1,02","1,09","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,08","40,44","48,32",,
150,Planar,10,0,1 / 5,"0,91","0,91","4,16e-03","1,00","1,00","1,00","-0,03","0,07","0,0",,"40,35","48,28",,
150,Planar,10,0,2 / 5,"0,95","0,95","2,46e-03","1,00","1,00","1,00","-0,05","0,11","0,0",,"40,39","48,30",,
150,Planar,10,0,3 / 5,"0,96","0,96","2,01e-03","1,00","1,00","1,00","-0,05","0,13","0,0",,"40,40","48,30",,
150,Planar,10,0,4 / 5,"0,98","0,98","1,59e-03","1,00","1,00","1,00","-0,06","0,14","0,0",,"40,41","48,31",,
150,Planar,10,0,FINAL,"0,98","0,99","1,40e-03","1,00","1,00","1,00","-0,06","0,15","0,0","16,08","40,42","48,31","0,05","251,36"
150,Planar,0,10,INITIAL,"0,75","0,77","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","20,16","24,73",,
150,Planar,0,10,1 / 5,"0,39","0,40","2,48e-03","1,00","1,00","1,00","-0,2","0,88","-0,04",,"19,84","24,56",,
150,Planar,0,10,2 / 5,"0,40","0,41","2,13e-03","1,00","1,00","1,00","-0,22","0,96","-0,04",,"19,83","24,56",,
150,Planar,0,10,3 / 5,"0,40","0,41","2,00e-03","1,00","1,00","1,00","-0,23","0,99","-0,05",,"19,83","24,56",,
150,Planar,0,10,4 / 5,"0,40","0,42","1,87e-03","1,00","1,00","1,00","-0,24","1,03","-0,05",,"19,83","24,56",,
150,Planar,0,10,FINAL,"0,41","0,42","1,74e-03","1,00","1,00","1,00","-0,25","1,07","-0,05","10,00","19,83","24,56","1,64","198,28"
150,Planar,10,10,INITIAL,"1,21","1,22","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","20,04","50,96","63,03",,
150,Planar,10,10,1 / 5,"0,87","0,90","7,91e-03","1,00","1,00","1,00","-0,17","0,64","0,03",,"50,59","62,89",,
150,Planar,10,10,2 / 5,"0,89","0,92","6,63e-03","1,00","1,00","1,00","-0,25","0,92","0,05",,"50,61","62,90",,
150,Planar,10,10,3 / 5,"0,91","0,94","5,50e-03","1,00","1,00","1,00","-0,32","1,14","0,07",,"50,62","62,90",,
