{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,64","1,60","3,68e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,97","3,38","3,95",,
20,Planar,"2,5",0,1 / 5,"1,03","1,09","1,35e-02","1,00","1,00","1,00","-0,44","0,22","-0,7",,"3,49","4,19",,
20,Planar,"2,5",0,2 / 5,"0,99","1,05","2,20e-02","1,00","1,00","1,00","-0,45","0,29","0,05",,"4,01","5,03",,
20,Planar,"2,5",0,3 / 5,"0,94","1,09","2,33e-02","1,00","1,00","1,00","-0,27","-0,32","-1,0",,"4,04","5,01",,
20,Planar,"2,5",0,4 / 5,"0,95","1,05","2,56e-02","1,00","1,00","1,00","-0,8","-0,13","-0,54",,"4,27","5,30",,
20,Planar,"2,5",0,FINAL,"0,95","1,06","2,64e-02","1,00","1,00","1,00","-2,15","-1,33","-0,94","3,97","4,53","5,71","-33,77","113,94"
20,Planar,0,"2,5",INITIAL,"0,93","0,94","2,88e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,77","1,94",,
20,Planar,0,"2,5",1 / 5,"0,84","0,78","5,85e-04","1,00","1,00","1,00","-0,18","1,54","-0,11",,"1,62","1,78",,
20,Planar,0,"2,5",2 / 5,"0,39","0,38","4,29e-04","1,00","1,00","1,00","-0,21","1,53","-0,16",,"1,46","1,66",,
20,Planar,0,"2,5",3 / 5,"0,37","0,37","4,01e-04","1,00","1,00","1,00","-0,18","1,41","-0,14",,"1,45","1,65",,
20,Planar,0,"2,5",4 / 5,"0,37","0,37","3,98e-04","1,00","1,00","1,00","-0,18","1,41","-0,14",,"1,45","1,65",,
20,Planar,0,"2,5",FINAL,"0,37","0,38","3,92e-04","1,00","1,00","1,00","-0,18","1,4","-0,15","2,50","1,45","1,65","18,35","57,90"
20,Planar,"2,5","2,5",INITIAL,"1,95","2,00","3,90e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,94","3,89","4,48",,
20,Planar,"2,5","2,5",1 / 5,"1,02","1,04","2,08e-02","1,00","1,00","1,00","-0,57","0,98","-0,95",,"3,76","4,49",,
20,Planar,"2,5","2,5",2 / 5,"1,02","1,02","2,31e-02","1,00","1,00","1,00","-1,7","1,31","-3,5",,"3,74","4,55",,
20,Planar,"2,5","2,5",3 / 5,"0,99","1,04","2,36e-02","1,00","1,00","1,00","-2,53","1,54","-4,88",,"3,87","4,79",,
20,Planar,"2,5","2,5",4 / 5,"1,02","0,97","2,60e-02","1,00","1,00","1,00","-3,55","1,58","-6,78",,"4,37","5,45",,
20,Planar,"2,5","2,5",FINAL,"1,04","1,02","2,21e-02","1,00","1,00","1,00","-3,58","1,59","-6,92","4,94","4,37","5,39","-12,43","88,45"
20,Planar,10,0,INITIAL,"5,76","6,16","5,30e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,27","13,63","16,75",,
20,Planar,10,0,1 / 5,"8,87","7,66","1,30e-01","1,00","1,00","1,00","-1,28","3,68","-1,36",,"15,14","18,34",,
20,Planar,10,0,2 / 5,"3,32","4,68","9,30e-02","1,00","1,00","1,00","-1,53","0,94","-2,66",,"14,63","18,54",,
20,Planar,10,0,3 / 5,"0,85","1,16","3,84e-01","1,00","1,00","1,00","-8,84","8,09","-11,37",,"26,10","33,05",,
20,Planar,10,0,4 / 5,"0,84","0,98","7,21e-01","1,00","1,00","1,00","-18,1","-2,75","-13,31",,"36,13","45,29",,
20,Planar,10,0,FINAL,"0,96","1,07","8,72e-01","1,00","1,00","1,00","-27,47","-4,21","-17,92","15,27","40,52","50,20","-197,19","265,31"
20,Planar,0,10,INITIAL,"3,21","3,35","4,40e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,78","6,39",,
20,Planar,0,10,1 / 5,"1,25","0,78","1,71e-03","1,00","1,00","1,00","-0,04","4,97","-0,49",,"4,86","5,70",,
20,Planar,0,10,2 / 5,"0,74","0,46","1,66e-03","1,00","1,00","1,00","-0,62","4,15","-1,83",,"4,33","5,12",,
20,Planar,0,10,3 / 5,"0,77","0,49","1,58e-03","1,00","1,00","1,00","-0,39","4,13","-1,98",,"4,30","5,09",,
20,Planar,0,10,4 / 5,"0,81","0,56","1,51e-03","1,00","1,00","1,00","-0,45","4,15","-1,94",,"4,30","5,08",,
20,Planar,0,10,FINAL,"0,81","0,56","1,50e-03","1,00","1,00","1,00","-0,45","4,15","-1,94","10,00","4,30","5,08","25,59","43,01"
20,Planar,10,10,INITIAL,"6,94","6,96","4,99e-01","1,00","1,00","1,00","0,0","0,0","0,0","18,60","15,65","18,70",,
20,Planar,10,10,1 / 5,"5,17","5,99","5,21e-02","1,00","1,00","1,00","-1,59","5,03","-2,52",,"15,89","19,32",,
20,Planar,10,10,2 / 5,"1,08","1,16","3,75e-01","1,00","1,00","1,00","-8,45","4,95","-14,53",,"24,57","31,10",,
20,Planar,10,10,3 / 5,"0,84","1,11","6,01e-01","1,00","1,00","1,00","-17,95","1,35","-20,31",,"31,06","38,79",,
20,Planar,10,10,4 / 5,"0,72","0,79","9,11e-01","1,00","1,00","1,00","-31,42","-4,29","-26,53",,"38,93","48,16",,
20,Planar,10,10,FINAL,"0,78","0,84","1,10e+00","0,99","1,00","0,99","-34,7","-2,53","-31,68","18,60","41,85","51,64","-167,47","225,04"
20,Gradual,0,"2,5",INITIAL,"1,60","1,52","4,14e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,03","2,02","2,45",,
20,Gradual,0,"2,5",1 / 5,"1,22","1,03","1,49e-03","1,00","1,00","1,00","-0,7","3,18","-0,82",,"1,70","1,97",,
20,Gradual,0,"2,5",2 / 5,"0,49","0,42","1,05e-03","1,00","1,00","1,00","-0,66","1,79","-0,85",,"1,48","1,74",,
20,Gradual,0,"2,5",3 / 5,"0,51","0,45","1,03e-03","1,00","1,00","1,00","-0,72","1,84","-0,92",,"1,48","1,74",,
20,Gradual,0,"2,5",4 / 5,"0,53","0,46","1,00e-03","1,00","1,00","1,00","-0,78","1,87","-0,98",,"1,48","1,74",,
20,Gradual,0,"2,5",FINAL,"0,54","0,47","9,87e-04","1,00","1,00","1,00","-0,8","1,88","-1,0","3,03","1,48","1,74","26,80","48,66"
20,Gradual,"2,5","2,5",INITIAL,"2,36","2,35","4,54e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,21","4,05","4,75",,
20,Gradual,"2,5","2,5",1 / 5,"1,31","1,31","8,42e-03","1,00","1,00","1,00","-0,38","1,18","-0,36",,"3,70","4,50",,
20,Gradual,"2,5","2,5",2 / 5,"0,96","1,01","2,39e-02","1,00","1,00","1,00","-2,18","1,31","-2,22",,"4,48","5,81",,
20,Gradual,"2,5","2,5",3 / 5,"0,92","0,99","3,32e-02","1,00","1,00","1,00","-7,21","-1,1","-6,93",,"6,77","8,75",,
20,Gradual,"2,5","2,5",4 / 5,"0,94","1,00","3,39e-02","1,00","1,00","1,00","-8,27","-1,76","-7,09",,"6,68","8,73",,
20,Gradual,"2,5","2,5",FINAL,"0,98","1,05","3,32e-02","1,00","1,00","1,00","-10,31","-2,26","-7,48","5,21","6,90","8,96","-70,62","132,49"
20,Gradual,0,10,INITIAL,"5,35","5,16","1,80e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,66","5,84","6,86",,
20,Gradual,0,10,1 / 5,"5,13","4,48","1,60e-02","1,00","1,00","1,00","-2,49","10,88","-2,22",,"5,49","6,16",,
20,Gradual,0,10,2 / 5,"1,08","0,91","6,28e-03","1,00","1,00","1,00","-2,07","5,87","-2,52",,"4,07","4,75",,
20,Gradual,0,10,3 / 5,"1,07","0,92","5,94e-03","1,00","1,00","1,00","-2,2","5,71","-2,66",,"4,00","4,66",,
20,Gradual,0,10,4 / 5,"0,99","0,87","5,95e-03","1,00","1,00","1,00","-2,27","5,43","-2,88",,"3,90","4,55",,
20,Gradual,0,10,FINAL,"1,00","0,88","5,92e-03","1,00","1,00","1,00","-2,28","5,44","-2,89","10,66","3,90","4,55","33,23","36,56"
20,Gradual,10,10,INITIAL,"9,41","11,49","8,32e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,57","17,17",,
20,Gradual,10,10,1 / 5,"6,89","6,78","1,63e-01","1,00","1,00","1,00","-4,33","4,58","-6,06",,"13,90","17,46",,
20,Gradual,10,10,2 / 5,"0,90","1,03","4,30e-01","1,00","1,00","1,00","-12,4","-1,04","-13,01",,"22,56","28,47",,
20,Gradual,10,10,3 / 5,"1,02","1,03","8,82e-01","1,00","1,00","1,00","-25,85","-7,05","-22,09",,"33,44","41,63",,
20,Gradual,10,10,4 / 5,"0,79","0,75","1,13e+00","1,00","1,00","0,99","-32,55","-9,32","-25,93",,"38,14","46,94",,
20,Gradual,10,10,FINAL,"0,95","0,94","1,31e+00","0,99","1,00","0,99","-41,56","-10,74","-26,08","19,45","41,28","51,34","-183,30","212,21"
80,Planar,"2,5",0,INITIAL,"0,62","0,61","8,36e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,00","10,39","12,10",,
80,Planar,"2,5",0,1 / 5,"0,66","0,55","1,42e-02","1,00","1,00","1,00","-0,25","-0,1","-0,16",,"10,01","11,93",,
80,Planar,"2,5",0,2 / 5,"0,62","0,56","4,63e-03","1,00","1,00","1,00","-0,18","-1,22","-0,13",,"9,91","11,86",,
80,Planar,"2,5",0,3 / 5,"0,64","0,58","2,15e-03","1,00","1,00","1,00","-0,15","-1,33","-0,11",,"9,90","11,85",,
80,Planar,"2,5",0,4 / 5,"0,64","0,59","2,08e-03","1,00","1,00","1,00","-0,14","-1,32","-0,12",,"9,90","11,85",,
80,Planar,"2,5",0,FINAL,"0,64","0,59","2,01e-03","1,00","1,00","1,00","-0,14","-1,31","-0,12","4,00","9,90","11,85","4,71","247,63"
80,Planar,0,"2,5",INITIAL,"0,45","0,58","3,90e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","9,32","11,12",,
80,Planar,0,"2,5",1 / 5,"0,51","0,45","5,96e-03","1,00","1,00","1,00","0,02","1,38","-0,26",,"8,93","10,87",,
80,Planar,0,"2,5",2 / 5,"0,54","0,46","6,23e-04","1,00","1,00","1,00","-0,24","1,54","-0,22",,"8,83","10,80",,
80,Planar,0,"2,5",3 / 5,"0,50","0,44","2,65e-04","1,00","1,00","1,00","-0,32","1,48","-0,24",,"8,80","10,78",,
80,Planar,0,"2,5",4 / 5,"0,51","0,45","2,02e-04","1,00","1,00","1,00","-0,35","1,44","-0,24",,"8,80","10,78",,
80,Planar,0,"2,5",FINAL,"0,51","0,45","1,98e-04","1,00","1,00","1,00","-0,35","1,45","-0,24","2,50","8,80","10,78","5,60","352,06"
80,Planar,"2,5","2,5",INITIAL,"0,60","0,61","7,21e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,69","10,65","12,32",,
80,Planar,"2,5","2,5",1 / 5,"0,70","0,57","1,10e-02","1,00","1,00","1,00","-0,19","1,57","-0,34",,"10,36","12,19",,
80,Planar,"2,5","2,5",2 / 5,"0,53","0,48","4,12e-03","1,00","1,00","1,00","-0,18","-0,57","-0,24",,"10,23","12,10",,
80,Planar,"2,5","2,5",3 / 5,"0,53","0,50","3,16e-03","1,00","1,00","1,00","-0,23","-0,64","-0,03",,"10,21","12,09",,
80,Planar,"2,5","2,5",4 / 5,"0,53","0,50","3,10e-03","1,00","1,00","1,00","-0,22","-0,64","-0,08",,"10,21","12,09",,
80,Planar,"2,5","2,5",FINAL,"0,53","0,50","3,11e-03","1,00","1,00","1,00","-0,21","-0,64","-0,09","4,69","10,21","12,09","4,10","217,57"
80,Planar,10,0,INITIAL,"1,44","1,55","5,18e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,67","31,08","39,48",,
80,Planar,10,0,1 / 5,"1,09","1,16","5,22e-02","1,00","1,00","1,00","0,14","0,57","-0,53",,"31,39","39,88",,
80,Planar,10,0,2 / 5,"0,97","1,02","5,40e-02","1,00","1,00","1,00","-0,29","0,25","-0,77",,"31,57","40,07",,
80,Planar,10,0,3 / 5,"1,00","1,08","4,68e-02","1,00","1,00","1,00","-0,88","0,06","-0,94",,"31,72","40,25",,
80,Planar,10,0,4 / 5,"0,97","1,03","5,22e-02","1,00","1,00","1,00","-1,13","0,21","-0,86",,"31,74","40,30",,
80,Planar,10,0,FINAL,"0,96","1,04","5,40e-02","1,00","1,00","1,00","-2,42","0,91","-1,03","15,67","32,01","40,65","-3,01","204,31"
80,Planar,0,10,INITIAL,"0,90","0,91","4,46e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,82","17,18",,
80,Planar,0,10,1 / 5,"0,42","0,42","2,52e-03","1,00","1,00","1,00","-0,69","1,7","-0,43",,"14,17","16,73",,
80,Planar,0,10,2 / 5,"0,39","0,39","1,98e-03","1,00","1,00","1,00","-1,02","0,51","-0,8",,"14,15","16,69",,
80,Planar,0,10,3 / 5,"0,39","0,39","1,96e-03","1,00","1,00","1,00","-1,02","0,52","-0,81",,"14,15","16,69",,
80,Planar,0,10,4 / 5,"0,39","0,40","1,93e-03","1,00","1,00","1,00","-1,02","0,52","-0,81",,"14,15","16,69",,
80,Planar,0,10,FINAL,"0,39","0,40","1,87e-03","1,00","1,00","1,00","-1,01","0,52","-0,82","10,00","14,14","16,69","4,53","141,45"
80,Planar,10,10,INITIAL,"1,90","1,95","6,40e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,17","34,15","42,27",,
80,Planar,10,10,1 / 5,"1,25","1,33","5,40e-02","1,00","1,00","1,00","-0,6","-0,58","-2,07",,"34,18","42,39",,
80,Planar,10,10,2 / 5,"1,01","1,03","8,53e-02","1,00","1,00","1,00","-1,35","-1,33","-3,86",,"34,36","42,76",,
80,Planar,10,10,3 / 5,"0,94","1,02","1,04e-01","1,00","1,00","1,00","-3,9","-0,92","-9,29",,"36,62","45,19",,
80,Planar,10,10,4 / 5,"0,89","0,98","1,08e-01","1,00","1,00","1,00","-7,71","-1,28","-10,58",,"37,57","46,40",,
80,Planar,10,10,FINAL,"1,04","1,15","1,08e-01","1,00","1,00","1,00","-21,99","-1,66","-13,73","19,17","40,85","50,62","-19,64","213,10"
80,Gradual,0,"2,5",INITIAL,"2,77","2,80","1,66e-01","1,00","1,00","1,00","0,0","0,0","0,0","22,80","28,78","37,91",,
80,Gradual,0,"2,5",1 / 5,"2,16","1,86","6,47e-02","1,00","1,00","1,00","-8,55","-0,89","-5,52",,"27,56","36,82",,
80,Gradual,0,"2,5",2 / 5,"0,78","0,72","4,12e-02","1,00","1,00","1,00","-20,37","-16,86","-8,15",,"26,23","35,71",,
80,Gradual,0,"2,5",3 / 5,"1,11","1,06","2,82e-02","1,00","1,00","1,00","-22,43","-18,38","-8,37",,"26,20","35,53",,
80,Gradual,0,"2,5",4 / 5,"1,12","1,07","2,76e-02","1,00","1,00","1,00","-22,51","-18,45","-8,44",,"26,19","35,51",,
80,Gradual,0,"2,5",FINAL,"1,13","1,09","2,70e-02","1,00","1,00","1,00","-22,68","-18,52","-8,53","22,80","26,19","35,49","9,02","114,84"
80,Gradual,"2,5","2,5",INITIAL,"2,48","3,20","2,25e-01","1,00","1,00","1,00","0,0","0,0","0,0","22,48","31,53","40,90",,
80,Gradual,"2,5","2,5",1 / 5,"1,03","0,97","3,79e-02","1,00","1,00","1,00","-13,09","-16,24","-5,83",,"30,21","39,42",,
80,Gradual,"2,5","2,5",2 / 5,"1,02","0,97","3,68e-02","1,00","1,00","1,00","-13,68","-16,93","-5,93",,"30,18","39,37",,
80,Gradual,"2,5","2,5",3 / 5,"1,04","0,99","3,63e-02","1,00","1,00","1,00","-13,95","-17,19","-5,97",,"30,17","39,35",,
80,Gradual,"2,5","2,5",4 / 5,"1,06","1,01","3,57e-02","1,00","1,00","1,00","-14,16","-17,4","-5,96",,"30,17","39,34",,
80,Gradual,"2,5","2,5",FINAL,"1,07","1,02","3,54e-02","1,00","1,00","1,00","-14,34","-17,57","-5,97","22,48","30,16","39,33","4,36","134,17"
80,Gradual,0,10,INITIAL,"5,29","5,16","3,71e-01","1,00","1,00","1,00","0,0","0,0","0,0","41,77","48,78","66,67",,
80,Gradual,0,10,1 / 5,"1,09","1,02","8,85e-02","0,99","0,99","1,00","-25,42","-12,29","-12,01",,"45,03","63,85",,
80,Gradual,0,10,2 / 5,"1,04","0,99","8,64e-02","0,99","0,99","1,00","-27,52","-13,7","-12,16",,"44,98","63,79",,
80,Gradual,0,10,3 / 5,"1,02","0,98","8,62e-02","0,99","0,99","1,00","-28,91","-14,55","-12,33",,"44,94","63,74",,
80,Gradual,0,10,4 / 5,"1,05","1,01","8,48e-02","0,99","0,99","1,00","-30,74","-15,61","-12,54",,"44,91","63,69",,
80,Gradual,0,10,FINAL,"1,18","1,14","8,25e-02","0,99","0,99","1,00","-32,44","-16,62","-12,57","41,77","44,91","63,64","7,94","107,52"
80,Gradual,10,10,INITIAL,"5,53","5,44","9,39e-01","1,00","1,00","1,00","0,0","0,0","0,0","46,68","56,20","73,09",,
80,Gradual,10,10,1 / 5,"1,56","1,53","1,38e-01","0,99","0,99","1,00","-41,61","-28,48","-19,72",,"52,37","71,00",,
80,Gradual,10,10,2 / 5,"1,21","1,26","1,89e-01","0,99","0,99","1,00","-64,43","-39,74","-26,49",,"53,70","71,78",,
80,Gradual,10,10,3 / 5,"1,40","1,42","1,52e-01","0,99","0,99","1,00","-66,44","-35,71","-27,0",,"53,90","71,74",,
80,Gradual,10,10,4 / 5,"1,02","1,07","1,85e-01","0,99","0,99","1,00","-69,04","-34,89","-27,39",,"54,02","71,85",,
80,Gradual,10,10,FINAL,"0,95","1,00","2,48e-01","0,99","0,99","0,99","-99,89","-29,58","-36,0","46,68","57,30","74,58","-1,97","122,76"
150,Planar,"2,5",0,INITIAL,"0,48","0,50","1,54e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,14","20,50","24,22",,
150,Planar,"2,5",0,1 / 5,"0,46","0,42","1,47e-02","1,00","1,00","1,00","0,69","-1,67","-0,27",,"19,84","23,85",,
150,Planar,"2,5",0,2 / 5,"0,44","0,41","3,72e-03","1,00","1,00","1,00","1,68","-3,07","-0,29",,"19,77","23,80",,
150,Planar,"2,5",0,3 / 5,"0,44","0,41","3,56e-03","1,00","1,00","1,00","1,71","-3,07","-0,26",,"19,77","23,80",,
150,Planar,"2,5",0,4 / 5,"0,44","0,41","3,46e-03","1,00","1,00","1,00","1,72","-3,07","-0,26",,"19,77","23,80",,
150,Planar,"2,5",0,FINAL,"0,44","0,42","3,32e-03","1,00","1,00","1,00","1,75","-3,06","-0,26","4,14","19,77","23,80","3,57","477,69"
150,Planar,0,"2,5",INITIAL,"0,49","0,49","1,33e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","17,68","20,86",,
150,Planar,0,"2,5",1 / 5,"0,43","0,41","6,22e-03","1,00","1,00","1,00","0,36","0,8","-0,27",,"16,76","20,25",,
150,Planar,0,"2,5",2 / 5,"0,43","0,41","6,03e-03","1,00","1,00","1,00","0,34","0,77","-0,26",,"16,76","20,25",,
150,Planar,0,"2,5",3 / 5,"0,43","0,41","5,84e-03","1,00","1,00","1,00","0,34","0,75","-0,25",,"16,76","20,25",,
150,Planar,0,"2,5",4 / 5,"0,48","0,46","9,67e-04","1,00","1,00","1,00","0,51","0,27","-0,29",,"16,69","20,21",,
150,Planar,0,"2,5",FINAL,"0,48","0,46","9,49e-04","1,00","1,00","1,00","0,51","0,26","-0,28","2,50","16,69","20,21","5,56","667,78"
150,Planar,"2,5","2,5",INITIAL,"0,57","0,57","1,92e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,80","20,05","23,64",,
150,Planar,"2,5","2,5",1 / 5,"0,51","0,48","1,07e-02","1,00","1,00","1,00","0,16","-0,53","-0,12",,"19,17","23,10",,
150,Planar,"2,5","2,5",2 / 5,"0,49","0,49","1,69e-03","1,00","1,00","1,00","1,08","-2,88","-0,26",,"19,10","23,04",,
150,Planar,"2,5","2,5",3 / 5,"0,49","0,49","1,47e-03","1,00","1,00","1,00","1,1","-2,88","-0,26",,"19,10","23,04",,
150,Planar,"2,5","2,5",4 / 5,"0,50","0,50","1,34e-03","1,00","1,00","1,00","1,11","-2,88","-0,27",,"19,10","23,04",,
150,Planar,"2,5","2,5",FINAL,"0,50","0,50","1,19e-03","1,00","1,00","1,00","1,11","-2,88","-0,27","4,80","19,10","23,04","4,73","398,15"
150,Planar,10,0,INITIAL,"1,02","1,09","7,33e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,08","40,88","48,54",,
150,Planar,10,0,1 / 5,"1,02","0,98","1,24e-02","1,00","1,00","1,00","0,49","-0,59","0,35",,"40,48","48,44",,
150,Planar,10,0,2 / 5,"0,97","0,95","7,34e-03","1,00","1,00","1,00","2,82","-0,8","-0,18",,"40,43","48,42",,
150,Planar,10,0,3 / 5,"1,00","0,97","2,25e-03","1,00","1,00","1,00","2,89","-0,78","-0,2",,"40,44","48,43",,
150,Planar,10,0,4 / 5,"1,01","0,98","1,49e-03","1,00","1,00","1,00","3,07","-0,68","-0,21",,"40,45","48,43",,
150,Planar,10,0,FINAL,"1,01","0,99","1,14e-03","1,00","1,00","1,00","3,1","-0,67","-0,21","16,08","40,46","48,43","1,04","251,60"
150,Planar,0,10,INITIAL,"0,75","0,77","1,38e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","21,09","25,30",,
150,Planar,0,10,1 / 5,"0,43","0,43","8,90e-03","1,00","1,00","1,00","-0,76","-0,75","-0,12",,"19,94","24,61",,
150,Planar,0,10,2 / 5,"0,44","0,44","8,50e-03","1,00","1,00","1,00","-0,66","-0,76","-0,25",,"19,93","24,61",,
150,Planar,0,10,3 / 5,"0,44","0,44","8,37e-03","1,00","1,00","1,00","-0,64","-0,77","-0,26",,"19,93","24,61",,
150,Planar,0,10,4 / 5,"0,44","0,44","8,24e-03","1,00","1,00","1,00","-0,62","-0,77","-0,27",,"19,93","24,61",,
150,Planar,0,10,FINAL,"0,44","0,44","8,11e-03","1,00","1,00","1,00","-0,6","-0,78","-0,28","10,00","19,93","24,61","5,53","199,27"
150,Planar,10,10,INITIAL,"1,21","1,22","7,18e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,04","51,30","63,23",,
150,Planar,10,10,1 / 5,"0,99","1,00","2,97e-02","1,00","1,00","1,00","-0,79","3,79","0,01",,"50,66","63,16",,
150,Planar,10,10,2 / 5,"0,83","0,91","1,23e-02","1,00","1,00","1,00","0,44","1,87","-0,21",,"50,60","63,11",,
