{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,64","1,60","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,97","3,31","3,89",,
20,Planar,"2,5",0,1 / 5,"1,01","1,08","1,21e-02","1,00","1,00","1,00","-0,16","0,35","-0,1",,"3,32","4,04",,
20,Planar,"2,5",0,2 / 5,"0,96","1,05","2,09e-02","1,00","1,00","1,00","-0,56","0,25","-1,01",,"3,67","4,71",,
20,Planar,"2,5",0,3 / 5,"1,04","1,04","2,67e-02","1,00","1,00","1,00","-1,79","0,18","-2,55",,"4,17","5,56",,
20,Planar,"2,5",0,4 / 5,"1,11","1,17","2,83e-02","1,00","1,00","1,00","-1,64","0,18","-2,98",,"4,34","5,75",,
20,Planar,"2,5",0,FINAL,"1,01","1,02","4,65e-02","1,00","1,00","1,00","-2,95","0,05","-5,11","3,97","5,45","8,00","-64,65","137,20"
20,Planar,0,"2,5",INITIAL,"0,93","0,94","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,61","1,79",,
20,Planar,0,"2,5",1 / 5,"0,32","0,34","2,47e-04","1,00","1,00","1,00","-0,1","1,09","-0,05",,"1,45","1,66",,
20,Planar,0,"2,5",2 / 5,"0,34","0,35","4,75e-04","1,00","1,00","1,00","-0,15","1,64","0,03",,"1,42","1,64",,
20,Planar,0,"2,5",3 / 5,"0,35","0,37","3,99e-04","1,00","1,00","1,00","-0,17","1,2","-0,18",,"1,42","1,63",,
20,Planar,0,"2,5",4 / 5,"0,36","0,38","3,91e-04","1,00","1,00","1,00","-0,18","1,21","-0,19",,"1,42","1,63",,
20,Planar,0,"2,5",FINAL,"0,38","0,40","3,14e-04","1,00","1,00","1,00","-0,17","1,19","-0,16","2,50","1,41","1,62","12,37","56,41"
20,Planar,"2,5","2,5",INITIAL,"1,95","2,00","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,94","3,84","4,44",,
20,Planar,"2,5","2,5",1 / 5,"1,11","1,14","1,16e-02","1,00","1,00","1,00","-0,42","1,57","-0,59",,"3,69","4,35",,
20,Planar,"2,5","2,5",2 / 5,"1,00","1,00","1,98e-02","1,00","1,00","1,00","-1,16","1,47","-1,93",,"3,80","4,61",,
20,Planar,"2,5","2,5",3 / 5,"1,04","1,00","2,30e-02","1,00","1,00","1,00","-1,8","1,65","-3,43",,"3,94","4,68",,
20,Planar,"2,5","2,5",4 / 5,"1,02","1,01","2,30e-02","1,00","1,00","1,00","-2,34","1,52","-4,17",,"3,98","4,76",,
20,Planar,"2,5","2,5",FINAL,"1,02","0,98","2,46e-02","1,00","1,00","1,00","-2,42","1,84","-4,54","4,94","4,04","4,81","-5,16","81,73"
20,Planar,10,0,INITIAL,"5,77","6,09","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,27","13,64","16,73",,
20,Planar,10,0,1 / 5,"4,64","5,77","1,09e-02","1,00","1,00","1,00","-0,36","0,98","-0,39",,"13,46","16,66",,
20,Planar,10,0,2 / 5,"2,75","4,63","1,12e-01","1,00","1,00","1,00","-1,01","0,99","-1,16",,"15,15","18,98",,
20,Planar,10,0,3 / 5,"1,25","1,54","3,28e-01","1,00","1,00","1,00","-6,61","1,02","-10,19",,"23,68","30,64",,
20,Planar,10,0,4 / 5,"0,93","1,23","5,16e-01","1,00","1,00","1,00","-8,93","0,07","-10,99",,"27,99","36,77",,
20,Planar,10,0,FINAL,"1,09","1,39","8,26e-01","1,00","1,00","1,00","-17,19","-2,57","-17,75","15,27","36,16","48,88","-165,21","236,82"
20,Planar,0,10,INITIAL,"3,22","3,36","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,77","6,37",,
20,Planar,0,10,1 / 5,"1,09","0,73","6,32e-04","1,00","1,00","1,00","-0,02","3,22","-0,35",,"4,94","5,78",,
20,Planar,0,10,2 / 5,"0,94","0,57","1,04e-03","1,00","1,00","1,00","-0,19","3,84","-0,77",,"4,78","5,61",,
20,Planar,0,10,3 / 5,"0,89","0,54","1,28e-03","1,00","1,00","1,00","-0,35","4,02","-1,41",,"4,53","5,34",,
20,Planar,0,10,4 / 5,"0,91","0,58","1,27e-03","1,00","1,00","1,00","-0,37","4,05","-1,42",,"4,53","5,34",,
20,Planar,0,10,FINAL,"0,92","0,59","1,27e-03","1,00","1,00","1,00","-0,38","4,07","-1,43","10,00","4,53","5,33","21,51","45,29"
20,Planar,10,10,INITIAL,"6,93","6,89","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","18,60","15,61","18,65",,
20,Planar,10,10,1 / 5,"5,14","5,48","1,14e-02","1,00","1,00","1,00","-0,59","3,2","-0,56",,"15,17","18,38",,
20,Planar,10,10,2 / 5,"3,86","4,73","5,41e-02","1,00","1,00","1,00","-1,32","4,81","-1,89",,"15,47","18,74",,
20,Planar,10,10,3 / 5,"0,81","0,91","4,37e-01","1,00","1,00","1,00","-12,61","1,94","-12,89",,"26,94","34,11",,
20,Planar,10,10,4 / 5,"0,83","0,85","8,86e-01","1,00","1,00","1,00","-28,84","0,76","-28,18",,"39,35","47,73",,
20,Planar,10,10,FINAL,"0,89","0,89","1,01e+00","0,99","1,00","0,99","-39,0","3,87","-32,28","18,60","41,75","50,51","-167,44","224,52"
20,Gradual,0,"2,5",INITIAL,"1,61","1,52","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,03","1,93","2,39",,
20,Gradual,0,"2,5",1 / 5,"0,58","0,65","3,39e-04","1,00","1,00","1,00","-0,27","1,35","-0,39",,"1,61","1,93",,
20,Gradual,0,"2,5",2 / 5,"0,59","0,62","4,18e-04","1,00","1,00","1,00","-0,38","1,5","-0,5",,"1,58","1,89",,
20,Gradual,0,"2,5",3 / 5,"0,62","0,65","4,12e-04","1,00","1,00","1,00","-0,42","1,55","-0,54",,"1,58","1,89",,
20,Gradual,0,"2,5",4 / 5,"0,65","0,67","4,04e-04","1,00","1,00","1,00","-0,45","1,57","-0,58",,"1,58","1,89",,
20,Gradual,0,"2,5",FINAL,"0,66","0,69","3,97e-04","1,00","1,00","1,00","-0,47","1,58","-0,59","3,03","1,59","1,89","17,80","52,27"
20,Gradual,"2,5","2,5",INITIAL,"2,38","2,34","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,21","3,97","4,70",,
20,Gradual,"2,5","2,5",1 / 5,"1,18","1,24","1,17e-02","1,00","1,00","1,00","-0,29","0,66","0,06",,"3,90","4,81",,
20,Gradual,"2,5","2,5",2 / 5,"0,94","1,02","2,66e-02","1,00","1,00","1,00","-1,21","1,02","-1,59",,"4,15","5,23",,
20,Gradual,"2,5","2,5",3 / 5,"0,95","1,01","3,54e-02","1,00","1,00","1,00","-2,21","0,57","-3,41",,"4,59","5,89",,
20,Gradual,"2,5","2,5",4 / 5,"0,94","1,04","3,67e-02","1,00","1,00","1,00","-2,9","0,5","-4,38",,"4,73","6,09",,
20,Gradual,"2,5","2,5",FINAL,"0,99","1,06","3,66e-02","1,00","1,00","1,00","-3,34","0,54","-4,8","5,21","4,79","6,08","-20,62","91,98"
20,Gradual,0,10,INITIAL,"5,42","5,07","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,66","5,81","6,87",,
20,Gradual,0,10,1 / 5,"1,02","0,93","4,89e-03","1,00","1,00","1,00","-1,36","5,7","-1,38",,"4,33","5,10",,
20,Gradual,0,10,2 / 5,"1,07","0,92","6,10e-03","1,00","1,00","1,00","-1,97","5,83","-2,27",,"4,12","4,84",,
20,Gradual,0,10,3 / 5,"1,09","0,96","5,94e-03","1,00","1,00","1,00","-2,06","5,84","-2,37",,"4,10","4,81",,
20,Gradual,0,10,4 / 5,"1,13","1,02","5,77e-03","1,00","1,00","1,00","-1,99","5,65","-2,31",,"4,09","4,79",,
20,Gradual,0,10,FINAL,"1,13","1,02","5,78e-03","1,00","1,00","1,00","-1,99","5,66","-2,32","10,66","4,09","4,79","29,63","38,36"
20,Gradual,10,10,INITIAL,"9,57","10,84","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,52","17,15",,
20,Gradual,10,10,1 / 5,"4,97","5,20","1,09e-01","1,00","1,00","1,00","-2,61","4,74","-2,41",,"14,00","17,22",,
20,Gradual,10,10,2 / 5,"1,16","0,99","7,48e-01","1,00","1,00","1,00","-14,28","-0,66","-14,56",,"29,74","37,02",,
20,Gradual,10,10,3 / 5,"1,00","0,87","1,08e+00","1,00","1,00","1,00","-22,49","-5,0","-24,77",,"36,52","45,71",,
20,Gradual,10,10,4 / 5,"1,34","1,22","1,29e+00","1,00","1,00","1,00","-28,07","-3,85","-25,94",,"39,91","49,89",,
20,Gradual,10,10,FINAL,"0,80","0,76","1,51e+00","0,99","1,00","0,99","-37,93","-5,01","-30,83","19,45","44,11","55,51","-203,75","226,77"
80,Planar,"2,5",0,INITIAL,"0,62","0,61","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,00","9,86","11,76",,
80,Planar,"2,5",0,1 / 5,"0,59","0,58","1,00e-04","1,00","1,00","1,00","-0,01","-0,03","-0,02",,"9,85","11,76",,
80,Planar,"2,5",0,2 / 5,"0,60","0,59","5,82e-05","1,00","1,00","1,00","-0,01","-0,1","-0,02",,"9,85","11,76",,
80,Planar,"2,5",0,3 / 5,"0,60","0,59","5,69e-05","1,00","1,00","1,00","-0,02","-0,11","-0,02",,"9,85","11,76",,
80,Planar,"2,5",0,4 / 5,"0,60","0,59","5,51e-05","1,00","1,00","1,00","-0,02","-0,11","-0,01",,"9,85","11,76",,
80,Planar,"2,5",0,FINAL,"0,61","0,59","5,29e-05","1,00","1,00","1,00","-0,02","-0,11","-0,01","4,00","9,85","11,76","0,08","246,53"
80,Planar,0,"2,5",INITIAL,"0,45","0,58","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","8,80","10,78",,
80,Planar,0,"2,5",1 / 5,"0,38","0,39","7,31e-04","1,00","1,00","1,00","-0,01","0,44","-0,1",,"8,78","10,77",,
80,Planar,0,"2,5",2 / 5,"0,40","0,41","5,39e-04","1,00","1,00","1,00","-0,06","0,47","-0,12",,"8,78","10,77",,
80,Planar,0,"2,5",3 / 5,"0,40","0,41","5,32e-04","1,00","1,00","1,00","-0,06","0,47","-0,12",,"8,78","10,77",,
80,Planar,0,"2,5",4 / 5,"0,41","0,42","4,16e-04","1,00","1,00","1,00","-0,11","0,46","-0,1",,"8,78","10,77",,
80,Planar,0,"2,5",FINAL,"0,41","0,43","3,94e-04","1,00","1,00","1,00","-0,12","0,46","-0,1","2,50","8,78","10,77","0,24","351,14"
80,Planar,"2,5","2,5",INITIAL,"0,60","0,61","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,69","10,26","12,05",,
80,Planar,"2,5","2,5",1 / 5,"0,51","0,50","8,54e-04","1,00","1,00","1,00","-0,04","0,38","-0,03",,"10,19","12,02",,
80,Planar,"2,5","2,5",2 / 5,"0,52","0,51","7,71e-04","1,00","1,00","1,00","-0,03","0,4","-0,02",,"10,20","12,02",,
80,Planar,"2,5","2,5",3 / 5,"0,52","0,51","7,57e-04","1,00","1,00","1,00","-0,04","0,4","-0,02",,"10,20","12,02",,
80,Planar,"2,5","2,5",4 / 5,"0,52","0,51","7,42e-04","1,00","1,00","1,00","-0,04","0,4","-0,02",,"10,20","12,02",,
80,Planar,"2,5","2,5",FINAL,"0,53","0,53","5,63e-04","1,00","1,00","1,00","-0,05","0,37","-0,03","4,69","10,20","12,02","0,61","217,33"
80,Planar,10,0,INITIAL,"1,44","1,55","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,67","30,88","39,41",,
80,Planar,10,0,1 / 5,"1,02","1,06","4,79e-02","1,00","1,00","1,00","-0,38","0,9","-0,43",,"30,90","39,55",,
80,Planar,10,0,2 / 5,"0,93","1,02","5,86e-02","1,00","1,00","1,00","-1,86","3,52","-1,13",,"31,71","40,57",,
80,Planar,10,0,3 / 5,"0,95","1,05","5,46e-02","1,00","1,00","1,00","-2,82","3,14","-1,22",,"31,89","40,79",,
80,Planar,10,0,4 / 5,"0,96","1,05","5,73e-02","1,00","1,00","1,00","-3,35","3,42","-1,33",,"31,98","40,93",,
80,Planar,10,0,FINAL,"0,95","1,05","5,61e-02","1,00","1,00","1,00","-4,11","3,52","-1,5","15,67","32,10","41,10","-3,96","204,86"
80,Planar,0,10,INITIAL,"0,90","0,91","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,49","16,93",,
80,Planar,0,10,1 / 5,"0,44","0,46","9,24e-04","1,00","1,00","1,00","-0,38","1,97","-0,11",,"14,17","16,75",,
80,Planar,0,10,2 / 5,"0,45","0,47","8,67e-04","1,00","1,00","1,00","-0,4","1,98","-0,12",,"14,17","16,75",,
80,Planar,0,10,3 / 5,"0,45","0,48","5,90e-04","1,00","1,00","1,00","-0,49","1,93","-0,14",,"14,17","16,74",,
80,Planar,0,10,4 / 5,"0,45","0,48","5,81e-04","1,00","1,00","1,00","-0,5","1,92","-0,14",,"14,17","16,74",,
80,Planar,0,10,FINAL,"0,45","0,48","5,76e-04","1,00","1,00","1,00","-0,5","1,92","-0,14","10,00","14,17","16,74","2,22","141,69"
80,Planar,10,10,INITIAL,"1,90","1,95","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,17","34,12","42,24",,
80,Planar,10,10,1 / 5,"1,27","1,30","4,46e-02","1,00","1,00","1,00","-0,89","2,62","-0,82",,"33,77","42,03",,
80,Planar,10,10,2 / 5,"1,03","1,08","8,64e-02","1,00","1,00","1,00","-2,48","0,52","-4,01",,"34,37","42,92",,
80,Planar,10,10,3 / 5,"0,95","1,01","9,78e-02","1,00","1,00","1,00","-3,2","-2,67","-6,91",,"35,55","44,67",,
80,Planar,10,10,4 / 5,"0,92","1,00","1,31e-01","1,00","1,00","1,00","-16,36","-5,64","-14,52",,"40,04","50,87",,
80,Planar,10,10,FINAL,"0,89","0,92","2,68e-01","1,00","1,00","1,00","-67,89","-6,42","-28,88","19,17","51,21","66,70","-50,07","267,14"
80,Gradual,0,"2,5",INITIAL,"2,81","2,75","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","22,80","28,59","37,89",,
80,Gradual,0,"2,5",1 / 5,"0,98","1,07","1,57e-02","1,00","1,00","1,00","-2,2","2,34","-3,35",,"27,13","36,83",,
80,Gradual,0,"2,5",2 / 5,"0,92","1,00","1,80e-02","1,00","1,00","1,00","-2,9","1,81","-3,27",,"27,06","36,77",,
80,Gradual,0,"2,5",3 / 5,"0,92","0,99","2,01e-02","1,00","1,00","1,00","-3,33","1,33","-3,43",,"27,05","36,74",,
80,Gradual,0,"2,5",4 / 5,"1,02","1,08","2,02e-02","1,00","1,00","1,00","-4,45","-0,32","-3,53",,"27,03","36,69",,
80,Gradual,0,"2,5",FINAL,"1,13","1,19","1,98e-02","1,00","1,00","1,00","-5,76","-1,95","-3,58","22,80","27,00","36,63","5,57","118,41"
80,Gradual,"2,5","2,5",INITIAL,"2,52","3,11","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","22,48","31,37","40,83",,
80,Gradual,"2,5","2,5",1 / 5,"1,03","1,09","2,05e-02","1,00","1,00","1,00","-3,67","-1,63","-3,68",,"30,36","39,82",,
80,Gradual,"2,5","2,5",2 / 5,"1,03","1,04","2,42e-02","1,00","1,00","1,00","-5,44","-4,09","-4,03",,"30,31","39,72",,
80,Gradual,"2,5","2,5",3 / 5,"1,07","1,08","2,43e-02","1,00","1,00","1,00","-6,1","-5,03","-4,1",,"30,30","39,69",,
80,Gradual,"2,5","2,5",4 / 5,"0,97","0,96","2,80e-02","1,00","1,00","1,00","-7,22","-6,42","-4,45",,"30,24","39,61",,
80,Gradual,"2,5","2,5",FINAL,"1,09","1,08","2,70e-02","1,00","1,00","1,00","-8,79","-8,6","-4,51","22,48","30,22","39,54","3,68","134,44"
80,Gradual,0,10,INITIAL,"5,45","5,00","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","41,77","48,64","66,71",,
80,Gradual,0,10,1 / 5,"1,60","1,89","4,78e-02","1,00","1,00","1,00","-6,76","1,39","-6,37",,"45,64","64,54",,
80,Gradual,0,10,2 / 5,"0,71","0,69","9,14e-02","0,99","0,99","1,00","-24,74","-12,19","-12,42",,"44,55","63,60",,
80,Gradual,0,10,3 / 5,"0,82","0,80","8,87e-02","0,99","0,99","1,00","-28,31","-14,51","-12,91",,"44,49","63,49",,
80,Gradual,0,10,4 / 5,"1,00","0,96","8,44e-02","0,99","0,99","1,00","-30,69","-15,95","-13,03",,"44,47","63,42",,
80,Gradual,0,10,FINAL,"1,01","0,97","8,47e-02","0,99","0,99","1,00","-31,87","-16,53","-13,18","41,77","44,45","63,37","8,61","106,42"
80,Gradual,10,10,INITIAL,"5,67","5,30","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","46,68","56,27","73,26",,
80,Gradual,10,10,1 / 5,"2,13","2,44","5,68e-02","1,00","1,00","1,00","-4,23","4,13","-5,14",,"53,27","71,53",,
80,Gradual,10,10,2 / 5,"1,02","1,10","1,67e-01","1,00","0,99","1,00","-19,07","-14,25","-11,35",,"53,50","71,71",,
80,Gradual,10,10,3 / 5,"1,02","1,06","1,86e-01","0,99","0,99","1,00","-46,57","-24,57","-20,21",,"54,84","72,57",,
80,Gradual,10,10,4 / 5,"0,94","0,98","1,94e-01","0,99","0,99","1,00","-50,33","-24,65","-21,06",,"55,04","72,68",,
80,Gradual,10,10,FINAL,"0,91","0,93","2,45e-01","0,99","0,99","0,99","-79,21","-25,27","-29,61","46,68","57,08","74,45","-1,43","122,27"
150,Planar,"2,5",0,INITIAL,"0,48","0,50","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,14","19,71","23,74",,
150,Planar,"2,5",0,1 / 5,"0,47","0,49","2,05e-05","1,00","1,00","1,00","0,0","-0,0","-0,01",,"19,71","23,74",,
150,Planar,"2,5",0,2 / 5,"0,47","0,49","1,51e-05","1,00","1,00","1,00","0,0","-0,01","-0,01",,"19,71","23,74",,
150,Planar,"2,5",0,3 / 5,"0,47","0,49","1,46e-05","1,00","1,00","1,00","0,01","-0,01","-0,0",,"19,71","23,74",,
150,Planar,"2,5",0,4 / 5,"0,47","0,49","1,43e-05","1,00","1,00","1,00","0,01","-0,01","-0,0",,"19,71","23,74",,
150,Planar,"2,5",0,FINAL,"0,47","0,49","1,41e-05","1,00","1,00","1,00","0,01","-0,02","-0,0","4,14","19,71","23,74","0,01","476,28"
150,Planar,0,"2,5",INITIAL,"0,49","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","16,72","20,25",,
150,Planar,0,"2,5",1 / 5,"0,47","0,47","5,87e-05","1,00","1,00","1,00","-0,0","0,08","-0,01",,"16,72","20,24",,
150,Planar,0,"2,5",2 / 5,"0,48","0,48","3,44e-05","1,00","1,00","1,00","-0,02","0,09","-0,01",,"16,72","20,24",,
150,Planar,0,"2,5",3 / 5,"0,48","0,48","2,92e-05","1,00","1,00","1,00","-0,02","0,09","-0,01",,"16,72","20,24",,
150,Planar,0,"2,5",4 / 5,"0,48","0,48","2,63e-05","1,00","1,00","1,00","-0,02","0,09","-0,01",,"16,72","20,24",,
150,Planar,0,"2,5",FINAL,"0,48","0,48","2,42e-05","1,00","1,00","1,00","-0,02","0,09","-0,01","2,50","16,72","20,24","0,03","668,71"
150,Planar,"2,5","2,5",INITIAL,"0,57","0,57","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,80","19,11","23,06",,
150,Planar,"2,5","2,5",1 / 5,"0,55","0,55","5,89e-05","1,00","1,00","1,00","-0,01","0,04","0,0",,"19,10","23,05",,
150,Planar,"2,5","2,5",2 / 5,"0,55","0,56","4,47e-05","1,00","1,00","1,00","-0,01","0,03","0,0",,"19,10","23,05",,
150,Planar,"2,5","2,5",3 / 5,"0,55","0,56","3,82e-05","1,00","1,00","1,00","-0,01","0,03","-0,0",,"19,10","23,05",,
150,Planar,"2,5","2,5",4 / 5,"0,55","0,56","3,14e-05","1,00","1,00","1,00","-0,02","0,03","-0,0",,"19,10","23,05",,
150,Planar,"2,5","2,5",FINAL,"0,55","0,56","2,82e-05","1,00","1,00","1,00","-0,02","0,02","-0,0","4,80","19,10","23,05","0,04","398,12"
150,Planar,10,0,INITIAL,"1,02","1,09","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,08","40,44","48,32",,
150,Planar,10,0,1 / 5,"0,98","1,01","8,06e-04","1,00","1,00","1,00","-0,07","0,0","0,01",,"40,40","48,30",,
150,Planar,10,0,2 / 5,"0,99","1,01","8,86e-04","1,00","1,00","1,00","0,07","0,05","0,01",,"40,41","48,31",,
150,Planar,10,0,3 / 5,"0,99","1,01","8,99e-04","1,00","1,00","1,00","0,1","0,07","0,02",,"40,41","48,31",,
150,Planar,10,0,4 / 5,"1,00","1,00","9,38e-04","1,00","1,00","1,00","0,13","0,09","0,02",,"40,41","48,31",,
150,Planar,10,0,FINAL,"1,00","1,00","9,35e-04","1,00","1,00","1,00","0,16","0,1","0,02","16,08","40,41","48,31","0,07","251,31"
150,Planar,0,10,INITIAL,"0,75","0,77","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","20,16","24,73",,
150,Planar,0,10,1 / 5,"0,48","0,49","2,41e-03","1,00","1,00","1,00","-0,28","0,98","-0,07",,"19,89","24,59",,
150,Planar,0,10,2 / 5,"0,48","0,50","2,32e-03","1,00","1,00","1,00","-0,3","0,97","-0,06",,"19,89","24,59",,
150,Planar,0,10,3 / 5,"0,48","0,50","2,25e-03","1,00","1,00","1,00","-0,32","0,97","-0,05",,"19,89","24,59",,
150,Planar,0,10,4 / 5,"0,48","0,50","2,18e-03","1,00","1,00","1,00","-0,33","0,96","-0,05",,"19,89","24,59",,
150,Planar,0,10,FINAL,"0,48","0,50","2,11e-03","1,00","1,00","1,00","-0,35","0,96","-0,04","10,00","19,89","24,59","1,34","198,87"
150,Planar,10,10,INITIAL,"1,21","1,22","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","20,04","50,96","63,03",,
150,Planar,10,10,1 / 5,"0,98","1,02","2,81e-03","1,00","1,00","1,00","-0,43","1,42","0,1",,"50,71","62,93",,
150,Planar,10,10,2 / 5,"0,99","1,02","1,75e-03","1,00","1,00","1,00","-0,7","1,57","0,09",,"50,71","62,94",,
150,Planar,10,10,3 / 5,"0,99","1,02","1,43e-03","1,00","1,00","1,00","-0,8","1,69","0,08",,"50,70","62,93",,
