{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","9,97e-03","1,00","1,00","1,00","0,0","0,0","0,0","4,15","2,83","3,33",,
20,Planar,"2,5",0,1 / 2,"1,06","0,96","1,25e-03","1,00","1,00","1,00","-0,25","-1,11","-0,11",,"3,07","3,59",,
20,Planar,"2,5",0,FINAL,"1,14","0,91","7,30e-04","1,00","1,00","1,00","-0,25","-1,11","-0,08","4,15","3,09","3,58","-8,96","74,29"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","9,97e-04","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,73","1,95",,
20,Planar,0,"2,5",1 / 2,"0,41","0,33","7,50e-05","1,00","1,00","1,00","-0,15","1,04","-0,26",,"1,61","1,83",,
20,Planar,0,"2,5",FINAL,"0,42","0,32","4,87e-05","1,00","1,00","1,00","-0,12","1,03","-0,27","2,50","1,61","1,83","7,25","64,27"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","9,64e-03","1,00","1,00","1,00","0,0","0,0","0,0","4,73","2,85","3,40",,
20,Planar,"2,5","2,5",1 / 2,"1,10","1,00","1,25e-03","1,00","1,00","1,00","-0,34","2,71","-0,24",,"2,97","3,49",,
20,Planar,"2,5","2,5",FINAL,"1,19","0,97","6,87e-04","1,00","1,00","1,00","-0,36","2,73","-0,26","4,73","2,98","3,50","-4,81","63,08"
20,Planar,10,0,INITIAL,"0,00","0,00","1,67e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,59","9,80","12,61",,
20,Planar,10,0,1 / 2,"1,56","1,48","1,08e-01","1,00","1,00","1,00","-0,85","0,63","-0,76",,"10,11","12,89",,
20,Planar,10,0,FINAL,"1,15","0,94","1,25e-01","1,00","1,00","1,00","-1,03","-0,33","-1,26","16,59","10,20","13,01","-4,11","61,51"
20,Planar,0,10,INITIAL,"0,00","0,00","1,47e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","4,96","5,96",,
20,Planar,0,10,1 / 2,"0,54","0,37","3,21e-04","1,00","1,00","1,00","-0,25","4,06","-1,21",,"4,53","5,40",,
20,Planar,0,10,FINAL,"0,58","0,34","2,28e-04","1,00","1,00","1,00","-0,38","4,0","-1,32","10,00","4,48","5,34","9,69","44,76"
20,Planar,10,10,INITIAL,"0,00","0,00","1,54e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,77","9,88","12,42",,
20,Planar,10,10,1 / 2,"4,65","8,01","1,19e-02","1,00","1,00","1,00","-2,78","6,73","-3,29",,"10,31","12,18",,
20,Planar,10,10,FINAL,"5,02","7,48","3,19e-03","1,00","1,00","1,00","-2,86","6,78","-3,27","17,77","10,32","12,16","-4,50","58,08"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,54e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,10","1,82","2,17",,
20,Gradual,0,"2,5",1 / 2,"0,48","0,32","4,61e-04","1,00","1,00","1,00","-0,46","1,39","-0,53",,"1,81","2,17",,
20,Gradual,0,"2,5",FINAL,"0,69","0,53","1,66e-04","1,00","1,00","1,00","-0,37","1,22","-0,55","3,10","1,82","2,18","-0,08","58,91"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","1,15e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,29","3,07","3,80",,
20,Gradual,"2,5","2,5",1 / 2,"1,16","0,91","1,62e-03","1,00","1,00","1,00","-2,29","0,9","-1,56",,"3,06","3,66",,
20,Gradual,"2,5","2,5",FINAL,"1,17","0,81","1,50e-03","1,00","1,00","1,00","-2,5","0,82","-1,54","5,29","3,04","3,64","1,12","57,50"
20,Gradual,0,10,INITIAL,"0,00","0,00","3,65e-03","1,00","1,00","1,00","0,0","0,0","0,0","9,97","4,50","5,64",,
20,Gradual,0,10,1 / 2,"1,72","1,35","1,15e-03","1,00","1,00","1,00","-1,49","4,9","-2,75",,"4,57","5,56",,
20,Gradual,0,10,FINAL,"1,88","1,39","6,13e-04","1,00","1,00","1,00","-2,18","4,87","-2,14","9,97","4,54","5,47","-0,90","45,52"
20,Gradual,10,10,INITIAL,"0,00","0,00","2,09e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,90","11,19","13,74",,
20,Gradual,10,10,1 / 2,"2,18","1,44","1,23e-01","1,00","1,00","1,00","-3,81","4,57","-4,32",,"11,07","13,52",,
20,Gradual,10,10,FINAL,"1,21","0,73","1,54e-01","1,00","1,00","1,00","-6,57","2,5","-6,71","20,90","10,57","13,04","5,52","50,59"
80,Planar,"2,5",0,INITIAL,"0,00","0,00","2,34e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,28","9,47","11,34",,
80,Planar,"2,5",0,1 / 2,"0,50","0,65","2,60e-03","1,00","1,00","1,00","0,1","-0,65","0,44",,"9,38","11,28",,
80,Planar,"2,5",0,FINAL,"0,54","0,69","7,22e-04","1,00","1,00","1,00","-0,11","-0,44","0,03","4,28","9,39","11,29","0,80","219,53"
80,Planar,0,"2,5",INITIAL,"0,00","0,00","1,25e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","6,75","8,08",,
80,Planar,0,"2,5",1 / 2,"0,41","0,39","6,91e-04","1,00","1,00","1,00","1,04","-1,38","0,03",,"6,65","8,01",,
80,Planar,0,"2,5",FINAL,"0,42","0,39","2,27e-04","1,00","1,00","1,00","1,03","-1,43","0,01","2,50","6,64","8,00","1,68","265,56"
80,Planar,"2,5","2,5",INITIAL,"0,00","0,00","1,90e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,69","8,23","9,52",,
80,Planar,"2,5","2,5",1 / 2,"0,54","0,50","1,24e-03","1,00","1,00","1,00","1,95","-4,12","-1,29",,"8,19","9,58",,
80,Planar,"2,5","2,5",FINAL,"0,57","0,53","4,76e-04","1,00","1,00","1,00","2,05","-4,08","-1,34","4,69","8,20","9,58","0,37","174,67"
80,Planar,10,0,INITIAL,"0,00","0,00","1,37e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,40","19,92","24,99",,
80,Planar,10,0,1 / 2,"1,04","0,97","2,64e-02","1,00","1,00","1,00","-5,11","-4,03","-0,21",,"20,13","25,09",,
80,Planar,10,0,FINAL,"1,12","0,94","1,93e-02","1,00","1,00","1,00","-5,04","-3,73","-0,28","15,40","20,17","25,11","-1,22","130,98"
80,Planar,0,10,INITIAL,"0,00","0,00","1,22e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","12,97","15,23",,
80,Planar,0,10,1 / 2,"0,46","0,41","6,84e-04","1,00","1,00","1,00","-0,73","0,83","-0,61",,"12,80","15,09",,
80,Planar,0,10,FINAL,"0,48","0,42","3,02e-04","1,00","1,00","1,00","-0,64","0,78","-0,63","10,00","12,79","15,08","1,41","127,90"
80,Planar,10,10,INITIAL,"0,00","0,00","1,56e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,74","24,25","29,71",,
80,Planar,10,10,1 / 2,"1,00","1,05","2,60e-02","1,00","1,00","1,00","-3,72","7,62","-1,18",,"24,22","29,34",,
80,Planar,10,10,FINAL,"1,04","0,96","2,26e-02","1,00","1,00","1,00","-4,05","8,1","-1,4","17,74","24,23","29,36","0,07","136,57"
80,Gradual,0,"2,5",INITIAL,"0,00","0,00","3,69e-02","1,00","1,00","1,00","0,0","0,0","0,0","21,20","23,88","36,76",,
80,Gradual,0,"2,5",1 / 2,"1,62","1,44","1,46e-02","1,00","1,00","1,00","-20,11","-5,72","-6,55",,"23,14","35,30",,
80,Gradual,0,"2,5",FINAL,"1,63","1,42","1,36e-02","1,00","1,00","1,00","-20,6","-6,24","-6,68","21,20","23,09","35,22","3,30","108,92"
80,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","3,70e-02","1,00","1,00","1,00","0,0","0,0","0,0","23,54","26,75","40,92",,
80,Gradual,"2,5","2,5",1 / 2,"1,07","0,97","1,13e-02","1,00","1,00","1,00","-30,59","-11,52","-13,62",,"24,98","37,39",,
80,Gradual,"2,5","2,5",FINAL,"1,25","1,13","1,15e-02","1,00","1,00","1,00","-32,01","-12,16","-14,52","23,54","24,96","37,18","6,70","106,03"
80,Gradual,0,10,INITIAL,"0,00","0,00","1,04e-01","1,00","1,00","1,00","0,0","0,0","0,0","39,19","42,85","62,22",,
80,Gradual,0,10,1 / 2,"2,40","2,38","3,84e-02","1,00","1,00","1,00","-17,98","-18,59","-5,85",,"42,78","60,96",,
80,Gradual,0,10,FINAL,"2,71","2,72","2,92e-02","1,00","1,00","1,00","-17,86","-19,45","-5,74","39,19","42,86","60,88","-0,02","109,38"
80,Gradual,10,10,INITIAL,"0,00","0,00","2,81e-01","1,00","1,00","1,00","0,0","0,0","0,0","51,84","52,66","72,40",,
80,Gradual,10,10,1 / 2,"3,87","4,73","6,82e-02","1,00","1,00","1,00","-19,99","-0,49","-4,57",,"53,35","71,84",,
80,Gradual,10,10,FINAL,"3,40","3,90","5,75e-02","1,00","1,00","1,00","-22,97","-2,35","-6,74","51,84","52,71","71,30","-0,10","101,68"
150,Planar,"2,5",0,INITIAL,"0,00","0,00","4,40e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,98","16,55","20,07",,
150,Planar,"2,5",0,1 / 2,"0,42","0,45","2,95e-03","1,00","1,00","1,00","0,49","-2,05","0,05",,"16,28","19,87",,
150,Planar,"2,5",0,FINAL,"0,45","0,47","7,17e-04","1,00","1,00","1,00","0,63","-2,31","0,05","3,98","16,27","19,87","1,68","409,02"
150,Planar,0,"2,5",INITIAL,"0,00","0,00","4,19e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","15,11","18,25",,
150,Planar,0,"2,5",1 / 2,"0,45","0,45","2,73e-03","1,00","1,00","1,00","0,82","-0,61","-0,03",,"14,67","17,89",,
150,Planar,0,"2,5",FINAL,"0,44","0,44","5,25e-04","1,00","1,00","1,00","0,36","-0,59","-0,08","2,50","14,65","17,87","3,06","585,84"
150,Planar,"2,5","2,5",INITIAL,"0,00","0,00","4,05e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,56","17,27","20,06",,
150,Planar,"2,5","2,5",1 / 2,"0,37","0,42","4,13e-03","1,00","1,00","1,00","0,61","-0,28","0,05",,"17,04","19,87",,
150,Planar,"2,5","2,5",FINAL,"0,41","0,46","1,01e-03","1,00","1,00","1,00","0,78","-0,37","-0,02","4,56","17,01","19,85","1,51","372,86"
150,Planar,10,0,INITIAL,"0,00","0,00","1,85e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,23","34,93","44,25",,
150,Planar,10,0,1 / 2,"0,89","1,05","1,14e-02","1,00","1,00","1,00","1,2","-2,88","0,11",,"35,15","44,22",,
150,Planar,10,0,FINAL,"0,95","1,06","2,91e-03","1,00","1,00","1,00","1,86","-3,63","0,07","16,23","35,17","44,21","-0,69","216,64"
150,Planar,0,10,INITIAL,"0,00","0,00","4,15e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","19,76","23,56",,
150,Planar,0,10,1 / 2,"0,49","0,54","3,25e-03","1,00","1,00","1,00","5,1","-2,98","-0,44",,"19,52","23,37",,
150,Planar,0,10,FINAL,"0,51","0,56","9,28e-04","1,00","1,00","1,00","5,57","-3,09","-0,46","10,00","19,50","23,35","1,32","194,99"
150,Planar,10,10,INITIAL,"0,00","0,00","2,10e-01","1,00","1,00","1,00","0,0","0,0","0,0","18,52","36,36","46,96",,
150,Planar,10,10,1 / 2,"1,01","1,20","1,70e-02","1,00","1,00","1,00","-2,07","-1,96","-0,15",,"36,11","46,22",,
150,Planar,10,10,FINAL,"1,04","1,16","3,63e-03","1,00","1,00","1,00","-0,94","-3,43","-0,33","18,52","36,11","46,21","0,68","195,03"
150,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,07e-01","1,00","1,00","1,00","0,0","0,0","0,0","39,57","54,63","88,08",,
150,Gradual,0,"2,5",1 / 2,"1,72","1,80","4,17e-02","1,00","1,00","1,00","-19,34","-4,39","-3,76",,"54,52","87,65",,
150,Gradual,0,"2,5",FINAL,"1,82","1,90","3,74e-02","1,00","1,00","1,00","-19,67","-5,98","-3,58","39,57","54,53","87,60","0,17","137,81"
150,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","1,65e-01","1,00","1,00","1,00","0,0","0,0","0,0","42,25","58,97","96,33",,
150,Gradual,"2,5","2,5",1 / 2,"1,48","1,42","7,32e-02","1,00","1,00","1,00","-53,72","-17,14","-16,45",,"57,28","93,41",,
150,Gradual,"2,5","2,5",FINAL,"1,44","1,35","6,65e-02","1,00","1,00","1,00","-57,56","-18,12","-17,49","42,25","57,12","93,17","3,15","135,18"
150,Gradual,0,10,INITIAL,"0,00","0,00","2,72e-01","1,00","1,00","1,00","0,0","0,0","0,0","73,59","89,99","149,58",,
150,Gradual,0,10,1 / 2,"2,87","2,79","1,29e-01","0,99","1,00","1,00","-58,99","11,54","-10,19",,"89,71","147,69",,
150,Gradual,0,10,FINAL,"2,98","2,88","1,18e-01","0,99","1,00","1,00","-61,38","11,47","-10,41","73,59","89,76","147,59","0,26","121,97"
150,Gradual,10,10,INITIAL,"0,00","0,00","6,88e-01","1,00","1,00","1,00","0,0","0,0","0,0","76,42","100,03","141,88",,
150,Gradual,10,10,1 / 2,"1,18","1,10","4,50e-01","0,98","0,99","0,99","-189,33","-5,64","-89,68",,"98,22","137,00",,
150,Gradual,10,10,FINAL,"1,26","1,16","4,40e-01","0,98","0,99","0,99","-191,1","-8,77","-91,53","76,42","98,21","136,95","1,82","128,52"
