{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,60","1,62","3,49e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,15","3,79","4,41",,
20,Planar,"2,5",0,1 / 5,"0,83","1,18","7,88e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,02","4,85",,
20,Planar,"2,5",0,2 / 5,"0,91","1,08","6,00e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,01","4,83",,
20,Planar,"2,5",0,3 / 5,"0,93","1,07","5,24e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,00","4,81",,
20,Planar,"2,5",0,4 / 5,"0,93","1,06","4,68e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,99","4,79",,
20,Planar,"2,5",0,FINAL,"0,94","1,07","4,24e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,15","3,98","4,77","-4,80","95,72"
20,Planar,0,"2,5",INITIAL,"0,89","1,14","2,34e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,87","2,07",,
20,Planar,0,"2,5",1 / 5,"0,17","0,18","4,39e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,57","1,80",,
20,Planar,0,"2,5",2 / 5,"0,27","0,32","3,21e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,57","1,81",,
20,Planar,0,"2,5",3 / 5,"0,31","0,35","2,40e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,57","1,80",,
20,Planar,0,"2,5",4 / 5,"0,30","0,35","2,22e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,56","1,80",,
20,Planar,0,"2,5",FINAL,"0,30","0,34","2,12e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","1,56","1,80","16,36","62,53"
20,Planar,"2,5","2,5",INITIAL,"1,94","1,96","3,61e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,83","4,45",,
20,Planar,"2,5","2,5",1 / 5,"0,80","1,20","6,56e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,38","4,08",,
20,Planar,"2,5","2,5",2 / 5,"0,93","1,06","3,98e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,35","4,07",,
20,Planar,"2,5","2,5",3 / 5,"0,96","1,04","3,24e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,37","4,10",,
20,Planar,"2,5","2,5",4 / 5,"0,96","1,04","3,04e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,39","4,13",,
20,Planar,"2,5","2,5",FINAL,"0,95","1,04","2,94e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,73","3,42","4,17","10,53","72,34"
20,Planar,10,0,INITIAL,"6,67","6,72","6,37e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,59","14,42","17,75",,
20,Planar,10,0,1 / 5,"0,69","1,29","2,09e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"16,57","21,02",,
20,Planar,10,0,2 / 5,"0,80","1,14","1,75e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"17,62","21,98",,
20,Planar,10,0,3 / 5,"0,94","1,04","1,71e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"18,19","22,68",,
20,Planar,10,0,4 / 5,"0,96","1,03","1,70e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"18,35","22,86",,
20,Planar,10,0,FINAL,"0,93","1,07","1,69e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","16,59","18,96","23,50","-31,52","114,32"
20,Planar,0,10,INITIAL,"3,36","3,32","4,16e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,65","6,19",,
20,Planar,0,10,1 / 5,"0,34","0,33","9,85e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,81","5,65",,
20,Planar,0,10,2 / 5,"0,42","0,40","7,40e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,80","5,63",,
20,Planar,0,10,3 / 5,"0,39","0,37","6,80e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,78","5,61",,
20,Planar,0,10,4 / 5,"0,37","0,35","6,43e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,76","5,59",,
20,Planar,0,10,FINAL,"0,35","0,33","6,16e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","4,73","5,55","16,32","47,32"
20,Planar,10,10,INITIAL,"7,82","7,88","5,59e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,77","13,12","15,42",,
20,Planar,10,10,1 / 5,"2,16","1,92","8,04e-02","1,00","1,00","1,00","-0,01","0,0","-0,01",,"57,40","61,98",,
20,Planar,10,10,2 / 5,"1,11","0,91","6,79e-02","1,00","1,00","1,00","-0,01","0,0","-0,01",,"58,30","62,96",,
20,Planar,10,10,3 / 5,"1,13","0,89","6,40e-02","1,00","1,00","1,00","-0,01","0,0","-0,01",,"58,70","63,32",,
20,Planar,10,10,4 / 5,"1,22","0,83","6,06e-02","1,00","1,00","1,00","-0,01","0,0","-0,01",,"59,53","64,18",,
20,Planar,10,10,FINAL,"1,21","0,85","6,08e-02","1,00","1,00","1,00","-0,01","0,0","-0,01","17,77","60,11","64,76","-358,09","338,20"
20,Gradual,0,"2,5",INITIAL,"1,52","1,46","4,17e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,10","2,02","2,39",,
20,Gradual,0,"2,5",1 / 5,"0,17","0,19","1,36e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,53","1,81",,
20,Gradual,0,"2,5",2 / 5,"0,39","0,39","9,15e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,49","1,76",,
20,Gradual,0,"2,5",3 / 5,"0,37","0,36","8,67e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,48","1,74",,
20,Gradual,0,"2,5",4 / 5,"0,36","0,35","8,44e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,46","1,73",,
20,Gradual,0,"2,5",FINAL,"0,35","0,33","8,30e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","3,10","1,45","1,71","28,12","46,94"
20,Gradual,"2,5","2,5",INITIAL,"2,32","2,31","4,23e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,29","3,95","4,81",,
20,Gradual,"2,5","2,5",1 / 5,"0,92","1,24","9,09e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,58","4,47",,
20,Gradual,"2,5","2,5",2 / 5,"0,96","1,04","6,05e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,52","4,42",,
20,Gradual,"2,5","2,5",3 / 5,"0,99","1,01","5,05e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,50","4,40",,
20,Gradual,"2,5","2,5",4 / 5,"0,99","1,01","4,53e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,49","4,39",,
20,Gradual,"2,5","2,5",FINAL,"1,00","1,01","4,31e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","5,29","3,49","4,39","11,72","66,02"
20,Gradual,0,10,INITIAL,"5,03","6,00","1,28e-02","1,00","1,00","1,00","0,0","0,0","0,0","9,97","5,45","6,43",,
20,Gradual,0,10,1 / 5,"0,25","0,24","5,26e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,85","4,51",,
20,Gradual,0,10,2 / 5,"0,53","0,55","4,54e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,82","4,48",,
20,Gradual,0,10,3 / 5,"0,52","0,54","4,37e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,79","4,44",,
20,Gradual,0,10,4 / 5,"0,49","0,51","4,25e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,76","4,40",,
20,Gradual,0,10,FINAL,"0,47","0,48","4,12e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","9,97","3,73","4,37","31,61","37,43"
20,Gradual,10,10,INITIAL,"9,87","10,31","7,53e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,90","15,82","18,31",,
20,Gradual,10,10,1 / 5,"0,95","0,89","3,29e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"16,64","20,56",,
20,Gradual,10,10,2 / 5,"0,86","1,07","2,03e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"17,49","21,59",,
20,Gradual,10,10,3 / 5,"0,99","1,02","1,78e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"18,51","22,91",,
20,Gradual,10,10,4 / 5,"1,02","0,97","1,62e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"20,11","25,21",,
20,Gradual,10,10,FINAL,"1,12","0,93","1,67e-01","1,00","1,00","1,00","-0,0","-0,0","-0,0","20,90","20,96","26,39","-32,50","100,33"
80,Planar,"2,5",0,INITIAL,"0,60","0,71","8,87e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,28","12,81","15,36",,
80,Planar,"2,5",0,1 / 5,"0,77","0,92","9,57e-03","1,00","1,00","1,00","0,0","-0,0","0,0",,"12,41","15,05",,
80,Planar,"2,5",0,2 / 5,"0,83","1,00","4,63e-03","1,00","1,00","1,00","0,0","-0,0","0,0",,"12,42","15,05",,
80,Planar,"2,5",0,3 / 5,"0,84","1,01","3,06e-03","1,00","1,00","1,00","0,0","-0,0","-0,0",,"12,41","15,04",,
80,Planar,"2,5",0,4 / 5,"0,84","1,01","2,36e-03","1,00","1,00","1,00","0,0","-0,0","-0,0",,"12,41","15,03",,
80,Planar,"2,5",0,FINAL,"0,82","0,98","1,94e-03","1,00","1,00","1,00","0,0","-0,0","-0,0","4,28","12,39","15,02","3,27","289,66"
80,Planar,0,"2,5",INITIAL,"0,45","0,46","4,64e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","8,26","9,72",,
80,Planar,0,"2,5",1 / 5,"0,25","0,27","7,53e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"8,18","9,76",,
80,Planar,0,"2,5",2 / 5,"0,42","0,44","3,37e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"8,10","9,70",,
80,Planar,0,"2,5",3 / 5,"0,46","0,47","2,55e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"8,09","9,69",,
80,Planar,0,"2,5",4 / 5,"0,47","0,48","2,11e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"8,08","9,69",,
80,Planar,0,"2,5",FINAL,"0,48","0,48","1,87e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","8,07","9,68","2,28","322,95"
80,Planar,"2,5","2,5",INITIAL,"0,60","0,61","7,21e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,69","10,65","12,32",,
80,Planar,"2,5","2,5",1 / 5,"0,77","0,87","8,23e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,20","11,92",,
80,Planar,"2,5","2,5",2 / 5,"0,80","0,91","4,08e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,17","11,89",,
80,Planar,"2,5","2,5",3 / 5,"0,79","0,91","2,97e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,16","11,87",,
80,Planar,"2,5","2,5",4 / 5,"0,78","0,91","2,47e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,14","11,86",,
80,Planar,"2,5","2,5",FINAL,"0,77","0,90","2,27e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,69","10,14","11,86","4,81","215,96"
80,Planar,10,0,INITIAL,"1,55","1,66","5,61e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,40","27,23","33,76",,
80,Planar,10,0,1 / 5,"0,92","1,07","9,43e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"24,31","30,43",,
80,Planar,10,0,2 / 5,"1,04","0,98","7,24e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"24,39","30,43",,
80,Planar,10,0,3 / 5,"1,00","1,00","6,30e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"24,55","30,56",,
80,Planar,10,0,4 / 5,"1,02","0,98","5,82e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"24,61","30,62",,
80,Planar,10,0,FINAL,"1,03","0,97","5,67e-02","1,00","1,00","1,00","0,0","0,0","0,0","15,40","24,71","30,72","9,25","160,50"
80,Planar,0,10,INITIAL,"0,88","0,89","4,36e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","15,32","17,75",,
80,Planar,0,10,1 / 5,"0,25","0,25","8,11e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,43","17,40",,
80,Planar,0,10,2 / 5,"0,47","0,46","3,16e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,38","17,37",,
80,Planar,0,10,3 / 5,"0,53","0,52","2,27e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,37","17,37",,
80,Planar,0,10,4 / 5,"0,55","0,54","1,92e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,36","17,36",,
80,Planar,0,10,FINAL,"0,55","0,55","1,75e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","14,36","17,35","6,30","143,58"
80,Planar,10,10,INITIAL,"1,72","1,71","6,24e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,74","33,15","40,25",,
80,Planar,10,10,1 / 5,"0,90","1,12","1,07e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"27,74","34,02",,
80,Planar,10,10,2 / 5,"0,98","1,03","6,40e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"27,97","34,30",,
80,Planar,10,10,3 / 5,"0,99","1,02","5,91e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"28,14","34,64",,
80,Planar,10,10,4 / 5,"0,97","1,03","5,65e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"28,20","34,73",,
80,Planar,10,10,FINAL,"0,98","1,02","5,65e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","17,74","28,28","34,90","14,68","159,40"
80,Gradual,0,"2,5",INITIAL,"2,51","2,39","1,46e-01","1,00","1,00","1,00","0,0","0,0","0,0","21,20","28,45","42,27",,
80,Gradual,0,"2,5",1 / 5,"0,47","0,47","5,89e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"25,80","40,39",,
80,Gradual,0,"2,5",2 / 5,"0,77","0,82","5,14e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"25,73","40,33",,
80,Gradual,0,"2,5",3 / 5,"0,96","1,03","5,00e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"25,71","40,29",,
80,Gradual,0,"2,5",4 / 5,"0,98","1,01","4,86e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"25,68","40,26",,
80,Gradual,0,"2,5",FINAL,"0,99","1,00","4,75e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","21,20","25,65","40,23","9,84","120,99"
80,Gradual,"2,5","2,5",INITIAL,"2,44","2,52","1,46e-01","1,00","1,00","1,00","0,0","0,0","0,0","23,54","32,17","46,94",,
80,Gradual,"2,5","2,5",1 / 5,"0,86","0,97","3,38e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,55","45,48",,
80,Gradual,"2,5","2,5",2 / 5,"0,94","1,05","2,48e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,43","45,38",,
80,Gradual,"2,5","2,5",3 / 5,"0,95","1,04","2,20e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,34","45,29",,
80,Gradual,"2,5","2,5",4 / 5,"0,96","1,04","2,06e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"29,29","45,24",,
80,Gradual,"2,5","2,5",FINAL,"0,97","1,03","1,94e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","23,54","29,24","45,18","9,11","124,25"
80,Gradual,0,10,INITIAL,"4,05","4,04","4,36e-01","1,00","1,00","1,00","0,0","0,0","0,0","39,19","49,63","69,62",,
80,Gradual,0,10,1 / 5,"0,93","1,00","2,30e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"46,03","65,76",,
80,Gradual,0,10,2 / 5,"0,97","1,04","2,22e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"45,99","65,71",,
80,Gradual,0,10,3 / 5,"0,97","1,04","2,16e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"45,94","65,63",,
80,Gradual,0,10,4 / 5,"0,97","1,04","2,12e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"45,91","65,60",,
80,Gradual,0,10,FINAL,"0,97","1,03","2,08e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","39,19","45,88","65,56","7,55","117,08"
80,Gradual,10,10,INITIAL,"6,11","7,13","1,13e+00","1,00","1,00","1,00","0,0","0,0","0,0","51,84","64,64","83,94",,
80,Gradual,10,10,1 / 5,"1,45","1,85","3,16e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"60,82","81,47",,
80,Gradual,10,10,2 / 5,"0,97","1,03","2,69e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"60,64","81,07",,
80,Gradual,10,10,3 / 5,"1,00","0,99","2,26e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"60,55","80,82",,
80,Gradual,10,10,4 / 5,"1,02","0,99","2,04e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"60,53","80,62",,
80,Gradual,10,10,FINAL,"1,02","0,98","1,95e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","51,84","60,50","80,47","6,42","116,69"
150,Planar,"2,5",0,INITIAL,"0,52","0,53","1,72e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,98","20,45","24,65",,
150,Planar,"2,5",0,1 / 5,"0,41","0,42","2,05e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"18,85","22,96",,
150,Planar,"2,5",0,2 / 5,"0,42","0,44","1,22e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"18,80","22,94",,
150,Planar,"2,5",0,3 / 5,"0,49","0,50","6,60e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"18,77","22,92",,
150,Planar,"2,5",0,4 / 5,"0,52","0,53","4,22e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"18,75","22,91",,
150,Planar,"2,5",0,FINAL,"0,53","0,54","3,63e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","3,98","18,75","22,90","8,32","471,16"
150,Planar,0,"2,5",INITIAL,"0,49","0,49","1,59e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","18,63","22,49",,
150,Planar,0,"2,5",1 / 5,"0,53","0,55","1,60e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"17,13","20,74",,
150,Planar,0,"2,5",2 / 5,"0,59","0,61","7,85e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"17,08","20,70",,
150,Planar,0,"2,5",3 / 5,"0,61","0,61","6,13e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"17,07","20,69",,
150,Planar,0,"2,5",4 / 5,"0,62","0,62","4,98e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"17,06","20,68",,
150,Planar,0,"2,5",FINAL,"0,62","0,62","4,20e-03","1,00","1,00","1,00","-0,0","0,0","0,0","2,50","17,05","20,68","8,45","682,19"
150,Planar,"2,5","2,5",INITIAL,"0,49","0,50","1,56e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,56","20,78","24,04",,
150,Planar,"2,5","2,5",1 / 5,"0,43","0,47","2,24e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,25","23,31",,
150,Planar,"2,5","2,5",2 / 5,"0,43","0,42","1,08e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,14","23,22",,
150,Planar,"2,5","2,5",3 / 5,"0,53","0,51","5,64e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,11","23,19",,
150,Planar,"2,5","2,5",4 / 5,"0,57","0,55","3,89e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,10","23,18",,
150,Planar,"2,5","2,5",FINAL,"0,59","0,56","3,08e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,56","19,09","23,17","8,11","418,51"
150,Planar,10,0,INITIAL,"1,01","1,01","7,36e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,23","44,13","55,42",,
150,Planar,10,0,1 / 5,"0,99","1,01","9,18e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"43,95","56,60",,
150,Planar,10,0,2 / 5,"1,03","0,96","3,84e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"43,80","56,39",,
150,Planar,10,0,3 / 5,"1,02","0,97","2,69e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"43,74","56,33",,
150,Planar,10,0,4 / 5,"1,01","0,99","2,15e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"43,71","56,29",,
150,Planar,10,0,FINAL,"1,00","1,00","1,85e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0","16,23","43,69","56,25","1,01","269,13"
150,Planar,0,10,INITIAL,"0,73","0,73","1,53e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","22,53","26,62",,
150,Planar,0,10,1 / 5,"0,61","0,65","2,10e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"21,39","25,91",,
150,Planar,0,10,2 / 5,"0,64","0,67","1,24e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"21,36","25,88",,
150,Planar,0,10,3 / 5,"0,64","0,68","9,86e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"21,35","25,87",,
150,Planar,0,10,4 / 5,"0,65","0,69","8,56e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"21,33","25,86",,
150,Planar,0,10,FINAL,"0,65","0,69","7,67e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","21,32","25,85","5,35","213,25"
150,Planar,10,10,INITIAL,"1,24","1,28","8,52e-01","1,00","1,00","1,00","0,0","0,0","0,0","18,52","45,50","57,63",,
150,Planar,10,10,1 / 5,"0,92","1,12","1,10e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"39,92","51,62",,
150,Planar,10,10,2 / 5,"0,94","1,06","6,01e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"39,89","51,59",,
150,Planar,10,10,3 / 5,"0,96","1,02","4,39e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"39,89","51,58",,
