{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","9,60e-03","1,00","1,00","1,00","0,0","0,0","0,0","4,15","3,49","4,19",,
20,Planar,"2,5",0,1 / 5,"0,95","1,07","3,18e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,68","4,39",,
20,Planar,"2,5",0,2 / 5,"0,94","1,06","2,82e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,68","4,40",,
20,Planar,"2,5",0,3 / 5,"0,95","1,06","2,88e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,68","4,40",,
20,Planar,"2,5",0,4 / 5,"0,95","1,06","2,84e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,67","4,39",,
20,Planar,"2,5",0,FINAL,"0,94","1,06","2,98e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,15","3,67","4,39","-5,26","88,34"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","5,96e-04","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,61","1,85",,
20,Planar,0,"2,5",1 / 5,"0,16","0,18","2,78e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,59","1,83",,
20,Planar,0,"2,5",2 / 5,"0,26","0,28","1,45e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,58","1,82",,
20,Planar,0,"2,5",3 / 5,"0,26","0,29","1,36e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,58","1,82",,
20,Planar,0,"2,5",4 / 5,"0,26","0,29","1,35e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,58","1,82",,
20,Planar,0,"2,5",FINAL,"0,26","0,29","1,34e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","1,58","1,82","2,06","63,20"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","9,20e-03","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,38","4,14",,
20,Planar,"2,5","2,5",1 / 5,"0,96","1,12","2,86e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,53","4,29",,
20,Planar,"2,5","2,5",2 / 5,"0,97","1,03","2,49e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,53","4,29",,
20,Planar,"2,5","2,5",3 / 5,"0,97","1,04","2,43e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,54","4,31",,
20,Planar,"2,5","2,5",4 / 5,"0,97","1,03","2,50e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,55","4,33",,
20,Planar,"2,5","2,5",FINAL,"0,97","1,03","2,56e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,73","3,56","4,36","-5,31","75,20"
20,Planar,10,0,INITIAL,"0,00","0,00","1,79e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,59","12,87","16,83",,
20,Planar,10,0,1 / 5,"0,94","1,09","1,66e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,60","17,63",,
20,Planar,10,0,2 / 5,"0,84","1,18","1,66e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,69","17,81",,
20,Planar,10,0,3 / 5,"0,96","1,03","1,76e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,02","18,17",,
20,Planar,10,0,4 / 5,"0,90","1,08","1,84e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,57","18,77",,
20,Planar,10,0,FINAL,"1,01","0,99","1,90e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","16,59","14,93","19,17","-15,94","89,99"
20,Planar,0,10,INITIAL,"0,00","0,00","1,03e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","4,73","5,55",,
20,Planar,0,10,1 / 5,"0,23","0,22","5,39e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,69","5,50",,
20,Planar,0,10,2 / 5,"0,37","0,33","3,68e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,68","5,49",,
20,Planar,0,10,3 / 5,"0,36","0,32","3,55e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,67","5,48",,
20,Planar,0,10,4 / 5,"0,35","0,32","3,56e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,64","5,45",,
20,Planar,0,10,FINAL,"0,35","0,32","3,57e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","4,62","5,42","2,19","46,22"
20,Planar,10,10,INITIAL,"0,00","0,00","1,47e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,77","11,52","14,38",,
20,Planar,10,10,1 / 5,"0,80","1,71","1,29e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"11,82","14,58",,
20,Planar,10,10,2 / 5,"1,06","0,98","1,33e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"11,88","14,62",,
20,Planar,10,10,3 / 5,"1,05","0,95","1,35e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"12,26","15,09",,
20,Planar,10,10,4 / 5,"1,05","0,95","1,37e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"12,66","15,62",,
20,Planar,10,10,FINAL,"1,05","0,93","1,35e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","17,77","13,39","16,57","-16,24","75,32"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,02e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,10","1,66","1,98",,
20,Gradual,0,"2,5",1 / 5,"0,22","0,21","6,52e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,60","1,91",,
20,Gradual,0,"2,5",2 / 5,"0,35","0,32","5,42e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,56","1,86",,
20,Gradual,0,"2,5",3 / 5,"0,34","0,32","5,68e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,54","1,84",,
20,Gradual,0,"2,5",4 / 5,"0,34","0,32","5,96e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,53","1,82",,
20,Gradual,0,"2,5",FINAL,"0,33","0,32","6,28e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","3,10","1,50","1,78","9,25","48,52"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","1,05e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,29","3,44","4,41",,
20,Gradual,"2,5","2,5",1 / 5,"0,97","1,05","3,37e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,59","4,50",,
20,Gradual,"2,5","2,5",2 / 5,"0,98","1,01","3,08e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,59","4,50",,
20,Gradual,"2,5","2,5",3 / 5,"0,99","1,01","3,13e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,60","4,51",,
20,Gradual,"2,5","2,5",4 / 5,"0,99","1,01","3,22e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,60","4,51",,
20,Gradual,"2,5","2,5",FINAL,"0,99","1,02","3,34e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","5,29","3,61","4,51","-4,74","68,25"
20,Gradual,0,10,INITIAL,"0,00","0,00","3,13e-03","1,00","1,00","1,00","0,0","0,0","0,0","9,97","4,22","5,06",,
20,Gradual,0,10,1 / 5,"0,36","0,37","2,65e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,11","4,90",,
20,Gradual,0,10,2 / 5,"0,62","0,62","2,46e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,07","4,84",,
20,Gradual,0,10,3 / 5,"0,64","0,63","2,53e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,02","4,77",,
20,Gradual,0,10,4 / 5,"0,62","0,61","2,55e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,97","4,71",,
20,Gradual,0,10,FINAL,"0,61","0,60","2,64e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","9,97","3,92","4,65","7,09","39,38"
20,Gradual,10,10,INITIAL,"0,00","0,00","1,90e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,90","13,52","16,72",,
20,Gradual,10,10,1 / 5,"1,02","1,14","1,87e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"13,77","16,97",,
20,Gradual,10,10,2 / 5,"1,03","0,97","1,92e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,09","17,25",,
20,Gradual,10,10,3 / 5,"1,04","0,93","1,92e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,27","17,46",,
20,Gradual,10,10,4 / 5,"1,06","0,94","1,94e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,72","18,27",,
20,Gradual,10,10,FINAL,"1,11","0,91","1,96e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","20,90","15,23","19,09","-12,64","72,87"
80,Planar,"2,5",0,INITIAL,"0,00","0,00","2,20e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,28","12,35","15,09",,
80,Planar,"2,5",0,1 / 5,"0,59","0,63","2,17e-03","1,00","1,00","1,00","0,0","-0,0","0,0",,"12,26","15,01",,
80,Planar,"2,5",0,2 / 5,"0,64","0,67","9,76e-04","1,00","1,00","1,00","0,0","-0,0","0,0",,"12,27","15,01",,
80,Planar,"2,5",0,3 / 5,"0,61","0,65","7,18e-04","1,00","1,00","1,00","0,0","-0,0","0,0",,"12,26","15,01",,
80,Planar,"2,5",0,4 / 5,"0,62","0,65","5,72e-04","1,00","1,00","1,00","0,0","-0,0","0,0",,"12,26","15,01",,
80,Planar,"2,5",0,FINAL,"0,61","0,64","5,01e-04","1,00","1,00","1,00","0,0","-0,0","0,0","4,28","12,25","15,01","0,80","286,41"
80,Planar,0,"2,5",INITIAL,"0,00","0,00","1,13e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,82","9,40",,
80,Planar,0,"2,5",1 / 5,"0,37","0,38","1,19e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,72","9,33",,
80,Planar,0,"2,5",2 / 5,"0,39","0,39","8,57e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,72","9,32",,
80,Planar,0,"2,5",3 / 5,"0,39","0,39","6,51e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,72","9,32",,
80,Planar,0,"2,5",4 / 5,"0,39","0,40","5,06e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,72","9,32",,
80,Planar,0,"2,5",FINAL,"0,39","0,39","4,07e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","7,71","9,32","1,38","308,50"
80,Planar,"2,5","2,5",INITIAL,"0,00","0,00","1,72e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,69","10,20","12,02",,
80,Planar,"2,5","2,5",1 / 5,"0,46","0,46","2,80e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,38","12,36",,
80,Planar,"2,5","2,5",2 / 5,"0,55","0,57","1,05e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,39","12,36",,
80,Planar,"2,5","2,5",3 / 5,"0,57","0,58","7,51e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,39","12,36",,
80,Planar,"2,5","2,5",4 / 5,"0,57","0,59","6,26e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,39","12,36",,
80,Planar,"2,5","2,5",FINAL,"0,57","0,59","5,71e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","4,69","10,39","12,36","-1,95","221,44"
80,Planar,10,0,INITIAL,"0,00","0,00","1,39e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,40","26,33","33,33",,
80,Planar,10,0,1 / 5,"1,02","0,98","3,68e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"26,52","33,24",,
80,Planar,10,0,2 / 5,"1,05","0,95","3,50e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"26,65","33,32",,
80,Planar,10,0,3 / 5,"1,05","0,95","3,59e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"26,79","33,45",,
80,Planar,10,0,4 / 5,"1,05","0,94","3,78e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"26,95","33,58",,
80,Planar,10,0,FINAL,"1,05","0,95","3,83e-02","1,00","1,00","1,00","-0,0","-0,0","0,0","15,40","27,08","33,71","-2,83","175,87"
80,Planar,0,10,INITIAL,"0,00","0,00","1,10e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,72","17,40",,
80,Planar,0,10,1 / 5,"0,36","0,35","1,51e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,54","17,29",,
80,Planar,0,10,2 / 5,"0,41","0,40","8,78e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,53","17,29",,
80,Planar,0,10,3 / 5,"0,42","0,41","7,10e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,53","17,29",,
80,Planar,0,10,4 / 5,"0,42","0,41","6,55e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,53","17,29",,
80,Planar,0,10,FINAL,"0,42","0,41","6,14e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","14,53","17,29","1,30","145,29"
80,Planar,10,10,INITIAL,"0,00","0,00","1,50e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,74","32,26","39,76",,
80,Planar,10,10,1 / 5,"0,95","1,04","5,09e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"31,71","38,80",,
80,Planar,10,10,2 / 5,"0,98","1,02","4,42e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"31,70","38,77",,
80,Planar,10,10,3 / 5,"0,98","1,02","4,37e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"31,71","38,83",,
80,Planar,10,10,4 / 5,"0,98","1,02","4,51e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"31,73","38,89",,
80,Planar,10,10,FINAL,"0,98","1,02","4,54e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","17,74","31,76","38,94","1,57","178,99"
80,Gradual,0,"2,5",INITIAL,"0,00","0,00","3,55e-02","1,00","1,00","1,00","0,0","0,0","0,0","21,20","26,88","41,47",,
80,Gradual,0,"2,5",1 / 5,"0,58","0,56","2,43e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"26,67","41,28",,
80,Gradual,0,"2,5",2 / 5,"1,01","0,97","2,14e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"26,63","41,19",,
80,Gradual,0,"2,5",3 / 5,"1,17","1,14","2,14e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"26,63","41,15",,
80,Gradual,0,"2,5",4 / 5,"1,04","0,99","2,18e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"26,56","41,08",,
80,Gradual,0,"2,5",FINAL,"1,03","0,98","2,22e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","21,20","26,49","41,00","1,45","124,97"
80,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","3,57e-02","1,00","1,00","1,00","0,0","0,0","0,0","23,54","30,57","46,17",,
80,Gradual,"2,5","2,5",1 / 5,"0,47","0,48","1,83e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,45","46,09",,
80,Gradual,"2,5","2,5",2 / 5,"0,92","0,91","1,26e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,43","45,99",,
80,Gradual,"2,5","2,5",3 / 5,"1,01","0,99","1,19e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,42","45,95",,
80,Gradual,"2,5","2,5",4 / 5,"1,00","1,00","1,18e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"30,39","45,92",,
80,Gradual,"2,5","2,5",FINAL,"1,00","1,00","1,18e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","23,54","30,36","45,88","0,69","129,00"
80,Gradual,0,10,INITIAL,"0,00","0,00","1,06e-01","1,00","1,00","1,00","0,0","0,0","0,0","39,19","47,30","68,36",,
80,Gradual,0,10,1 / 5,"0,88","0,92","7,79e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"46,89","67,53",,
80,Gradual,0,10,2 / 5,"0,93","0,99","7,63e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"46,89","67,52",,
80,Gradual,0,10,3 / 5,"1,04","1,10","7,47e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"46,88","67,50",,
80,Gradual,0,10,4 / 5,"0,99","1,02","7,61e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"46,84","67,43",,
80,Gradual,0,10,FINAL,"0,99","1,01","8,61e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","39,19","46,82","67,39","1,02","119,48"
80,Gradual,10,10,INITIAL,"0,00","0,00","2,75e-01","1,00","1,00","1,00","0,0","0,0","0,0","51,84","60,69","81,69",,
80,Gradual,10,10,1 / 5,"0,92","1,06","1,68e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"60,66","80,96",,
80,Gradual,10,10,2 / 5,"1,01","0,99","1,52e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"60,58","80,73",,
80,Gradual,10,10,3 / 5,"1,02","0,98","1,50e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"60,51","80,57",,
80,Gradual,10,10,4 / 5,"1,02","0,98","1,50e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"60,45","80,45",,
80,Gradual,10,10,FINAL,"1,02","0,98","1,53e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","51,84","60,42","80,38","0,44","116,55"
150,Planar,"2,5",0,INITIAL,"0,00","0,00","4,28e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,98","19,67","24,20",,
150,Planar,"2,5",0,1 / 5,"0,39","0,41","7,36e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,39","23,86",,
150,Planar,"2,5",0,2 / 5,"0,41","0,43","3,64e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,38","23,86",,
150,Planar,"2,5",0,3 / 5,"0,45","0,47","2,07e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,37","23,85",,
150,Planar,"2,5",0,4 / 5,"0,47","0,49","1,19e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,36","23,85",,
150,Planar,"2,5",0,FINAL,"0,48","0,50","9,33e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","3,98","19,36","23,85","1,56","486,60"
150,Planar,0,"2,5",INITIAL,"0,00","0,00","4,05e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","17,90","22,03",,
150,Planar,0,"2,5",1 / 5,"0,37","0,38","4,63e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"17,66","21,81",,
150,Planar,0,"2,5",2 / 5,"0,43","0,43","2,12e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"17,65","21,79",,
150,Planar,0,"2,5",3 / 5,"0,45","0,45","1,49e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"17,64","21,79",,
150,Planar,0,"2,5",4 / 5,"0,46","0,45","1,19e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"17,64","21,79",,
150,Planar,0,"2,5",FINAL,"0,46","0,46","9,46e-04","1,00","1,00","1,00","-0,0","0,0","0,0","2,50","17,64","21,78","1,48","705,48"
150,Planar,"2,5","2,5",INITIAL,"0,00","0,00","3,81e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,56","20,20","23,64",,
150,Planar,"2,5","2,5",1 / 5,"0,40","0,39","5,56e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,99","23,47",,
150,Planar,"2,5","2,5",2 / 5,"0,45","0,44","2,53e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,97","23,46",,
150,Planar,"2,5","2,5",3 / 5,"0,47","0,46","1,61e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,96","23,45",,
150,Planar,"2,5","2,5",4 / 5,"0,48","0,47","1,19e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"19,96","23,45",,
150,Planar,"2,5","2,5",FINAL,"0,48","0,48","9,71e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","4,56","19,95","23,45","1,22","437,36"
150,Planar,10,0,INITIAL,"0,00","0,00","1,81e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,23","43,08","54,99",,
150,Planar,10,0,1 / 5,"0,96","1,02","2,63e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"43,01","54,58",,
150,Planar,10,0,2 / 5,"0,99","1,01","1,68e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"43,00","54,56",,
150,Planar,10,0,3 / 5,"0,99","1,01","1,22e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"43,00","54,55",,
150,Planar,10,0,4 / 5,"0,99","1,01","9,28e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"43,00","54,54",,
150,Planar,10,0,FINAL,"0,99","1,01","7,48e-03","1,00","1,00","1,00","-0,0","0,0","0,0","16,23","42,99","54,54","0,20","264,84"
150,Planar,0,10,INITIAL,"0,00","0,00","3,90e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","21,61","26,02",,
150,Planar,0,10,1 / 5,"0,41","0,45","5,33e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"21,30","25,79",,
150,Planar,0,10,2 / 5,"0,45","0,48","2,93e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"21,28","25,77",,
150,Planar,0,10,3 / 5,"0,46","0,49","2,42e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"21,27","25,77",,
150,Planar,0,10,4 / 5,"0,46","0,49","2,09e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"21,27","25,77",,
150,Planar,0,10,FINAL,"0,47","0,49","1,86e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","21,26","25,76","1,62","212,64"
150,Planar,10,10,INITIAL,"0,00","0,00","2,11e-01","1,00","1,00","1,00","0,0","0,0","0,0","18,52","44,37","57,09",,
150,Planar,10,10,1 / 5,"0,94","1,04","3,28e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"44,04","56,47",,
150,Planar,10,10,2 / 5,"0,95","1,01","1,88e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"43,99","56,43",,
150,Planar,10,10,3 / 5,"0,97","1,02","1,33e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"44,00","56,43",,
