{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,60","1,62","3,49e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,15","3,79","4,41",,
20,Planar,"2,5",0,1 / 5,"1,97","1,74","9,32e-03","1,00","1,00","1,00","-0,0","-0,0","0,0",,"3,89","4,54",,
20,Planar,"2,5",0,2 / 5,"1,95","1,87","7,78e-03","1,00","1,00","1,00","-0,0","-0,0","0,0",,"3,91","4,56",,
20,Planar,"2,5",0,3 / 5,"1,63","1,70","5,45e-03","1,00","1,00","1,00","-0,0","-0,0","0,0",,"3,86","4,52",,
20,Planar,"2,5",0,4 / 5,"1,63","1,70","5,41e-03","1,00","1,00","1,00","-0,0","-0,0","0,0",,"3,86","4,52",,
20,Planar,"2,5",0,FINAL,"1,63","1,70","5,37e-03","1,00","1,00","1,00","-0,0","-0,0","0,0","4,15","3,86","4,52","-1,82","93,00"
20,Planar,0,"2,5",INITIAL,"0,89","1,14","2,34e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,87","2,07",,
20,Planar,0,"2,5",1 / 5,"0,93","1,09","3,45e-04","1,00","1,00","1,00","-0,01","0,05","-0,0",,"1,78","1,97",,
20,Planar,0,"2,5",2 / 5,"0,93","1,09","2,60e-04","1,00","1,00","1,00","-0,01","0,05","-0,0",,"1,77","1,97",,
20,Planar,0,"2,5",3 / 5,"0,93","1,08","2,47e-04","1,00","1,00","1,00","-0,01","0,05","-0,0",,"1,77","1,96",,
20,Planar,0,"2,5",4 / 5,"0,93","1,08","2,39e-04","1,00","1,00","1,00","-0,01","0,06","-0,0",,"1,77","1,96",,
20,Planar,0,"2,5",FINAL,"0,93","1,08","2,33e-04","1,00","1,00","1,00","-0,01","0,06","-0,0","2,50","1,77","1,96","5,44","70,69"
20,Planar,"2,5","2,5",INITIAL,"1,94","1,96","3,61e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,83","4,45",,
20,Planar,"2,5","2,5",1 / 5,"2,34","2,36","1,08e-02","1,00","1,00","1,00","-0,0","0,01","-0,0",,"3,92","4,59",,
20,Planar,"2,5","2,5",2 / 5,"2,19","2,45","5,66e-03","1,00","1,00","1,00","-0,0","0,02","-0,0",,"3,91","4,60",,
20,Planar,"2,5","2,5",3 / 5,"1,56","1,86","4,20e-03","1,00","1,00","1,00","-0,0","0,03","-0,0",,"3,76","4,49",,
20,Planar,"2,5","2,5",4 / 5,"1,19","1,41","3,34e-03","1,00","1,00","1,00","-0,0","0,03","-0,0",,"3,67","4,43",,
20,Planar,"2,5","2,5",FINAL,"1,11","1,25","2,92e-03","1,00","1,00","1,00","-0,01","0,04","-0,0","4,73","3,65","4,42","4,66","77,09"
20,Planar,10,0,INITIAL,"6,67","6,72","6,37e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,59","14,42","17,75",,
20,Planar,10,0,1 / 5,"0,45","0,49","4,36e-01","1,00","1,00","1,00","-0,06","0,02","-0,06",,"17,49","22,89",,
20,Planar,10,0,2 / 5,"0,80","1,14","4,32e-01","1,00","1,00","1,00","-0,12","0,03","-0,14",,"20,18","25,97",,
20,Planar,10,0,3 / 5,"0,41","0,43","4,65e-01","1,00","1,00","1,00","-0,17","0,04","-0,2",,"21,84","28,17",,
20,Planar,10,0,4 / 5,"0,45","0,49","4,94e-01","1,00","1,00","1,00","-0,21","0,04","-0,26",,"22,96","29,81",,
20,Planar,10,0,FINAL,"0,46","0,41","5,11e-01","1,00","1,00","1,00","-0,23","0,05","-0,28","16,59","23,59","30,57","-63,65","142,26"
20,Planar,0,10,INITIAL,"3,36","3,32","4,16e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,65","6,19",,
20,Planar,0,10,1 / 5,"3,36","3,31","2,31e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"5,64","6,17",,
20,Planar,0,10,2 / 5,"1,09","1,05","8,47e-04","1,00","1,00","1,00","-0,0","0,06","-0,0",,"4,82","5,61",,
20,Planar,0,10,3 / 5,"1,03","0,99","7,60e-04","1,00","1,00","1,00","-0,01","0,07","-0,0",,"4,80","5,60",,
20,Planar,0,10,4 / 5,"1,02","0,98","7,44e-04","1,00","1,00","1,00","-0,01","0,08","-0,0",,"4,80","5,60",,
20,Planar,0,10,FINAL,"1,02","0,98","7,38e-04","1,00","1,00","1,00","-0,01","0,08","-0,0","10,00","4,80","5,60","15,11","48,00"
20,Planar,10,10,INITIAL,"7,82","7,88","5,59e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,77","13,12","15,42",,
20,Planar,10,10,1 / 5,"0,65","0,46","3,77e-01","1,00","1,00","1,00","-0,05","0,09","-0,11",,"15,27","19,68",,
20,Planar,10,10,2 / 5,"0,63","0,70","4,71e-01","1,00","1,00","1,00","-0,17","0,2","-0,21",,"18,47","24,05",,
20,Planar,10,10,3 / 5,"0,69","0,68","5,02e-01","1,00","1,00","1,00","-0,25","0,25","-0,26",,"19,95","25,67",,
20,Planar,10,10,4 / 5,"0,54","0,50","5,16e-01","1,00","1,00","1,00","-0,31","0,28","-0,3",,"21,03","27,09",,
20,Planar,10,10,FINAL,"0,36","0,31","5,78e-01","1,00","1,00","1,00","-0,42","0,34","-0,39","17,77","22,61","29,18","-72,30","127,20"
20,Gradual,0,"2,5",INITIAL,"1,52","1,46","4,17e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,10","2,02","2,39",,
20,Gradual,0,"2,5",1 / 5,"1,54","1,42","1,95e-03","1,00","1,00","1,00","-0,0","0,04","-0,01",,"1,91","2,24",,
20,Gradual,0,"2,5",2 / 5,"1,16","1,11","1,53e-03","1,00","1,00","1,00","-0,0","0,05","-0,01",,"1,78","2,10",,
20,Gradual,0,"2,5",3 / 5,"1,01","0,98","1,37e-03","1,00","1,00","1,00","-0,0","0,05","-0,01",,"1,74","2,05",,
20,Gradual,0,"2,5",4 / 5,"1,01","0,99","1,37e-03","1,00","1,00","1,00","-0,0","0,05","-0,01",,"1,74","2,05",,
20,Gradual,0,"2,5",FINAL,"1,01","0,99","1,37e-03","1,00","1,00","1,00","-0,0","0,06","-0,01","3,10","1,74","2,04","14,16","56,06"
20,Gradual,"2,5","2,5",INITIAL,"2,32","2,31","4,23e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,29","3,95","4,81",,
20,Gradual,"2,5","2,5",1 / 5,"3,12","3,16","1,06e-02","1,00","1,00","1,00","-0,0","0,02","-0,0",,"4,18","5,00",,
20,Gradual,"2,5","2,5",2 / 5,"1,94","2,21","3,75e-03","1,00","1,00","1,00","-0,02","0,09","-0,01",,"3,91","4,79",,
20,Gradual,"2,5","2,5",3 / 5,"1,18","1,25","3,80e-03","1,00","1,00","1,00","-0,02","0,1","-0,01",,"3,72","4,65",,
20,Gradual,"2,5","2,5",4 / 5,"1,13","1,18","3,76e-03","1,00","1,00","1,00","-0,02","0,1","-0,02",,"3,71","4,64",,
20,Gradual,"2,5","2,5",FINAL,"1,11","1,15","3,83e-03","1,00","1,00","1,00","-0,02","0,1","-0,02","5,29","3,71","4,63","6,24","70,12"
20,Gradual,0,10,INITIAL,"5,03","6,00","1,28e-02","1,00","1,00","1,00","0,0","0,0","0,0","9,97","5,45","6,43",,
20,Gradual,0,10,1 / 5,"5,02","5,84","1,05e-02","1,00","1,00","1,00","-0,02","0,07","-0,01",,"5,37","6,30",,
20,Gradual,0,10,2 / 5,"4,83","5,61","1,01e-02","1,00","1,00","1,00","-0,02","0,1","-0,01",,"5,28","6,19",,
20,Gradual,0,10,3 / 5,"1,06","1,11","4,20e-03","1,00","1,00","1,00","-0,04","0,2","-0,02",,"4,16","4,93",,
20,Gradual,0,10,4 / 5,"0,99","1,01","4,05e-03","1,00","1,00","1,00","-0,04","0,21","-0,02",,"4,15","4,91",,
20,Gradual,0,10,FINAL,"0,99","1,01","4,02e-03","1,00","1,00","1,00","-0,04","0,21","-0,02","9,97","4,14","4,91","24,02","41,59"
20,Gradual,10,10,INITIAL,"9,87","10,31","7,53e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,90","15,82","18,31",,
20,Gradual,10,10,1 / 5,"0,56","0,57","6,03e-01","1,00","1,00","1,00","-0,06","0,16","-0,09",,"18,40","23,58",,
20,Gradual,10,10,2 / 5,"0,84","1,06","6,80e-01","1,00","1,00","1,00","-0,15","0,27","-0,19",,"20,45","26,53",,
20,Gradual,10,10,3 / 5,"1,11","0,97","7,47e-01","1,00","1,00","1,00","-0,24","0,35","-0,28",,"22,30","29,01",,
20,Gradual,10,10,4 / 5,"0,86","1,06","7,61e-01","1,00","1,00","1,00","-0,29","0,39","-0,29",,"23,10","29,84",,
20,Gradual,10,10,FINAL,"0,61","0,79","8,33e-01","1,00","1,00","1,00","-0,37","0,44","-0,31","20,90","24,34","31,39","-53,85","116,50"
80,Planar,"2,5",0,INITIAL,"0,60","0,71","8,87e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,28","12,81","15,36",,
80,Planar,"2,5",0,1 / 5,"0,72","0,79","1,62e-02","1,00","1,00","1,00","-0,0","-0,06","0,01",,"12,59","15,35",,
80,Planar,"2,5",0,2 / 5,"0,76","0,82","8,27e-03","1,00","1,00","1,00","0,0","-0,06","-0,01",,"12,59","15,34",,
80,Planar,"2,5",0,3 / 5,"0,77","0,83","7,96e-03","1,00","1,00","1,00","0,0","-0,06","-0,01",,"12,59","15,34",,
80,Planar,"2,5",0,4 / 5,"0,77","0,83","7,83e-03","1,00","1,00","1,00","0,0","-0,07","-0,01",,"12,59","15,34",,
80,Planar,"2,5",0,FINAL,"0,77","0,83","7,72e-03","1,00","1,00","1,00","0,0","-0,07","-0,01","4,28","12,59","15,34","1,72","294,31"
80,Planar,0,"2,5",INITIAL,"0,45","0,46","4,64e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","8,26","9,72",,
80,Planar,0,"2,5",1 / 5,"0,47","0,52","6,51e-03","1,00","1,00","1,00","-0,01","0,2","-0,0",,"7,91","9,48",,
80,Planar,0,"2,5",2 / 5,"0,49","0,55","2,78e-03","1,00","1,00","1,00","-0,04","0,6","-0,02",,"7,85","9,44",,
80,Planar,0,"2,5",3 / 5,"0,50","0,55","2,39e-03","1,00","1,00","1,00","-0,04","0,62","-0,02",,"7,84","9,44",,
80,Planar,0,"2,5",4 / 5,"0,50","0,55","2,34e-03","1,00","1,00","1,00","-0,04","0,63","-0,02",,"7,84","9,44",,
80,Planar,0,"2,5",FINAL,"0,50","0,55","2,32e-03","1,00","1,00","1,00","-0,04","0,63","-0,02","2,50","7,84","9,44","5,09","313,65"
80,Planar,"2,5","2,5",INITIAL,"0,60","0,61","7,21e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,69","10,65","12,32",,
80,Planar,"2,5","2,5",1 / 5,"0,64","0,72","1,27e-02","1,00","1,00","1,00","-0,01","0,22","-0,01",,"10,45","12,25",,
80,Planar,"2,5","2,5",2 / 5,"0,65","0,75","1,02e-02","1,00","1,00","1,00","-0,01","0,24","-0,01",,"10,45","12,25",,
80,Planar,"2,5","2,5",3 / 5,"0,65","0,75","1,02e-02","1,00","1,00","1,00","-0,01","0,24","-0,01",,"10,45","12,25",,
80,Planar,"2,5","2,5",4 / 5,"0,65","0,76","1,01e-02","1,00","1,00","1,00","-0,01","0,24","-0,01",,"10,45","12,25",,
80,Planar,"2,5","2,5",FINAL,"0,65","0,76","1,01e-02","1,00","1,00","1,00","-0,01","0,24","-0,01","4,69","10,45","12,25","1,88","222,62"
80,Planar,10,0,INITIAL,"1,55","1,66","5,61e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,40","27,23","33,76",,
80,Planar,10,0,1 / 5,"1,87","1,74","2,65e-01","1,00","1,00","1,00","-0,01","0,0","-0,0",,"27,23","34,07",,
80,Planar,10,0,2 / 5,"2,04","2,72","7,50e-02","1,00","1,00","1,00","-0,08","-0,08","0,03",,"27,84","34,44",,
80,Planar,10,0,3 / 5,"1,90","2,38","3,68e-02","1,00","1,00","1,00","-0,19","-0,16","-0,08",,"27,86","34,45",,
80,Planar,10,0,4 / 5,"1,64","1,93","2,72e-02","1,00","1,00","1,00","-0,2","-0,18","-0,09",,"27,71","34,37",,
80,Planar,10,0,FINAL,"1,18","1,13","3,81e-02","1,00","1,00","1,00","-0,2","-0,17","-0,09","15,40","27,44","34,27","-0,79","178,25"
80,Planar,0,10,INITIAL,"0,88","0,89","4,36e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","15,32","17,75",,
80,Planar,0,10,1 / 5,"0,88","0,91","1,20e-02","1,00","1,00","1,00","-0,01","0,18","-0,01",,"15,15","17,64",,
80,Planar,0,10,2 / 5,"0,91","0,93","4,79e-03","1,00","1,00","1,00","-0,05","1,01","-0,06",,"15,09","17,61",,
80,Planar,0,10,3 / 5,"0,91","0,93","4,55e-03","1,00","1,00","1,00","-0,05","1,04","-0,06",,"15,08","17,61",,
80,Planar,0,10,4 / 5,"0,91","0,93","4,44e-03","1,00","1,00","1,00","-0,05","1,06","-0,06",,"15,08","17,61",,
80,Planar,0,10,FINAL,"0,91","0,93","4,36e-03","1,00","1,00","1,00","-0,05","1,08","-0,06","10,00","15,08","17,61","1,57","150,82"
80,Planar,10,10,INITIAL,"1,72","1,71","6,24e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,74","33,15","40,25",,
80,Planar,10,10,1 / 5,"2,68","2,76","1,47e-01","1,00","1,00","1,00","-0,12","0,8","-0,11",,"33,35","40,78",,
80,Planar,10,10,2 / 5,"2,43","2,87","6,65e-02","1,00","1,00","1,00","-0,29","1,86","-0,24",,"33,41","40,83",,
80,Planar,10,10,3 / 5,"1,24","1,48","4,75e-02","1,00","1,00","1,00","-0,34","2,18","-0,3",,"32,86","40,53",,
80,Planar,10,10,4 / 5,"1,19","1,44","4,77e-02","1,00","1,00","1,00","-0,34","2,18","-0,3",,"32,85","40,52",,
80,Planar,10,10,FINAL,"1,18","1,42","4,71e-02","1,00","1,00","1,00","-0,34","2,19","-0,3","17,74","32,84","40,51","0,92","185,10"
80,Gradual,0,"2,5",INITIAL,"2,51","2,39","1,46e-01","1,00","1,00","1,00","0,0","0,0","0,0","21,20","28,45","42,27",,
80,Gradual,0,"2,5",1 / 5,"2,45","2,24","9,26e-02","1,00","1,00","1,00","-0,74","3,78","-1,26",,"27,95","41,88",,
80,Gradual,0,"2,5",2 / 5,"2,44","2,22","9,08e-02","1,00","1,00","1,00","-0,74","3,81","-1,27",,"27,93","41,87",,
80,Gradual,0,"2,5",3 / 5,"0,72","0,73","4,61e-02","1,00","1,00","1,00","-0,81","4,04","-1,37",,"26,84","41,34",,
80,Gradual,0,"2,5",4 / 5,"0,47","0,49","4,03e-02","1,00","1,00","1,00","-0,82","4,06","-1,39",,"26,77","41,31",,
80,Gradual,0,"2,5",FINAL,"0,46","0,48","3,99e-02","1,00","1,00","1,00","-0,82","4,06","-1,39","21,20","26,76","41,31","5,93","126,23"
80,Gradual,"2,5","2,5",INITIAL,"2,44","2,52","1,46e-01","1,00","1,00","1,00","0,0","0,0","0,0","23,54","32,17","46,94",,
80,Gradual,"2,5","2,5",1 / 5,"2,56","2,58","8,57e-02","1,00","1,00","1,00","-0,02","0,14","-0,04",,"31,96","46,88",,
80,Gradual,"2,5","2,5",2 / 5,"1,64","1,58","4,11e-02","1,00","1,00","1,00","-0,38","2,53","-0,81",,"31,00","46,34",,
80,Gradual,"2,5","2,5",3 / 5,"1,01","0,99","2,87e-02","1,00","1,00","1,00","-0,52","3,25","-1,1",,"30,61","46,14",,
80,Gradual,"2,5","2,5",4 / 5,"1,01","0,99","2,76e-02","1,00","1,00","1,00","-0,54","3,32","-1,14",,"30,60","46,13",,
80,Gradual,"2,5","2,5",FINAL,"1,01","0,99","2,65e-02","1,00","1,00","1,00","-0,56","3,41","-1,18","23,54","30,59","46,13","4,91","129,99"
80,Gradual,0,10,INITIAL,"4,05","4,04","4,36e-01","1,00","1,00","1,00","0,0","0,0","0,0","39,19","49,63","69,62",,
80,Gradual,0,10,1 / 5,"4,07","4,11","4,16e-01","1,00","1,00","1,00","-0,01","0,05","-0,01",,"49,56","69,60",,
80,Gradual,0,10,2 / 5,"4,07","4,09","4,09e-01","1,00","1,00","1,00","-0,06","0,28","-0,08",,"49,51","69,56",,
80,Gradual,0,10,3 / 5,"1,04","1,00","2,04e-01","1,00","1,00","1,00","-0,83","3,61","-1,12",,"47,53","68,29",,
80,Gradual,0,10,4 / 5,"1,01","0,96","2,02e-01","1,00","1,00","1,00","-0,84","3,65","-1,13",,"47,52","68,28",,
80,Gradual,0,10,FINAL,"1,01","0,96","2,02e-01","1,00","1,00","1,00","-0,84","3,66","-1,14","39,19","47,52","68,28","4,24","121,27"
80,Gradual,10,10,INITIAL,"6,11","7,13","1,13e+00","1,00","1,00","1,00","0,0","0,0","0,0","51,84","64,64","83,94",,
80,Gradual,10,10,1 / 5,"0,16","0,19","3,94e-01","1,00","1,00","1,00","-1,86","6,26","-3,32",,"62,91","83,18",,
80,Gradual,10,10,2 / 5,"2,09","2,03","1,79e-01","1,00","1,00","1,00","-3,85","9,91","-7,96",,"63,33","83,41",,
80,Gradual,10,10,3 / 5,"2,45","2,44","1,36e-01","1,00","1,00","1,00","-4,83","10,34","-10,13",,"63,43","83,44",,
80,Gradual,10,10,4 / 5,"2,48","2,46","1,34e-01","1,00","1,00","1,00","-4,84","10,34","-10,15",,"63,44","83,45",,
80,Gradual,10,10,FINAL,"2,49","2,47","1,31e-01","1,00","1,00","1,00","-4,85","10,34","-10,16","51,84","63,44","83,45","1,86","122,37"
150,Planar,"2,5",0,INITIAL,"0,52","0,53","1,72e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,98","20,45","24,65",,
150,Planar,"2,5",0,1 / 5,"0,46","0,49","3,16e-02","1,00","1,00","1,00","-0,01","-0,06","-0,01",,"19,91","24,38",,
150,Planar,"2,5",0,2 / 5,"0,52","0,56","1,39e-02","1,00","1,00","1,00","-0,06","0,04","-0,06",,"19,82","24,33",,
150,Planar,"2,5",0,3 / 5,"0,53","0,57","1,16e-02","1,00","1,00","1,00","-0,06","0,03","-0,06",,"19,81","24,33",,
150,Planar,"2,5",0,4 / 5,"0,54","0,58","1,05e-02","1,00","1,00","1,00","-0,06","0,03","-0,07",,"19,81","24,33",,
150,Planar,"2,5",0,FINAL,"0,55","0,59","9,71e-03","1,00","1,00","1,00","-0,06","0,03","-0,07","3,98","19,81","24,33","3,14","497,76"
150,Planar,0,"2,5",INITIAL,"0,49","0,49","1,59e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","18,63","22,49",,
150,Planar,0,"2,5",1 / 5,"0,47","0,49","4,51e-02","1,00","1,00","1,00","-0,02","0,07","0,0",,"18,19","22,27",,
150,Planar,0,"2,5",2 / 5,"0,53","0,58","1,22e-02","1,00","1,00","1,00","-0,14","0,51","0,02",,"17,97","22,16",,
150,Planar,0,"2,5",3 / 5,"0,55","0,59","9,89e-03","1,00","1,00","1,00","-0,15","0,55","0,02",,"17,96","22,15",,
150,Planar,0,"2,5",4 / 5,"0,56","0,60","8,12e-03","1,00","1,00","1,00","-0,16","0,59","0,01",,"17,95","22,14",,
150,Planar,0,"2,5",FINAL,"0,57","0,60","6,64e-03","1,00","1,00","1,00","-0,18","0,65","0,01","2,50","17,94","22,14","3,70","717,58"
150,Planar,"2,5","2,5",INITIAL,"0,49","0,50","1,56e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,56","20,78","24,04",,
150,Planar,"2,5","2,5",1 / 5,"0,53","0,61","2,94e-02","1,00","1,00","1,00","-0,19","0,68","-0,01",,"20,54","23,94",,
150,Planar,"2,5","2,5",2 / 5,"0,58","0,65","1,48e-02","1,00","1,00","1,00","-0,2","0,69","-0,03",,"20,50","23,92",,
150,Planar,"2,5","2,5",3 / 5,"0,59","0,66","1,25e-02","1,00","1,00","1,00","-0,2","0,69","-0,03",,"20,50","23,91",,
150,Planar,"2,5","2,5",4 / 5,"0,60","0,66","1,11e-02","1,00","1,00","1,00","-0,2","0,7","-0,04",,"20,49","23,91",,
150,Planar,"2,5","2,5",FINAL,"0,60","0,67","1,06e-02","1,00","1,00","1,00","-0,21","0,7","-0,05","4,56","20,49","23,91","1,39","449,12"
150,Planar,10,0,INITIAL,"1,01","1,01","7,36e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,23","44,13","55,42",,
150,Planar,10,0,1 / 5,"2,26","2,18","1,09e-01","1,00","1,00","1,00","-0,27","0,15","-0,19",,"45,39","56,84",,
150,Planar,10,0,2 / 5,"1,75","1,75","5,38e-02","1,00","1,00","1,00","-0,18","-0,03","-0,34",,"44,78","56,50",,
150,Planar,10,0,3 / 5,"1,22","1,29","3,24e-02","1,00","1,00","1,00","-0,15","-0,29","-0,34",,"44,22","56,22",,
150,Planar,10,0,4 / 5,"1,04","1,13","2,48e-02","1,00","1,00","1,00","-0,12","-0,39","-0,32",,"44,06","56,16",,
150,Planar,10,0,FINAL,"0,97","1,05","2,09e-02","1,00","1,00","1,00","-0,07","-0,49","-0,26","16,23","44,00","56,14","0,30","271,05"
150,Planar,0,10,INITIAL,"0,73","0,73","1,53e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","22,53","26,62",,
150,Planar,0,10,1 / 5,"0,71","0,76","2,60e-02","1,00","1,00","1,00","-0,77","3,07","-0,09",,"22,17","26,46",,
150,Planar,0,10,2 / 5,"0,72","0,77","2,23e-02","1,00","1,00","1,00","-0,77","3,08","-0,09",,"22,16","26,46",,
150,Planar,0,10,3 / 5,"0,73","0,77","2,09e-02","1,00","1,00","1,00","-0,77","3,09","-0,1",,"22,16","26,46",,
150,Planar,0,10,4 / 5,"0,73","0,77","1,99e-02","1,00","1,00","1,00","-0,78","3,11","-0,1",,"22,15","26,45",,
150,Planar,0,10,FINAL,"0,73","0,78","1,88e-02","1,00","1,00","1,00","-0,78","3,12","-0,1","10,00","22,15","26,45","1,69","221,50"
150,Planar,10,10,INITIAL,"1,24","1,28","8,52e-01","1,00","1,00","1,00","0,0","0,0","0,0","18,52","45,50","57,63",,
150,Planar,10,10,1 / 5,"1,55","1,46","1,57e-01","1,00","1,00","1,00","-1,02","3,29","-0,23",,"45,90","58,35",,
150,Planar,10,10,2 / 5,"1,04","1,02","8,31e-02","1,00","1,00","1,00","-0,91","2,53","-0,39",,"45,58","58,22",,
150,Planar,10,10,3 / 5,"1,01","1,00","6,20e-02","1,00","1,00","1,00","-0,86","2,29","-0,44",,"45,56","58,22",,
