{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","9,60e-03","1,00","1,00","1,00","0,0","0,0","0,0","4,15","3,49","4,19",,
20,Planar,"2,5",0,1 / 5,"1,27","1,16","2,94e-03","1,00","1,00","1,00","-0,0","-0,0","0,0",,"3,65","4,31",,
20,Planar,"2,5",0,2 / 5,"1,43","1,36","1,61e-03","1,00","1,00","1,00","-0,0","-0,0","0,0",,"3,69","4,34",,
20,Planar,"2,5",0,3 / 5,"1,10","1,19","2,05e-03","1,00","1,00","1,00","-0,0","-0,0","0,0",,"3,66","4,32",,
20,Planar,"2,5",0,4 / 5,"1,10","1,19","2,06e-03","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"3,66","4,32",,
20,Planar,"2,5",0,FINAL,"1,09","1,19","2,08e-03","1,00","1,00","1,00","-0,0","-0,0","-0,0","4,15","3,65","4,32","-4,85","88,00"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","5,96e-04","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,61","1,85",,
20,Planar,0,"2,5",1 / 5,"0,39","0,38","9,44e-05","1,00","1,00","1,00","-0,0","0,04","-0,0",,"1,58","1,82",,
20,Planar,0,"2,5",2 / 5,"0,41","0,41","6,82e-05","1,00","1,00","1,00","-0,01","0,04","-0,0",,"1,58","1,82",,
20,Planar,0,"2,5",3 / 5,"0,42","0,41","6,58e-05","1,00","1,00","1,00","-0,01","0,04","-0,0",,"1,58","1,82",,
20,Planar,0,"2,5",4 / 5,"0,42","0,41","6,47e-05","1,00","1,00","1,00","-0,01","0,04","-0,0",,"1,58","1,82",,
20,Planar,0,"2,5",FINAL,"0,42","0,41","6,35e-05","1,00","1,00","1,00","-0,01","0,04","-0,0","2,50","1,58","1,82","2,00","63,24"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","9,20e-03","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,38","4,14",,
20,Planar,"2,5","2,5",1 / 5,"1,53","1,40","2,12e-03","1,00","1,00","1,00","-0,0","0,02","-0,0",,"3,60","4,32",,
20,Planar,"2,5","2,5",2 / 5,"1,53","1,45","1,53e-03","1,00","1,00","1,00","-0,0","0,02","-0,0",,"3,61","4,33",,
20,Planar,"2,5","2,5",3 / 5,"1,11","1,15","2,17e-03","1,00","1,00","1,00","-0,0","0,02","-0,0",,"3,56","4,31",,
20,Planar,"2,5","2,5",4 / 5,"1,08","1,14","2,26e-03","1,00","1,00","1,00","-0,0","0,03","-0,0",,"3,57","4,31",,
20,Planar,"2,5","2,5",FINAL,"1,07","1,13","2,32e-03","1,00","1,00","1,00","-0,0","0,03","-0,0","4,73","3,57","4,32","-5,65","75,45"
20,Planar,10,0,INITIAL,"0,00","0,00","1,79e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,59","12,87","16,83",,
20,Planar,10,0,1 / 5,"0,33","0,40","3,50e-01","1,00","1,00","1,00","-0,05","0,02","-0,09",,"18,19","23,38",,
20,Planar,10,0,2 / 5,"0,55","0,63","3,64e-01","1,00","1,00","1,00","-0,09","0,03","-0,14",,"20,23","25,74",,
20,Planar,10,0,3 / 5,"0,29","0,39","4,18e-01","1,00","1,00","1,00","-0,18","0,04","-0,23",,"22,51","28,85",,
20,Planar,10,0,4 / 5,"0,24","0,30","5,79e-01","1,00","1,00","1,00","-0,5","0,09","-0,62",,"27,66","35,07",,
20,Planar,10,0,FINAL,"0,24","0,26","6,84e-01","1,00","1,00","1,00","-0,61","0,09","-0,76","16,59","29,52","37,56","-129,33","178,00"
20,Planar,0,10,INITIAL,"0,00","0,00","1,03e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","4,73","5,55",,
20,Planar,0,10,1 / 5,"0,30","0,29","5,05e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"4,71","5,54",,
20,Planar,0,10,2 / 5,"0,35","0,35","4,45e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"4,71","5,54",,
20,Planar,0,10,3 / 5,"0,39","0,38","4,07e-04","1,00","1,00","1,00","-0,0","0,02","-0,0",,"4,70","5,54",,
20,Planar,0,10,4 / 5,"0,39","0,38","4,04e-04","1,00","1,00","1,00","-0,0","0,02","-0,0",,"4,70","5,54",,
20,Planar,0,10,FINAL,"0,39","0,38","4,03e-04","1,00","1,00","1,00","-0,0","0,02","-0,0","10,00","4,70","5,54","0,47","47,03"
20,Planar,10,10,INITIAL,"0,00","0,00","1,47e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,77","11,52","14,38",,
20,Planar,10,10,1 / 5,"1,67","2,13","1,39e-01","1,00","1,00","1,00","-0,0","0,01","-0,0",,"12,14","15,14",,
20,Planar,10,10,2 / 5,"0,37","0,39","2,84e-01","1,00","1,00","1,00","-0,04","0,08","-0,03",,"14,87","18,75",,
20,Planar,10,10,3 / 5,"0,51","0,46","3,26e-01","1,00","1,00","1,00","-0,09","0,12","-0,06",,"16,69","21,10",,
20,Planar,10,10,4 / 5,"0,31","0,28","4,74e-01","1,00","1,00","1,00","-0,32","0,31","-0,24",,"20,64","26,74",,
20,Planar,10,10,FINAL,"0,61","0,59","5,05e-01","1,00","1,00","1,00","-0,34","0,32","-0,25","17,77","21,01","27,21","-82,40","118,19"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,02e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,10","1,66","1,98",,
20,Gradual,0,"2,5",1 / 5,"0,39","0,41","5,37e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,62","1,95",,
20,Gradual,0,"2,5",2 / 5,"0,43","0,45","4,99e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,61","1,95",,
20,Gradual,0,"2,5",3 / 5,"0,44","0,45","4,98e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,61","1,94",,
20,Gradual,0,"2,5",4 / 5,"0,44","0,45","4,97e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"1,61","1,94",,
20,Gradual,0,"2,5",FINAL,"0,44","0,45","4,96e-04","1,00","1,00","1,00","-0,0","0,01","-0,0","3,10","1,61","1,94","2,57","52,09"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","1,05e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,29","3,44","4,41",,
20,Gradual,"2,5","2,5",1 / 5,"1,28","1,20","3,48e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,61","4,51",,
20,Gradual,"2,5","2,5",2 / 5,"1,47","1,45","1,53e-03","1,00","1,00","1,00","-0,0","0,02","-0,0",,"3,68","4,57",,
20,Gradual,"2,5","2,5",3 / 5,"1,19","1,20","2,38e-03","1,00","1,00","1,00","-0,0","0,03","-0,0",,"3,65","4,55",,
20,Gradual,"2,5","2,5",4 / 5,"1,17","1,19","2,55e-03","1,00","1,00","1,00","-0,01","0,03","-0,0",,"3,65","4,56",,
20,Gradual,"2,5","2,5",FINAL,"1,17","1,19","2,64e-03","1,00","1,00","1,00","-0,01","0,04","-0,0","5,29","3,66","4,56","-6,25","69,23"
20,Gradual,0,10,INITIAL,"0,00","0,00","3,13e-03","1,00","1,00","1,00","0,0","0,0","0,0","9,97","4,22","5,06",,
20,Gradual,0,10,1 / 5,"0,50","0,42","2,40e-03","1,00","1,00","1,00","-0,01","0,05","-0,01",,"4,19","5,01",,
20,Gradual,0,10,2 / 5,"0,54","0,46","2,36e-03","1,00","1,00","1,00","-0,01","0,06","-0,01",,"4,19","5,01",,
20,Gradual,0,10,3 / 5,"0,55","0,47","2,36e-03","1,00","1,00","1,00","-0,01","0,06","-0,01",,"4,19","5,01",,
20,Gradual,0,10,4 / 5,"0,55","0,47","2,36e-03","1,00","1,00","1,00","-0,01","0,06","-0,01",,"4,19","5,01",,
20,Gradual,0,10,FINAL,"0,56","0,48","2,35e-03","1,00","1,00","1,00","-0,01","0,06","-0,01","9,97","4,19","5,01","0,83","42,03"
20,Gradual,10,10,INITIAL,"0,00","0,00","1,90e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,90","13,52","16,72",,
20,Gradual,10,10,1 / 5,"0,40","0,41","4,32e-01","1,00","1,00","1,00","-0,12","0,22","-0,11",,"18,63","23,90",,
20,Gradual,10,10,2 / 5,"0,58","0,58","4,89e-01","1,00","1,00","1,00","-0,22","0,33","-0,2",,"21,08","26,97",,
20,Gradual,10,10,3 / 5,"0,44","0,38","5,54e-01","1,00","1,00","1,00","-0,35","0,43","-0,3",,"22,83","29,40",,
20,Gradual,10,10,4 / 5,"0,37","0,33","6,53e-01","1,00","1,00","1,00","-0,54","0,54","-0,44",,"24,92","32,45",,
20,Gradual,10,10,FINAL,"0,31","0,27","7,58e-01","1,00","1,00","1,00","-0,76","0,66","-0,62","20,90","27,04","35,42","-100,08","129,43"
80,Planar,"2,5",0,INITIAL,"0,00","0,00","2,20e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,28","12,35","15,09",,
80,Planar,"2,5",0,1 / 5,"0,52","0,56","3,54e-03","1,00","1,00","1,00","-0,0","-0,01","-0,0",,"12,34","15,11",,
80,Planar,"2,5",0,2 / 5,"0,55","0,60","2,24e-03","1,00","1,00","1,00","-0,0","-0,01","-0,0",,"12,34","15,11",,
80,Planar,"2,5",0,3 / 5,"0,56","0,60","2,21e-03","1,00","1,00","1,00","-0,0","-0,01","-0,0",,"12,35","15,11",,
80,Planar,"2,5",0,4 / 5,"0,56","0,60","2,19e-03","1,00","1,00","1,00","-0,0","-0,01","-0,0",,"12,35","15,11",,
80,Planar,"2,5",0,FINAL,"0,56","0,60","2,17e-03","1,00","1,00","1,00","-0,0","-0,01","-0,0","4,28","12,35","15,11","0,05","288,57"
80,Planar,0,"2,5",INITIAL,"0,00","0,00","1,13e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,82","9,40",,
80,Planar,0,"2,5",1 / 5,"0,33","0,34","1,83e-03","1,00","1,00","1,00","-0,0","0,06","0,0",,"7,71","9,33",,
80,Planar,0,"2,5",2 / 5,"0,37","0,38","7,78e-04","1,00","1,00","1,00","-0,01","0,17","-0,0",,"7,69","9,32",,
80,Planar,0,"2,5",3 / 5,"0,37","0,38","6,89e-04","1,00","1,00","1,00","-0,01","0,18","-0,0",,"7,69","9,32",,
80,Planar,0,"2,5",4 / 5,"0,37","0,38","6,80e-04","1,00","1,00","1,00","-0,01","0,18","-0,0",,"7,69","9,32",,
80,Planar,0,"2,5",FINAL,"0,37","0,38","6,74e-04","1,00","1,00","1,00","-0,01","0,19","-0,0","2,50","7,69","9,32","1,66","307,61"
80,Planar,"2,5","2,5",INITIAL,"0,00","0,00","1,72e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,69","10,20","12,02",,
80,Planar,"2,5","2,5",1 / 5,"0,41","0,42","3,69e-03","1,00","1,00","1,00","-0,0","0,04","-0,0",,"10,19","12,03",,
80,Planar,"2,5","2,5",2 / 5,"0,42","0,43","3,47e-03","1,00","1,00","1,00","-0,0","0,05","-0,0",,"10,20","12,03",,
80,Planar,"2,5","2,5",3 / 5,"0,42","0,43","3,46e-03","1,00","1,00","1,00","-0,0","0,05","-0,0",,"10,20","12,03",,
80,Planar,"2,5","2,5",4 / 5,"0,42","0,43","3,46e-03","1,00","1,00","1,00","-0,0","0,05","-0,0",,"10,20","12,03",,
80,Planar,"2,5","2,5",FINAL,"0,42","0,43","3,46e-03","1,00","1,00","1,00","-0,0","0,05","-0,0","4,69","10,20","12,03","-0,02","217,24"
80,Planar,10,0,INITIAL,"0,00","0,00","1,39e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,40","26,33","33,33",,
80,Planar,10,0,1 / 5,"1,10","1,28","4,63e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"26,75","33,55",,
80,Planar,10,0,2 / 5,"1,36","1,49","1,59e-02","1,00","1,00","1,00","-0,03","-0,0","0,0",,"26,97","33,68",,
80,Planar,10,0,3 / 5,"1,12","1,11","2,76e-02","1,00","1,00","1,00","-0,04","0,01","0,01",,"26,84","33,64",,
80,Planar,10,0,4 / 5,"1,06","1,03","3,27e-02","1,00","1,00","1,00","-0,04","0,01","0,01",,"26,82","33,65",,
80,Planar,10,0,FINAL,"1,05","1,01","3,39e-02","1,00","1,00","1,00","-0,04","0,02","0,02","15,40","26,82","33,65","-1,85","174,20"
80,Planar,0,10,INITIAL,"0,00","0,00","1,10e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,72","17,40",,
80,Planar,0,10,1 / 5,"0,34","0,36","2,22e-03","1,00","1,00","1,00","-0,01","0,24","-0,01",,"14,66","17,37",,
80,Planar,0,10,2 / 5,"0,37","0,39","1,42e-03","1,00","1,00","1,00","-0,02","0,36","-0,02",,"14,66","17,36",,
80,Planar,0,10,3 / 5,"0,37","0,39","1,39e-03","1,00","1,00","1,00","-0,02","0,37","-0,02",,"14,66","17,36",,
80,Planar,0,10,4 / 5,"0,37","0,39","1,36e-03","1,00","1,00","1,00","-0,02","0,38","-0,02",,"14,66","17,36",,
80,Planar,0,10,FINAL,"0,38","0,39","1,33e-03","1,00","1,00","1,00","-0,02","0,38","-0,02","10,00","14,66","17,36","0,44","146,56"
80,Planar,10,10,INITIAL,"0,00","0,00","1,50e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,74","32,26","39,76",,
80,Planar,10,10,1 / 5,"1,23","1,39","3,73e-02","1,00","1,00","1,00","-0,03","0,26","-0,03",,"32,62","40,09",,
80,Planar,10,10,2 / 5,"1,26","1,43","3,43e-02","1,00","1,00","1,00","-0,03","0,27","-0,03",,"32,64","40,11",,
80,Planar,10,10,3 / 5,"1,28","1,47","3,11e-02","1,00","1,00","1,00","-0,04","0,27","-0,03",,"32,66","40,12",,
80,Planar,10,10,4 / 5,"1,26","1,45","3,13e-02","1,00","1,00","1,00","-0,04","0,28","-0,03",,"32,65","40,12",,
80,Planar,10,10,FINAL,"1,24","1,43","3,15e-02","1,00","1,00","1,00","-0,04","0,28","-0,03","17,74","32,64","40,11","-1,16","183,95"
80,Gradual,0,"2,5",INITIAL,"0,00","0,00","3,55e-02","1,00","1,00","1,00","0,0","0,0","0,0","21,20","26,88","41,47",,
80,Gradual,0,"2,5",1 / 5,"0,48","0,46","2,50e-02","1,00","1,00","1,00","-0,2","1,09","-0,34",,"26,79","41,41",,
80,Gradual,0,"2,5",2 / 5,"0,49","0,47","2,48e-02","1,00","1,00","1,00","-0,2","1,11","-0,34",,"26,79","41,41",,
80,Gradual,0,"2,5",3 / 5,"0,49","0,47","2,47e-02","1,00","1,00","1,00","-0,2","1,11","-0,34",,"26,79","41,41",,
80,Gradual,0,"2,5",4 / 5,"0,50","0,48","2,46e-02","1,00","1,00","1,00","-0,2","1,12","-0,35",,"26,79","41,41",,
80,Gradual,0,"2,5",FINAL,"0,50","0,48","2,46e-02","1,00","1,00","1,00","-0,2","1,13","-0,35","21,20","26,79","41,41","0,36","126,35"
80,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","3,57e-02","1,00","1,00","1,00","0,0","0,0","0,0","23,54","30,57","46,17",,
80,Gradual,"2,5","2,5",1 / 5,"0,64","0,58","1,57e-02","1,00","1,00","1,00","-0,09","0,63","-0,18",,"30,55","46,16",,
80,Gradual,"2,5","2,5",2 / 5,"0,70","0,64","1,45e-02","1,00","1,00","1,00","-0,11","0,8","-0,24",,"30,56","46,15",,
80,Gradual,"2,5","2,5",3 / 5,"0,71","0,65","1,43e-02","1,00","1,00","1,00","-0,12","0,84","-0,25",,"30,56","46,15",,
80,Gradual,"2,5","2,5",4 / 5,"0,74","0,68","1,39e-02","1,00","1,00","1,00","-0,14","1,02","-0,3",,"30,56","46,15",,
80,Gradual,"2,5","2,5",FINAL,"0,81","0,73","1,32e-02","1,00","1,00","1,00","-0,21","1,51","-0,47","23,54","30,56","46,13","0,06","129,82"
80,Gradual,0,10,INITIAL,"0,00","0,00","1,06e-01","1,00","1,00","1,00","0,0","0,0","0,0","39,19","47,30","68,36",,
80,Gradual,0,10,1 / 5,"0,14","0,12","1,05e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"47,29","68,35",,
80,Gradual,0,10,2 / 5,"0,35","0,30","1,02e-01","1,00","1,00","1,00","-0,02","0,08","-0,02",,"47,27","68,34",,
80,Gradual,0,10,3 / 5,"0,38","0,33","1,01e-01","1,00","1,00","1,00","-0,02","0,11","-0,03",,"47,27","68,34",,
80,Gradual,0,10,4 / 5,"0,40","0,35","1,01e-01","1,00","1,00","1,00","-0,03","0,14","-0,04",,"47,27","68,34",,
80,Gradual,0,10,FINAL,"0,41","0,36","1,01e-01","1,00","1,00","1,00","-0,04","0,17","-0,05","39,19","47,26","68,34","0,08","120,61"
80,Gradual,10,10,INITIAL,"0,00","0,00","2,75e-01","1,00","1,00","1,00","0,0","0,0","0,0","51,84","60,69","81,69",,
80,Gradual,10,10,1 / 5,"2,07","1,96","1,28e-01","1,00","1,00","1,00","-1,94","7,26","-2,97",,"61,30","81,88",,
80,Gradual,10,10,2 / 5,"1,93","1,87","1,19e-01","1,00","1,00","1,00","-2,18","7,86","-3,29",,"61,26","81,87",,
80,Gradual,10,10,3 / 5,"1,79","1,73","1,23e-01","1,00","1,00","1,00","-2,19","7,89","-3,31",,"61,20","81,85",,
80,Gradual,10,10,4 / 5,"1,48","1,44","1,36e-01","1,00","1,00","1,00","-2,23","8,02","-3,38",,"61,12","81,82",,
80,Gradual,10,10,FINAL,"1,21","1,15","1,49e-01","1,00","1,00","1,00","-2,42","8,53","-3,71","51,84","61,07","81,81","-0,63","117,81"
150,Planar,"2,5",0,INITIAL,"0,00","0,00","4,28e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,98","19,67","24,20",,
150,Planar,"2,5",0,1 / 5,"0,42","0,43","6,79e-03","1,00","1,00","1,00","-0,03","0,02","-0,03",,"19,51","24,13",,
150,Planar,"2,5",0,2 / 5,"0,47","0,48","2,54e-03","1,00","1,00","1,00","-0,06","0,0","-0,06",,"19,50","24,12",,
150,Planar,"2,5",0,3 / 5,"0,48","0,49","2,10e-03","1,00","1,00","1,00","-0,06","-0,01","-0,06",,"19,50","24,12",,
150,Planar,"2,5",0,4 / 5,"0,48","0,49","2,03e-03","1,00","1,00","1,00","-0,06","-0,01","-0,06",,"19,50","24,12",,
150,Planar,"2,5",0,FINAL,"0,48","0,49","1,95e-03","1,00","1,00","1,00","-0,06","-0,01","-0,06","3,98","19,50","24,12","0,84","490,12"
150,Planar,0,"2,5",INITIAL,"0,00","0,00","4,05e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","17,90","22,03",,
150,Planar,0,"2,5",1 / 5,"0,33","0,34","7,93e-03","1,00","1,00","1,00","-0,02","0,06","0,0",,"17,73","21,96",,
150,Planar,0,"2,5",2 / 5,"0,34","0,35","7,31e-03","1,00","1,00","1,00","-0,02","0,07","0,0",,"17,73","21,96",,
150,Planar,0,"2,5",3 / 5,"0,34","0,35","7,25e-03","1,00","1,00","1,00","-0,02","0,07","0,0",,"17,73","21,96",,
150,Planar,0,"2,5",4 / 5,"0,34","0,36","7,19e-03","1,00","1,00","1,00","-0,02","0,07","0,0",,"17,73","21,96",,
150,Planar,0,"2,5",FINAL,"0,34","0,36","7,14e-03","1,00","1,00","1,00","-0,02","0,07","0,0","2,50","17,73","21,96","0,97","709,07"
150,Planar,"2,5","2,5",INITIAL,"0,00","0,00","3,81e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,56","20,20","23,64",,
150,Planar,"2,5","2,5",1 / 5,"0,35","0,39","7,23e-03","1,00","1,00","1,00","-0,08","0,31","0,01",,"20,13","23,61",,
150,Planar,"2,5","2,5",2 / 5,"0,39","0,43","3,48e-03","1,00","1,00","1,00","-0,09","0,35","0,01",,"20,12","23,60",,
150,Planar,"2,5","2,5",3 / 5,"0,41","0,45","2,48e-03","1,00","1,00","1,00","-0,09","0,35","0,01",,"20,11","23,60",,
150,Planar,"2,5","2,5",4 / 5,"0,41","0,45","2,35e-03","1,00","1,00","1,00","-0,09","0,35","0,01",,"20,11","23,60",,
150,Planar,"2,5","2,5",FINAL,"0,41","0,45","2,25e-03","1,00","1,00","1,00","-0,09","0,35","0,01","4,56","20,11","23,60","0,43","440,86"
150,Planar,10,0,INITIAL,"0,00","0,00","1,81e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,23","43,08","54,99",,
150,Planar,10,0,1 / 5,"0,76","0,77","4,70e-02","1,00","1,00","1,00","-0,04","0,07","-0,01",,"43,30","55,09",,
150,Planar,10,0,2 / 5,"0,87","0,89","2,67e-02","1,00","1,00","1,00","-0,06","0,1","-0,01",,"43,40","55,12",,
150,Planar,10,0,3 / 5,"0,91","0,93","1,88e-02","1,00","1,00","1,00","-0,07","0,11","-0,01",,"43,44","55,14",,
150,Planar,10,0,4 / 5,"0,95","0,97","1,19e-02","1,00","1,00","1,00","-0,08","0,1","-0,0",,"43,48","55,16",,
150,Planar,10,0,FINAL,"0,97","0,99","9,03e-03","1,00","1,00","1,00","-0,09","0,08","-0,0","16,23","43,50","55,17","-0,97","267,94"
150,Planar,0,10,INITIAL,"0,00","0,00","3,90e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","21,61","26,02",,
150,Planar,0,10,1 / 5,"0,37","0,38","6,11e-03","1,00","1,00","1,00","-0,41","1,67","-0,04",,"21,49","25,95",,
150,Planar,0,10,2 / 5,"0,39","0,39","5,37e-03","1,00","1,00","1,00","-0,41","1,67","-0,04",,"21,48","25,95",,
150,Planar,0,10,3 / 5,"0,39","0,39","5,05e-03","1,00","1,00","1,00","-0,41","1,67","-0,04",,"21,48","25,95",,
150,Planar,0,10,4 / 5,"0,40","0,40","4,70e-03","1,00","1,00","1,00","-0,42","1,68","-0,04",,"21,48","25,95",,
150,Planar,0,10,FINAL,"0,40","0,40","4,51e-03","1,00","1,00","1,00","-0,42","1,68","-0,04","10,00","21,48","25,95","0,64","214,75"
150,Planar,10,10,INITIAL,"0,00","0,00","2,11e-01","1,00","1,00","1,00","0,0","0,0","0,0","18,52","44,37","57,09",,
150,Planar,10,10,1 / 5,"0,89","0,90","3,68e-02","1,00","1,00","1,00","-0,59","1,88","-0,24",,"44,72","57,31",,
150,Planar,10,10,2 / 5,"1,00","1,01","1,79e-02","1,00","1,00","1,00","-0,56","1,87","-0,27",,"44,78","57,34",,
150,Planar,10,10,3 / 5,"1,01","1,02","1,47e-02","1,00","1,00","1,00","-0,56","1,83","-0,28",,"44,79","57,35",,
