{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","9,60e-03","1,00","1,00","1,00","0,0","0,0","0,0","4,15","3,49","4,19",,
20,Planar,"2,5",0,1 / 5,"0,95","1,01","1,19e-02","1,00","1,00","1,00","-0,2","-0,09","-0,44",,"3,83","4,57",,
20,Planar,"2,5",0,2 / 5,"0,99","1,04","1,33e-02","1,00","1,00","1,00","-0,25","-0,09","-0,62",,"3,87","4,61",,
20,Planar,"2,5",0,3 / 5,"0,98","1,04","1,71e-02","1,00","1,00","1,00","-0,72","-0,31","-1,76",,"4,26","5,11",,
20,Planar,"2,5",0,4 / 5,"1,00","1,06","1,74e-02","1,00","1,00","1,00","-0,64","-0,09","-1,89",,"4,29","5,14",,
20,Planar,"2,5",0,FINAL,"1,01","1,06","1,71e-02","1,00","1,00","1,00","-0,86","-0,33","-2,04","4,15","4,29","5,12","-23,09","103,31"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","5,96e-04","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,61","1,85",,
20,Planar,0,"2,5",1 / 5,"0,33","0,35","1,87e-04","1,00","1,00","1,00","-0,13","1,23","-0,02",,"1,58","1,82",,
20,Planar,0,"2,5",2 / 5,"0,34","0,37","2,35e-04","1,00","1,00","1,00","-0,18","1,16","-0,23",,"1,57","1,79",,
20,Planar,0,"2,5",3 / 5,"0,35","0,38","2,14e-04","1,00","1,00","1,00","-0,18","1,19","-0,15",,"1,57","1,79",,
20,Planar,0,"2,5",4 / 5,"0,35","0,38","2,10e-04","1,00","1,00","1,00","-0,18","1,19","-0,15",,"1,56","1,79",,
20,Planar,0,"2,5",FINAL,"0,35","0,39","2,06e-04","1,00","1,00","1,00","-0,18","1,19","-0,14","2,50","1,56","1,79","3,04","62,57"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","9,20e-03","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,38","4,14",,
20,Planar,"2,5","2,5",1 / 5,"1,01","1,09","1,39e-02","1,00","1,00","1,00","-0,59","1,75","-0,69",,"3,83","4,86",,
20,Planar,"2,5","2,5",2 / 5,"0,96","1,04","2,06e-02","1,00","1,00","1,00","-1,2","2,42","-3,23",,"4,21","5,35",,
20,Planar,"2,5","2,5",3 / 5,"0,96","1,00","2,54e-02","1,00","1,00","1,00","-2,67","3,67","-7,61",,"5,00","6,43",,
20,Planar,"2,5","2,5",4 / 5,"0,94","1,04","2,75e-02","1,00","1,00","1,00","-2,99","3,95","-8,92",,"5,50","7,00",,
20,Planar,"2,5","2,5",FINAL,"0,96","1,08","2,70e-02","1,00","1,00","1,00","-3,09","3,85","-9,2","4,73","5,61","7,13","-66,20","118,68"
20,Planar,10,0,INITIAL,"0,00","0,00","1,79e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,59","12,87","16,83",,
20,Planar,10,0,1 / 5,"4,19","5,75","1,06e-01","1,00","1,00","1,00","-0,85","0,92","-1,51",,"14,81","18,63",,
20,Planar,10,0,2 / 5,"0,90","1,04","6,05e-01","1,00","1,00","1,00","-12,16","-5,7","-9,68",,"29,53","37,30",,
20,Planar,10,0,3 / 5,"0,51","0,67","1,44e+00","0,98","1,00","0,98","-52,42","-1,41","-15,99",,"49,53","60,15",,
20,Planar,10,0,4 / 5,"0,38","0,40","1,61e+00","0,97","1,00","0,97","-62,27","-4,46","-18,97",,"53,19","64,18",,
20,Planar,10,0,FINAL,"0,76","0,75","2,02e+00","0,95","1,00","0,95","-74,68","-7,49","-26,47","16,59","57,06","70,42","-343,28","344,06"
20,Planar,0,10,INITIAL,"0,00","0,00","1,03e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","4,73","5,55",,
20,Planar,0,10,1 / 5,"0,72","0,67","4,53e-04","1,00","1,00","1,00","-0,39","3,97","-0,22",,"4,70","5,52",,
20,Planar,0,10,2 / 5,"0,72","0,66","4,50e-04","1,00","1,00","1,00","-0,41","4,09","-0,23",,"4,70","5,52",,
20,Planar,0,10,3 / 5,"0,74","0,67","4,44e-04","1,00","1,00","1,00","-0,42","4,25","-0,23",,"4,69","5,52",,
20,Planar,0,10,4 / 5,"0,73","0,67","4,44e-04","1,00","1,00","1,00","-0,43","4,27","-0,23",,"4,69","5,52",,
20,Planar,0,10,FINAL,"0,75","0,67","4,36e-04","1,00","1,00","1,00","-0,42","4,41","-0,2","10,00","4,69","5,52","0,73","46,91"
20,Planar,10,10,INITIAL,"0,00","0,00","1,47e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,77","11,52","14,38",,
20,Planar,10,10,1 / 5,"6,83","4,96","8,66e-02","1,00","1,00","1,00","-2,0","4,23","-2,21",,"13,38","15,90",,
20,Planar,10,10,2 / 5,"0,99","0,89","5,49e-01","1,00","1,00","1,00","-10,59","3,65","-10,0",,"24,59","30,21",,
20,Planar,10,10,3 / 5,"1,21","1,10","1,02e+00","1,00","1,00","1,00","-19,83","1,88","-15,23",,"32,42","39,70",,
20,Planar,10,10,4 / 5,"1,08","1,02","1,30e+00","1,00","1,00","1,00","-30,24","0,57","-16,55",,"36,90","45,20",,
20,Planar,10,10,FINAL,"1,04","0,98","1,35e+00","1,00","1,00","1,00","-33,32","0,17","-17,42","17,77","37,63","46,22","-226,69","211,69"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,02e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,10","1,66","1,98",,
20,Gradual,0,"2,5",1 / 5,"0,58","0,48","6,39e-04","1,00","1,00","1,00","-0,31","1,68","-0,44",,"1,56","1,84",,
20,Gradual,0,"2,5",2 / 5,"0,62","0,52","6,24e-04","1,00","1,00","1,00","-0,4","1,74","-0,54",,"1,56","1,83",,
20,Gradual,0,"2,5",3 / 5,"0,63","0,53","6,18e-04","1,00","1,00","1,00","-0,41","1,73","-0,55",,"1,56","1,82",,
20,Gradual,0,"2,5",4 / 5,"0,65","0,56","6,03e-04","1,00","1,00","1,00","-0,42","1,72","-0,56",,"1,56","1,83",,
20,Gradual,0,"2,5",FINAL,"0,66","0,57","5,94e-04","1,00","1,00","1,00","-0,43","1,72","-0,56","3,10","1,56","1,83","5,71","50,41"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","1,05e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,29","3,44","4,41",,
20,Gradual,"2,5","2,5",1 / 5,"1,18","1,18","1,40e-02","1,00","1,00","1,00","-0,56","1,5","-0,72",,"3,79","4,66",,
20,Gradual,"2,5","2,5",2 / 5,"0,98","0,99","2,37e-02","1,00","1,00","1,00","-1,17","0,69","-2,63",,"4,23","5,20",,
20,Gradual,"2,5","2,5",3 / 5,"1,00","0,96","2,90e-02","1,00","1,00","1,00","-1,73","1,32","-3,36",,"4,58","5,64",,
20,Gradual,"2,5","2,5",4 / 5,"1,00","1,01","2,81e-02","1,00","1,00","1,00","-1,96","1,4","-3,71",,"4,60","5,66",,
20,Gradual,"2,5","2,5",FINAL,"1,03","0,99","3,06e-02","1,00","1,00","1,00","-2,17","1,39","-4,11","5,29","4,68","5,78","-35,87","88,53"
20,Gradual,0,10,INITIAL,"0,00","0,00","3,13e-03","1,00","1,00","1,00","0,0","0,0","0,0","9,97","4,22","5,06",,
20,Gradual,0,10,1 / 5,"1,05","0,96","4,26e-03","1,00","1,00","1,00","-2,08","5,71","-1,89",,"3,84","4,49",,
20,Gradual,0,10,2 / 5,"0,88","0,81","4,88e-03","1,00","1,00","1,00","-2,2","5,45","-2,26",,"3,63","4,25",,
20,Gradual,0,10,3 / 5,"1,00","0,93","4,85e-03","1,00","1,00","1,00","-2,48","5,63","-2,59",,"3,64","4,25",,
20,Gradual,0,10,4 / 5,"0,95","0,91","4,58e-03","1,00","1,00","1,00","-2,54","5,42","-2,68",,"3,53","4,13",,
20,Gradual,0,10,FINAL,"1,02","0,98","4,48e-03","1,00","1,00","1,00","-2,6","5,42","-2,78","9,97","3,53","4,12","16,41","35,42"
20,Gradual,10,10,INITIAL,"0,00","0,00","1,90e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,90","13,52","16,72",,
20,Gradual,10,10,1 / 5,"7,39","6,03","8,98e-02","1,00","1,00","1,00","-2,94","6,49","-3,64",,"15,24","18,47",,
20,Gradual,10,10,2 / 5,"1,15","1,08","4,60e-01","1,00","1,00","1,00","-11,31","3,54","-10,56",,"23,84","29,50",,
20,Gradual,10,10,3 / 5,"1,38","1,13","9,60e-01","1,00","1,00","1,00","-20,19","2,73","-17,79",,"32,72","40,48",,
20,Gradual,10,10,4 / 5,"1,09","1,16","1,44e+00","1,00","1,00","1,00","-32,98","4,83","-19,44",,"40,51","49,20",,
20,Gradual,10,10,FINAL,"1,60","1,55","1,55e+00","0,99","1,00","0,99","-38,82","-3,89","-19,85","20,90","41,91","51,13","-210,06","200,57"
80,Planar,"2,5",0,INITIAL,"0,00","0,00","2,20e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,28","12,35","15,09",,
80,Planar,"2,5",0,1 / 5,"0,59","0,58","2,38e-03","1,00","1,00","1,00","0,01","-0,29","0,08",,"12,34","15,09",,
80,Planar,"2,5",0,2 / 5,"0,57","0,57","2,81e-03","1,00","1,00","1,00","0,12","-0,41","0,07",,"12,34","15,09",,
80,Planar,"2,5",0,3 / 5,"0,58","0,58","2,58e-03","1,00","1,00","1,00","0,13","-0,42","0,09",,"12,34","15,09",,
80,Planar,"2,5",0,4 / 5,"0,58","0,59","2,42e-03","1,00","1,00","1,00","0,14","-0,43","0,08",,"12,34","15,09",,
80,Planar,"2,5",0,FINAL,"0,59","0,59","2,26e-03","1,00","1,00","1,00","0,15","-0,44","0,07","4,28","12,34","15,09","0,08","288,48"
80,Planar,0,"2,5",INITIAL,"0,00","0,00","1,13e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,82","9,40",,
80,Planar,0,"2,5",1 / 5,"0,40","0,39","4,90e-04","1,00","1,00","1,00","0,06","0,39","0,01",,"7,67","9,31",,
80,Planar,0,"2,5",2 / 5,"0,40","0,39","4,72e-04","1,00","1,00","1,00","0,08","0,4","-0,0",,"7,67","9,31",,
80,Planar,0,"2,5",3 / 5,"0,40","0,39","4,62e-04","1,00","1,00","1,00","0,08","0,39","-0,01",,"7,67","9,31",,
80,Planar,0,"2,5",4 / 5,"0,40","0,39","4,54e-04","1,00","1,00","1,00","0,08","0,39","-0,01",,"7,67","9,31",,
80,Planar,0,"2,5",FINAL,"0,40","0,39","4,48e-04","1,00","1,00","1,00","0,08","0,39","-0,01","2,50","7,67","9,31","1,91","306,83"
80,Planar,"2,5","2,5",INITIAL,"0,00","0,00","1,72e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,69","10,20","12,02",,
80,Planar,"2,5","2,5",1 / 5,"0,51","0,50","2,54e-03","1,00","1,00","1,00","-0,1","0,69","-0,12",,"10,19","12,03",,
80,Planar,"2,5","2,5",2 / 5,"0,52","0,50","1,64e-03","1,00","1,00","1,00","0,07","0,21","-0,17",,"10,19","12,03",,
80,Planar,"2,5","2,5",3 / 5,"0,52","0,51","1,60e-03","1,00","1,00","1,00","-0,04","0,21","-0,14",,"10,19","12,03",,
80,Planar,"2,5","2,5",4 / 5,"0,52","0,51","1,60e-03","1,00","1,00","1,00","-0,05","0,21","-0,14",,"10,19","12,03",,
80,Planar,"2,5","2,5",FINAL,"0,52","0,51","1,60e-03","1,00","1,00","1,00","-0,05","0,21","-0,13","4,69","10,19","12,03","0,09","217,02"
80,Planar,10,0,INITIAL,"0,00","0,00","1,39e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,40","26,33","33,33",,
80,Planar,10,0,1 / 5,"1,24","1,11","5,71e-02","1,00","1,00","1,00","-1,19","-1,66","-0,28",,"26,99","33,87",,
80,Planar,10,0,2 / 5,"1,03","0,92","9,08e-02","1,00","1,00","1,00","-1,95","-4,31","-0,8",,"27,84","35,00",,
80,Planar,10,0,3 / 5,"0,98","0,86","1,22e-01","1,00","1,00","1,00","-12,42","-20,82","-4,85",,"32,71","41,41",,
80,Planar,10,0,4 / 5,"1,05","0,94","1,08e-01","1,00","1,00","1,00","-17,88","-16,97","-4,44",,"33,23","42,18",,
80,Planar,10,0,FINAL,"1,11","0,98","9,85e-02","1,00","1,00","1,00","-18,45","-15,54","-4,38","15,40","33,33","42,29","-26,59","216,51"
80,Planar,0,10,INITIAL,"0,00","0,00","1,10e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,72","17,40",,
80,Planar,0,10,1 / 5,"0,41","0,43","8,00e-04","1,00","1,00","1,00","-0,85","1,92","-0,26",,"14,64","17,34",,
80,Planar,0,10,2 / 5,"0,41","0,43","7,77e-04","1,00","1,00","1,00","-0,87","1,92","-0,22",,"14,64","17,34",,
80,Planar,0,10,3 / 5,"0,41","0,43","7,52e-04","1,00","1,00","1,00","-0,89","1,91","-0,2",,"14,64","17,34",,
80,Planar,0,10,4 / 5,"0,42","0,43","7,31e-04","1,00","1,00","1,00","-0,89","1,9","-0,2",,"14,64","17,34",,
80,Planar,0,10,FINAL,"0,44","0,45","2,69e-04","1,00","1,00","1,00","-1,01","1,7","-0,23","10,00","14,63","17,34","0,60","146,32"
80,Planar,10,10,INITIAL,"0,00","0,00","1,50e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,74","32,26","39,76",,
80,Planar,10,10,1 / 5,"1,15","1,18","6,12e-02","1,00","1,00","1,00","-0,47","2,73","-0,64",,"32,73","40,39",,
80,Planar,10,10,2 / 5,"1,00","1,05","8,28e-02","1,00","1,00","1,00","2,52","4,53","-1,61",,"32,65","40,78",,
80,Planar,10,10,3 / 5,"0,96","1,01","1,06e-01","1,00","1,00","1,00","6,63","15,19","-4,38",,"34,32","43,55",,
80,Planar,10,10,4 / 5,"1,10","1,07","8,22e-02","1,00","1,00","1,00","-0,22","13,69","-3,95",,"34,39","43,78",,
80,Planar,10,10,FINAL,"0,99","1,02","1,04e-01","1,00","1,00","1,00","-0,16","17,45","-5,03","17,74","34,85","44,76","-8,01","196,41"
80,Gradual,0,"2,5",INITIAL,"0,00","0,00","3,55e-02","1,00","1,00","1,00","0,0","0,0","0,0","21,20","26,88","41,47",,
80,Gradual,0,"2,5",1 / 5,"1,05","0,98","1,85e-02","1,00","1,00","1,00","-5,29","0,55","-3,49",,"26,86","41,34",,
80,Gradual,0,"2,5",2 / 5,"1,05","1,00","1,76e-02","1,00","1,00","1,00","-5,95","-0,08","-3,56",,"26,83","41,32",,
80,Gradual,0,"2,5",3 / 5,"1,11","1,06","1,70e-02","1,00","1,00","1,00","-6,67","-0,77","-3,56",,"26,83","41,30",,
80,Gradual,0,"2,5",4 / 5,"0,90","0,88","2,00e-02","1,00","1,00","1,00","-7,97","-1,53","-4,14",,"26,70","41,21",,
80,Gradual,0,"2,5",FINAL,"1,02","1,00","1,91e-02","1,00","1,00","1,00","-9,14","-2,51","-4,18","21,20","26,69","41,16","0,73","125,88"
80,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","3,57e-02","1,00","1,00","1,00","0,0","0,0","0,0","23,54","30,57","46,17",,
80,Gradual,"2,5","2,5",1 / 5,"1,02","0,97","1,50e-02","1,00","1,00","1,00","-2,26","1,16","-3,15",,"30,56","46,08",,
80,Gradual,"2,5","2,5",2 / 5,"0,99","0,95","1,46e-02","1,00","1,00","1,00","-2,4","0,96","-3,24",,"30,54","46,07",,
80,Gradual,"2,5","2,5",3 / 5,"0,99","0,96","1,45e-02","1,00","1,00","1,00","-2,47","0,87","-3,27",,"30,54","46,07",,
80,Gradual,"2,5","2,5",4 / 5,"0,99","0,96","1,46e-02","1,00","1,00","1,00","-2,54","0,79","-3,3",,"30,53","46,06",,
80,Gradual,"2,5","2,5",FINAL,"0,99","0,96","1,44e-02","1,00","1,00","1,00","-2,61","0,68","-3,32","23,54","30,53","46,06","0,15","129,70"
80,Gradual,0,10,INITIAL,"0,00","0,00","1,06e-01","1,00","1,00","1,00","0,0","0,0","0,0","39,19","47,30","68,36",,
80,Gradual,0,10,1 / 5,"1,34","1,23","6,49e-02","1,00","1,00","1,00","-4,56","0,38","-5,39",,"47,45","68,19",,
80,Gradual,0,10,2 / 5,"1,34","1,26","6,67e-02","1,00","1,00","1,00","-5,32","-1,53","-5,41",,"47,43","68,12",,
80,Gradual,0,10,3 / 5,"1,18","1,12","7,61e-02","1,00","1,00","1,00","-8,59","-7,83","-6,75",,"47,22","67,85",,
80,Gradual,0,10,4 / 5,"0,61","0,58","1,22e-01","1,00","1,00","1,00","-17,07","-19,07","-10,57",,"46,84","67,25",,
80,Gradual,0,10,FINAL,"0,91","0,87","1,01e-01","1,00","0,99","1,00","-22,22","-24,52","-11,46","39,19","46,70","66,98","1,27","119,17"
80,Gradual,10,10,INITIAL,"0,00","0,00","2,75e-01","1,00","1,00","1,00","0,0","0,0","0,0","51,84","60,69","81,69",,
80,Gradual,10,10,1 / 5,"2,96","2,96","6,72e-02","1,00","1,00","1,00","-9,86","-3,61","-6,76",,"61,67","81,98",,
80,Gradual,10,10,2 / 5,"2,94","2,91","7,14e-02","1,00","0,99","1,00","-22,84","-11,22","-10,56",,"61,14","81,06",,
80,Gradual,10,10,3 / 5,"3,08","2,99","7,00e-02","0,99","0,99","1,00","-27,91","-13,23","-12,29",,"60,96","80,62",,
80,Gradual,10,10,4 / 5,"2,97","2,86","7,25e-02","0,99","0,99","1,00","-29,66","-13,95","-13,0",,"60,85","80,48",,
80,Gradual,10,10,FINAL,"3,13","3,01","7,04e-02","0,99","0,99","1,00","-30,65","-14,42","-13,1","51,84","60,88","80,44","-0,31","117,43"
150,Planar,"2,5",0,INITIAL,"0,00","0,00","4,28e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,98","19,67","24,20",,
150,Planar,"2,5",0,1 / 5,"0,51","0,49","6,53e-04","1,00","1,00","1,00","0,51","-1,51","0,01",,"19,45","24,11",,
150,Planar,"2,5",0,2 / 5,"0,52","0,51","1,88e-04","1,00","1,00","1,00","0,62","-1,62","0,04",,"19,44","24,11",,
150,Planar,"2,5",0,3 / 5,"0,52","0,51","1,82e-04","1,00","1,00","1,00","0,62","-1,62","0,04",,"19,44","24,11",,
150,Planar,"2,5",0,4 / 5,"0,52","0,51","1,77e-04","1,00","1,00","1,00","0,63","-1,62","0,04",,"19,44","24,11",,
150,Planar,"2,5",0,FINAL,"0,52","0,51","1,71e-04","1,00","1,00","1,00","0,63","-1,62","0,04","3,98","19,44","24,11","1,14","488,65"
150,Planar,0,"2,5",INITIAL,"0,00","0,00","4,05e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","17,90","22,03",,
150,Planar,0,"2,5",1 / 5,"0,44","0,42","1,17e-03","1,00","1,00","1,00","-0,76","0,79","0,0",,"17,64","21,90",,
150,Planar,0,"2,5",2 / 5,"0,44","0,42","1,16e-03","1,00","1,00","1,00","-0,74","0,81","0,0",,"17,64","21,90",,
150,Planar,0,"2,5",3 / 5,"0,45","0,43","4,61e-04","1,00","1,00","1,00","-0,79","0,94","0,02",,"17,64","21,90",,
150,Planar,0,"2,5",4 / 5,"0,45","0,43","4,59e-04","1,00","1,00","1,00","-0,79","0,94","0,02",,"17,64","21,90",,
150,Planar,0,"2,5",FINAL,"0,46","0,43","3,87e-04","1,00","1,00","1,00","-0,8","0,94","-0,01","2,50","17,63","21,90","1,49","705,40"
150,Planar,"2,5","2,5",INITIAL,"0,00","0,00","3,81e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,56","20,20","23,64",,
150,Planar,"2,5","2,5",1 / 5,"0,38","0,38","5,09e-03","1,00","1,00","1,00","-0,07","0,38","0,01",,"20,06","23,56",,
150,Planar,"2,5","2,5",2 / 5,"0,42","0,43","1,70e-03","1,00","1,00","1,00","0,23","0,31","0,01",,"20,05","23,55",,
150,Planar,"2,5","2,5",3 / 5,"0,45","0,45","4,48e-04","1,00","1,00","1,00","0,16","0,19","0,01",,"20,05","23,54",,
150,Planar,"2,5","2,5",4 / 5,"0,45","0,46","4,05e-04","1,00","1,00","1,00","0,16","0,17","0,01",,"20,05","23,54",,
150,Planar,"2,5","2,5",FINAL,"0,45","0,46","2,34e-04","1,00","1,00","1,00","0,15","0,13","0,01","4,56","20,05","23,55","0,74","439,48"
150,Planar,10,0,INITIAL,"0,00","0,00","1,81e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,23","43,08","54,99",,
150,Planar,10,0,1 / 5,"0,95","0,88","8,14e-03","1,00","1,00","1,00","-1,24","-0,63","0,23",,"43,42","55,12",,
150,Planar,10,0,2 / 5,"0,96","0,95","1,76e-03","1,00","1,00","1,00","-0,34","-1,13","-0,12",,"43,46","55,14",,
150,Planar,10,0,3 / 5,"0,98","0,98","6,01e-04","1,00","1,00","1,00","-0,11","-0,98","-0,12",,"43,47","55,15",,
150,Planar,10,0,4 / 5,"0,99","0,99","2,18e-04","1,00","1,00","1,00","-0,13","-1,08","-0,11",,"43,48","55,15",,
150,Planar,10,0,FINAL,"0,99","0,99","2,15e-04","1,00","1,00","1,00","-0,13","-1,08","-0,11","16,23","43,48","55,15","-0,94","267,86"
150,Planar,0,10,INITIAL,"0,00","0,00","3,90e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","21,61","26,02",,
150,Planar,0,10,1 / 5,"0,42","0,42","2,41e-03","1,00","1,00","1,00","0,53","0,27","-0,26",,"21,40","25,89",,
150,Planar,0,10,2 / 5,"0,42","0,42","2,17e-03","1,00","1,00","1,00","0,51","0,19","-0,27",,"21,40","25,88",,
150,Planar,0,10,3 / 5,"0,42","0,42","2,06e-03","1,00","1,00","1,00","0,51","0,13","-0,27",,"21,40","25,88",,
150,Planar,0,10,4 / 5,"0,46","0,46","6,41e-04","1,00","1,00","1,00","0,82","-0,19","-0,34",,"21,38","25,87",,
150,Planar,0,10,FINAL,"0,46","0,46","6,24e-04","1,00","1,00","1,00","0,8","-0,2","-0,31","10,00","21,38","25,87","1,06","213,84"
150,Planar,10,10,INITIAL,"0,00","0,00","2,11e-01","1,00","1,00","1,00","0,0","0,0","0,0","18,52","44,37","57,09",,
150,Planar,10,10,1 / 5,"1,00","1,00","1,04e-02","1,00","1,00","1,00","0,63","-1,9","-0,25",,"44,78","57,35",,
150,Planar,10,10,2 / 5,"1,02","1,00","3,73e-03","1,00","1,00","1,00","1,98","-4,54","-0,5",,"44,81","57,36",,
150,Planar,10,10,3 / 5,"1,03","1,01","2,72e-03","1,00","1,00","1,00","1,95","-4,61","-0,55",,"44,81","57,36",,
