{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,01","0,00","2,78e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,95","1,56","2,79",,
20,Planar,"2,5",0,1 / 5,"1,01","1,00","1,47e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"1,34","2,31",,
20,Planar,"2,5",0,2 / 5,"1,01","1,00","1,43e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"1,37","2,35",,
20,Planar,"2,5",0,3 / 5,"1,01","1,00","1,43e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"1,45","2,46",,
20,Planar,"2,5",0,4 / 5,"1,01","1,00","1,45e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"1,55","2,62",,
20,Planar,"2,5",0,FINAL,"1,01","1,00","1,46e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0","3,95","1,62","2,75","-3,39","40,91"
20,Planar,0,"2,5",INITIAL,"1,00","0,00","1,61e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","0,93","1,45",,
20,Planar,0,"2,5",1 / 5,"1,00","0,43","4,50e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,61","0,96",,
20,Planar,0,"2,5",2 / 5,"1,00","0,65","2,66e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,58","0,92",,
20,Planar,0,"2,5",3 / 5,"1,00","0,66","2,30e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,57","0,91",,
20,Planar,0,"2,5",4 / 5,"1,00","0,66","2,04e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,56","0,89",,
20,Planar,0,"2,5",FINAL,"1,00","0,65","1,85e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","0,54","0,85","41,73","21,72"
20,Planar,"2,5","2,5",INITIAL,"1,00","0,00","2,59e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","1,76","3,02",,
20,Planar,"2,5","2,5",1 / 5,"1,00","1,00","1,59e-02","1,00","1,00","1,00","0,0","0,0","-0,0",,"1,44","2,40",,
20,Planar,"2,5","2,5",2 / 5,"1,00","1,00","1,56e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,40","2,33",,
20,Planar,"2,5","2,5",3 / 5,"1,00","1,00","1,58e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,44","2,40",,
20,Planar,"2,5","2,5",4 / 5,"1,00","1,00","1,61e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,50","2,54",,
20,Planar,"2,5","2,5",FINAL,"1,00","1,00","1,63e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","4,73","1,59","2,70","10,07","33,59"
20,Planar,10,0,INITIAL,"1,01","0,00","5,28e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,05","6,20","10,80",,
20,Planar,10,0,1 / 5,"1,01","1,08","2,32e-01","1,00","1,00","1,00","-0,0","0,0","-0,01",,"23,17","34,23",,
20,Planar,10,0,2 / 5,"1,01","0,99","2,51e-01","1,00","1,00","1,00","-0,0","0,0","-0,01",,"24,83","36,79",,
20,Planar,10,0,3 / 5,"1,01","1,00","2,66e-01","1,00","1,00","1,00","-0,0","0,0","-0,01",,"26,73","39,57",,
20,Planar,10,0,4 / 5,"1,01","1,00","2,73e-01","1,00","1,00","1,00","-0,0","0,0","-0,01",,"28,55","42,14",,
20,Planar,10,0,FINAL,"1,01","1,00","2,76e-01","1,00","1,00","1,00","-0,0","0,0","-0,01","16,05","29,65","43,69","-377,96","184,65"
20,Planar,0,10,INITIAL,"1,00","0,00","2,48e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","3,27","4,91",,
20,Planar,0,10,1 / 5,"1,00","0,56","1,02e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,93","2,93",,
20,Planar,0,10,2 / 5,"1,00","0,96","7,36e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,89","2,87",,
20,Planar,0,10,3 / 5,"1,00","0,91","6,68e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,87","2,81",,
20,Planar,0,10,4 / 5,"1,00","0,87","6,13e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,84","2,76",,
20,Planar,0,10,FINAL,"1,00","0,84","5,62e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","10,00","1,79","2,69","45,25","17,90"
20,Planar,10,10,INITIAL,"1,01","0,00","4,73e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,14","6,97","12,60",,
20,Planar,10,10,1 / 5,"1,01","0,96","2,04e-01","1,00","1,00","1,00","-0,0","0,0","-0,01",,"21,93","32,35",,
20,Planar,10,10,2 / 5,"1,01","1,01","2,13e-01","1,00","1,00","1,00","-0,0","0,0","-0,01",,"23,91","35,07",,
20,Planar,10,10,3 / 5,"1,01","1,00","2,22e-01","1,00","1,00","1,00","-0,0","0,0","-0,01",,"26,06","38,09",,
20,Planar,10,10,4 / 5,"1,01","1,00","2,27e-01","1,00","1,00","1,00","-0,0","0,0","-0,01",,"27,06","39,53",,
20,Planar,10,10,FINAL,"1,01","1,00","2,32e-01","1,00","1,00","1,00","-0,0","0,0","-0,01","19,14","29,01","42,31","-316,21","151,58"
20,Gradual,0,"2,5",INITIAL,"1,00","0,00","2,11e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,24","1,05","1,72",,
20,Gradual,0,"2,5",1 / 5,"1,00","0,43","1,12e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,79","1,27",,
20,Gradual,0,"2,5",2 / 5,"1,00","0,64","9,44e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,77","1,25",,
20,Gradual,0,"2,5",3 / 5,"1,00","0,69","8,92e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,76","1,23",,
20,Gradual,0,"2,5",4 / 5,"1,00","0,69","8,62e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"0,75","1,22",,
20,Gradual,0,"2,5",FINAL,"1,00","0,69","8,50e-04","1,00","1,00","1,00","-0,0","0,0","-0,0","3,24","0,74","1,20","29,48","22,94"
20,Gradual,"2,5","2,5",INITIAL,"1,01","0,00","3,41e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,36","1,87","3,27",,
20,Gradual,"2,5","2,5",1 / 5,"1,01","1,00","2,35e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,74","2,96",,
20,Gradual,"2,5","2,5",2 / 5,"1,01","1,00","2,23e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,68","2,85",,
20,Gradual,"2,5","2,5",3 / 5,"1,01","1,00","2,18e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,65","2,78",,
20,Gradual,"2,5","2,5",4 / 5,"1,01","1,00","2,14e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,61","2,71",,
20,Gradual,"2,5","2,5",FINAL,"1,01","1,00","2,14e-02","1,00","1,00","1,00","-0,0","0,0","-0,0","5,36","1,59","2,67","15,00","29,71"
20,Gradual,0,10,INITIAL,"1,01","0,00","6,58e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,53","2,71","4,15",,
20,Gradual,0,10,1 / 5,"1,01","0,53","5,64e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,89","2,92",,
20,Gradual,0,10,2 / 5,"1,01","0,86","5,51e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,86","2,88",,
20,Gradual,0,10,3 / 5,"1,01","0,87","5,52e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,84","2,84",,
20,Gradual,0,10,4 / 5,"1,01","0,85","5,55e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,80","2,79",,
20,Gradual,0,10,FINAL,"1,01","0,82","5,58e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","10,53","1,76","2,73","34,92","16,75"
20,Gradual,10,10,INITIAL,"1,00","0,00","4,44e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,45","6,43","11,51",,
20,Gradual,10,10,1 / 5,"1,00","0,91","3,02e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"6,00","10,66",,
20,Gradual,10,10,2 / 5,"1,00","1,00","3,30e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"7,96","14,73",,
20,Gradual,10,10,3 / 5,"1,00","1,00","3,40e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"10,24","18,82",,
20,Gradual,10,10,4 / 5,"1,00","1,01","3,42e-01","1,00","1,00","1,00","-0,0","0,0","-0,0",,"12,93","22,85",,
20,Gradual,10,10,FINAL,"1,00","1,01","3,40e-01","1,00","1,00","1,00","-0,0","0,0","-0,0","19,45","15,31","26,06","-137,92","78,73"
80,Planar,"2,5",0,INITIAL,"1,01","0,00","2,41e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,78","5,45","9,48",,
80,Planar,"2,5",0,1 / 5,"1,01","1,00","2,69e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"7,40","11,03",,
80,Planar,"2,5",0,2 / 5,"1,01","1,00","1,54e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"7,24","10,62",,
80,Planar,"2,5",0,3 / 5,"1,01","1,00","1,21e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"7,08","10,34",,
80,Planar,"2,5",0,4 / 5,"1,01","1,00","1,07e-02","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"6,93","10,12",,
80,Planar,"2,5",0,FINAL,"1,01","1,00","9,88e-03","1,00","1,00","1,00","-0,0","-0,0","-0,0","3,78","6,80","9,93","-24,62","179,65"
80,Planar,0,"2,5",INITIAL,"1,01","0,00","1,07e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","4,00","6,87",,
80,Planar,0,"2,5",1 / 5,"1,01","1,00","1,25e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"2,52","4,03",,
80,Planar,0,"2,5",2 / 5,"1,01","1,00","8,45e-03","1,00","1,00","1,00","0,0","0,0","0,0",,"2,43","3,83",,
80,Planar,0,"2,5",3 / 5,"1,01","1,00","7,12e-03","1,00","1,00","1,00","0,0","0,0","0,0",,"2,40","3,75",,
80,Planar,0,"2,5",4 / 5,"1,01","1,00","5,65e-03","1,00","1,00","1,00","0,0","0,0","0,0",,"2,35","3,66",,
80,Planar,0,"2,5",FINAL,"1,01","1,00","4,05e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","2,29","3,52","42,77","91,54"
80,Planar,"2,5","2,5",INITIAL,"1,01","0,00","2,43e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,70","5,51","9,80",,
80,Planar,"2,5","2,5",1 / 5,"1,01","1,00","3,25e-02","1,00","1,00","1,00","0,0","0,0","-0,0",,"2,85","4,67",,
80,Planar,"2,5","2,5",2 / 5,"1,01","1,00","1,65e-02","1,00","1,00","1,00","0,0","0,0","-0,0",,"2,52","4,04",,
80,Planar,"2,5","2,5",3 / 5,"1,01","1,00","1,27e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,41","3,82",,
80,Planar,"2,5","2,5",4 / 5,"1,01","1,00","1,05e-02","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,31","3,61",,
80,Planar,"2,5","2,5",FINAL,"1,01","1,00","9,44e-03","1,00","1,00","1,00","-0,0","0,0","-0,0","4,70","2,24","3,47","59,37","47,59"
80,Planar,10,0,INITIAL,"1,01","0,00","1,67e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,37","12,58","22,87",,
80,Planar,10,0,1 / 5,"1,01","1,62","2,51e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"6,15","10,50",,
80,Planar,10,0,2 / 5,"1,01","1,00","2,80e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"5,81","10,12",,
80,Planar,10,0,3 / 5,"1,01","1,00","2,74e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"5,82","10,15",,
80,Planar,10,0,4 / 5,"1,01","1,00","2,69e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"5,86","10,23",,
80,Planar,10,0,FINAL,"1,01","1,00","2,67e-01","1,00","1,00","1,00","0,0","0,0","-0,0","16,37","5,91","10,31","53,04","36,08"
80,Planar,0,10,INITIAL,"1,00","0,00","1,16e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","8,68","13,81",,
80,Planar,0,10,1 / 5,"1,00","1,00","1,34e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"7,97","11,70",,
80,Planar,0,10,2 / 5,"1,00","1,00","9,55e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"7,93","11,59",,
80,Planar,0,10,3 / 5,"1,00","1,00","7,50e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"7,88","11,48",,
80,Planar,0,10,4 / 5,"1,00","1,00","6,40e-03","1,00","1,00","1,00","-0,0","0,0","0,0",,"7,84","11,40",,
80,Planar,0,10,FINAL,"1,00","1,00","5,82e-03","1,00","1,00","1,00","-0,0","0,0","0,0","10,00","7,81","11,34","10,03","78,08"
80,Planar,10,10,INITIAL,"1,00","0,00","2,82e+00","1,00","1,00","1,00","0,0","0,0","0,0","20,06","19,73","34,73",,
80,Planar,10,10,1 / 5,"1,00","2,13","4,59e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"12,85","20,46",,
80,Planar,10,10,2 / 5,"1,00","1,00","5,00e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"12,22","19,46",,
80,Planar,10,10,3 / 5,"1,00","1,00","4,58e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"11,81","18,73",,
80,Planar,10,10,4 / 5,"1,00","1,00","4,40e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"11,54","18,23",,
80,Planar,10,10,FINAL,"1,00","1,00","4,24e-01","1,00","1,00","1,00","-0,0","0,0","0,0","20,06","11,15","17,58","43,49","55,58"
80,Gradual,0,"2,5",INITIAL,"1,01","0,00","2,34e-01","1,00","1,00","1,00","0,0","0,0","0,0","23,44","18,74","35,15",,
80,Gradual,0,"2,5",1 / 5,"1,01","0,99","9,87e-02","1,00","1,00","1,00","0,01","0,01","-0,02",,"13,00","25,12",,
80,Gradual,0,"2,5",2 / 5,"1,01","1,00","8,59e-02","1,00","1,00","1,00","0,01","0,01","-0,02",,"12,59","24,09",,
80,Gradual,0,"2,5",3 / 5,"1,01","1,00","7,68e-02","1,00","1,00","1,00","0,01","0,01","-0,02",,"12,11","22,93",,
80,Gradual,0,"2,5",4 / 5,"1,01","1,00","6,95e-02","1,00","1,00","1,00","0,01","0,01","-0,02",,"11,59","21,73",,
80,Gradual,0,"2,5",FINAL,"1,01","1,00","6,35e-02","1,00","1,00","1,00","0,01","0,01","-0,02","23,44","11,11","20,65","40,73","47,40"
80,Gradual,"2,5","2,5",INITIAL,"1,00","0,00","4,28e-01","1,00","1,00","1,00","0,0","0,0","0,0","24,95","20,61","37,11",,
80,Gradual,"2,5","2,5",1 / 5,"1,00","1,00","1,62e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"18,04","32,56",,
80,Gradual,"2,5","2,5",2 / 5,"1,00","1,00","1,30e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"17,41","30,95",,
80,Gradual,"2,5","2,5",3 / 5,"1,00","1,00","1,06e-01","1,00","1,00","1,00","0,0","0,0","-0,0",,"16,54","28,85",,
80,Gradual,"2,5","2,5",4 / 5,"1,00","1,00","9,03e-02","1,00","1,00","1,00","0,0","0,0","-0,0",,"15,80","27,09",,
80,Gradual,"2,5","2,5",FINAL,"1,00","1,00","7,89e-02","1,00","1,00","1,00","0,0","0,0","-0,0","24,95","15,20","25,69","26,22","60,93"
80,Gradual,0,10,INITIAL,"1,01","0,00","1,12e+00","1,00","1,00","1,00","0,0","0,0","0,0","46,08","32,76","62,02",,
80,Gradual,0,10,1 / 5,"1,01","3,95","8,39e-01","1,00","1,00","1,00","0,0","0,09","-0,13",,"26,73","52,61",,
80,Gradual,0,10,2 / 5,"1,01","0,96","9,19e-01","1,00","1,00","1,00","0,0","0,1","-0,15",,"24,20","44,69",,
80,Gradual,0,10,3 / 5,"1,01","0,99","1,05e+00","1,00","1,00","1,00","0,0","0,1","-0,15",,"23,91","43,04",,
80,Gradual,0,10,4 / 5,"1,01","1,00","1,14e+00","1,00","1,00","1,00","0,0","0,1","-0,15",,"23,65","41,60",,
80,Gradual,0,10,FINAL,"1,01","0,99","1,17e+00","1,00","1,00","1,00","0,0","0,1","-0,15","46,08","23,19","39,82","29,19","50,34"
80,Gradual,10,10,INITIAL,"1,01","0,00","2,52e+00","1,00","1,00","1,00","0,0","0,0","0,0","47,29","35,17","64,98",,
80,Gradual,10,10,1 / 5,"1,01","1,56","6,77e-01","1,00","1,00","1,00","0,02","0,04","-0,19",,"30,52","63,82",,
80,Gradual,10,10,2 / 5,"1,01","1,00","6,69e-01","1,00","1,00","1,00","0,02","0,04","-0,19",,"29,89","62,72",,
80,Gradual,10,10,3 / 5,"1,01","1,00","6,77e-01","1,00","1,00","1,00","0,02","0,05","-0,2",,"29,55","61,94",,
80,Gradual,10,10,4 / 5,"1,01","1,00","7,00e-01","1,00","1,00","1,00","0,02","0,05","-0,2",,"29,25","61,34",,
80,Gradual,10,10,FINAL,"1,01","1,00","7,29e-01","1,00","1,00","1,00","0,02","0,05","-0,21","47,29","28,99","60,89","17,57","61,30"
150,Planar,"2,5",0,INITIAL,"1,01","0,00","5,92e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,06","9,24","15,68",,
150,Planar,"2,5",0,1 / 5,"1,01","1,00","7,28e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"4,85","7,88",,
150,Planar,"2,5",0,2 / 5,"1,01","1,00","3,40e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"4,04","6,44",,
150,Planar,"2,5",0,3 / 5,"1,01","1,00","2,41e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"3,74","5,93",,
150,Planar,"2,5",0,4 / 5,"1,01","1,00","1,85e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"3,48","5,49",,
150,Planar,"2,5",0,FINAL,"1,01","1,00","1,51e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,06","3,28","5,15","64,56","80,72"
150,Planar,0,"2,5",INITIAL,"1,01","0,00","6,20e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","9,18","15,87",,
150,Planar,0,"2,5",1 / 5,"1,01","1,00","5,98e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"4,77","7,91",,
150,Planar,0,"2,5",2 / 5,"1,01","1,00","3,04e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"4,13","6,98",,
150,Planar,0,"2,5",3 / 5,"1,01","1,00","1,95e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"3,80","6,43",,
150,Planar,0,"2,5",4 / 5,"1,01","1,00","1,38e-02","1,00","1,00","1,00","0,0","0,0","0,0",,"3,59","6,05",,
150,Planar,0,"2,5",FINAL,"1,01","1,00","1,01e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","3,41","5,71","62,83","136,45"
150,Planar,"2,5","2,5",INITIAL,"1,01","0,00","7,78e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,55","10,23","17,45",,
150,Planar,"2,5","2,5",1 / 5,"1,01","1,29","1,08e-01","1,00","1,00","1,00","-0,0","-0,0","0,0",,"5,47","9,07",,
150,Planar,"2,5","2,5",2 / 5,"1,01","0,99","4,15e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"4,41","7,45",,
150,Planar,"2,5","2,5",3 / 5,"1,01","1,00","3,54e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"4,36","7,34",,
150,Planar,"2,5","2,5",4 / 5,"1,01","1,00","2,66e-02","1,00","1,00","1,00","-0,0","-0,0","0,0",,"4,19","7,13",,
150,Planar,"2,5","2,5",FINAL,"1,01","1,00","2,32e-02","1,00","1,00","1,00","-0,0","-0,0","0,0","4,55","4,12","7,04","59,71","90,68"
150,Planar,10,0,INITIAL,"1,01","0,00","4,19e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,37","20,80","36,41",,
150,Planar,10,0,1 / 5,"1,01","1,82","4,41e-01","1,00","1,00","1,00","-0,0","0,0","-0,2",,"30,20","45,24",,
150,Planar,10,0,2 / 5,"1,01","1,00","3,17e-01","1,00","1,00","1,00","-0,0","0,0","-0,2",,"29,90","44,08",,
150,Planar,10,0,3 / 5,"1,01","1,00","2,52e-01","1,00","1,00","1,00","-0,0","0,0","-0,21",,"29,80","43,47",,
150,Planar,10,0,4 / 5,"1,01","1,00","2,24e-01","1,00","1,00","1,00","-0,0","0,0","-0,21",,"29,73","43,13",,
150,Planar,10,0,FINAL,"1,01","1,00","2,12e-01","1,00","1,00","1,00","-0,0","0,0","-0,22","15,37","29,68","42,95","-42,70","193,07"
150,Planar,0,10,INITIAL,"1,00","0,00","5,87e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","11,36","19,19",,
150,Planar,0,10,1 / 5,"1,00","1,08","8,67e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"9,20","14,37",,
150,Planar,0,10,2 / 5,"1,00","1,00","7,07e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"9,04","14,12",,
150,Planar,0,10,3 / 5,"1,00","1,00","5,97e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"8,90","13,90",,
150,Planar,0,10,4 / 5,"1,00","1,00","5,37e-02","1,00","1,00","1,00","-0,0","0,0","0,0",,"8,81","13,74",,
150,Planar,0,10,FINAL,"1,00","1,00","5,02e-02","1,00","1,00","1,00","-0,0","0,0","0,0","10,00","8,75","13,64","22,93","87,52"
150,Planar,10,10,INITIAL,"1,00","0,00","4,19e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,26","23,28","40,49",,
150,Planar,10,10,1 / 5,"1,00","1,95","6,02e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"15,80","26,24",,
150,Planar,10,10,2 / 5,"1,00","1,01","6,04e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"15,06","25,15",,
150,Planar,10,10,3 / 5,"1,00","1,00","4,93e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"14,55","24,23",,
150,Planar,10,10,4 / 5,"1,00","1,00","3,98e-01","1,00","1,00","1,00","-0,0","0,0","0,0",,"14,01","23,24",,
