{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,70","1,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,37","4,06",,
20,Planar,"2,5",0,1 / 5,"1,53","1,53","8,37e-05","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"3,34","4,03",,
20,Planar,"2,5",0,2 / 5,"0,97","1,01","2,59e-03","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"3,22","3,95",,
20,Planar,"2,5",0,3 / 5,"0,99","1,02","2,72e-03","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"3,24","3,97",,
20,Planar,"2,5",0,4 / 5,"1,01","1,04","2,67e-03","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"3,25","3,98",,
20,Planar,"2,5",0,FINAL,"0,99","1,02","2,96e-03","1,00","1,00","1,00","-0,0","-0,0","-0,0","3,95","3,26","3,99","3,33","82,57"
20,Planar,0,"2,5",INITIAL,"0,94","0,92","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,64","1,82",,
20,Planar,0,"2,5",1 / 5,"0,92","0,91","7,28e-08","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,64","1,81",,
20,Planar,0,"2,5",2 / 5,"0,92","0,91","7,84e-08","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,64","1,81",,
20,Planar,0,"2,5",3 / 5,"0,92","0,90","9,41e-08","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,64","1,81",,
20,Planar,0,"2,5",4 / 5,"0,92","0,90","9,32e-08","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,64","1,81",,
20,Planar,0,"2,5",FINAL,"0,92","0,90","7,65e-08","1,00","1,00","1,00","-0,0","0,0","-0,0","2,50","1,64","1,81","0,44","65,42"
20,Planar,"2,5","2,5",INITIAL,"2,21","4,74","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,49","4,12",,
20,Planar,"2,5","2,5",1 / 5,"2,26","2,32","4,94e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,46","4,10",,
20,Planar,"2,5","2,5",2 / 5,"2,20","1,80","3,05e-04","1,00","1,00","1,00","0,0","0,0","-0,0",,"3,43","4,07",,
20,Planar,"2,5","2,5",3 / 5,"1,97","1,39","1,08e-03","1,00","1,00","1,00","0,0","0,0","-0,0",,"3,37","4,03",,
20,Planar,"2,5","2,5",4 / 5,"1,94","1,31","1,38e-03","1,00","1,00","1,00","0,0","0,0","-0,0",,"3,37","4,02",,
20,Planar,"2,5","2,5",FINAL,"1,93","1,28","1,50e-03","1,00","1,00","1,00","0,0","0,0","-0,0","4,73","3,37","4,03","3,52","71,25"
20,Planar,10,0,INITIAL,"7,13","6,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","13,77","16,32",,
20,Planar,10,0,1 / 5,"6,93","6,82","9,53e-05","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"13,72","16,28",,
20,Planar,10,0,2 / 5,"6,24","6,19","2,08e-03","1,00","1,00","1,00","-0,0","-0,0","-0,0",,"13,53","16,16",,
20,Planar,10,0,3 / 5,"5,29","5,28","1,15e-02","1,00","1,00","1,00","-0,0","-0,01","-0,0",,"13,28","16,00",,
20,Planar,10,0,4 / 5,"5,12","5,07","1,55e-02","1,00","1,00","1,00","-0,0","-0,01","-0,0",,"13,24","15,97",,
20,Planar,10,0,FINAL,"5,05","5,03","1,76e-02","1,00","1,00","1,00","-0,0","-0,01","-0,0","16,05","13,22","15,97","3,99","82,37"
20,Planar,0,10,INITIAL,"3,49","3,41","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,57","6,02",,
20,Planar,0,10,1 / 5,"2,62","2,58","2,11e-05","1,00","1,00","1,00","-0,0","0,0","0,0",,"5,22","5,75",,
20,Planar,0,10,2 / 5,"0,95","0,94","2,43e-04","1,00","1,00","1,00","-0,0","0,01","0,0",,"4,72","5,42",,
20,Planar,0,10,3 / 5,"0,97","0,96","2,08e-04","1,00","1,00","1,00","-0,0","0,02","0,0",,"4,72","5,42",,
20,Planar,0,10,4 / 5,"0,98","0,98","1,89e-04","1,00","1,00","1,00","-0,0","0,02","0,0",,"4,72","5,42",,
20,Planar,0,10,FINAL,"0,98","0,98","1,83e-04","1,00","1,00","1,00","-0,0","0,03","0,0","10,00","4,72","5,42","15,27","47,20"
20,Planar,10,10,INITIAL,"8,23","8,13","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","14,59","17,47",,
20,Planar,10,10,1 / 5,"7,87","7,75","1,70e-04","1,00","1,00","1,00","-0,0","0,0","-0,0",,"14,48","17,39",,
20,Planar,10,10,2 / 5,"7,03","6,90","2,22e-03","1,00","1,00","1,00","-0,0","0,01","-0,0",,"14,24","17,21",,
20,Planar,10,10,3 / 5,"6,07","5,97","9,92e-03","1,00","1,00","1,00","-0,0","0,01","-0,0",,"13,98","17,02",,
20,Planar,10,10,4 / 5,"5,99","5,85","1,12e-02","1,00","1,00","1,00","-0,0","0,02","-0,0",,"13,95","17,00",,
20,Planar,10,10,FINAL,"5,98","5,83","1,12e-02","1,00","1,00","1,00","-0,0","0,02","-0,0","19,14","13,95","17,00","4,38","72,86"
20,Gradual,0,"2,5",INITIAL,"1,66","1,59","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,03","2,45",,
20,Gradual,0,"2,5",1 / 5,"1,61","1,56","3,76e-07","1,00","1,00","1,00","-0,0","0,0","-0,0",,"2,01","2,43",,
20,Gradual,0,"2,5",2 / 5,"1,47","1,45","6,32e-06","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,97","2,38",,
20,Gradual,0,"2,5",3 / 5,"1,03","1,09","7,45e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,85","2,24",,
20,Gradual,0,"2,5",4 / 5,"0,98","1,04","8,39e-05","1,00","1,00","1,00","-0,0","0,0","-0,0",,"1,83","2,22",,
20,Gradual,0,"2,5",FINAL,"0,97","1,03","8,41e-05","1,00","1,00","1,00","-0,0","0,0","-0,0","3,24","1,83","2,21","9,87","56,49"
20,Gradual,"2,5","2,5",INITIAL,"2,21","2,30","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,36","4,03","4,75",,
20,Gradual,"2,5","2,5",1 / 5,"1,11","0,88","2,95e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,72","4,53",,
20,Gradual,"2,5","2,5",2 / 5,"1,10","0,87","3,17e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,72","4,54",,
20,Gradual,"2,5","2,5",3 / 5,"1,14","0,92","3,01e-03","1,00","1,00","1,00","-0,0","0,0","-0,0",,"3,74","4,55",,
20,Gradual,"2,5","2,5",4 / 5,"1,14","0,92","3,02e-03","1,00","1,00","1,00","-0,0","0,01","-0,0",,"3,74","4,55",,
20,Gradual,"2,5","2,5",FINAL,"1,13","0,92","3,07e-03","1,00","1,00","1,00","-0,0","0,01","-0,0","5,36","3,74","4,56","7,12","69,93"
20,Gradual,0,10,INITIAL,"5,37","5,03","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,53","5,82","6,85",,
20,Gradual,0,10,1 / 5,"0,87","1,15","1,78e-03","1,00","1,00","1,00","-0,01","0,06","-0,01",,"4,64","5,51",,
20,Gradual,0,10,2 / 5,"0,85","1,13","1,80e-03","1,00","1,00","1,00","-0,01","0,08","-0,01",,"4,63","5,49",,
20,Gradual,0,10,3 / 5,"0,88","1,17","1,78e-03","1,00","1,00","1,00","-0,01","0,1","-0,01",,"4,62","5,48",,
20,Gradual,0,10,4 / 5,"0,88","1,17","1,78e-03","1,00","1,00","1,00","-0,01","0,11","-0,02",,"4,62","5,47",,
20,Gradual,0,10,FINAL,"0,88","1,16","1,83e-03","1,00","1,00","1,00","-0,02","0,13","-0,02","10,53","4,62","5,46","20,67","43,82"
20,Gradual,10,10,INITIAL,"9,92","10,02","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,68","17,26",,
20,Gradual,10,10,1 / 5,"3,58","2,45","9,20e-02","1,00","1,00","1,00","-0,01","0,03","-0,01",,"13,27","16,36",,
20,Gradual,10,10,2 / 5,"2,13","1,83","1,43e-01","1,00","1,00","1,00","-0,03","0,11","-0,03",,"14,27","17,51",,
20,Gradual,10,10,3 / 5,"1,83","1,76","1,60e-01","1,00","1,00","1,00","-0,06","0,17","-0,06",,"14,91","18,32",,
20,Gradual,10,10,4 / 5,"1,75","1,58","1,76e-01","1,00","1,00","1,00","-0,07","0,21","-0,07",,"15,20","18,72",,
20,Gradual,10,10,FINAL,"1,71","1,60","1,84e-01","1,00","1,00","1,00","-0,08","0,22","-0,08","19,45","15,39","18,95","-4,79","79,12"
80,Planar,"2,5",0,INITIAL,"0,56","0,55","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,78","10,83","13,38",,
80,Planar,"2,5",0,1 / 5,"0,43","0,45","1,28e-03","1,00","1,00","1,00","-0,0","0,01","-0,0",,"10,81","13,37",,
80,Planar,"2,5",0,2 / 5,"0,46","0,47","9,59e-04","1,00","1,00","1,00","-0,0","0,02","-0,01",,"10,81","13,37",,
80,Planar,"2,5",0,3 / 5,"0,48","0,49","6,69e-04","1,00","1,00","1,00","-0,0","0,03","-0,02",,"10,82","13,37",,
80,Planar,"2,5",0,4 / 5,"0,49","0,50","5,24e-04","1,00","1,00","1,00","-0,0","0,04","-0,04",,"10,82","13,37",,
80,Planar,"2,5",0,FINAL,"0,49","0,50","4,85e-04","1,00","1,00","1,00","-0,0","0,04","-0,04","3,78","10,82","13,37","0,07","285,97"
80,Planar,0,"2,5",INITIAL,"0,46","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,61","9,27",,
80,Planar,0,"2,5",1 / 5,"0,38","0,37","3,26e-04","1,00","1,00","1,00","0,0","0,01","-0,0",,"7,59","9,26",,
80,Planar,0,"2,5",2 / 5,"0,39","0,38","2,45e-04","1,00","1,00","1,00","0,0","0,01","-0,0",,"7,59","9,26",,
80,Planar,0,"2,5",3 / 5,"0,40","0,38","2,22e-04","1,00","1,00","1,00","0,0","0,02","-0,0",,"7,59","9,26",,
80,Planar,0,"2,5",4 / 5,"0,40","0,38","2,13e-04","1,00","1,00","1,00","0,0","0,02","-0,0",,"7,59","9,26",,
80,Planar,0,"2,5",FINAL,"0,40","0,39","2,05e-04","1,00","1,00","1,00","0,0","0,02","-0,0","2,50","7,59","9,26","0,27","303,56"
80,Planar,"2,5","2,5",INITIAL,"0,52","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,70","10,89","13,70",,
80,Planar,"2,5","2,5",1 / 5,"0,42","0,45","3,04e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"10,85","13,68",,
80,Planar,"2,5","2,5",2 / 5,"0,43","0,46","2,43e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"10,85","13,68",,
80,Planar,"2,5","2,5",3 / 5,"0,43","0,46","2,14e-04","1,00","1,00","1,00","-0,0","0,01","-0,0",,"10,85","13,68",,
80,Planar,"2,5","2,5",4 / 5,"0,44","0,46","1,87e-04","1,00","1,00","1,00","-0,0","0,02","-0,0",,"10,85","13,68",,
80,Planar,"2,5","2,5",FINAL,"0,44","0,47","1,68e-04","1,00","1,00","1,00","-0,0","0,02","-0,0","4,70","10,85","13,68","0,31","230,81"
80,Planar,10,0,INITIAL,"1,71","1,72","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,37","26,89","33,20",,
80,Planar,10,0,1 / 5,"1,32","1,34","1,43e-02","1,00","1,00","1,00","-0,01","-0,01","-0,01",,"26,67","33,09",,
80,Planar,10,0,2 / 5,"1,15","1,15","3,26e-02","1,00","1,00","1,00","-0,03","-0,02","-0,02",,"26,65","33,14",,
80,Planar,10,0,3 / 5,"0,99","0,98","5,50e-02","1,00","1,00","1,00","-0,04","-0,03","-0,03",,"26,72","33,27",,
80,Planar,10,0,4 / 5,"0,99","0,96","5,88e-02","1,00","1,00","1,00","-0,06","-0,03","-0,05",,"26,91","33,48",,
80,Planar,10,0,FINAL,"1,02","1,00","5,88e-02","1,00","1,00","1,00","-0,09","-0,03","-0,09","16,37","27,16","33,70","-1,00","165,87"
80,Planar,0,10,INITIAL,"0,89","0,90","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,51","17,01",,
80,Planar,0,10,1 / 5,"0,48","0,50","5,44e-04","1,00","1,00","1,00","-0,0","0,05","-0,0",,"14,20","16,84",,
80,Planar,0,10,2 / 5,"0,48","0,50","5,37e-04","1,00","1,00","1,00","-0,0","0,05","-0,0",,"14,20","16,84",,
80,Planar,0,10,3 / 5,"0,48","0,50","5,31e-04","1,00","1,00","1,00","-0,0","0,05","-0,0",,"14,20","16,84",,
80,Planar,0,10,4 / 5,"0,48","0,50","5,26e-04","1,00","1,00","1,00","-0,0","0,05","-0,0",,"14,20","16,84",,
80,Planar,0,10,FINAL,"0,48","0,50","5,14e-04","1,00","1,00","1,00","-0,0","0,05","-0,0","10,00","14,20","16,84","2,14","142,03"
80,Planar,10,10,INITIAL,"1,99","2,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","20,06","38,52","47,29",,
80,Planar,10,10,1 / 5,"1,35","1,39","1,26e-02","1,00","1,00","1,00","-0,01","0,07","-0,0",,"38,11","47,09",,
80,Planar,10,10,2 / 5,"1,14","1,19","2,62e-02","1,00","1,00","1,00","-0,01","0,1","-0,0",,"38,01","47,05",,
80,Planar,10,10,3 / 5,"0,95","1,01","4,80e-02","1,00","1,00","1,00","-0,01","0,14","-0,0",,"37,93","47,03",,
80,Planar,10,10,4 / 5,"0,99","1,06","4,78e-02","1,00","1,00","1,00","-0,02","0,17","-0,0",,"37,96","47,05",,
80,Planar,10,10,FINAL,"1,02","1,09","4,84e-02","1,00","1,00","1,00","-0,02","0,18","-0,0","20,06","37,97","47,06","1,44","189,28"
80,Gradual,0,"2,5",INITIAL,"2,42","2,28","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","23,44","30,99","42,49",,
80,Gradual,0,"2,5",1 / 5,"1,01","1,05","7,76e-03","1,00","1,00","1,00","-0,09","0,79","-0,23",,"29,91","41,89",,
80,Gradual,0,"2,5",2 / 5,"0,99","1,03","7,90e-03","1,00","1,00","1,00","-0,11","0,94","-0,28",,"29,89","41,88",,
80,Gradual,0,"2,5",3 / 5,"0,97","1,03","7,93e-03","1,00","1,00","1,00","-0,15","1,17","-0,37",,"29,88","41,87",,
80,Gradual,0,"2,5",4 / 5,"0,97","1,03","7,92e-03","1,00","1,00","1,00","-0,18","1,39","-0,45",,"29,87","41,86",,
80,Gradual,0,"2,5",FINAL,"0,97","1,04","7,94e-03","1,00","1,00","1,00","-0,21","1,55","-0,52","23,44","29,86","41,85","3,67","127,39"
80,Gradual,"2,5","2,5",INITIAL,"2,51","2,79","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","24,95","34,36","45,12",,
80,Gradual,"2,5","2,5",1 / 5,"0,98","1,02","1,08e-02","1,00","1,00","1,00","-0,02","0,28","-0,09",,"33,19","44,45",,
80,Gradual,"2,5","2,5",2 / 5,"0,98","1,02","1,08e-02","1,00","1,00","1,00","-0,02","0,29","-0,09",,"33,19","44,45",,
80,Gradual,"2,5","2,5",3 / 5,"0,98","1,02","1,08e-02","1,00","1,00","1,00","-0,02","0,3","-0,09",,"33,19","44,45",,
80,Gradual,"2,5","2,5",4 / 5,"0,98","1,02","1,08e-02","1,00","1,00","1,00","-0,02","0,3","-0,09",,"33,19","44,45",,
80,Gradual,"2,5","2,5",FINAL,"0,98","1,02","1,08e-02","1,00","1,00","1,00","-0,02","0,31","-0,09","24,95","33,19","44,45","3,41","133,00"
80,Gradual,0,10,INITIAL,"5,95","5,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","46,08","55,75","76,19",,
80,Gradual,0,10,1 / 5,"0,96","1,26","7,12e-02","1,00","1,00","1,00","-0,55","3,1","-0,91",,"52,38","74,14",,
80,Gradual,0,10,2 / 5,"0,89","1,19","7,45e-02","1,00","1,00","1,00","-0,69","3,75","-1,12",,"52,35","74,11",,
80,Gradual,0,10,3 / 5,"0,88","1,18","7,55e-02","1,00","1,00","1,00","-0,76","4,08","-1,22",,"52,34","74,09",,
80,Gradual,0,10,4 / 5,"0,89","1,18","7,54e-02","1,00","1,00","1,00","-0,78","4,19","-1,26",,"52,33","74,09",,
80,Gradual,0,10,FINAL,"0,88","1,17","7,59e-02","1,00","1,00","1,00","-0,81","4,33","-1,3","46,08","52,33","74,08","6,14","113,57"
80,Gradual,10,10,INITIAL,"5,26","4,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","47,29","62,38","81,17",,
80,Gradual,10,10,1 / 5,"1,35","1,45","7,40e-02","1,00","1,00","1,00","-0,36","2,07","-0,61",,"59,63","79,67",,
80,Gradual,10,10,2 / 5,"1,01","0,99","1,12e-01","1,00","1,00","1,00","-0,64","3,42","-1,05",,"59,53","79,63",,
80,Gradual,10,10,3 / 5,"1,02","0,99","1,14e-01","1,00","1,00","1,00","-0,72","3,78","-1,17",,"59,52","79,63",,
80,Gradual,10,10,4 / 5,"1,01","0,98","1,15e-01","1,00","1,00","1,00","-0,74","3,85","-1,19",,"59,51","79,63",,
80,Gradual,10,10,FINAL,"1,01","0,99","1,16e-01","1,00","1,00","1,00","-0,76","3,95","-1,23","47,29","59,51","79,63","4,60","125,84"
150,Planar,"2,5",0,INITIAL,"0,52","0,52","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,06","18,16","21,88",,
150,Planar,"2,5",0,1 / 5,"0,45","0,45","1,19e-03","1,00","1,00","1,00","-0,0","-0,0","0,0",,"18,15","21,87",,
150,Planar,"2,5",0,2 / 5,"0,46","0,46","9,70e-04","1,00","1,00","1,00","-0,0","-0,01","0,0",,"18,15","21,87",,
150,Planar,"2,5",0,3 / 5,"0,46","0,46","9,09e-04","1,00","1,00","1,00","0,0","-0,01","0,0",,"18,15","21,87",,
150,Planar,"2,5",0,4 / 5,"0,46","0,46","8,73e-04","1,00","1,00","1,00","0,0","-0,01","0,0",,"18,15","21,87",,
150,Planar,"2,5",0,FINAL,"0,46","0,47","8,48e-04","1,00","1,00","1,00","0,0","-0,01","0,0","4,06","18,15","21,87","0,04","447,32"
150,Planar,0,"2,5",INITIAL,"0,48","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","18,03","22,09",,
150,Planar,0,"2,5",1 / 5,"0,37","0,37","2,55e-03","1,00","1,00","1,00","-0,02","0,1","-0,0",,"18,03","22,10",,
150,Planar,0,"2,5",2 / 5,"0,38","0,39","1,84e-03","1,00","1,00","1,00","-0,05","0,19","-0,0",,"18,03","22,10",,
150,Planar,0,"2,5",3 / 5,"0,39","0,40","1,50e-03","1,00","1,00","1,00","-0,05","0,22","-0,01",,"18,02","22,10",,
150,Planar,0,"2,5",4 / 5,"0,40","0,40","1,39e-03","1,00","1,00","1,00","-0,06","0,23","-0,01",,"18,02","22,09",,
150,Planar,0,"2,5",FINAL,"0,40","0,41","1,31e-03","1,00","1,00","1,00","-0,06","0,24","-0,01","2,50","18,02","22,09","0,04","720,92"
150,Planar,"2,5","2,5",INITIAL,"0,54","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,55","20,23","24,41",,
150,Planar,"2,5","2,5",1 / 5,"0,43","0,44","2,22e-03","1,00","1,00","1,00","-0,03","0,1","0,0",,"20,21","24,40",,
150,Planar,"2,5","2,5",2 / 5,"0,46","0,47","1,42e-03","1,00","1,00","1,00","-0,04","0,17","0,0",,"20,21","24,40",,
150,Planar,"2,5","2,5",3 / 5,"0,48","0,48","9,70e-04","1,00","1,00","1,00","-0,06","0,2","0,0",,"20,21","24,40",,
150,Planar,"2,5","2,5",4 / 5,"0,49","0,50","6,79e-04","1,00","1,00","1,00","-0,07","0,24","0,01",,"20,21","24,40",,
150,Planar,"2,5","2,5",FINAL,"0,49","0,50","6,11e-04","1,00","1,00","1,00","-0,07","0,25","0,01","4,55","20,21","24,40","0,09","444,61"
150,Planar,10,0,INITIAL,"0,98","1,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,37","42,33","52,32",,
150,Planar,10,0,1 / 5,"0,81","0,84","4,40e-03","1,00","1,00","1,00","-0,01","0,01","-0,01",,"42,22","52,26",,
150,Planar,10,0,2 / 5,"0,84","0,87","3,39e-03","1,00","1,00","1,00","-0,02","0,02","-0,04",,"42,24","52,27",,
150,Planar,10,0,3 / 5,"0,85","0,88","3,04e-03","1,00","1,00","1,00","-0,02","0,02","-0,05",,"42,25","52,28",,
150,Planar,10,0,4 / 5,"0,87","0,90","2,65e-03","1,00","1,00","1,00","-0,02","0,02","-0,06",,"42,26","52,28",,
150,Planar,10,0,FINAL,"0,88","0,91","2,24e-03","1,00","1,00","1,00","-0,02","0,01","-0,07","15,37","42,27","52,29","0,14","274,99"
150,Planar,0,10,INITIAL,"0,75","0,77","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","20,16","24,73",,
150,Planar,0,10,1 / 5,"0,39","0,40","2,48e-03","1,00","1,00","1,00","-0,2","0,88","-0,04",,"19,84","24,56",,
150,Planar,0,10,2 / 5,"0,40","0,41","2,13e-03","1,00","1,00","1,00","-0,22","0,96","-0,04",,"19,83","24,56",,
150,Planar,0,10,3 / 5,"0,40","0,41","2,00e-03","1,00","1,00","1,00","-0,23","0,99","-0,05",,"19,83","24,56",,
150,Planar,0,10,4 / 5,"0,40","0,42","1,87e-03","1,00","1,00","1,00","-0,24","1,03","-0,05",,"19,83","24,56",,
150,Planar,0,10,FINAL,"0,41","0,42","1,74e-03","1,00","1,00","1,00","-0,25","1,07","-0,05","10,00","19,83","24,56","1,64","198,28"
150,Planar,10,10,INITIAL,"1,13","1,16","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,26","46,17","56,53",,
150,Planar,10,10,1 / 5,"0,86","0,87","4,43e-03","1,00","1,00","1,00","-0,13","0,57","0,03",,"45,90","56,42",,
150,Planar,10,10,2 / 5,"0,87","0,87","4,23e-03","1,00","1,00","1,00","-0,14","0,59","0,03",,"45,91","56,42",,
150,Planar,10,10,3 / 5,"0,87","0,88","4,11e-03","1,00","1,00","1,00","-0,14","0,59","0,03",,"45,91","56,42",,
