Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP-InRays Final (mm),ARAP-InRays Initial (mm),ARAP-TwoPoints Final (mm),ARAP-TwoPoints Initial (mm),ARAP-FarPoints Final (mm),ARAP-FarPoints Initial (mm),Elastic-InRays Final (mm),Elastic-InRays Initial (mm),Elastic-TwoPoints Final (mm),Elastic-TwoPoints Initial (mm),Elastic-FarPoints Final (mm),Elastic-FarPoints Initial (mm),HyperElasticOdgen-InRays Final (mm),HyperElasticOdgen-InRays Initial (mm),HyperElasticOdgen-TwoPoints Final (mm),HyperElasticOdgen-TwoPoints Initial (mm),HyperElasticOdgen-FarPoints Final (mm),HyperElasticOdgen-FarPoints Initial (mm),ARAP_NoGlobal-InRays Final (mm),ARAP_NoGlobal-InRays Initial (mm),ARAP_NoGlobal-TwoPoints Final (mm),ARAP_NoGlobal-TwoPoints Initial (mm),ARAP_NoGlobal-FarPoints Final (mm),ARAP_NoGlobal-FarPoints Initial (mm)
"4,15",Planar,"2,5",0,"3,09","2,83","3,05","3,12","3,30","3,20","3,65","3,49","3,63","3,75","3,86","3,79","4,29","3,49","4,66","3,75","4,51","3,79","3,67","3,49","3,62","3,75","3,98","3,79"
"2,50",Planar,0,"2,5","1,61","1,73","1,68","1,83","1,57","2,04","1,58","1,61","1,71","1,74","1,77","1,87","1,56","1,61","1,58","1,74","1,57","1,87","1,58","1,61","1,57","1,74","1,56","1,87"
"4,73",Planar,"2,5","2,5","2,98","2,85","3,03","3,23","2,90","3,38","3,57","3,38","3,52","3,73","3,65","3,83","5,61","3,38","4,80","3,73","4,93","3,83","3,56","3,38","3,57","3,73","3,42","3,83"
"16,59",Planar,10,0,"10,20","9,80","10,17","11,58","17,31","11,57","29,52","12,87","33,05","14,41","23,59","14,42","57,06","12,87","43,21","14,41","44,87","14,42","14,93","12,87","16,48","14,41","18,96","14,42"
"10,00",Planar,0,10,"4,48","4,96","5,02","6,02","4,20","6,08","4,70","4,73","4,81","5,62","4,80","5,65","4,69","4,73","4,68","5,62","4,53","5,65","4,62","4,73","4,28","5,62","4,73","5,65"
"17,77",Planar,10,10,"10,32","9,88","9,71","11,66","9,48","11,71","21,01","11,52","22,10","13,11","22,61","13,12","37,63","11,52","38,70","13,11","37,10","13,12","13,39","11,52","13,86","13,11","60,11","13,12"
"3,10",Gradual,0,"2,5","1,82","1,82","1,93","2,06","1,32","2,25","1,61","1,66","1,74","1,91","1,74","2,02","1,56","1,66","1,63","1,91","1,55","2,02","1,50","1,66","1,53","1,91","1,45","2,02"
"5,29",Gradual,"2,5","2,5","3,04","3,07","3,27","3,54","3,13","3,64","3,66","3,44","3,64","3,91","3,71","3,95","4,68","3,44","5,22","3,91","4,70","3,95","3,61","3,44","3,60","3,91","3,49","3,95"
"9,97",Gradual,0,10,"4,54","4,50","4,34","5,86","3,74","5,99","4,19","4,22","4,25","5,43","4,14","5,45","3,53","4,22","3,61","5,43","3,77","5,45","3,92","4,22","3,73","5,43","3,73","5,45"
"20,90",Gradual,10,10,"10,57","11,19","10,79","13,71","20,38","13,88","27,04","13,52","36,89","15,74","24,34","15,82","41,91","13,52","46,16","15,74","49,51","15,82","15,23","13,52","15,40","15,74","20,96","15,82"
"4,28",Planar,"2,5",0,"9,39","9,47","9,45","9,46","9,57","10,04","12,35","12,35","12,36","12,36","12,59","12,81","12,34","12,35","12,35","12,36","12,41","12,81","12,25","12,35","12,33","12,36","12,39","12,81"
"2,50",Planar,0,"2,5","6,64","6,75","6,60","6,61","6,57","7,26","7,69","7,82","7,70","7,70","7,84","8,26","7,67","7,82","7,66","7,70","7,70","8,26","7,71","7,82","7,67","7,70","8,07","8,26"
"4,69",Planar,"2,5","2,5","8,20","8,23","8,25","8,28","8,15","8,76","10,20","10,20","10,26","10,26","10,45","10,65","10,19","10,20","10,20","10,26","10,21","10,65","10,39","10,20","10,20","10,26","10,14","10,65"
"15,40",Planar,10,0,"20,17","19,92","20,29","20,67","21,45","21,01","26,82","26,33","26,68","26,99","27,44","27,23","33,33","26,33","31,32","26,99","32,70","27,23","27,08","26,33","26,90","26,99","24,71","27,23"
"10,00",Planar,0,10,"12,79","12,97","12,98","13,23","13,04","13,64","14,66","14,72","14,90","14,98","15,08","15,32","14,63","14,72","14,68","14,98","14,67","15,32","14,53","14,72","14,63","14,98","14,36","15,32"
"17,74",Planar,10,10,"24,23","24,25","24,52","25,04","20,95","25,36","32,64","32,26","32,66","32,90","32,84","33,15","34,85","32,26","33,74","32,90","34,74","33,15","31,76","32,26","32,44","32,90","28,28","33,15"
"21,20",Gradual,0,"2,5","23,09","23,88","23,77","25,22","23,11","25,63","26,79","26,88","27,02","28,17","26,76","28,45","26,69","26,88","26,72","28,17","26,31","28,45","26,49","26,88","26,79","28,17","25,65","28,45"
"23,54",Gradual,"2,5","2,5","24,96","26,75","26,64","28,18","24,70","28,63","30,56","30,57","30,70","31,85","30,59","32,17","30,53","30,57","30,56","31,85","30,11","32,17","30,36","30,57","30,59","31,85","29,24","32,17"
"39,19",Gradual,0,10,"42,86","42,85","42,39","45,22","40,75","45,44","47,26","47,30","47,40","49,55","47,52","49,63","46,70","47,30","46,70","49,55","47,07","49,63","46,82","47,30","47,17","49,55","45,88","49,63"
"51,84",Gradual,10,10,"52,71","52,66","52,11","56,82","47,02","57,06","61,07","60,69","61,23","64,82","63,44","64,64","60,88","60,69","68,29","64,82","63,18","64,64","60,42","60,69","60,88","64,82","60,50","64,64"
"3,98",Planar,"2,5",0,"16,27","16,55","16,31","16,31","16,20","17,40","19,50","19,67","19,43","19,43","19,81","20,45","19,44","19,67","19,43","19,43","19,45","20,45","19,36","19,67","19,43","19,43","18,75","20,45"
"2,50",Planar,0,"2,5","14,65","15,11","14,83","14,84","14,62","15,93","17,73","17,90","17,65","17,65","17,94","18,63","17,63","17,90","17,63","17,65","17,66","18,63","17,64","17,90","17,63","17,65","17,05","18,63"
"4,56",Planar,"2,5","2,5","17,01","17,27","17,08","17,08","17,07","17,94","20,11","20,20","20,03","20,04","20,49","20,78","20,05","20,20","20,03","20,04","20,05","20,78","19,95","20,20","20,02","20,04","19,09","20,78"
"16,23",Planar,10,0,"35,17","34,93","35,37","35,38","35,05","36,11","43,50","43,08","43,49","43,50","44,00","44,13","43,48","43,08","43,49","43,50","43,20","44,13","42,99","43,08","43,48","43,50","43,69","44,13"
