{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","1,02e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,08","3,85",,
20,Planar,"2,5",0,1 / 5,"1,14","1,20","9,53e-03","1,00","1,00","1,00","-0,16","-0,06","-0,23",,"3,56","4,37",,
20,Planar,"2,5",0,2 / 5,"0,99","1,05","1,99e-02","1,00","1,00","1,00","-0,75","-0,16","-1,68",,"4,26","5,45",,
20,Planar,"2,5",0,3 / 5,"1,00","1,00","2,25e-02","1,00","1,00","1,00","-1,88","0,0","-3,21",,"4,47","5,86",,
20,Planar,"2,5",0,4 / 5,"0,98","1,02","2,75e-02","1,00","1,00","1,00","-3,74","0,07","-4,85",,"5,34","7,23",,
20,Planar,"2,5",0,FINAL,"1,03","1,00","3,18e-02","1,00","1,00","1,00","-4,54","-0,21","-5,02","3,95","5,71","7,99","-85,50","144,64"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","6,41e-04","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,51","1,72",,
20,Planar,0,"2,5",1 / 5,"0,42","0,40","1,11e-04","1,00","1,00","1,00","-0,13","1,08","-0,09",,"1,47","1,69",,
20,Planar,0,"2,5",2 / 5,"0,42","0,41","1,00e-04","1,00","1,00","1,00","-0,13","1,21","-0,08",,"1,47","1,69",,
20,Planar,0,"2,5",3 / 5,"0,43","0,41","9,91e-05","1,00","1,00","1,00","-0,13","1,21","-0,07",,"1,47","1,69",,
20,Planar,0,"2,5",4 / 5,"0,43","0,41","9,54e-05","1,00","1,00","1,00","-0,13","1,22","-0,07",,"1,47","1,68",,
20,Planar,0,"2,5",FINAL,"0,43","0,41","9,51e-05","1,00","1,00","1,00","-0,13","1,22","-0,07","2,50","1,47","1,68","2,78","58,89"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","1,03e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,17","3,90",,
20,Planar,"2,5","2,5",1 / 5,"2,40","1,44","4,46e-03","1,00","1,00","1,00","-0,12","0,59","-0,43",,"3,42","4,04",,
20,Planar,"2,5","2,5",2 / 5,"1,35","0,86","2,99e-02","1,00","1,00","1,00","-0,05","0,96","-1,22",,"4,00","4,90",,
20,Planar,"2,5","2,5",3 / 5,"1,41","0,86","4,13e-02","1,00","1,00","1,00","-3,16","2,54","-8,57",,"5,58","7,36",,
20,Planar,"2,5","2,5",4 / 5,"1,32","0,80","4,25e-02","1,00","1,00","1,00","-3,62","2,96","-9,08",,"5,82","7,51",,
20,Planar,"2,5","2,5",FINAL,"1,32","0,79","4,83e-02","1,00","1,00","1,00","-3,69","3,17","-9,68","4,73","6,12","7,90","-93,17","129,54"
20,Planar,10,0,INITIAL,"0,00","0,00","1,58e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,05","12,24","15,41",,
20,Planar,10,0,1 / 5,"4,00","5,75","1,28e-01","1,00","1,00","1,00","-2,24","-1,54","-3,94",,"14,67","18,31",,
20,Planar,10,0,2 / 5,"1,12","1,22","4,04e-01","1,00","1,00","1,00","-7,72","-1,77","-10,55",,"22,70","29,25",,
20,Planar,10,0,3 / 5,"1,04","1,00","6,42e-01","1,00","1,00","1,00","-15,62","-8,56","-20,57",,"30,80","40,33",,
20,Planar,10,0,4 / 5,"1,11","1,01","8,74e-01","1,00","1,00","1,00","-28,3","-4,4","-26,18",,"36,28","47,34",,
20,Planar,10,0,FINAL,"1,14","1,06","9,52e-01","1,00","1,00","1,00","-28,85","-6,08","-28,22","16,05","37,35","48,49","-205,27","232,65"
20,Planar,0,10,INITIAL,"0,00","0,00","1,10e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","4,65","5,39",,
20,Planar,0,10,1 / 5,"0,84","0,81","4,30e-04","1,00","1,00","1,00","-0,58","4,73","-0,29",,"4,60","5,36",,
20,Planar,0,10,2 / 5,"0,84","0,81","4,28e-04","1,00","1,00","1,00","-0,58","4,74","-0,29",,"4,60","5,35",,
20,Planar,0,10,3 / 5,"0,85","0,82","4,14e-04","1,00","1,00","1,00","-0,58","4,78","-0,28",,"4,60","5,35",,
20,Planar,0,10,4 / 5,"0,85","0,82","4,13e-04","1,00","1,00","1,00","-0,58","4,79","-0,28",,"4,60","5,35",,
20,Planar,0,10,FINAL,"0,85","0,82","4,12e-04","1,00","1,00","1,00","-0,58","4,79","-0,28","10,00","4,60","5,35","1,06","46,02"
20,Planar,10,10,INITIAL,"0,00","0,00","1,79e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,14","12,90","16,37",,
20,Planar,10,10,1 / 5,"5,39","5,96","1,35e-01","1,00","1,00","1,00","-2,93","5,32","-5,29",,"14,67","17,91",,
20,Planar,10,10,2 / 5,"1,17","1,38","4,31e-01","1,00","1,00","1,00","-8,71","4,39","-12,61",,"20,49","26,52",,
20,Planar,10,10,3 / 5,"1,40","1,29","7,44e-01","1,00","1,00","1,00","-19,97","1,7","-21,99",,"27,96","36,21",,
20,Planar,10,10,4 / 5,"1,30","1,17","9,22e-01","1,00","1,00","1,00","-24,3","1,8","-26,45",,"31,56","41,01",,
20,Planar,10,10,FINAL,"0,90","0,80","1,55e+00","0,99","1,00","0,99","-36,56","-3,37","-27,61","19,14","36,42","49,70","-182,33","190,28"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,02e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,24","1,73","2,09",,
20,Gradual,0,"2,5",1 / 5,"0,88","0,76","4,32e-04","1,00","1,00","1,00","-0,43","1,78","-0,46",,"1,69","2,02",,
20,Gradual,0,"2,5",2 / 5,"0,98","0,88","3,22e-04","1,00","1,00","1,00","-0,46","1,71","-0,48",,"1,71","2,04",,
20,Gradual,0,"2,5",3 / 5,"0,98","0,88","3,22e-04","1,00","1,00","1,00","-0,46","1,71","-0,48",,"1,71","2,04",,
20,Gradual,0,"2,5",4 / 5,"0,98","0,88","3,21e-04","1,00","1,00","1,00","-0,46","1,71","-0,48",,"1,71","2,04",,
20,Gradual,0,"2,5",FINAL,"0,98","0,88","3,21e-04","1,00","1,00","1,00","-0,46","1,71","-0,48","3,24","1,71","2,04","1,15","52,90"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","8,94e-03","1,00","1,00","1,00","0,0","0,0","0,0","5,36","3,59","4,46",,
20,Gradual,"2,5","2,5",1 / 5,"1,19","0,91","1,75e-02","1,00","1,00","1,00","-1,49","2,93","-4,28",,"4,42","5,43",,
20,Gradual,"2,5","2,5",2 / 5,"1,13","0,89","2,17e-02","1,00","1,00","1,00","-1,47","2,2","-4,78",,"4,69","5,91",,
20,Gradual,"2,5","2,5",3 / 5,"1,14","0,88","2,11e-02","1,00","1,00","1,00","-1,97","2,39","-6,31",,"5,08","6,34",,
20,Gradual,"2,5","2,5",4 / 5,"1,17","0,94","2,01e-02","1,00","1,00","1,00","-2,09","2,49","-6,52",,"5,05","6,33",,
20,Gradual,"2,5","2,5",FINAL,"1,14","0,88","2,16e-02","1,00","1,00","1,00","-3,5","3,03","-7,38","5,36","5,29","6,69","-47,23","98,80"
20,Gradual,0,10,INITIAL,"0,00","0,00","4,56e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,53","4,62","5,46",,
20,Gradual,0,10,1 / 5,"1,09","0,86","5,46e-03","1,00","1,00","1,00","-1,38","6,07","-1,35",,"4,44","5,16",,
20,Gradual,0,10,2 / 5,"1,03","0,92","5,99e-03","1,00","1,00","1,00","-2,07","5,85","-2,36",,"4,22","4,88",,
20,Gradual,0,10,3 / 5,"1,02","0,92","5,94e-03","1,00","1,00","1,00","-2,08","5,92","-2,31",,"4,19","4,85",,
20,Gradual,0,10,4 / 5,"1,03","0,93","5,94e-03","1,00","1,00","1,00","-2,15","5,96","-2,37",,"4,18","4,84",,
20,Gradual,0,10,FINAL,"1,04","0,93","5,94e-03","1,00","1,00","1,00","-2,15","5,96","-2,37","10,53","4,18","4,84","9,66","39,66"
20,Gradual,10,10,INITIAL,"0,00","0,00","1,62e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,45","12,55","15,79",,
20,Gradual,10,10,1 / 5,"7,51","5,53","7,25e-02","1,00","1,00","1,00","-2,35","7,48","-3,7",,"14,23","17,31",,
20,Gradual,10,10,2 / 5,"1,09","0,94","5,38e-01","1,00","1,00","1,00","-12,58","7,24","-14,11",,"25,58","31,76",,
20,Gradual,10,10,3 / 5,"1,29","1,21","7,57e-01","1,00","1,00","1,00","-18,3","5,8","-17,99",,"31,06","38,54",,
20,Gradual,10,10,4 / 5,"0,94","0,74","1,05e+00","1,00","1,00","1,00","-26,0","7,03","-22,49",,"35,09","43,34",,
20,Gradual,10,10,FINAL,"0,63","0,52","1,62e+00","0,96","1,00","0,96","-74,44","14,65","-43,63","19,45","48,84","58,58","-289,32","251,16"
80,Planar,"2,5",0,INITIAL,"0,00","0,00","2,00e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,78","10,86","13,40",,
80,Planar,"2,5",0,1 / 5,"0,56","0,52","7,76e-04","1,00","1,00","1,00","-0,04","0,06","-0,12",,"10,85","13,39",,
80,Planar,"2,5",0,2 / 5,"0,56","0,53","2,01e-04","1,00","1,00","1,00","0,01","-0,01","-0,08",,"10,84","13,39",,
80,Planar,"2,5",0,3 / 5,"0,56","0,53","1,98e-04","1,00","1,00","1,00","0,02","-0,01","-0,08",,"10,84","13,39",,
80,Planar,"2,5",0,4 / 5,"0,56","0,53","1,94e-04","1,00","1,00","1,00","0,02","-0,01","-0,08",,"10,84","13,39",,
80,Planar,"2,5",0,FINAL,"0,56","0,53","1,17e-04","1,00","1,00","1,00","0,02","-0,04","-0,08","3,78","10,85","13,39","0,12","286,68"
80,Planar,0,"2,5",INITIAL,"0,00","0,00","1,08e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,71","9,34",,
80,Planar,0,"2,5",1 / 5,"0,40","0,37","6,96e-04","1,00","1,00","1,00","-0,36","0,47","-0,14",,"7,58","9,24",,
80,Planar,0,"2,5",2 / 5,"0,40","0,37","5,99e-04","1,00","1,00","1,00","-0,38","0,43","-0,12",,"7,58","9,24",,
80,Planar,0,"2,5",3 / 5,"0,41","0,37","5,93e-04","1,00","1,00","1,00","-0,38","0,43","-0,12",,"7,58","9,24",,
80,Planar,0,"2,5",4 / 5,"0,42","0,38","2,41e-04","1,00","1,00","1,00","-0,5","0,21","-0,15",,"7,57","9,23",,
80,Planar,0,"2,5",FINAL,"0,42","0,38","2,39e-04","1,00","1,00","1,00","-0,5","0,21","-0,15","2,50","7,57","9,23","1,85","302,81"
80,Planar,"2,5","2,5",INITIAL,"0,00","0,00","1,33e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,70","10,88","13,70",,
80,Planar,"2,5","2,5",1 / 5,"0,44","0,43","1,66e-03","1,00","1,00","1,00","-0,22","0,69","-0,06",,"10,83","13,68",,
80,Planar,"2,5","2,5",2 / 5,"0,44","0,44","1,55e-03","1,00","1,00","1,00","-0,26","0,63","-0,06",,"10,83","13,68",,
80,Planar,"2,5","2,5",3 / 5,"0,44","0,44","1,52e-03","1,00","1,00","1,00","-0,26","0,64","-0,07",,"10,83","13,68",,
80,Planar,"2,5","2,5",4 / 5,"0,45","0,46","1,23e-03","1,00","1,00","1,00","-0,28","0,62","-0,07",,"10,83","13,68",,
80,Planar,"2,5","2,5",FINAL,"0,45","0,46","1,21e-03","1,00","1,00","1,00","-0,28","0,61","-0,07","4,70","10,83","13,68","0,51","230,25"
80,Planar,10,0,INITIAL,"0,00","0,00","1,76e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,37","26,01","32,76",,
80,Planar,10,0,1 / 5,"1,44","1,42","5,27e-02","1,00","1,00","1,00","-0,38","-0,72","-0,7",,"27,13","33,62",,
80,Planar,10,0,2 / 5,"1,15","1,17","1,10e-01","1,00","1,00","1,00","0,72","-2,37","-3,85",,"30,45","37,67",,
80,Planar,10,0,3 / 5,"0,93","0,98","1,63e-01","1,00","1,00","1,00","-1,69","0,47","-5,37",,"32,68","40,47",,
80,Planar,10,0,4 / 5,"0,90","0,93","1,88e-01","1,00","1,00","1,00","-16,13","1,2","-8,15",,"37,21","46,23",,
80,Planar,10,0,FINAL,"0,92","0,97","2,17e-01","1,00","1,00","1,00","-31,34","-1,89","-10,86","16,37","41,03","51,77","-57,77","250,63"
80,Planar,0,10,INITIAL,"0,00","0,00","1,20e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,21","16,85",,
80,Planar,0,10,1 / 5,"0,41","0,38","1,51e-03","1,00","1,00","1,00","-0,28","2,87","-0,2",,"14,13","16,79",,
80,Planar,0,10,2 / 5,"0,44","0,43","4,35e-04","1,00","1,00","1,00","-0,47","2,48","-0,12",,"14,11","16,78",,
80,Planar,0,10,3 / 5,"0,44","0,44","2,66e-04","1,00","1,00","1,00","-0,5","2,34","-0,17",,"14,11","16,78",,
80,Planar,0,10,4 / 5,"0,44","0,44","2,66e-04","1,00","1,00","1,00","-0,5","2,34","-0,18",,"14,11","16,78",,
80,Planar,0,10,FINAL,"0,44","0,44","2,66e-04","1,00","1,00","1,00","-0,5","2,33","-0,18","10,00","14,11","16,78","0,71","141,12"
80,Planar,10,10,INITIAL,"0,00","0,00","1,71e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,06","37,62","46,90",,
80,Planar,10,10,1 / 5,"1,16","1,26","6,14e-02","1,00","1,00","1,00","-1,18","5,71","-1,27",,"38,25","47,49",,
80,Planar,10,10,2 / 5,"0,98","1,01","1,01e-01","1,00","1,00","1,00","-1,98","8,42","-2,72",,"38,44","48,13",,
80,Planar,10,10,3 / 5,"1,03","1,07","9,82e-02","1,00","1,00","1,00","-1,0","10,07","-3,01",,"38,72","48,53",,
80,Planar,10,10,4 / 5,"0,91","0,93","1,30e-01","1,00","1,00","1,00","-7,63","25,97","-9,1",,"40,61","51,54",,
80,Planar,10,10,FINAL,"0,97","1,03","1,37e-01","1,00","1,00","1,00","-12,19","29,47","-11,71","20,06","42,30","53,37","-12,44","210,89"
80,Gradual,0,"2,5",INITIAL,"0,00","0,00","3,23e-02","1,00","1,00","1,00","0,0","0,0","0,0","23,44","29,70","41,77",,
80,Gradual,0,"2,5",1 / 5,"1,02","0,97","1,87e-02","1,00","1,00","1,00","-4,63","-0,81","-3,74",,"29,62","41,60",,
80,Gradual,0,"2,5",2 / 5,"0,96","0,92","1,83e-02","1,00","1,00","1,00","-5,11","-1,35","-3,79",,"29,56","41,56",,
80,Gradual,0,"2,5",3 / 5,"0,97","0,93","1,82e-02","1,00","1,00","1,00","-5,36","-1,56","-3,87",,"29,55","41,54",,
80,Gradual,0,"2,5",4 / 5,"0,94","0,91","1,83e-02","1,00","1,00","1,00","-5,68","-1,82","-3,99",,"29,52","41,52",,
80,Gradual,0,"2,5",FINAL,"0,93","0,91","1,84e-02","1,00","1,00","1,00","-5,89","-1,98","-4,06","23,44","29,51","41,50","0,63","125,90"
80,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","3,81e-02","1,00","1,00","1,00","0,0","0,0","0,0","24,95","33,00","44,31",,
80,Gradual,"2,5","2,5",1 / 5,"1,01","0,99","1,74e-02","1,00","1,00","1,00","-3,6","-1,61","-3,53",,"32,94","44,19",,
80,Gradual,"2,5","2,5",2 / 5,"1,08","1,08","1,67e-02","1,00","1,00","1,00","-4,18","-2,33","-3,6",,"32,93","44,16",,
80,Gradual,"2,5","2,5",3 / 5,"0,91","0,90","1,88e-02","1,00","1,00","1,00","-4,72","-2,73","-4,03",,"32,87","44,10",,
80,Gradual,"2,5","2,5",4 / 5,"0,93","0,92","1,92e-02","1,00","1,00","1,00","-4,92","-2,98","-4,09",,"32,87","44,08",,
80,Gradual,"2,5","2,5",FINAL,"0,99","0,98","1,83e-02","1,00","1,00","1,00","-5,3","-3,38","-4,12","24,95","32,86","44,06","0,42","131,69"
80,Gradual,0,10,INITIAL,"0,00","0,00","1,31e-01","1,00","1,00","1,00","0,0","0,0","0,0","46,08","51,90","73,84",,
80,Gradual,0,10,1 / 5,"2,46","2,30","6,47e-02","1,00","1,00","1,00","-10,4","2,4","-8,26",,"52,40","73,85",,
80,Gradual,0,10,2 / 5,"2,71","2,56","5,97e-02","1,00","1,00","1,00","-12,1","1,06","-6,96",,"52,47","73,85",,
80,Gradual,0,10,3 / 5,"2,93","2,78","5,53e-02","1,00","1,00","1,00","-13,28","0,08","-6,75",,"52,53","73,85",,
80,Gradual,0,10,4 / 5,"3,53","3,40","4,30e-02","1,00","1,00","1,00","-18,1","-1,9","-6,85",,"52,56","73,63",,
80,Gradual,0,10,FINAL,"3,60","3,47","4,18e-02","1,00","1,00","1,00","-18,35","-1,9","-6,86","46,08","52,57","73,61","-1,31","114,10"
80,Gradual,10,10,INITIAL,"0,00","0,00","2,37e-01","1,00","1,00","1,00","0,0","0,0","0,0","47,29","59,09","79,36",,
80,Gradual,10,10,1 / 5,"1,59","1,60","1,18e-01","1,00","1,00","1,00","-16,15","-9,11","-9,62",,"59,35","79,38",,
80,Gradual,10,10,2 / 5,"1,64","1,66","1,12e-01","1,00","0,99","1,00","-25,78","-14,97","-12,33",,"59,00","78,99",,
80,Gradual,10,10,3 / 5,"1,68","1,70","1,09e-01","0,99","0,99","1,00","-32,64","-18,23","-14,03",,"58,79","78,72",,
80,Gradual,10,10,4 / 5,"0,99","0,99","1,88e-01","0,99","0,99","1,00","-36,3","-20,04","-16,3",,"58,60","78,67",,
80,Gradual,10,10,FINAL,"0,99","0,97","1,93e-01","0,99","0,99","1,00","-51,34","-28,16","-21,95","47,29","58,56","78,82","0,90","123,82"
150,Planar,"2,5",0,INITIAL,"0,00","0,00","4,32e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,06","18,35","21,99",,
150,Planar,"2,5",0,1 / 5,"0,43","0,44","4,03e-03","1,00","1,00","1,00","0,63","0,27","0,05",,"18,19","21,89",,
150,Planar,"2,5",0,2 / 5,"0,45","0,45","2,37e-03","1,00","1,00","1,00","1,03","0,46","0,11",,"18,18","21,88",,
150,Planar,"2,5",0,3 / 5,"0,47","0,47","1,28e-03","1,00","1,00","1,00","0,91","0,28","0,06",,"18,18","21,88",,
150,Planar,"2,5",0,4 / 5,"0,47","0,47","1,23e-03","1,00","1,00","1,00","0,91","0,27","0,05",,"18,18","21,88",,
150,Planar,"2,5",0,FINAL,"0,47","0,48","1,20e-03","1,00","1,00","1,00","0,91","0,27","0,05","4,06","18,18","21,88","0,94","448,06"
150,Planar,0,"2,5",INITIAL,"0,00","0,00","3,91e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","18,26","22,23",,
150,Planar,0,"2,5",1 / 5,"0,41","0,40","1,54e-03","1,00","1,00","1,00","0,41","-0,44","-0,09",,"18,01","22,08",,
150,Planar,0,"2,5",2 / 5,"0,42","0,41","1,11e-03","1,00","1,00","1,00","0,4","-0,54","-0,08",,"18,01","22,08",,
150,Planar,0,"2,5",3 / 5,"0,43","0,41","8,37e-04","1,00","1,00","1,00","0,42","-0,58","-0,08",,"18,00","22,08",,
150,Planar,0,"2,5",4 / 5,"0,43","0,42","7,42e-04","1,00","1,00","1,00","0,43","-0,59","-0,08",,"18,00","22,08",,
150,Planar,0,"2,5",FINAL,"0,46","0,44","1,22e-04","1,00","1,00","1,00","0,58","-0,71","-0,08","2,50","18,00","22,07","1,42","719,89"
150,Planar,"2,5","2,5",INITIAL,"0,00","0,00","5,13e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,55","20,41","24,50",,
150,Planar,"2,5","2,5",1 / 5,"0,48","0,48","1,31e-03","1,00","1,00","1,00","-1,3","1,26","-0,02",,"20,19","24,40",,
150,Planar,"2,5","2,5",2 / 5,"0,48","0,48","1,09e-03","1,00","1,00","1,00","-1,31","1,32","-0,03",,"20,19","24,40",,
150,Planar,"2,5","2,5",3 / 5,"0,48","0,48","9,77e-04","1,00","1,00","1,00","-1,32","1,33","-0,03",,"20,19","24,40",,
150,Planar,"2,5","2,5",4 / 5,"0,50","0,50","3,66e-04","1,00","1,00","1,00","-1,34","1,51","-0,02",,"20,19","24,40",,
150,Planar,"2,5","2,5",FINAL,"0,50","0,50","3,24e-04","1,00","1,00","1,00","-1,35","1,5","-0,02","4,55","20,19","24,40","1,08","444,22"
150,Planar,10,0,INITIAL,"0,00","0,00","1,48e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,37","42,05","52,18",,
150,Planar,10,0,1 / 5,"0,94","0,91","2,00e-03","1,00","1,00","1,00","1,44","-2,61","0,06",,"42,34","52,36",,
150,Planar,10,0,2 / 5,"0,95","0,95","5,84e-04","1,00","1,00","1,00","2,24","-3,9","-0,56",,"42,36","52,37",,
150,Planar,10,0,3 / 5,"0,96","0,96","4,64e-04","1,00","1,00","1,00","2,22","-3,94","-0,56",,"42,36","52,37",,
150,Planar,10,0,4 / 5,"0,97","0,96","3,85e-04","1,00","1,00","1,00","2,21","-3,95","-0,56",,"42,36","52,38",,
150,Planar,10,0,FINAL,"0,97","0,96","3,34e-04","1,00","1,00","1,00","2,21","-3,97","-0,56","15,37","42,37","52,38","-0,76","275,60"
150,Planar,0,10,INITIAL,"0,00","0,00","3,56e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","20,80","25,26",,
150,Planar,0,10,1 / 5,"0,38","0,40","3,68e-03","1,00","1,00","1,00","-1,07","1,44","-0,17",,"20,61","25,15",,
150,Planar,0,10,2 / 5,"0,41","0,42","2,30e-03","1,00","1,00","1,00","-0,96","1,32","-0,19",,"20,61","25,14",,
150,Planar,0,10,3 / 5,"0,42","0,43","1,48e-03","1,00","1,00","1,00","-0,94","1,17","-0,19",,"20,60","25,13",,
150,Planar,0,10,4 / 5,"0,43","0,44","1,08e-03","1,00","1,00","1,00","-0,91","1,08","-0,19",,"20,60","25,13",,
150,Planar,0,10,FINAL,"0,44","0,45","8,72e-04","1,00","1,00","1,00","-0,89","1,03","-0,19","10,00","20,60","25,13","0,95","205,97"
150,Planar,10,10,INITIAL,"0,00","0,00","1,45e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,26","45,62","56,31",,
150,Planar,10,10,1 / 5,"0,89","0,88","7,50e-03","1,00","1,00","1,00","-1,53","4,5","0,0",,"45,94","56,50",,
150,Planar,10,10,2 / 5,"0,86","0,85","9,03e-03","1,00","1,00","1,00","-5,91","13,35","0,06",,"45,90","56,52",,
150,Planar,10,10,3 / 5,"0,86","0,86","7,41e-03","1,00","1,00","1,00","-7,58","16,78","-0,11",,"45,95","56,56",,
