{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,70","1,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,37","4,06",,
20,Planar,"2,5",0,1 / 5,"1,06","1,09","1,11e-02","1,00","1,00","1,00","-0,09","-0,02","-0,2",,"3,64","4,46",,
20,Planar,"2,5",0,2 / 5,"0,94","0,96","3,60e-02","1,00","1,00","1,00","-4,26","-0,45","-5,08",,"6,40","9,29",,
20,Planar,"2,5",0,3 / 5,"0,98","0,98","5,19e-02","1,00","1,00","1,00","-7,1","0,92","-6,1",,"6,95","10,45",,
20,Planar,"2,5",0,4 / 5,"1,02","0,99","5,18e-02","1,00","1,00","1,00","-6,72","-0,71","-6,31",,"7,05","10,55",,
20,Planar,"2,5",0,FINAL,"1,03","1,00","5,15e-02","1,00","1,00","1,00","-6,97","-0,76","-6,5","3,95","7,03","10,46","-108,50","178,10"
20,Planar,0,"2,5",INITIAL,"0,94","0,92","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,64","1,82",,
20,Planar,0,"2,5",1 / 5,"0,36","0,35","2,07e-04","1,00","1,00","1,00","-0,11","1,05","-0,07",,"1,48","1,69",,
20,Planar,0,"2,5",2 / 5,"0,39","0,37","1,85e-04","1,00","1,00","1,00","-0,13","1,1","-0,09",,"1,48","1,69",,
20,Planar,0,"2,5",3 / 5,"0,39","0,38","1,53e-04","1,00","1,00","1,00","-0,14","1,13","-0,09",,"1,47","1,68",,
20,Planar,0,"2,5",4 / 5,"0,40","0,39","1,47e-04","1,00","1,00","1,00","-0,15","1,15","-0,1",,"1,47","1,68",,
20,Planar,0,"2,5",FINAL,"0,40","0,39","1,46e-04","1,00","1,00","1,00","-0,15","1,15","-0,1","2,50","1,47","1,68","10,58","58,76"
20,Planar,"2,5","2,5",INITIAL,"2,21","4,74","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,49","4,12",,
20,Planar,"2,5","2,5",1 / 5,"1,99","1,22","1,10e-02","1,00","1,00","1,00","0,02","0,49","-0,16",,"3,50","4,13",,
20,Planar,"2,5","2,5",2 / 5,"1,25","0,76","3,64e-02","1,00","1,00","1,00","-2,11","2,55","-5,38",,"4,37","5,58",,
20,Planar,"2,5","2,5",3 / 5,"1,40","0,86","4,09e-02","1,00","1,00","1,00","-1,82","2,47","-5,84",,"4,68","6,11",,
20,Planar,"2,5","2,5",4 / 5,"1,23","0,74","4,95e-02","1,00","1,00","1,00","-2,13","4,93","-6,76",,"5,55","7,30",,
20,Planar,"2,5","2,5",FINAL,"1,28","0,76","6,44e-02","1,00","1,00","1,00","-2,59","5,12","-10,41","4,73","6,80","9,01","-95,00","144,01"
20,Planar,10,0,INITIAL,"7,13","6,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","13,77","16,32",,
20,Planar,10,0,1 / 5,"4,67","4,96","4,98e-02","1,00","1,00","1,00","-0,58","-1,32","-0,59",,"13,50","16,41",,
20,Planar,10,0,2 / 5,"0,81","1,00","4,98e-01","1,00","1,00","1,00","-13,36","-5,45","-8,75",,"26,20","33,48",,
20,Planar,10,0,3 / 5,"0,76","0,88","9,66e-01","1,00","1,00","1,00","-29,2","-9,2","-14,55",,"38,01","47,96",,
20,Planar,10,0,4 / 5,"0,76","0,81","1,02e+00","0,99","1,00","0,99","-34,04","-6,91","-15,35",,"39,65","50,10",,
20,Planar,10,0,FINAL,"1,24","1,42","1,05e+00","0,99","1,00","0,99","-36,2","-7,33","-15,56","16,05","39,89","50,56","-189,61","248,46"
20,Planar,0,10,INITIAL,"3,49","3,41","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,57","6,02",,
20,Planar,0,10,1 / 5,"0,76","0,70","5,27e-04","1,00","1,00","1,00","-0,41","3,91","-0,2",,"4,61","5,34",,
20,Planar,0,10,2 / 5,"0,67","0,59","6,68e-04","1,00","1,00","1,00","-0,53","4,39","-0,31",,"4,56","5,30",,
20,Planar,0,10,3 / 5,"0,65","0,55","8,16e-04","1,00","1,00","1,00","-0,61","4,64","-0,47",,"4,49","5,25",,
20,Planar,0,10,4 / 5,"0,67","0,58","8,00e-04","1,00","1,00","1,00","-0,63","4,63","-0,49",,"4,49","5,25",,
20,Planar,0,10,FINAL,"0,70","0,63","7,43e-04","1,00","1,00","1,00","-0,68","4,63","-0,52","10,00","4,48","5,24","19,48","44,85"
20,Planar,10,10,INITIAL,"8,23","8,13","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","14,59","17,47",,
20,Planar,10,10,1 / 5,"4,17","4,66","1,40e-01","1,00","1,00","1,00","-1,97","3,75","-3,03",,"14,73","17,98",,
20,Planar,10,10,2 / 5,"1,15","1,22","5,98e-01","1,00","1,00","1,00","-16,4","-0,18","-15,08",,"25,64","32,93",,
20,Planar,10,10,3 / 5,"1,01","1,05","1,06e+00","1,00","1,00","1,00","-27,32","-3,46","-29,05",,"33,89","44,08",,
20,Planar,10,10,4 / 5,"1,01","0,98","2,03e+00","0,97","1,00","0,97","-62,25","-3,48","-41,6",,"43,28","58,43",,
20,Planar,10,10,FINAL,"0,75","0,67","2,50e+00","0,96","1,00","0,96","-66,86","-5,73","-44,17","19,14","45,01","61,73","-208,59","235,14"
20,Gradual,0,"2,5",INITIAL,"1,66","1,59","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,03","2,45",,
20,Gradual,0,"2,5",1 / 5,"0,96","1,06","1,34e-04","1,00","1,00","1,00","-0,19","0,86","-0,23",,"1,79","2,16",,
20,Gradual,0,"2,5",2 / 5,"0,81","0,87","2,96e-04","1,00","1,00","1,00","-0,39","1,25","-0,45",,"1,69","2,03",,
20,Gradual,0,"2,5",3 / 5,"0,81","0,87","2,95e-04","1,00","1,00","1,00","-0,39","1,26","-0,45",,"1,69","2,03",,
20,Gradual,0,"2,5",4 / 5,"0,81","0,87","2,95e-04","1,00","1,00","1,00","-0,39","1,26","-0,45",,"1,69","2,03",,
20,Gradual,0,"2,5",FINAL,"0,82","0,87","2,95e-04","1,00","1,00","1,00","-0,39","1,26","-0,45","3,24","1,69","2,03","16,73","52,19"
20,Gradual,"2,5","2,5",INITIAL,"2,21","2,30","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,36","4,03","4,75",,
20,Gradual,"2,5","2,5",1 / 5,"1,28","0,98","1,08e-02","1,00","1,00","1,00","-0,24","1,53","-0,66",,"3,87","4,71",,
20,Gradual,"2,5","2,5",2 / 5,"1,10","0,87","2,11e-02","1,00","1,00","1,00","-1,53","1,88","-3,6",,"4,57","5,74",,
20,Gradual,"2,5","2,5",3 / 5,"1,11","0,86","2,10e-02","1,00","1,00","1,00","-2,01","2,49","-6,0",,"4,85","6,17",,
20,Gradual,"2,5","2,5",4 / 5,"1,14","0,90","2,02e-02","1,00","1,00","1,00","-2,16","2,51","-6,28",,"4,92","6,26",,
20,Gradual,"2,5","2,5",FINAL,"1,16","0,91","1,98e-02","1,00","1,00","1,00","-2,26","2,63","-6,47","5,36","4,94","6,30","-22,42","92,17"
20,Gradual,0,10,INITIAL,"5,37","5,03","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,53","5,82","6,85",,
20,Gradual,0,10,1 / 5,"0,97","0,92","4,94e-03","1,00","1,00","1,00","-1,32","5,78","-1,4",,"4,36","5,07",,
20,Gradual,0,10,2 / 5,"1,04","0,95","5,15e-03","1,00","1,00","1,00","-1,49","5,9","-1,6",,"4,34","5,04",,
20,Gradual,0,10,3 / 5,"1,04","0,95","5,20e-03","1,00","1,00","1,00","-1,54","5,93","-1,65",,"4,33","5,03",,
20,Gradual,0,10,4 / 5,"1,08","0,98","5,27e-03","1,00","1,00","1,00","-1,63","5,98","-1,76",,"4,32","5,01",,
20,Gradual,0,10,FINAL,"1,05","0,96","5,31e-03","1,00","1,00","1,00","-1,65","5,98","-1,79","10,53","4,32","5,01","25,78","40,99"
20,Gradual,10,10,INITIAL,"9,92","10,02","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","14,68","17,26",,
20,Gradual,10,10,1 / 5,"5,94","4,34","1,08e-01","1,00","1,00","1,00","-2,7","7,94","-3,54",,"14,42","17,61",,
20,Gradual,10,10,2 / 5,"0,93","0,75","8,26e-01","1,00","1,00","1,00","-22,31","6,55","-24,29",,"32,51","40,11",,
20,Gradual,10,10,3 / 5,"1,04","0,83","1,18e+00","1,00","1,00","1,00","-34,34","6,7","-31,84",,"39,71","48,28",,
20,Gradual,10,10,4 / 5,"0,78","0,64","1,38e+00","0,99","1,00","0,99","-47,79","7,51","-35,41",,"43,56","52,53",,
20,Gradual,10,10,FINAL,"0,57","0,46","1,68e+00","0,97","1,00","0,97","-72,3","10,0","-42,52","19,45","47,09","57,31","-220,74","242,18"
80,Planar,"2,5",0,INITIAL,"0,56","0,55","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,78","10,83","13,38",,
80,Planar,"2,5",0,1 / 5,"0,53","0,54","5,57e-05","1,00","1,00","1,00","-0,01","0,04","-0,03",,"10,82","13,38",,
80,Planar,"2,5",0,2 / 5,"0,54","0,54","4,44e-05","1,00","1,00","1,00","-0,0","0,04","-0,03",,"10,82","13,38",,
80,Planar,"2,5",0,3 / 5,"0,54","0,54","4,26e-05","1,00","1,00","1,00","-0,0","0,04","-0,03",,"10,82","13,38",,
80,Planar,"2,5",0,4 / 5,"0,54","0,54","3,95e-05","1,00","1,00","1,00","-0,0","0,03","-0,03",,"10,82","13,38",,
80,Planar,"2,5",0,FINAL,"0,54","0,54","3,81e-05","1,00","1,00","1,00","-0,0","0,03","-0,03","3,78","10,82","13,38","0,03","286,10"
80,Planar,0,"2,5",INITIAL,"0,46","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","7,61","9,27",,
80,Planar,0,"2,5",1 / 5,"0,43","0,42","8,77e-05","1,00","1,00","1,00","-0,05","0,18","-0,03",,"7,59","9,26",,
80,Planar,0,"2,5",2 / 5,"0,43","0,42","8,08e-05","1,00","1,00","1,00","-0,07","0,19","-0,03",,"7,59","9,26",,
80,Planar,0,"2,5",3 / 5,"0,43","0,40","9,27e-05","1,00","1,00","1,00","-0,15","0,22","-0,05",,"7,58","9,25",,
80,Planar,0,"2,5",4 / 5,"0,43","0,40","9,08e-05","1,00","1,00","1,00","-0,16","0,23","-0,04",,"7,58","9,25",,
80,Planar,0,"2,5",FINAL,"0,43","0,40","8,91e-05","1,00","1,00","1,00","-0,16","0,23","-0,04","2,50","7,58","9,25","0,37","303,27"
80,Planar,"2,5","2,5",INITIAL,"0,52","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,70","10,89","13,70",,
80,Planar,"2,5","2,5",1 / 5,"0,44","0,46","6,05e-04","1,00","1,00","1,00","-0,06","0,41","-0,03",,"10,85","13,68",,
80,Planar,"2,5","2,5",2 / 5,"0,45","0,47","4,42e-04","1,00","1,00","1,00","-0,11","0,45","-0,05",,"10,85","13,68",,
80,Planar,"2,5","2,5",3 / 5,"0,45","0,47","4,27e-04","1,00","1,00","1,00","-0,12","0,45","-0,05",,"10,85","13,68",,
80,Planar,"2,5","2,5",4 / 5,"0,45","0,48","4,23e-04","1,00","1,00","1,00","-0,12","0,45","-0,05",,"10,85","13,68",,
80,Planar,"2,5","2,5",FINAL,"0,46","0,49","1,44e-04","1,00","1,00","1,00","-0,27","0,45","-0,06","4,70","10,84","13,68","0,39","230,63"
80,Planar,10,0,INITIAL,"1,71","1,72","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,37","26,89","33,20",,
80,Planar,10,0,1 / 5,"1,43","1,40","4,62e-02","1,00","1,00","1,00","-0,06","-0,55","-0,27",,"26,85","33,36",,
80,Planar,10,0,2 / 5,"1,02","1,05","1,29e-01","1,00","1,00","1,00","0,08","0,83","-3,07",,"29,94","37,23",,
80,Planar,10,0,3 / 5,"0,94","0,96","1,65e-01","1,00","1,00","1,00","-6,34","4,73","-6,25",,"33,56","41,88",,
80,Planar,10,0,4 / 5,"0,96","1,03","1,76e-01","1,00","1,00","1,00","-20,38","1,11","-7,89",,"36,65","46,09",,
80,Planar,10,0,FINAL,"0,98","1,01","1,83e-01","1,00","1,00","1,00","-24,17","7,01","-9,81","16,37","38,81","49,03","-44,34","237,05"
80,Planar,0,10,INITIAL,"0,89","0,90","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","14,51","17,01",,
80,Planar,0,10,1 / 5,"0,40","0,40","1,97e-03","1,00","1,00","1,00","-0,49","2,02","-0,2",,"14,15","16,81",,
80,Planar,0,10,2 / 5,"0,37","0,37","4,28e-03","1,00","1,00","1,00","-0,3","3,3","-0,51",,"14,12","16,75",,
80,Planar,0,10,3 / 5,"0,37","0,37","3,95e-03","1,00","1,00","1,00","-0,35","3,27","-0,55",,"14,12","16,74",,
80,Planar,0,10,4 / 5,"0,37","0,37","3,92e-03","1,00","1,00","1,00","-0,35","3,27","-0,54",,"14,12","16,74",,
80,Planar,0,10,FINAL,"0,39","0,39","2,19e-03","1,00","1,00","1,00","-0,39","2,84","-0,61","10,00","14,10","16,73","2,85","141,01"
80,Planar,10,10,INITIAL,"1,99","2,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","20,06","38,52","47,29",,
80,Planar,10,10,1 / 5,"1,22","1,25","5,70e-02","1,00","1,00","1,00","-1,33","4,99","-0,88",,"38,08","47,29",,
80,Planar,10,10,2 / 5,"1,12","1,15","8,05e-02","1,00","1,00","1,00","-0,64","10,57","-2,93",,"38,34","48,11",,
80,Planar,10,10,3 / 5,"0,94","0,99","1,17e-01","1,00","1,00","1,00","-1,46","12,37","-5,05",,"38,98","49,20",,
80,Planar,10,10,4 / 5,"0,90","0,95","1,32e-01","1,00","1,00","1,00","-9,91","20,77","-8,22",,"40,46","51,34",,
80,Planar,10,10,FINAL,"0,98","1,03","1,32e-01","1,00","1,00","1,00","-18,39","23,51","-10,05","20,06","41,29","52,78","-7,19","205,87"
80,Gradual,0,"2,5",INITIAL,"2,42","2,28","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","23,44","30,99","42,49",,
80,Gradual,0,"2,5",1 / 5,"0,99","1,07","1,04e-02","1,00","1,00","1,00","-1,75","1,54","-2,64",,"29,83","41,78",,
80,Gradual,0,"2,5",2 / 5,"0,91","0,98","1,33e-02","1,00","1,00","1,00","-2,62","0,94","-3,04",,"29,72","41,69",,
80,Gradual,0,"2,5",3 / 5,"0,93","0,99","1,38e-02","1,00","1,00","1,00","-3,16","0,44","-3,22",,"29,69","41,66",,
80,Gradual,0,"2,5",4 / 5,"0,94","1,01","1,41e-02","1,00","1,00","1,00","-3,52","0,1","-3,28",,"29,67","41,64",,
80,Gradual,0,"2,5",FINAL,"0,93","0,99","1,46e-02","1,00","1,00","1,00","-3,89","-0,18","-3,42","23,44","29,64","41,61","4,38","126,45"
80,Gradual,"2,5","2,5",INITIAL,"2,51","2,79","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","24,95","34,36","45,12",,
80,Gradual,"2,5","2,5",1 / 5,"0,96","1,03","1,45e-02","1,00","1,00","1,00","-1,91","0,87","-2,99",,"33,09","44,32",,
80,Gradual,"2,5","2,5",2 / 5,"1,07","1,14","1,32e-02","1,00","1,00","1,00","-2,55","-0,21","-2,93",,"33,07","44,29",,
80,Gradual,"2,5","2,5",3 / 5,"0,94","0,98","1,62e-02","1,00","1,00","1,00","-3,2","-0,73","-3,35",,"32,99","44,23",,
80,Gradual,"2,5","2,5",4 / 5,"1,00","1,04","1,56e-02","1,00","1,00","1,00","-3,59","-1,26","-3,41",,"32,98","44,21",,
80,Gradual,"2,5","2,5",FINAL,"0,97","1,00","1,66e-02","1,00","1,00","1,00","-3,93","-1,58","-3,54","24,95","32,96","44,18","4,08","132,08"
80,Gradual,0,10,INITIAL,"5,95","5,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","46,08","55,75","76,19",,
80,Gradual,0,10,1 / 5,"2,01","2,45","5,01e-02","1,00","1,00","1,00","-5,91","3,5","-6,53",,"52,54","74,02",,
80,Gradual,0,10,2 / 5,"1,98","2,45","5,57e-02","1,00","1,00","1,00","-8,6","1,68","-7,19",,"52,39","73,86",,
80,Gradual,0,10,3 / 5,"1,89","2,32","6,72e-02","1,00","1,00","1,00","-15,45","-2,41","-9,02",,"51,99","73,46",,
80,Gradual,0,10,4 / 5,"1,54","1,68","9,76e-02","0,99","0,99","1,00","-29,66","-7,6","-13,78",,"51,12","72,58",,
80,Gradual,0,10,FINAL,"1,85","1,98","8,80e-02","0,99","0,99","1,00","-35,76","-9,24","-14,47","46,08","51,02","72,31","8,49","110,73"
80,Gradual,10,10,INITIAL,"5,26","4,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","47,29","62,38","81,17",,
80,Gradual,10,10,1 / 5,"2,03","2,30","5,70e-02","1,00","1,00","1,00","-3,81","2,9","-5,14",,"59,94","79,72",,
80,Gradual,10,10,2 / 5,"0,99","1,00","1,76e-01","1,00","1,00","1,00","-11,72","-3,81","-9,76",,"59,44","79,52",,
80,Gradual,10,10,3 / 5,"0,96","0,98","1,85e-01","1,00","0,99","1,00","-23,63","-15,09","-13,6",,"58,95","79,28",,
80,Gradual,10,10,4 / 5,"0,41","0,41","5,04e-01","0,98","0,99","0,99","-119,6","-16,04","-61,58",,"78,67","105,60",,
80,Gradual,10,10,FINAL,"0,84","0,81","5,01e-01","0,98","0,99","0,99","-130,09","-15,47","-64,29","47,29","80,21","107,13","-28,59","169,62"
150,Planar,"2,5",0,INITIAL,"0,52","0,52","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,06","18,16","21,88",,
150,Planar,"2,5",0,1 / 5,"0,51","0,51","3,50e-05","1,00","1,00","1,00","0,04","0,02","0,01",,"18,16","21,87",,
150,Planar,"2,5",0,2 / 5,"0,51","0,51","2,55e-05","1,00","1,00","1,00","0,06","0,03","0,0",,"18,16","21,87",,
150,Planar,"2,5",0,3 / 5,"0,51","0,51","2,51e-05","1,00","1,00","1,00","0,06","0,03","0,0",,"18,16","21,87",,
150,Planar,"2,5",0,4 / 5,"0,51","0,51","2,45e-05","1,00","1,00","1,00","0,06","0,03","0,0",,"18,16","21,88",,
150,Planar,"2,5",0,FINAL,"0,51","0,51","2,39e-05","1,00","1,00","1,00","0,06","0,03","0,0","4,06","18,16","21,88","0,01","447,47"
150,Planar,0,"2,5",INITIAL,"0,48","0,49","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","18,03","22,09",,
150,Planar,0,"2,5",1 / 5,"0,46","0,48","4,60e-05","1,00","1,00","1,00","-0,01","0,01","-0,01",,"18,03","22,09",,
150,Planar,0,"2,5",2 / 5,"0,47","0,48","3,45e-05","1,00","1,00","1,00","-0,01","0,0","-0,01",,"18,03","22,09",,
150,Planar,0,"2,5",3 / 5,"0,47","0,48","2,65e-05","1,00","1,00","1,00","-0,01","-0,0","-0,01",,"18,02","22,09",,
150,Planar,0,"2,5",4 / 5,"0,47","0,48","2,39e-05","1,00","1,00","1,00","-0,01","-0,0","-0,01",,"18,02","22,09",,
150,Planar,0,"2,5",FINAL,"0,47","0,48","2,22e-05","1,00","1,00","1,00","-0,01","-0,0","-0,01","2,50","18,02","22,09","0,03","720,99"
150,Planar,"2,5","2,5",INITIAL,"0,54","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,55","20,23","24,41",,
150,Planar,"2,5","2,5",1 / 5,"0,52","0,53","4,64e-05","1,00","1,00","1,00","-0,04","0,06","0,0",,"20,22","24,41",,
150,Planar,"2,5","2,5",2 / 5,"0,53","0,53","3,29e-05","1,00","1,00","1,00","-0,09","0,09","0,0",,"20,22","24,41",,
150,Planar,"2,5","2,5",3 / 5,"0,53","0,53","2,36e-05","1,00","1,00","1,00","-0,11","0,12","0,0",,"20,22","24,41",,
150,Planar,"2,5","2,5",4 / 5,"0,53","0,53","2,13e-05","1,00","1,00","1,00","-0,12","0,13","0,0",,"20,22","24,41",,
150,Planar,"2,5","2,5",FINAL,"0,53","0,53","2,00e-05","1,00","1,00","1,00","-0,12","0,14","0,0","4,55","20,22","24,41","0,03","444,84"
150,Planar,10,0,INITIAL,"0,98","1,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,37","42,33","52,32",,
150,Planar,10,0,1 / 5,"0,96","0,99","7,65e-05","1,00","1,00","1,00","0,05","-0,11","-0,02",,"42,32","52,31",,
150,Planar,10,0,2 / 5,"0,96","0,99","1,17e-04","1,00","1,00","1,00","0,23","-0,4","-0,05",,"42,32","52,31",,
150,Planar,10,0,3 / 5,"0,97","0,99","4,51e-05","1,00","1,00","1,00","0,3","-0,52","-0,06",,"42,32","52,31",,
150,Planar,10,0,4 / 5,"0,97","1,00","3,87e-05","1,00","1,00","1,00","0,31","-0,53","-0,07",,"42,32","52,31",,
150,Planar,10,0,FINAL,"0,97","1,00","3,60e-05","1,00","1,00","1,00","0,32","-0,54","-0,07","15,37","42,32","52,31","0,03","275,31"
150,Planar,0,10,INITIAL,"0,74","0,75","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","20,93","25,31",,
150,Planar,0,10,1 / 5,"0,42","0,42","3,49e-03","1,00","1,00","1,00","-0,51","1,26","-0,08",,"20,64","25,16",,
150,Planar,0,10,2 / 5,"0,41","0,42","2,93e-03","1,00","1,00","1,00","-0,75","1,32","-0,1",,"20,62","25,15",,
150,Planar,0,10,3 / 5,"0,42","0,42","2,66e-03","1,00","1,00","1,00","-0,8","1,33","-0,12",,"20,62","25,14",,
150,Planar,0,10,4 / 5,"0,42","0,42","2,49e-03","1,00","1,00","1,00","-0,85","1,33","-0,13",,"20,61","25,14",,
150,Planar,0,10,FINAL,"0,42","0,42","1,45e-03","1,00","1,00","1,00","-1,04","0,86","-0,34","10,00","20,59","25,11","1,64","205,88"
150,Planar,10,10,INITIAL,"1,13","1,16","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,26","46,17","56,53",,
150,Planar,10,10,1 / 5,"0,99","1,01","1,64e-03","1,00","1,00","1,00","-0,22","0,94","0,07",,"46,03","56,47",,
150,Planar,10,10,2 / 5,"1,00","1,01","1,26e-03","1,00","1,00","1,00","-0,35","1,42","0,06",,"46,03","56,47",,
150,Planar,10,10,3 / 5,"0,99","1,01","1,11e-03","1,00","1,00","1,00","-0,6","1,81","0,06",,"46,03","56,47",,
