InRays,,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","1,02e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,08","3,85",,
20,Planar,"2,5",0,1 / 5,"0,95","1,01","3,00e-03","1,00","1,00","1,00","-0,16","1,19","0,0",,"3,30","4,03",,
20,Planar,"2,5",0,2 / 5,"0,97","1,05","2,42e-03","1,00","1,00","1,00","-0,1","1,19","-0,01",,"3,30","4,02",,
20,Planar,"2,5",0,3 / 5,"0,96","1,04","2,33e-03","1,00","1,00","1,00","-0,14","1,19","0,0",,"3,29","4,01",,
20,Planar,"2,5",0,4 / 5,"0,95","1,03","2,30e-03","1,00","1,00","1,00","-0,07","1,21","-0,05",,"3,29","4,01",,
20,Planar,"2,5",0,FINAL,"0,95","1,03","2,38e-03","1,00","1,00","1,00","-0,06","1,22","-0,07","3,95","3,29","4,01","-6,74","83,23"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","6,41e-04","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,51","1,72",,
20,Planar,0,"2,5",1 / 5,"0,41","0,42","4,52e-05","1,00","1,00","1,00","-0,23","1,12","-0,14",,"1,43","1,64",,
20,Planar,0,"2,5",2 / 5,"0,44","0,45","1,29e-05","1,00","1,00","1,00","-0,27","1,11","-0,15",,"1,43","1,63",,
20,Planar,0,"2,5",3 / 5,"0,44","0,45","7,23e-06","1,00","1,00","1,00","-0,26","1,12","-0,16",,"1,42","1,63",,
20,Planar,0,"2,5",4 / 5,"0,44","0,45","6,06e-06","1,00","1,00","1,00","-0,27","1,12","-0,16",,"1,42","1,63",,
20,Planar,0,"2,5",FINAL,"0,44","0,44","5,62e-06","1,00","1,00","1,00","-0,27","1,11","-0,17","2,50","1,42","1,63","6,28","56,77"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","1,03e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,17","3,90",,
20,Planar,"2,5","2,5",1 / 5,"1,30","0,91","3,42e-03","1,00","1,00","1,00","-0,33","0,64","-0,34",,"3,28","3,95",,
20,Planar,"2,5","2,5",2 / 5,"1,19","0,77","3,78e-03","1,00","1,00","1,00","-0,29","0,64","-0,41",,"3,25","3,93",,
20,Planar,"2,5","2,5",3 / 5,"1,23","0,80","3,49e-03","1,00","1,00","1,00","-0,33","0,63","-0,49",,"3,24","3,92",,
20,Planar,"2,5","2,5",4 / 5,"1,24","0,80","3,54e-03","1,00","1,00","1,00","-0,39","0,62","-0,56",,"3,23","3,91",,
20,Planar,"2,5","2,5",FINAL,"1,24","0,80","3,38e-03","1,00","1,00","1,00","-0,44","0,63","-0,57","4,73","3,23","3,90","-1,78","68,26"
20,Planar,10,0,INITIAL,"0,00","0,00","1,58e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,05","12,24","15,41",,
20,Planar,10,0,1 / 5,"0,88","1,57","1,27e-01","1,00","1,00","1,00","-1,72","-0,8","-0,87",,"12,55","15,81",,
20,Planar,10,0,2 / 5,"0,90","0,98","1,33e-01","1,00","1,00","1,00","-1,05","-0,41","-1,36",,"12,53","15,84",,
20,Planar,10,0,3 / 5,"0,84","1,17","1,28e-01","1,00","1,00","1,00","-1,77","-0,08","-1,77",,"12,65","16,01",,
20,Planar,10,0,4 / 5,"0,82","1,12","1,30e-01","1,00","1,00","1,00","-2,62","0,36","-2,36",,"12,81","16,24",,
20,Planar,10,0,FINAL,"0,85","1,03","1,33e-01","1,00","1,00","1,00","-2,96","0,5","-3,25","16,05","12,99","16,40","-6,16","80,90"
20,Planar,0,10,INITIAL,"0,00","0,00","1,10e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","4,65","5,39",,
20,Planar,0,10,1 / 5,"0,97","0,95","1,64e-04","1,00","1,00","1,00","-0,71","4,16","-0,51",,"4,53","5,21",,
20,Planar,0,10,2 / 5,"0,93","0,92","6,67e-05","1,00","1,00","1,00","-0,86","4,12","-0,53",,"4,45","5,13",,
20,Planar,0,10,3 / 5,"0,93","0,93","4,71e-05","1,00","1,00","1,00","-0,84","4,1","-0,58",,"4,43","5,11",,
20,Planar,0,10,4 / 5,"0,94","0,95","4,00e-05","1,00","1,00","1,00","-0,85","4,09","-0,59",,"4,42","5,10",,
20,Planar,0,10,FINAL,"0,94","0,95","3,75e-05","1,00","1,00","1,00","-0,86","4,08","-0,61","10,00","4,41","5,09","5,15","44,11"
20,Planar,10,10,INITIAL,"0,00","0,00","1,79e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,14","12,90","16,37",,
20,Planar,10,10,1 / 5,"0,84","0,94","1,49e-01","1,00","1,00","1,00","-2,85","4,9","-1,84",,"13,08","16,46",,
20,Planar,10,10,2 / 5,"0,95","1,09","1,48e-01","1,00","1,00","1,00","-3,94","4,74","-2,55",,"13,16","16,50",,
20,Planar,10,10,3 / 5,"0,92","1,02","1,50e-01","1,00","1,00","1,00","-4,29","4,89","-4,03",,"13,16","16,54",,
20,Planar,10,10,4 / 5,"0,98","1,06","1,47e-01","1,00","1,00","1,00","-5,46","4,68","-4,28",,"13,17","16,55",,
20,Planar,10,10,FINAL,"0,98","1,06","1,47e-01","1,00","1,00","1,00","-6,69","4,72","-5,42","19,14","13,17","16,57","-2,05","68,78"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,02e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,24","1,73","2,09",,
20,Gradual,0,"2,5",1 / 5,"0,96","1,00","1,96e-04","1,00","1,00","1,00","-0,57","1,23","-0,62",,"1,76","2,13",,
20,Gradual,0,"2,5",2 / 5,"1,01","1,05","1,45e-04","1,00","1,00","1,00","-0,56","1,15","-0,61",,"1,76","2,12",,
20,Gradual,0,"2,5",3 / 5,"1,03","1,07","1,21e-04","1,00","1,00","1,00","-0,56","1,12","-0,61",,"1,75","2,11",,
20,Gradual,0,"2,5",4 / 5,"1,03","1,07","1,02e-04","1,00","1,00","1,00","-0,57","1,1","-0,63",,"1,74","2,10",,
20,Gradual,0,"2,5",FINAL,"1,04","1,07","8,69e-05","1,00","1,00","1,00","-0,58","1,07","-0,64","3,24","1,74","2,10","-0,45","53,76"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","8,94e-03","1,00","1,00","1,00","0,0","0,0","0,0","5,36","3,59","4,46",,
20,Gradual,"2,5","2,5",1 / 5,"1,04","0,92","2,91e-03","1,00","1,00","1,00","-0,21","1,83","-0,51",,"3,70","4,54",,
20,Gradual,"2,5","2,5",2 / 5,"1,10","0,90","2,37e-03","1,00","1,00","1,00","-0,25","1,83","-0,64",,"3,70","4,53",,
20,Gradual,"2,5","2,5",3 / 5,"1,07","0,87","2,36e-03","1,00","1,00","1,00","-0,4","1,85","-0,92",,"3,69","4,51",,
20,Gradual,"2,5","2,5",4 / 5,"1,10","0,90","2,15e-03","1,00","1,00","1,00","-0,37","1,84","-1,04",,"3,69","4,51",,
20,Gradual,"2,5","2,5",FINAL,"1,10","0,89","2,18e-03","1,00","1,00","1,00","-0,43","1,85","-1,18","5,36","3,68","4,50","-2,38","68,71"
20,Gradual,0,10,INITIAL,"0,00","0,00","4,56e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,53","4,62","5,46",,
20,Gradual,0,10,1 / 5,"1,12","1,14","2,25e-03","1,00","1,00","1,00","-2,66","5,17","-4,07",,"4,05","4,83",,
20,Gradual,0,10,2 / 5,"1,19","1,19","1,78e-03","1,00","1,00","1,00","-3,77","5,22","-3,49",,"3,85","4,61",,
20,Gradual,0,10,3 / 5,"0,62","0,64","2,33e-03","1,00","1,00","1,00","-4,57","5,09","-4,66",,"3,42","4,14",,
20,Gradual,0,10,4 / 5,"0,30","0,31","2,99e-03","1,00","1,00","1,00","-7,88","3,07","-7,78",,"2,56","3,19",,
20,Gradual,0,10,FINAL,"0,26","0,27","3,10e-03","1,00","1,00","1,00","-8,08","2,91","-7,83","10,53","2,51","3,14","45,75","23,82"
20,Gradual,10,10,INITIAL,"0,00","0,00","1,62e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,45","12,55","15,79",,
20,Gradual,10,10,1 / 5,"1,04","0,98","1,33e-01","1,00","1,00","1,00","-3,78","6,26","-4,7",,"12,81","15,99",,
20,Gradual,10,10,2 / 5,"1,04","0,92","1,30e-01","1,00","1,00","1,00","-5,53","5,85","-7,4",,"12,94","16,06",,
20,Gradual,10,10,3 / 5,"1,05","0,94","1,25e-01","1,00","1,00","1,00","-7,11","5,58","-7,7",,"13,01","16,13",,
20,Gradual,10,10,4 / 5,"1,10","0,96","1,23e-01","1,00","1,00","1,00","-7,45","5,54","-9,04",,"13,10","16,21",,
20,Gradual,10,10,FINAL,"1,18","1,05","1,19e-01","1,00","1,00","1,00","-8,61","5,48","-9,33","19,45","13,17","16,29","-4,99","67,73"
