{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"3,15","2,96","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,95","2,15","2,35",,
20,Planar,"2,5",0,1 / 20,"0,97","1,03","5,67e-03","1,00","1,00","1,00","0,23","0,05","0,02",,"1,72","1,99",,
20,Planar,"2,5",0,2 / 20,"0,98","1,07","4,19e-03","1,00","1,00","1,00","0,15","0,15","-0,19",,"1,97","2,32",,
20,Planar,"2,5",0,3 / 20,"0,88","0,95","3,51e-03","1,00","1,00","1,00","0,23","0,33","-0,21",,"2,39","2,91",,
20,Planar,"2,5",0,4 / 20,"0,95","1,02","2,86e-03","1,00","1,00","1,00","0,21","0,42","-0,34",,"2,53","3,08",,
20,Planar,"2,5",0,5 / 20,"0,96","1,04","2,66e-03","1,00","1,00","1,00","0,25","0,43","-0,31",,"2,59","3,17",,
20,Planar,"2,5",0,6 / 20,"0,96","1,03","2,53e-03","1,00","1,00","1,00","0,31","0,5","-0,27",,"2,69","3,29",,
20,Planar,"2,5",0,7 / 20,"0,97","1,04","2,50e-03","1,00","1,00","1,00","0,33","0,51","-0,28",,"2,74","3,36",,
20,Planar,"2,5",0,8 / 20,"0,96","1,03","2,39e-03","1,00","1,00","1,00","0,33","0,57","-0,32",,"2,81","3,44",,
20,Planar,"2,5",0,9 / 20,"0,96","1,03","2,38e-03","1,00","1,00","1,00","0,35","0,65","-0,35",,"2,91","3,57",,
20,Planar,"2,5",0,10 / 20,"0,96","1,03","2,26e-03","1,00","1,00","1,00","0,41","0,69","-0,33",,"2,96","3,62",,
20,Planar,"2,5",0,11 / 20,"0,96","1,03","2,22e-03","1,00","1,00","1,00","0,38","0,71","-0,36",,"2,98","3,65",,
20,Planar,"2,5",0,12 / 20,"0,96","1,03","2,30e-03","1,00","1,00","1,00","0,4","0,75","-0,34",,"3,02","3,70",,
20,Planar,"2,5",0,13 / 20,"0,96","1,03","2,21e-03","1,00","1,00","1,00","0,43","0,79","-0,37",,"3,06","3,74",,
20,Planar,"2,5",0,14 / 20,"0,96","1,03","2,18e-03","1,00","1,00","1,00","0,44","0,83","-0,37",,"3,08","3,77",,
20,Planar,"2,5",0,15 / 20,"0,96","1,03","2,26e-03","1,00","1,00","1,00","0,44","0,85","-0,38",,"3,10","3,79",,
20,Planar,"2,5",0,16 / 20,"0,97","1,03","2,19e-03","1,00","1,00","1,00","0,45","0,88","-0,38",,"3,11","3,81",,
20,Planar,"2,5",0,17 / 20,"0,96","1,03","2,18e-03","1,00","1,00","1,00","0,47","0,9","-0,38",,"3,13","3,82",,
20,Planar,"2,5",0,18 / 20,"0,96","1,03","2,25e-03","1,00","1,00","1,00","0,48","0,95","-0,39",,"3,16","3,86",,
20,Planar,"2,5",0,19 / 20,"0,97","1,03","2,18e-03","1,00","1,00","1,00","0,48","0,97","-0,39",,"3,16","3,87",,
20,Planar,"2,5",0,FINAL,"0,97","1,03","2,26e-03","1,00","1,00","1,00","0,49","0,99","-0,39","3,95","3,17","3,88","-47,81","80,35"
20,Planar,0,"2,5",INITIAL,"1,79","1,45","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,42","1,52",,
20,Planar,0,"2,5",1 / 20,"0,37","0,37","2,60e-04","1,00","1,00","1,00","-0,58","1,16","-0,21",,"1,10","1,19",,
20,Planar,0,"2,5",2 / 20,"0,31","0,31","2,32e-04","1,00","1,00","1,00","-0,68","1,16","-0,45",,"1,05","1,14",,
20,Planar,0,"2,5",3 / 20,"0,31","0,31","1,71e-04","1,00","1,00","1,00","-0,72","1,16","-0,5",,"1,02","1,12",,
20,Planar,0,"2,5",4 / 20,"0,31","0,31","1,43e-04","1,00","1,00","1,00","-0,74","1,16","-0,58",,"1,02","1,11",,
20,Planar,0,"2,5",5 / 20,"0,30","0,29","1,17e-04","1,00","1,00","1,00","-0,79","1,17","-0,71",,"1,01","1,12",,
20,Planar,0,"2,5",6 / 20,"0,34","0,33","7,46e-05","1,00","1,00","1,00","-0,8","1,17","-0,69",,"1,01","1,11",,
20,Planar,0,"2,5",7 / 20,"0,36","0,36","5,00e-05","1,00","1,00","1,00","-0,81","1,18","-0,71",,"1,01","1,11",,
20,Planar,0,"2,5",8 / 20,"0,35","0,35","4,85e-05","1,00","1,00","1,00","-0,82","1,18","-0,75",,"1,01","1,11",,
20,Planar,0,"2,5",9 / 20,"0,35","0,34","4,83e-05","1,00","1,00","1,00","-0,84","1,18","-0,76",,"1,01","1,12",,
20,Planar,0,"2,5",10 / 20,"0,34","0,33","5,21e-05","1,00","1,00","1,00","-0,85","1,19","-0,79",,"1,01","1,12",,
20,Planar,0,"2,5",11 / 20,"0,34","0,34","4,86e-05","1,00","1,00","1,00","-0,85","1,19","-0,81",,"1,01","1,12",,
20,Planar,0,"2,5",12 / 20,"0,34","0,33","4,87e-05","1,00","1,00","1,00","-0,86","1,19","-0,83",,"1,01","1,12",,
20,Planar,0,"2,5",13 / 20,"0,33","0,33","4,88e-05","1,00","1,00","1,00","-0,87","1,2","-0,84",,"1,01","1,13",,
20,Planar,0,"2,5",14 / 20,"0,33","0,32","4,90e-05","1,00","1,00","1,00","-0,88","1,2","-0,86",,"1,01","1,13",,
20,Planar,0,"2,5",15 / 20,"0,33","0,32","4,91e-05","1,00","1,00","1,00","-0,89","1,21","-0,87",,"1,01","1,13",,
20,Planar,0,"2,5",16 / 20,"0,33","0,32","4,88e-05","1,00","1,00","1,00","-0,9","1,21","-0,88",,"1,02","1,13",,
20,Planar,0,"2,5",17 / 20,"0,32","0,32","4,94e-05","1,00","1,00","1,00","-0,9","1,21","-0,89",,"1,02","1,13",,
20,Planar,0,"2,5",18 / 20,"0,32","0,32","4,91e-05","1,00","1,00","1,00","-0,91","1,22","-0,9",,"1,02","1,13",,
20,Planar,0,"2,5",19 / 20,"0,32","0,31","4,90e-05","1,00","1,00","1,00","-0,92","1,22","-0,91",,"1,02","1,13",,
20,Planar,0,"2,5",FINAL,"0,32","0,31","4,93e-05","1,00","1,00","1,00","-0,92","1,22","-0,92","2,50","1,02","1,14","28,37","40,69"
20,Planar,"2,5","2,5",INITIAL,"3,53","5,73","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","2,51","2,73",,
20,Planar,"2,5","2,5",1 / 20,"1,16","0,86","7,71e-03","1,00","1,00","1,00","-0,47","0,8","-0,28",,"1,85","2,15",,
20,Planar,"2,5","2,5",2 / 20,"1,04","0,73","5,63e-03","1,00","1,00","1,00","-0,64","0,73","-0,51",,"2,21","2,66",,
20,Planar,"2,5","2,5",3 / 20,"1,15","0,78","4,22e-03","1,00","1,00","1,00","-0,71","0,66","-0,63",,"2,47","3,00",,
20,Planar,"2,5","2,5",4 / 20,"1,22","0,81","3,73e-03","1,00","1,00","1,00","-0,75","0,64","-0,71",,"2,62","3,18",,
20,Planar,"2,5","2,5",5 / 20,"1,23","0,81","3,51e-03","1,00","1,00","1,00","-0,79","0,61","-0,75",,"2,69","3,27",,
20,Planar,"2,5","2,5",6 / 20,"1,23","0,81","3,52e-03","1,00","1,00","1,00","-0,77","0,59","-0,85",,"2,79","3,38",,
20,Planar,"2,5","2,5",7 / 20,"1,24","0,82","3,37e-03","1,00","1,00","1,00","-0,84","0,59","-0,83",,"2,81","3,42",,
20,Planar,"2,5","2,5",8 / 20,"1,25","0,82","3,37e-03","1,00","1,00","1,00","-0,87","0,58","-0,84",,"2,84","3,45",,
20,Planar,"2,5","2,5",9 / 20,"1,26","0,82","3,27e-03","1,00","1,00","1,00","-0,9","0,58","-0,87",,"2,89","3,51",,
20,Planar,"2,5","2,5",10 / 20,"1,25","0,81","3,40e-03","1,00","1,00","1,00","-0,91","0,57","-0,89",,"2,90","3,53",,
20,Planar,"2,5","2,5",11 / 20,"1,24","0,81","3,26e-03","1,00","1,00","1,00","-0,94","0,59","-0,88",,"2,91","3,54",,
20,Planar,"2,5","2,5",12 / 20,"1,25","0,81","3,35e-03","1,00","1,00","1,00","-0,93","0,57","-0,9",,"2,93","3,56",,
20,Planar,"2,5","2,5",13 / 20,"1,25","0,81","3,31e-03","1,00","1,00","1,00","-0,97","0,58","-0,9",,"2,94","3,58",,
20,Planar,"2,5","2,5",14 / 20,"1,26","0,82","3,27e-03","1,00","1,00","1,00","-0,97","0,57","-0,91",,"2,95","3,59",,
20,Planar,"2,5","2,5",15 / 20,"1,24","0,81","3,30e-03","1,00","1,00","1,00","-1,01","0,59","-0,92",,"2,97","3,61",,
20,Planar,"2,5","2,5",16 / 20,"1,26","0,82","3,25e-03","1,00","1,00","1,00","-1,05","0,58","-0,94",,"2,99","3,64",,
20,Planar,"2,5","2,5",17 / 20,"1,25","0,81","3,28e-03","1,00","1,00","1,00","-1,05","0,58","-0,94",,"2,99","3,64",,
20,Planar,"2,5","2,5",18 / 20,"1,26","0,82","3,22e-03","1,00","1,00","1,00","-1,07","0,59","-0,95",,"3,00","3,65",,
20,Planar,"2,5","2,5",19 / 20,"1,26","0,82","3,24e-03","1,00","1,00","1,00","-1,09","0,59","-0,95",,"3,01","3,65",,
20,Planar,"2,5","2,5",FINAL,"1,26","0,81","3,28e-03","1,00","1,00","1,00","-1,09","0,6","-0,95","4,73","3,01","3,66","-20,02","63,65"
20,Planar,10,0,INITIAL,"12,17","12,09","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","8,06","8,80",,
20,Planar,10,0,1 / 20,"0,87","1,09","1,47e-01","1,00","1,00","1,00","-2,23","-0,91","0,22",,"8,82","11,06",,
20,Planar,10,0,2 / 20,"0,88","0,95","1,42e-01","1,00","1,00","1,00","-3,24","0,26","-1,52",,"9,98","12,53",,
20,Planar,10,0,3 / 20,"0,84","1,11","1,31e-01","1,00","1,00","1,00","-3,45","0,61","-1,85",,"10,52","13,23",,
20,Planar,10,0,4 / 20,"0,78","1,06","1,38e-01","1,00","1,00","1,00","-4,28","0,88","-2,44",,"10,94","13,83",,
20,Planar,10,0,5 / 20,"0,85","1,08","1,33e-01","1,00","1,00","1,00","-4,41","1,46","-2,35",,"11,39","14,35",,
20,Planar,10,0,6 / 20,"0,87","1,09","1,29e-01","1,00","1,00","1,00","-5,81","2,28","-3,52",,"12,29","15,37",,
20,Planar,10,0,7 / 20,"0,80","1,08","1,27e-01","1,00","1,00","1,00","-6,32","2,71","-3,91",,"12,72","15,85",,
20,Planar,10,0,8 / 20,"0,90","1,06","1,27e-01","1,00","1,00","1,00","-7,3","3,23","-4,32",,"13,18","16,34",,
20,Planar,10,0,9 / 20,"0,80","1,09","1,27e-01","1,00","1,00","1,00","-7,65","3,56","-4,63",,"13,46","16,67",,
20,Planar,10,0,10 / 20,"0,91","1,06","1,24e-01","1,00","1,00","1,00","-8,94","4,09","-5,62",,"13,97","17,22",,
20,Planar,10,0,11 / 20,"0,71","1,13","1,32e-01","1,00","1,00","1,00","-9,65","4,57","-5,74",,"14,47","17,81",,
20,Planar,10,0,12 / 20,"0,80","1,00","1,31e-01","1,00","1,00","1,00","-11,99","5,28","-7,5",,"15,17","18,71",,
20,Planar,10,0,13 / 20,"0,79","1,06","1,26e-01","1,00","1,00","1,00","-12,22","5,58","-7,5",,"15,40","18,92",,
20,Planar,10,0,14 / 20,"0,88","1,06","1,23e-01","1,00","1,00","1,00","-12,8","5,81","-7,6",,"15,63","19,16",,
20,Planar,10,0,15 / 20,"0,87","1,04","1,21e-01","1,00","1,00","1,00","-13,06","6,02","-8,06",,"15,85","19,39",,
20,Planar,10,0,16 / 20,"0,89","1,07","1,19e-01","1,00","1,00","1,00","-13,76","6,28","-8,07",,"16,07","19,65",,
20,Planar,10,0,17 / 20,"0,92","1,08","1,19e-01","1,00","1,00","1,00","-14,02","6,49","-8,41",,"16,30","19,88",,
20,Planar,10,0,18 / 20,"0,89","1,04","1,19e-01","1,00","1,00","1,00","-15,0","6,64","-8,78",,"16,52","20,14",,
20,Planar,10,0,19 / 20,"0,73","1,04","1,29e-01","1,00","1,00","1,00","-15,99","7,23","-9,32",,"17,12","20,85",,
20,Planar,10,0,FINAL,"0,86","0,97","1,25e-01","1,00","1,00","1,00","-18,13","7,81","-10,56","16,05","17,82","21,69","-121,04","111,01"
20,Planar,0,10,INITIAL,"6,11","4,53","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,04","5,07",,
20,Planar,0,10,1 / 20,"0,06","0,05","7,05e-04","1,00","1,00","1,00","-3,8","4,23","-5,8",,"1,18","1,32",,
20,Planar,0,10,2 / 20,"0,17","0,15","3,63e-04","1,00","1,00","1,00","-3,98","4,16","-6,05",,"1,09","1,22",,
20,Planar,0,10,3 / 20,"0,35","0,33","9,11e-05","1,00","1,00","1,00","-4,01","4,13","-6,09",,"1,02","1,15",,
20,Planar,0,10,4 / 20,"0,37","0,34","6,85e-05","1,00","1,00","1,00","-4,02","4,12","-6,1",,"1,02","1,14",,
20,Planar,0,10,5 / 20,"0,38","0,35","5,61e-05","1,00","1,00","1,00","-4,03","4,12","-6,11",,"1,01","1,14",,
20,Planar,0,10,6 / 20,"0,38","0,35","5,41e-05","1,00","1,00","1,00","-4,04","4,11","-6,14",,"1,01","1,13",,
20,Planar,0,10,7 / 20,"0,37","0,34","5,34e-05","1,00","1,00","1,00","-4,04","4,11","-6,15",,"1,01","1,13",,
20,Planar,0,10,8 / 20,"0,35","0,32","5,88e-05","1,00","1,00","1,00","-4,05","4,11","-6,17",,"1,00","1,12",,
20,Planar,0,10,9 / 20,"0,35","0,32","5,91e-05","1,00","1,00","1,00","-4,06","4,12","-6,2",,"1,00","1,12",,
20,Planar,0,10,10 / 20,"0,35","0,32","5,33e-05","1,00","1,00","1,00","-4,06","4,12","-6,2",,"1,00","1,11",,
20,Planar,0,10,11 / 20,"0,35","0,32","5,34e-05","1,00","1,00","1,00","-4,06","4,12","-6,21",,"1,00","1,11",,
20,Planar,0,10,12 / 20,"0,34","0,31","5,56e-05","1,00","1,00","1,00","-4,06","4,13","-6,23",,"0,99","1,11",,
20,Planar,0,10,13 / 20,"0,34","0,31","5,49e-05","1,00","1,00","1,00","-4,06","4,13","-6,23",,"0,99","1,11",,
20,Planar,0,10,14 / 20,"0,34","0,31","5,58e-05","1,00","1,00","1,00","-4,06","4,14","-6,25",,"0,99","1,11",,
20,Planar,0,10,15 / 20,"0,34","0,31","5,61e-05","1,00","1,00","1,00","-4,06","4,14","-6,25",,"0,99","1,11",,
20,Planar,0,10,FINAL,"0,34","0,31","5,61e-05","1,00","1,00","1,00","-4,06","4,14","-6,25","10,00","0,99","1,11","80,31","9,92"
20,Planar,10,10,INITIAL,"14,10","13,69","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","9,60","10,37",,
20,Planar,10,10,1 / 20,"1,00","1,00","1,52e-01","1,00","1,00","1,00","-5,9","4,03","-2,74",,"9,55","12,22",,
20,Planar,10,10,2 / 20,"0,98","1,03","1,45e-01","1,00","1,00","1,00","-6,54","4,48","-3,77",,"9,96","12,75",,
20,Planar,10,10,3 / 20,"0,97","1,04","1,47e-01","1,00","1,00","1,00","-6,65","4,43","-3,64",,"10,07","12,88",,
20,Planar,10,10,4 / 20,"0,95","1,01","1,45e-01","1,00","1,00","1,00","-8,13","4,5","-4,56",,"10,83","13,74",,
20,Planar,10,10,5 / 20,"0,93","1,04","1,48e-01","1,00","1,00","1,00","-9,5","4,91","-6,19",,"11,40","14,42",,
20,Planar,10,10,6 / 20,"0,95","1,04","1,48e-01","1,00","1,00","1,00","-10,22","4,78","-6,21",,"11,58","14,64",,
20,Planar,10,10,7 / 20,"0,94","1,05","1,47e-01","1,00","1,00","1,00","-10,37","5,09","-6,79",,"11,76","14,86",,
20,Planar,10,10,8 / 20,"0,94","1,02","1,44e-01","1,00","1,00","1,00","-12,1","5,63","-8,63",,"12,34","15,56",,
20,Planar,10,10,9 / 20,"0,98","1,03","1,41e-01","1,00","1,00","1,00","-14,21","6,0","-8,86",,"12,79","16,03",,
20,Planar,10,10,10 / 20,"0,96","1,01","1,42e-01","1,00","1,00","1,00","-15,86","6,47","-9,73",,"13,22","16,55",,
20,Planar,10,10,11 / 20,"0,96","1,00","1,39e-01","1,00","1,00","1,00","-17,05","6,74","-10,33",,"13,54","16,89",,
20,Planar,10,10,12 / 20,"1,12","1,17","1,36e-01","1,00","1,00","1,00","-17,49","7,03","-10,57",,"13,71","17,09",,
20,Planar,10,10,13 / 20,"1,07","1,10","1,36e-01","1,00","1,00","1,00","-18,77","7,31","-11,03",,"14,10","17,53",,
20,Planar,10,10,14 / 20,"1,11","1,13","1,33e-01","1,00","1,00","1,00","-19,81","7,64","-11,77",,"14,43","17,89",,
20,Planar,10,10,15 / 20,"1,07","1,09","1,34e-01","1,00","1,00","1,00","-20,67","7,9","-12,03",,"14,74","18,21",,
20,Planar,10,10,16 / 20,"1,00","1,01","1,36e-01","1,00","1,00","1,00","-22,58","8,26","-12,3",,"15,30","18,81",,
20,Planar,10,10,17 / 20,"1,39","1,41","1,19e-01","1,00","1,00","1,00","-22,72","8,4","-13,13",,"15,43","18,92",,
20,Planar,10,10,18 / 20,"1,18","1,22","1,29e-01","1,00","1,00","1,00","-24,06","8,53","-13,64",,"15,88","19,43",,
20,Planar,10,10,19 / 20,"1,10","1,11","1,31e-01","1,00","1,00","1,00","-24,7","8,82","-13,98",,"16,06","19,63",,
20,Planar,10,10,FINAL,"1,35","1,41","1,19e-01","1,00","1,00","1,00","-25,38","8,77","-14,2","19,14","16,36","19,92","-70,43","85,49"
20,Gradual,0,"2,5",INITIAL,"2,61","2,13","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,24","1,84","2,17",,
20,Gradual,0,"2,5",1 / 20,"0,15","0,18","1,20e-03","1,00","1,00","1,00","-0,84","1,64","-1,25",,"1,48","1,70",,
20,Gradual,0,"2,5",2 / 20,"0,09","0,11","1,03e-03","1,00","1,00","1,00","-1,37","1,15","-1,88",,"1,36","1,60",,
20,Gradual,0,"2,5",3 / 20,"0,31","0,30","5,07e-04","1,00","1,00","1,00","-4,95","-2,86","-3,34",,"1,31","1,51",,
20,Gradual,0,"2,5",4 / 20,"0,30","0,29","5,09e-04","1,00","1,00","1,00","-4,99","-2,87","-3,33",,"1,30","1,50",,
20,Gradual,0,"2,5",5 / 20,"0,33","0,31","4,86e-04","1,00","1,00","1,00","-4,97","-2,88","-3,33",,"1,30","1,49",,
20,Gradual,0,"2,5",6 / 20,"0,35","0,33","4,65e-04","1,00","1,00","1,00","-5,0","-2,89","-3,33",,"1,30","1,49",,
20,Gradual,0,"2,5",7 / 20,"0,37","0,35","4,58e-04","1,00","1,00","1,00","-5,0","-2,9","-3,32",,"1,29","1,49",,
20,Gradual,0,"2,5",8 / 20,"0,34","0,32","4,81e-04","1,00","1,00","1,00","-5,03","-2,91","-3,32",,"1,29","1,48",,
20,Gradual,0,"2,5",9 / 20,"0,35","0,33","4,79e-04","1,00","1,00","1,00","-5,02","-2,91","-3,32",,"1,29","1,48",,
20,Gradual,0,"2,5",10 / 20,"0,36","0,34","4,73e-04","1,00","1,00","1,00","-5,04","-2,92","-3,32",,"1,29","1,48",,
20,Gradual,0,"2,5",11 / 20,"0,35","0,33","4,78e-04","1,00","1,00","1,00","-5,05","-2,93","-3,31",,"1,29","1,48",,
20,Gradual,0,"2,5",12 / 20,"0,36","0,34","4,76e-04","1,00","1,00","1,00","-5,07","-2,94","-3,31",,"1,29","1,47",,
20,Gradual,0,"2,5",13 / 20,"0,36","0,33","4,77e-04","1,00","1,00","1,00","-5,07","-2,95","-3,31",,"1,28","1,47",,
20,Gradual,0,"2,5",FINAL,"0,36","0,33","4,77e-04","1,00","1,00","1,00","-5,07","-2,95","-3,31","3,24","1,28","1,47","30,17","39,67"
20,Gradual,"2,5","2,5",INITIAL,"3,93","4,41","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,36","2,79","3,05",,
20,Gradual,"2,5","2,5",1 / 20,"1,09","0,91","5,81e-03","1,00","1,00","1,00","-0,45","1,59","-0,22",,"2,18","2,65",,
20,Gradual,"2,5","2,5",2 / 20,"1,09","0,92","4,95e-03","1,00","1,00","1,00","-0,78","1,58","-0,82",,"2,36","2,87",,
20,Gradual,"2,5","2,5",3 / 20,"1,05","0,88","4,02e-03","1,00","1,00","1,00","-0,77","1,63","-0,89",,"2,60","3,18",,
20,Gradual,"2,5","2,5",4 / 20,"0,96","0,80","3,36e-03","1,00","1,00","1,00","-0,89","1,66","-1,38",,"2,94","3,61",,
20,Gradual,"2,5","2,5",5 / 20,"1,09","0,91","2,46e-03","1,00","1,00","1,00","-0,88","1,63","-1,5",,"3,08","3,76",,
20,Gradual,"2,5","2,5",6 / 20,"1,06","0,88","2,36e-03","1,00","1,00","1,00","-0,88","1,59","-1,82",,"3,23","3,94",,
20,Gradual,"2,5","2,5",7 / 20,"1,10","0,92","2,14e-03","1,00","1,00","1,00","-1,08","1,59","-1,84",,"3,26","3,98",,
20,Gradual,"2,5","2,5",8 / 20,"1,09","0,91","2,08e-03","1,00","1,00","1,00","-1,05","1,56","-1,97",,"3,31","4,04",,
20,Gradual,"2,5","2,5",9 / 20,"1,08","0,90","2,07e-03","1,00","1,00","1,00","-1,13","1,55","-2,09",,"3,36","4,11",,
20,Gradual,"2,5","2,5",10 / 20,"1,07","0,89","2,07e-03","1,00","1,00","1,00","-1,16","1,51","-2,25",,"3,42","4,18",,
20,Gradual,"2,5","2,5",11 / 20,"1,07","0,89","2,04e-03","1,00","1,00","1,00","-1,23","1,49","-2,34",,"3,45","4,22",,
20,Gradual,"2,5","2,5",12 / 20,"1,06","0,88","2,05e-03","1,00","1,00","1,00","-1,29","1,46","-2,44",,"3,49","4,26",,
20,Gradual,"2,5","2,5",13 / 20,"1,04","0,86","2,14e-03","1,00","1,00","1,00","-1,27","1,45","-2,49",,"3,49","4,27",,
20,Gradual,"2,5","2,5",14 / 20,"1,04","0,86","2,17e-03","1,00","1,00","1,00","-1,31","1,44","-2,51",,"3,50","4,29",,
20,Gradual,"2,5","2,5",15 / 20,"1,03","0,85","2,18e-03","1,00","1,00","1,00","-1,3","1,43","-2,55",,"3,51","4,30",,
20,Gradual,"2,5","2,5",16 / 20,"1,03","0,85","2,25e-03","1,00","1,00","1,00","-1,33","1,42","-2,6",,"3,52","4,32",,
20,Gradual,"2,5","2,5",17 / 20,"1,05","0,87","2,07e-03","1,00","1,00","1,00","-1,36","1,38","-2,68",,"3,55","4,35",,
