{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"3,16","2,95","1,19e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,95","2,61","2,83",,
20,Planar,"2,5",0,1 / 20,"0,91","1,11","1,18e-02","1,00","1,00","1,00","0,84","2,36","0,66",,"3,32","4,21",,
20,Planar,"2,5",0,2 / 20,"0,94","1,10","5,97e-03","1,00","1,00","1,00","0,88","2,15","0,54",,"3,39","4,25",,
20,Planar,"2,5",0,3 / 20,"0,84","1,03","4,83e-03","1,00","1,00","1,00","0,97","2,13","0,71",,"3,50","4,36",,
20,Planar,"2,5",0,4 / 20,"0,92","1,08","3,56e-03","1,00","1,00","1,00","1,06","2,15","0,84",,"3,56","4,42",,
20,Planar,"2,5",0,5 / 20,"0,89","1,04","3,20e-03","1,00","1,00","1,00","1,06","2,1","0,77",,"3,64","4,50",,
20,Planar,"2,5",0,6 / 20,"0,89","1,03","2,94e-03","1,00","1,00","1,00","1,07","2,05","0,77",,"3,70","4,55",,
20,Planar,"2,5",0,7 / 20,"0,93","1,06","2,63e-03","1,00","1,00","1,00","1,08","2,03","0,76",,"3,74","4,59",,
20,Planar,"2,5",0,8 / 20,"0,91","1,01","2,64e-03","1,00","1,00","1,00","1,14","1,97","0,82",,"3,78","4,63",,
20,Planar,"2,5",0,9 / 20,"0,92","1,03","2,50e-03","1,00","1,00","1,00","1,18","1,94","0,85",,"3,81","4,65",,
20,Planar,"2,5",0,10 / 20,"0,93","1,03","2,47e-03","1,00","1,00","1,00","1,17","1,92","0,82",,"3,84","4,68",,
20,Planar,"2,5",0,11 / 20,"0,94","1,02","2,41e-03","1,00","1,00","1,00","1,23","1,84","0,84",,"3,88","4,74",,
20,Planar,"2,5",0,12 / 20,"0,94","1,02","2,37e-03","1,00","1,00","1,00","1,2","1,84","0,84",,"3,90","4,75",,
20,Planar,"2,5",0,13 / 20,"0,94","1,02","2,38e-03","1,00","1,00","1,00","1,2","1,77","0,84",,"3,93","4,79",,
20,Planar,"2,5",0,14 / 20,"0,94","1,02","2,33e-03","1,00","1,00","1,00","1,23","1,77","0,84",,"3,93","4,79",,
20,Planar,"2,5",0,15 / 20,"0,94","1,01","2,36e-03","1,00","1,00","1,00","1,22","1,74","0,84",,"3,94","4,80",,
20,Planar,"2,5",0,16 / 20,"0,95","1,02","2,36e-03","1,00","1,00","1,00","1,21","1,68","0,83",,"3,97","4,83",,
20,Planar,"2,5",0,17 / 20,"0,94","1,01","2,38e-03","1,00","1,00","1,00","1,21","1,66","0,83",,"3,97","4,83",,
20,Planar,"2,5",0,18 / 20,"0,95","1,02","2,39e-03","1,00","1,00","1,00","1,22","1,61","0,83",,"3,99","4,86",,
20,Planar,"2,5",0,19 / 20,"0,95","1,02","2,28e-03","1,00","1,00","1,00","1,2","1,61","0,82",,"4,00","4,86",,
20,Planar,"2,5",0,FINAL,"0,95","1,02","2,29e-03","1,00","1,00","1,00","1,21","1,6","0,82","3,95","4,00","4,86","-53,05","101,30"
20,Planar,0,"2,5",INITIAL,"1,77","1,47","1,62e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","2,09","2,30",,
20,Planar,0,"2,5",1 / 20,"1,00","1,01","9,63e-04","1,00","1,00","1,00","-1,52","1,64","-3,16",,"1,23","1,39",,
20,Planar,0,"2,5",2 / 20,"0,65","0,63","2,54e-04","1,00","1,00","1,00","-1,57","1,67","-3,04",,"1,09","1,23",,
20,Planar,0,"2,5",3 / 20,"0,63","0,61","9,33e-05","1,00","1,00","1,00","-1,59","1,69","-3,02",,"1,04","1,17",,
20,Planar,0,"2,5",4 / 20,"0,59","0,56","6,94e-05","1,00","1,00","1,00","-1,57","1,71","-3,02",,"1,02","1,15",,
20,Planar,0,"2,5",5 / 20,"0,55","0,53","5,90e-05","1,00","1,00","1,00","-1,55","1,74","-2,94",,"1,00","1,12",,
20,Planar,0,"2,5",6 / 20,"0,54","0,51","5,60e-05","1,00","1,00","1,00","-1,56","1,75","-2,96",,"0,99","1,11",,
20,Planar,0,"2,5",7 / 20,"0,52","0,50","5,44e-05","1,00","1,00","1,00","-1,55","1,76","-2,91",,"0,98","1,10",,
20,Planar,0,"2,5",8 / 20,"0,50","0,47","5,29e-05","1,00","1,00","1,00","-1,55","1,79","-2,89",,"0,97","1,09",,
20,Planar,0,"2,5",9 / 20,"0,46","0,44","5,14e-05","1,00","1,00","1,00","-1,54","1,83","-2,84",,"0,95","1,06",,
20,Planar,0,"2,5",10 / 20,"0,43","0,42","5,06e-05","1,00","1,00","1,00","-1,54","1,87","-2,79",,"0,94","1,05",,
20,Planar,0,"2,5",11 / 20,"0,41","0,40","5,03e-05","1,00","1,00","1,00","-1,54","1,89","-2,77",,"0,94","1,05",,
20,Planar,0,"2,5",12 / 20,"0,41","0,39","5,01e-05","1,00","1,00","1,00","-1,54","1,91","-2,76",,"0,94","1,05",,
20,Planar,0,"2,5",13 / 20,"0,40","0,38","4,98e-05","1,00","1,00","1,00","-1,54","1,93","-2,73",,"0,93","1,05",,
20,Planar,0,"2,5",14 / 20,"0,39","0,37","4,95e-05","1,00","1,00","1,00","-1,54","1,96","-2,71",,"0,93","1,05",,
20,Planar,0,"2,5",15 / 20,"0,37","0,36","4,87e-05","1,00","1,00","1,00","-1,55","2,01","-2,66",,"0,93","1,05",,
20,Planar,0,"2,5",16 / 20,"0,36","0,35","4,89e-05","1,00","1,00","1,00","-1,55","2,03","-2,64",,"0,93","1,05",,
20,Planar,0,"2,5",17 / 20,"0,34","0,33","5,78e-05","1,00","1,00","1,00","-1,55","2,05","-2,62",,"0,93","1,05",,
20,Planar,0,"2,5",18 / 20,"0,35","0,34","4,98e-05","1,00","1,00","1,00","-1,55","2,06","-2,61",,"0,93","1,05",,
20,Planar,0,"2,5",19 / 20,"0,35","0,33","4,89e-05","1,00","1,00","1,00","-1,57","2,09","-2,59",,"0,93","1,05",,
20,Planar,0,"2,5",FINAL,"0,34","0,33","4,95e-05","1,00","1,00","1,00","-1,56","2,11","-2,57","2,50","0,93","1,05","55,47","37,23"
20,Planar,"2,5","2,5",INITIAL,"3,48","6,02","1,36e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,03","3,34",,
20,Planar,"2,5","2,5",1 / 20,"0,96","1,01","1,62e-02","1,00","1,00","1,00","-3,51","0,54","-0,49",,"4,82","5,60",,
20,Planar,"2,5","2,5",2 / 20,"1,18","0,99","6,68e-03","1,00","1,00","1,00","-3,58","0,64","-0,1",,"4,81","5,59",,
20,Planar,"2,5","2,5",3 / 20,"1,49","1,03","3,65e-03","1,00","1,00","1,00","-3,54","0,62","-0,16",,"4,85","5,64",,
20,Planar,"2,5","2,5",4 / 20,"1,33","0,86","3,68e-03","1,00","1,00","1,00","-3,47","0,61","-0,05",,"4,88","5,68",,
20,Planar,"2,5","2,5",5 / 20,"1,29","0,83","3,48e-03","1,00","1,00","1,00","-3,38","0,57","0,05",,"4,91","5,75",,
20,Planar,"2,5","2,5",6 / 20,"1,20","0,77","3,79e-03","1,00","1,00","1,00","-3,39","0,61","0,16",,"4,92","5,76",,
20,Planar,"2,5","2,5",7 / 20,"1,25","0,81","3,36e-03","1,00","1,00","1,00","-3,35","0,6","0,24",,"4,94","5,80",,
20,Planar,"2,5","2,5",8 / 20,"1,27","0,81","3,32e-03","1,00","1,00","1,00","-3,34","0,61","0,23",,"4,96","5,83",,
20,Planar,"2,5","2,5",9 / 20,"1,25","0,80","3,25e-03","1,00","1,00","1,00","-3,33","0,6","0,31",,"4,97","5,85",,
20,Planar,"2,5","2,5",10 / 20,"1,26","0,81","3,27e-03","1,00","1,00","1,00","-3,28","0,6","0,3",,"4,99","5,87",,
20,Planar,"2,5","2,5",11 / 20,"1,25","0,80","3,19e-03","1,00","1,00","1,00","-3,29","0,61","0,37",,"5,00","5,89",,
20,Planar,"2,5","2,5",12 / 20,"1,21","0,78","3,40e-03","1,00","1,00","1,00","-3,26","0,62","0,46",,"5,03","5,93",,
20,Planar,"2,5","2,5",13 / 20,"1,23","0,79","3,22e-03","1,00","1,00","1,00","-3,25","0,63","0,53",,"5,05","5,97",,
20,Planar,"2,5","2,5",14 / 20,"1,23","0,79","3,30e-03","1,00","1,00","1,00","-3,26","0,63","0,55",,"5,06","5,98",,
20,Planar,"2,5","2,5",15 / 20,"1,23","0,79","3,21e-03","1,00","1,00","1,00","-3,25","0,63","0,56",,"5,07","5,99",,
20,Planar,"2,5","2,5",16 / 20,"1,25","0,80","3,22e-03","1,00","1,00","1,00","-3,26","0,64","0,63",,"5,10","6,02",,
20,Planar,"2,5","2,5",17 / 20,"1,24","0,80","3,19e-03","1,00","1,00","1,00","-3,27","0,66","0,67",,"5,12","6,05",,
20,Planar,"2,5","2,5",18 / 20,"1,27","0,82","3,03e-03","1,00","1,00","1,00","-3,28","0,68","0,72",,"5,15","6,08",,
20,Planar,"2,5","2,5",19 / 20,"1,31","0,84","2,88e-03","1,00","1,00","1,00","-3,3","0,68","0,74",,"5,16","6,09",,
20,Planar,"2,5","2,5",FINAL,"1,48","0,96","2,26e-03","1,00","1,00","1,00","-3,31","0,7","0,76","4,73","5,20","6,12","-71,24","109,95"
20,Planar,10,0,INITIAL,"12,29","12,25","1,70e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","8,23","8,97",,
20,Planar,10,0,1 / 20,"0,89","1,20","4,19e-02","0,98","0,97","0,96","-114,68","3,02","0,23",,"136,48","137,82",,
20,Planar,10,0,2 / 20,"0,96","1,07","2,80e-02","0,98","0,97","0,96","-115,1","2,46","-0,38",,"136,85","138,19",,
20,Planar,10,0,3 / 20,"0,88","0,99","2,19e-02","0,98","0,97","0,96","-115,08","2,44","-0,25",,"137,05","138,40",,
20,Planar,10,0,4 / 20,"0,87","0,88","2,19e-02","0,98","0,97","0,96","-115,15","2,45","-0,07",,"137,22","138,57",,
20,Planar,10,0,5 / 20,"1,12","1,14","1,89e-02","0,98","0,97","0,96","-115,06","2,44","0,19",,"137,39","138,74",,
20,Planar,10,0,6 / 20,"0,83","0,84","1,90e-02","0,98","0,97","0,96","-115,28","2,34","0,14",,"137,60","138,95",,
20,Planar,10,0,7 / 20,"0,89","0,93","1,80e-02","0,98","0,97","0,96","-115,22","2,32","0,28",,"137,69","139,05",,
20,Planar,10,0,8 / 20,"0,94","0,94","1,82e-02","0,98","0,97","0,96","-115,42","2,15","0,35",,"137,92","139,28",,
20,Planar,10,0,9 / 20,"1,11","1,17","1,68e-02","0,98","0,97","0,96","-115,46","2,01","0,23",,"138,07","139,43",,
20,Planar,10,0,10 / 20,"0,88","0,80","1,70e-02","0,98","0,97","0,96","-115,64","1,94","0,31",,"138,22","139,59",,
20,Planar,10,0,11 / 20,"0,92","0,86","1,68e-02","0,98","0,97","0,96","-115,65","1,9","0,36",,"138,39","139,76",,
20,Planar,10,0,12 / 20,"0,89","0,79","1,74e-02","0,98","0,97","0,96","-115,79","1,83","0,45",,"138,51","139,88",,
20,Planar,10,0,13 / 20,"0,84","0,78","1,76e-02","0,98","0,97","0,96","-115,87","1,77","0,32",,"138,64","140,02",,
20,Planar,10,0,14 / 20,"0,90","0,83","1,72e-02","0,98","0,97","0,96","-116,13","1,63","0,18",,"138,83","140,22",,
20,Planar,10,0,15 / 20,"0,88","0,82","1,67e-02","0,98","0,97","0,96","-116,14","1,48","0,27",,"139,02","140,41",,
20,Planar,10,0,16 / 20,"0,89","0,75","1,76e-02","0,98","0,97","0,96","-116,34","1,44","0,2",,"139,14","140,54",,
20,Planar,10,0,17 / 20,"0,92","0,88","1,61e-02","0,98","0,97","0,96","-116,36","1,32","0,16",,"139,29","140,69",,
20,Planar,10,0,18 / 20,"0,84","0,82","1,73e-02","0,98","0,97","0,96","-116,69","1,22","0,06",,"139,50","140,91",,
20,Planar,10,0,19 / 20,"0,89","0,80","1,67e-02","0,98","0,97","0,96","-116,69","1,12","0,02",,"139,62","141,03",,
20,Planar,10,0,FINAL,"0,86","0,74","1,72e-02","0,98","0,97","0,96","-116,96","0,95","-0,1","16,05","139,77","141,19","-1598,78","870,59"
20,Planar,0,10,INITIAL,"5,90","4,74","1,60e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,27","5,40",,
20,Planar,0,10,1 / 20,"0,95","1,04","8,04e-04","1,00","1,00","1,00","-7,34","5,28","-12,08",,"3,06","3,26",,
20,Planar,0,10,2 / 20,"0,71","0,69","2,25e-04","1,00","1,00","1,00","-7,38","5,48","-11,89",,"2,92","3,12",,
20,Planar,0,10,3 / 20,"0,76","0,70","1,00e-04","1,00","1,00","1,00","-7,29","5,54","-11,72",,"2,84","3,05",,
20,Planar,0,10,4 / 20,"0,76","0,69","7,81e-05","1,00","1,00","1,00","-7,31","5,57","-11,71",,"2,81","3,02",,
20,Planar,0,10,5 / 20,"0,74","0,67","7,36e-05","1,00","1,00","1,00","-7,28","5,59","-11,65",,"2,79","3,00",,
20,Planar,0,10,6 / 20,"0,68","0,61","7,28e-05","1,00","1,00","1,00","-7,21","5,67","-11,5",,"2,72","2,94",,
20,Planar,0,10,7 / 20,"0,66","0,58","7,25e-05","1,00","1,00","1,00","-7,2","5,72","-11,44",,"2,68","2,91",,
20,Planar,0,10,8 / 20,"0,61","0,54","7,47e-05","1,00","1,00","1,00","-7,14","5,79","-11,3",,"2,61","2,85",,
20,Planar,0,10,9 / 20,"0,58","0,51","7,79e-05","1,00","1,00","1,00","-7,13","5,85","-11,22",,"2,56","2,81",,
20,Planar,0,10,10 / 20,"0,54","0,48","8,50e-05","1,00","1,00","1,00","-7,09","5,89","-11,13",,"2,52","2,77",,
20,Planar,0,10,11 / 20,"0,52","0,46","8,42e-05","1,00","1,00","1,00","-7,07","5,94","-11,05",,"2,48","2,74",,
20,Planar,0,10,12 / 20,"0,50","0,44","8,73e-05","1,00","1,00","1,00","-7,04","6,0","-10,95",,"2,43","2,69",,
20,Planar,0,10,13 / 20,"0,49","0,43","8,79e-05","1,00","1,00","1,00","-7,0","6,04","-10,88",,"2,40","2,66",,
20,Planar,0,10,14 / 20,"0,47","0,42","8,92e-05","1,00","1,00","1,00","-7,03","6,08","-10,81",,"2,37","2,64",,
20,Planar,0,10,15 / 20,"0,45","0,40","9,69e-05","1,00","1,00","1,00","-6,99","6,11","-10,76",,"2,34","2,61",,
20,Planar,0,10,16 / 20,"0,43","0,38","1,02e-04","1,00","1,00","1,00","-6,98","6,17","-10,67",,"2,30","2,57",,
20,Planar,0,10,17 / 20,"0,43","0,38","1,03e-04","1,00","1,00","1,00","-6,96","6,18","-10,65",,"2,29","2,56",,
20,Planar,0,10,18 / 20,"0,43","0,38","1,04e-04","1,00","1,00","1,00","-6,97","6,2","-10,62",,"2,28","2,55",,
20,Planar,0,10,19 / 20,"0,42","0,37","1,07e-04","1,00","1,00","1,00","-6,97","6,22","-10,58",,"2,26","2,54",,
20,Planar,0,10,FINAL,"0,41","0,36","1,10e-04","1,00","1,00","1,00","-6,96","6,26","-10,53","10,00","2,23","2,51","57,60","22,34"
20,Planar,10,10,INITIAL,"13,57","14,78","1,74e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","9,68","10,46",,
20,Planar,10,10,1 / 20,"0,40","0,45","7,99e-02","0,99","0,99","1,00","-77,5","-2,27","17,49",,"109,11","110,14",,
20,Planar,10,10,2 / 20,"0,95","1,12","4,99e-02","0,99","0,99","1,00","-77,34","-2,21","17,95",,"109,39","110,44",,
20,Planar,10,10,3 / 20,"1,16","1,22","3,81e-02","0,99","0,99","1,00","-77,61","-2,3","18,11",,"109,65","110,70",,
20,Planar,10,10,4 / 20,"1,13","1,10","3,74e-02","0,99","0,99","1,00","-77,39","-2,21","18,56",,"109,76","110,81",,
20,Planar,10,10,5 / 20,"1,02","1,04","3,47e-02","0,99","0,99","1,00","-77,47","-2,34","19,21",,"110,12","111,17",,
20,Planar,10,10,6 / 20,"1,08","1,07","3,40e-02","0,99","0,99","1,00","-77,73","-2,35","19,14",,"110,22","111,26",,
20,Planar,10,10,7 / 20,"0,99","0,95","3,37e-02","0,99","0,99","1,00","-77,78","-2,38","19,34",,"110,41","111,45",,
20,Planar,10,10,8 / 20,"1,00","1,03","3,22e-02","0,99","0,99","1,00","-78,18","-2,43","19,65",,"110,82","111,86",,
20,Planar,10,10,9 / 20,"1,07","1,05","3,11e-02","0,99","0,99","1,00","-78,25","-2,42","19,8",,"111,01","112,05",,
20,Planar,10,10,10 / 20,"1,09","1,08","3,13e-02","0,99","0,99","1,00","-78,52","-2,45","19,75",,"111,10","112,14",,
20,Planar,10,10,11 / 20,"1,06","1,05","3,10e-02","0,99","0,99","1,00","-78,43","-2,46","19,92",,"111,20","112,24",,
20,Planar,10,10,12 / 20,"1,10","1,05","3,10e-02","0,99","0,99","1,00","-78,56","-2,44","19,95",,"111,31","112,35",,
20,Planar,10,10,13 / 20,"1,05","1,03","3,11e-02","0,99","0,99","1,00","-78,85","-2,52","20,03",,"111,52","112,56",,
20,Planar,10,10,14 / 20,"1,06","1,06","3,06e-02","0,99","0,99","1,00","-79,06","-2,57","20,11",,"111,72","112,76",,
20,Planar,10,10,15 / 20,"1,04","1,02","3,08e-02","0,99","0,99","1,00","-79,31","-2,55","20,15",,"111,91","112,95",,
20,Planar,10,10,16 / 20,"0,95","0,93","3,15e-02","0,99","0,99","1,00","-79,34","-2,53","20,24",,"112,01","113,06",,
20,Planar,10,10,17 / 20,"1,04","1,04","3,09e-02","0,99","0,99","1,00","-79,68","-2,62","20,3",,"112,30","113,34",,
20,Planar,10,10,18 / 20,"1,06","1,02","3,03e-02","0,99","0,99","1,00","-79,94","-2,62","20,37",,"112,54","113,58",,
20,Planar,10,10,19 / 20,"1,04","1,00","3,10e-02","0,99","0,99","1,00","-80,14","-2,65","20,45",,"112,74","113,78",,
20,Planar,10,10,FINAL,"0,95","0,93","3,05e-02","0,99","0,99","1,00","-80,47","-2,7","20,47","19,14","112,91","113,96","-1066,05","589,90"
20,Gradual,0,"2,5",INITIAL,"2,56","2,17","1,73e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,43","2,74",,
20,Gradual,0,"2,5",1 / 20,"0,97","1,01","1,73e-03","1,00","1,00","1,00","-6,47","-2,14","-3,4",,"1,51","1,77",,
20,Gradual,0,"2,5",2 / 20,"0,89","0,94","8,08e-04","1,00","1,00","1,00","-6,52","-2,19","-3,39",,"1,44","1,69",,
20,Gradual,0,"2,5",3 / 20,"0,84","0,86","6,05e-04","1,00","1,00","1,00","-6,54","-2,2","-3,41",,"1,40","1,65",,
20,Gradual,0,"2,5",4 / 20,"0,74","0,74","5,64e-04","1,00","1,00","1,00","-6,56","-2,21","-3,41",,"1,37","1,62",,
20,Gradual,0,"2,5",5 / 20,"0,60","0,58","5,57e-04","1,00","1,00","1,00","-6,59","-2,21","-3,47",,"1,34","1,58",,
20,Gradual,0,"2,5",6 / 20,"0,61","0,58","5,15e-04","1,00","1,00","1,00","-6,56","-2,21","-3,39",,"1,33","1,56",,
20,Gradual,0,"2,5",7 / 20,"0,57","0,54","5,06e-04","1,00","1,00","1,00","-6,59","-2,22","-3,43",,"1,31","1,54",,
20,Gradual,0,"2,5",8 / 20,"0,52","0,49","5,22e-04","1,00","1,00","1,00","-6,58","-2,23","-3,39",,"1,30","1,53",,
20,Gradual,0,"2,5",9 / 20,"0,52","0,50","5,01e-04","1,00","1,00","1,00","-6,59","-2,23","-3,4",,"1,30","1,52",,
20,Gradual,0,"2,5",10 / 20,"0,49","0,47","4,99e-04","1,00","1,00","1,00","-6,62","-2,24","-3,42",,"1,29","1,51",,
20,Gradual,0,"2,5",11 / 20,"0,47","0,44","4,97e-04","1,00","1,00","1,00","-6,63","-2,26","-3,39",,"1,29","1,50",,
20,Gradual,0,"2,5",12 / 20,"0,45","0,42","4,98e-04","1,00","1,00","1,00","-6,65","-2,28","-3,39",,"1,28","1,50",,
20,Gradual,0,"2,5",13 / 20,"0,43","0,40","4,98e-04","1,00","1,00","1,00","-6,66","-2,29","-3,38",,"1,28","1,50",,
20,Gradual,0,"2,5",14 / 20,"0,42","0,39","4,98e-04","1,00","1,00","1,00","-6,69","-2,31","-3,39",,"1,28","1,49",,
20,Gradual,0,"2,5",15 / 20,"0,41","0,38","4,99e-04","1,00","1,00","1,00","-6,7","-2,33","-3,38",,"1,28","1,49",,
20,Gradual,0,"2,5",16 / 20,"0,40","0,38","5,00e-04","1,00","1,00","1,00","-6,71","-2,34","-3,38",,"1,28","1,49",,
20,Gradual,0,"2,5",17 / 20,"0,39","0,37","5,01e-04","1,00","1,00","1,00","-6,74","-2,36","-3,38",,"1,28","1,49",,
20,Gradual,0,"2,5",18 / 20,"0,37","0,35","5,10e-04","1,00","1,00","1,00","-6,75","-2,37","-3,38",,"1,28","1,49",,
20,Gradual,0,"2,5",19 / 20,"0,38","0,35","5,04e-04","1,00","1,00","1,00","-6,76","-2,38","-3,37",,"1,28","1,49",,
20,Gradual,0,"2,5",FINAL,"0,37","0,34","5,12e-04","1,00","1,00","1,00","-6,78","-2,41","-3,37","3,24","1,28","1,49","47,23","39,63"
20,Gradual,"2,5","2,5",INITIAL,"3,90","4,44","1,46e-01","1,00","1,00","1,00","0,0","0,0","0,0","5,36","3,23","3,54",,
20,Gradual,"2,5","2,5",1 / 20,"1,10","0,93","2,16e-02","1,00","1,00","1,00","-3,63","0,68","-1,03",,"3,01","3,62",,
20,Gradual,"2,5","2,5",2 / 20,"0,98","0,96","6,60e-03","1,00","1,00","1,00","-3,96","0,71","-1,71",,"3,46","4,17",,
20,Gradual,"2,5","2,5",3 / 20,"1,28","1,03","2,95e-03","1,00","1,00","1,00","-4,04","0,67","-1,77",,"3,65","4,36",,
20,Gradual,"2,5","2,5",4 / 20,"1,24","0,98","2,57e-03","1,00","1,00","1,00","-4,01","0,66","-1,74",,"3,69","4,42",,
20,Gradual,"2,5","2,5",5 / 20,"1,23","0,98","2,34e-03","1,00","1,00","1,00","-4,04","0,65","-1,77",,"3,73","4,46",,
20,Gradual,"2,5","2,5",6 / 20,"1,23","0,98","2,14e-03","1,00","1,00","1,00","-4,04","0,63","-1,79",,"3,77","4,51",,
20,Gradual,"2,5","2,5",7 / 20,"1,16","0,92","2,21e-03","1,00","1,00","1,00","-4,06","0,61","-1,86",,"3,81","4,57",,
20,Gradual,"2,5","2,5",8 / 20,"1,12","0,89","2,24e-03","1,00","1,00","1,00","-4,06","0,59","-1,91",,"3,85","4,62",,
