{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","1,89e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,95","6,47","8,13",,
20,Planar,"2,5",0,1 / 20,"0,96","1,20","1,61e-02","1,00","1,00","1,00","-8,19","1,25","-0,63",,"10,41","11,37",,
20,Planar,"2,5",0,2 / 20,"1,03","1,26","5,94e-03","1,00","1,00","1,00","-8,13","1,89","-0,33",,"10,45","11,26",,
20,Planar,"2,5",0,3 / 20,"1,23","1,36","3,50e-03","1,00","1,00","1,00","-8,18","1,89","-0,58",,"10,46","11,24",,
20,Planar,"2,5",0,4 / 20,"1,14","1,24","3,01e-03","1,00","1,00","1,00","-8,04","1,95","-0,29",,"10,47","11,21",,
20,Planar,"2,5",0,5 / 20,"1,09","1,19","2,74e-03","1,00","1,00","1,00","-8,01","1,99","-0,26",,"10,48","11,20",,
20,Planar,"2,5",0,6 / 20,"1,04","1,11","2,41e-03","1,00","1,00","1,00","-7,91","2,05","-0,03",,"10,50","11,20",,
20,Planar,"2,5",0,7 / 20,"1,02","1,09","2,37e-03","1,00","1,00","1,00","-7,91","2,07","-0,03",,"10,51","11,20",,
20,Planar,"2,5",0,8 / 20,"1,01","1,08","2,33e-03","1,00","1,00","1,00","-7,9","2,06","0,0",,"10,52","11,20",,
20,Planar,"2,5",0,9 / 20,"1,00","1,07","2,29e-03","1,00","1,00","1,00","-7,86","2,08","0,07",,"10,52","11,21",,
20,Planar,"2,5",0,10 / 20,"0,97","1,03","2,35e-03","1,00","1,00","1,00","-7,85","2,09","0,1",,"10,53","11,22",,
20,Planar,"2,5",0,11 / 20,"0,96","1,01","2,34e-03","1,00","1,00","1,00","-7,79","2,11","0,25",,"10,54","11,22",,
20,Planar,"2,5",0,12 / 20,"0,97","1,03","2,21e-03","1,00","1,00","1,00","-7,77","2,11","0,35",,"10,56","11,24",,
20,Planar,"2,5",0,13 / 20,"0,92","0,97","2,43e-03","1,00","1,00","1,00","-7,75","2,13","0,4",,"10,57","11,25",,
20,Planar,"2,5",0,14 / 20,"0,96","1,01","2,23e-03","1,00","1,00","1,00","-7,71","2,13","0,47",,"10,58","11,26",,
20,Planar,"2,5",0,15 / 20,"0,97","1,02","2,12e-03","1,00","1,00","1,00","-7,73","2,15","0,47",,"10,58","11,26",,
20,Planar,"2,5",0,16 / 20,"0,95","1,00","2,23e-03","1,00","1,00","1,00","-7,7","2,15","0,52",,"10,59","11,27",,
20,Planar,"2,5",0,17 / 20,"0,96","1,02","2,18e-03","1,00","1,00","1,00","-7,68","2,15","0,59",,"10,61","11,28",,
20,Planar,"2,5",0,18 / 20,"0,94","1,00","2,21e-03","1,00","1,00","1,00","-7,7","2,17","0,63",,"10,62","11,29",,
20,Planar,"2,5",0,19 / 20,"0,94","0,99","2,23e-03","1,00","1,00","1,00","-7,68","2,17","0,65",,"10,62","11,30",,
20,Planar,"2,5",0,FINAL,"0,94","0,99","2,26e-03","1,00","1,00","1,00","-7,68","2,18","0,72","3,95","10,64","11,31","-64,38","269,58"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","1,68e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","6,50","8,18",,
20,Planar,0,"2,5",1 / 20,"1,07","0,95","1,18e-02","1,00","1,00","1,00","-12,63","5,73","0,31",,"4,16","5,07",,
20,Planar,0,"2,5",2 / 20,"0,84","0,82","5,79e-03","1,00","1,00","1,00","-12,62","5,66","0,12",,"4,02","4,82",,
20,Planar,0,"2,5",3 / 20,"1,46","1,45","1,56e-03","1,00","1,00","1,00","-12,65","5,61","0,11",,"4,03","4,71",,
20,Planar,0,"2,5",4 / 20,"1,57","1,56","7,94e-04","1,00","1,00","1,00","-12,63","5,49","0,07",,"4,03","4,67",,
20,Planar,0,"2,5",5 / 20,"1,57","1,56","7,26e-04","1,00","1,00","1,00","-12,62","5,51","0,09",,"4,02","4,67",,
20,Planar,0,"2,5",6 / 20,"1,59","1,57","6,15e-04","1,00","1,00","1,00","-12,62","5,5","0,09",,"4,02","4,66",,
20,Planar,0,"2,5",7 / 20,"1,53","1,51","5,78e-04","1,00","1,00","1,00","-12,62","5,54","0,09",,"4,01","4,63",,
20,Planar,0,"2,5",8 / 20,"1,54","1,52","5,59e-04","1,00","1,00","1,00","-12,63","5,49","0,07",,"4,01","4,62",,
20,Planar,0,"2,5",9 / 20,"1,44","1,42","5,59e-04","1,00","1,00","1,00","-12,63","5,47","0,04",,"3,98","4,58",,
20,Planar,0,"2,5",10 / 20,"1,41","1,39","5,52e-04","1,00","1,00","1,00","-12,62","5,46","0,06",,"3,97","4,56",,
20,Planar,0,"2,5",11 / 20,"1,38","1,36","5,48e-04","1,00","1,00","1,00","-12,64","5,45","0,01",,"3,96","4,54",,
20,Planar,0,"2,5",12 / 20,"1,34","1,31","5,43e-04","1,00","1,00","1,00","-12,62","5,43","0,02",,"3,94","4,51",,
20,Planar,0,"2,5",13 / 20,"1,31","1,28","5,39e-04","1,00","1,00","1,00","-12,63","5,42","-0,03",,"3,93","4,48",,
20,Planar,0,"2,5",14 / 20,"1,29","1,27","5,33e-04","1,00","1,00","1,00","-12,63","5,4","-0,04",,"3,92","4,46",,
20,Planar,0,"2,5",15 / 20,"1,26","1,24","5,30e-04","1,00","1,00","1,00","-12,62","5,38","-0,05",,"3,90","4,43",,
20,Planar,0,"2,5",16 / 20,"1,22","1,20","5,30e-04","1,00","1,00","1,00","-12,62","5,35","-0,08",,"3,89","4,39",,
20,Planar,0,"2,5",17 / 20,"1,20","1,18","5,29e-04","1,00","1,00","1,00","-12,61","5,34","-0,09",,"3,88","4,38",,
20,Planar,0,"2,5",18 / 20,"1,18","1,16","5,26e-04","1,00","1,00","1,00","-12,62","5,32","-0,12",,"3,87","4,35",,
20,Planar,0,"2,5",19 / 20,"1,14","1,13","5,23e-04","1,00","1,00","1,00","-12,6","5,3","-0,13",,"3,86","4,32",,
20,Planar,0,"2,5",FINAL,"1,12","1,10","5,20e-04","1,00","1,00","1,00","-12,6","5,28","-0,16","2,50","3,85","4,30","40,80","153,86"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","2,43e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,73","6,99","8,95",,
20,Planar,"2,5","2,5",1 / 20,"0,92","1,02","2,11e-02","1,00","1,00","1,00","-6,31","7,02","-1,96",,"4,48","5,64",,
20,Planar,"2,5","2,5",2 / 20,"1,23","0,94","8,64e-03","1,00","1,00","1,00","-6,65","6,97","-1,93",,"4,22","5,31",,
20,Planar,"2,5","2,5",3 / 20,"1,49","1,04","5,23e-03","1,00","1,00","1,00","-6,44","6,93","-1,68",,"4,21","5,27",,
20,Planar,"2,5","2,5",4 / 20,"1,53","1,03","4,17e-03","1,00","1,00","1,00","-6,5","6,94","-1,9",,"4,19","5,24",,
20,Planar,"2,5","2,5",5 / 20,"1,33","0,88","4,18e-03","1,00","1,00","1,00","-6,4","6,9","-1,72",,"4,18","5,21",,
20,Planar,"2,5","2,5",6 / 20,"1,33","0,89","3,71e-03","1,00","1,00","1,00","-6,3","6,85","-1,46",,"4,20","5,21",,
20,Planar,"2,5","2,5",7 / 20,"1,26","0,85","3,80e-03","1,00","1,00","1,00","-6,25","6,78","-1,33",,"4,22","5,23",,
20,Planar,"2,5","2,5",8 / 20,"1,30","0,87","3,38e-03","1,00","1,00","1,00","-6,22","6,73","-1,2",,"4,25","5,25",,
20,Planar,"2,5","2,5",9 / 20,"1,33","0,89","3,24e-03","1,00","1,00","1,00","-6,19","6,69","-1,18",,"4,27","5,26",,
20,Planar,"2,5","2,5",10 / 20,"1,32","0,89","3,08e-03","1,00","1,00","1,00","-6,16","6,56","-1,02",,"4,31","5,31",,
20,Planar,"2,5","2,5",11 / 20,"1,21","0,81","3,48e-03","1,00","1,00","1,00","-6,16","6,45","-0,92",,"4,33","5,33",,
20,Planar,"2,5","2,5",12 / 20,"1,19","0,81","3,50e-03","1,00","1,00","1,00","-6,18","6,37","-0,82",,"4,36","5,35",,
20,Planar,"2,5","2,5",13 / 20,"1,25","0,84","3,20e-03","1,00","1,00","1,00","-6,16","6,32","-0,83",,"4,37","5,36",,
20,Planar,"2,5","2,5",14 / 20,"1,24","0,83","3,30e-03","1,00","1,00","1,00","-6,2","6,26","-0,77",,"4,38","5,38",,
20,Planar,"2,5","2,5",15 / 20,"1,19","0,80","3,47e-03","1,00","1,00","1,00","-6,19","6,23","-0,75",,"4,39","5,38",,
20,Planar,"2,5","2,5",16 / 20,"1,20","0,81","3,42e-03","1,00","1,00","1,00","-6,22","6,21","-0,72",,"4,40","5,39",,
20,Planar,"2,5","2,5",17 / 20,"1,21","0,81","3,36e-03","1,00","1,00","1,00","-6,2","6,17","-0,72",,"4,40","5,40",,
20,Planar,"2,5","2,5",18 / 20,"1,20","0,81","3,42e-03","1,00","1,00","1,00","-6,22","6,14","-0,69",,"4,41","5,40",,
20,Planar,"2,5","2,5",19 / 20,"1,26","0,84","3,11e-03","1,00","1,00","1,00","-6,25","6,1","-0,67",,"4,42","5,41",,
20,Planar,"2,5","2,5",FINAL,"1,25","0,84","3,22e-03","1,00","1,00","1,00","-6,23","6,07","-0,67","4,73","4,43","5,42","36,58","93,76"
20,Planar,10,0,INITIAL,"0,00","0,00","6,36e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,05","6,46","8,11",,
20,Planar,10,0,1 / 20,"8,21","17,41","2,70e-02","1,00","1,00","1,00","-0,52","-2,14","0,02",,"9,67","11,34",,
20,Planar,10,0,2 / 20,"8,45","17,97","5,65e-03","1,00","1,00","1,00","-0,45","-2,27","0,06",,"9,80","11,60",,
20,Planar,10,0,3 / 20,"3,33","6,78","8,25e-02","1,00","1,00","1,00","-1,14","-2,5","-0,59",,"7,28","8,93",,
20,Planar,10,0,4 / 20,"0,90","1,01","1,40e-01","1,00","1,00","1,00","-1,55","-0,97","-0,67",,"9,08","11,40",,
20,Planar,10,0,5 / 20,"0,99","1,08","1,39e-01","1,00","1,00","1,00","-1,74","-0,51","-1,48",,"9,61","12,07",,
20,Planar,10,0,6 / 20,"0,86","1,07","1,36e-01","1,00","1,00","1,00","-1,35","-0,17","-0,91",,"10,06","12,59",,
20,Planar,10,0,7 / 20,"0,87","1,05","1,35e-01","1,00","1,00","1,00","-2,12","0,48","-2,42",,"10,79","13,44",,
20,Planar,10,0,8 / 20,"0,83","1,11","1,34e-01","1,00","1,00","1,00","-1,93","0,86","-1,95",,"11,11","13,82",,
20,Planar,10,0,9 / 20,"0,88","1,08","1,27e-01","1,00","1,00","1,00","-3,13","1,74","-3,1",,"12,03","14,85",,
20,Planar,10,0,10 / 20,"0,79","1,05","1,31e-01","1,00","1,00","1,00","-3,64","2,29","-3,51",,"12,55","15,44",,
20,Planar,10,0,11 / 20,"0,89","1,07","1,26e-01","1,00","1,00","1,00","-4,47","2,8","-3,93",,"13,09","16,01",,
20,Planar,10,0,12 / 20,"0,81","1,11","1,26e-01","1,00","1,00","1,00","-5,09","3,36","-4,39",,"13,57","16,57",,
20,Planar,10,0,13 / 20,"0,86","1,02","1,23e-01","1,00","1,00","1,00","-6,53","4,09","-5,47",,"14,26","17,32",,
20,Planar,10,0,14 / 20,"0,78","1,05","1,26e-01","1,00","1,00","1,00","-7,43","4,7","-5,56",,"14,80","17,96",,
20,Planar,10,0,15 / 20,"0,90","1,04","1,23e-01","1,00","1,00","1,00","-8,0","5,0","-5,96",,"15,09","18,27",,
20,Planar,10,0,16 / 20,"0,81","1,07","1,24e-01","1,00","1,00","1,00","-8,34","5,24","-6,25",,"15,30","18,53",,
20,Planar,10,0,17 / 20,"0,91","1,04","1,19e-01","1,00","1,00","1,00","-10,46","6,09","-7,5",,"16,13","19,48",,
20,Planar,10,0,18 / 20,"0,83","1,07","1,22e-01","1,00","1,00","1,00","-11,1","6,56","-7,81",,"16,49","19,93",,
20,Planar,10,0,19 / 20,"0,88","1,00","1,22e-01","1,00","1,00","1,00","-12,06","6,67","-8,43",,"16,71","20,18",,
20,Planar,10,0,FINAL,"0,86","1,17","1,20e-01","1,00","1,00","1,00","-11,96","6,92","-8,31","16,05","16,88","20,39","-161,36","105,15"
20,Planar,0,10,INITIAL,"0,00","0,00","1,74e-01","1,00","1,00","1,00","0,0","0,0","0,0","10,00","6,46","8,12",,
20,Planar,0,10,1 / 20,"0,98","0,98","9,30e-03","1,00","1,00","1,00","-11,58","6,55","-6,94",,"3,59","4,43",,
20,Planar,0,10,2 / 20,"0,29","0,26","1,73e-03","1,00","1,00","1,00","-11,31","6,12","-6,28",,"3,32","3,63",,
20,Planar,0,10,3 / 20,"0,95","0,69","3,31e-04","1,00","1,00","1,00","-11,27","6,22","-6,37",,"3,33","3,62",,
20,Planar,0,10,4 / 20,"1,04","0,74","1,64e-04","1,00","1,00","1,00","-11,32","6,2","-6,38",,"3,33","3,62",,
20,Planar,0,10,5 / 20,"1,04","0,75","1,14e-04","1,00","1,00","1,00","-11,33","6,19","-6,38",,"3,33","3,62",,
20,Planar,0,10,6 / 20,"0,98","0,73","9,81e-05","1,00","1,00","1,00","-11,31","6,19","-6,39",,"3,32","3,61",,
20,Planar,0,10,7 / 20,"0,89","0,71","9,22e-05","1,00","1,00","1,00","-11,33","6,18","-6,39",,"3,32","3,59",,
20,Planar,0,10,8 / 20,"0,85","0,71","8,73e-05","1,00","1,00","1,00","-11,32","6,19","-6,35",,"3,32","3,59",,
20,Planar,0,10,9 / 20,"0,78","0,70","8,43e-05","1,00","1,00","1,00","-11,31","6,19","-6,37",,"3,31","3,57",,
20,Planar,0,10,10 / 20,"0,75","0,70","8,33e-05","1,00","1,00","1,00","-11,3","6,19","-6,36",,"3,31","3,56",,
20,Planar,0,10,11 / 20,"0,72","0,70","8,19e-05","1,00","1,00","1,00","-11,31","6,19","-6,38",,"3,31","3,55",,
20,Planar,0,10,12 / 20,"0,70","0,69","8,10e-05","1,00","1,00","1,00","-11,29","6,2","-6,36",,"3,31","3,54",,
20,Planar,0,10,13 / 20,"0,68","0,69","8,02e-05","1,00","1,00","1,00","-11,28","6,2","-6,35",,"3,31","3,54",,
20,Planar,0,10,14 / 20,"0,66","0,68","7,95e-05","1,00","1,00","1,00","-11,28","6,2","-6,36",,"3,31","3,53",,
20,Planar,0,10,15 / 20,"0,65","0,67","7,87e-05","1,00","1,00","1,00","-11,27","6,2","-6,36",,"3,31","3,52",,
20,Planar,0,10,16 / 20,"0,63","0,66","7,80e-05","1,00","1,00","1,00","-11,26","6,2","-6,35",,"3,30","3,51",,
20,Planar,0,10,17 / 20,"0,62","0,65","7,73e-05","1,00","1,00","1,00","-11,24","6,2","-6,34",,"3,30","3,50",,
20,Planar,0,10,18 / 20,"0,60","0,64","7,67e-05","1,00","1,00","1,00","-11,23","6,2","-6,34",,"3,30","3,49",,
20,Planar,0,10,19 / 20,"0,59","0,63","7,60e-05","1,00","1,00","1,00","-11,22","6,2","-6,33",,"3,30","3,48",,
20,Planar,0,10,FINAL,"0,59","0,62","7,56e-05","1,00","1,00","1,00","-11,21","6,2","-6,33","10,00","3,30","3,48","48,97","32,97"
20,Planar,10,10,INITIAL,"0,00","0,00","5,97e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,14","6,50","8,21",,
20,Planar,10,10,1 / 20,"0,71","0,88","4,14e-02","0,99","0,98","0,97","-107,41","7,16","-1,91",,"120,25","121,49",,
20,Planar,10,10,2 / 20,"0,99","0,95","3,38e-02","0,99","0,98","0,97","-107,3","7,32","-1,02",,"120,50","121,71",,
20,Planar,10,10,3 / 20,"1,10","1,01","3,17e-02","0,99","0,98","0,97","-107,45","7,21","-0,72",,"120,70","121,90",,
20,Planar,10,10,4 / 20,"0,90","0,81","3,20e-02","0,99","0,98","0,97","-107,59","7,15","-0,34",,"120,94","122,12",,
20,Planar,10,10,5 / 20,"0,97","0,87","3,10e-02","0,99","0,98","0,97","-107,85","7,07","-0,01",,"121,25","122,42",,
20,Planar,10,10,6 / 20,"1,06","0,96","3,12e-02","0,99","0,98","0,97","-107,89","7,04","0,28",,"121,43","122,60",,
20,Planar,10,10,7 / 20,"1,01","0,91","3,15e-02","0,99","0,98","0,97","-107,99","7,0","0,5",,"121,61","122,77",,
20,Planar,10,10,8 / 20,"1,07","0,96","3,11e-02","0,99","0,98","0,97","-108,11","6,93","0,61",,"121,77","122,92",,
20,Planar,10,10,9 / 20,"1,08","0,97","3,12e-02","0,99","0,98","0,97","-108,24","6,94","0,6",,"121,84","123,00",,
20,Planar,10,10,10 / 20,"1,06","0,95","3,10e-02","0,99","0,98","0,97","-108,3","6,9","0,71",,"121,96","123,11",,
20,Planar,10,10,11 / 20,"1,13","1,01","3,09e-02","0,99","0,98","0,97","-108,37","6,93","0,83",,"122,08","123,23",,
20,Planar,10,10,12 / 20,"0,97","0,87","3,18e-02","0,99","0,98","0,97","-108,46","6,89","0,85",,"122,17","123,32",,
20,Planar,10,10,13 / 20,"1,02","0,91","3,16e-02","0,99","0,98","0,97","-108,65","6,83","0,82",,"122,32","123,47",,
20,Planar,10,10,14 / 20,"1,11","0,99","3,10e-02","0,99","0,98","0,97","-108,72","6,84","0,94",,"122,45","123,60",,
20,Planar,10,10,15 / 20,"0,99","0,89","3,16e-02","0,99","0,98","0,97","-108,92","6,83","1,01",,"122,67","123,81",,
20,Planar,10,10,16 / 20,"1,07","0,96","3,14e-02","0,98","0,98","0,97","-109,1","6,84","1,13",,"122,92","124,07",,
20,Planar,10,10,17 / 20,"1,02","0,91","3,14e-02","0,98","0,98","0,97","-109,36","6,82","1,16",,"123,18","124,32",,
20,Planar,10,10,18 / 20,"1,06","0,95","3,14e-02","0,98","0,98","0,97","-109,55","6,81","1,21",,"123,42","124,55",,
20,Planar,10,10,19 / 20,"0,99","0,90","3,13e-02","0,98","0,98","0,97","-109,83","6,81","1,29",,"123,74","124,87",,
20,Planar,10,10,FINAL,"1,09","0,98","3,09e-02","0,98","0,98","0,97","-109,95","6,78","1,26","19,14","123,86","124,99","-1804,90","647,08"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,70e-01","1,00","1,00","1,00","0,0","0,0","0,0","3,24","6,49","8,18",,
20,Gradual,0,"2,5",1 / 20,"0,96","1,01","1,42e-02","1,00","1,00","1,00","-19,86","5,09","-5,49",,"5,83","7,03",,
20,Gradual,0,"2,5",2 / 20,"1,27","1,34","3,79e-03","1,00","1,00","1,00","-19,79","5,58","-5,52",,"5,61","6,66",,
20,Gradual,0,"2,5",3 / 20,"1,12","1,15","2,81e-03","1,00","1,00","1,00","-19,79","5,64","-5,53",,"5,57","6,59",,
20,Gradual,0,"2,5",4 / 20,"1,11","1,12","1,75e-03","1,00","1,00","1,00","-19,71","5,56","-5,46",,"5,49","6,44",,
20,Gradual,0,"2,5",5 / 20,"1,20","1,20","1,60e-03","1,00","1,00","1,00","-19,71","5,58","-5,5",,"5,49","6,44",,
20,Gradual,0,"2,5",6 / 20,"1,23","1,23","1,54e-03","1,00","1,00","1,00","-19,71","5,58","-5,51",,"5,49","6,44",,
20,Gradual,0,"2,5",7 / 20,"1,28","1,27","1,43e-03","1,00","1,00","1,00","-19,7","5,58","-5,51",,"5,49","6,43",,
20,Gradual,0,"2,5",8 / 20,"1,31","1,30","1,34e-03","1,00","1,00","1,00","-19,68","5,57","-5,5",,"5,49","6,43",,
20,Gradual,0,"2,5",9 / 20,"1,31","1,30","1,28e-03","1,00","1,00","1,00","-19,67","5,57","-5,5",,"5,49","6,42",,
20,Gradual,0,"2,5",10 / 20,"1,36","1,35","1,21e-03","1,00","1,00","1,00","-19,65","5,57","-5,5",,"5,49","6,41",,
20,Gradual,0,"2,5",11 / 20,"1,35","1,34","1,19e-03","1,00","1,00","1,00","-19,64","5,56","-5,49",,"5,49","6,41",,
20,Gradual,0,"2,5",12 / 20,"1,36","1,35","1,15e-03","1,00","1,00","1,00","-19,63","5,56","-5,48",,"5,48","6,40",,
20,Gradual,0,"2,5",13 / 20,"1,34","1,32","1,14e-03","1,00","1,00","1,00","-19,62","5,56","-5,48",,"5,48","6,39",,
20,Gradual,0,"2,5",14 / 20,"1,33","1,31","1,11e-03","1,00","1,00","1,00","-19,61","5,55","-5,47",,"5,47","6,38",,
20,Gradual,0,"2,5",15 / 20,"1,33","1,31","1,09e-03","1,00","1,00","1,00","-19,6","5,55","-5,46",,"5,47","6,37",,
20,Gradual,0,"2,5",16 / 20,"1,34","1,32","1,07e-03","1,00","1,00","1,00","-19,59","5,54","-5,46",,"5,46","6,36",,
20,Gradual,0,"2,5",17 / 20,"1,25","1,23","1,08e-03","1,00","1,00","1,00","-19,57","5,52","-5,43",,"5,44","6,32",,
20,Gradual,0,"2,5",18 / 20,"1,28","1,26","1,04e-03","1,00","1,00","1,00","-19,56","5,51","-5,44",,"5,44","6,31",,
20,Gradual,0,"2,5",19 / 20,"1,26","1,24","1,03e-03","1,00","1,00","1,00","-19,55","5,5","-5,44",,"5,43","6,29",,
20,Gradual,0,"2,5",FINAL,"1,19","1,17","1,05e-03","1,00","1,00","1,00","-19,52","5,47","-5,38","3,24","5,40","6,25","16,80","166,88"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","2,32e-01","1,00","1,00","1,00","0,0","0,0","0,0","5,36","6,60","8,40",,
20,Gradual,"2,5","2,5",1 / 20,"0,94","1,25","2,43e-02","1,00","1,00","1,00","-12,12","8,02","-6,0",,"7,96","9,68",,
20,Gradual,"2,5","2,5",2 / 20,"1,21","1,09","9,05e-03","1,00","1,00","1,00","-11,8","8,07","-5,69",,"7,95","9,49",,
20,Gradual,"2,5","2,5",3 / 20,"1,48","1,16","4,29e-03","1,00","1,00","1,00","-11,78","7,99","-5,75",,"7,97","9,41",,
20,Gradual,"2,5","2,5",4 / 20,"1,40","1,08","3,59e-03","1,00","1,00","1,00","-11,8","7,97","-5,88",,"7,98","9,38",,
20,Gradual,"2,5","2,5",5 / 20,"1,58","1,23","2,51e-03","1,00","1,00","1,00","-11,69","7,95","-5,61",,"8,00","9,38",,
20,Gradual,"2,5","2,5",6 / 20,"1,43","1,09","2,45e-03","1,00","1,00","1,00","-11,64","7,9","-5,57",,"8,00","9,35",,
20,Gradual,"2,5","2,5",7 / 20,"1,23","0,94","2,47e-03","1,00","1,00","1,00","-11,54","7,79","-5,36",,"8,00","9,33",,
20,Gradual,"2,5","2,5",8 / 20,"1,35","1,05","1,82e-03","1,00","1,00","1,00","-11,48","7,75","-5,33",,"8,01","9,33",,
