{'FarPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,33","1,29","3,66e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,97","2,90","3,28",,
20,Planar,"2,5",0,1 / 10,"1,62","2,25","2,17e-03","1,00","1,00","1,00","-0,05","0,23","0,0",,"3,02","3,52",,
20,Planar,"2,5",0,2 / 10,"0,00","0,00","4,11e-02","1,00","1,00","1,00","-0,54","0,01","0,03",,"2,47","2,99",,
20,Planar,"2,5",0,3 / 10,"1,92","2,40","2,64e-03","1,00","1,00","1,00","-2,55","-0,2","-0,19",,"2,80","3,20",,
20,Planar,"2,5",0,4 / 10,"0,00","0,00","4,10e-02","1,00","1,00","1,00","-2,45","0,21","-0,05",,"2,55","3,06",,
20,Planar,"2,5",0,5 / 10,"1,88","2,06","2,78e-03","1,00","1,00","1,00","-5,28","1,79","-0,31",,"2,88","3,30",,
20,Planar,"2,5",0,6 / 10,"0,00","0,00","4,18e-02","1,00","1,00","1,00","-5,27","1,9","-0,17",,"2,63","3,18",,
20,Planar,"2,5",0,7 / 10,"1,90","2,37","2,45e-03","1,00","1,00","1,00","-6,74","2,42","-0,13",,"3,06","3,48",,
20,Planar,"2,5",0,8 / 10,"1,69","1,66","1,15e-03","1,00","1,00","1,00","-6,61","2,53","-0,1",,"2,93","3,33",,
20,Planar,"2,5",0,9 / 10,"0,78","0,52","3,63e-03","1,00","1,00","1,00","-6,79","2,56","-0,33",,"2,73","3,15",,
20,Planar,"2,5",0,FINAL,"1,23","0,98","5,66e-04","1,00","1,00","1,00","-6,41","3,02","-0,15","3,97","2,93","3,38","-0,94","73,77"
20,Planar,0,"2,5",INITIAL,"0,80","0,80","4,69e-03","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,97","2,14",,
20,Planar,0,"2,5",1 / 10,"0,46","0,48","3,75e-04","1,00","1,00","1,00","-0,26","0,34","-0,33",,"1,51","1,72",,
20,Planar,0,"2,5",2 / 10,"0,47","0,37","9,65e-05","1,00","1,00","1,00","-0,31","0,25","-0,33",,"1,47","1,68",,
20,Planar,0,"2,5",3 / 10,"0,46","0,33","6,51e-05","1,00","1,00","1,00","-0,32","0,23","-0,35",,"1,46","1,66",,
20,Planar,0,"2,5",4 / 10,"0,45","0,31","5,66e-05","1,00","1,00","1,00","-0,31","0,22","-0,38",,"1,45","1,65",,
20,Planar,0,"2,5",5 / 10,"0,45","0,30","5,42e-05","1,00","1,00","1,00","-0,31","0,21","-0,38",,"1,45","1,65",,
20,Planar,0,"2,5",6 / 10,"0,44","0,29","5,34e-05","1,00","1,00","1,00","-0,32","0,21","-0,38",,"1,45","1,65",,
20,Planar,0,"2,5",7 / 10,"0,44","0,29","5,26e-05","1,00","1,00","1,00","-0,33","0,21","-0,38",,"1,44","1,64",,
20,Planar,0,"2,5",8 / 10,"0,43","0,28","5,19e-05","1,00","1,00","1,00","-0,32","0,2","-0,4",,"1,44","1,63",,
20,Planar,0,"2,5",9 / 10,"0,42","0,28","5,18e-05","1,00","1,00","1,00","-0,33","0,2","-0,41",,"1,44","1,63",,
20,Planar,0,"2,5",FINAL,"0,42","0,28","5,22e-05","1,00","1,00","1,00","-0,34","0,19","-0,41","2,50","1,43","1,63","27,34","57,29"
20,Planar,"2,5","2,5",INITIAL,"1,57","1,46","4,11e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,94","3,45","3,95",,
20,Planar,"2,5","2,5",1 / 10,"0,76","0,88","5,03e-03","1,00","1,00","1,00","-1,93","1,24","-1,67",,"2,76","3,23",,
20,Planar,"2,5","2,5",2 / 10,"1,12","0,99","1,19e-03","1,00","1,00","1,00","-1,8","1,09","-1,77",,"2,79","3,22",,
20,Planar,"2,5","2,5",3 / 10,"0,00","0,00","4,27e-02","1,00","1,00","1,00","-1,66","1,43","-1,15",,"2,44","2,91",,
20,Planar,"2,5","2,5",4 / 10,"1,96","3,29","2,25e-03","1,00","1,00","1,00","-3,25","2,83","-2,1",,"3,02","3,35",,
20,Planar,"2,5","2,5",5 / 10,"1,63","1,38","8,81e-04","1,00","1,00","1,00","-3,05","2,97","-2,19",,"2,61","2,97",,
20,Planar,"2,5","2,5",6 / 10,"1,55","1,09","7,48e-04","1,00","1,00","1,00","-3,18","2,95","-2,14",,"2,58","2,95",,
20,Planar,"2,5","2,5",7 / 10,"0,00","0,00","4,21e-02","1,00","1,00","1,00","-3,27","3,2","-1,79",,"2,43","2,92",,
20,Planar,"2,5","2,5",8 / 10,"1,56","2,23","2,70e-03","1,00","1,00","1,00","-6,05","5,1","-2,79",,"3,05","3,44",,
20,Planar,"2,5","2,5",9 / 10,"1,45","1,27","1,16e-03","1,00","1,00","1,00","-5,76","5,14","-2,83",,"2,92","3,33",,
20,Planar,"2,5","2,5",FINAL,"1,36","0,93","1,20e-03","1,00","1,00","1,00","-5,95","5,09","-3,02","4,94","2,89","3,32","16,25","58,57"
20,Planar,10,0,INITIAL,"4,56","4,95","5,17e-01","1,00","1,00","1,00","0,0","0,0","0,0","15,27","10,72","12,84",,
20,Planar,10,0,1 / 10,"7,01","15,83","1,92e-02","1,00","1,00","1,00","-0,11","-1,73","-1,42",,"12,59","14,59",,
20,Planar,10,0,2 / 10,"4,61","12,22","5,74e-03","1,00","1,00","1,00","-0,63","-2,16","-0,94",,"11,05","13,12",,
20,Planar,10,0,3 / 10,"3,87","9,12","2,23e-03","1,00","1,00","1,00","-0,52","-2,57","-1,54",,"10,33","12,37",,
20,Planar,10,0,4 / 10,"3,92","8,73","1,35e-03","1,00","1,00","1,00","-0,64","-2,56","-1,22",,"10,29","12,31",,
20,Planar,10,0,5 / 10,"3,94","8,40","1,17e-03","1,00","1,00","1,00","-0,6","-2,6","-1,48",,"10,25","12,27",,
20,Planar,10,0,6 / 10,"3,95","8,06","1,15e-03","1,00","1,00","1,00","-0,67","-2,63","-1,3",,"10,22","12,23",,
20,Planar,10,0,7 / 10,"3,97","7,76","1,14e-03","1,00","1,00","1,00","-0,65","-2,65","-1,55",,"10,19","12,20",,
20,Planar,10,0,8 / 10,"3,99","7,49","1,09e-03","1,00","1,00","1,00","-0,7","-2,67","-1,4",,"10,17","12,18",,
20,Planar,10,0,9 / 10,"4,01","7,24","1,07e-03","1,00","1,00","1,00","-0,69","-2,69","-1,54",,"10,16","12,16",,
20,Planar,10,0,FINAL,"4,03","7,01","1,10e-03","1,00","1,00","1,00","-0,74","-2,71","-1,44","15,27","10,15","12,15","5,30","66,45"
20,Planar,0,10,INITIAL,"2,61","2,51","6,56e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","6,14","6,73",,
20,Planar,0,10,1 / 10,"0,22","0,12","1,02e-03","1,00","1,00","1,00","-0,24","2,47","-4,28",,"3,20","3,79",,
20,Planar,0,10,2 / 10,"0,40","0,33","4,92e-04","1,00","1,00","1,00","-0,23","2,5","-4,25",,"3,17","3,77",,
20,Planar,0,10,3 / 10,"0,49","0,47","3,01e-04","1,00","1,00","1,00","-0,21","2,52","-4,23",,"3,16","3,76",,
20,Planar,0,10,4 / 10,"0,54","0,49","2,34e-04","1,00","1,00","1,00","-0,21","2,53","-4,23",,"3,16","3,76",,
20,Planar,0,10,5 / 10,"0,57","0,45","2,03e-04","1,00","1,00","1,00","-0,2","2,53","-4,24",,"3,16","3,75",,
20,Planar,0,10,6 / 10,"0,59","0,39","1,87e-04","1,00","1,00","1,00","-0,2","2,54","-4,26",,"3,15","3,74",,
20,Planar,0,10,7 / 10,"0,60","0,35","1,78e-04","1,00","1,00","1,00","-0,2","2,54","-4,27",,"3,15","3,74",,
20,Planar,0,10,8 / 10,"0,61","0,32","1,72e-04","1,00","1,00","1,00","-0,2","2,55","-4,28",,"3,14","3,73",,
20,Planar,0,10,9 / 10,"0,61","0,30","1,68e-04","1,00","1,00","1,00","-0,2","2,54","-4,3",,"3,14","3,72",,
20,Planar,0,10,FINAL,"0,60","0,27","1,64e-04","1,00","1,00","1,00","-0,2","2,54","-4,32","10,00","3,13","3,71","49,07","31,29"
20,Planar,10,10,INITIAL,"5,50","5,36","5,05e-01","1,00","1,00","1,00","0,0","0,0","0,0","18,60","13,33","15,74",,
20,Planar,10,10,1 / 10,"7,33","17,26","2,48e-02","1,00","1,00","1,00","-0,96","0,5","-1,97",,"13,89","16,04",,
20,Planar,10,10,2 / 10,"4,39","12,00","8,76e-03","1,00","1,00","1,00","-0,6","0,07","-2,38",,"12,09","14,35",,
20,Planar,10,10,3 / 10,"3,63","7,57","6,21e-03","1,00","1,00","1,00","-1,21","-0,33","-2,21",,"11,41","13,60",,
20,Planar,10,10,4 / 10,"3,75","6,46","5,92e-03","1,00","1,00","1,00","-1,49","-0,52","-2,76",,"11,33","13,50",,
20,Planar,10,10,5 / 10,"3,90","5,70","6,10e-03","1,00","1,00","1,00","-1,44","-0,62","-2,44",,"11,32","13,46",,
20,Planar,10,10,6 / 10,"3,92","4,66","8,27e-03","1,00","1,00","1,00","-1,48","-0,78","-3,13",,"11,24","13,39",,
20,Planar,10,10,7 / 10,"0,00","0,00","2,93e-01","1,00","1,00","1,00","-1,32","-1,14","-3,16",,"4,48","5,34",,
20,Planar,10,10,8 / 10,"6,02","13,13","1,25e-02","1,00","1,00","1,00","2,66","-0,45","-5,26",,"9,74","11,21",,
20,Planar,10,10,9 / 10,"0,00","0,00","2,68e-01","1,00","1,00","1,00","1,58","-0,54","-5,87",,"3,82","4,63",,
20,Planar,10,10,FINAL,"5,40","13,47","1,15e-02","1,00","1,00","1,00","3,7","-1,69","-7,81","18,60","9,54","10,94","28,45","51,29"
20,Gradual,0,"2,5",INITIAL,"1,34","1,23","6,19e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,03","2,26","2,68",,
20,Gradual,0,"2,5",1 / 10,"0,70","0,81","5,80e-04","1,00","1,00","1,00","-1,09","0,81","-0,84",,"1,74","2,11",,
20,Gradual,0,"2,5",2 / 10,"0,80","0,82","2,31e-04","1,00","1,00","1,00","-1,2","0,7","-0,81",,"1,71","2,07",,
20,Gradual,0,"2,5",3 / 10,"0,83","0,72","1,52e-04","1,00","1,00","1,00","-1,3","0,61","-0,85",,"1,67","2,01",,
20,Gradual,0,"2,5",4 / 10,"0,85","0,68","1,23e-04","1,00","1,00","1,00","-1,34","0,57","-0,87",,"1,66","1,99",,
20,Gradual,0,"2,5",5 / 10,"0,84","0,62","1,17e-04","1,00","1,00","1,00","-1,39","0,52","-0,93",,"1,63","1,95",,
20,Gradual,0,"2,5",6 / 10,"0,83","0,59","1,16e-04","1,00","1,00","1,00","-1,41","0,49","-0,98",,"1,62","1,93",,
20,Gradual,0,"2,5",7 / 10,"0,82","0,57","1,17e-04","1,00","1,00","1,00","-1,46","0,48","-0,98",,"1,61","1,92",,
20,Gradual,0,"2,5",8 / 10,"0,81","0,54","1,20e-04","1,00","1,00","1,00","-1,51","0,44","-1,04",,"1,58","1,88",,
20,Gradual,0,"2,5",9 / 10,"0,78","0,51","1,25e-04","1,00","1,00","1,00","-1,58","0,4","-1,06",,"1,56","1,85",,
20,Gradual,0,"2,5",FINAL,"0,77","0,49","1,28e-04","1,00","1,00","1,00","-1,61","0,35","-1,14","3,03","1,54","1,82","31,95","50,77"
20,Gradual,"2,5","2,5",INITIAL,"1,95","1,90","4,52e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,21","3,66","4,22",,
20,Gradual,"2,5","2,5",1 / 10,"1,13","1,66","5,01e-03","1,00","1,00","1,00","-6,76","-3,09","-1,44",,"2,99","3,46",,
20,Gradual,"2,5","2,5",2 / 10,"0,00","0,00","4,43e-02","1,00","1,00","1,00","-7,51","-3,36","-0,88",,"2,38","2,86",,
20,Gradual,"2,5","2,5",3 / 10,"2,03","2,73","3,26e-03","1,00","1,00","1,00","-9,75","-0,78","-1,59",,"3,19","3,60",,
20,Gradual,"2,5","2,5",4 / 10,"1,93","2,24","1,34e-03","1,00","1,00","1,00","-9,58","-0,56","-1,63",,"3,09","3,49",,
20,Gradual,"2,5","2,5",5 / 10,"0,00","0,00","4,46e-02","1,00","1,00","1,00","-9,96","-0,93","-1,04",,"2,49","2,98",,
20,Gradual,"2,5","2,5",6 / 10,"2,02","2,68","3,61e-03","1,00","1,00","1,00","-11,8","0,32","-1,79",,"3,29","3,74",,
20,Gradual,"2,5","2,5",7 / 10,"0,00","0,00","4,56e-02","1,00","1,00","1,00","-11,98","0,03","-1,3",,"2,70","3,22",,
20,Gradual,"2,5","2,5",8 / 10,"2,01","2,54","3,58e-03","1,00","1,00","1,00","-13,55","0,38","-1,92",,"3,52","3,97",,
20,Gradual,"2,5","2,5",9 / 10,"1,48","1,13","2,44e-03","1,00","1,00","1,00","-13,44","0,46","-1,91",,"3,26","3,75",,
20,Gradual,"2,5","2,5",FINAL,"0,00","0,00","4,46e-02","1,00","1,00","1,00","-13,69","0,2","-1,43","5,21","2,93","3,50","20,07","56,23"
20,Gradual,0,10,INITIAL,"4,36","4,15","1,94e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,66","6,36","7,47",,
20,Gradual,0,10,1 / 10,"1,94","2,09","4,18e-03","1,00","1,00","1,00","-3,04","4,28","-2,28",,"4,80","5,65",,
20,Gradual,0,10,2 / 10,"0,00","0,00","2,73e-02","1,00","1,00","1,00","-4,18","1,24","-1,99",,"3,91","4,58",,
20,Gradual,0,10,3 / 10,"0,97","1,24","5,97e-03","0,99","0,99","1,00","-13,44","-1,46","-6,82",,"1,97","2,28",,
20,Gradual,0,10,4 / 10,"0,89","0,82","5,18e-03","0,99","0,99","1,00","-13,64","-1,55","-6,91",,"1,88","2,18",,
20,Gradual,0,10,5 / 10,"0,00","0,00","2,97e-02","0,99","0,99","1,00","-13,56","-2,63","-6,17",,"2,81","3,31",,
20,Gradual,0,10,6 / 10,"0,73","1,04","7,67e-03","0,99","0,99","1,00","-18,62","-3,56","-8,75",,"1,58","1,84",,
20,Gradual,0,10,7 / 10,"0,47","0,31","6,93e-03","0,99","0,99","1,00","-18,65","-3,71","-9,0",,"1,38","1,64",,
20,Gradual,0,10,8 / 10,"0,14","0,06","7,68e-03","0,99","0,99","1,00","-18,66","-3,82","-9,03",,"1,42","1,66",,
20,Gradual,0,10,9 / 10,"0,12","0,05","7,78e-03","0,99","0,99","1,00","-18,71","-3,94","-9,02",,"1,42","1,67",,
20,Gradual,0,10,FINAL,"0,11","0,04","7,86e-03","0,99","0,99","1,00","-18,73","-4,1","-9,02","10,66","1,43","1,67","77,60","13,37"
20,Gradual,10,10,INITIAL,"7,45","9,37","8,55e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,45","12,68","14,82",,
20,Gradual,10,10,1 / 10,"7,25","22,41","3,13e-02","1,00","1,00","1,00","-3,24","-0,18","-3,74",,"13,77","15,94",,
20,Gradual,10,10,2 / 10,"3,62","14,71","1,60e-02","1,00","1,00","1,00","-3,59","-2,02","-5,43",,"10,92","13,24",,
20,Gradual,10,10,3 / 10,"3,63","10,35","1,53e-02","1,00","1,00","1,00","-4,52","-2,4","-4,27",,"10,18","12,36",,
20,Gradual,10,10,4 / 10,"0,00","0,00","3,15e-01","1,00","1,00","1,00","-6,64","-3,86","-6,29",,"3,67","4,68",,
20,Gradual,10,10,5 / 10,"6,17","16,32","1,18e-02","1,00","1,00","1,00","-6,16","-6,81","-7,96",,"10,15","11,59",,
20,Gradual,10,10,6 / 10,"0,00","0,00","3,11e-01","1,00","1,00","1,00","-8,56","-6,72","-8,6",,"4,40","5,51",,
20,Gradual,10,10,7 / 10,"5,76","13,67","1,75e-02","1,00","0,99","1,00","-8,52","-11,66","-13,11",,"11,23","13,10",,
20,Gradual,10,10,8 / 10,"0,00","0,00","2,99e-01","1,00","0,99","1,00","-10,14","-12,55","-12,58",,"6,52","7,74",,
20,Gradual,10,10,9 / 10,"5,75","14,06","1,57e-02","1,00","0,99","0,99","-10,16","-15,34","-15,09",,"12,15","14,13",,
20,Gradual,10,10,FINAL,"4,65","6,67","2,23e-02","1,00","0,99","0,99","-10,85","-15,56","-15,95","19,45","11,31","13,41","10,83","58,13"
150,Planar,"2,5",0,INITIAL,"0,46","0,48","1,64e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,14","17,59","20,40",,
150,Planar,"2,5",0,1 / 10,"0,46","0,67","1,31e-02","1,00","1,00","1,00","4,27","-5,13","-0,33",,"16,73","19,65",,
150,Planar,"2,5",0,2 / 10,"0,49","0,72","2,17e-03","1,00","1,00","1,00","4,62","-5,79","-0,25",,"16,68","19,60",,
150,Planar,"2,5",0,3 / 10,"0,00","0,00","8,96e-02","1,00","1,00","1,00","3,54","-5,09","-0,41",,"5,54","6,02",,
150,Planar,"2,5",0,4 / 10,"0,89","1,05","4,49e-03","1,00","1,00","1,00","6,27","-7,85","-0,35",,"5,57","6,17",,
150,Planar,"2,5",0,5 / 10,"0,94","1,10","1,01e-03","1,00","1,00","1,00","7,28","-7,94","-0,28",,"5,59","6,18",,
150,Planar,"2,5",0,6 / 10,"0,00","0,00","8,66e-02","1,00","1,00","1,00","6,37","-7,25","-0,37",,"5,40","5,86",,
150,Planar,"2,5",0,7 / 10,"0,83","0,95","5,83e-03","1,00","1,00","1,00","9,77","-7,8","-0,26",,"5,32","5,85",,
150,Planar,"2,5",0,8 / 10,"0,88","0,99","1,36e-03","1,00","1,00","1,00","11,34","-8,46","-0,25",,"5,33","5,83",,
150,Planar,"2,5",0,9 / 10,"0,00","0,00","8,71e-02","1,00","1,00","1,00","9,56","-7,64","-0,36",,"5,41","5,92",,
150,Planar,"2,5",0,FINAL,"0,77","0,85","4,56e-03","1,00","1,00","1,00","10,58","-10,87","-0,49","4,14","5,00","5,50","71,57","120,84"
150,Planar,0,"2,5",INITIAL,"0,47","0,46","1,41e-01","1,00","1,00","1,00","0,0","0,0","0,0","2,50","15,53","17,97",,
150,Planar,0,"2,5",1 / 10,"0,43","0,46","8,52e-03","1,00","1,00","1,00","2,5","-2,05","-0,1",,"14,57","17,27",,
150,Planar,0,"2,5",2 / 10,"0,50","0,53","1,95e-03","1,00","1,00","1,00","2,99","-2,83","-0,38",,"14,52","17,24",,
150,Planar,0,"2,5",3 / 10,"0,52","0,54","9,94e-04","1,00","1,00","1,00","2,81","-3,0","-0,41",,"14,51","17,23",,
150,Planar,0,"2,5",4 / 10,"0,00","0,00","7,84e-02","1,00","1,00","1,00","2,31","-1,22","-0,35",,"6,47","6,90",,
150,Planar,0,"2,5",5 / 10,"0,65","0,70","8,56e-03","1,00","1,00","1,00","3,22","-0,54","-0,48",,"5,52","5,91",,
150,Planar,0,"2,5",6 / 10,"0,66","0,71","3,89e-03","1,00","1,00","1,00","2,02","-0,71","-0,53",,"5,45","5,82",,
150,Planar,0,"2,5",7 / 10,"0,70","0,74","7,35e-04","1,00","1,00","1,00","2,11","-1,18","-0,56",,"5,40","5,77",,
150,Planar,0,"2,5",8 / 10,"0,70","0,74","6,48e-04","1,00","1,00","1,00","2,11","-1,19","-0,57",,"5,40","5,77",,
150,Planar,0,"2,5",9 / 10,"0,70","0,74","5,31e-04","1,00","1,00","1,00","2,12","-1,23","-0,59",,"5,40","5,77",,
150,Planar,0,"2,5",FINAL,"0,71","0,74","4,48e-04","1,00","1,00","1,00","2,12","-1,27","-0,59","2,50","5,40","5,77","65,25","215,85"
150,Planar,"2,5","2,5",INITIAL,"0,53","0,54","2,04e-01","1,00","1,00","1,00","0,0","0,0","0,0","4,80","17,31","20,12",,
150,Planar,"2,5","2,5",1 / 10,"0,00","0,00","1,00e-01","1,00","1,00","1,00","0,5","-1,75","-0,1",,"6,46","6,90",,
150,Planar,"2,5","2,5",2 / 10,"0,77","0,84","8,02e-03","1,00","1,00","1,00","5,99","-5,3","-0,04",,"5,90","6,44",,
150,Planar,"2,5","2,5",3 / 10,"0,83","0,89","2,29e-03","1,00","1,00","1,00","6,53","-6,68","-0,09",,"5,93","6,45",,
150,Planar,"2,5","2,5",4 / 10,"0,84","0,90","1,33e-03","1,00","1,00","1,00","6,33","-6,93","-0,07",,"5,95","6,46",,
150,Planar,"2,5","2,5",5 / 10,"0,84","0,90","1,05e-03","1,00","1,00","1,00","6,31","-6,95","-0,09",,"5,95","6,47",,
150,Planar,"2,5","2,5",6 / 10,"0,84","0,90","9,40e-04","1,00","1,00","1,00","6,28","-6,96","-0,1",,"5,95","6,46",,
150,Planar,"2,5","2,5",7 / 10,"0,84","0,90","8,95e-04","1,00","1,00","1,00","6,28","-6,95","-0,1",,"5,95","6,46",,
150,Planar,"2,5","2,5",8 / 10,"0,84","0,90","8,71e-04","1,00","1,00","1,00","6,28","-6,94","-0,1",,"5,94","6,46",,
150,Planar,"2,5","2,5",9 / 10,"0,84","0,89","8,59e-04","1,00","1,00","1,00","6,29","-6,92","-0,1",,"5,94","6,45",,
150,Planar,"2,5","2,5",FINAL,"0,84","0,88","8,40e-04","1,00","1,00","1,00","6,29","-6,93","-0,11","4,80","5,93","6,44","65,77","123,50"
150,Planar,10,0,INITIAL,"0,95","1,01","7,23e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,08","33,49","39,63",,
150,Planar,10,0,1 / 10,"1,09","1,42","7,20e-02","1,00","1,00","1,00","10,62","-8,24","-0,02",,"32,41","38,56",,
150,Planar,10,0,2 / 10,"1,24","1,56","1,36e-02","1,00","1,00","1,00","10,43","-7,56","-0,18",,"32,49","38,54",,
150,Planar,10,0,3 / 10,"0,00","0,00","3,58e-01","1,00","1,00","1,00","4,81","-4,38","0,64",,"10,16","11,32",,
150,Planar,10,0,4 / 10,"1,87","2,29","2,05e-02","1,00","1,00","1,00","11,63","-2,49","0,2",,"13,56","15,17",,
150,Planar,10,0,5 / 10,"1,74","2,04","9,29e-03","1,00","1,00","1,00","12,44","-2,4","0,01",,"13,21","14,78",,
150,Planar,10,0,6 / 10,"1,68","1,92","7,13e-03","1,00","1,00","1,00","12,66","-2,64","0,01",,"13,05","14,59",,
150,Planar,10,0,7 / 10,"1,56","1,69","6,80e-03","1,00","1,00","1,00","12,54","-2,86","0,3",,"12,72","14,24",,
150,Planar,10,0,8 / 10,"1,53","1,62","5,81e-03","1,00","1,00","1,00","12,44","-3,31","0,06",,"12,65","14,16",,
150,Planar,10,0,9 / 10,"1,48","1,47","4,84e-03","1,00","1,00","1,00","12,46","-3,46","0,06",,"12,51","14,04",,
150,Planar,10,0,FINAL,"1,45","1,40","4,49e-03","1,00","1,00","1,00","12,47","-3,56","0,05","16,08","12,47","14,03","62,76","77,57"
