{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,33","1,29","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,97","2,80","3,18",,
20,Planar,"2,5",0,1 / 10,"1,20","0,89","2,70e-04","1,00","1,00","1,00","-0,03","0,21","-0,01",,"2,70","3,11",,
20,Planar,"2,5",0,2 / 10,"1,20","0,84","3,01e-04","1,00","1,00","1,00","-0,02","0,31","-0,02",,"2,70","3,11",,
20,Planar,"2,5",0,3 / 10,"1,31","0,89","9,45e-05","1,00","1,00","1,00","-0,04","0,58","-0,04",,"2,74","3,15",,
20,Planar,"2,5",0,4 / 10,"0,00","0,00","4,21e-02","1,00","1,00","1,00","-0,46","0,54","0,1",,"2,48","2,99",,
20,Planar,"2,5",0,5 / 10,"2,01","2,76","2,41e-03","1,00","1,00","1,00","-2,11","0,94","-0,12",,"2,93","3,34",,
20,Planar,"2,5",0,6 / 10,"0,00","0,00","4,11e-02","1,00","1,00","1,00","-2,38","0,99","-0,02",,"2,51","3,02",,
20,Planar,"2,5",0,7 / 10,"1,93","2,29","2,30e-03","1,00","1,00","1,00","-4,46","2,47","-0,03",,"2,84","3,22",,
20,Planar,"2,5",0,8 / 10,"0,00","0,00","3,33e-02","1,00","1,00","1,00","-4,62","2,47","-0,05",,"2,31","2,74",,
20,Planar,"2,5",0,9 / 10,"1,84","2,33","2,24e-03","1,00","1,00","1,00","-5,03","3,56","-0,18",,"2,90","3,32",,
20,Planar,"2,5",0,FINAL,"1,44","1,15","1,55e-03","1,00","1,00","1,00","-4,82","3,72","-0,11","3,97","2,69","3,09","3,70","67,77"
20,Planar,0,"2,5",INITIAL,"0,80","0,80","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,72","1,90",,
20,Planar,0,"2,5",1 / 10,"0,38","0,25","1,16e-04","1,00","1,00","1,00","-0,09","1,09","-0,13",,"1,56","1,77",,
20,Planar,0,"2,5",2 / 10,"0,43","0,31","4,19e-05","1,00","1,00","1,00","-0,07","1,11","-0,14",,"1,55","1,76",,
20,Planar,0,"2,5",3 / 10,"0,43","0,30","3,87e-05","1,00","1,00","1,00","-0,09","1,14","-0,15",,"1,55","1,75",,
20,Planar,0,"2,5",4 / 10,"0,42","0,29","3,88e-05","1,00","1,00","1,00","-0,09","1,17","-0,17",,"1,54","1,74",,
20,Planar,0,"2,5",5 / 10,"0,42","0,29","3,88e-05","1,00","1,00","1,00","-0,11","1,19","-0,17",,"1,54","1,74",,
20,Planar,0,"2,5",6 / 10,"0,42","0,28","3,95e-05","1,00","1,00","1,00","-0,1","1,19","-0,18",,"1,54","1,74",,
20,Planar,0,"2,5",7 / 10,"0,42","0,28","4,03e-05","1,00","1,00","1,00","-0,11","1,2","-0,19",,"1,53","1,73",,
20,Planar,0,"2,5",8 / 10,"0,42","0,28","4,01e-05","1,00","1,00","1,00","-0,12","1,2","-0,2",,"1,53","1,73",,
20,Planar,0,"2,5",9 / 10,"0,41","0,28","4,04e-05","1,00","1,00","1,00","-0,12","1,2","-0,21",,"1,53","1,72",,
20,Planar,0,"2,5",FINAL,"0,41","0,28","4,01e-05","1,00","1,00","1,00","-0,12","1,2","-0,22","2,50","1,52","1,72","11,64","60,94"
20,Planar,"2,5","2,5",INITIAL,"1,58","1,46","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,94","3,38","3,86",,
20,Planar,"2,5","2,5",1 / 10,"1,31","0,86","2,78e-04","1,00","1,00","1,00","-0,09","0,82","-0,08",,"3,20","3,72",,
20,Planar,"2,5","2,5",2 / 10,"1,37","0,92","1,51e-04","1,00","1,00","1,00","-0,04","0,9","-0,11",,"3,22","3,73",,
20,Planar,"2,5","2,5",3 / 10,"0,00","0,00","4,33e-02","1,00","1,00","1,00","-0,26","1,83","0,0",,"2,81","3,28",,
20,Planar,"2,5","2,5",4 / 10,"1,89","3,05","2,60e-03","1,00","1,00","1,00","-2,89","3,89","-1,93",,"2,94","3,26",,
20,Planar,"2,5","2,5",5 / 10,"1,68","1,55","8,72e-04","1,00","1,00","1,00","-3,1","3,8","-2,0",,"2,63","2,97",,
20,Planar,"2,5","2,5",6 / 10,"1,65","1,27","6,68e-04","1,00","1,00","1,00","-2,91","3,83","-1,97",,"2,59","2,95",,
20,Planar,"2,5","2,5",7 / 10,"1,52","1,00","8,53e-04","1,00","1,00","1,00","-2,97","3,81","-2,02",,"2,55","2,93",,
20,Planar,"2,5","2,5",8 / 10,"0,00","0,00","4,26e-02","1,00","1,00","1,00","-2,9","4,02","-1,46",,"2,46","2,92",,
20,Planar,"2,5","2,5",9 / 10,"1,94","3,22","2,39e-03","1,00","1,00","1,00","-4,62","4,87","-2,5",,"3,04","3,37",,
20,Planar,"2,5","2,5",FINAL,"1,51","1,10","1,05e-03","1,00","1,00","1,00","-4,59","4,76","-2,7","4,94","2,63","3,02","22,11","53,22"
20,Planar,10,0,INITIAL,"4,58","4,92","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","15,27","10,74","12,83",,
20,Planar,10,0,1 / 10,"4,37","4,22","6,60e-04","1,00","1,00","1,00","-0,04","0,17","-0,09",,"10,57","12,70",,
20,Planar,10,0,2 / 10,"4,21","3,51","2,53e-03","1,00","1,00","1,00","-0,16","0,39","-0,23",,"10,43","12,61",,
20,Planar,10,0,3 / 10,"4,12","2,97","4,66e-03","1,00","1,00","1,00","-0,26","0,56","-0,39",,"10,34","12,55",,
20,Planar,10,0,4 / 10,"3,14","1,90","2,11e-02","1,00","1,00","1,00","-0,39","0,59","-0,85",,"9,97","12,30",,
20,Planar,10,0,5 / 10,"2,22","1,36","4,37e-02","1,00","1,00","1,00","-0,72","0,32","-1,15",,"9,70","12,14",,
20,Planar,10,0,6 / 10,"1,76","1,13","5,75e-02","1,00","1,00","1,00","-0,84","0,08","-1,52",,"9,64","12,13",,
20,Planar,10,0,7 / 10,"1,19","0,75","8,25e-02","1,00","1,00","1,00","-1,02","-0,47","-2,17",,"9,58","12,12",,
20,Planar,10,0,8 / 10,"1,57","1,03","7,17e-02","1,00","1,00","1,00","-1,6","-1,18","-3,12",,"9,77","12,31",,
20,Planar,10,0,9 / 10,"1,30","0,93","7,84e-02","1,00","1,00","1,00","-1,35","-1,57","-3,32",,"9,77","12,33",,
20,Planar,10,0,FINAL,"1,34","1,10","8,09e-02","1,00","1,00","1,00","-1,55","-1,83","-3,81","15,27","9,80","12,39","8,76","64,20"
20,Planar,0,10,INITIAL,"2,61","2,52","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","6,11","6,68",,
20,Planar,0,10,1 / 10,"1,60","0,71","1,08e-04","1,00","1,00","1,00","0,07","2,4","-0,45",,"5,48","6,24",,
20,Planar,0,10,2 / 10,"1,62","0,79","4,02e-05","1,00","1,00","1,00","-0,08","2,57","-0,33",,"5,45","6,20",,
20,Planar,0,10,3 / 10,"1,56","0,72","3,39e-05","1,00","1,00","1,00","-0,04","2,75","-0,43",,"5,40","6,16",,
20,Planar,0,10,4 / 10,"1,50","0,66","3,33e-05","1,00","1,00","1,00","-0,14","2,93","-0,42",,"5,35","6,12",,
20,Planar,0,10,5 / 10,"1,43","0,61","3,42e-05","1,00","1,00","1,00","-0,09","3,09","-0,52",,"5,31","6,08",,
20,Planar,0,10,6 / 10,"1,38","0,57","3,50e-05","1,00","1,00","1,00","-0,17","3,23","-0,52",,"5,26","6,05",,
20,Planar,0,10,7 / 10,"1,33","0,54","3,62e-05","1,00","1,00","1,00","-0,09","3,34","-0,63",,"5,22","6,01",,
20,Planar,0,10,8 / 10,"1,29","0,52","3,73e-05","1,00","1,00","1,00","-0,19","3,46","-0,61",,"5,19","5,98",,
20,Planar,0,10,9 / 10,"1,25","0,50","3,85e-05","1,00","1,00","1,00","-0,13","3,54","-0,7",,"5,15","5,95",,
20,Planar,0,10,FINAL,"1,22","0,48","3,97e-05","1,00","1,00","1,00","-0,18","3,63","-0,71","10,00","5,12","5,93","16,11","51,24"
20,Planar,10,10,INITIAL,"5,51","5,32","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","18,60","13,23","15,62",,
20,Planar,10,10,1 / 10,"5,20","4,27","5,98e-04","1,00","1,00","1,00","-0,06","1,05","-0,18",,"12,96","15,43",,
20,Planar,10,10,2 / 10,"4,92","3,39","2,40e-03","1,00","1,00","1,00","-0,4","2,03","-0,4",,"12,73","15,27",,
20,Planar,10,10,3 / 10,"0,00","0,00","3,08e-01","1,00","1,00","1,00","-0,1","4,1","-2,88",,"5,59","6,60",,
20,Planar,10,10,4 / 10,"5,84","12,21","1,41e-02","1,00","1,00","1,00","2,38","2,48","-6,08",,"9,86","11,31",,
20,Planar,10,10,5 / 10,"0,00","0,00","2,65e-01","1,00","1,00","1,00","1,84","2,18","-6,25",,"4,16","5,08",,
20,Planar,10,10,6 / 10,"5,09","13,00","1,33e-02","1,00","1,00","1,00","2,45","0,78","-8,97",,"9,58","11,06",,
20,Planar,10,10,7 / 10,"5,14","13,16","3,56e-03","1,00","1,00","1,00","2,78","1,17","-8,65",,"9,73","11,26",,
20,Planar,10,10,8 / 10,"4,21","6,07","1,30e-02","1,00","1,00","1,00","2,34","0,97","-9,24",,"8,83","10,40",,
20,Planar,10,10,9 / 10,"4,16","4,34","1,79e-02","1,00","1,00","1,00","2,52","0,93","-8,44",,"8,85","10,50",,
20,Planar,10,10,FINAL,"3,92","3,03","2,42e-02","1,00","1,00","1,00","2,31","0,76","-9,69","18,60","8,90","10,64","32,76","47,84"
20,Gradual,0,"2,5",INITIAL,"1,35","1,23","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,03","2,07","2,52",,
20,Gradual,0,"2,5",1 / 10,"0,95","0,67","8,14e-05","1,00","1,00","1,00","-0,17","0,92","-0,31",,"1,90","2,31",,
20,Gradual,0,"2,5",2 / 10,"1,01","0,77","3,12e-05","1,00","1,00","1,00","-0,29","0,9","-0,25",,"1,91","2,33",,
20,Gradual,0,"2,5",3 / 10,"1,00","0,75","2,92e-05","1,00","1,00","1,00","-0,27","0,94","-0,33",,"1,90","2,31",,
20,Gradual,0,"2,5",4 / 10,"0,99","0,72","3,00e-05","1,00","1,00","1,00","-0,36","0,99","-0,33",,"1,90","2,30",,
20,Gradual,0,"2,5",5 / 10,"0,97","0,70","3,17e-05","1,00","1,00","1,00","-0,42","1,03","-0,38",,"1,88","2,27",,
20,Gradual,0,"2,5",6 / 10,"0,96","0,68","3,30e-05","1,00","1,00","1,00","-0,4","1,04","-0,46",,"1,87","2,26",,
20,Gradual,0,"2,5",7 / 10,"0,95","0,66","3,44e-05","1,00","1,00","1,00","-0,47","1,07","-0,46",,"1,86","2,25",,
20,Gradual,0,"2,5",8 / 10,"0,94","0,65","3,58e-05","1,00","1,00","1,00","-0,51","1,08","-0,51",,"1,85","2,23",,
20,Gradual,0,"2,5",9 / 10,"0,92","0,62","3,94e-05","1,00","1,00","1,00","-0,58","1,08","-0,59",,"1,83","2,20",,
20,Gradual,0,"2,5",FINAL,"0,78","0,52","7,40e-05","1,00","1,00","1,00","-1,14","0,83","-1,1","3,03","1,65","1,96","20,60","54,27"
20,Gradual,"2,5","2,5",INITIAL,"1,96","1,89","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,21","3,52","4,09",,
20,Gradual,"2,5","2,5",1 / 10,"1,71","1,26","2,46e-04","1,00","1,00","1,00","-0,1","0,69","-0,28",,"3,36","3,93",,
20,Gradual,"2,5","2,5",2 / 10,"1,53","1,00","6,45e-04","1,00","1,00","1,00","-0,39","1,05","-0,35",,"3,28","3,86",,
20,Gradual,"2,5","2,5",3 / 10,"0,00","0,00","4,38e-02","1,00","1,00","1,00","-1,49","0,38","-0,12",,"2,43","2,85",,
20,Gradual,"2,5","2,5",4 / 10,"2,02","2,70","2,76e-03","1,00","1,00","1,00","-5,44","0,01","-1,49",,"2,93","3,29",,
20,Gradual,"2,5","2,5",5 / 10,"1,20","0,86","3,15e-03","1,00","1,00","1,00","-5,3","0,03","-1,63",,"2,53","2,92",,
20,Gradual,"2,5","2,5",6 / 10,"1,25","0,87","2,19e-03","1,00","1,00","1,00","-5,74","-0,02","-1,77",,"2,58","2,98",,
20,Gradual,"2,5","2,5",7 / 10,"1,17","0,76","2,19e-03","1,00","1,00","1,00","-5,65","-0,03","-1,65",,"2,59","3,02",,
20,Gradual,"2,5","2,5",8 / 10,"1,23","0,82","1,72e-03","1,00","1,00","1,00","-5,77","-0,09","-1,78",,"2,64","3,07",,
20,Gradual,"2,5","2,5",9 / 10,"1,14","0,73","1,80e-03","1,00","1,00","1,00","-5,88","-0,17","-1,8",,"2,66","3,12",,
20,Gradual,"2,5","2,5",FINAL,"1,14","0,73","1,68e-03","1,00","1,00","1,00","-5,94","-0,22","-1,8","5,21","2,69","3,15","23,53","51,70"
20,Gradual,0,10,INITIAL,"4,42","4,09","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,66","6,25","7,38",,
20,Gradual,0,10,1 / 10,"3,48","2,45","9,33e-05","1,00","1,00","1,00","-0,26","2,38","-0,69",,"5,68","6,75",,
20,Gradual,0,10,2 / 10,"3,35","2,27","9,06e-05","1,00","1,00","1,00","-0,71","2,83","-0,59",,"5,60","6,67",,
20,Gradual,0,10,3 / 10,"3,13","1,98","1,32e-04","1,00","1,00","1,00","-0,55","3,32","-1,02",,"5,49","6,54",,
20,Gradual,0,10,4 / 10,"2,73","1,56","2,63e-04","1,00","1,00","1,00","-1,12","4,06","-1,11",,"5,31","6,34",,
20,Gradual,0,10,5 / 10,"0,00","0,00","2,61e-02","1,00","1,00","1,00","-3,46","1,74","-2,27",,"4,30","5,05",,
20,Gradual,0,10,6 / 10,"0,86","0,98","4,92e-03","0,99","0,99","1,00","-11,51","-1,09","-7,14",,"1,98","2,30",,
20,Gradual,0,10,7 / 10,"0,00","0,00","2,93e-02","0,99","0,99","1,00","-11,6","-2,33","-6,08",,"2,84","3,33",,
20,Gradual,0,10,8 / 10,"0,84","1,09","6,91e-03","0,99","0,99","1,00","-15,72","-3,5","-7,66",,"1,73","1,98",,
20,Gradual,0,10,9 / 10,"0,00","0,00","3,01e-02","0,99","0,99","1,00","-15,88","-4,06","-7,42",,"2,67","3,17",,
20,Gradual,0,10,FINAL,"0,76","1,06","8,00e-03","0,99","0,99","1,00","-19,15","-4,52","-9,18","10,66","1,58","1,82","74,67","14,85"
20,Gradual,10,10,INITIAL,"7,57","8,96","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,45","12,56","14,68",,
20,Gradual,10,10,1 / 10,"7,31","7,48","5,92e-04","1,00","1,00","1,00","-0,27","0,79","-0,49",,"12,25","14,41",,
20,Gradual,10,10,2 / 10,"7,11","6,29","2,08e-03","1,00","1,00","1,00","-0,98","1,39","-0,67",,"12,02","14,22",,
20,Gradual,10,10,3 / 10,"0,00","0,00","3,04e-01","1,00","1,00","1,00","-2,76","2,64","-5,16",,"4,91","6,18",,
20,Gradual,10,10,4 / 10,"6,08","14,09","1,57e-02","1,00","1,00","1,00","-4,16","-4,34","-9,9",,"9,98","11,57",,
20,Gradual,10,10,5 / 10,"5,00","8,21","1,79e-02","1,00","1,00","1,00","-5,01","-3,97","-8,25",,"8,92","10,66",,
20,Gradual,10,10,6 / 10,"4,46","4,66","3,15e-02","1,00","1,00","1,00","-5,78","-4,21","-9,8",,"8,70","10,51",,
20,Gradual,10,10,7 / 10,"0,00","0,00","3,13e-01","1,00","1,00","1,00","-7,42","-6,33","-10,01",,"4,03","5,00",,
20,Gradual,10,10,8 / 10,"5,90","15,55","1,38e-02","1,00","0,99","1,00","-7,65","-8,79","-11,69",,"10,48","12,01",,
20,Gradual,10,10,9 / 10,"5,92","12,97","4,44e-03","1,00","0,99","1,00","-7,49","-9,11","-12,25",,"10,29","11,84",,
20,Gradual,10,10,FINAL,"6,00","12,45","3,62e-03","1,00","0,99","1,00","-7,59","-9,28","-12,25","19,45","10,31","11,85","17,91","52,99"
150,Planar,"2,5",0,INITIAL,"0,46","0,48","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,14","16,69","19,78",,
150,Planar,"2,5",0,1 / 10,"0,45","0,46","4,37e-05","1,00","1,00","1,00","0,03","-0,0","-0,01",,"16,69","19,77",,
150,Planar,"2,5",0,2 / 10,"0,45","0,46","5,66e-05","1,00","1,00","1,00","0,05","-0,02","-0,02",,"16,69","19,77",,
150,Planar,"2,5",0,3 / 10,"0,45","0,45","6,12e-05","1,00","1,00","1,00","0,11","-0,06","-0,02",,"16,69","19,77",,
150,Planar,"2,5",0,4 / 10,"0,45","0,45","5,93e-05","1,00","1,00","1,00","0,14","-0,07","-0,03",,"16,69","19,77",,
150,Planar,"2,5",0,5 / 10,"0,45","0,45","5,70e-05","1,00","1,00","1,00","0,16","-0,09","-0,03",,"16,69","19,77",,
150,Planar,"2,5",0,6 / 10,"0,45","0,45","5,44e-05","1,00","1,00","1,00","0,17","-0,1","-0,03",,"16,69","19,77",,
150,Planar,"2,5",0,7 / 10,"0,46","0,45","5,14e-05","1,00","1,00","1,00","0,19","-0,11","-0,04",,"16,69","19,78",,
150,Planar,"2,5",0,8 / 10,"0,47","0,44","5,24e-05","1,00","1,00","1,00","0,6","-0,42","-0,11",,"16,69","19,78",,
150,Planar,"2,5",0,9 / 10,"0,47","0,44","4,95e-05","1,00","1,00","1,00","0,62","-0,43","-0,11",,"16,69","19,78",,
150,Planar,"2,5",0,FINAL,"0,47","0,44","4,91e-05","1,00","1,00","1,00","0,65","-0,45","-0,12","4,14","16,69","19,78","-0,03","403,28"
150,Planar,0,"2,5",INITIAL,"0,47","0,46","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","14,47","17,21",,
150,Planar,0,"2,5",1 / 10,"0,45","0,44","5,06e-05","1,00","1,00","1,00","-0,01","0,1","-0,02",,"14,46","17,20",,
150,Planar,0,"2,5",2 / 10,"0,45","0,43","5,94e-05","1,00","1,00","1,00","0,02","0,16","-0,04",,"14,46","17,20",,
150,Planar,0,"2,5",3 / 10,"0,44","0,43","5,91e-05","1,00","1,00","1,00","0,01","0,19","-0,04",,"14,46","17,20",,
150,Planar,0,"2,5",4 / 10,"0,44","0,42","5,84e-05","1,00","1,00","1,00","0,01","0,25","-0,06",,"14,46","17,20",,
150,Planar,0,"2,5",5 / 10,"0,44","0,42","5,75e-05","1,00","1,00","1,00","0,02","0,3","-0,08",,"14,45","17,20",,
150,Planar,0,"2,5",6 / 10,"0,44","0,42","5,63e-05","1,00","1,00","1,00","0,02","0,33","-0,09",,"14,45","17,19",,
150,Planar,0,"2,5",7 / 10,"0,44","0,42","5,47e-05","1,00","1,00","1,00","0,03","0,35","-0,1",,"14,45","17,19",,
150,Planar,0,"2,5",8 / 10,"0,44","0,41","5,52e-05","1,00","1,00","1,00","0,05","0,42","-0,12",,"14,45","17,19",,
150,Planar,0,"2,5",9 / 10,"0,44","0,41","5,40e-05","1,00","1,00","1,00","0,05","0,43","-0,13",,"14,45","17,19",,
150,Planar,0,"2,5",FINAL,"0,44","0,41","5,24e-05","1,00","1,00","1,00","0,05","0,44","-0,13","2,50","14,45","17,19","0,18","577,81"
150,Planar,"2,5","2,5",INITIAL,"0,53","0,54","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,80","16,22","19,39",,
150,Planar,"2,5","2,5",1 / 10,"0,51","0,51","5,01e-05","1,00","1,00","1,00","0,0","0,03","-0,01",,"16,21","19,38",,
150,Planar,"2,5","2,5",2 / 10,"0,51","0,51","5,79e-05","1,00","1,00","1,00","-0,01","0,03","-0,01",,"16,21","19,38",,
150,Planar,"2,5","2,5",3 / 10,"0,51","0,51","6,35e-05","1,00","1,00","1,00","-0,02","0,01","-0,01",,"16,21","19,38",,
150,Planar,"2,5","2,5",4 / 10,"0,51","0,50","6,30e-05","1,00","1,00","1,00","-0,01","0,01","-0,02",,"16,21","19,38",,
150,Planar,"2,5","2,5",5 / 10,"0,51","0,48","7,27e-05","1,00","1,00","1,00","0,08","-0,27","-0,07",,"16,19","19,37",,
150,Planar,"2,5","2,5",6 / 10,"0,51","0,49","4,84e-05","1,00","1,00","1,00","0,08","-0,26","-0,06",,"16,19","19,37",,
150,Planar,"2,5","2,5",7 / 10,"0,51","0,49","3,62e-05","1,00","1,00","1,00","0,08","-0,26","-0,06",,"16,19","19,37",,
150,Planar,"2,5","2,5",8 / 10,"0,51","0,49","3,46e-05","1,00","1,00","1,00","0,08","-0,26","-0,07",,"16,19","19,37",,
150,Planar,"2,5","2,5",FINAL,"0,51","0,49","3,46e-05","1,00","1,00","1,00","0,08","-0,26","-0,07","4,80","16,19","19,37","0,18","337,55"
150,Planar,10,0,INITIAL,"0,95","1,01","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,08","32,97","39,37",,
150,Planar,10,0,1 / 10,"0,94","0,97","8,40e-05","1,00","1,00","1,00","0,02","0,01","-0,0",,"32,95","39,36",,
150,Planar,10,0,2 / 10,"0,94","0,96","1,06e-04","1,00","1,00","1,00","0,04","0,02","0,0",,"32,95","39,36",,
150,Planar,10,0,3 / 10,"0,94","0,96","1,08e-04","1,00","1,00","1,00","0,06","0,03","-0,0",,"32,95","39,36",,
150,Planar,10,0,4 / 10,"0,95","0,95","1,07e-04","1,00","1,00","1,00","0,09","0,05","-0,0",,"32,95","39,36",,
150,Planar,10,0,5 / 10,"0,95","0,94","1,03e-04","1,00","1,00","1,00","0,11","0,05","-0,0",,"32,95","39,36",,
150,Planar,10,0,6 / 10,"0,96","0,94","9,78e-05","1,00","1,00","1,00","0,13","0,06","-0,0",,"32,96","39,36",,
150,Planar,10,0,7 / 10,"0,96","0,93","9,29e-05","1,00","1,00","1,00","0,17","0,08","-0,0",,"32,96","39,36",,
150,Planar,10,0,8 / 10,"0,97","0,93","8,90e-05","1,00","1,00","1,00","0,19","0,1","-0,0",,"32,96","39,36",,
150,Planar,10,0,9 / 10,"0,97","0,93","8,38e-05","1,00","1,00","1,00","0,21","0,1","-0,0",,"32,96","39,36",,
150,Planar,10,0,FINAL,"0,97","0,93","7,98e-05","1,00","1,00","1,00","0,22","0,11","-0,0","16,08","32,96","39,36","0,04","204,99"
150,Planar,0,10,INITIAL,"0,69","0,70","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","18,01","22,13",,
150,Planar,0,10,1 / 10,"0,64","0,65","6,22e-05","1,00","1,00","1,00","-0,08","0,2","-0,01",,"17,94","22,10",,
