{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","9,97e-03","1,00","1,00","1,00","0,0","0,0","0,0","4,15","2,83","3,33",,
20,Planar,"2,5",0,1 / 10,"1,16","1,17","9,13e-04","1,00","1,00","1,00","-0,27","-0,43","-0,08",,"3,05","3,56",,
20,Planar,"2,5",0,2 / 10,"0,00","0,00","4,26e-02","1,00","1,00","1,00","-0,14","-0,32","0,26",,"2,40","2,87",,
20,Planar,"2,5",0,3 / 10,"1,85","3,00","2,47e-03","1,00","1,00","1,00","-0,88","-1,01","0,21",,"3,01","3,42",,
20,Planar,"2,5",0,4 / 10,"0,00","0,00","4,35e-02","1,00","1,00","1,00","-0,81","-0,75","0,44",,"2,47","2,98",,
20,Planar,"2,5",0,5 / 10,"1,58","2,51","2,98e-03","1,00","1,00","1,00","-1,13","-1,22","0,34",,"3,08","3,53",,
20,Planar,"2,5",0,6 / 10,"1,41","1,25","9,28e-04","1,00","1,00","1,00","-1,16","-1,22","0,3",,"2,94","3,41",,
20,Planar,"2,5",0,7 / 10,"1,18","0,81","1,18e-03","1,00","1,00","1,00","-1,14","-1,26","0,32",,"2,95","3,43",,
20,Planar,"2,5",0,8 / 10,"1,39","1,02","2,61e-04","1,00","1,00","1,00","-1,08","-1,3","0,32",,"3,07","3,54",,
20,Planar,"2,5",0,9 / 10,"1,26","0,85","4,99e-04","1,00","1,00","1,00","-1,1","-1,3","0,35",,"3,05","3,53",,
20,Planar,"2,5",0,FINAL,"1,38","1,00","1,72e-04","1,00","1,00","1,00","-1,07","-1,32","0,32","4,15","3,11","3,58","-9,71","74,81"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","9,97e-04","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,73","1,95",,
20,Planar,0,"2,5",1 / 10,"0,39","0,31","8,82e-05","1,00","1,00","1,00","-0,17","0,93","-0,33",,"1,59","1,81",,
20,Planar,0,"2,5",2 / 10,"0,41","0,32","5,08e-05","1,00","1,00","1,00","-0,12","0,93","-0,33",,"1,58","1,80",,
20,Planar,0,"2,5",3 / 10,"0,41","0,30","4,52e-05","1,00","1,00","1,00","-0,14","0,91","-0,34",,"1,58","1,80",,
20,Planar,0,"2,5",4 / 10,"0,41","0,29","4,35e-05","1,00","1,00","1,00","-0,14","0,9","-0,35",,"1,58","1,79",,
20,Planar,0,"2,5",5 / 10,"0,41","0,29","4,27e-05","1,00","1,00","1,00","-0,14","0,89","-0,36",,"1,58","1,79",,
20,Planar,0,"2,5",6 / 10,"0,41","0,29","4,23e-05","1,00","1,00","1,00","-0,14","0,89","-0,36",,"1,57","1,79",,
20,Planar,0,"2,5",7 / 10,"0,41","0,29","4,21e-05","1,00","1,00","1,00","-0,14","0,88","-0,37",,"1,57","1,79",,
20,Planar,0,"2,5",8 / 10,"0,41","0,28","4,20e-05","1,00","1,00","1,00","-0,14","0,87","-0,38",,"1,57","1,78",,
20,Planar,0,"2,5",9 / 10,"0,40","0,28","4,20e-05","1,00","1,00","1,00","-0,14","0,86","-0,4",,"1,57","1,78",,
20,Planar,0,"2,5",FINAL,"0,40","0,28","4,21e-05","1,00","1,00","1,00","-0,14","0,84","-0,41","2,50","1,56","1,78","9,85","62,47"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","9,64e-03","1,00","1,00","1,00","0,0","0,0","0,0","4,73","2,85","3,40",,
20,Planar,"2,5","2,5",1 / 10,"1,13","1,00","1,21e-03","1,00","1,00","1,00","-0,33","2,66","-0,25",,"2,97","3,49",,
20,Planar,"2,5","2,5",2 / 10,"0,00","0,00","3,79e-02","1,00","1,00","1,00","-0,12","2,71","-0,17",,"2,76","3,24",,
20,Planar,"2,5","2,5",3 / 10,"1,92","2,68","2,01e-03","1,00","1,00","1,00","-0,9","3,15","-0,4",,"2,81","3,17",,
20,Planar,"2,5","2,5",4 / 10,"0,00","0,00","3,78e-02","1,00","1,00","1,00","-0,84","3,15","-0,16",,"2,72","3,20",,
20,Planar,"2,5","2,5",5 / 10,"1,77","2,54","2,14e-03","1,00","1,00","1,00","-2,37","4,28","-0,48",,"2,78","3,18",,
20,Planar,"2,5","2,5",6 / 10,"0,00","0,00","3,71e-02","1,00","1,00","1,00","-2,0","4,34","-0,18",,"2,62","3,10",,
20,Planar,"2,5","2,5",7 / 10,"1,92","2,74","2,07e-03","1,00","1,00","1,00","-3,14","4,29","-0,49",,"2,75","3,11",,
20,Planar,"2,5","2,5",8 / 10,"0,00","0,00","3,79e-02","1,00","1,00","1,00","-2,61","4,38","-0,23",,"2,58","3,07",,
20,Planar,"2,5","2,5",9 / 10,"1,75","2,57","1,91e-03","1,00","1,00","1,00","-4,85","5,24","-0,43",,"2,85","3,22",,
20,Planar,"2,5","2,5",FINAL,"1,62","1,45","6,84e-04","1,00","1,00","1,00","-4,71","5,27","-0,5","4,73","2,68","3,05","5,96","56,60"
20,Planar,10,0,INITIAL,"0,00","0,00","1,67e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,59","9,80","12,61",,
20,Planar,10,0,1 / 10,"4,26","9,43","7,83e-03","1,00","1,00","1,00","0,46","-1,01","-1,37",,"11,07","13,19",,
20,Planar,10,0,2 / 10,"0,00","0,00","2,82e-01","1,00","1,00","1,00","-0,24","-1,9","-2,43",,"4,54","5,79",,
20,Planar,10,0,3 / 10,"5,60","13,28","9,47e-03","1,00","1,00","1,00","2,66","-2,93","-2,78",,"10,03","11,68",,
20,Planar,10,0,4 / 10,"5,57","12,39","1,70e-03","1,00","1,00","1,00","3,01","-3,05","-2,95",,"9,99","11,68",,
20,Planar,10,0,5 / 10,"5,25","10,93","2,43e-03","1,00","1,00","1,00","2,81","-3,15","-3,22",,"9,67","11,36",,
20,Planar,10,0,6 / 10,"5,22","10,30","2,53e-03","1,00","1,00","1,00","3,0","-3,17","-2,87",,"9,62","11,29",,
20,Planar,10,0,7 / 10,"5,23","9,71","2,60e-03","1,00","1,00","1,00","2,96","-3,21","-2,96",,"9,62","11,27",,
20,Planar,10,0,8 / 10,"5,18","9,02","3,35e-03","1,00","1,00","1,00","2,71","-3,29","-3,48",,"9,57","11,21",,
20,Planar,10,0,9 / 10,"5,06","8,10","5,37e-03","1,00","1,00","1,00","2,98","-3,31","-2,97",,"9,49","11,14",,
20,Planar,10,0,FINAL,"0,00","0,00","3,02e-01","1,00","1,00","1,00","3,06","-4,21","-2,99","16,59","4,86","5,82","50,42","29,29"
20,Planar,0,10,INITIAL,"0,00","0,00","1,47e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","4,96","5,96",,
20,Planar,0,10,1 / 10,"0,38","0,25","3,69e-04","1,00","1,00","1,00","-0,29","2,67","-3,17",,"3,63","4,37",,
20,Planar,0,10,2 / 10,"0,47","0,33","2,18e-04","1,00","1,00","1,00","-0,08","2,63","-3,14",,"3,61","4,36",,
20,Planar,0,10,3 / 10,"0,54","0,38","1,65e-04","1,00","1,00","1,00","-0,13","2,62","-3,13",,"3,60","4,35",,
20,Planar,0,10,4 / 10,"0,55","0,35","1,60e-04","1,00","1,00","1,00","-0,14","2,6","-3,14",,"3,59","4,34",,
20,Planar,0,10,5 / 10,"0,55","0,33","1,58e-04","1,00","1,00","1,00","-0,13","2,58","-3,17",,"3,58","4,33",,
20,Planar,0,10,6 / 10,"0,55","0,32","1,57e-04","1,00","1,00","1,00","-0,14","2,57","-3,17",,"3,57","4,32",,
20,Planar,0,10,7 / 10,"0,55","0,31","1,57e-04","1,00","1,00","1,00","-0,13","2,55","-3,21",,"3,56","4,31",,
20,Planar,0,10,8 / 10,"0,55","0,29","1,57e-04","1,00","1,00","1,00","-0,14","2,53","-3,23",,"3,55","4,30",,
20,Planar,0,10,9 / 10,"0,55","0,29","1,58e-04","1,00","1,00","1,00","-0,15","2,51","-3,26",,"3,54","4,28",,
20,Planar,0,10,FINAL,"0,54","0,28","1,59e-04","1,00","1,00","1,00","-0,15","2,48","-3,29","10,00","3,52","4,26","28,98","35,20"
20,Planar,10,10,INITIAL,"0,00","0,00","1,54e-01","1,00","1,00","1,00","0,0","0,0","0,0","17,77","9,88","12,42",,
20,Planar,10,10,1 / 10,"5,00","11,05","8,27e-03","1,00","1,00","1,00","-1,67","5,72","-2,15",,"10,77","12,65",,
20,Planar,10,10,2 / 10,"0,00","0,00","2,61e-01","1,00","1,00","1,00","-1,16","7,58","-2,06",,"5,32","6,34",,
20,Planar,10,10,3 / 10,"5,34","12,96","9,25e-03","1,00","1,00","1,00","-1,85","7,74","-3,87",,"9,25","10,65",,
20,Planar,10,10,4 / 10,"0,00","0,00","2,75e-01","1,00","1,00","1,00","-3,11","10,71","-3,43",,"3,75","4,67",,
20,Planar,10,10,5 / 10,"5,35","14,35","9,98e-03","1,00","1,00","1,00","-3,06","8,87","-5,92",,"9,21","10,52",,
20,Planar,10,10,6 / 10,"0,00","0,00","2,62e-01","1,00","1,00","1,00","-3,73","10,14","-5,73",,"3,74","4,70",,
20,Planar,10,10,7 / 10,"5,33","13,95","8,54e-03","1,00","1,00","1,00","-5,11","9,45","-6,96",,"9,57","10,86",,
20,Planar,10,10,8 / 10,"0,00","0,00","2,59e-01","1,00","1,00","1,00","-6,18","11,59","-5,9",,"4,85","5,71",,
20,Planar,10,10,9 / 10,"5,11","14,93","8,95e-03","1,00","1,00","1,00","-7,23","11,0","-7,52",,"10,51","12,04",,
20,Planar,10,10,FINAL,"4,27","5,15","2,10e-02","1,00","1,00","1,00","-7,71","10,58","-8,81","17,77","9,66","11,41","2,25","54,33"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,54e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,10","1,82","2,17",,
20,Gradual,0,"2,5",1 / 10,"0,40","0,29","4,95e-04","1,00","1,00","1,00","-3,2","-1,67","-2,48",,"1,22","1,39",,
20,Gradual,0,"2,5",2 / 10,"0,45","0,32","4,06e-04","1,00","1,00","1,00","-3,18","-1,72","-2,48",,"1,21","1,38",,
20,Gradual,0,"2,5",3 / 10,"0,48","0,32","3,73e-04","1,00","1,00","1,00","-3,22","-1,76","-2,49",,"1,21","1,37",,
20,Gradual,0,"2,5",4 / 10,"0,49","0,30","3,72e-04","1,00","1,00","1,00","-3,25","-1,8","-2,49",,"1,21","1,37",,
20,Gradual,0,"2,5",5 / 10,"0,49","0,29","3,75e-04","1,00","1,00","1,00","-3,26","-1,83","-2,51",,"1,20","1,36",,
20,Gradual,0,"2,5",6 / 10,"0,49","0,29","3,73e-04","1,00","1,00","1,00","-3,26","-1,85","-2,52",,"1,20","1,36",,
20,Gradual,0,"2,5",7 / 10,"0,49","0,27","3,83e-04","1,00","1,00","1,00","-3,27","-1,88","-2,53",,"1,20","1,36",,
20,Gradual,0,"2,5",8 / 10,"0,48","0,27","3,90e-04","1,00","1,00","1,00","-3,31","-1,94","-2,54",,"1,20","1,35",,
20,Gradual,0,"2,5",9 / 10,"0,49","0,27","3,89e-04","1,00","1,00","1,00","-3,33","-1,97","-2,56",,"1,19","1,35",,
20,Gradual,0,"2,5",FINAL,"0,49","0,27","3,87e-04","1,00","1,00","1,00","-3,34","-1,99","-2,56","3,10","1,19","1,35","34,55","38,53"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","1,15e-02","1,00","1,00","1,00","0,0","0,0","0,0","5,29","3,07","3,80",,
20,Gradual,"2,5","2,5",1 / 10,"1,18","1,02","1,43e-03","1,00","1,00","1,00","-2,12","0,83","-1,5",,"3,06","3,65",,
20,Gradual,"2,5","2,5",2 / 10,"0,00","0,00","4,10e-02","1,00","1,00","1,00","-3,5","-0,18","-1,14",,"2,44","2,89",,
20,Gradual,"2,5","2,5",3 / 10,"1,69","2,16","2,93e-03","1,00","1,00","1,00","-8,37","-1,04","-2,22",,"2,85","3,24",,
20,Gradual,"2,5","2,5",4 / 10,"0,00","0,00","4,13e-02","1,00","1,00","1,00","-8,42","-1,26","-1,97",,"2,42","2,88",,
20,Gradual,"2,5","2,5",5 / 10,"1,64","2,16","3,44e-03","1,00","1,00","1,00","-11,77","-1,77","-2,82",,"2,92","3,33",,
20,Gradual,"2,5","2,5",6 / 10,"0,00","0,00","4,11e-02","1,00","1,00","1,00","-11,37","-1,89","-2,54",,"2,51","3,00",,
20,Gradual,"2,5","2,5",7 / 10,"1,73","2,37","3,16e-03","1,00","1,00","1,00","-13,05","-2,21","-2,91",,"3,09","3,51",,
20,Gradual,"2,5","2,5",8 / 10,"1,39","1,08","2,89e-03","1,00","1,00","1,00","-13,26","-2,2","-2,98",,"2,86","3,31",,
20,Gradual,"2,5","2,5",9 / 10,"0,00","0,00","4,05e-02","1,00","1,00","1,00","-12,76","-1,98","-2,66",,"2,62","3,12",,
20,Gradual,"2,5","2,5",FINAL,"1,78","2,35","3,29e-03","1,00","1,00","1,00","-13,84","-1,62","-2,95","5,29","3,28","3,74","-6,81","62,11"
20,Gradual,0,10,INITIAL,"0,00","0,00","3,65e-03","1,00","1,00","1,00","0,0","0,0","0,0","9,97","4,50","5,64",,
20,Gradual,0,10,1 / 10,"1,43","1,12","1,23e-03","1,00","1,00","1,00","-1,61","5,49","-1,7",,"4,65","5,69",,
20,Gradual,0,10,2 / 10,"0,00","0,00","2,59e-02","1,00","1,00","1,00","-3,79","2,78","-1,74",,"4,24","4,94",,
20,Gradual,0,10,3 / 10,"1,32","1,60","3,10e-03","1,00","1,00","1,00","-9,3","0,09","-4,05",,"3,07","3,51",,
20,Gradual,0,10,4 / 10,"1,34","1,43","2,10e-03","1,00","1,00","1,00","-9,26","0,01","-4,19",,"3,01","3,44",,
20,Gradual,0,10,5 / 10,"0,00","0,00","2,75e-02","1,00","1,00","1,00","-10,23","-1,04","-4,11",,"3,41","3,98",,
20,Gradual,0,10,6 / 10,"1,02","1,61","4,34e-03","0,99","0,99","1,00","-14,51","-2,47","-6,24",,"2,34","2,62",,
20,Gradual,0,10,7 / 10,"0,93","1,01","3,28e-03","0,99","0,99","1,00","-14,69","-2,69","-6,32",,"2,14","2,40",,
20,Gradual,0,10,8 / 10,"0,89","0,75","3,20e-03","0,99","0,99","1,00","-14,68","-2,72","-6,44",,"2,08","2,34",,
20,Gradual,0,10,9 / 10,"0,86","0,65","3,16e-03","0,99","0,99","1,00","-14,71","-2,74","-6,4",,"2,05","2,30",,
20,Gradual,0,10,FINAL,"0,84","0,58","3,09e-03","0,99","0,99","1,00","-14,75","-2,76","-6,51","9,97","2,03","2,27","54,87","20,36"
20,Gradual,10,10,INITIAL,"0,00","0,00","2,09e-01","1,00","1,00","1,00","0,0","0,0","0,0","20,90","11,19","13,74",,
20,Gradual,10,10,1 / 10,"3,50","3,33","7,11e-02","1,00","1,00","1,00","-2,81","5,56","-2,33",,"11,57","13,90",,
20,Gradual,10,10,2 / 10,"0,97","0,57","1,68e-01","1,00","1,00","1,00","-3,17","4,77","-4,06",,"10,95","13,46",,
20,Gradual,10,10,3 / 10,"3,57","2,86","7,05e-02","1,00","1,00","1,00","-9,08","1,76","-8,11",,"11,06","13,33",,
20,Gradual,10,10,4 / 10,"2,08","1,16","1,05e-01","1,00","1,00","1,00","-10,52","0,86","-9,12",,"10,58","12,95",,
20,Gradual,10,10,5 / 10,"1,05","0,57","1,53e-01","1,00","1,00","1,00","-11,16","0,24","-10,43",,"10,60","13,01",,
20,Gradual,10,10,6 / 10,"3,19","2,09","7,99e-02","1,00","1,00","1,00","-11,96","0,22","-10,61",,"11,00","13,31",,
20,Gradual,10,10,7 / 10,"0,00","0,00","3,01e-01","1,00","1,00","1,00","-11,1","-1,1","-8,83",,"4,36","5,52",,
20,Gradual,10,10,8 / 10,"5,78","17,93","1,25e-02","1,00","1,00","1,00","-11,36","-0,57","-8,93",,"10,10","11,26",,
20,Gradual,10,10,9 / 10,"5,96","18,15","4,59e-03","1,00","1,00","1,00","-11,36","-0,67","-8,87",,"10,26","11,44",,
20,Gradual,10,10,FINAL,"0,00","0,00","2,96e-01","1,00","1,00","1,00","-13,05","-1,96","-9,16","20,90","4,74","5,85","57,61","22,70"
150,Planar,"2,5",0,INITIAL,"0,00","0,00","4,40e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,98","16,55","20,07",,
150,Planar,"2,5",0,1 / 10,"0,42","0,45","2,95e-03","1,00","1,00","1,00","0,5","-2,06","0,05",,"16,28","19,87",,
150,Planar,"2,5",0,2 / 10,"0,45","0,47","7,19e-04","1,00","1,00","1,00","0,63","-2,31","0,05",,"16,27","19,87",,
150,Planar,"2,5",0,3 / 10,"0,46","0,49","2,43e-04","1,00","1,00","1,00","0,78","-2,42","0,08",,"16,27","19,87",,
150,Planar,"2,5",0,4 / 10,"0,47","0,49","1,58e-04","1,00","1,00","1,00","0,76","-2,45","0,08",,"16,28","19,87",,
150,Planar,"2,5",0,5 / 10,"0,47","0,49","1,38e-04","1,00","1,00","1,00","0,78","-2,47","0,08",,"16,28","19,87",,
150,Planar,"2,5",0,6 / 10,"0,47","0,49","1,31e-04","1,00","1,00","1,00","0,78","-2,48","0,09",,"16,28","19,87",,
150,Planar,"2,5",0,7 / 10,"0,47","0,49","1,29e-04","1,00","1,00","1,00","0,78","-2,49","0,09",,"16,28","19,87",,
150,Planar,"2,5",0,8 / 10,"0,47","0,49","1,28e-04","1,00","1,00","1,00","0,78","-2,5","0,09",,"16,28","19,87",,
150,Planar,"2,5",0,FINAL,"0,47","0,49","1,28e-04","1,00","1,00","1,00","0,78","-2,5","0,09","3,98","16,28","19,87","1,68","409,03"
150,Planar,0,"2,5",INITIAL,"0,00","0,00","4,19e-02","1,00","1,00","1,00","0,0","0,0","0,0","2,50","15,11","18,25",,
150,Planar,0,"2,5",1 / 10,"0,46","0,47","2,69e-03","1,00","1,00","1,00","1,03","-0,71","-0,02",,"14,69","17,91",,
150,Planar,0,"2,5",2 / 10,"0,47","0,48","4,31e-04","1,00","1,00","1,00","0,65","-0,95","-0,06",,"14,66","17,89",,
150,Planar,0,"2,5",3 / 10,"0,48","0,48","1,83e-04","1,00","1,00","1,00","0,62","-0,97","-0,05",,"14,66","17,89",,
150,Planar,0,"2,5",4 / 10,"0,48","0,48","1,01e-04","1,00","1,00","1,00","0,62","-0,97","-0,05",,"14,66","17,89",,
150,Planar,0,"2,5",5 / 10,"0,47","0,48","7,09e-05","1,00","1,00","1,00","0,62","-0,94","-0,05",,"14,66","17,89",,
150,Planar,0,"2,5",6 / 10,"0,47","0,48","5,99e-05","1,00","1,00","1,00","0,61","-0,93","-0,04",,"14,66","17,88",,
150,Planar,0,"2,5",7 / 10,"0,47","0,47","5,47e-05","1,00","1,00","1,00","0,61","-0,92","-0,04",,"14,66","17,88",,
150,Planar,0,"2,5",8 / 10,"0,47","0,47","5,09e-05","1,00","1,00","1,00","0,59","-0,89","-0,04",,"14,66","17,88",,
150,Planar,0,"2,5",9 / 10,"0,47","0,47","4,94e-05","1,00","1,00","1,00","0,58","-0,87","-0,04",,"14,66","17,88",,
150,Planar,0,"2,5",FINAL,"0,47","0,47","4,80e-05","1,00","1,00","1,00","0,55","-0,84","-0,04","2,50","14,66","17,88","2,99","586,27"
150,Planar,"2,5","2,5",INITIAL,"0,00","0,00","4,05e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,56","17,27","20,06",,
150,Planar,"2,5","2,5",1 / 10,"0,37","0,42","4,14e-03","1,00","1,00","1,00","0,61","-0,29","0,04",,"17,04","19,87",,
150,Planar,"2,5","2,5",2 / 10,"0,41","0,45","9,89e-04","1,00","1,00","1,00","0,81","-0,39","-0,03",,"17,01","19,85",,
150,Planar,"2,5","2,5",3 / 10,"0,43","0,47","4,06e-04","1,00","1,00","1,00","0,91","-0,34","-0,03",,"17,01","19,85",,
150,Planar,"2,5","2,5",4 / 10,"0,43","0,47","1,87e-04","1,00","1,00","1,00","0,95","-0,34","-0,02",,"17,01","19,85",,
150,Planar,"2,5","2,5",5 / 10,"0,44","0,48","1,06e-04","1,00","1,00","1,00","0,98","-0,32","-0,02",,"17,01","19,85",,
150,Planar,"2,5","2,5",6 / 10,"0,44","0,48","7,08e-05","1,00","1,00","1,00","0,98","-0,32","-0,02",,"17,01","19,85",,
150,Planar,"2,5","2,5",7 / 10,"0,44","0,48","5,76e-05","1,00","1,00","1,00","0,99","-0,32","-0,02",,"17,01","19,85",,
150,Planar,"2,5","2,5",8 / 10,"0,44","0,47","4,86e-05","1,00","1,00","1,00","0,99","-0,33","-0,02",,"17,01","19,85",,
150,Planar,"2,5","2,5",9 / 10,"0,44","0,47","4,47e-05","1,00","1,00","1,00","0,99","-0,34","-0,01",,"17,01","19,85",,
150,Planar,"2,5","2,5",FINAL,"0,44","0,47","4,25e-05","1,00","1,00","1,00","0,99","-0,34","-0,01","4,56","17,01","19,85","1,55","372,72"
150,Planar,10,0,INITIAL,"0,00","0,00","1,85e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,23","34,93","44,25",,
150,Planar,10,0,1 / 10,"0,89","1,05","1,14e-02","1,00","1,00","1,00","1,21","-2,89","0,11",,"35,15","44,22",,
150,Planar,10,0,2 / 10,"0,97","1,11","2,82e-03","1,00","1,00","1,00","1,9","-3,5","0,05",,"35,21","44,23",,
150,Planar,10,0,3 / 10,"0,99","1,12","9,47e-04","1,00","1,00","1,00","2,06","-3,6","0,05",,"35,22","44,23",,
150,Planar,10,0,4 / 10,"0,99","1,11","5,09e-04","1,00","1,00","1,00","2,08","-3,51","0,03",,"35,21","44,23",,
150,Planar,10,0,5 / 10,"0,98","1,10","3,38e-04","1,00","1,00","1,00","2,08","-3,49","0,02",,"35,21","44,23",,
150,Planar,10,0,6 / 10,"0,98","1,10","2,78e-04","1,00","1,00","1,00","2,04","-3,49","0,02",,"35,20","44,23",,
150,Planar,10,0,7 / 10,"0,97","1,08","2,49e-04","1,00","1,00","1,00","2,05","-3,5","0,01",,"35,20","44,22",,
150,Planar,10,0,8 / 10,"0,97","1,08","2,34e-04","1,00","1,00","1,00","2,02","-3,5","0,01",,"35,19","44,22",,
150,Planar,10,0,9 / 10,"0,97","1,07","2,24e-04","1,00","1,00","1,00","2,01","-3,5","0,01",,"35,19","44,22",,
150,Planar,10,0,FINAL,"0,97","1,06","2,15e-04","1,00","1,00","1,00","1,99","-3,5","0,01","16,23","35,19","44,22","-0,75","216,77"
150,Planar,0,10,INITIAL,"0,00","0,00","4,15e-02","1,00","1,00","1,00","0,0","0,0","0,0","10,00","19,76","23,56",,
150,Planar,0,10,1 / 10,"0,48","0,52","3,25e-03","1,00","1,00","1,00","4,89","-2,35","-0,42",,"19,51","23,37",,
