{'InRays'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"0,00","0,00","1,02e-02","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,08","3,85",,
20,Planar,"2,5",0,1 / 20,"0,98","1,05","2,57e-03","1,00","1,00","1,00","-0,06","0,59","-0,11",,"3,26","3,98",,
20,Planar,"2,5",0,2 / 20,"0,96","1,04","2,32e-03","1,00","1,00","1,00","-0,09","0,6","-0,08",,"3,25","3,97",,
20,Planar,"2,5",0,3 / 20,"0,97","1,04","2,19e-03","1,00","1,00","1,00","0,0","0,64","-0,14",,"3,26","3,97",,
20,Planar,"2,5",0,4 / 20,"0,96","1,04","2,16e-03","1,00","1,00","1,00","-0,05","0,67","-0,09",,"3,26","3,97",,
20,Planar,"2,5",0,5 / 20,"0,96","1,04","2,24e-03","1,00","1,00","1,00","-0,03","0,69","-0,1",,"3,26","3,98",,
20,Planar,"2,5",0,6 / 20,"0,96","1,03","2,18e-03","1,00","1,00","1,00","-0,03","0,72","-0,11",,"3,26","3,98",,
20,Planar,"2,5",0,7 / 20,"0,96","1,04","2,16e-03","1,00","1,00","1,00","-0,04","0,75","-0,12",,"3,26","3,98",,
20,Planar,"2,5",0,8 / 20,"0,96","1,03","2,24e-03","1,00","1,00","1,00","-0,02","0,77","-0,13",,"3,26","3,99",,
20,Planar,"2,5",0,9 / 20,"0,96","1,03","2,17e-03","1,00","1,00","1,00","0,0","0,8","-0,15",,"3,26","3,99",,
20,Planar,"2,5",0,10 / 20,"0,96","1,03","2,16e-03","1,00","1,00","1,00","-0,0","0,82","-0,16",,"3,27","3,99",,
20,Planar,"2,5",0,11 / 20,"0,96","1,03","2,24e-03","1,00","1,00","1,00","0,0","0,86","-0,17",,"3,27","4,00",,
20,Planar,"2,5",0,12 / 20,"0,96","1,03","2,17e-03","1,00","1,00","1,00","0,01","0,88","-0,18",,"3,27","4,00",,
20,Planar,"2,5",0,13 / 20,"0,96","1,03","2,16e-03","1,00","1,00","1,00","0,01","0,9","-0,19",,"3,27","4,00",,
20,Planar,"2,5",0,14 / 20,"0,96","1,03","2,25e-03","1,00","1,00","1,00","0,02","0,92","-0,2",,"3,27","4,00",,
20,Planar,"2,5",0,15 / 20,"0,96","1,03","2,17e-03","1,00","1,00","1,00","0,02","0,94","-0,21",,"3,27","4,00",,
20,Planar,"2,5",0,16 / 20,"0,96","1,03","2,17e-03","1,00","1,00","1,00","0,03","0,96","-0,22",,"3,27","4,01",,
20,Planar,"2,5",0,17 / 20,"0,96","1,03","2,25e-03","1,00","1,00","1,00","0,03","1,01","-0,24",,"3,28","4,01",,
20,Planar,"2,5",0,18 / 20,"0,96","1,03","2,18e-03","1,00","1,00","1,00","0,04","1,03","-0,25",,"3,28","4,01",,
20,Planar,"2,5",0,19 / 20,"0,96","1,03","2,25e-03","1,00","1,00","1,00","0,04","1,05","-0,25",,"3,28","4,01",,
20,Planar,"2,5",0,FINAL,"0,97","1,03","2,18e-03","1,00","1,00","1,00","0,05","1,06","-0,26","3,95","3,28","4,01","-6,53","83,06"
20,Planar,0,"2,5",INITIAL,"0,00","0,00","6,41e-04","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,51","1,72",,
20,Planar,0,"2,5",1 / 20,"0,34","0,34","7,27e-05","1,00","1,00","1,00","-0,27","1,17","-0,25",,"1,40","1,60",,
20,Planar,0,"2,5",2 / 20,"0,35","0,35","5,28e-05","1,00","1,00","1,00","-0,33","1,15","-0,29",,"1,39","1,59",,
20,Planar,0,"2,5",3 / 20,"0,34","0,34","5,13e-05","1,00","1,00","1,00","-0,35","1,15","-0,31",,"1,38","1,59",,
20,Planar,0,"2,5",4 / 20,"0,33","0,33","5,79e-05","1,00","1,00","1,00","-0,34","1,14","-0,33",,"1,38","1,58",,
20,Planar,0,"2,5",5 / 20,"0,34","0,33","5,18e-05","1,00","1,00","1,00","-0,35","1,14","-0,38",,"1,37","1,57",,
20,Planar,0,"2,5",6 / 20,"0,34","0,33","5,17e-05","1,00","1,00","1,00","-0,37","1,14","-0,39",,"1,36","1,56",,
20,Planar,0,"2,5",7 / 20,"0,32","0,32","5,85e-05","1,00","1,00","1,00","-0,37","1,14","-0,4",,"1,36","1,56",,
20,Planar,0,"2,5",8 / 20,"0,32","0,31","6,14e-05","1,00","1,00","1,00","-0,39","1,13","-0,41",,"1,35","1,55",,
20,Planar,0,"2,5",9 / 20,"0,32","0,31","6,47e-05","1,00","1,00","1,00","-0,39","1,13","-0,43",,"1,35","1,55",,
20,Planar,0,"2,5",10 / 20,"0,32","0,31","6,04e-05","1,00","1,00","1,00","-0,4","1,13","-0,43",,"1,35","1,55",,
20,Planar,0,"2,5",11 / 20,"0,32","0,31","6,03e-05","1,00","1,00","1,00","-0,41","1,13","-0,45",,"1,34","1,54",,
20,Planar,0,"2,5",12 / 20,"0,32","0,31","6,08e-05","1,00","1,00","1,00","-0,42","1,13","-0,47",,"1,33","1,53",,
20,Planar,0,"2,5",13 / 20,"0,32","0,31","6,12e-05","1,00","1,00","1,00","-0,43","1,13","-0,5",,"1,33","1,52",,
20,Planar,0,"2,5",14 / 20,"0,32","0,31","6,12e-05","1,00","1,00","1,00","-0,43","1,12","-0,51",,"1,32","1,52",,
20,Planar,0,"2,5",15 / 20,"0,32","0,31","6,16e-05","1,00","1,00","1,00","-0,44","1,12","-0,52",,"1,32","1,52",,
20,Planar,0,"2,5",16 / 20,"0,31","0,31","6,17e-05","1,00","1,00","1,00","-0,44","1,12","-0,53",,"1,32","1,52",,
20,Planar,0,"2,5",17 / 20,"0,31","0,30","6,40e-05","1,00","1,00","1,00","-0,45","1,12","-0,54",,"1,32","1,51",,
20,Planar,0,"2,5",18 / 20,"0,31","0,30","6,46e-05","1,00","1,00","1,00","-0,45","1,12","-0,55",,"1,31","1,51",,
20,Planar,0,"2,5",19 / 20,"0,31","0,30","6,47e-05","1,00","1,00","1,00","-0,46","1,12","-0,56",,"1,31","1,51",,
20,Planar,0,"2,5",FINAL,"0,31","0,30","6,73e-05","1,00","1,00","1,00","-0,46","1,12","-0,57","2,50","1,31","1,50","13,59","52,35"
20,Planar,"2,5","2,5",INITIAL,"0,00","0,00","1,03e-02","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,17","3,90",,
20,Planar,"2,5","2,5",1 / 20,"1,24","0,86","3,68e-03","1,00","1,00","1,00","-0,1","0,67","-0,23",,"3,29","3,97",,
20,Planar,"2,5","2,5",2 / 20,"1,26","0,81","3,46e-03","1,00","1,00","1,00","-0,21","0,66","-0,32",,"3,27","3,95",,
20,Planar,"2,5","2,5",3 / 20,"1,24","0,80","3,40e-03","1,00","1,00","1,00","-0,27","0,66","-0,44",,"3,25","3,93",,
20,Planar,"2,5","2,5",4 / 20,"1,25","0,81","3,44e-03","1,00","1,00","1,00","-0,36","0,64","-0,59",,"3,23","3,90",,
20,Planar,"2,5","2,5",5 / 20,"1,26","0,81","3,33e-03","1,00","1,00","1,00","-0,43","0,65","-0,61",,"3,22","3,90",,
20,Planar,"2,5","2,5",6 / 20,"1,25","0,81","3,31e-03","1,00","1,00","1,00","-0,41","0,65","-0,65",,"3,21","3,89",,
20,Planar,"2,5","2,5",7 / 20,"1,24","0,80","3,43e-03","1,00","1,00","1,00","-0,46","0,64","-0,71",,"3,21","3,88",,
20,Planar,"2,5","2,5",8 / 20,"1,25","0,81","3,33e-03","1,00","1,00","1,00","-0,52","0,65","-0,74",,"3,20","3,87",,
20,Planar,"2,5","2,5",9 / 20,"1,25","0,81","3,30e-03","1,00","1,00","1,00","-0,53","0,66","-0,78",,"3,19","3,86",,
20,Planar,"2,5","2,5",10 / 20,"1,27","0,82","3,27e-03","1,00","1,00","1,00","-0,55","0,65","-0,81",,"3,19","3,86",,
20,Planar,"2,5","2,5",11 / 20,"1,25","0,81","3,42e-03","1,00","1,00","1,00","-0,59","0,65","-0,83",,"3,18","3,85",,
20,Planar,"2,5","2,5",12 / 20,"1,25","0,81","3,30e-03","1,00","1,00","1,00","-0,59","0,66","-0,86",,"3,18","3,85",,
20,Planar,"2,5","2,5",13 / 20,"1,26","0,82","3,29e-03","1,00","1,00","1,00","-0,61","0,65","-0,88",,"3,18","3,84",,
20,Planar,"2,5","2,5",14 / 20,"1,27","0,82","3,26e-03","1,00","1,00","1,00","-0,63","0,65","-0,9",,"3,18","3,84",,
20,Planar,"2,5","2,5",15 / 20,"1,27","0,82","3,26e-03","1,00","1,00","1,00","-0,64","0,66","-0,91",,"3,17","3,84",,
20,Planar,"2,5","2,5",16 / 20,"1,27","0,82","3,22e-03","1,00","1,00","1,00","-0,67","0,66","-0,93",,"3,17","3,83",,
20,Planar,"2,5","2,5",17 / 20,"1,26","0,82","3,28e-03","1,00","1,00","1,00","-0,69","0,67","-0,96",,"3,17","3,83",,
20,Planar,"2,5","2,5",18 / 20,"1,27","0,82","3,26e-03","1,00","1,00","1,00","-0,75","0,67","-1,0",,"3,15","3,81",,
20,Planar,"2,5","2,5",19 / 20,"1,27","0,82","3,21e-03","1,00","1,00","1,00","-0,75","0,68","-1,03",,"3,15","3,81",,
20,Planar,"2,5","2,5",FINAL,"1,26","0,82","3,26e-03","1,00","1,00","1,00","-0,78","0,69","-1,04","4,73","3,15","3,80","0,73","66,57"
20,Planar,10,0,INITIAL,"0,00","0,00","1,58e-01","1,00","1,00","1,00","0,0","0,0","0,0","16,05","12,24","15,41",,
20,Planar,10,0,1 / 20,"1,26","2,83","1,01e-01","1,00","1,00","1,00","-0,47","-1,22","-0,76",,"12,56","15,76",,
20,Planar,10,0,2 / 20,"0,86","1,08","1,26e-01","1,00","1,00","1,00","-1,86","-0,59","-0,89",,"12,53","15,77",,
20,Planar,10,0,3 / 20,"0,85","1,10","1,28e-01","1,00","1,00","1,00","-1,96","-0,14","-1,51",,"12,68","15,99",,
20,Planar,10,0,4 / 20,"0,91","1,07","1,24e-01","1,00","1,00","1,00","-2,5","0,2","-2,14",,"12,80","16,13",,
20,Planar,10,0,5 / 20,"0,90","1,07","1,33e-01","1,00","1,00","1,00","-3,11","0,38","-2,68",,"12,94","16,32",,
20,Planar,10,0,6 / 20,"0,87","1,01","1,30e-01","1,00","1,00","1,00","-4,44","1,52","-3,46",,"13,18","16,68",,
20,Planar,10,0,7 / 20,"0,84","1,12","1,31e-01","1,00","1,00","1,00","-4,88","1,63","-3,96",,"13,35","16,87",,
20,Planar,10,0,8 / 20,"0,93","1,09","1,30e-01","1,00","1,00","1,00","-4,9","1,67","-3,99",,"13,47","16,93",,
20,Planar,10,0,9 / 20,"0,91","1,00","1,30e-01","1,00","1,00","1,00","-6,01","2,15","-4,71",,"13,70","17,22",,
20,Planar,10,0,10 / 20,"0,94","0,98","1,32e-01","1,00","1,00","1,00","-6,63","2,57","-5,35",,"13,85","17,36",,
20,Planar,10,0,11 / 20,"0,87","1,01","1,30e-01","1,00","1,00","1,00","-7,08","2,6","-5,09",,"13,93","17,41",,
20,Planar,10,0,12 / 20,"0,91","1,06","1,30e-01","1,00","1,00","1,00","-7,66","3,0","-6,06",,"14,06","17,62",,
20,Planar,10,0,13 / 20,"0,86","1,02","1,32e-01","1,00","1,00","1,00","-7,93","3,34","-5,82",,"14,23","17,77",,
20,Planar,10,0,14 / 20,"0,82","1,02","1,34e-01","1,00","1,00","1,00","-8,28","3,14","-6,08",,"14,34","17,86",,
20,Planar,10,0,15 / 20,"0,68","1,08","1,35e-01","1,00","1,00","1,00","-9,3","3,77","-7,14",,"14,60","18,17",,
20,Planar,10,0,16 / 20,"0,96","1,01","1,31e-01","1,00","1,00","1,00","-9,58","3,98","-6,84",,"14,71","18,31",,
20,Planar,10,0,17 / 20,"0,76","1,07","1,34e-01","1,00","1,00","1,00","-10,7","4,1","-7,55",,"15,00","18,55",,
20,Planar,10,0,18 / 20,"0,89","1,10","1,30e-01","1,00","1,00","1,00","-11,25","4,41","-7,98",,"15,15","18,75",,
20,Planar,10,0,19 / 20,"0,94","1,01","1,27e-01","1,00","1,00","1,00","-11,98","4,86","-8,39",,"15,43","19,00",,
20,Planar,10,0,FINAL,"0,88","0,99","1,31e-01","1,00","1,00","1,00","-12,01","4,85","-8,22","16,05","15,49","19,09","-26,59","96,47"
20,Planar,0,10,INITIAL,"0,00","0,00","1,10e-03","1,00","1,00","1,00","0,0","0,0","0,0","10,00","4,65","5,39",,
20,Planar,0,10,1 / 20,"0,81","0,81","1,46e-04","1,00","1,00","1,00","-0,71","4,37","-0,57",,"4,47","5,16",,
20,Planar,0,10,2 / 20,"0,86","0,89","7,79e-05","1,00","1,00","1,00","-0,82","4,3","-0,55",,"4,45","5,14",,
20,Planar,0,10,3 / 20,"0,85","0,86","6,75e-05","1,00","1,00","1,00","-0,79","4,26","-0,61",,"4,43","5,12",,
20,Planar,0,10,4 / 20,"0,83","0,84","6,37e-05","1,00","1,00","1,00","-0,84","4,24","-0,64",,"4,41","5,09",,
20,Planar,0,10,5 / 20,"0,81","0,81","6,51e-05","1,00","1,00","1,00","-0,86","4,22","-0,71",,"4,38","5,06",,
20,Planar,0,10,6 / 20,"0,80","0,79","6,70e-05","1,00","1,00","1,00","-0,84","4,2","-0,76",,"4,36","5,04",,
20,Planar,0,10,7 / 20,"0,78","0,77","7,00e-05","1,00","1,00","1,00","-0,87","4,18","-0,82",,"4,32","5,01",,
20,Planar,0,10,8 / 20,"0,76","0,75","7,44e-05","1,00","1,00","1,00","-0,91","4,16","-0,91",,"4,28","4,97",,
20,Planar,0,10,9 / 20,"0,75","0,73","7,73e-05","1,00","1,00","1,00","-0,89","4,14","-0,96",,"4,26","4,95",,
20,Planar,0,10,10 / 20,"0,74","0,72","8,01e-05","1,00","1,00","1,00","-0,93","4,13","-1,0",,"4,24","4,93",,
20,Planar,0,10,11 / 20,"0,72","0,70","8,47e-05","1,00","1,00","1,00","-0,94","4,1","-1,08",,"4,19","4,89",,
20,Planar,0,10,12 / 20,"0,69","0,67","9,34e-05","1,00","1,00","1,00","-0,96","4,06","-1,24",,"4,12","4,82",,
20,Planar,0,10,13 / 20,"0,68","0,66","9,69e-05","1,00","1,00","1,00","-1,01","4,04","-1,27",,"4,10","4,81",,
20,Planar,0,10,14 / 20,"0,67","0,65","1,01e-04","1,00","1,00","1,00","-1,01","4,02","-1,34",,"4,07","4,78",,
20,Planar,0,10,15 / 20,"0,66","0,63","1,07e-04","1,00","1,00","1,00","-1,05","3,99","-1,43",,"4,03","4,74",,
20,Planar,0,10,16 / 20,"0,65","0,63","1,10e-04","1,00","1,00","1,00","-1,04","3,98","-1,47",,"4,01","4,72",,
20,Planar,0,10,17 / 20,"0,64","0,62","1,13e-04","1,00","1,00","1,00","-1,08","3,97","-1,51",,"3,99","4,70",,
20,Planar,0,10,18 / 20,"0,63","0,61","1,16e-04","1,00","1,00","1,00","-1,06","3,95","-1,55",,"3,97","4,69",,
20,Planar,0,10,19 / 20,"0,63","0,60","1,18e-04","1,00","1,00","1,00","-1,1","3,94","-1,59",,"3,95","4,67",,
20,Planar,0,10,FINAL,"0,62","0,60","1,21e-04","1,00","1,00","1,00","-1,08","3,92","-1,63","10,00","3,93","4,65","15,39","39,35"
20,Planar,10,10,INITIAL,"0,00","0,00","1,79e-01","1,00","1,00","1,00","0,0","0,0","0,0","19,14","12,90","16,37",,
20,Planar,10,10,1 / 20,"1,49","1,79","1,27e-01","1,00","1,00","1,00","-2,75","4,89","-1,59",,"13,08","16,44",,
20,Planar,10,10,2 / 20,"0,92","1,12","1,45e-01","1,00","1,00","1,00","-2,69","4,67","-2,47",,"13,08","16,45",,
20,Planar,10,10,3 / 20,"0,95","1,03","1,49e-01","1,00","1,00","1,00","-3,98","5,02","-4,43",,"13,14","16,51",,
20,Planar,10,10,4 / 20,"0,95","1,01","1,51e-01","1,00","1,00","1,00","-6,2","4,79","-5,2",,"13,15","16,54",,
20,Planar,10,10,5 / 20,"0,96","1,02","1,47e-01","1,00","1,00","1,00","-8,41","4,9","-6,54",,"13,18","16,60",,
20,Planar,10,10,6 / 20,"1,00","1,05","1,49e-01","1,00","1,00","1,00","-8,62","5,03","-6,9",,"13,21","16,65",,
20,Planar,10,10,7 / 20,"0,96","1,05","1,49e-01","1,00","1,00","1,00","-9,31","4,9","-7,24",,"13,22","16,67",,
20,Planar,10,10,8 / 20,"0,94","1,00","1,50e-01","1,00","1,00","1,00","-11,13","5,5","-8,6",,"13,29","16,77",,
20,Planar,10,10,9 / 20,"0,98","1,07","1,50e-01","1,00","1,00","1,00","-12,14","5,33","-8,97",,"13,36","16,87",,
20,Planar,10,10,10 / 20,"0,96","1,00","1,48e-01","1,00","1,00","1,00","-14,2","6,18","-9,92",,"13,52","17,09",,
20,Planar,10,10,11 / 20,"0,97","1,04","1,48e-01","1,00","1,00","1,00","-14,72","6,0","-10,22",,"13,54","17,12",,
20,Planar,10,10,12 / 20,"1,00","1,04","1,43e-01","1,00","1,00","1,00","-15,98","6,79","-10,82",,"13,67","17,29",,
20,Planar,10,10,13 / 20,"1,00","1,06","1,42e-01","1,00","1,00","1,00","-17,2","6,76","-11,39",,"13,81","17,43",,
20,Planar,10,10,14 / 20,"0,95","0,97","1,43e-01","1,00","1,00","1,00","-17,95","7,25","-11,67",,"13,91","17,55",,
20,Planar,10,10,15 / 20,"0,99","1,05","1,41e-01","1,00","1,00","1,00","-18,29","6,98","-11,82",,"13,99","17,63",,
20,Planar,10,10,16 / 20,"1,10","1,13","1,40e-01","1,00","1,00","1,00","-19,25","7,41","-12,26",,"14,07","17,73",,
20,Planar,10,10,17 / 20,"0,92","0,97","1,43e-01","1,00","1,00","1,00","-19,61","7,31","-12,52",,"14,19","17,86",,
20,Planar,10,10,18 / 20,"1,09","1,12","1,37e-01","1,00","1,00","1,00","-21,28","8,02","-13,18",,"14,50","18,20",,
20,Planar,10,10,19 / 20,"1,14","1,20","1,33e-01","1,00","1,00","1,00","-21,82","8,03","-13,46",,"14,67","18,36",,
20,Planar,10,10,FINAL,"1,78","1,74","1,15e-01","1,00","1,00","1,00","-22,45","8,37","-13,6","19,14","14,78","18,45","-14,56","77,21"
20,Gradual,0,"2,5",INITIAL,"0,00","0,00","1,02e-03","1,00","1,00","1,00","0,0","0,0","0,0","3,24","1,73","2,09",,
20,Gradual,0,"2,5",1 / 20,"0,76","0,75","2,77e-04","1,00","1,00","1,00","-0,48","1,46","-0,47",,"1,77","2,16",,
20,Gradual,0,"2,5",2 / 20,"0,72","0,77","2,25e-04","1,00","1,00","1,00","-0,51","1,36","-0,6",,"1,74","2,12",,
20,Gradual,0,"2,5",3 / 20,"0,71","0,78","1,86e-04","1,00","1,00","1,00","-0,64","1,26","-0,79",,"1,68","2,06",,
20,Gradual,0,"2,5",4 / 20,"0,70","0,77","1,69e-04","1,00","1,00","1,00","-0,64","1,22","-0,9",,"1,65","2,03",,
20,Gradual,0,"2,5",5 / 20,"0,83","0,89","1,10e-04","1,00","1,00","1,00","-0,7","1,18","-0,87",,"1,66","2,03",,
20,Gradual,0,"2,5",6 / 20,"0,82","0,88","9,90e-05","1,00","1,00","1,00","-0,75","1,13","-0,96",,"1,64","2,00",,
20,Gradual,0,"2,5",7 / 20,"0,80","0,87","9,43e-05","1,00","1,00","1,00","-0,79","1,09","-1,03",,"1,62","1,98",,
20,Gradual,0,"2,5",8 / 20,"0,79","0,86","9,07e-05","1,00","1,00","1,00","-0,84","1,06","-1,09",,"1,60","1,96",,
20,Gradual,0,"2,5",9 / 20,"0,77","0,84","9,10e-05","1,00","1,00","1,00","-0,88","1,02","-1,19",,"1,58","1,93",,
20,Gradual,0,"2,5",10 / 20,"0,76","0,83","9,14e-05","1,00","1,00","1,00","-0,96","1,0","-1,21",,"1,56","1,92",,
20,Gradual,0,"2,5",11 / 20,"0,75","0,82","9,23e-05","1,00","1,00","1,00","-0,97","0,98","-1,26",,"1,55","1,91",,
20,Gradual,0,"2,5",12 / 20,"0,73","0,80","9,74e-05","1,00","1,00","1,00","-1,04","0,93","-1,36",,"1,53","1,88",,
20,Gradual,0,"2,5",13 / 20,"0,71","0,77","1,03e-04","1,00","1,00","1,00","-1,09","0,89","-1,46",,"1,51","1,86",,
20,Gradual,0,"2,5",14 / 20,"0,70","0,76","1,06e-04","1,00","1,00","1,00","-1,17","0,87","-1,48",,"1,50","1,85",,
20,Gradual,0,"2,5",15 / 20,"0,69","0,75","1,09e-04","1,00","1,00","1,00","-1,15","0,84","-1,56",,"1,50","1,84",,
20,Gradual,0,"2,5",16 / 20,"0,68","0,74","1,12e-04","1,00","1,00","1,00","-1,22","0,83","-1,57",,"1,49","1,83",,
20,Gradual,0,"2,5",17 / 20,"0,67","0,73","1,16e-04","1,00","1,00","1,00","-1,23","0,8","-1,63",,"1,48","1,82",,
20,Gradual,0,"2,5",18 / 20,"0,66","0,72","1,19e-04","1,00","1,00","1,00","-1,29","0,78","-1,66",,"1,47","1,81",,
20,Gradual,0,"2,5",19 / 20,"0,63","0,69","1,31e-04","1,00","1,00","1,00","-1,42","0,7","-1,81",,"1,45","1,78",,
20,Gradual,0,"2,5",FINAL,"0,61","0,66","1,41e-04","1,00","1,00","1,00","-1,48","0,63","-1,96","3,24","1,44","1,76","17,15","44,34"
20,Gradual,"2,5","2,5",INITIAL,"0,00","0,00","8,94e-03","1,00","1,00","1,00","0,0","0,0","0,0","5,36","3,59","4,46",,
20,Gradual,"2,5","2,5",1 / 20,"1,06","0,94","2,80e-03","1,00","1,00","1,00","-0,25","1,82","-0,5",,"3,70","4,54",,
20,Gradual,"2,5","2,5",2 / 20,"1,12","0,92","2,28e-03","1,00","1,00","1,00","-0,28","1,82","-0,59",,"3,71","4,54",,
20,Gradual,"2,5","2,5",3 / 20,"1,09","0,89","2,36e-03","1,00","1,00","1,00","-0,26","1,82","-0,73",,"3,70","4,52",,
20,Gradual,"2,5","2,5",4 / 20,"1,11","0,90","2,20e-03","1,00","1,00","1,00","-0,34","1,83","-0,83",,"3,70","4,52",,
20,Gradual,"2,5","2,5",5 / 20,"1,08","0,88","2,27e-03","1,00","1,00","1,00","-0,37","1,84","-1,04",,"3,68","4,50",,
20,Gradual,"2,5","2,5",6 / 20,"1,08","0,88","2,23e-03","1,00","1,00","1,00","-0,46","1,84","-1,16",,"3,68","4,49",,
20,Gradual,"2,5","2,5",7 / 20,"1,13","0,92","1,98e-03","1,00","1,00","1,00","-0,51","1,84","-1,4",,"3,67","4,48",,
20,Gradual,"2,5","2,5",8 / 20,"1,08","0,89","2,10e-03","1,00","1,00","1,00","-0,56","1,84","-1,51",,"3,66","4,48",,
