{'TwoPoints'},,,,,,,,,,,,,,,,,,
Datos,Shape,Gaussian,Rigid,Section,C1 std dev,C2 std dev,Rel. error,Global rotation X,Global rotation Y,Global rotation Z,Global translation X,Global translation Y,Global translation Z,Av. movement,Av. error,RMSE,Improv. (%),Final Vs Mov (%)
,,Mov.(mm)
Depth (mm),Shape,Gaussian,Rigid,,,,,X,Y,Z,X,Y,Z,,,,,
20,Planar,"2,5",0,INITIAL,"1,70","1,66","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,95","3,37","4,06",,
20,Planar,"2,5",0,1 / 20,"0,97","1,03","1,94e-03","1,00","1,00","1,00","-0,02","0,08","-0,02",,"3,19","3,92",,
20,Planar,"2,5",0,2 / 20,"0,97","1,03","1,96e-03","1,00","1,00","1,00","0,01","0,13","-0,05",,"3,20","3,94",,
20,Planar,"2,5",0,3 / 20,"0,97","1,04","1,93e-03","1,00","1,00","1,00","-0,03","0,18","-0,06",,"3,22","3,94",,
20,Planar,"2,5",0,4 / 20,"0,97","1,03","2,02e-03","1,00","1,00","1,00","0,01","0,21","-0,08",,"3,22","3,95",,
20,Planar,"2,5",0,5 / 20,"0,97","1,02","2,08e-03","1,00","1,00","1,00","0,05","0,25","-0,1",,"3,23","3,96",,
20,Planar,"2,5",0,6 / 20,"0,98","1,04","2,03e-03","1,00","1,00","1,00","0,02","0,28","-0,1",,"3,23","3,96",,
20,Planar,"2,5",0,7 / 20,"0,97","1,04","1,98e-03","1,00","1,00","1,00","0,03","0,32","-0,12",,"3,24","3,97",,
20,Planar,"2,5",0,8 / 20,"0,97","1,03","2,07e-03","1,00","1,00","1,00","0,05","0,35","-0,13",,"3,24","3,97",,
20,Planar,"2,5",0,9 / 20,"0,97","1,04","2,02e-03","1,00","1,00","1,00","0,07","0,38","-0,14",,"3,25","3,98",,
20,Planar,"2,5",0,10 / 20,"0,97","1,04","2,02e-03","1,00","1,00","1,00","0,07","0,42","-0,15",,"3,25","3,98",,
20,Planar,"2,5",0,11 / 20,"0,97","1,03","2,12e-03","1,00","1,00","1,00","0,07","0,44","-0,16",,"3,25","3,98",,
20,Planar,"2,5",0,12 / 20,"0,98","1,04","2,04e-03","1,00","1,00","1,00","0,09","0,47","-0,17",,"3,26","3,99",,
20,Planar,"2,5",0,13 / 20,"0,97","1,04","2,12e-03","1,00","1,00","1,00","0,09","0,5","-0,18",,"3,26","3,99",,
20,Planar,"2,5",0,14 / 20,"0,98","1,04","2,06e-03","1,00","1,00","1,00","0,1","0,52","-0,19",,"3,26","3,99",,
20,Planar,"2,5",0,15 / 20,"0,97","1,04","2,06e-03","1,00","1,00","1,00","0,1","0,55","-0,19",,"3,26","3,99",,
20,Planar,"2,5",0,16 / 20,"0,98","1,04","2,14e-03","1,00","1,00","1,00","0,1","0,57","-0,2",,"3,26","4,00",,
20,Planar,"2,5",0,17 / 20,"0,96","1,02","2,16e-03","1,00","1,00","1,00","0,11","0,6","-0,21",,"3,26","4,00",,
20,Planar,"2,5",0,18 / 20,"0,97","1,04","2,08e-03","1,00","1,00","1,00","0,11","0,63","-0,21",,"3,27","4,00",,
20,Planar,"2,5",0,19 / 20,"0,97","1,04","2,16e-03","1,00","1,00","1,00","0,11","0,64","-0,22",,"3,27","4,00",,
20,Planar,"2,5",0,FINAL,"0,97","1,03","2,10e-03","1,00","1,00","1,00","0,13","0,65","-0,22","3,95","3,27","4,00","3,09","82,78"
20,Planar,0,"2,5",INITIAL,"0,94","0,92","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","2,50","1,64","1,82",,
20,Planar,0,"2,5",1 / 20,"0,42","0,45","3,32e-05","1,00","1,00","1,00","-0,06","0,84","-0,06",,"1,49","1,69",,
20,Planar,0,"2,5",2 / 20,"0,38","0,40","3,85e-05","1,00","1,00","1,00","-0,17","0,97","-0,06",,"1,47","1,68",,
20,Planar,0,"2,5",3 / 20,"0,36","0,37","4,01e-05","1,00","1,00","1,00","-0,16","1,06","-0,09",,"1,46","1,66",,
20,Planar,0,"2,5",4 / 20,"0,34","0,35","4,19e-05","1,00","1,00","1,00","-0,18","1,13","-0,14",,"1,44","1,64",,
20,Planar,0,"2,5",5 / 20,"0,34","0,35","4,26e-05","1,00","1,00","1,00","-0,2","1,15","-0,16",,"1,43","1,64",,
20,Planar,0,"2,5",6 / 20,"0,34","0,34","4,36e-05","1,00","1,00","1,00","-0,22","1,16","-0,19",,"1,42","1,63",,
20,Planar,0,"2,5",7 / 20,"0,34","0,34","4,41e-05","1,00","1,00","1,00","-0,21","1,17","-0,21",,"1,42","1,62",,
20,Planar,0,"2,5",8 / 20,"0,34","0,34","4,49e-05","1,00","1,00","1,00","-0,23","1,17","-0,24",,"1,41","1,61",,
20,Planar,0,"2,5",9 / 20,"0,34","0,33","4,54e-05","1,00","1,00","1,00","-0,24","1,18","-0,26",,"1,40","1,60",,
20,Planar,0,"2,5",10 / 20,"0,33","0,33","4,62e-05","1,00","1,00","1,00","-0,25","1,18","-0,29",,"1,39","1,59",,
20,Planar,0,"2,5",11 / 20,"0,33","0,33","4,67e-05","1,00","1,00","1,00","-0,26","1,18","-0,3",,"1,39","1,59",,
20,Planar,0,"2,5",12 / 20,"0,33","0,33","4,71e-05","1,00","1,00","1,00","-0,26","1,18","-0,32",,"1,38","1,58",,
20,Planar,0,"2,5",13 / 20,"0,33","0,33","4,75e-05","1,00","1,00","1,00","-0,28","1,18","-0,33",,"1,38","1,58",,
20,Planar,0,"2,5",14 / 20,"0,33","0,33","4,79e-05","1,00","1,00","1,00","-0,28","1,18","-0,35",,"1,37","1,57",,
20,Planar,0,"2,5",15 / 20,"0,33","0,32","4,83e-05","1,00","1,00","1,00","-0,29","1,18","-0,36",,"1,37","1,57",,
20,Planar,0,"2,5",16 / 20,"0,33","0,32","4,87e-05","1,00","1,00","1,00","-0,3","1,18","-0,37",,"1,36","1,56",,
20,Planar,0,"2,5",17 / 20,"0,32","0,31","5,56e-05","1,00","1,00","1,00","-0,3","1,18","-0,39",,"1,36","1,56",,
20,Planar,0,"2,5",18 / 20,"0,32","0,31","5,87e-05","1,00","1,00","1,00","-0,31","1,18","-0,41",,"1,36","1,55",,
20,Planar,0,"2,5",19 / 20,"0,32","0,31","5,95e-05","1,00","1,00","1,00","-0,32","1,18","-0,42",,"1,35","1,55",,
20,Planar,0,"2,5",FINAL,"0,31","0,31","6,04e-05","1,00","1,00","1,00","-0,34","1,18","-0,44","2,50","1,34","1,54","18,23","53,73"
20,Planar,"2,5","2,5",INITIAL,"2,21","4,74","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","4,73","3,49","4,12",,
20,Planar,"2,5","2,5",1 / 20,"1,23","0,81","3,52e-03","1,00","1,00","1,00","0,04","0,64","-0,16",,"3,22","3,92",,
20,Planar,"2,5","2,5",2 / 20,"1,25","0,81","3,53e-03","1,00","1,00","1,00","-0,09","0,65","-0,21",,"3,23","3,92",,
20,Planar,"2,5","2,5",3 / 20,"1,26","0,80","3,47e-03","1,00","1,00","1,00","-0,11","0,65","-0,3",,"3,23","3,92",,
20,Planar,"2,5","2,5",4 / 20,"1,29","0,81","3,36e-03","1,00","1,00","1,00","-0,18","0,65","-0,4",,"3,23","3,92",,
20,Planar,"2,5","2,5",5 / 20,"1,28","0,81","3,37e-03","1,00","1,00","1,00","-0,2","0,64","-0,45",,"3,23","3,92",,
20,Planar,"2,5","2,5",6 / 20,"1,26","0,81","3,30e-03","1,00","1,00","1,00","-0,24","0,64","-0,49",,"3,23","3,91",,
20,Planar,"2,5","2,5",7 / 20,"1,24","0,81","3,35e-03","1,00","1,00","1,00","-0,28","0,65","-0,52",,"3,22","3,91",,
20,Planar,"2,5","2,5",8 / 20,"1,25","0,81","3,35e-03","1,00","1,00","1,00","-0,3","0,65","-0,57",,"3,22","3,90",,
20,Planar,"2,5","2,5",9 / 20,"1,25","0,80","3,33e-03","1,00","1,00","1,00","-0,31","0,65","-0,61",,"3,22","3,90",,
20,Planar,"2,5","2,5",10 / 20,"1,26","0,82","3,28e-03","1,00","1,00","1,00","-0,34","0,65","-0,65",,"3,21","3,89",,
20,Planar,"2,5","2,5",11 / 20,"1,24","0,80","3,38e-03","1,00","1,00","1,00","-0,39","0,65","-0,67",,"3,21","3,89",,
20,Planar,"2,5","2,5",12 / 20,"1,27","0,82","3,27e-03","1,00","1,00","1,00","-0,38","0,66","-0,7",,"3,21","3,88",,
20,Planar,"2,5","2,5",13 / 20,"1,27","0,82","3,24e-03","1,00","1,00","1,00","-0,4","0,65","-0,73",,"3,21","3,88",,
20,Planar,"2,5","2,5",14 / 20,"1,26","0,82","3,30e-03","1,00","1,00","1,00","-0,44","0,66","-0,75",,"3,20","3,88",,
20,Planar,"2,5","2,5",15 / 20,"1,27","0,82","3,29e-03","1,00","1,00","1,00","-0,49","0,65","-0,79",,"3,20","3,87",,
20,Planar,"2,5","2,5",16 / 20,"1,26","0,82","3,29e-03","1,00","1,00","1,00","-0,51","0,66","-0,86",,"3,19","3,86",,
20,Planar,"2,5","2,5",17 / 20,"1,26","0,82","3,25e-03","1,00","1,00","1,00","-0,56","0,67","-0,87",,"3,19","3,86",,
20,Planar,"2,5","2,5",18 / 20,"1,26","0,82","3,30e-03","1,00","1,00","1,00","-0,59","0,68","-0,89",,"3,18","3,85",,
20,Planar,"2,5","2,5",19 / 20,"1,27","0,82","3,29e-03","1,00","1,00","1,00","-0,59","0,66","-0,93",,"3,18","3,84",,
20,Planar,"2,5","2,5",FINAL,"1,26","0,82","3,25e-03","1,00","1,00","1,00","-0,62","0,67","-0,94","4,73","3,17","3,84","9,04","67,18"
20,Planar,10,0,INITIAL,"7,13","6,99","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","16,05","13,77","16,32",,
20,Planar,10,0,1 / 20,"1,58","1,65","9,05e-02","1,00","1,00","1,00","-0,62","-1,1","-0,26",,"12,36","15,45",,
20,Planar,10,0,2 / 20,"0,97","1,06","1,22e-01","1,00","1,00","1,00","-0,79","-0,58","-0,88",,"12,47","15,67",,
20,Planar,10,0,3 / 20,"0,85","1,05","1,27e-01","1,00","1,00","1,00","-1,34","-0,19","-1,77",,"12,70","15,93",,
20,Planar,10,0,4 / 20,"0,86","0,99","1,31e-01","1,00","1,00","1,00","-2,95","0,17","-2,09",,"12,82","16,10",,
20,Planar,10,0,5 / 20,"0,92","1,10","1,26e-01","1,00","1,00","1,00","-3,19","0,32","-2,55",,"12,95","16,24",,
20,Planar,10,0,6 / 20,"0,85","1,07","1,30e-01","1,00","1,00","1,00","-3,98","0,72","-2,86",,"13,09","16,43",,
20,Planar,10,0,7 / 20,"0,91","1,08","1,28e-01","1,00","1,00","1,00","-3,97","1,15","-3,32",,"13,23","16,58",,
20,Planar,10,0,8 / 20,"0,90","1,04","1,30e-01","1,00","1,00","1,00","-4,7","1,08","-3,57",,"13,30","16,66",,
20,Planar,10,0,9 / 20,"0,90","1,09","1,27e-01","1,00","1,00","1,00","-5,58","1,86","-4,26",,"13,51","16,95",,
20,Planar,10,0,10 / 20,"0,91","1,00","1,31e-01","1,00","1,00","1,00","-6,17","2,44","-4,63",,"13,74","17,19",,
20,Planar,10,0,11 / 20,"0,85","1,00","1,32e-01","1,00","1,00","1,00","-7,52","2,65","-5,59",,"13,96","17,37",,
20,Planar,10,0,12 / 20,"0,89","1,13","1,28e-01","1,00","1,00","1,00","-8,01","3,21","-5,87",,"14,11","17,58",,
20,Planar,10,0,13 / 20,"0,93","1,05","1,28e-01","1,00","1,00","1,00","-8,26","3,59","-5,82",,"14,29","17,76",,
20,Planar,10,0,14 / 20,"0,91","1,04","1,29e-01","1,00","1,00","1,00","-8,76","3,53","-6,45",,"14,39","17,83",,
20,Planar,10,0,15 / 20,"0,94","1,13","1,25e-01","1,00","1,00","1,00","-9,06","4,13","-6,37",,"14,52","18,01",,
20,Planar,10,0,16 / 20,"0,94","1,01","1,31e-01","1,00","1,00","1,00","-9,79","4,39","-6,99",,"14,70","18,19",,
20,Planar,10,0,17 / 20,"0,88","1,02","1,30e-01","1,00","1,00","1,00","-11,01","4,69","-7,52",,"14,99","18,49",,
20,Planar,10,0,18 / 20,"0,85","1,00","1,30e-01","1,00","1,00","1,00","-11,7","5,35","-8,1",,"15,24","18,81",,
20,Planar,10,0,19 / 20,"0,91","1,01","1,28e-01","1,00","1,00","1,00","-12,54","5,58","-8,25",,"15,44","19,00",,
20,Planar,10,0,FINAL,"0,93","1,04","1,26e-01","1,00","1,00","1,00","-12,33","5,64","-8,58","16,05","15,54","19,08","-12,81","96,78"
20,Planar,0,10,INITIAL,"3,49","3,41","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","10,00","5,57","6,02",,
20,Planar,0,10,1 / 20,"0,97","1,01","1,21e-04","1,00","1,00","1,00","-0,71","3,65","-0,24",,"4,68","5,35",,
20,Planar,0,10,2 / 20,"0,91","0,96","8,09e-05","1,00","1,00","1,00","-0,46","3,95","-0,36",,"4,62","5,30",,
20,Planar,0,10,3 / 20,"0,83","0,87","8,51e-05","1,00","1,00","1,00","-0,74","4,13","-0,36",,"4,57","5,25",,
20,Planar,0,10,4 / 20,"0,82","0,85","7,29e-05","1,00","1,00","1,00","-0,65","4,23","-0,44",,"4,54","5,21",,
20,Planar,0,10,5 / 20,"0,79","0,81","7,59e-05","1,00","1,00","1,00","-0,77","4,29","-0,49",,"4,50","5,18",,
20,Planar,0,10,6 / 20,"0,84","0,87","5,26e-05","1,00","1,00","1,00","-0,69","4,32","-0,53",,"4,48","5,15",,
20,Planar,0,10,7 / 20,"0,83","0,85","5,17e-05","1,00","1,00","1,00","-0,75","4,33","-0,57",,"4,46","5,13",,
20,Planar,0,10,8 / 20,"0,82","0,84","5,35e-05","1,00","1,00","1,00","-0,72","4,34","-0,63",,"4,43","5,11",,
20,Planar,0,10,9 / 20,"0,81","0,82","5,57e-05","1,00","1,00","1,00","-0,81","4,35","-0,66",,"4,41","5,09",,
20,Planar,0,10,10 / 20,"0,80","0,81","5,80e-05","1,00","1,00","1,00","-0,77","4,35","-0,71",,"4,38","5,06",,
20,Planar,0,10,11 / 20,"0,79","0,79","6,04e-05","1,00","1,00","1,00","-0,81","4,35","-0,76",,"4,36","5,04",,
20,Planar,0,10,12 / 20,"0,78","0,78","6,30e-05","1,00","1,00","1,00","-0,8","4,34","-0,81",,"4,34","5,02",,
20,Planar,0,10,13 / 20,"0,77","0,77","6,57e-05","1,00","1,00","1,00","-0,84","4,34","-0,85",,"4,31","5,00",,
20,Planar,0,10,14 / 20,"0,76","0,75","6,90e-05","1,00","1,00","1,00","-0,85","4,33","-0,91",,"4,29","4,97",,
20,Planar,0,10,15 / 20,"0,74","0,74","7,27e-05","1,00","1,00","1,00","-0,89","4,31","-0,97",,"4,25","4,94",,
20,Planar,0,10,16 / 20,"0,74","0,72","7,57e-05","1,00","1,00","1,00","-0,86","4,3","-1,02",,"4,23","4,92",,
20,Planar,0,10,17 / 20,"0,73","0,71","7,84e-05","1,00","1,00","1,00","-0,9","4,29","-1,06",,"4,21","4,90",,
20,Planar,0,10,18 / 20,"0,72","0,70","8,21e-05","1,00","1,00","1,00","-0,91","4,27","-1,12",,"4,18","4,87",,
20,Planar,0,10,19 / 20,"0,70","0,69","8,59e-05","1,00","1,00","1,00","-0,95","4,26","-1,18",,"4,15","4,85",,
20,Planar,0,10,FINAL,"0,69","0,68","8,98e-05","1,00","1,00","1,00","-0,96","4,24","-1,25","10,00","4,12","4,82","26,00","41,22"
20,Planar,10,10,INITIAL,"8,23","8,13","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","19,14","14,59","17,47",,
20,Planar,10,10,1 / 20,"2,22","1,90","9,89e-02","1,00","1,00","1,00","-1,55","3,97","-1,73",,"12,98","16,37",,
20,Planar,10,10,2 / 20,"0,99","1,06","1,38e-01","1,00","1,00","1,00","-2,71","4,27","-2,56",,"12,96","16,35",,
20,Planar,10,10,3 / 20,"0,94","1,02","1,43e-01","1,00","1,00","1,00","-3,44","4,41","-2,82",,"13,06","16,39",,
20,Planar,10,10,4 / 20,"0,97","1,05","1,46e-01","1,00","1,00","1,00","-4,27","4,32","-3,44",,"13,12","16,46",,
20,Planar,10,10,5 / 20,"0,97","1,05","1,46e-01","1,00","1,00","1,00","-5,9","4,35","-4,46",,"13,13","16,51",,
20,Planar,10,10,6 / 20,"0,98","1,04","1,51e-01","1,00","1,00","1,00","-6,04","4,5","-5,11",,"13,15","16,55",,
20,Planar,10,10,7 / 20,"0,99","1,08","1,50e-01","1,00","1,00","1,00","-6,97","4,2","-5,43",,"13,17","16,59",,
20,Planar,10,10,8 / 20,"0,94","1,00","1,50e-01","1,00","1,00","1,00","-9,33","4,62","-6,64",,"13,20","16,66",,
20,Planar,10,10,9 / 20,"0,99","1,07","1,51e-01","1,00","1,00","1,00","-10,49","4,55","-7,81",,"13,25","16,73",,
20,Planar,10,10,10 / 20,"0,96","1,00","1,45e-01","1,00","1,00","1,00","-13,11","5,46","-9,41",,"13,45","16,98",,
20,Planar,10,10,11 / 20,"0,98","1,05","1,50e-01","1,00","1,00","1,00","-13,4","5,31","-9,7",,"13,49","17,04",,
20,Planar,10,10,12 / 20,"0,99","1,03","1,43e-01","1,00","1,00","1,00","-15,12","6,01","-10,44",,"13,62","17,22",,
20,Planar,10,10,13 / 20,"1,01","1,08","1,46e-01","1,00","1,00","1,00","-16,0","5,94","-10,99",,"13,74","17,40",,
20,Planar,10,10,14 / 20,"1,01","1,04","1,40e-01","1,00","1,00","1,00","-16,69","6,33","-11,23",,"13,80","17,45",,
20,Planar,10,10,15 / 20,"1,06","1,12","1,43e-01","1,00","1,00","1,00","-17,16","6,25","-11,46",,"13,86","17,52",,
20,Planar,10,10,16 / 20,"1,10","1,13","1,37e-01","1,00","1,00","1,00","-18,03","6,57","-11,73",,"13,93","17,59",,
20,Planar,10,10,17 / 20,"0,99","1,05","1,44e-01","1,00","1,00","1,00","-18,14","6,67","-11,82",,"13,99","17,67",,
20,Planar,10,10,18 / 20,"1,09","1,12","1,35e-01","1,00","1,00","1,00","-19,02","6,83","-12,13",,"14,06","17,73",,
20,Planar,10,10,19 / 20,"0,99","1,04","1,44e-01","1,00","1,00","1,00","-18,99","6,93","-12,2",,"14,13","17,83",,
20,Planar,10,10,FINAL,"1,08","1,10","1,35e-01","1,00","1,00","1,00","-19,8","7,11","-12,46","19,14","14,21","17,89","2,58","74,23"
20,Gradual,0,"2,5",INITIAL,"1,66","1,59","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","3,24","2,03","2,45",,
20,Gradual,0,"2,5",1 / 20,"0,94","1,06","6,94e-05","1,00","1,00","1,00","-0,28","0,95","-0,27",,"1,82","2,22",,
20,Gradual,0,"2,5",2 / 20,"0,89","1,02","6,73e-05","1,00","1,00","1,00","-0,25","1,11","-0,38",,"1,80","2,19",,
20,Gradual,0,"2,5",3 / 20,"0,89","1,03","5,42e-05","1,00","1,00","1,00","-0,36","1,17","-0,41",,"1,79","2,18",,
20,Gradual,0,"2,5",4 / 20,"0,85","0,99","5,61e-05","1,00","1,00","1,00","-0,46","1,25","-0,55",,"1,75","2,14",,
20,Gradual,0,"2,5",5 / 20,"0,83","0,96","6,03e-05","1,00","1,00","1,00","-0,5","1,27","-0,63",,"1,73","2,11",,
20,Gradual,0,"2,5",6 / 20,"0,87","0,99","4,49e-05","1,00","1,00","1,00","-0,52","1,26","-0,71",,"1,72","2,09",,
20,Gradual,0,"2,5",7 / 20,"0,85","0,95","5,01e-05","1,00","1,00","1,00","-0,65","1,24","-0,82",,"1,68","2,05",,
20,Gradual,0,"2,5",8 / 20,"0,83","0,94","5,32e-05","1,00","1,00","1,00","-0,65","1,23","-0,88",,"1,66","2,04",,
20,Gradual,0,"2,5",9 / 20,"0,82","0,92","5,63e-05","1,00","1,00","1,00","-0,73","1,23","-0,92",,"1,65","2,02",,
20,Gradual,0,"2,5",10 / 20,"0,81","0,91","5,92e-05","1,00","1,00","1,00","-0,7","1,21","-0,99",,"1,64","2,01",,
20,Gradual,0,"2,5",11 / 20,"0,80","0,90","6,22e-05","1,00","1,00","1,00","-0,77","1,2","-1,02",,"1,63","1,99",,
20,Gradual,0,"2,5",12 / 20,"0,79","0,89","6,52e-05","1,00","1,00","1,00","-0,78","1,18","-1,07",,"1,61","1,98",,
20,Gradual,0,"2,5",13 / 20,"0,78","0,87","6,84e-05","1,00","1,00","1,00","-0,83","1,17","-1,11",,"1,60","1,97",,
20,Gradual,0,"2,5",14 / 20,"0,77","0,86","7,17e-05","1,00","1,00","1,00","-0,85","1,15","-1,17",,"1,59","1,95",,
20,Gradual,0,"2,5",15 / 20,"0,75","0,83","8,04e-05","1,00","1,00","1,00","-0,93","1,14","-1,21",,"1,58","1,94",,
20,Gradual,0,"2,5",16 / 20,"0,75","0,83","7,91e-05","1,00","1,00","1,00","-0,91","1,12","-1,27",,"1,57","1,93",,
20,Gradual,0,"2,5",17 / 20,"0,73","0,81","8,51e-05","1,00","1,00","1,00","-1,0","1,08","-1,35",,"1,55","1,90",,
20,Gradual,0,"2,5",18 / 20,"0,67","0,75","1,08e-04","1,00","1,00","1,00","-1,1","1,05","-1,46",,"1,52","1,87",,
20,Gradual,0,"2,5",19 / 20,"0,69","0,76","1,01e-04","1,00","1,00","1,00","-1,09","1,02","-1,52",,"1,52","1,86",,
20,Gradual,0,"2,5",FINAL,"0,68","0,74","1,08e-04","1,00","1,00","1,00","-1,19","0,95","-1,64","3,24","1,49","1,84","26,33","46,18"
20,Gradual,"2,5","2,5",INITIAL,"2,21","2,30","0,00e+00","1,00","1,00","1,00","0,0","0,0","0,0","5,36","4,03","4,75",,
20,Gradual,"2,5","2,5",1 / 20,"1,11","0,92","2,08e-03","1,00","1,00","1,00","-0,17","1,5","-0,32",,"3,71","4,52",,
20,Gradual,"2,5","2,5",2 / 20,"1,08","0,89","2,16e-03","1,00","1,00","1,00","-0,3","1,64","-0,63",,"3,71","4,52",,
20,Gradual,"2,5","2,5",3 / 20,"1,08","0,89","2,16e-03","1,00","1,00","1,00","-0,44","1,71","-0,98",,"3,69","4,50",,
20,Gradual,"2,5","2,5",4 / 20,"1,08","0,89","2,11e-03","1,00","1,00","1,00","-0,43","1,71","-1,12",,"3,69","4,50",,
20,Gradual,"2,5","2,5",5 / 20,"1,14","0,94","1,91e-03","1,00","1,00","1,00","-0,5","1,73","-1,23",,"3,69","4,50",,
20,Gradual,"2,5","2,5",6 / 20,"1,07","0,88","2,14e-03","1,00","1,00","1,00","-0,58","1,74","-1,31",,"3,68","4,49",,
20,Gradual,"2,5","2,5",7 / 20,"1,12","0,93","1,91e-03","1,00","1,00","1,00","-0,57","1,74","-1,39",,"3,68","4,49",,
20,Gradual,"2,5","2,5",8 / 20,"1,06","0,87","2,16e-03","1,00","1,00","1,00","-0,61","1,74","-1,51",,"3,67","4,48",,
