Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_not_scaled_depth-InRays Initial (mm),ARAP_not_scaled_depth-InRays Final (mm),ARAP_not_scaled_depth-TwoPoints Initial (mm),ARAP_not_scaled_depth-TwoPoints Final (mm),ARAP_not_scaled_depth-FarPoints Initial (mm),ARAP_not_scaled_depth-FarPoints Final (mm)
"3,95",Planar,"2,5",0,"3,08","3,28","3,37","3,27","3,41","3,55"
"2,50",Planar,0,"2,5","1,51","1,31","1,64","1,34","1,77","1,30"
"4,73",Planar,"2,5","2,5","3,17","3,15","3,49","3,17","3,57","3,19"
"16,05",Planar,10,0,"12,24","15,49","13,77","15,54","13,82","17,12"
"10,00",Planar,0,10,"4,65","3,93","5,57","4,12","5,62","3,35"
"19,14",Planar,10,10,"12,90","14,78","14,59","14,21","14,60","22,53"
"3,24",Gradual,0,"2,5","1,73","1,44","2,03","1,49","2,16","1,32"
"5,36",Gradual,"2,5","2,5","3,59","3,65","4,03","3,66","4,08","3,67"
"10,53",Gradual,0,10,"4,62","2,34","5,82","2,19","5,86","2,59"
"19,45",Gradual,10,10,"12,55","15,70","14,68","15,80","14,64","20,87"
