Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_not_scaled_depth-InRays Improvement (%),ARAP_not_scaled_depth-InRays Final Vs Mov (%),ARAP_not_scaled_depth-InRays Initial VS Mov (%),ARAP_not_scaled_depth-TwoPoints Improvement (%),ARAP_not_scaled_depth-TwoPoints Final Vs Mov (%),ARAP_not_scaled_depth-TwoPoints Initial VS Mov (%),ARAP_not_scaled_depth-FarPoints Improvement (%),ARAP_not_scaled_depth-FarPoints Final Vs Mov (%),ARAP_not_scaled_depth-FarPoints Initial VS Mov (%)
"3,95",Planar,"2,5",0,"-6,53","83,06","77,97","3,09","82,78","85,32","-4,06","89,84","86,33"
"2,50",Planar,0,"2,5","13,59","52,35","60,40","18,23","53,73","65,60","26,51","51,95","70,80"
"4,73",Planar,"2,5","2,5","0,73","66,57","67,02","9,04","67,18","73,78","10,77","67,42","75,48"
"16,05",Planar,10,0,"-26,59","96,47","76,26","-12,81","96,78","85,79","-23,84","106,61","86,11"
"10,00",Planar,0,10,"15,39","39,35","46,50","26,00","41,22","55,70","40,39","33,50","56,20"
"19,14",Planar,10,10,"-14,56","77,21","67,40","2,58","74,23","76,23","-54,29","117,71","76,28"
"3,24",Gradual,0,"2,5","17,15","44,34","53,40","26,33","46,18","62,65","38,91","40,75","66,67"
"5,36",Gradual,"2,5","2,5","-1,57","68,16","66,98","9,28","68,30","75,19","9,99","68,54","76,12"
"10,53",Gradual,0,10,"49,28","22,26","43,87","62,38","20,78","55,27","55,77","24,61","55,65"
"19,45",Gradual,10,10,"-25,15","80,74","64,52","-7,60","81,24","75,48","-42,56","107,32","75,27"
