Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_depth-InRays Improvement (%),ARAP_depth-InRays Final Vs Mov (%),ARAP_depth-InRays Initial VS Mov (%),ARAP_depth-TwoPoints Improvement (%),ARAP_depth-TwoPoints Final Vs Mov (%),ARAP_depth-TwoPoints Initial VS Mov (%),ARAP_depth-FarPoints Improvement (%),ARAP_depth-FarPoints Final Vs Mov (%),ARAP_depth-FarPoints Initial VS Mov (%),ARAP_depth_3mm-InRays Improvement (%),ARAP_depth_3mm-InRays Final Vs Mov (%),ARAP_depth_3mm-InRays Initial VS Mov (%),ARAP_depth_3mm-TwoPoints Improvement (%),ARAP_depth_3mm-TwoPoints Final Vs Mov (%),ARAP_depth_3mm-TwoPoints Initial VS Mov (%),ARAP_depth_3mm-FarPoints Improvement (%),ARAP_depth_3mm-FarPoints Final Vs Mov (%),ARAP_depth_3mm-FarPoints Initial VS Mov (%),ARAP_depth_8mm-InRays Improvement (%),ARAP_depth_8mm-InRays Final Vs Mov (%),ARAP_depth_8mm-InRays Initial VS Mov (%),ARAP_depth_8mm-TwoPoints Improvement (%),ARAP_depth_8mm-TwoPoints Final Vs Mov (%),ARAP_depth_8mm-TwoPoints Initial VS Mov (%),ARAP_depth_8mm-FarPoints Improvement (%),ARAP_depth_8mm-FarPoints Final Vs Mov (%),ARAP_depth_8mm-FarPoints Initial VS Mov (%)
"3,95",Planar,"2,5",0,"-204,50","82,82","27,09","-47,81","80,35","54,43","-52,51","100,95","66,08","-49,69","96,59","64,56","-10,77","80,69","72,91","20,37","91,66","114,94","40,28","97,95","163,80","42,71","81,94","143,04","64,95","93,14","265,57"
"2,50",Planar,0,"2,5","23,31","32,90","42,80","28,37","40,69","56,80","55,51","37,20","83,60","34,77","66,67","102,40","61,79","35,25","92,40","71,51","48,35","169,60","42,20","150,22","260,00","81,18","40,41","214,80","-35,18","563,31","416,80"
"4,73",Planar,"2,5","2,5","-178,72","63,80","22,83","-20,02","63,65","53,07","-70,82","109,69","64,06","-21,67","69,79","57,29","7,63","63,04","68,29","-18,72","130,01","109,30","36,59","93,75","147,78","51,82","62,50","129,60","-128,43","566,35","247,57"
"16,05",Planar,10,0,"-1648,69","116,83","6,67","-121,04","111,01","50,22","-1603,60","873,07","51,28","-686,81","124,60","15,83","-131,28","119,33","51,59","-301,16","230,26","57,45","-1450,52","623,79","40,25","-61,81","97,56","60,31","-1046,02","970,02","84,67"
"10,00",Planar,0,10,"23,21","8,08","10,50","80,31","9,92","50,40","57,33","22,48","52,70","66,73","8,42","25,30","58,73","21,63","52,40","60,72","25,28","64,40","49,13","32,87","64,60","73,57","18,30","69,30","7,98","106,63","115,90"
"19,14",Planar,10,10,"-5558,03","311,00","5,49","-70,43","85,49","50,16","-1042,32","577,89","50,57","-4738,80","642,41","13,27","-58,31","80,82","51,04","-746,14","463,35","54,75","-1419,23","516,07","33,96","-53,83","87,49","56,90","-647,62","568,66","76,07"
"3,24",Gradual,0,"2,5","-25,48","41,36","33,02","30,17","39,67","56,79","47,24","39,62","75,00","38,61","48,38","78,70","48,90","41,49","81,17","40,72","81,61","137,65","18,75","162,96","200,31","70,48","50,11","169,44","-129,91","748,30","325,31"
"5,36",Gradual,"2,5","2,5","-279,55","74,98","19,78","-28,81","67,07","52,05","-25,81","75,98","60,26","-59,00","76,49","48,13","-3,07","65,07","63,06","-116,12","207,59","95,90","-28,30","158,05","123,13","39,57","67,03","110,82","11,61","184,69","208,77"
"10,53",Gradual,0,10,"-113,74","21,16","9,88","53,37","23,72","50,90","68,61","16,90","53,85","14,67","20,51","24,03","66,20","18,47","54,70","58,71","27,04","65,53","-57,76","97,28","61,63","70,62","21,31","72,55","3,53","109,38","113,39"
"19,45",Gradual,10,10,"-10788,04","585,60","5,40","-64,11","82,36","50,18","-1066,75","589,77","50,54","-4954,55","665,00","13,16","-68,11","86,13","51,21","-749,13","461,86","54,40","-708,27","272,46","33,73","-54,37","88,82","57,53","-415,10","385,91","74,91"
