Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_depth_1mm-InRays Initial (mm),ARAP_depth_1mm-InRays Final (mm),ARAP_depth_1mm-TwoPoints Initial (mm),ARAP_depth_1mm-TwoPoints Final (mm),ARAP_depth_1mm-FarPoints Initial (mm),ARAP_depth_1mm-FarPoints Final (mm),ARAP_depth_3mm-InRays Initial (mm),ARAP_depth_3mm-InRays Final (mm),ARAP_depth_3mm-TwoPoints Initial (mm),ARAP_depth_3mm-TwoPoints Final (mm),ARAP_depth_3mm-FarPoints Initial (mm),ARAP_depth_3mm-FarPoints Final (mm),ARAP_depth_8mm-InRays Initial (mm),ARAP_depth_8mm-InRays Final (mm),ARAP_depth_8mm-TwoPoints Initial (mm),ARAP_depth_8mm-TwoPoints Final (mm),ARAP_depth_8mm-FarPoints Initial (mm),ARAP_depth_8mm-FarPoints Final (mm)
"3,97",Planar,"2,5",0,"1,22","2,67","2,18","2,62","2,70","2,64","2,69","2,72","2,89","2,68","4,70","5,51","6,67","11,41","5,75","2,68","10,95","5,96"
"2,50",Planar,0,"2,5","1,22","0,96","1,48","1,12","2,32","1,17","2,66","1,26","2,36","1,12","4,49","2,96","6,60","3,11","5,41","1,15","10,83","7,06"
"4,94",Planar,"2,5","2,5","1,19","2,93","2,62","2,76","3,13","15,33","2,64","4,81","3,20","2,81","4,97","10,09","6,57","15,63","5,81","2,82","10,99","9,56"
"15,27",Planar,10,0,"1,22","36,42","7,69","11,14","7,96","17,42","2,68","22,06","7,97","11,39","9,10","39,35","6,67","23,99","9,53","11,52","13,93","12,27"
"10,00",Planar,0,10,"1,19","0,86","5,05","2,60","5,30","2,11","2,70","0,86","5,28","2,64","6,57","3,22","6,74","2,89","7,09","2,71","12,13","10,56"
"18,60",Planar,10,10,"1,21","26,27","9,34","10,67","9,59","13,70","2,67","18,18","9,53","11,17","10,45","22,93","6,63","24,79","10,74","11,27","14,64","18,09"
"3,03",Gradual,0,"2,5","1,19","1,28","1,81","1,38","2,58","1,35","2,66","1,55","2,65","1,39","4,73","2,12","6,63","3,82","5,58","1,31","11,08","5,69"
"5,21",Gradual,"2,5","2,5","1,22","3,00","2,76","2,85","3,36","3,53","2,67","3,58","3,36","2,85","5,21","5,20","6,61","4,86","5,98","2,84","11,23","42,20"
"10,66",Gradual,0,10,"1,20","1,98","5,44","3,22","5,81","2,53","2,68","2,06","5,85","3,07","7,26","4,10","6,68","5,32","7,86","3,10","12,64","16,09"
"19,45",Gradual,10,10,"1,22","42,75","9,78","13,33","10,04","26,85","2,73","57,81","10,02","13,76","11,02","85,96","6,82","138,09","11,39","14,28","15,47","48,98"
"3,97",Planar,"2,5",0,"3,01","3,16","3,31","3,16","3,38","3,58","3,01","3,16","3,31","3,16","3,38","3,58","3,01","3,16","3,31","3,16","3,38","3,58"
"2,50",Planar,0,"2,5","1,49","1,33","1,61","1,40","1,77","1,35","1,49","1,30","1,61","1,40","1,77","1,34","1,49","1,33","1,61","1,39","1,77","1,36"
"4,94",Planar,"2,5","2,5","3,45","3,34","3,84","3,40","3,89","3,95","3,45","3,35","3,84","3,43","3,89","3,96","3,45","3,34","3,84","3,42","3,89","3,98"
"15,27",Planar,10,0,"12,46","13,95","13,64","13,93","13,63","17,90","12,46","13,98","13,64","14,25","13,63","18,64","12,46","14,10","13,64","14,10","13,63","18,34"
"10,00",Planar,0,10,"4,97","4,34","5,77","4,32","5,78","4,51","4,97","4,37","5,77","4,29","5,78","4,64","4,97","4,34","5,77","4,33","5,78","4,64"
"18,60",Planar,10,10,"14,09","14,64","15,61","14,65","15,65","31,20","14,09","14,56","15,61","14,48","15,65","30,93","14,09","14,84","15,61","14,53","15,65","30,68"
"3,03",Gradual,0,"2,5","1,66","1,43","1,93","1,44","2,02","1,43","1,66","1,41","1,93","1,39","2,02","1,33","1,66","1,44","1,93","1,43","2,02","1,43"
"5,21",Gradual,"2,5","2,5","3,48","3,50","3,97","3,54","4,05","3,92","3,48","3,52","3,97","3,53","4,05","3,92","3,48","3,52","3,97","3,52","4,05","3,93"
"10,66",Gradual,0,10,"4,56","2,33","5,81","2,62","5,84","2,60","4,56","2,33","5,81","2,65","5,84","2,60","4,56","2,37","5,81","2,72","5,84","2,50"
"19,45",Gradual,10,10,"12,36","14,65","14,52","14,60","14,57","34,22","12,36","15,24","14,52","14,84","14,57","33,28","12,36","14,99","14,52","15,12","14,57","32,85"
