Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_not_scaled_depth-InRays Initial (mm),ARAP_not_scaled_depth-InRays Final (mm),ARAP_not_scaled_depth-TwoPoints Initial (mm),ARAP_not_scaled_depth-TwoPoints Final (mm),ARAP_not_scaled_depth-FarPoints Initial (mm),ARAP_not_scaled_depth-FarPoints Final (mm)
"4,15",Planar,"2,5",0,"2,83","3,11","3,12","3,08","3,20","3,12"
"2,50",Planar,0,"2,5","1,73","1,56","1,83","1,62","2,04","1,57"
"4,73",Planar,"2,5","2,5","2,85","2,68","3,23","2,58","3,38","2,60"
"16,59",Planar,10,0,"9,80","4,86","11,58","10,46","11,57","4,42"
"10,00",Planar,0,10,"4,96","3,52","6,02","4,80","6,08","3,71"
"17,77",Planar,10,10,"9,88","9,66","11,66","9,39","11,71","3,47"
"3,10",Gradual,0,"2,5","1,82","1,19","2,06","1,83","2,25","1,10"
"5,29",Gradual,"2,5","2,5","3,07","3,28","3,54","2,90","3,64","3,05"
"9,97",Gradual,0,10,"4,50","2,03","5,86","2,69","5,99","1,87"
"20,90",Gradual,10,10,"11,19","4,74","13,71","8,79","13,88","11,10"
"3,98",Planar,"2,5",0,"16,55","16,28","16,31","16,31","17,40","5,22"
"2,50",Planar,0,"2,5","15,11","14,66","14,84","14,81","15,93","5,50"
"4,56",Planar,"2,5","2,5","17,27","17,01","17,08","17,07","17,94","6,42"
"16,23",Planar,10,0,"34,93","35,19","35,38","35,36","36,11","35,04"
"10,00",Planar,0,10,"19,76","14,58","19,80","19,62","20,71","14,54"
"18,52",Planar,10,10,"36,36","18,26","37,04","36,95","37,69","18,62"
"39,57",Gradual,0,"2,5","54,63","24,10","57,12","55,10","57,75","54,51"
"42,25",Gradual,"2,5","2,5","58,97","25,53","61,94","59,68","62,30","58,23"
"73,59",Gradual,0,10,"89,99","36,81","96,16","36,45","96,62","92,13"
"76,42",Gradual,10,10,"100,03","43,34","105,68","100,49","106,01","102,89"
