Avg Movement,Shape,Gaussian Mov,Rigid Mov,ARAP_not_scaled_depth-InRays Improvement (%),ARAP_not_scaled_depth-InRays Final Vs Mov (%),ARAP_not_scaled_depth-InRays Initial VS Mov (%),ARAP_not_scaled_depth-TwoPoints Improvement (%),ARAP_not_scaled_depth-TwoPoints Final Vs Mov (%),ARAP_not_scaled_depth-TwoPoints Initial VS Mov (%),ARAP_not_scaled_depth-FarPoints Improvement (%),ARAP_not_scaled_depth-FarPoints Final Vs Mov (%),ARAP_not_scaled_depth-FarPoints Initial VS Mov (%)
"3,97",Planar,"2,5",0,"-17,14","73,41","62,72","3,70","67,77","70,53","-0,94","73,77","73,05"
"2,50",Planar,0,"2,5","12,31","57,35","65,20","11,64","60,94","68,80","27,34","57,29","78,80"
"4,94",Planar,"2,5","2,5","11,85","53,08","60,12","22,11","53,22","68,42","16,25","58,57","69,84"
"15,27",Planar,10,0,"-6,40","64,58","60,71","8,76","64,20","70,33","5,30","66,45","70,20"
"10,00",Planar,0,10,"12,84","45,20","51,90","16,11","51,24","61,10","49,07","31,29","61,40"
"18,60",Planar,10,10,"13,25","53,45","61,61","32,76","47,84","71,13","28,45","51,29","71,67"
"3,03",Gradual,0,"2,5","35,63","39,03","60,73","20,60","54,27","68,32","31,95","50,77","74,59"
"5,21",Gradual,"2,5","2,5","6,86","54,32","58,35","23,53","51,70","67,56","20,07","56,23","70,25"
"10,66",Gradual,0,10,"52,19","21,65","45,31","74,67","14,85","58,63","77,60","13,37","59,66"
"19,45",Gradual,10,10,"-3,12","53,33","51,72","17,91","52,99","64,58","10,83","58,13","65,19"
"4,14",Planar,"2,5",0,"1,31","402,84","408,21","-0,03","403,28","403,14","71,57","120,84","424,88"
"2,50",Planar,0,"2,5","63,25","216,48","589,20","0,18","577,81","578,80","65,25","215,85","621,20"
"4,80",Planar,"2,5","2,5","1,44","336,94","341,67","0,18","337,55","337,92","65,77","123,50","360,62"
"16,08",Planar,10,0,"-1,37","205,21","202,43","0,04","204,99","205,04","62,76","77,57","208,27"
"10,00",Planar,0,10,"2,19","175,59","179,50","0,93","178,43","180,10","6,60","178,23","190,80"
"20,04",Planar,10,10,"59,39","83,85","206,49","0,30","209,08","209,73","4,07","202,82","211,43"
"41,20",Gradual,0,"2,5","42,38","83,06","144,15","1,87","148,10","150,90","4,72","145,07","152,23"
"43,99",Gradual,"2,5","2,5","46,55","70,75","132,35","6,09","132,04","140,60","4,50","135,63","142,01"
"71,88",Gradual,0,10,"58,73","47,75","115,71","61,23","48,21","124,36","4,84","119,17","125,24"
"83,96",Gradual,10,10,"58,51","49,84","120,10","60,17","51,62","129,59","4,38","123,85","129,51"
